sequence,v115@OhA8BeA8FeB8AeD8AeD8Kem/IvhFzgBfnBxiB0kB6t?BFrB,v115@OhA8BeA8FeB8AeD8AeD8KeT/IvhF0hBmiB5oBllBXl?BirB,v115@OhA8BeA8FeB8AeD8AeD8KeyEJvhFzgBfnBmiB5oB0k?BFrB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBFhBxiBzmB6t?BmqB,v115@OhA8BeA8FeB8AeD8AeD8Ke/EJvhFUgBmiB5oByqBzm?BFrB
TOJILZS,X,O,X,O,X
TOJISLZ,X,X,O,O,O
TOJISZL,X,O,O,O,O
TOJIZLS,X,O,X,X,X
TOJIZSL,X,O,X,O,X
TOJLISZ,X,O,O,O,O
TOJLIZS,X,O,X,O,X
TOJLSIZ,O,O,O,O,O
TOJLSZI,O,O,O,O,O
TOJLZIS,O,O,X,O,X
TOJLZSI,O,O,X,O,X
TOJSILZ,X,X,O,O,O
TOJSIZL,O,O,O,O,O
TOJSLIZ,O,X,O,O,O
TOJSLZI,O,X,O,O,O
TOJSZIL,O,O,O,O,O
TOJSZLI,O,X,O,O,O
TOJZILS,O,O,X,X,X
TOJZISL,O,O,X,O,X
TOJZLIS,O,O,X,O,X
TOJZLSI,O,X,X,O,X
TOJZSIL,O,O,X,O,X
TOJZSLI,O,X,X,O,X
TOSILJZ,O,O,O,O,O
TOSILZJ,O,O,O,O,O
TOSIJLZ,X,X,O,O,O
TOSIJZL,O,O,O,O,O
TOSIZLJ,O,X,O,O,O
TOSIZJL,O,O,O,O,O
TOSLIJZ,O,O,O,O,O
TOSLIZJ,O,O,O,O,O
TOSLJIZ,O,O,O,O,O
TOSLJZI,O,O,O,O,O
TOSLZIJ,O,O,O,O,O
TOSLZJI,O,O,O,O,O
TOSJILZ,X,X,O,O,O
TOSJIZL,O,O,O,O,O
TOSJLIZ,O,X,O,O,O
TOSJLZI,O,X,O,O,O
TOSJZIL,O,O,O,O,O
