sequence,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThB/nBaoB5?oBUqBFrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBxiB0nB6?tBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFThBynB5oB0?nBFqBXrB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBFqBGqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeXBJvhFiiB5oBcrBz?nBGqBFqB,v115@9gA8IeC8GeA8EeA8CeB8CeD8KeGAJvhFxiBTmB0nB6?tBFqBXrB
JZLTSOI,O,O,O,X,X,O
JZLTOIS,O,O,X,X,X,O
JZLTOSI,O,O,X,X,X,O
JZLITSO,O,O,O,X,X,O
JZLITOS,O,O,X,X,X,O
JZLISTO,O,O,X,X,X,O
JZLISOT,O,O,O,X,O,X
JZLIOTS,X,O,X,X,O,O
JZLIOST,X,O,X,X,O,X
JZLSTIO,O,O,X,X,X,O
JZLSTOI,O,O,X,X,X,O
JZLSITO,O,O,X,X,X,O
JZLSIOT,O,O,O,X,O,X
JZLSOTI,O,O,X,X,O,X
JZLSOIT,O,O,O,X,O,X
JZLOTIS,X,O,X,X,O,O
JZLOTSI,X,O,X,X,O,O
JZLOITS,X,O,X,X,O,O
JZLOIST,X,O,X,X,O,X
JZLOSTI,X,O,X,X,O,X
JZLOSIT,X,O,X,X,O,X
JZSTILO,O,O,X,X,X,X
JZSTIOL,O,O,X,X,O,X
JZSTLIO,O,O,X,X,X,O
JZSTLOI,O,O,X,X,X,O
JZSTOIL,O,O,X,X,O,X
JZSTOLI,O,O,X,X,O,O
JZSITLO,O,O,X,X,X,X
JZSITOL,O,O,X,X,O,X
JZSILTO,O,O,X,X,X,X
JZSILOT,O,O,O,X,O,X
JZSIOTL,O,O,X,X,O,X
JZSIOLT,O,O,O,O,O,X
JZSLTIO,O,O,X,X,X,O
JZSLTOI,O,O,X,X,X,O
JZSLITO,O,O,X,X,X,O
JZSLIOT,O,O,O,X,O,X
JZSLOTI,O,O,X,X,O,X
JZSLOIT,O,O,O,X,O,X
JZSOTIL,O,O,X,X,O,X
JZSOTLI,O,O,X,X,O,X
JZSOITL,O,O,X,X,O,X
JZSOILT,O,O,O,O,O,X
JZSOLTI,O,O,X,X,O,X
JZSOLIT,O,O,O,O,O,X
JZOTILS,O,X,X,X,O,O
JZOTISL,O,O,X,X,O,X
JZOTLIS,O,O,X,X,O,O
JZOTLSI,O,O,X,X,O,O
JZOTSIL,O,O,X,X,O,X
JZOTSLI,O,O,X,X,O,O
JZOITLS,O,X,X,X,O,X
JZOITSL,O,O,X,X,O,X
JZOILTS,X,X,X,X,O,X
JZOILST,X,X,X,O,O,X
JZOISTL,O,O,X,X,O,X
JZOISLT,O,O,X,O,O,X
JZOLTIS,X,O,X,X,O,O
JZOLTSI,X,O,X,X,O,O
JZOLITS,X,O,X,X,O,O
JZOLIST,X,O,X,O,O,X
JZOLSTI,X,O,X,X,O,X
JZOLSIT,X,O,X,O,O,X
JZOSTIL,O,O,X,X,O,X
JZOSTLI,O,O,X,X,O,X
JZOSITL,O,O,X,X,O,X
JZOSILT,O,O,X,O,O,X
JZOSLTI,O,O,X,X,O,X
JZOSLIT,O,O,X,O,O,X
JOTILSZ,O,X,O,X,X,X
JOTILZS,X,X,X,O,O,O
JOTISLZ,O,X,X,X,X,X
JOTISZL,O,X,X,X,X,X
JOTIZLS,X,X,X,O,O,O
JOTIZSL,O,X,X,O,O,X
JOTLISZ,O,X,O,X,X,X
JOTLIZS,X,X,X,O,O,O
JOTLSIZ,O,X,O,X,X,X
JOTLSZI,O,X,O,X,X,O
JOTLZIS,X,O,X,O,O,O
JOTLZSI,X,O,X,O,O,O
JOTSILZ,O,X,X,X,X,X
JOTSIZL,O,X,X,X,X,X
JOTSLIZ,O,X,X,X,X,X
JOTSLZI,O,X,X,X,X,O
JOTSZIL,O,X,X,X,X,X
JOTSZLI,O,X,X,X,X,O
JOTZILS,X,X,X,O,O,O
JOTZISL,O,O,X,O,O,X
JOTZLIS,X,O,X,O,O,O
JOTZLSI,X,O,X,O,O,O
JOTZSIL,O,O,X,O,O,X
JOTZSLI,O,O,X,O,O,O
JOITLSZ,O,X,O,X,X,X
JOITLZS,X,X,X,O,O,X
JOITSLZ,O,X,X,X,X,X
JOITSZL,O,X,X,X,X,X
JOITZLS,X,X,X,O,O,X
JOITZSL,O,X,X,O,O,X
JOILTSZ,X,X,O,X,X,X
JOILTZS,X,X,X,O,O,X
JOILSTZ,X,X,O,X,X,X
JOILSZT,X,X,O,X,O,X
JOILZTS,X,X,X,X,O,X
JOILZST,X,X,X,O,O,X
JOISTLZ,O,X,O,X,X,X
JOISTZL,O,X,X,X,X,X
JOISLTZ,O,X,O,X,X,X
JOISLZT,O,X,O,X,O,X
JOISZTL,O,X,X,X,O,X
JOISZLT,O,X,O,X,O,X
JOIZTLS,O,X,X,X,O,X
JOIZTSL,O,X,X,X,O,X
JOIZLTS,X,X,X,X,O,X
JOIZLST,X,X,X,O,O,X
JOIZSTL,O,X,X,X,O,X
JOIZSLT,O,X,X,O,O,X
JOLTISZ,X,X,O,X,X,X
JOLTIZS,X,X,X,O,O,O
JOLTSIZ,X,X,O,X,X,X
JOLTSZI,X,X,O,X,X,O
JOLTZIS,X,O,X,O,O,O
JOLTZSI,X,O,X,O,O,O
JOLITSZ,X,X,O,X,X,X
JOLITZS,X,X,X,O,O,X
JOLISTZ,X,O,O,X,X,X
JOLISZT,X,O,O,X,O,X
JOLIZTS,X,X,X,X,O,X
JOLIZST,X,X,X,O,O,X
JOLSTIZ,X,O,O,X,X,X
JOLSTZI,X,O,X,X,X,X
JOLSITZ,X,O,O,X,X,X
JOLSIZT,X,O,O,X,O,X
JOLSZTI,X,O,X,X,O,X
JOLSZIT,X,O,O,X,O,X
JOLZTIS,X,O,X,X,O,O
JOLZTSI,X,O,X,X,O,O
JOLZITS,X,O,X,X,O,O
JOLZIST,X,O,X,O,O,X
JOLZSTI,X,O,X,X,O,X
JOLZSIT,X,O,X,O,O,X
JOSTILZ,O,X,O,X,X,X
JOSTIZL,O,X,X,X,X,X
JOSTLIZ,O,O,O,X,X,X
JOSTLZI,O,O,X,X,X,X
JOSTZIL,O,O,X,X,X,X
JOSTZLI,O,O,X,X,X,X
JOSITLZ,O,X,O,X,X,X
JOSITZL,O,X,X,X,X,X
JOSILTZ,O,O,O,X,X,X
JOSILZT,O,O,O,X,O,X
JOSIZTL,O,O,X,X,O,X
JOSIZLT,O,O,O,X,O,X
JOSLTIZ,O,O,O,X,X,X
JOSLTZI,O,O,X,X,X,X
JOSLITZ,O,O,O,X,X,X
JOSLIZT,O,O,O,X,O,X
JOSLZTI,O,O,X,X,O,X
JOSLZIT,O,O,O,X,O,X
JOSZTIL,O,O,X,X,O,X
JOSZTLI,O,O,X,X,O,X
JOSZITL,O,O,X,X,O,X
JOSZILT,O,O,O,X,O,X
JOSZLTI,O,O,X,X,O,X
JOSZLIT,O,O,O,X,O,X
JOZTILS,O,X,X,X,O,O
JOZTISL,O,O,X,X,O,X
JOZTLIS,O,O,X,X,O,O
JOZTLSI,O,O,X,X,O,O
JOZTSIL,O,O,X,X,O,X
JOZTSLI,O,O,X,X,O,O
JOZITLS,O,X,X,X,O,X
JOZITSL,O,O,X,X,O,X
JOZILTS,X,X,X,X,O,X
JOZILST,X,X,X,O,O,X
JOZISTL,O,O,X,X,O,X
JOZISLT,O,O,X,O,O,X
JOZLTIS,X,O,X,X,O,O
JOZLTSI,X,O,X,X,O,O
JOZLITS,X,O,X,X,O,O
JOZLIST,X,O,X,O,O,X
JOZLSTI,X,O,X,X,O,X
JOZLSIT,X,O,X,O,O,X
JOZSTIL,O,O,X,X,O,X
JOZSTLI,O,O,X,X,O,X
JOZSITL,O,O,X,X,O,X
JOZSILT,O,O,X,O,O,X
JOZSLTI,O,O,X,X,O,X
JOZSLIT,O,O,X,O,O,X
STILJZO,O,O,O,X,X,X
STILJOZ,O,O,O,X,X,X
STILZJO,O,O,O,X,X,X
STILZOJ,O,O,O,X,X,X
STILOJZ,O,O,O,X,X,X
STILOZJ,O,O,O,X,X,X
STIJLZO,O,O,O,X,X,X
STIJLOZ,O,O,O,X,X,X
STIJZLO,O,O,O,X,X,X
STIJZOL,O,O,O,X,X,X
STIJOLZ,O,O,O,X,X,X
STIJOZL,O,O,O,X,X,X
STIZLJO,O,O,O,X,X,X
STIZLOJ,O,O,O,O,X,X
STIZJLO,O,O,O,X,X,X
STIZJOL,O,O,O,O,X,X
STIZOLJ,O,O,O,O,X,X
STIZOJL,O,O,O,O,X,X
STIOLJZ,O,O,O,X,X,X
STIOLZJ,O,O,O,O,X,X
STIOJLZ,O,O,O,X,X,X
STIOJZL,O,O,O,X,X,X
STIOZLJ,O,O,O,O,X,X
STIOZJL,O,O,O,O,X,X
STLIJZO,O,O,O,X,X,X
STLIJOZ,O,O,O,X,X,X
STLIZJO,O,O,O,X,X,X
STLIZOJ,O,O,O,X,X,X
STLIOJZ,O,O,O,X,X,X
STLIOZJ,O,O,O,X,X,X
STLJIZO,O,O,O,X,X,X
STLJIOZ,O,O,O,X,X,X
STLJZIO,O,O,O,X,X,O
STLJZOI,O,O,O,X,X,O
STLJOIZ,O,O,O,X,X,X
STLJOZI,O,O,O,X,X,O
STLZIJO,O,O,O,X,X,O
STLZIOJ,O,O,O,X,X,O
STLZJIO,O,O,O,X,X,O
STLZJOI,O,O,O,X,X,O
STLZOIJ,O,O,O,X,X,O
STLZOJI,O,O,O,X,X,O
STLOIJZ,O,O,O,X,X,X
STLOIZJ,O,O,O,X,X,X
STLOJIZ,O,O,O,X,X,X
STLOJZI,O,O,O,X,X,O
STLOZIJ,O,O,O,X,X,O
STLOZJI,O,O,O,X,X,O
STJILZO,O,O,O,X,X,X
STJILOZ,O,O,O,X,X,X
STJIZLO,O,O,O,X,X,X
STJIZOL,O,O,O,X,X,X
STJIOLZ,O,O,O,X,X,X
STJIOZL,O,O,O,X,X,X
STJLIZO,O,O,O,X,X,X
STJLIOZ,O,O,O,X,X,X
STJLZIO,O,O,O,X,X,O
STJLZOI,O,O,O,X,X,O
STJLOIZ,O,O,O,X,X,X
STJLOZI,O,O,O,X,X,O
STJZILO,O,O,O,X,X,X
STJZIOL,O,O,O,X,X,X
STJZLIO,O,O,O,X,X,O
STJZLOI,O,O,O,X,X,O
STJZOIL,O,O,O,X,X,X
STJZOLI,O,O,O,X,X,O
STJOILZ,O,O,O,X,X,X
STJOIZL,O,O,O,X,X,X
STJOLIZ,O,O,O,X,X,X
STJOLZI,O,O,O,X,X,O
STJOZIL,O,O,O,X,X,X
STJOZLI,O,O,O,X,X,O
STZILJO,O,O,O,X,X,X
STZILOJ,O,O,O,O,X,X
STZIJLO,O,O,O,X,X,X
STZIJOL,O,O,O,O,X,X
STZIOLJ,O,O,O,O,X,X
STZIOJL,O,O,O,O,X,X
STZLIJO,O,O,O,X,X,O
STZLIOJ,O,O,O,O,X,O
STZLJIO,O,O,O,X,X,O
STZLJOI,O,O,O,X,X,O
STZLOIJ,O,O,O,O,X,O
STZLOJI,O,O,O,O,X,O
STZJILO,O,O,O,X,X,X
STZJIOL,O,O,O,O,X,X
STZJLIO,O,O,O,X,X,O
STZJLOI,O,O,O,X,X,O
STZJOIL,O,O,O,O,X,X
STZJOLI,O,O,O,O,X,O
STZOILJ,O,O,O,O,X,X
STZOIJL,O,O,O,O,X,X
STZOLIJ,O,O,O,O,X,O
STZOLJI,O,O,O,O,X,O
STZOJIL,O,O,O,O,X,X
STZOJLI,O,O,O,O,X,O
STOILJZ,O,O,O,X,X,X
STOILZJ,O,O,O,O,X,X
STOIJLZ,O,O,O,X,X,X
STOIJZL,O,O,O,X,X,X
STOIZLJ,O,O,O,O,X,X
STOIZJL,O,O,O,O,X,X
STOLIJZ,O,O,O,X,X,X
STOLIZJ,O,O,O,O,X,X
STOLJIZ,O,O,O,X,X,X
STOLJZI,O,O,O,X,X,O
STOLZIJ,O,O,O,O,X,O
STOLZJI,O,O,O,O,X,O
STOJILZ,O,O,O,X,X,X
STOJIZL,O,O,O,X,X,X
STOJLIZ,O,O,O,X,X,X
STOJLZI,O,O,O,X,X,O
STOJZIL,O,O,O,X,X,X
STOJZLI,O,O,O,X,X,O
STOZILJ,O,O,O,O,X,X
STOZIJL,O,O,O,O,X,X
STOZLIJ,O,O,O,O,X,O
STOZLJI,O,O,O,O,X,O
STOZJIL,O,O,O,O,X,X
STOZJLI,O,O,O,O,X,O
SITLJZO,O,X,O,X,X,X
SITLJOZ,O,X,O,X,X,X
SITLZJO,O,X,O,X,X,X
SITLZOJ,O,X,O,X,X,X
SITLOJZ,O,X,O,X,X,X
SITLOZJ,O,X,O,X,X,X
SITJLZO,O,X,O,X,X,X
SITJLOZ,O,X,O,X,X,X
SITJZLO,O,X,O,X,X,X
SITJZOL,O,X,O,X,X,X
SITJOLZ,O,X,O,X,X,X
SITJOZL,O,X,O,X,X,X
SITZLJO,O,X,O,X,X,X
SITZLOJ,O,X,O,O,X,X
SITZJLO,O,X,O,X,X,X
SITZJOL,O,X,O,O,X,X
SITZOLJ,O,X,O,O,X,X
SITZOJL,O,X,O,O,X,X
SITOLJZ,O,X,O,X,X,X
SITOLZJ,O,X,O,O,X,X
SITOJLZ,O,X,O,X,X,X
SITOJZL,O,X,O,X,X,X
SITOZLJ,O,X,O,O,X,X
SITOZJL,O,X,O,O,X,X
SILTJZO,O,X,O,X,X,X
SILTJOZ,O,O,O,X,X,X
SILTZJO,O,X,O,X,X,X
SILTZOJ,O,X,O,X,X,X
SILTOJZ,O,O,O,X,X,X
SILTOZJ,O,X,O,X,X,X
SILJTZO,O,X,O,X,X,X
SILJTOZ,O,O,O,X,X,X
SILJZTO,O,O,X,X,X,X
SILJZOT,O,O,O,X,X,X
SILJOTZ,O,O,O,X,X,X
SILJOZT,O,O,O,X,X,X
SILZTJO,O,O,X,X,X,X
SILZTOJ,O,O,X,X,X,X
SILZJTO,O,O,X,X,X,X
SILZJOT,O,O,O,X,X,X
SILZOTJ,O,O,X,X,X,X
SILZOJT,O,O,O,X,X,X
SILOTJZ,O,O,O,X,X,X
SILOTZJ,O,X,X,X,X,X
SILOJTZ,O,O,O,X,X,X
SILOJZT,O,O,O,X,X,X
SILOZTJ,O,O,X,X,X,X
SILOZJT,O,O,O,X,X,X
SIJTLZO,O,X,O,X,X,X
SIJTLOZ,O,X,O,X,X,X
SIJTZLO,O,X,X,X,X,X
SIJTZOL,O,X,X,X,X,X
SIJTOLZ,O,X,O,X,X,X
SIJTOZL,O,X,X,X,X,X
SIJLTZO,O,X,O,X,X,X
SIJLTOZ,O,O,O,X,X,X
SIJLZTO,O,O,X,X,X,X
SIJLZOT,O,O,O,X,X,X
SIJLOTZ,O,O,O,X,X,X
SIJLOZT,O,O,O,X,X,X
SIJZTLO,O,X,X,X,X,X
SIJZTOL,O,O,X,X,O,X
SIJZLTO,O,O,X,X,X,X
SIJZLOT,O,O,O,X,O,X
SIJZOTL,O,O,X,X,O,X
SIJZOLT,O,O,O,X,O,X
SIJOTLZ,O,X,O,X,X,X
SIJOTZL,O,X,X,X,X,X
SIJOLTZ,O,O,O,X,X,X
SIJOLZT,O,O,O,X,O,X
SIJOZTL,O,O,X,X,O,X
SIJOZLT,O,O,O,X,O,X
SIZTLJO,O,X,X,X,X,X
SIZTLOJ,O,X,X,X,X,X
SIZTJLO,O,X,X,X,X,X
SIZTJOL,O,O,X,X,X,X
SIZTOLJ,O,X,X,O,O,X
SIZTOJL,O,O,X,X,X,X
SIZLTJO,O,O,X,X,X,X
SIZLTOJ,O,O,X,X,X,X
SIZLJTO,O,O,X,X,X,X
SIZLJOT,O,O,O,X,X,X
SIZLOTJ,O,O,X,O,O,X
SIZLOJT,O,O,O,O,O,X
SIZJTLO,O,X,X,X,X,X
SIZJTOL,O,O,X,X,O,X
SIZJLTO,O,O,X,X,X,X
SIZJLOT,O,O,O,X,O,X
SIZJOTL,O,O,X,X,O,X
SIZJOLT,O,O,O,O,O,X
SIZOTLJ,O,X,X,O,O,X
SIZOTJL,O,O,X,X,X,X
SIZOLTJ,O,O,X,O,O,X
SIZOLJT,O,O,O,O,O,X
SIZOJTL,O,O,X,X,O,X
SIZOJLT,O,O,O,O,O,X
SIOTLJZ,O,X,O,X,X,X
SIOTLZJ,O,X,X,O,X,X
SIOTJLZ,O,X,O,X,X,X
SIOTJZL,O,X,X,X,X,X
SIOTZLJ,O,X,X,O,X,X
SIOTZJL,O,X,X,O,X,X
SIOLTJZ,O,O,O,X,X,X
SIOLTZJ,O,X,X,O,X,X
SIOLJTZ,O,O,O,X,X,X
SIOLJZT,O,O,O,X,O,X
SIOLZTJ,O,O,X,O,O,X
SIOLZJT,O,O,O,O,O,X
SIOJTLZ,O,X,O,X,X,X
SIOJTZL,O,X,X,X,X,X
SIOJLTZ,O,O,O,X,X,X
SIOJLZT,O,O,O,X,O,X
SIOJZTL,O,O,X,X,O,X
SIOJZLT,O,O,O,X,O,X
SIOZTLJ,O,X,X,O,O,X
SIOZTJL,O,O,X,X,X,X
SIOZLTJ,O,O,X,O,O,X
SIOZLJT,O,O,O,O,O,X
SIOZJTL,O,O,X,X,O,X
SIOZJLT,O,O,O,O,O,X
SLTIJZO,O,O,O,X,X,X
SLTIJOZ,O,O,O,X,X,X
SLTIZJO,O,O,O,X,X,X
SLTIZOJ,O,O,O,X,X,X
SLTIOJZ,O,O,O,X,X,X
SLTIOZJ,O,O,O,X,X,X
SLTJIZO,O,O,O,X,X,X
SLTJIOZ,O,O,O,X,X,X
SLTJZIO,O,O,O,X,X,O
SLTJZOI,O,O,O,X,X,O
SLTJOIZ,O,O,O,X,X,X
SLTJOZI,O,O,O,X,X,O
SLTZIJO,O,O,O,X,X,O
SLTZIOJ,O,O,O,X,X,O
SLTZJIO,O,O,O,X,X,O
SLTZJOI,O,O,O,X,X,O
SLTZOIJ,O,O,O,X,X,O
SLTZOJI,O,O,O,X,X,O
SLTOIJZ,O,O,O,X,X,X
SLTOIZJ,O,O,O,X,X,X
SLTOJIZ,O,O,O,X,X,X
SLTOJZI,O,O,O,X,X,O
SLTOZIJ,O,O,O,X,X,O
SLTOZJI,O,O,O,X,X,O
SLITJZO,O,O,O,X,X,X
SLITJOZ,O,O,O,X,X,X
SLITZJO,O,O,O,X,X,X
SLITZOJ,O,O,O,X,X,X
SLITOJZ,O,O,O,X,X,X
SLITOZJ,O,O,O,X,X,X
SLIJTZO,O,X,O,X,X,X
SLIJTOZ,O,O,O,X,X,X
SLIJZTO,O,O,X,X,X,X
SLIJZOT,O,O,O,X,X,X
SLIJOTZ,O,O,O,X,X,X
SLIJOZT,O,O,O,X,X,X
SLIZTJO,O,O,X,X,X,X
SLIZTOJ,O,O,X,X,X,X
SLIZJTO,O,O,X,X,X,X
SLIZJOT,O,O,O,X,X,X
SLIZOTJ,O,O,X,X,X,X
SLIZOJT,O,O,O,X,X,X
SLIOTJZ,O,O,O,X,X,X
SLIOTZJ,O,X,X,X,X,X
SLIOJTZ,O,O,O,X,X,X
SLIOJZT,O,O,O,X,X,X
SLIOZTJ,O,O,X,X,X,X
SLIOZJT,O,O,O,X,X,X
SLJTIZO,O,X,O,X,X,X
SLJTIOZ,O,O,O,X,X,X
SLJTZIO,O,O,O,X,X,O
SLJTZOI,O,O,O,X,X,O
SLJTOIZ,O,O,O,X,X,X
SLJTOZI,O,O,O,X,X,O
SLJITZO,O,X,O,X,X,X
SLJITOZ,O,O,O,X,X,X
SLJIZTO,O,O,X,X,X,X
SLJIZOT,O,O,O,X,X,X
SLJIOTZ,O,O,O,X,X,X
SLJIOZT,O,O,O,X,X,X
SLJZTIO,O,O,X,X,X,O
SLJZTOI,O,O,X,X,X,O
SLJZITO,O,O,X,X,X,O
SLJZIOT,O,O,O,X,X,X
SLJZOTI,O,O,X,X,X,X
SLJZOIT,O,O,O,X,X,X
SLJOTIZ,O,O,O,X,X,X
SLJOTZI,O,O,X,X,X,X
SLJOITZ,O,O,O,X,X,X
SLJOIZT,O,O,O,X,X,X
SLJOZTI,O,O,X,X,X,X
SLJOZIT,O,O,O,X,X,X
SLZTIJO,O,O,X,X,X,O
SLZTIOJ,O,O,X,X,X,O
SLZTJIO,O,O,X,X,X,O
SLZTJOI,O,O,X,X,X,O
SLZTOIJ,O,O,X,X,X,O
SLZTOJI,O,O,X,X,X,O
SLZITJO,O,O,X,X,X,O
SLZITOJ,O,O,X,X,X,O
SLZIJTO,O,O,X,X,X,O
SLZIJOT,O,O,O,X,X,X
SLZIOTJ,O,O,X,X,X,X
SLZIOJT,O,O,O,X,X,X
SLZJTIO,O,O,X,X,X,O
SLZJTOI,O,O,X,X,X,O
SLZJITO,O,O,X,X,X,O
SLZJIOT,O,O,O,X,X,X
SLZJOTI,O,O,X,X,X,X
SLZJOIT,O,O,O,X,X,X
SLZOTIJ,O,O,X,X,X,X
SLZOTJI,O,O,X,X,X,X
SLZOITJ,O,O,X,X,X,X
SLZOIJT,O,O,O,X,X,X
SLZOJTI,O,O,X,X,X,X
SLZOJIT,O,O,O,X,X,X
SLOTIJZ,O,O,O,X,X,X
SLOTIZJ,O,X,X,X,X,X
SLOTJIZ,O,O,O,X,X,X
SLOTJZI,O,O,X,X,X,X
SLOTZIJ,O,O,X,X,X,X
SLOTZJI,O,O,X,X,X,X
SLOITJZ,O,O,O,X,X,X
SLOITZJ,O,X,X,X,X,X
SLOIJTZ,O,O,O,X,X,X
SLOIJZT,O,O,O,X,X,X
SLOIZTJ,O,O,X,X,X,X
SLOIZJT,O,O,O,X,X,X
SLOJTIZ,O,O,O,X,X,X
SLOJTZI,O,O,X,X,X,X
SLOJITZ,O,O,O,X,X,X
SLOJIZT,O,O,O,X,X,X
SLOJZTI,O,O,X,X,X,X
SLOJZIT,O,O,O,X,X,X
SLOZTIJ,O,O,X,X,X,X
SLOZTJI,O,O,X,X,X,X
SLOZITJ,O,O,X,X,X,X
SLOZIJT,O,O,O,X,X,X
SLOZJTI,O,O,X,X,X,X
SLOZJIT,O,O,O,X,X,X
SJTILZO,O,X,O,X,X,X
SJTILOZ,O,X,O,X,X,X
SJTIZLO,O,X,X,X,X,X
SJTIZOL,O,X,X,X,X,X
SJTIOLZ,O,X,O,X,X,X
SJTIOZL,O,X,X,X,X,X
SJTLIZO,O,X,O,X,X,X
SJTLIOZ,O,O,O,X,X,X
SJTLZIO,O,O,O,X,X,O
SJTLZOI,O,O,O,X,X,O
SJTLOIZ,O,O,O,X,X,X
SJTLOZI,O,O,O,X,X,O
SJTZILO,O,O,X,X,X,X
SJTZIOL,O,O,X,X,X,X
SJTZLIO,O,O,X,X,X,O
SJTZLOI,O,O,X,X,X,O
SJTZOIL,O,O,X,X,X,X
SJTZOLI,O,O,X,X,X,O
SJTOILZ,O,X,O,X,X,X
SJTOIZL,O,X,X,X,X,X
SJTOLIZ,O,O,O,X,X,X
SJTOLZI,O,O,X,X,X,O
SJTOZIL,O,O,X,X,X,X
SJTOZLI,O,O,X,X,X,O
SJITLZO,O,X,O,X,X,X
SJITLOZ,O,X,O,X,X,X
SJITZLO,O,X,X,X,X,X
SJITZOL,O,X,X,X,X,X
SJITOLZ,O,X,O,X,X,X
SJITOZL,O,X,X,X,X,X
SJILTZO,O,X,O,X,X,X
SJILTOZ,O,O,O,X,X,X
SJILZTO,O,O,X,X,X,X
SJILZOT,O,O,O,X,X,X
SJILOTZ,O,O,O,X,X,X
SJILOZT,O,O,O,X,X,X
SJIZTLO,O,X,X,X,X,X
SJIZTOL,O,O,X,X,O,X
SJIZLTO,O,O,X,X,X,X
SJIZLOT,O,O,O,X,O,X
SJIZOTL,O,O,X,X,O,X
SJIZOLT,O,O,O,X,O,X
SJIOTLZ,O,X,O,X,X,X
SJIOTZL,O,X,X,X,X,X
SJIOLTZ,O,O,O,X,X,X
SJIOLZT,O,O,O,X,O,X
SJIOZTL,O,O,X,X,O,X
SJIOZLT,O,O,O,X,O,X
SJLTIZO,O,X,O,X,X,X
SJLTIOZ,O,O,O,X,X,X
SJLTZIO,O,O,O,X,X,O
SJLTZOI,O,O,O,X,X,O
SJLTOIZ,O,O,O,X,X,X
SJLTOZI,O,O,O,X,X,O
SJLITZO,O,X,O,X,X,X
SJLITOZ,O,O,O,X,X,X
SJLIZTO,O,O,X,X,X,X
SJLIZOT,O,O,O,X,X,X
SJLIOTZ,O,O,O,X,X,X
SJLIOZT,O,O,O,X,X,X
SJLZTIO,O,O,X,X,X,O
SJLZTOI,O,O,X,X,X,O
SJLZITO,O,O,X,X,X,O
SJLZIOT,O,O,O,X,X,X
SJLZOTI,O,O,X,X,X,X
SJLZOIT,O,O,O,X,X,X
SJLOTIZ,O,O,O,X,X,X
SJLOTZI,O,O,X,X,X,X
SJLOITZ,O,O,O,X,X,X
SJLOIZT,O,O,O,X,X,X
SJLOZTI,O,O,X,X,X,X
SJLOZIT,O,O,O,X,X,X
SJZTILO,O,O,X,X,X,X
SJZTIOL,O,O,X,X,O,X
SJZTLIO,O,O,X,X,X,O
SJZTLOI,O,O,X,X,X,O
SJZTOIL,O,O,X,X,O,X
SJZTOLI,O,O,X,X,O,O
SJZITLO,O,O,X,X,X,X
SJZITOL,O,O,X,X,O,X
SJZILTO,O,O,X,X,X,X
SJZILOT,O,O,O,X,O,X
SJZIOTL,O,O,X,X,O,X
SJZIOLT,O,O,O,X,O,X
SJZLTIO,O,O,X,X,X,O
SJZLTOI,O,O,X,X,X,O
SJZLITO,O,O,X,X,X,O
SJZLIOT,O,O,O,X,O,X
SJZLOTI,O,O,X,X,O,X
SJZLOIT,O,O,O,X,O,X
SJZOTIL,O,O,X,X,O,X
SJZOTLI,O,O,X,X,O,X
SJZOITL,O,O,X,X,O,X
SJZOILT,O,O,O,X,O,X
SJZOLTI,O,O,X,X,O,X
SJZOLIT,O,O,O,X,O,X
SJOTILZ,O,X,O,X,X,X
SJOTIZL,O,X,X,X,X,X
SJOTLIZ,O,O,O,X,X,X
SJOTLZI,O,O,X,X,X,X
SJOTZIL,O,O,X,X,X,X
SJOTZLI,O,O,X,X,X,X
SJOITLZ,O,X,O,X,X,X
SJOITZL,O,X,X,X,X,X
SJOILTZ,O,O,O,X,X,X
SJOILZT,O,O,O,X,O,X
SJOIZTL,O,O,X,X,O,X
SJOIZLT,O,O,O,X,O,X
SJOLTIZ,O,O,O,X,X,X
SJOLTZI,O,O,X,X,X,X
SJOLITZ,O,O,O,X,X,X
SJOLIZT,O,O,O,X,O,X
SJOLZTI,O,O,X,X,O,X
SJOLZIT,O,O,O,X,O,X
SJOZTIL,O,O,X,X,O,X
SJOZTLI,O,O,X,X,O,X
SJOZITL,O,O,X,X,O,X
SJOZILT,O,O,O,X,O,X
SJOZLTI,O,O,X,X,O,X
SJOZLIT,O,O,O,X,O,X
SZTILJO,O,O,X,X,X,X
SZTILOJ,O,O,X,X,X,X
SZTIJLO,O,O,X,X,X,X
SZTIJOL,O,O,X,X,X,X
SZTIOLJ,O,O,X,O,O,X
SZTIOJL,O,O,X,X,X,X
SZTLIJO,O,O,X,X,X,O
SZTLIOJ,O,O,X,X,X,O
SZTLJIO,O,O,X,X,X,O
SZTLJOI,O,O,X,X,X,O
SZTLOIJ,O,O,X,X,X,O
SZTLOJI,O,O,X,X,X,O
SZTJILO,O,O,X,X,X,X
SZTJIOL,O,O,X,X,X,X
SZTJLIO,O,O,X,X,X,O
SZTJLOI,O,O,X,X,X,O
SZTJOIL,O,O,X,X,X,X
SZTJOLI,O,O,X,X,X,O
SZTOILJ,O,O,X,O,O,X
SZTOIJL,O,O,X,X,X,X
SZTOLIJ,O,O,X,O,O,O
