sequence,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hB5oB3lBz?nBinBWxB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhF3iB5oBilB8?sBGlBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KelBJvhFziB5oBilB8?rBGlB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhFTiBeoB5oB3?lBUsB6rB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rB+?sB6tBFtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeaFJvhFulB1mB5oBz?nB8rB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeFAJvhF0hBxiB3lBz?rBCtBGtB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeUAJvhFxmB6tB3lBF?oBGsBzrB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhFTlBlmBUoBX?sB6tBGsB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF3hBTlB8rBV?tB+sB6tB,v115@9gA8IeB8HeB8BeA8EeE8CeA8KeRAJvhF1mBSoBTlB8?rBGtB3sB,v115@9gA8IeB8HeB8BeA8EeE8CeA8Ke3AJvhFxmB6tBUlBF?oBGsBzrB
IZTOSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZTOSJL,X,O,O,X,X,X,X,X,X,O,X,X
IZLTJSO,X,O,O,X,X,X,X,O,X,X,X,X
IZLTJOS,X,X,X,X,X,O,X,O,X,X,X,X
IZLTSJO,X,O,O,X,X,X,X,O,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,X,O,X,X,X,X
IZLTOJS,X,O,X,X,X,O,X,O,X,X,X,X
IZLTOSJ,X,O,O,X,X,X,X,O,X,X,X,X
IZLJTSO,X,O,O,X,X,X,X,O,X,X,X,X
IZLJTOS,X,X,X,X,X,O,X,O,X,X,X,X
IZLJSTO,X,O,O,O,X,X,X,O,X,X,X,X
IZLJSOT,X,X,O,O,X,X,X,O,X,X,X,X
IZLJOTS,X,O,X,X,X,O,X,O,X,X,X,X
IZLJOST,X,O,X,O,X,X,X,O,X,X,X,X
IZLSTJO,X,O,O,O,X,X,X,O,X,X,X,O
IZLSTOJ,X,O,O,X,X,X,X,O,X,X,X,O
IZLSJTO,X,O,O,O,X,X,X,O,X,X,X,O
IZLSJOT,X,X,O,O,X,X,X,O,X,X,X,O
IZLSOTJ,X,O,O,X,X,X,X,O,X,X,X,O
IZLSOJT,X,O,O,X,X,X,X,O,X,X,X,O
IZLOTJS,X,O,X,X,X,O,X,O,X,X,X,X
IZLOTSJ,X,O,O,X,X,X,X,O,X,X,X,X
IZLOJTS,X,O,X,X,X,O,X,O,X,X,X,X
IZLOJST,X,O,X,X,X,X,X,O,X,X,X,X
IZLOSTJ,X,O,O,X,X,X,X,O,X,X,X,X
IZLOSJT,X,O,O,X,X,X,X,O,X,X,X,X
IZJTLSO,X,X,O,X,X,X,X,O,X,X,X,X
IZJTLOS,X,X,X,X,X,O,X,O,X,X,X,X
IZJTSLO,O,X,O,O,X,X,X,X,X,X,X,X
IZJTSOL,O,X,O,O,X,X,X,X,X,X,X,X
IZJTOLS,X,X,X,X,X,O,X,X,X,X,X,X
IZJTOSL,O,X,X,O,X,X,X,X,X,X,X,X
IZJLTSO,X,O,O,X,X,X,X,O,X,X,X,X
IZJLTOS,X,X,X,X,X,O,X,O,X,X,X,X
IZJLSTO,O,O,O,O,X,X,X,O,X,X,X,X
IZJLSOT,O,X,O,O,O,X,X,O,X,X,X,X
IZJLOTS,X,O,X,X,O,O,X,O,X,X,X,X
IZJLOST,O,O,X,O,O,X,X,O,X,X,X,X
IZJSTLO,O,O,O,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,O,O,X,X,X,X,X,X,X,X
IZJSLTO,O,O,O,O,X,X,X,O,X,X,X,X
IZJSLOT,O,X,O,O,O,X,X,O,X,X,X,X
IZJSOTL,O,X,O,O,O,X,X,X,X,X,X,X
IZJSOLT,O,X,O,O,O,X,X,X,X,X,X,X
IZJOTLS,X,O,X,X,O,O,X,X,X,X,X,X
IZJOTSL,O,O,X,O,O,X,X,X,X,X,X,X
IZJOLTS,X,O,X,X,O,O,X,O,X,X,X,X
IZJOLST,O,O,X,O,O,X,X,O,X,X,X,X
IZJOSTL,O,O,X,O,O,X,X,X,X,X,X,X
IZJOSLT,O,O,X,O,O,X,X,X,X,X,X,X
IZSTLJO,O,O,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,O,O,X,X,X,X,X,X,X,X,X
IZSTJLO,O,O,O,O,X,X,X,X,X,X,X,X
IZSTJOL,O,X,O,O,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,O,O,X,X
IZSTOJL,O,X,O,O,X,X,X,X,O,O,X,X
IZSLTJO,O,O,O,O,X,X,X,O,X,X,X,O
IZSLTOJ,O,O,O,X,X,X,X,O,X,X,X,O
IZSLJTO,O,O,O,O,X,X,X,O,X,X,X,O
IZSLJOT,O,X,O,O,X,X,X,O,X,X,X,O
IZSLOTJ,O,O,O,X,X,X,X,O,X,X,X,O
IZSLOJT,X,O,O,X,X,X,X,O,X,X,X,O
IZSJTLO,O,O,O,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,O,O,X,X,X,X,X,X,X,X
IZSJLTO,O,O,O,O,X,X,X,X,X,X,X,X
IZSJLOT,O,X,O,O,O,X,X,X,X,X,X,X
IZSJOTL,O,X,O,O,O,X,X,X,X,X,X,X
IZSJOLT,O,X,O,O,O,X,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,X,O,O,X,X
IZSOTJL,O,O,O,O,O,X,X,X,O,O,X,X
IZSOLTJ,O,O,O,X,X,X,X,X,O,O,X,X
IZSOLJT,X,O,O,X,O,X,X,X,X,X,X,X
IZSOJTL,O,O,O,O,O,X,X,X,O,O,X,X
IZSOJLT,O,O,O,O,O,X,X,X,X,X,X,X
IZOTLJS,X,O,X,X,X,O,X,X,X,O,X,X
IZOTLSJ,X,O,O,X,X,X,X,X,X,O,X,X
IZOTJLS,X,O,X,X,O,O,X,X,X,O,X,X
IZOTJSL,X,O,X,X,O,X,X,X,X,O,X,X
IZOTSLJ,X,O,O,X,X,X,X,X,O,O,X,X
IZOTSJL,X,O,O,X,O,X,X,X,O,O,X,X
IZOLTJS,X,O,X,X,X,O,X,O,X,O,X,X
IZOLTSJ,X,O,O,X,X,X,X,O,X,O,X,X
IZOLJTS,X,O,X,X,O,O,X,O,X,X,X,X
IZOLJST,X,O,X,X,O,X,X,O,X,X,X,X
IZOLSTJ,X,O,O,X,X,X,X,O,O,O,X,X
IZOLSJT,X,O,O,X,O,X,X,O,X,X,X,X
IZOJTLS,X,O,X,X,O,O,X,X,X,O,X,X
IZOJTSL,O,O,X,O,O,X,X,X,X,O,X,X
IZOJLTS,X,O,X,X,O,O,X,X,X,X,X,X
IZOJLST,O,O,X,O,O,X,X,X,X,X,X,X
IZOJSTL,O,O,X,O,O,X,X,X,O,O,X,X
IZOJSLT,O,O,X,O,O,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,X,X,O,O,X,X
IZOSTJL,O,O,O,O,O,X,X,X,O,O,X,X
IZOSLTJ,O,O,O,X,X,X,X,X,O,O,X,X
IZOSLJT,X,O,O,X,O,X,X,X,X,X,X,X
IZOSJTL,O,O,O,O,O,X,X,X,O,O,X,X
IZOSJLT,O,O,O,O,O,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,X,X,O,X,X,X,X,O,X
IOTLJZS,X,O,X,X,O,O,X,X,X,X,O,X
IOTLSJZ,X,X,X,X,X,O,X,X,X,X,X,X
IOTLSZJ,X,O,X,X,X,X,X,X,O,X,X,X
IOTLZJS,X,O,X,X,X,O,O,X,X,O,X,X
IOTLZSJ,X,O,X,X,X,X,O,X,X,O,X,X
IOTJLSZ,X,X,X,X,X,O,X,X,X,X,O,X
IOTJLZS,X,O,X,X,O,O,X,X,X,X,O,X
IOTJSLZ,O,X,X,X,X,O,X,X,X,X,O,X
IOTJSZL,O,X,X,X,X,X,X,X,O,X,X,X
IOTJZLS,X,O,X,X,O,O,X,X,X,O,O,X
IOTJZSL,O,O,X,X,O,X,X,X,X,O,X,X
IOTSLJZ,O,X,X,X,X,O,X,X,X,X,X,X
IOTSLZJ,O,O,X,X,X,X,X,X,O,X,X,X
IOTSJLZ,O,X,X,X,X,O,X,X,X,X,O,X
IOTSJZL,O,X,X,X,X,X,X,X,O,X,X,X
IOTSZLJ,O,O,X,X,X,X,X,X,O,O,X,X
IOTSZJL,O,O,X,X,O,X,X,X,O,O,X,X
IOTZLJS,X,O,X,X,X,O,O,X,X,O,X,X
IOTZLSJ,X,O,X,X,X,X,O,X,X,O,X,X
IOTZJLS,X,O,X,X,O,O,O,X,X,O,O,X
IOTZJSL,X,O,X,X,O,X,O,X,X,O,X,X
IOTZSLJ,X,O,X,X,X,X,O,X,O,O,X,X
IOTZSJL,X,O,X,X,O,X,O,X,O,O,X,X
IOLTJSZ,X,X,X,X,X,O,X,X,X,X,O,X
IOLTJZS,X,O,X,X,O,O,X,X,X,X,O,X
IOLTSJZ,X,X,X,X,X,O,X,X,X,X,X,X
IOLTSZJ,X,O,X,X,X,X,X,X,O,X,X,X
IOLTZJS,X,O,X,X,X,O,O,X,X,O,X,X
IOLTZSJ,X,O,O,X,X,X,O,X,X,O,X,X
IOLJTSZ,X,X,X,X,X,O,X,X,X,X,O,X
IOLJTZS,X,O,X,X,O,O,X,X,X,X,O,X
IOLJSTZ,O,X,X,X,X,O,X,X,X,X,O,X
IOLJSZT,O,X,X,X,O,X,X,X,X,X,X,X
IOLJZTS,X,O,X,X,O,O,X,X,X,X,O,X
IOLJZST,O,O,X,X,O,X,X,X,X,X,X,X
IOLSTJZ,O,X,X,X,X,O,O,X,X,X,X,O
IOLSTZJ,O,O,O,X,X,X,O,X,O,X,X,O
IOLSJTZ,O,X,X,X,X,O,O,X,X,X,X,O
IOLSJZT,O,X,O,X,O,X,O,X,X,X,X,O
IOLSZTJ,O,O,O,X,X,X,O,X,O,O,X,O
IOLSZJT,X,O,O,X,O,X,O,X,X,X,X,O
IOLZTJS,X,O,X,X,X,O,O,O,X,O,X,X
IOLZTSJ,X,O,O,X,X,X,O,O,X,O,X,X
IOLZJTS,X,O,X,X,O,O,O,O,X,X,X,X
IOLZJST,X,O,X,X,O,X,O,O,X,X,X,X
IOLZSTJ,X,O,O,X,X,X,O,O,O,O,X,X
IOLZSJT,X,O,O,X,O,X,O,O,X,X,X,X
IOJTLSZ,X,X,X,X,X,O,X,X,X,X,O,X
IOJTLZS,X,O,X,X,O,O,X,X,X,X,O,X
IOJTSLZ,O,X,X,X,X,O,X,X,X,X,O,X
IOJTSZL,O,X,X,X,X,X,X,X,O,X,X,X
IOJTZLS,X,O,X,X,O,O,X,X,X,O,O,X
IOJTZSL,O,O,X,X,O,X,X,X,X,O,X,X
IOJLTSZ,X,X,X,X,X,O,X,X,X,X,O,X
IOJLTZS,X,O,X,X,O,O,X,X,X,X,O,X
IOJLSTZ,O,X,X,X,X,O,X,X,X,X,O,X
IOJLSZT,O,X,X,X,O,X,X,X,X,X,X,X
IOJLZTS,X,O,X,X,O,O,X,X,X,X,O,X
IOJLZST,O,O,X,X,O,X,X,X,X,X,X,X
IOJSTLZ,O,X,X,X,X,O,X,X,X,X,O,X
IOJSTZL,O,X,X,O,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,X,X,O,X,X,X,X,O,X
IOJSLZT,O,X,X,X,O,X,X,X,X,X,X,X
IOJSZTL,O,X,X,O,O,X,X,X,O,O,X,X
IOJSZLT,O,X,X,O,O,X,X,X,X,X,X,X
IOJZTLS,X,O,X,X,O,O,X,X,X,O,O,X
IOJZTSL,O,O,X,O,O,X,X,X,X,O,X,X
IOJZLTS,X,O,X,X,O,O,X,X,X,X,O,X
IOJZLST,O,O,X,O,O,X,X,X,X,X,X,X
IOJZSTL,O,O,X,O,O,X,X,X,O,O,X,X
IOJZSLT,O,O,X,O,O,X,X,X,X,X,X,X
IOSTLJZ,O,X,X,X,X,O,O,X,X,X,X,X
IOSTLZJ,O,O,O,X,X,X,O,X,O,X,X,X
IOSTJLZ,O,X,X,X,X,O,X,X,X,X,O,X
IOSTJZL,O,X,X,O,X,X,X,X,O,X,X,X
IOSTZLJ,O,O,O,X,X,X,O,X,O,O,X,X
IOSTZJL,O,O,O,O,O,X,O,X,O,O,X,X
IOSLTJZ,O,X,X,X,X,O,O,X,X,X,X,O
IOSLTZJ,O,O,O,X,X,X,O,X,O,X,X,O
IOSLJTZ,O,X,X,X,X,O,O,X,X,X,X,O
IOSLJZT,O,X,O,X,O,X,O,X,X,X,X,O
IOSLZTJ,O,O,O,X,X,X,O,X,O,O,X,O
IOSLZJT,X,O,O,X,O,X,O,X,X,X,X,O
IOSJTLZ,O,X,X,X,X,O,X,X,X,X,O,X
IOSJTZL,O,X,X,O,X,X,X,X,O,X,X,X
IOSJLTZ,O,X,X,X,X,O,X,X,X,X,O,X
IOSJLZT,O,X,O,X,O,X,X,X,X,X,X,X
IOSJZTL,O,X,O,O,O,X,X,X,O,O,X,X
IOSJZLT,O,X,O,O,O,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,O,X,O,O,X,X
IOSZTJL,O,O,O,O,O,X,O,X,O,O,X,X
IOSZLTJ,O,O,O,X,X,X,O,X,O,O,X,X
IOSZLJT,X,O,O,X,O,X,O,X,X,X,X,X
IOSZJTL,O,O,O,O,O,X,O,X,O,O,X,X
IOSZJLT,O,O,O,O,O,X,X,X,X,X,X,X
IOZTLJS,X,O,X,X,X,O,O,X,X,O,X,X
IOZTLSJ,X,O,O,X,X,X,O,X,X,O,X,X
IOZTJLS,X,O,X,X,O,O,O,X,X,O,O,X
IOZTJSL,X,O,X,X,O,X,O,X,X,O,X,X
IOZTSLJ,X,O,O,X,X,X,O,X,O,O,X,X
IOZTSJL,X,O,O,X,O,X,O,X,O,O,X,X
IOZLTJS,X,O,X,X,X,O,O,O,X,O,X,X
IOZLTSJ,X,O,O,X,X,X,O,O,X,O,X,X
IOZLJTS,X,O,X,X,O,O,O,O,X,X,X,X
IOZLJST,X,O,X,X,O,X,O,O,X,X,X,X
IOZLSTJ,X,O,O,X,X,X,O,O,O,O,X,X
IOZLSJT,X,O,O,X,O,X,O,O,X,X,X,X
IOZJTLS,X,O,X,X,O,O,O,X,X,O,O,X
IOZJTSL,O,O,X,O,O,X,O,X,X,O,X,X
IOZJLTS,X,O,X,X,O,O,X,X,X,X,O,X
IOZJLST,O,O,X,O,O,X,X,X,X,X,X,X
IOZJSTL,O,O,X,O,O,X,O,X,O,O,X,X
IOZJSLT,O,O,X,O,O,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,X,X,X,O,X,O,O,X,X
IOZSTJL,O,O,O,O,O,X,O,X,O,O,X,X
IOZSLTJ,O,O,O,X,X,X,O,X,O,O,X,X
IOZSLJT,X,O,O,X,O,X,O,X,X,X,X,X
IOZSJTL,O,O,O,O,O,X,O,X,O,O,X,X
IOZSJLT,O,O,O,O,O,X,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
LTIJZSO,X,O,O,X,X,X,X,X,X,X,X,X
LTIJZOS,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
LTIJOZS,X,O,X,X,X,O,X,X,X,X,X,X
LTISJZO,X,X,X,X,X,X,X,X,X,X,X,O
LTISJOZ,X,X,X,X,X,O,X,X,X,X,X,O
LTISZJO,X,O,O,X,X,X,X,X,X,X,X,O
LTISZOJ,X,O,O,X,X,X,X,X,X,X,X,O
LTISOJZ,X,X,X,X,X,O,X,X,X,X,X,O
LTISOZJ,X,O,O,X,X,X,X,X,X,X,X,O
LTIZJSO,X,O,O,X,X,X,X,O,X,X,X,X
LTIZJOS,X,X,X,X,X,O,X,O,X,X,X,X
LTIZSJO,X,O,O,X,X,X,X,O,X,X,X,X
LTIZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
LTIZOJS,X,O,X,X,X,O,X,O,X,X,X,X
LTIZOSJ,X,O,O,X,X,X,X,O,X,X,X,X
LTIOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
LTIOJZS,X,O,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,X,X,X,O,X,X,X,X,X,X
LTIOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
LTIOZJS,X,O,X,X,X,O,O,X,X,X,X,X
LTIOZSJ,X,O,O,X,X,X,O,X,X,X,X,X
LTJISZO,X,X,X,X,X,X,X,X,X,X,X,O
LTJISOZ,X,X,X,X,X,O,X,X,X,X,X,O
LTJIZSO,X,O,O,X,X,X,X,O,X,X,X,X
LTJIZOS,X,X,X,X,X,O,X,O,X,X,X,X
LTJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X
LTJIOZS,X,O,X,X,X,O,X,X,X,X,O,X
LTJSIZO,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZIO,X,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,X,X,X,X,X,O,X,X,X,X,O,X
LTJSOZI,X,X,X,X,X,X,X,X,X,X,O,X
LTJZISO,X,O,O,X,X,X,X,O,X,X,X,X
LTJZIOS,X,X,X,X,X,O,X,O,X,X,X,X
LTJZSIO,X,O,X,X,X,X,X,X,X,X,X,X
LTJZSOI,X,X,X,X,O,X,X,X,X,X,X,X
LTJZOIS,X,X,X,X,O,O,X,X,X,X,O,X
LTJZOSI,X,X,X,X,O,X,X,X,X,X,O,X
LTJOISZ,X,X,X,X,X,O,X,X,X,X,O,X
LTJOIZS,X,O,X,X,O,O,X,X,X,X,O,X
LTJOSIZ,X,X,X,X,X,O,X,X,X,X,O,X
LTJOSZI,X,X,X,X,X,X,X,X,X,X,O,X
LTJOZIS,X,O,X,X,O,O,O,X,X,X,O,X
LTJOZSI,X,O,X,X,O,X,X,X,X,X,O,X
LTSIJZO,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,X,X,X,X,X,O,X,X,X,X,X,X
LTSIZJO,X,O,O,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,O,O,X,X,X,X,X,X,X,X,X
LTSIOJZ,X,X,X,X,X,O,O,X,X,X,X,X
LTSIOZJ,X,O,O,X,X,X,O,X,X,X,X,X
LTSJIZO,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,X,X,X,X,X,O,X,X,X,X,X,X
LTSJZIO,X,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,X,X,X,X,X,O,O,X,X,X,X,X
LTSJOZI,X,X,X,X,X,X,O,X,X,X,X,X
LTSZIJO,X,O,O,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,O,O,X,X,X,X,X,X,X,X,X
LTSZJIO,X,O,O,X,X,X,X,X,X,X,X,X
LTSZJOI,X,X,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,O,X,X,X,O,X,O,X,X,X
LTSZOJI,X,X,O,X,X,X,O,X,O,X,X,X
LTSOIJZ,X,X,X,X,X,O,O,X,X,X,X,X
LTSOIZJ,X,O,O,X,X,X,O,X,O,X,X,X
LTSOJIZ,X,X,X,X,X,O,O,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,O,X,X,X,X,X
LTSOZIJ,X,O,O,X,X,X,O,X,O,X,X,X
LTSOZJI,X,O,O,X,X,X,O,X,O,X,X,X
LTZIJSO,X,O,O,X,X,X,X,O,X,X,X,X
LTZIJOS,X,X,X,X,X,O,X,O,X,X,X,X
LTZISJO,X,O,O,X,X,X,X,O,X,X,X,X
LTZISOJ,X,O,O,X,X,X,X,O,X,X,X,X
LTZIOJS,X,O,X,X,X,O,X,O,X,X,X,X
LTZIOSJ,X,O,O,X,X,X,X,O,X,X,X,X
LTZJISO,X,O,O,X,X,X,X,O,X,X,X,X
LTZJIOS,X,X,X,X,X,O,X,O,X,X,X,X
LTZJSIO,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,X,X,X,X,O,X,X,X,X,X,X
LTZJOSI,X,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,X,O,O,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,O,X,X,X,X,X,X,X,X,X
LTZSJIO,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,X,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,X,X,X,X,O,X,X
LTZSOJI,X,X,X,X,X,X,X,X,X,O,X,X
LTZOIJS,X,O,X,X,X,O,O,X,X,O,X,X
LTZOISJ,X,O,O,X,X,X,O,X,X,O,X,X
LTZOJIS,X,O,X,X,X,O,O,X,X,O,X,X
LTZOJSI,X,O,X,X,X,X,X,X,X,O,X,X
LTZOSIJ,X,O,X,X,X,X,O,X,X,O,X,X
LTZOSJI,X,O,X,X,X,X,X,X,X,O,X,X
LTOIJSZ,X,X,X,X,X,O,X,X,X,X,O,X
LTOIJZS,X,O,X,X,O,O,X,X,X,X,O,X
LTOISJZ,X,X,X,X,X,O,X,X,X,X,X,X
LTOISZJ,X,O,X,X,X,X,X,X,O,X,X,X
LTOIZJS,X,O,X,X,X,O,O,X,X,O,X,X
LTOIZSJ,X,O,O,X,X,X,O,X,X,O,X,X
LTOJISZ,X,X,X,X,X,O,X,X,X,X,O,X
LTOJIZS,X,O,X,X,O,O,X,X,X,X,O,X
LTOJSIZ,X,X,X,X,X,O,X,X,X,X,O,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,O,X
LTOJZIS,X,O,X,X,O,O,O,X,X,X,O,X
LTOJZSI,X,O,X,X,O,X,X,X,X,X,O,X
LTOSIJZ,X,X,X,X,X,O,O,X,X,X,X,X
LTOSIZJ,X,O,X,X,X,X,O,X,O,X,X,X
LTOSJIZ,X,X,X,X,X,O,O,X,X,X,X,X
LTOSJZI,X,X,X,X,X,X,O,X,X,X,X,X
LTOSZIJ,X,O,X,X,X,X,O,X,O,X,X,X
LTOSZJI,X,O,X,X,X,X,O,X,O,X,X,X
LTOZIJS,X,O,X,X,X,O,O,X,X,O,X,X
LTOZISJ,X,O,O,X,X,X,O,X,X,O,X,X
LTOZJIS,X,O,X,X,X,O,O,X,X,O,X,X
LTOZJSI,X,O,X,X,X,X,X,X,X,O,X,X
LTOZSIJ,X,O,X,X,X,X,O,X,X,O,X,X
LTOZSJI,X,O,X,X,X,X,O,X,X,O,X,X
LITJSZO,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,X,X,X,X,X,O,X,X,X,X,X,X
LITJZSO,X,O,O,X,X,X,X,X,X,X,X,X
LITJZOS,X,X,X,X,X,O,X,X,X,X,X,X
LITJOSZ,X,X,X,X,X,O,X,X,X,X,X,X
LITJOZS,X,O,X,X,X,O,X,X,X,X,X,X
LITSJZO,X,X,X,X,X,X,X,X,X,X,X,O
LITSJOZ,X,X,X,X,X,O,X,X,X,X,X,O
LITSZJO,X,O,O,X,X,X,X,X,X,X,X,O
LITSZOJ,X,O,O,X,X,X,X,X,X,X,X,O
LITSOJZ,X,X,X,X,X,O,X,X,X,X,X,O
LITSOZJ,X,O,O,X,X,X,X,X,X,X,X,O
LITZJSO,X,O,O,X,X,X,X,O,X,X,X,X
LITZJOS,X,X,X,X,X,O,X,O,X,X,X,X
LITZSJO,X,O,O,X,X,X,X,O,X,X,X,X
LITZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
LITZOJS,X,O,X,X,X,O,X,O,X,X,X,X
LITZOSJ,X,O,O,X,X,X,X,O,X,X,X,X
LITOJSZ,X,X,X,X,X,O,X,X,X,X,X,X
LITOJZS,X,O,X,X,X,O,X,X,X,X,X,X
LITOSJZ,X,X,X,X,X,O,X,X,X,X,X,X
LITOSZJ,X,O,X,X,X,X,X,X,X,X,X,X
LITOZJS,X,O,X,X,X,O,O,X,X,X,X,X
LITOZSJ,X,O,O,X,X,X,O,X,X,X,X,X
LIJTSZO,X,X,X,X,X,X,X,X,X,X,X,O
LIJTSOZ,X,X,X,X,X,O,X,X,X,X,X,O
LIJTZSO,X,O,O,X,X,X,X,O,X,X,X,X
LIJTZOS,X,X,X,X,X,O,X,O,X,X,X,X
LIJTOSZ,X,X,X,X,X,O,X,X,X,X,X,X
LIJTOZS,X,O,X,X,X,O,X,X,X,X,X,X
LIJSTZO,O,X,X,O,X,X,X,X,X,X,X,O
LIJSTOZ,O,X,X,X,X,O,X,X,X,X,X,O
LIJSZTO,O,X,O,O,X,X,X,O,X,X,X,O
LIJSZOT,O,X,O,O,X,X,X,O,X,X,X,O
LIJSOTZ,O,X,X,X,X,O,X,X,X,X,X,O
LIJSOZT,O,X,O,X,X,X,X,X,X,X,X,O
LIJZTSO,X,O,O,X,X,X,X,O,X,X,X,X
LIJZTOS,X,X,X,X,X,O,X,O,X,X,X,X
LIJZSTO,O,O,O,O,X,X,X,O,X,X,X,O
LIJZSOT,O,X,O,O,O,X,X,O,X,X,X,O
LIJZOTS,X,O,X,X,O,O,X,O,X,X,X,X
LIJZOST,O,O,X,O,O,X,X,O,X,X,X,X
LIJOTSZ,X,X,X,X,X,O,X,X,X,X,X,X
LIJOTZS,X,O,X,X,O,O,X,X,X,X,X,X
LIJOSTZ,O,X,X,X,X,O,X,X,X,X,X,O
LIJOSZT,O,X,X,X,O,X,X,X,X,X,X,O
LIJOZTS,X,O,X,X,O,O,X,O,X,X,X,X
LIJOZST,O,O,X,X,O,X,X,O,X,X,X,X
LISTJZO,O,X,X,O,X,X,X,X,X,X,X,O
LISTJOZ,O,X,X,X,X,O,X,X,X,X,X,O
LISTZJO,O,O,O,O,X,X,X,X,X,X,X,O
LISTZOJ,O,O,O,X,X,X,X,X,X,X,X,O
LISTOJZ,O,X,X,X,X,O,O,X,X,X,X,O
LISTOZJ,O,O,O,X,X,X,O,X,X,X,X,O
LISJTZO,O,X,X,O,X,X,X,X,X,X,X,O
LISJTOZ,O,X,X,X,X,O,X,X,X,X,X,O
LISJZTO,O,X,O,O,X,X,X,X,X,X,X,O
LISJZOT,O,X,O,O,X,X,X,X,X,X,X,O
LISJOTZ,O,X,X,X,X,O,X,X,X,X,X,O
LISJOZT,O,X,O,X,X,X,X,X,X,X,X,O
LISZTJO,O,O,O,O,X,X,X,O,X,X,X,O
LISZTOJ,O,O,O,X,X,X,X,O,X,X,X,O
LISZJTO,O,O,O,O,X,X,X,O,X,X,X,O
LISZJOT,O,X,O,O,X,X,X,O,X,X,X,O
LISZOTJ,O,O,O,X,X,X,X,O,X,X,X,O
LISZOJT,X,O,O,X,X,X,X,O,X,X,X,O
LISOTJZ,O,X,X,X,X,O,O,X,X,X,X,O
LISOTZJ,O,O,O,X,X,X,O,X,X,X,X,O
LISOJTZ,O,X,X,X,X,O,O,X,X,X,X,O
LISOJZT,O,X,O,X,X,X,O,X,X,X,X,O
LISOZTJ,O,O,O,X,X,X,O,X,X,X,X,O
LISOZJT,X,O,O,X,X,X,O,X,X,X,X,O
LIZTJSO,X,O,O,X,X,X,X,O,X,X,X,X
LIZTJOS,X,X,X,X,X,O,X,O,X,X,X,X
LIZTSJO,X,O,O,X,X,X,X,O,X,X,X,X
LIZTSOJ,X,O,O,X,X,X,X,O,X,X,X,X
