sequence,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFzfBChBXiB8?nBerBFqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFqkBTgBOmBX?iB8nB1vB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBFhBXiB8?nBTlByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8Jei/IvhF3gBRiBcpBO?rBlnBTqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFGgBFiB8nBz?kBXmByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeTAJvhFRiBOpBXmBl?nB0kByvB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFVmBynBzkBf?rBGnBUqB,v115@GhA8IeA8EeB8AeB8AeA8CeE8JeZEJvhFukBXiB8nBK?qBzlBFrB
LIOJSTZ,X,X,O,X,X,X,X,X
LIOJSZT,X,X,O,X,X,X,X,O
LIOJZTS,X,X,O,X,X,X,X,O
LIOJZST,X,X,O,X,X,X,X,O
LIOSTJZ,X,X,O,X,X,X,O,X
LIOSTZJ,X,X,O,X,X,X,O,X
LIOSJTZ,X,X,O,X,X,X,X,X
LIOSJZT,X,X,O,X,O,X,X,O
LIOSZTJ,X,X,O,X,O,X,X,O
LIOSZJT,X,X,O,X,O,X,X,O
LIOZTJS,X,O,O,X,X,X,O,O
LIOZTSJ,X,O,O,X,O,X,O,O
LIOZJTS,X,X,O,X,X,X,X,O
LIOZJST,X,X,O,X,X,X,X,O
LIOZSTJ,X,O,O,X,O,X,X,O
LIOZSJT,X,X,O,X,O,X,X,O
LJTISZO,O,O,O,O,X,X,X,X
LJTISOZ,O,O,X,X,X,O,X,X
LJTIZSO,O,O,O,O,X,X,X,O
LJTIZOS,O,O,O,O,X,X,X,O
LJTIOSZ,O,O,O,O,X,X,O,X
LJTIOZS,O,O,O,O,X,X,O,O
LJTSIZO,O,O,O,O,X,X,X,X
LJTSIOZ,O,O,X,X,X,O,X,X
LJTSZIO,O,O,O,O,X,X,X,X
LJTSZOI,O,O,O,O,X,X,X,X
LJTSOIZ,O,O,X,X,X,O,X,X
LJTSOZI,O,O,X,X,X,O,X,X
LJTZISO,O,O,O,O,X,X,X,O
LJTZIOS,O,O,O,O,X,X,X,O
LJTZSIO,O,O,O,O,X,X,X,O
LJTZSOI,O,O,O,O,X,X,X,O
LJTZOIS,O,O,O,O,X,X,X,O
LJTZOSI,O,O,O,O,X,X,X,O
LJTOISZ,O,O,O,O,X,X,O,X
LJTOIZS,O,O,O,O,X,X,O,O
LJTOSIZ,O,O,O,O,X,X,X,X
LJTOSZI,O,O,O,O,X,X,X,X
LJTOZIS,O,O,O,O,X,X,X,O
LJTOZSI,O,O,O,O,X,X,X,O
LJITSZO,O,O,O,X,X,X,X,X
LJITSOZ,O,O,X,X,X,X,X,X
LJITZSO,O,O,O,X,X,X,X,O
LJITZOS,O,O,O,X,X,X,X,O
LJITOSZ,O,O,O,X,X,X,O,X
LJITOZS,O,O,O,X,X,X,O,O
LJISTZO,O,X,O,X,X,X,X,X
LJISTOZ,O,X,X,X,X,X,X,X
LJISZTO,O,X,O,O,X,X,X,O
LJISZOT,O,X,O,O,X,X,X,O
LJISOTZ,X,X,X,X,X,X,X,X
LJISOZT,X,X,X,X,X,X,X,O
LJIZTSO,O,O,O,O,X,X,X,O
LJIZTOS,O,O,O,X,X,X,X,O
LJIZSTO,O,O,O,O,X,X,X,O
LJIZSOT,O,X,O,O,X,X,X,O
LJIZOTS,O,X,O,O,X,X,X,O
LJIZOST,O,X,O,O,X,X,X,O
LJIOTSZ,O,X,O,X,X,X,O,X
LJIOTZS,O,X,O,X,X,X,O,O
LJIOSTZ,X,X,O,X,X,X,X,X
LJIOSZT,X,X,O,O,X,X,X,O
LJIOZTS,O,X,O,O,X,X,X,O
LJIOZST,O,X,O,O,X,X,X,O
LJSTIZO,O,X,O,O,X,X,X,X
LJSTIOZ,O,X,X,X,X,O,X,X
LJSTZIO,O,X,O,O,X,X,X,X
LJSTZOI,O,X,O,O,X,X,X,X
LJSTOIZ,O,X,X,X,X,O,X,X
LJSTOZI,O,X,X,X,X,O,X,X
LJSITZO,O,X,O,X,X,X,X,X
LJSITOZ,O,X,X,X,X,X,X,X
LJSIZTO,O,X,O,O,X,X,X,O
LJSIZOT,O,X,O,O,X,X,X,O
LJSIOTZ,X,X,X,X,X,X,X,X
LJSIOZT,X,X,X,X,X,X,X,O
LJSZTIO,O,X,O,O,X,X,X,O
LJSZTOI,O,X,O,O,X,X,X,O
LJSZITO,O,X,O,O,X,X,X,O
LJSZIOT,O,X,O,O,X,X,X,O
LJSZOTI,O,X,O,O,X,X,X,O
LJSZOIT,O,X,O,O,X,X,X,O
LJSOTIZ,X,X,X,X,X,O,X,X
LJSOTZI,X,X,X,X,X,O,X,X
LJSOITZ,X,X,X,X,X,X,X,X
LJSOIZT,X,X,X,X,X,X,X,O
LJSOZTI,X,X,X,X,X,X,X,O
LJSOZIT,X,X,X,X,X,X,X,O
LJZTISO,O,O,O,O,X,X,X,O
LJZTIOS,O,O,O,O,X,X,X,O
LJZTSIO,O,O,O,O,X,X,X,O
LJZTSOI,O,O,O,O,X,X,X,O
LJZTOIS,O,O,O,O,X,X,X,O
LJZTOSI,O,O,O,O,X,X,X,O
LJZITSO,O,O,O,O,X,X,X,O
LJZITOS,O,O,O,O,X,X,X,O
LJZISTO,O,O,O,O,X,X,X,O
LJZISOT,O,X,O,O,X,X,X,O
LJZIOTS,O,X,O,O,X,X,X,O
LJZIOST,O,X,O,O,X,X,X,O
LJZSTIO,O,O,O,O,X,X,X,O
LJZSTOI,O,O,O,O,X,X,X,O
LJZSITO,O,O,O,O,X,X,X,O
LJZSIOT,O,X,O,O,X,X,X,O
LJZSOTI,O,X,O,O,X,X,X,O
LJZSOIT,O,X,O,O,X,X,X,O
LJZOTIS,O,X,O,O,X,X,X,O
LJZOTSI,O,X,O,O,X,X,X,O
LJZOITS,O,X,O,O,X,X,X,O
LJZOIST,O,X,O,O,X,X,X,O
LJZOSTI,O,X,O,O,X,X,X,O
LJZOSIT,O,X,O,O,X,X,X,O
LJOTISZ,O,X,O,O,X,X,O,X
LJOTIZS,O,X,O,O,X,X,O,O
LJOTSIZ,O,X,O,O,X,X,X,X
LJOTSZI,O,X,O,O,X,X,X,X
LJOTZIS,O,X,O,O,X,X,X,O
LJOTZSI,O,X,O,O,X,X,X,O
LJOITSZ,O,X,O,X,X,X,O,X
LJOITZS,O,X,O,X,X,X,O,O
LJOISTZ,X,X,O,X,X,X,X,X
LJOISZT,X,X,O,O,X,X,X,O
LJOIZTS,O,X,O,O,X,X,X,O
LJOIZST,O,X,O,O,X,X,X,O
LJOSTIZ,X,X,O,O,X,X,X,X
LJOSTZI,X,X,O,O,X,X,X,X
LJOSITZ,X,X,O,X,X,X,X,X
LJOSIZT,X,X,O,O,X,X,X,O
LJOSZTI,X,X,O,O,X,X,X,O
LJOSZIT,X,X,O,O,X,X,X,O
LJOZTIS,O,X,O,O,X,X,X,O
LJOZTSI,O,X,O,O,X,X,X,O
LJOZITS,O,X,O,O,X,X,X,O
LJOZIST,O,X,O,O,X,X,X,O
LJOZSTI,O,X,O,O,X,X,X,O
LJOZSIT,O,X,O,O,X,X,X,O
LSTIJZO,X,O,O,X,X,X,X,X
LSTIJOZ,X,O,X,X,X,O,X,X
LSTIZJO,X,O,O,X,X,X,X,X
LSTIZOJ,X,O,O,X,X,X,X,X
LSTIOJZ,X,O,O,X,X,O,O,X
LSTIOZJ,X,O,O,X,X,X,O,X
LSTJIZO,X,O,O,X,X,X,X,X
LSTJIOZ,X,O,X,X,X,O,X,X
LSTJZIO,X,O,O,X,X,X,X,X
LSTJZOI,X,O,O,X,X,X,X,X
LSTJOIZ,X,O,X,X,X,O,X,X
LSTJOZI,X,O,X,X,X,O,X,X
LSTZIJO,X,O,O,X,X,X,X,X
LSTZIOJ,X,O,O,X,X,X,X,X
LSTZJIO,X,O,O,X,X,X,X,X
LSTZJOI,X,O,O,X,X,X,X,X
LSTZOIJ,X,O,O,X,X,X,X,X
LSTZOJI,X,O,O,X,X,X,X,X
LSTOIJZ,X,O,O,X,X,O,O,X
LSTOIZJ,X,O,O,X,X,X,O,X
LSTOJIZ,X,O,O,X,X,O,X,X
LSTOJZI,X,O,O,X,X,O,X,X
LSTOZIJ,X,O,O,X,X,X,X,X
LSTOZJI,X,O,O,X,X,X,X,X
LSITJZO,X,O,O,X,X,X,X,X
LSITJOZ,X,O,X,X,X,X,X,X
LSITZJO,X,O,O,X,X,X,X,X
LSITZOJ,X,O,O,X,X,X,X,X
LSITOJZ,X,O,O,X,X,X,O,X
LSITOZJ,X,O,O,X,X,X,O,X
LSIJTZO,X,X,O,X,X,X,X,X
LSIJTOZ,X,X,X,X,X,X,X,X
LSIJZTO,X,X,O,X,X,X,X,O
LSIJZOT,X,X,O,X,X,X,X,O
LSIJOTZ,X,X,X,X,X,X,X,X
LSIJOZT,X,X,X,X,X,X,X,O
LSIZTJO,X,O,O,X,X,X,X,O
LSIZTOJ,X,O,O,X,O,X,X,O
LSIZJTO,X,O,O,X,X,X,X,O
LSIZJOT,X,X,O,X,X,X,X,O
LSIZOTJ,X,O,O,X,O,X,X,O
LSIZOJT,X,X,O,X,O,X,X,O
LSIOTJZ,X,X,O,X,X,X,O,X
LSIOTZJ,X,X,O,X,X,X,O,X
LSIOJTZ,X,X,O,X,X,X,X,X
LSIOJZT,X,X,O,X,O,X,X,O
LSIOZTJ,X,X,O,X,O,X,X,O
LSIOZJT,X,X,O,X,O,X,X,O
LSJTIZO,X,X,O,X,X,X,X,X
LSJTIOZ,X,X,X,X,X,O,X,X
LSJTZIO,X,X,O,X,X,X,X,X
LSJTZOI,X,X,O,X,X,X,X,X
LSJTOIZ,X,X,X,X,X,O,X,X
LSJTOZI,X,X,X,X,X,O,X,X
LSJITZO,X,X,O,X,X,X,X,X
LSJITOZ,X,X,X,X,X,X,X,X
LSJIZTO,X,X,O,X,X,X,X,O
LSJIZOT,X,X,O,X,X,X,X,O
LSJIOTZ,X,X,X,X,X,X,X,X
LSJIOZT,X,X,X,X,X,X,X,O
LSJZTIO,X,X,O,X,X,X,X,O
LSJZTOI,X,X,O,X,X,X,X,O
LSJZITO,X,X,O,X,X,X,X,O
LSJZIOT,X,X,O,X,X,X,X,O
LSJZOTI,X,X,O,X,X,X,X,O
LSJZOIT,X,X,O,X,X,X,X,O
LSJOTIZ,X,X,X,X,X,O,X,X
LSJOTZI,X,X,X,X,X,O,X,X
LSJOITZ,X,X,X,X,X,X,X,X
LSJOIZT,X,X,X,X,X,X,X,O
LSJOZTI,X,X,X,X,X,X,X,O
LSJOZIT,X,X,X,X,X,X,X,O
LSZTIJO,X,O,O,X,X,X,X,O
LSZTIOJ,X,O,O,X,O,X,X,O
LSZTJIO,X,O,O,X,X,X,X,O
LSZTJOI,X,O,O,X,X,X,X,O
LSZTOIJ,X,O,O,X,O,X,X,O
LSZTOJI,X,O,O,X,O,X,X,O
LSZITJO,X,O,O,X,X,X,X,O
LSZITOJ,X,O,O,X,O,X,X,O
LSZIJTO,X,O,O,X,X,X,X,O
LSZIJOT,X,X,O,X,X,X,X,O
LSZIOTJ,X,O,O,X,O,X,X,O
LSZIOJT,X,X,O,X,O,X,X,O
LSZJTIO,X,O,O,X,X,X,X,O
LSZJTOI,X,O,O,X,X,X,X,O
LSZJITO,X,O,O,X,X,X,X,O
LSZJIOT,X,X,O,X,X,X,X,O
LSZJOTI,X,X,O,X,X,X,X,O
LSZJOIT,X,X,O,X,X,X,X,O
LSZOTIJ,X,O,O,X,O,X,X,O
LSZOTJI,X,O,O,X,O,X,X,O
LSZOITJ,X,O,O,X,O,X,X,O
LSZOIJT,X,X,O,X,O,X,X,O
LSZOJTI,X,X,O,X,O,X,X,O
LSZOJIT,X,X,O,X,O,X,X,O
LSOTIJZ,X,X,O,X,X,O,O,X
LSOTIZJ,X,X,O,X,X,X,O,X
LSOTJIZ,X,X,O,X,X,O,X,X
LSOTJZI,X,X,O,X,X,O,X,X
LSOTZIJ,X,X,O,X,X,X,X,X
LSOTZJI,X,X,O,X,X,X,X,X
LSOITJZ,X,X,O,X,X,X,O,X
LSOITZJ,X,X,O,X,X,X,O,X
LSOIJTZ,X,X,O,X,X,X,X,X
LSOIJZT,X,X,O,X,O,X,X,O
LSOIZTJ,X,X,O,X,O,X,X,O
LSOIZJT,X,X,O,X,O,X,X,O
LSOJTIZ,X,X,O,X,X,O,X,X
LSOJTZI,X,X,O,X,X,O,X,X
LSOJITZ,X,X,O,X,X,X,X,X
LSOJIZT,X,X,O,X,O,X,X,O
LSOJZTI,X,X,O,X,O,X,X,O
LSOJZIT,X,X,O,X,O,X,X,O
LSOZTIJ,X,X,O,X,O,X,X,O
LSOZTJI,X,X,O,X,O,X,X,O
LSOZITJ,X,X,O,X,O,X,X,O
LSOZIJT,X,X,O,X,O,X,X,O
LSOZJTI,X,X,O,X,O,X,X,O
LSOZJIT,X,X,O,X,O,X,X,O
LZTIJSO,O,O,O,O,X,X,X,O
LZTIJOS,O,O,O,O,X,X,X,O
LZTISJO,X,O,O,O,X,X,X,O
LZTISOJ,X,O,O,O,O,X,X,O
LZTIOJS,O,O,O,O,X,X,O,O
LZTIOSJ,X,O,O,O,O,X,O,O
LZTJISO,O,O,O,O,X,X,X,O
LZTJIOS,O,O,O,O,X,X,X,O
LZTJSIO,O,O,O,O,X,X,X,O
LZTJSOI,O,O,O,O,X,X,X,O
LZTJOIS,O,O,O,O,X,X,X,O
LZTJOSI,O,O,O,O,X,X,X,O
LZTSIJO,X,O,O,O,X,X,X,O
LZTSIOJ,X,O,O,O,O,X,X,O
LZTSJIO,X,O,O,O,X,X,X,O
LZTSJOI,X,O,O,O,X,X,X,O
LZTSOIJ,X,O,O,O,O,X,X,O
LZTSOJI,X,O,O,O,O,X,X,O
LZTOIJS,O,O,O,O,X,X,O,O
LZTOISJ,X,O,O,O,O,X,O,O
LZTOJIS,O,O,O,O,X,X,X,O
LZTOJSI,O,O,O,O,X,X,X,O
LZTOSIJ,X,O,O,O,O,X,X,O
LZTOSJI,X,O,O,O,O,X,X,O
LZITJSO,O,O,O,O,X,X,X,O
LZITJOS,O,O,O,O,X,X,X,O
LZITSJO,X,O,O,O,X,X,X,O
LZITSOJ,X,O,O,O,O,X,X,O
LZITOJS,O,O,O,O,X,X,O,O
LZITOSJ,X,O,O,O,O,X,O,O
LZIJTSO,O,O,O,O,X,X,X,O
LZIJTOS,O,O,O,O,X,X,X,O
LZIJSTO,O,O,O,O,X,X,X,O
LZIJSOT,O,X,O,O,X,X,X,O
LZIJOTS,O,X,O,X,X,X,X,O
LZIJOST,O,X,O,O,X,X,X,O
LZISTJO,O,O,O,X,X,X,X,O
LZISTOJ,X,O,O,X,O,X,X,O
LZISJTO,O,O,O,X,X,X,X,O
LZISJOT,O,X,O,X,X,X,X,O
LZISOTJ,X,O,O,X,O,X,X,O
LZISOJT,O,X,O,X,O,X,X,O
LZIOTJS,X,O,O,O,X,X,O,O
LZIOTSJ,X,O,O,O,O,X,O,O
LZIOJTS,X,X,O,O,X,X,X,O
LZIOJST,X,X,O,O,X,X,X,O
LZIOSTJ,X,O,O,O,O,X,X,O
LZIOSJT,X,X,O,X,O,X,X,O
LZJTISO,O,O,O,O,X,X,X,O
LZJTIOS,O,O,O,O,X,X,X,O
LZJTSIO,O,O,O,O,X,X,X,O
LZJTSOI,O,O,O,O,X,X,X,O
LZJTOIS,O,O,O,O,X,X,X,O
LZJTOSI,O,O,O,O,X,X,X,O
LZJITSO,O,O,O,O,X,X,X,O
LZJITOS,O,O,O,O,X,X,X,O
LZJISTO,O,O,O,O,X,X,X,O
LZJISOT,O,X,O,O,X,X,X,O
LZJIOTS,O,X,O,O,X,X,X,O
LZJIOST,O,X,O,O,X,X,X,O
LZJSTIO,O,O,O,O,X,X,X,O
LZJSTOI,O,O,O,O,X,X,X,O
LZJSITO,O,O,O,O,X,X,X,O
LZJSIOT,O,X,O,O,X,X,X,O
LZJSOTI,O,X,O,O,X,X,X,O
LZJSOIT,O,X,O,O,X,X,X,O
LZJOTIS,O,X,O,O,X,X,X,O
LZJOTSI,O,X,O,O,X,X,X,O
LZJOITS,O,X,O,O,X,X,X,O
LZJOIST,O,X,O,O,X,X,X,O
LZJOSTI,O,X,O,O,X,X,X,O
LZJOSIT,O,X,O,O,X,X,X,O
LZSTIJO,O,O,O,O,X,X,X,O
LZSTIOJ,X,O,O,O,O,X,X,O
LZSTJIO,O,O,O,O,X,X,X,O
LZSTJOI,O,O,O,O,X,X,X,O
LZSTOIJ,X,O,O,O,O,X,X,O
LZSTOJI,X,O,O,O,O,X,X,O
LZSITJO,O,O,O,X,X,X,X,O
LZSITOJ,X,O,O,X,O,X,X,O
LZSIJTO,O,O,O,X,X,X,X,O
LZSIJOT,O,X,O,X,X,X,X,O
LZSIOTJ,X,O,O,X,O,X,X,O
LZSIOJT,O,X,O,X,O,X,X,O
LZSJTIO,O,O,O,O,X,X,X,O
LZSJTOI,O,O,O,O,X,X,X,O
LZSJITO,O,O,O,O,X,X,X,O
LZSJIOT,O,X,O,O,X,X,X,O
LZSJOTI,O,X,O,O,X,X,X,O
LZSJOIT,O,X,O,O,X,X,X,O
LZSOTIJ,X,O,O,O,O,X,X,O
LZSOTJI,X,O,O,O,O,X,X,O
LZSOITJ,X,O,O,O,O,X,X,O
LZSOIJT,O,X,O,X,O,X,X,O
LZSOJTI,O,X,O,O,O,X,X,O
LZSOJIT,O,X,O,O,O,X,X,O
LZOTIJS,X,O,O,O,X,X,O,O
LZOTISJ,X,O,O,O,O,X,O,O
LZOTJIS,X,O,O,O,X,X,X,O
LZOTJSI,X,O,O,O,X,X,X,O
LZOTSIJ,X,O,O,O,O,X,X,O
LZOTSJI,X,O,O,O,O,X,X,O
LZOITJS,X,O,O,O,X,X,O,O
LZOITSJ,X,O,O,O,O,X,O,O
LZOIJTS,X,X,O,O,X,X,X,O
LZOIJST,X,X,O,O,X,X,X,O
LZOISTJ,X,O,O,O,O,X,X,O
LZOISJT,X,X,O,X,O,X,X,O
LZOJTIS,X,X,O,O,X,X,X,O
LZOJTSI,X,X,O,O,X,X,X,O
LZOJITS,X,X,O,O,X,X,X,O
LZOJIST,X,X,O,O,X,X,X,O
LZOJSTI,X,X,O,O,X,X,X,O
LZOJSIT,X,X,O,O,X,X,X,O
LZOSTIJ,X,O,O,O,O,X,X,O
LZOSTJI,X,O,O,O,O,X,X,O
LZOSITJ,X,O,O,O,O,X,X,O
LZOSIJT,X,X,O,X,O,X,X,O
LZOSJTI,X,X,O,O,O,X,X,O
LZOSJIT,X,X,O,O,O,X,X,O
LOTIJSZ,X,O,O,X,X,X,O,X
LOTIJZS,X,O,O,X,X,X,O,O
LOTISJZ,X,O,O,X,X,X,O,X
LOTISZJ,X,O,O,O,X,X,O,X
LOTIZJS,X,O,O,O,X,X,O,O
LOTIZSJ,X,O,O,O,X,X,O,O
LOTJISZ,X,O,O,O,X,X,O,X
LOTJIZS,X,O,O,O,X,X,O,O
LOTJSIZ,X,O,O,O,X,X,X,X
LOTJSZI,X,O,O,O,X,X,X,X
LOTJZIS,X,O,O,O,X,X,X,O
LOTJZSI,X,O,O,O,X,X,X,O
LOTSIJZ,X,O,O,X,X,X,O,X
LOTSIZJ,X,O,O,O,X,X,O,X
LOTSJIZ,X,O,O,X,X,X,X,X
LOTSJZI,X,O,O,X,X,X,X,X
LOTSZIJ,X,O,O,O,X,X,X,X
LOTSZJI,X,O,O,O,X,X,X,X
LOTZIJS,X,O,O,O,X,X,O,O
LOTZISJ,X,O,O,O,X,X,O,O
LOTZJIS,X,O,O,O,X,X,X,O
LOTZJSI,X,O,O,O,X,X,X,O
LOTZSIJ,X,O,O,O,X,X,X,O
LOTZSJI,X,O,O,O,X,X,X,O
LOITJSZ,X,O,O,X,X,X,O,X
LOITJZS,X,O,O,X,X,X,O,O
LOITSJZ,X,O,O,X,X,X,O,X
LOITSZJ,X,O,O,X,X,X,O,X
LOITZJS,X,O,O,X,X,X,O,O
LOITZSJ,X,O,O,X,X,X,O,O
LOIJTSZ,X,X,O,X,X,X,O,X
LOIJTZS,X,X,O,X,X,X,O,O
LOIJSTZ,X,X,O,X,X,X,X,X
LOIJSZT,X,X,O,X,X,X,X,O
LOIJZTS,X,X,O,X,X,X,X,O
LOIJZST,X,X,O,X,X,X,X,O
LOISTJZ,X,X,O,X,X,X,O,X
LOISTZJ,X,X,O,X,X,X,O,X
LOISJTZ,X,X,O,X,X,X,X,X
LOISJZT,X,X,O,X,O,X,X,O
LOISZTJ,X,X,O,X,O,X,X,O
LOISZJT,X,X,O,X,O,X,X,O
LOIZTJS,X,O,O,X,X,X,O,O
LOIZTSJ,X,O,O,X,O,X,O,O
LOIZJTS,X,X,O,X,X,X,X,O
LOIZJST,X,X,O,X,X,X,X,O
LOIZSTJ,X,O,O,X,O,X,X,O
LOIZSJT,X,X,O,X,O,X,X,O
LOJTISZ,X,X,O,O,X,X,O,X
LOJTIZS,X,X,O,O,X,X,O,O
LOJTSIZ,X,X,O,O,X,X,X,X
LOJTSZI,X,X,O,O,X,X,X,X
LOJTZIS,X,X,O,O,X,X,X,O
LOJTZSI,X,X,O,O,X,X,X,O
LOJITSZ,X,X,O,X,X,X,O,X
LOJITZS,X,X,O,X,X,X,O,O
LOJISTZ,X,X,O,X,X,X,X,X
LOJISZT,X,X,O,O,X,X,X,O
LOJIZTS,X,X,O,O,X,X,X,O
LOJIZST,X,X,O,O,X,X,X,O
LOJSTIZ,X,X,O,O,X,X,X,X
LOJSTZI,X,X,O,O,X,X,X,X
LOJSITZ,X,X,O,X,X,X,X,X
LOJSIZT,X,X,O,O,X,X,X,O
LOJSZTI,X,X,O,O,X,X,X,O
LOJSZIT,X,X,O,O,X,X,X,O
LOJZTIS,X,X,O,O,X,X,X,O
LOJZTSI,X,X,O,O,X,X,X,O
LOJZITS,X,X,O,O,X,X,X,O
LOJZIST,X,X,O,O,X,X,X,O
LOJZSTI,X,X,O,O,X,X,X,O
LOJZSIT,X,X,O,O,X,X,X,O
LOSTIJZ,X,X,O,X,X,X,O,X
LOSTIZJ,X,X,O,O,X,X,O,X
LOSTJIZ,X,X,O,X,X,X,X,X
LOSTJZI,X,X,O,X,X,X,X,X
LOSTZIJ,X,X,O,O,X,X,X,X
LOSTZJI,X,X,O,O,X,X,X,X
LOSITJZ,X,X,O,X,X,X,O,X
LOSITZJ,X,X,O,X,X,X,O,X
LOSIJTZ,X,X,O,X,X,X,X,X
LOSIJZT,X,X,O,X,O,X,X,O
LOSIZTJ,X,X,O,X,O,X,X,O
LOSIZJT,X,X,O,X,O,X,X,O
LOSJTIZ,X,X,O,X,X,X,X,X
LOSJTZI,X,X,O,X,X,X,X,X
LOSJITZ,X,X,O,X,X,X,X,X
LOSJIZT,X,X,O,X,O,X,X,O
LOSJZTI,X,X,O,X,O,X,X,O
LOSJZIT,X,X,O,X,O,X,X,O
LOSZTIJ,X,X,O,O,O,X,X,O
LOSZTJI,X,X,O,O,O,X,X,O
LOSZITJ,X,X,O,O,O,X,X,O
LOSZIJT,X,X,O,X,O,X,X,O
LOSZJTI,X,X,O,O,O,X,X,O
LOSZJIT,X,X,O,X,O,X,X,O
LOZTIJS,X,O,O,O,X,X,O,O
LOZTISJ,X,O,O,O,O,X,O,O
LOZTJIS,X,O,O,O,X,X,X,O
LOZTJSI,X,O,O,O,X,X,X,O
LOZTSIJ,X,O,O,O,O,X,X,O
LOZTSJI,X,O,O,O,O,X,X,O
LOZITJS,X,O,O,O,X,X,O,O
LOZITSJ,X,O,O,O,O,X,O,O
LOZIJTS,X,X,O,O,X,X,X,O
LOZIJST,X,X,O,O,X,X,X,O
LOZISTJ,X,O,O,O,O,X,X,O
LOZISJT,X,X,O,X,O,X,X,O
LOZJTIS,X,X,O,O,X,X,X,O
LOZJTSI,X,X,O,O,X,X,X,O
LOZJITS,X,X,O,O,X,X,X,O
LOZJIST,X,X,O,O,X,X,X,O
LOZJSTI,X,X,O,O,X,X,X,O
LOZJSIT,X,X,O,O,X,X,X,O
LOZSTIJ,X,O,O,O,O,X,X,O
LOZSTJI,X,O,O,O,O,X,X,O
LOZSITJ,X,O,O,O,O,X,X,O
LOZSIJT,X,X,O,X,O,X,X,O
LOZSJTI,X,X,O,O,O,X,X,O
LOZSJIT,X,X,O,O,O,X,X,O
JTILSZO,O,O,O,O,X,X,X,X
JTILSOZ,O,O,X,X,X,O,X,X
JTILZSO,O,O,O,O,X,X,X,O
JTILZOS,O,O,O,O,X,X,X,O
JTILOSZ,O,O,X,O,X,X,O,X
JTILOZS,O,O,O,O,X,X,O,O
JTISLZO,O,O,X,O,X,X,X,X
JTISLOZ,O,O,X,X,X,O,X,X
JTISZLO,O,O,X,O,X,X,X,X
JTISZOL,O,O,X,O,X,O,X,X
JTISOLZ,O,X,X,O,X,O,X,X
JTISOZL,O,X,X,O,X,O,X,X
JTIZLSO,O,O,O,O,X,X,X,O
JTIZLOS,O,O,O,O,X,X,X,O
JTIZSLO,O,O,O,O,X,X,X,O
JTIZSOL,O,O,O,O,X,O,X,X
JTIZOLS,O,O,X,O,X,X,X,X
JTIZOSL,O,O,X,O,X,X,X,X
JTIOLSZ,O,O,X,O,X,X,O,X
JTIOLZS,O,O,X,O,X,X,O,X
JTIOSLZ,O,X,X,O,X,O,X,X
JTIOSZL,O,X,X,O,X,O,X,X
JTIOZLS,O,O,X,O,X,X,X,X
JTIOZSL,O,O,X,O,X,X,X,X
JTLISZO,O,O,O,O,X,X,X,X
JTLISOZ,O,O,X,X,X,O,X,X
JTLIZSO,O,O,O,O,X,X,X,O
JTLIZOS,O,O,O,O,X,X,X,O
JTLIOSZ,O,O,X,O,X,X,O,X
JTLIOZS,O,O,O,O,X,X,O,O
JTLSIZO,O,O,O,O,X,X,X,X
JTLSIOZ,O,O,X,X,X,O,X,X
JTLSZIO,O,O,O,O,X,X,X,X
JTLSZOI,O,O,O,O,X,X,X,X
JTLSOIZ,O,O,X,X,X,O,X,X
JTLSOZI,O,O,X,X,X,O,X,X
JTLZISO,O,O,O,O,X,X,X,O
JTLZIOS,O,O,O,O,X,X,X,O
JTLZSIO,O,O,O,O,X,X,X,O
JTLZSOI,O,O,O,O,X,X,X,O
JTLZOIS,O,O,O,O,X,X,X,O
JTLZOSI,O,O,O,O,X,X,X,O
JTLOISZ,O,O,X,O,X,X,O,X
JTLOIZS,O,O,O,O,X,X,O,O
JTLOSIZ,O,O,X,O,X,X,X,X
JTLOSZI,O,O,X,O,X,X,X,X
JTLOZIS,O,O,O,O,X,X,X,O
JTLOZSI,O,O,O,O,X,X,X,O
JTSILZO,O,O,X,O,X,X,X,X
JTSILOZ,O,O,X,X,X,O,X,X
JTSIZLO,O,O,X,O,X,X,X,X
JTSIZOL,O,O,X,O,X,O,X,X
JTSIOLZ,O,X,X,O,X,O,X,X
JTSIOZL,O,X,X,O,X,O,X,X
JTSLIZO,O,O,X,O,X,X,X,X
JTSLIOZ,O,O,X,X,X,O,X,X
JTSLZIO,O,O,X,O,X,X,X,X
JTSLZOI,O,O,X,O,X,X,X,X
JTSLOIZ,O,O,X,X,X,O,X,X
JTSLOZI,O,O,X,X,X,O,X,X
JTSZILO,O,O,X,O,X,X,X,X
JTSZIOL,O,O,X,O,X,O,X,X
JTSZLIO,O,O,X,O,X,X,X,X
JTSZLOI,O,O,X,O,X,X,X,X
JTSZOIL,O,O,X,O,X,O,X,X
JTSZOLI,O,O,X,O,X,O,X,X
JTSOILZ,O,X,X,O,X,O,X,X
JTSOIZL,O,X,X,O,X,O,X,X
