sequence,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgB8lBzhB5?nB6oBlrB,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgBlhB5nB6?oBzlB8rB
ITZJOLS,O,O
ITZJOSL,O,O
ITZSLJO,O,O
ITZSLOJ,O,O
ITZSJLO,O,O
ITZSJOL,O,O
ITZSOLJ,O,O
ITZSOJL,O,O
ITZOLJS,O,O
ITZOLSJ,O,O
ITZOJLS,O,O
ITZOJSL,O,O
ITZOSLJ,O,O
ITZOSJL,O,O
ITOLJSZ,O,O
ITOLJZS,O,O
ITOLSJZ,O,O
ITOLSZJ,O,O
ITOLZJS,O,O
ITOLZSJ,O,O
ITOJLSZ,O,O
ITOJLZS,O,O
ITOJSLZ,O,O
ITOJSZL,O,O
ITOJZLS,O,O
ITOJZSL,O,O
ITOSLJZ,O,O
ITOSLZJ,O,O
ITOSJLZ,O,O
ITOSJZL,O,O
ITOSZLJ,O,O
ITOSZJL,O,O
ITOZLJS,O,O
ITOZLSJ,O,O
ITOZJLS,O,O
ITOZJSL,O,O
ITOZSLJ,O,O
ITOZSJL,O,O
ILTJSZO,O,O
ILTJSOZ,O,O
ILTJZSO,O,O
ILTJZOS,O,O
ILTJOSZ,O,O
ILTJOZS,O,O
ILTSJZO,O,O
ILTSJOZ,O,O
ILTSZJO,O,O
ILTSZOJ,O,O
ILTSOJZ,O,O
ILTSOZJ,O,O
ILTZJSO,O,O
ILTZJOS,O,O
ILTZSJO,O,O
ILTZSOJ,O,O
ILTZOJS,O,O
ILTZOSJ,O,O
ILTOJSZ,O,O
ILTOJZS,O,O
ILTOSJZ,O,O
ILTOSZJ,O,O
ILTOZJS,O,O
ILTOZSJ,O,O
ILJTSZO,O,O
ILJTSOZ,O,O
ILJTZSO,O,O
ILJTZOS,O,O
ILJTOSZ,O,O
ILJTOZS,O,O
ILJSTZO,O,O
ILJSTOZ,O,O
ILJSZTO,O,O
ILJSZOT,O,O
ILJSOTZ,X,O
ILJSOZT,O,O
ILJZTSO,O,O
ILJZTOS,O,O
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,O,O
ILJZOST,O,O
ILJOTSZ,O,O
ILJOTZS,O,O
ILJOSTZ,X,O
ILJOSZT,O,O
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,O,O
ILSTJOZ,O,O
ILSTZJO,O,O
ILSTZOJ,O,O
ILSTOJZ,O,O
ILSTOZJ,O,O
ILSJTZO,O,O
ILSJTOZ,O,O
ILSJZTO,O,O
ILSJZOT,O,O
ILSJOTZ,X,O
ILSJOZT,O,O
ILSZTJO,O,O
ILSZTOJ,O,O
ILSZJTO,O,O
ILSZJOT,O,O
ILSZOTJ,O,O
ILSZOJT,O,O
ILSOTJZ,X,O
ILSOTZJ,X,O
ILSOJTZ,X,O
ILSOJZT,O,O
ILSOZTJ,O,O
ILSOZJT,O,O
ILZTJSO,O,O
ILZTJOS,O,O
ILZTSJO,O,O
ILZTSOJ,O,O
ILZTOJS,O,O
ILZTOSJ,O,O
ILZJTSO,O,O
ILZJTOS,O,O
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,O,O
ILZJOST,O,O
ILZSTJO,O,O
ILZSTOJ,O,O
ILZSJTO,O,O
ILZSJOT,O,O
ILZSOTJ,O,O
ILZSOJT,O,O
ILZOTJS,O,O
ILZOTSJ,O,O
ILZOJTS,O,O
ILZOJST,O,O
ILZOSTJ,O,O
ILZOSJT,O,O
ILOTJSZ,O,O
ILOTJZS,O,O
ILOTSJZ,O,O
ILOTSZJ,O,O
ILOTZJS,O,O
ILOTZSJ,O,O
ILOJTSZ,O,O
ILOJTZS,O,O
ILOJSTZ,X,O
ILOJSZT,O,O
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,X,O
ILOSTZJ,X,O
ILOSJTZ,X,O
ILOSJZT,O,O
ILOSZTJ,O,O
ILOSZJT,O,O
ILOZTJS,O,O
ILOZTSJ,O,O
ILOZJTS,O,O
ILOZJST,O,O
ILOZSTJ,O,O
ILOZSJT,O,O
IJTLSZO,O,O
IJTLSOZ,O,O
IJTLZSO,O,O
IJTLZOS,O,O
IJTLOSZ,O,O
IJTLOZS,O,O
IJTSLZO,O,O
IJTSLOZ,O,O
IJTSZLO,O,O
IJTSZOL,O,O
IJTSOLZ,O,O
IJTSOZL,O,O
IJTZLSO,O,O
IJTZLOS,O,O
IJTZSLO,O,O
IJTZSOL,O,O
IJTZOLS,O,O
IJTZOSL,O,O
IJTOLSZ,O,O
IJTOLZS,O,O
IJTOSLZ,O,O
IJTOSZL,O,O
IJTOZLS,O,O
IJTOZSL,O,O
IJLTSZO,O,O
IJLTSOZ,O,O
IJLTZSO,O,O
IJLTZOS,O,O
IJLTOSZ,O,O
IJLTOZS,O,O
IJLSTZO,O,O
IJLSTOZ,O,O
IJLSZTO,O,O
IJLSZOT,O,O
IJLSOTZ,X,O
IJLSOZT,O,O
IJLZTSO,O,O
IJLZTOS,O,O
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
IJLOTSZ,O,O
IJLOTZS,O,O
IJLOSTZ,X,O
IJLOSZT,O,O
IJLOZTS,O,O
IJLOZST,O,O
IJSTLZO,O,O
IJSTLOZ,O,O
IJSTZLO,O,O
IJSTZOL,O,O
IJSTOLZ,O,O
IJSTOZL,O,O
IJSLTZO,O,O
IJSLTOZ,O,O
IJSLZTO,O,O
IJSLZOT,O,O
IJSLOTZ,X,O
IJSLOZT,O,O
IJSZTLO,O,O
IJSZTOL,O,O
IJSZLTO,O,O
IJSZLOT,O,O
IJSZOTL,O,O
IJSZOLT,O,O
IJSOTLZ,X,O
IJSOTZL,X,O
IJSOLTZ,X,O
IJSOLZT,O,O
IJSOZTL,O,O
IJSOZLT,O,O
IJZTLSO,O,O
IJZTLOS,O,O
IJZTSLO,O,O
IJZTSOL,O,O
IJZTOLS,O,O
IJZTOSL,O,O
IJZLTSO,O,O
IJZLTOS,O,O
IJZLSTO,O,O
IJZLSOT,O,O
IJZLOTS,O,O
IJZLOST,O,O
IJZSTLO,O,O
IJZSTOL,O,O
IJZSLTO,O,O
IJZSLOT,O,O
IJZSOTL,O,O
IJZSOLT,O,O
IJZOTLS,O,O
IJZOTSL,O,O
IJZOLTS,O,O
IJZOLST,O,O
IJZOSTL,O,O
IJZOSLT,O,O
IJOTLSZ,O,O
IJOTLZS,O,O
IJOTSLZ,O,O
IJOTSZL,O,O
IJOTZLS,O,O
IJOTZSL,O,O
IJOLTSZ,O,O
