sequence,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeuEJvhF0iB6oB?/qBRmBFmBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFTjBClB?8qBGnBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeGAJvhFlhBzkB?8qBxnBCoBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFfmB0hB?xiBGqBFtBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBFjB?StBRqBuqB0sB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF1mB0iB?StBRqBuqBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFRhB3iB?FmBGqBCtBctB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeCAJvhFlhBXlB?8qBxnBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhF3hBlnB?ctBRqBuqBCtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JexBJvhFClB8qB?GnBToBFlBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhF3hB0lB?xnBGoBzsBlqB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8JeqEJvhFTgBlhB?8qBxnBWtBXtB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Je3BJvhFFlBxnB?ClB8qBGoBzsB,v115@9gA8IeA8IeA8DeB8CeC8AeC8BeA8Jez/IvhFXjBRmB?ctBFmB6sBGqB
ZIJSOTL,X,O,X,O,X,X,X,X,O,X,X,X,X,O
ZIJSOLT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
ZIJOTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZIJOTSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZIJOLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZIJOLST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZIJOSTL,X,O,O,X,X,X,X,X,O,X,X,X,X,O
ZIJOSLT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZISTLJO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
ZISTLOJ,X,X,O,X,X,X,X,O,O,X,X,O,O,X
ZISTJLO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
ZISTJOL,X,X,O,O,X,X,X,X,O,X,X,X,O,O
ZISTOLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
ZISTOJL,X,X,O,O,X,X,X,O,O,X,X,X,O,X
ZISLTJO,X,X,X,X,O,X,X,O,O,X,X,X,X,X
ZISLTOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZISLJTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ZISLJOT,X,O,X,O,O,X,X,X,X,O,O,X,X,O
ZISLOTJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZISLOJT,X,O,O,X,O,X,X,O,X,X,O,X,X,X
ZISJTLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZISJTOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZISJLTO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZISJLOT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
ZISJOTL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZISJOLT,X,O,O,O,X,X,X,X,X,O,X,X,X,O
ZISOTLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZISOTJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZISOLTJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X
ZISOLJT,X,O,O,X,O,X,X,O,X,X,X,X,X,X
ZISOJTL,X,O,O,O,X,X,X,O,O,X,X,X,X,O
ZISOJLT,X,O,O,O,X,X,X,O,X,X,X,X,X,O
ZIOTLJS,X,X,O,X,X,O,X,X,O,X,X,O,X,X
ZIOTLSJ,X,X,X,X,X,O,X,O,O,X,X,O,X,X
ZIOTJLS,X,X,O,X,X,O,X,X,O,X,X,X,X,X
ZIOTJSL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOTSLJ,X,X,O,X,X,O,X,O,O,X,X,X,X,X
ZIOTSJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOLTJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
ZIOLTSJ,X,X,X,X,O,O,X,O,O,X,X,O,X,X
ZIOLJTS,X,X,O,X,O,O,X,X,X,O,X,O,X,X
ZIOLJST,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZIOLSTJ,X,X,X,X,O,X,X,O,O,X,X,O,X,X
ZIOLSJT,X,X,X,X,O,X,X,O,X,X,X,X,X,X
ZIOJTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZIOJTSL,X,X,O,X,X,X,X,O,O,X,X,X,X,O
ZIOJLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZIOJLST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZIOJSTL,X,O,O,X,X,X,X,O,O,X,X,X,X,O
ZIOJSLT,X,O,O,X,X,X,X,O,X,O,X,X,X,O
ZIOSTLJ,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOSTJL,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZIOSLTJ,X,X,O,X,O,X,X,O,O,X,X,X,X,X
ZIOSLJT,X,X,O,X,O,X,X,O,X,X,X,X,X,X
ZIOSJTL,X,X,O,O,X,X,X,O,O,X,X,X,X,O
ZIOSJLT,X,X,O,O,X,X,X,O,X,X,X,X,X,O
ZLTIJSO,X,O,X,X,O,O,O,X,O,X,X,X,X,X
ZLTIJOS,X,X,X,X,O,O,O,X,O,O,X,O,X,X
ZLTISJO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
ZLTISOJ,X,X,X,X,O,O,X,O,O,X,O,O,X,X
ZLTIOJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
ZLTIOSJ,X,X,X,X,O,O,X,X,O,X,X,O,X,X
ZLTJISO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZLTJIOS,X,X,X,X,X,O,O,X,X,O,X,O,X,X
ZLTJSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLTJSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLTJOIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZLTJOSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZLTSIJO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
ZLTSIOJ,X,X,O,X,O,O,X,O,O,X,O,O,X,X
ZLTSJIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLTSJOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLTSOIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLTSOJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLTOIJS,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZLTOISJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZLTOJIS,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLTOJSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLTOSIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLTOSJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLITJSO,X,O,X,X,O,O,X,X,O,X,X,X,X,X
ZLITJOS,X,X,X,X,O,O,X,X,O,O,X,O,X,X
ZLITSJO,X,X,X,X,O,O,X,O,O,X,X,X,X,X
ZLITSOJ,X,X,X,X,O,O,X,O,O,X,O,O,X,X
ZLITOJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
ZLITOSJ,X,X,X,X,O,O,X,X,O,X,X,O,X,X
ZLIJTSO,X,O,X,X,O,O,X,X,X,X,X,X,X,X
ZLIJTOS,X,X,X,X,O,O,X,X,X,O,X,O,X,X
ZLIJSTO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLIJSOT,X,O,X,X,O,X,X,X,X,O,O,X,X,O
ZLIJOTS,X,X,X,X,O,O,X,X,X,O,X,O,X,X
ZLIJOST,X,O,X,X,O,X,X,X,X,O,X,X,X,O
ZLISTJO,X,X,X,X,O,O,X,O,O,X,X,X,X,X
ZLISTOJ,X,X,X,X,O,O,X,O,O,X,O,O,X,X
ZLISJTO,X,O,X,X,O,X,X,O,X,X,X,X,X,X
ZLISJOT,X,O,X,O,O,X,X,X,X,O,O,X,X,O
ZLISOTJ,X,X,X,X,O,O,X,O,O,X,O,O,X,X
ZLISOJT,X,O,X,X,O,X,X,X,X,X,O,X,X,X
ZLIOTJS,X,X,O,X,O,O,X,X,O,X,X,O,X,X
ZLIOTSJ,X,X,X,X,O,O,X,X,O,X,O,O,X,X
ZLIOJTS,X,X,O,X,O,O,X,X,X,O,X,O,X,X
ZLIOJST,X,O,X,X,O,X,X,X,X,O,O,X,X,X
ZLIOSTJ,X,X,X,X,O,O,X,X,O,X,O,O,X,X
ZLIOSJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLJTISO,X,O,X,X,X,O,O,X,X,X,X,X,X,X
ZLJTIOS,X,X,X,X,X,O,O,X,X,O,X,O,X,X
ZLJTSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTOIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZLJTOSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZLJITSO,X,O,X,X,X,O,X,X,X,X,X,X,X,X
ZLJITOS,X,X,X,X,X,O,X,X,X,O,X,O,X,X
ZLJISTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJISOT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
ZLJIOTS,X,X,X,X,X,O,X,X,X,O,X,O,X,X
ZLJIOST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZLJSTIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,O,O,X,X,X,X,X,X,X,O,O,X,X,O
ZLJSOTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLJSOIT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
ZLJOTIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZLJOTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZLJOITS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZLJOIST,X,O,X,X,X,X,X,X,X,O,O,X,X,O
ZLJOSTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOSIT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
ZLSTIJO,X,X,X,O,O,O,X,O,O,X,X,X,X,X
ZLSTIOJ,X,X,O,X,O,O,X,O,O,X,O,O,X,X
ZLSTJIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSTJOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSTOIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLSTOJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLSITJO,O,X,X,X,O,O,X,O,O,X,X,X,X,X
ZLSITOJ,X,X,O,X,O,O,X,O,O,X,O,O,X,X
ZLSIJTO,O,O,X,X,O,X,X,O,X,X,X,X,X,X
ZLSIJOT,O,O,X,O,O,X,X,X,X,O,O,X,X,O
ZLSIOTJ,X,X,O,X,O,O,X,O,O,X,O,O,X,X
ZLSIOJT,O,O,O,X,O,X,X,O,X,X,O,X,X,X
ZLSJTIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSJTOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZLSJITO,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZLSJIOT,O,O,X,O,X,X,X,X,X,O,O,X,X,O
ZLSJOTI,X,O,X,O,X,X,X,O,X,O,X,X,X,X
ZLSJOIT,X,O,X,O,X,X,X,O,X,O,O,X,X,O
ZLSOTIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLSOTJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLSOITJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLSOIJT,X,O,O,X,X,X,X,O,X,X,O,X,X,X
ZLSOJTI,X,O,O,X,X,X,X,O,X,O,X,X,X,X
ZLSOJIT,X,O,O,X,X,X,X,O,X,O,O,X,X,X
ZLOTIJS,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZLOTISJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZLOTJIS,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLOTJSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOTSIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLOTSJI,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLOITJS,X,X,O,X,X,O,X,X,X,X,X,O,X,X
ZLOITSJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZLOIJTS,X,X,O,X,X,O,X,X,X,O,X,O,X,X
ZLOIJST,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLOISTJ,X,X,X,X,X,O,X,O,X,X,O,O,X,X
ZLOISJT,X,X,X,X,X,X,X,O,X,X,O,X,X,X
ZLOJTIS,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLOJTSI,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJITS,X,X,O,X,X,X,X,X,X,O,X,O,X,X
ZLOJIST,X,O,X,X,X,X,X,X,X,O,O,X,X,X
ZLOJSTI,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZLOJSIT,X,O,O,X,X,X,X,X,X,O,O,X,X,X
ZLOSTIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLOSTJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZLOSITJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZLOSIJT,X,O,O,X,X,X,X,O,X,X,O,X,X,X
ZLOSJTI,X,O,O,X,X,X,X,O,X,O,X,X,X,X
ZLOSJIT,X,O,O,X,X,X,X,O,X,O,O,X,X,X
ZJTILSO,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZJTILOS,X,X,X,X,X,X,O,X,O,O,X,O,X,X
ZJTISLO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZJTISOL,X,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJTIOLS,X,X,O,X,X,X,O,X,O,O,X,X,X,X
ZJTIOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZJTLISO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTLIOS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJTLSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTLSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTLOIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJTLOSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJTSILO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZJTSIOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZJTSLIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSLOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJTSOIL,X,O,O,O,X,X,X,O,X,X,X,X,X,O
ZJTSOLI,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJTOILS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJTOISL,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ZJTOLIS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJTOLSI,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJTOSIL,X,X,O,O,X,X,X,O,X,X,X,X,X,O
ZJTOSLI,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZJITLSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJITLOS,X,X,X,X,X,X,X,X,O,O,X,O,X,X
ZJITSLO,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJITSOL,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ZJITOLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZJITOSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZJILTSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILTOS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJILSTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJILOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJILOST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJISTLO,X,O,X,X,X,X,X,O,O,X,X,X,X,X
ZJISTOL,X,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJISLTO,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJISLOT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
ZJISOTL,X,O,X,O,X,X,X,X,O,X,X,X,X,O
ZJISOLT,X,O,X,O,X,X,X,X,X,O,X,X,X,O
ZJIOTLS,X,X,O,X,X,X,X,X,O,O,X,X,X,X
ZJIOTSL,X,X,O,X,X,X,X,X,O,X,X,X,X,O
ZJIOLTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJIOLST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJIOSTL,X,O,O,X,X,X,X,X,O,X,X,X,X,O
ZJIOSLT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJLTISO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLTIOS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJLTSIO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLTSOI,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLTOIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJLTOSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLITSO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITOS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLISTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJLIOTS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLIOST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJLSTIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,O,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJLSOTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJLSOIT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJLOTIS,X,X,X,X,X,X,O,X,X,O,X,O,X,X
ZJLOTSI,X,X,X,X,X,X,O,X,X,O,X,X,X,X
ZJLOITS,X,X,X,X,X,X,X,X,X,O,X,O,X,X
ZJLOIST,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJLOSTI,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOSIT,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJSTILO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZJSTIOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZJSTLIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSTLOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSTOIL,X,O,O,O,X,X,X,O,X,X,X,X,X,O
ZJSTOLI,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJSITLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X
ZJSITOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZJSILTO,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSILOT,O,O,X,O,X,X,X,X,X,O,X,X,X,O
ZJSIOTL,O,O,O,O,X,X,X,X,O,X,X,X,X,O
ZJSIOLT,O,O,O,O,X,X,X,X,X,O,X,X,X,O
ZJSLTIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSLTOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZJSLITO,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZJSLIOT,O,O,X,O,X,X,X,X,X,O,X,X,X,O
ZJSLOTI,X,O,X,O,X,X,X,O,X,O,X,X,X,X
ZJSLOIT,X,O,X,O,X,X,X,O,X,O,X,X,X,O
ZJSOTIL,O,O,O,O,X,X,X,O,X,X,X,X,X,O
ZJSOTLI,O,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJSOITL,O,O,O,O,X,X,X,O,X,X,X,X,X,O
ZJSOILT,O,O,O,O,X,X,X,O,X,O,X,X,X,O
ZJSOLTI,O,O,O,O,X,X,X,O,X,O,X,X,X,X
ZJSOLIT,O,O,O,O,X,X,X,O,X,O,X,X,X,O
ZJOTILS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJOTISL,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ZJOTLIS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJOTLSI,O,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJOTSIL,O,X,O,O,X,X,X,O,X,X,X,X,X,O
ZJOTSLI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
ZJOITLS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOITSL,X,X,O,X,X,X,X,O,X,X,X,X,X,O
ZJOILTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOILST,O,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJOISTL,O,O,O,X,X,X,X,O,X,X,X,X,X,O
ZJOISLT,O,O,O,X,X,X,X,O,X,O,X,X,X,O
ZJOLTIS,X,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJOLTSI,O,X,O,X,X,X,O,X,X,O,X,X,X,X
ZJOLITS,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOLIST,O,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJOLSTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJOLSIT,O,O,O,X,X,X,X,X,X,O,X,X,X,O
ZJOSTIL,O,O,O,O,X,X,X,O,X,X,X,X,X,O
ZJOSTLI,O,O,O,O,X,X,X,O,X,X,X,X,X,X
ZJOSITL,O,O,O,O,X,X,X,O,X,X,X,X,X,O
ZJOSILT,O,O,O,O,X,X,X,O,X,O,X,X,X,O
ZJOSLTI,O,O,O,O,X,X,X,O,X,O,X,X,X,X
ZJOSLIT,O,O,O,O,X,X,X,O,X,O,X,X,X,O
ZSTILJO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
ZSTILOJ,X,X,O,X,X,X,X,O,O,X,X,O,O,X
ZSTIJLO,X,X,X,O,X,X,X,O,O,X,X,X,O,X
ZSTIJOL,X,X,O,O,X,X,X,X,O,X,X,X,O,O
ZSTIOLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
ZSTIOJL,X,X,O,O,X,X,X,O,O,X,X,X,O,X
ZSTLIJO,X,X,X,O,X,X,X,O,O,X,X,X,X,X
ZSTLIOJ,X,X,O,X,X,X,X,O,O,X,X,O,X,X
ZSTLJIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSTLJOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSTLOIJ,X,X,O,X,X,X,X,O,X,X,X,O,X,X
ZSTLOJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZSTJILO,X,O,X,O,X,X,X,O,O,X,X,X,X,X
ZSTJIOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZSTJLIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSTJLOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSTJOIL,X,O,O,O,X,X,X,O,X,X,X,X,X,O
ZSTJOLI,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZSTOILJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
ZSTOIJL,X,X,O,O,X,X,X,O,O,X,X,X,O,X
ZSTOLIJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZSTOLJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZSTOJIL,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZSTOJLI,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZSITLJO,O,X,X,O,X,X,X,O,O,X,X,X,O,X
ZSITLOJ,X,X,O,X,X,X,X,O,O,X,X,O,O,X
ZSITJLO,O,X,X,O,X,X,X,O,O,X,X,X,O,X
ZSITJOL,X,X,O,O,X,X,X,X,O,X,X,X,O,O
ZSITOLJ,X,X,O,X,X,X,X,O,O,X,X,X,O,X
ZSITOJL,X,X,O,O,X,X,X,O,O,X,X,X,O,X
ZSILTJO,O,X,X,X,O,X,X,O,O,X,X,X,X,X
ZSILTOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZSILJTO,O,O,X,X,O,X,X,O,X,X,X,X,X,X
ZSILJOT,O,O,X,O,O,X,X,X,X,O,O,X,X,O
ZSILOTJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZSILOJT,O,O,O,X,O,X,X,O,X,X,O,X,X,X
ZSIJTLO,O,O,X,O,X,X,X,O,O,X,X,X,X,X
ZSIJTOL,X,O,O,O,X,X,X,X,O,X,X,X,X,O
ZSIJLTO,O,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSIJLOT,O,O,X,O,X,X,X,X,X,O,X,X,X,O
ZSIJOTL,O,O,O,O,X,X,X,X,O,X,X,X,X,O
ZSIJOLT,O,O,O,O,X,X,X,X,X,O,X,X,X,O
ZSIOTLJ,O,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSIOTJL,O,X,O,X,X,X,X,O,O,X,X,X,X,X
ZSIOLTJ,O,X,O,X,O,X,X,O,O,X,X,X,X,X
ZSIOLJT,O,O,O,X,O,X,X,O,X,X,X,X,X,X
ZSIOJTL,O,O,O,O,X,X,X,O,O,X,X,X,X,O
ZSIOJLT,O,O,O,O,X,X,X,O,X,X,X,X,X,O
ZSLTIJO,X,X,X,O,O,X,X,O,O,X,X,X,X,X
ZSLTIOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZSLTJIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLTJOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLTOIJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
ZSLTOJI,X,O,O,X,X,X,X,O,X,X,X,X,X,X
ZSLITJO,O,X,X,X,O,X,X,O,O,X,X,X,X,X
ZSLITOJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZSLIJTO,O,O,X,X,O,X,X,O,X,X,X,X,X,X
ZSLIJOT,O,O,X,O,O,X,X,X,X,O,O,X,X,O
ZSLIOTJ,X,X,O,X,O,X,X,O,O,X,O,O,X,X
ZSLIOJT,O,O,O,X,O,X,X,O,X,X,O,X,X,X
ZSLJTIO,X,O,X,O,X,X,X,O,X,X,X,X,X,X
ZSLJTOI,X,O,X,O,X,X,X,O,X,X,X,X,X,X
