sequence,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgB3hBOsBTtBCtBxvB,v115@HhA8IeB8HeF8AeC8Jex/IvhFXhBVnBUlBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jex/IvhFemBUiBFlBfsBTtBCtB,v115@HhA8IeB8HeF8AeC8Jel/IvhFzgB0iB6oB2qBRsBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFxgB6oB3lB1rBznBOsB,v115@HhA8IeB8HeF8AeC8Jex/IvhFUlBFmBXnBToBCoBmrB,v115@HhA8IeB8HeF8AeC8Jel/IvhFclBemBxiBSsBToBfsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFTjB3lBCnBmlBxsBFsB,v115@HhA8IeB8HeF8AeC8Je0/IvhFlgByqBfsBxsBGsBTtB,v115@HhA8IeB8HeF8AeC8Jel/IvhF3hBTlBxnBUmBGoBisB
IOZLJTS,O,O,X,X,X,X,O,X,X,X
IOZLJST,O,O,X,X,X,X,O,O,X,X
IOZLSTJ,X,X,X,X,O,O,X,O,X,X
IOZLSJT,X,X,X,X,X,X,X,O,X,X
IOZJTLS,O,O,X,X,X,X,O,X,X,X
IOZJTSL,O,O,X,X,X,O,X,X,X,X
IOZJLTS,O,O,X,X,X,X,O,X,X,X
IOZJLST,O,O,X,X,X,X,O,O,X,X
IOZJSTL,O,O,X,X,X,O,X,X,X,X
IOZJSLT,O,O,X,X,X,X,X,O,X,X
IOZSTLJ,X,X,X,X,O,O,X,O,X,X
IOZSTJL,O,X,X,X,O,O,X,X,X,X
IOZSLTJ,X,X,X,X,O,O,X,O,X,X
IOZSLJT,X,X,X,X,X,X,X,O,X,X
IOZSJTL,O,O,X,X,X,O,X,X,X,X
IOZSJLT,O,O,X,X,X,X,X,O,X,X
LTIJSZO,X,X,O,O,X,X,X,X,X,X
LTIJSOZ,X,X,O,O,X,X,X,X,X,X
LTIJZSO,X,X,X,O,X,X,X,X,X,X
LTIJZOS,X,X,X,O,X,X,X,X,X,X
LTIJOSZ,X,X,O,O,X,X,X,X,X,O
LTIJOZS,X,X,X,O,X,X,X,X,X,X
LTISJZO,X,X,O,O,X,X,X,X,O,X
LTISJOZ,X,X,O,O,X,X,X,X,X,X
LTISZJO,X,X,X,X,X,X,X,X,O,X
LTISZOJ,X,X,X,X,X,X,X,O,O,X
LTISOJZ,X,X,O,X,X,X,X,X,X,O
LTISOZJ,X,X,X,X,X,X,X,O,O,O
LTIZJSO,X,X,X,O,X,X,X,X,X,X
LTIZJOS,X,X,X,O,X,X,O,X,X,X
LTIZSJO,X,X,X,X,X,X,X,X,O,X
LTIZSOJ,X,X,X,X,X,X,X,O,O,X
LTIZOJS,X,X,X,X,X,X,O,X,X,X
LTIZOSJ,X,X,X,X,X,X,X,O,X,O
LTIOJSZ,X,X,O,O,X,X,X,X,X,O
LTIOJZS,X,X,X,O,X,X,X,X,X,X
LTIOSJZ,X,X,O,X,X,X,X,X,X,O
LTIOSZJ,X,X,X,X,X,X,X,O,X,O
LTIOZJS,X,X,X,X,X,X,O,X,X,X
LTIOZSJ,X,X,X,X,X,X,X,O,X,O
LTJISZO,X,X,O,O,X,X,X,X,X,X
LTJISOZ,X,X,O,O,X,X,X,X,X,X
LTJIZSO,X,X,X,O,X,X,X,X,X,X
LTJIZOS,X,X,X,O,X,X,X,X,X,X
LTJIOSZ,X,X,O,O,X,X,X,X,X,O
LTJIOZS,X,X,X,O,X,X,X,X,X,X
LTJSIZO,X,X,O,O,X,X,X,X,O,X
LTJSIOZ,X,X,O,O,X,X,X,X,X,X
LTJSZIO,X,X,O,X,X,X,X,X,O,X
LTJSZOI,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,X,X,O,O,X,X,X,X,X,X
LTJSOZI,X,X,O,X,X,X,X,X,X,X
LTJZISO,X,X,X,O,X,X,X,X,X,X
LTJZIOS,X,X,X,O,X,X,O,X,X,X
LTJZSIO,X,X,X,X,X,X,X,X,O,X
LTJZSOI,X,X,X,X,X,X,O,X,X,X
LTJZOIS,X,X,X,O,X,X,O,X,X,X
LTJZOSI,X,X,X,X,X,X,O,X,X,X
LTJOISZ,X,X,O,O,X,X,X,X,X,O
LTJOIZS,X,X,X,O,X,X,X,X,X,X
LTJOSIZ,X,X,O,O,X,X,X,X,X,X
LTJOSZI,X,X,O,X,X,X,X,X,X,X
LTJOZIS,X,X,X,O,X,X,O,X,X,X
LTJOZSI,X,X,X,X,X,X,O,X,X,X
LTSIJZO,X,X,O,O,X,X,X,X,O,X
LTSIJOZ,X,X,O,O,X,X,X,X,X,X
LTSIZJO,X,X,X,X,X,X,X,X,O,X
LTSIZOJ,X,X,X,X,O,X,X,O,O,X
LTSIOJZ,X,X,O,X,O,X,X,X,X,O
LTSIOZJ,X,X,X,X,O,X,X,O,O,O
LTSJIZO,X,X,O,O,X,X,X,X,O,X
LTSJIOZ,X,X,O,O,X,X,X,X,X,X
LTSJZIO,X,X,O,X,X,X,X,X,O,X
LTSJZOI,X,X,O,X,X,X,X,X,X,X
LTSJOIZ,X,X,O,O,X,X,X,X,X,X
LTSJOZI,X,X,O,X,X,X,X,X,X,X
LTSZIJO,X,X,X,X,X,X,X,X,O,X
LTSZIOJ,X,X,X,X,O,O,X,O,O,X
LTSZJIO,X,X,X,X,X,X,X,X,O,X
LTSZJOI,X,X,X,X,X,X,O,X,X,X
LTSZOIJ,X,X,X,X,O,O,X,X,O,X
LTSZOJI,X,X,X,X,O,O,O,X,X,X
LTSOIJZ,X,X,O,X,O,X,X,X,X,O
LTSOIZJ,X,X,X,X,O,X,X,X,O,O
LTSOJIZ,X,X,O,X,O,X,X,X,X,X
LTSOJZI,X,X,O,X,O,X,X,X,X,X
LTSOZIJ,X,X,X,X,O,O,X,X,O,X
LTSOZJI,X,X,X,X,O,O,O,X,X,X
LTZIJSO,X,X,X,O,X,X,X,X,X,X
LTZIJOS,X,X,X,O,X,X,O,X,X,X
LTZISJO,X,X,X,X,X,X,X,X,O,X
LTZISOJ,X,X,X,X,X,O,X,O,O,X
LTZIOJS,X,X,X,X,X,X,O,X,X,X
LTZIOSJ,X,X,X,X,X,O,X,O,X,O
LTZJISO,X,X,X,O,X,X,X,X,X,X
LTZJIOS,X,X,X,O,X,X,O,X,X,X
LTZJSIO,X,X,X,X,X,X,X,X,O,X
LTZJSOI,X,X,X,X,X,X,O,X,X,X
LTZJOIS,X,X,X,O,X,X,O,X,X,X
LTZJOSI,X,X,X,X,X,X,O,X,X,X
LTZSIJO,X,X,X,X,X,X,X,X,O,X
LTZSIOJ,X,X,X,X,O,O,X,O,O,X
LTZSJIO,X,X,X,X,X,X,X,X,O,X
LTZSJOI,X,X,X,X,X,X,O,X,X,X
LTZSOIJ,X,X,X,X,O,O,X,X,O,X
LTZSOJI,X,X,X,X,O,O,O,X,X,X
LTZOIJS,X,X,X,X,X,X,O,X,X,X
LTZOISJ,X,X,X,X,O,O,X,X,X,O
LTZOJIS,X,X,X,X,X,X,O,X,X,X
LTZOJSI,X,X,X,X,O,X,O,X,X,X
LTZOSIJ,X,X,X,X,O,O,X,X,O,X
LTZOSJI,X,X,X,X,O,O,O,X,X,X
LTOIJSZ,X,X,O,O,X,X,X,X,X,O
LTOIJZS,X,X,X,O,X,X,X,X,X,X
LTOISJZ,X,X,O,X,O,X,X,X,X,O
LTOISZJ,X,X,X,X,O,X,X,X,X,O
LTOIZJS,X,X,X,X,X,X,O,X,X,X
LTOIZSJ,X,X,X,X,O,X,X,X,X,O
LTOJISZ,X,X,O,O,X,X,X,X,X,O
LTOJIZS,X,X,X,O,X,X,X,X,X,X
LTOJSIZ,X,X,O,O,O,X,X,X,X,X
LTOJSZI,X,X,O,X,O,X,X,X,X,X
LTOJZIS,X,X,X,O,X,X,O,X,X,X
LTOJZSI,X,X,X,X,O,X,O,X,X,X
LTOSIJZ,X,X,O,X,O,X,X,X,X,O
LTOSIZJ,X,X,X,X,O,X,X,X,O,O
LTOSJIZ,X,X,O,X,O,X,X,X,X,X
LTOSJZI,X,X,O,X,O,X,X,X,X,X
LTOSZIJ,X,X,X,X,O,O,X,X,O,X
LTOSZJI,X,X,X,X,O,O,O,X,X,X
LTOZIJS,X,X,X,X,X,X,O,X,X,X
LTOZISJ,X,X,X,X,O,O,X,X,X,O
LTOZJIS,X,X,X,X,X,X,O,X,X,X
LTOZJSI,X,X,X,X,O,X,O,X,X,X
LTOZSIJ,X,X,X,X,O,O,X,X,O,X
LTOZSJI,X,X,X,X,O,O,O,X,X,X
LITJSZO,O,X,O,O,X,X,X,X,X,X
LITJSOZ,O,X,O,O,X,X,X,X,X,X
LITJZSO,O,X,X,O,X,X,X,X,X,X
LITJZOS,O,X,X,O,X,X,X,X,X,X
LITJOSZ,O,X,O,O,X,X,X,X,X,O
LITJOZS,O,X,X,O,X,X,X,X,X,X
LITSJZO,O,X,O,O,X,X,X,X,O,X
LITSJOZ,O,X,O,O,X,X,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,X,O,X
LITSZOJ,X,X,X,X,X,X,X,O,O,X
LITSOJZ,X,X,O,X,X,X,X,X,X,O
LITSOZJ,X,X,X,X,X,X,X,O,O,O
LITZJSO,O,X,X,O,X,X,X,X,X,X
LITZJOS,O,X,X,O,X,X,O,X,X,X
LITZSJO,O,X,X,X,X,X,X,X,O,X
LITZSOJ,X,X,X,X,X,X,X,O,O,X
LITZOJS,O,X,X,X,X,X,O,X,X,X
LITZOSJ,X,X,X,X,X,X,X,O,X,O
LITOJSZ,O,X,O,O,X,X,X,X,X,O
LITOJZS,O,X,X,O,X,X,X,X,X,X
LITOSJZ,X,X,O,X,X,X,X,X,X,O
LITOSZJ,X,X,X,X,X,X,X,O,X,O
LITOZJS,O,X,X,X,X,X,O,X,X,X
LITOZSJ,X,X,X,X,X,X,X,O,X,O
LIJTSZO,O,X,X,O,X,X,X,X,X,X
LIJTSOZ,O,X,X,O,X,X,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X,X,X
LIJTZOS,O,X,X,O,X,X,X,X,X,X
LIJTOSZ,O,X,X,O,X,X,X,X,X,O
LIJTOZS,O,X,X,O,X,X,X,X,X,X
LIJSTZO,O,X,X,O,X,X,X,X,X,X
LIJSTOZ,O,X,X,O,X,X,X,X,X,X
LIJSZTO,O,X,X,O,X,X,X,X,X,X
LIJSZOT,O,X,X,O,X,X,X,O,X,X
LIJSOTZ,O,X,X,O,X,X,X,X,X,O
LIJSOZT,O,X,X,O,X,X,X,O,X,X
LIJZTSO,O,X,X,O,X,X,X,X,X,X
LIJZTOS,O,X,X,O,X,X,O,X,X,X
LIJZSTO,O,X,X,O,X,X,X,X,X,X
LIJZSOT,O,X,X,O,X,X,X,O,X,X
LIJZOTS,O,X,X,O,X,X,O,X,X,X
LIJZOST,O,X,X,O,X,X,O,O,X,X
LIJOTSZ,O,X,X,O,X,X,X,X,X,O
LIJOTZS,O,X,X,O,X,X,X,X,X,X
LIJOSTZ,O,X,X,O,X,X,X,X,X,O
LIJOSZT,O,X,X,O,X,X,X,O,X,X
LIJOZTS,O,X,X,O,X,X,O,X,X,X
LIJOZST,O,X,X,O,X,X,O,O,X,X
LISTJZO,O,X,X,O,X,X,X,X,O,X
LISTJOZ,O,X,X,O,X,X,X,X,X,X
LISTZJO,O,X,X,X,X,X,X,X,O,X
LISTZOJ,X,X,X,X,X,X,X,O,O,X
LISTOJZ,X,X,X,X,X,X,X,X,X,O
LISTOZJ,X,X,X,X,X,X,X,O,O,O
LISJTZO,O,X,X,O,X,X,X,X,O,X
LISJTOZ,O,X,X,O,X,X,X,X,X,X
LISJZTO,O,X,X,O,X,X,X,X,O,X
LISJZOT,O,X,X,O,X,X,X,O,X,X
LISJOTZ,O,X,X,O,X,X,X,X,X,O
LISJOZT,O,X,X,O,X,X,X,O,X,X
LISZTJO,O,X,X,X,X,X,X,X,O,X
LISZTOJ,X,X,X,X,X,O,X,O,O,X
LISZJTO,O,X,X,X,X,X,X,X,O,X
LISZJOT,O,X,X,X,X,X,X,O,X,X
LISZOTJ,X,X,X,X,O,O,X,O,O,O
LISZOJT,X,X,X,X,X,X,X,O,X,X
LISOTJZ,X,X,X,X,O,X,X,X,X,O
LISOTZJ,X,X,X,X,O,X,X,O,O,O
LISOJTZ,X,X,X,X,X,X,X,X,X,O
LISOJZT,X,X,X,X,X,X,X,O,X,X
LISOZTJ,X,X,X,X,O,O,X,O,O,O
LISOZJT,X,X,X,X,X,X,X,O,X,X
LIZTJSO,O,X,X,O,X,X,X,X,X,X
LIZTJOS,O,X,X,O,X,X,O,X,X,X
LIZTSJO,O,X,X,X,X,X,X,X,O,X
LIZTSOJ,X,X,X,X,X,O,X,O,O,X
LIZTOJS,O,X,X,X,X,X,O,X,X,X
LIZTOSJ,X,X,X,X,X,O,X,O,X,O
LIZJTSO,O,O,X,O,X,X,X,X,X,X
LIZJTOS,O,O,X,O,X,X,O,X,X,X
LIZJSTO,O,O,X,O,X,X,X,X,X,X
LIZJSOT,O,O,X,O,X,X,X,O,X,X
LIZJOTS,O,O,X,O,X,X,O,X,X,X
LIZJOST,O,O,X,O,X,X,O,O,X,X
LIZSTJO,O,X,X,X,X,X,X,X,O,X
LIZSTOJ,X,X,X,X,X,O,X,O,O,X
LIZSJTO,O,X,X,X,X,X,X,X,O,X
LIZSJOT,O,X,X,X,X,X,X,O,X,X
LIZSOTJ,X,X,X,X,O,O,X,O,O,O
LIZSOJT,X,X,X,X,X,X,X,O,X,X
LIZOTJS,O,X,X,X,X,X,O,X,X,X
LIZOTSJ,X,X,X,X,O,O,X,O,X,O
LIZOJTS,O,O,X,X,X,X,O,X,X,X
LIZOJST,O,O,X,X,X,X,O,O,X,X
LIZOSTJ,X,X,X,X,O,O,X,O,X,O
LIZOSJT,X,X,X,X,X,X,X,O,X,X
LIOTJSZ,O,X,O,O,X,X,X,X,X,O
LIOTJZS,O,X,X,O,X,X,X,X,X,X
LIOTSJZ,X,X,O,X,O,X,X,X,X,O
LIOTSZJ,X,X,X,X,O,X,X,O,X,O
LIOTZJS,O,X,X,X,X,X,O,X,X,X
LIOTZSJ,X,X,X,X,O,X,X,O,X,O
LIOJTSZ,O,X,X,O,X,X,X,X,X,O
LIOJTZS,O,X,X,O,X,X,X,X,X,X
LIOJSTZ,O,X,X,O,X,X,X,X,X,O
LIOJSZT,O,X,X,O,X,X,X,O,X,X
LIOJZTS,O,X,X,O,X,X,O,X,X,X
LIOJZST,O,X,X,O,X,X,O,O,X,X
LIOSTJZ,X,X,X,X,O,X,X,X,X,O
LIOSTZJ,X,X,X,X,O,X,X,O,X,O
LIOSJTZ,X,X,X,X,X,X,X,X,X,O
LIOSJZT,X,X,X,X,X,X,X,O,X,X
LIOSZTJ,X,X,X,X,O,O,X,O,X,O
LIOSZJT,X,X,X,X,X,X,X,O,X,X
LIOZTJS,O,X,X,X,X,X,O,X,X,X
LIOZTSJ,X,X,X,X,O,O,X,O,X,O
LIOZJTS,O,O,X,X,X,X,O,X,X,X
LIOZJST,O,O,X,X,X,X,O,O,X,X
LIOZSTJ,X,X,X,X,O,O,X,O,X,O
LIOZSJT,X,X,X,X,X,X,X,O,X,X
LJTISZO,X,X,O,O,X,X,X,X,X,X
LJTISOZ,X,X,O,O,X,X,X,X,X,X
LJTIZSO,X,X,X,O,X,X,X,X,X,X
LJTIZOS,X,X,X,O,X,X,X,X,X,X
LJTIOSZ,X,X,O,O,X,X,X,X,X,O
LJTIOZS,X,X,X,O,X,X,X,X,X,X
LJTSIZO,X,X,O,O,X,X,X,X,O,X
LJTSIOZ,X,X,O,O,X,X,X,X,X,X
LJTSZIO,X,O,O,X,X,X,X,X,O,X
LJTSZOI,X,O,O,X,X,X,X,X,X,X
LJTSOIZ,X,X,O,O,X,X,X,X,X,X
LJTSOZI,X,O,O,X,X,X,X,X,X,X
LJTZISO,X,O,X,O,X,X,X,X,X,X
LJTZIOS,X,O,X,O,X,X,O,X,X,X
LJTZSIO,X,O,X,X,X,X,X,X,O,X
LJTZSOI,X,O,X,X,X,X,O,X,X,X
LJTZOIS,X,O,X,O,X,X,O,X,X,X
LJTZOSI,X,O,X,X,X,X,O,X,X,X
LJTOISZ,X,X,O,O,X,X,X,X,X,O
LJTOIZS,X,X,X,O,X,X,X,X,X,X
LJTOSIZ,X,X,O,O,X,X,X,X,X,X
LJTOSZI,X,O,O,X,X,X,X,X,X,X
LJTOZIS,X,O,X,O,X,X,O,X,X,X
LJTOZSI,X,O,X,X,X,X,O,X,X,X
LJITSZO,O,X,X,O,X,X,X,X,X,X
LJITSOZ,O,X,X,O,X,X,X,X,X,X
LJITZSO,O,X,X,O,X,X,X,X,X,X
LJITZOS,O,X,X,O,X,X,X,X,X,X
LJITOSZ,O,X,X,O,X,X,X,X,X,O
LJITOZS,O,X,X,O,X,X,X,X,X,X
LJISTZO,O,X,X,O,X,X,X,X,X,X
LJISTOZ,O,X,X,O,X,X,X,X,X,X
LJISZTO,O,X,X,O,X,X,X,X,X,X
LJISZOT,O,X,X,O,X,X,X,O,X,X
LJISOTZ,O,X,X,O,X,X,X,X,X,O
LJISOZT,O,X,X,O,X,X,X,O,X,X
LJIZTSO,O,X,X,O,X,X,X,X,X,X
LJIZTOS,O,X,X,O,X,X,O,X,X,X
LJIZSTO,O,X,X,O,X,X,X,X,X,X
LJIZSOT,O,X,X,O,X,X,X,O,X,X
LJIZOTS,O,X,X,O,X,X,O,X,X,X
LJIZOST,O,X,X,O,X,X,O,O,X,X
LJIOTSZ,O,X,X,O,X,X,X,X,X,O
LJIOTZS,O,X,X,O,X,X,X,X,X,X
LJIOSTZ,O,X,X,O,X,X,X,X,X,O
LJIOSZT,O,X,X,O,X,X,X,O,X,X
LJIOZTS,O,X,X,O,X,X,O,X,X,X
LJIOZST,O,X,X,O,X,X,O,O,X,X
LJSTIZO,X,X,O,O,X,X,X,X,O,X
LJSTIOZ,X,X,O,O,X,X,X,X,X,X
LJSTZIO,X,O,O,X,X,X,X,X,O,X
LJSTZOI,O,O,O,X,X,X,X,X,X,X
LJSTOIZ,X,X,O,O,X,X,X,X,X,X
LJSTOZI,O,O,O,X,X,X,X,X,X,X
LJSITZO,O,X,X,O,X,X,X,X,O,X
LJSITOZ,O,X,X,O,X,X,X,X,X,X
LJSIZTO,O,X,X,O,X,X,X,X,O,X
LJSIZOT,O,X,X,O,X,X,X,O,X,X
LJSIOTZ,O,X,X,O,X,X,X,X,X,X
LJSIOZT,O,X,X,O,X,X,X,O,X,X
LJSZTIO,X,O,O,X,X,X,X,X,O,X
LJSZTOI,O,O,O,X,X,X,O,X,X,X
LJSZITO,X,O,X,X,X,X,X,X,O,X
LJSZIOT,X,O,X,X,X,X,X,O,X,X
LJSZOTI,O,O,O,X,O,X,O,X,X,X
LJSZOIT,X,O,X,X,X,X,O,X,X,X
LJSOTIZ,X,X,O,O,O,X,X,X,X,X
LJSOTZI,O,O,O,X,O,X,X,X,X,X
LJSOITZ,O,X,X,O,X,X,X,X,X,X
LJSOIZT,O,X,X,O,X,X,X,X,X,X
LJSOZTI,O,O,O,X,O,X,O,X,X,X
LJSOZIT,X,O,X,X,X,X,O,X,X,X
LJZTISO,X,O,X,O,X,X,X,X,X,X
LJZTIOS,X,O,X,O,X,X,O,X,X,X
LJZTSIO,X,O,X,X,X,X,X,X,O,X
LJZTSOI,O,O,X,X,X,X,O,X,X,X
LJZTOIS,X,O,X,O,X,X,O,X,X,X
LJZTOSI,O,O,X,X,X,X,O,X,X,X
LJZITSO,X,O,X,O,X,X,X,X,X,X
LJZITOS,X,O,X,O,X,X,O,X,X,X
LJZISTO,X,O,X,O,X,X,X,X,X,X
LJZISOT,X,O,X,O,X,X,X,O,X,X
LJZIOTS,X,O,X,O,X,X,O,X,X,X
LJZIOST,X,O,X,O,X,X,O,O,X,X
LJZSTIO,X,O,X,X,X,X,X,X,O,X
LJZSTOI,O,O,X,X,X,X,O,X,X,X
LJZSITO,X,O,X,X,X,X,X,X,O,X
LJZSIOT,X,O,X,X,X,X,X,O,X,X
LJZSOTI,O,O,X,X,O,X,O,X,X,X
LJZSOIT,X,O,X,X,X,X,O,X,X,X
LJZOTIS,X,O,X,O,X,X,O,X,X,X
LJZOTSI,O,O,X,X,O,X,O,X,X,X
LJZOITS,X,O,X,O,X,X,O,X,X,X
LJZOIST,X,O,X,O,X,X,O,X,X,X
LJZOSTI,O,O,X,X,O,X,O,X,X,X
LJZOSIT,X,O,X,X,X,X,O,X,X,X
LJOTISZ,X,X,O,O,X,X,X,X,X,O
LJOTIZS,X,X,X,O,X,X,X,X,X,X
LJOTSIZ,X,X,O,O,O,X,X,X,X,X
LJOTSZI,X,O,O,X,O,X,X,X,X,X
LJOTZIS,X,O,X,O,X,X,O,X,X,X
LJOTZSI,X,O,X,X,O,X,O,X,X,X
LJOITSZ,O,X,X,O,X,X,X,X,X,O
LJOITZS,O,X,X,O,X,X,X,X,X,X
LJOISTZ,O,X,X,O,X,X,X,X,X,O
LJOISZT,O,X,X,O,X,X,X,X,X,X
LJOIZTS,O,X,X,O,X,X,O,X,X,X
LJOIZST,O,X,X,O,X,X,O,X,X,X
LJOSTIZ,X,X,O,O,O,X,X,X,X,X
LJOSTZI,O,O,O,X,O,X,X,X,X,X
LJOSITZ,O,X,X,O,X,X,X,X,X,X
LJOSIZT,O,X,X,O,X,X,X,X,X,X
LJOSZTI,O,O,O,X,O,X,O,X,X,X
LJOSZIT,X,O,X,X,X,X,O,X,X,X
LJOZTIS,X,O,X,O,X,X,O,X,X,X
LJOZTSI,O,O,X,X,O,X,O,X,X,X
LJOZITS,X,O,X,O,X,X,O,X,X,X
LJOZIST,X,O,X,O,X,X,O,X,X,X
LJOZSTI,O,O,X,X,O,X,O,X,X,X
LJOZSIT,X,O,X,X,X,X,O,X,X,X
LSTIJZO,X,X,O,O,X,X,X,X,O,X
LSTIJOZ,X,X,O,O,X,X,X,X,X,X
LSTIZJO,X,X,X,X,X,X,X,X,O,X
LSTIZOJ,X,X,X,X,O,X,X,O,O,X
LSTIOJZ,X,X,O,X,O,X,X,X,X,O
LSTIOZJ,X,X,X,X,O,X,X,O,O,O
LSTJIZO,X,X,O,O,X,X,X,X,O,X
LSTJIOZ,X,X,O,O,X,X,X,X,X,X
LSTJZIO,X,X,O,X,X,X,X,X,O,X
LSTJZOI,X,X,O,X,X,X,X,X,X,X
LSTJOIZ,X,X,O,O,X,X,X,X,X,X
LSTJOZI,X,X,O,X,X,X,X,X,X,X
LSTZIJO,X,X,X,X,X,X,X,X,O,X
LSTZIOJ,X,X,X,X,O,O,X,O,O,X
LSTZJIO,X,X,X,X,X,X,X,X,O,X
LSTZJOI,X,X,X,X,X,X,O,X,X,X
LSTZOIJ,X,X,X,X,O,O,X,X,O,X
LSTZOJI,X,X,X,X,O,O,O,X,X,X
LSTOIJZ,X,X,O,X,O,X,X,X,X,O
LSTOIZJ,X,X,X,X,O,X,X,X,O,O
LSTOJIZ,X,X,O,X,O,X,X,X,X,X
LSTOJZI,X,X,O,X,O,X,X,X,X,X
LSTOZIJ,X,X,X,X,O,O,X,X,O,X
LSTOZJI,X,X,X,X,O,O,O,X,X,X
LSITJZO,X,X,X,O,X,X,X,X,O,X
LSITJOZ,X,X,X,O,X,X,X,X,X,X
LSITZJO,X,X,X,X,X,X,X,X,O,X
LSITZOJ,X,X,X,X,O,X,X,O,O,X
LSITOJZ,X,X,X,X,O,X,X,X,X,O
LSITOZJ,X,X,X,X,O,X,X,O,O,O
LSIJTZO,X,X,X,O,X,X,X,X,O,X
LSIJTOZ,X,X,X,O,X,X,X,X,X,X
LSIJZTO,X,X,X,O,X,X,X,X,O,X
LSIJZOT,X,X,X,O,X,X,X,O,X,X
LSIJOTZ,X,X,X,O,X,X,X,X,X,O
LSIJOZT,X,X,X,O,X,X,X,O,X,X
LSIZTJO,X,X,X,X,X,X,X,X,O,X
LSIZTOJ,X,X,X,X,O,O,X,O,O,X
LSIZJTO,X,X,X,X,X,X,X,X,O,X
LSIZJOT,X,X,X,X,X,X,X,O,X,X
LSIZOTJ,X,X,X,X,O,O,X,O,O,O
LSIZOJT,X,X,X,X,X,X,X,O,X,X
LSIOTJZ,X,X,X,X,O,X,X,X,X,O
LSIOTZJ,X,X,X,X,O,X,X,O,O,O
LSIOJTZ,X,X,X,X,X,X,X,X,X,O
LSIOJZT,X,X,X,X,X,X,X,O,X,X
LSIOZTJ,X,X,X,X,O,O,X,O,O,O
LSIOZJT,X,X,X,X,X,X,X,O,X,X
LSJTIZO,X,X,O,O,X,X,X,X,O,X
LSJTIOZ,X,X,O,O,X,X,X,X,X,X
LSJTZIO,X,X,O,X,X,X,X,X,O,X
LSJTZOI,X,X,O,X,X,X,X,X,X,X
LSJTOIZ,X,X,O,O,X,X,X,X,X,X
LSJTOZI,X,X,O,X,X,X,X,X,X,X
LSJITZO,X,X,X,O,X,X,X,X,O,X
LSJITOZ,X,X,X,O,X,X,X,X,X,X
LSJIZTO,X,X,X,O,X,X,X,X,O,X
LSJIZOT,X,X,X,O,X,X,X,O,X,X
LSJIOTZ,X,X,X,O,X,X,X,X,X,X
LSJIOZT,X,X,X,O,X,X,X,O,X,X
LSJZTIO,X,X,O,X,X,X,X,X,O,X
LSJZTOI,X,X,O,X,X,X,O,X,X,X
LSJZITO,X,X,X,X,X,X,X,X,O,X
LSJZIOT,X,X,X,X,X,X,X,O,X,X
LSJZOTI,X,X,O,X,O,X,O,X,X,X
LSJZOIT,X,X,X,X,X,X,O,X,X,X
LSJOTIZ,X,X,O,O,O,X,X,X,X,X
LSJOTZI,X,X,O,X,O,X,X,X,X,X
LSJOITZ,X,X,X,O,X,X,X,X,X,X
LSJOIZT,X,X,X,O,X,X,X,X,X,X
LSJOZTI,X,X,O,X,O,X,O,X,X,X
LSJOZIT,X,X,X,X,X,X,O,X,X,X
LSZTIJO,X,X,X,X,X,X,X,X,O,X
LSZTIOJ,X,X,X,X,O,O,X,O,O,X
LSZTJIO,X,X,X,X,X,X,X,X,O,X
LSZTJOI,X,X,X,X,X,X,O,X,X,X
LSZTOIJ,X,X,X,X,O,O,X,X,O,X
LSZTOJI,X,X,X,X,O,O,O,X,X,X
LSZITJO,X,X,X,X,X,X,X,X,O,X
LSZITOJ,X,X,X,X,O,O,X,O,O,X
LSZIJTO,X,X,X,X,X,X,X,X,O,X
LSZIJOT,X,X,X,X,X,X,X,O,X,X
LSZIOTJ,X,X,X,X,O,O,X,O,O,X
LSZIOJT,X,X,X,X,X,X,X,O,X,X
LSZJTIO,X,X,O,X,X,X,X,X,O,X
LSZJTOI,X,X,O,X,X,X,O,X,X,X
LSZJITO,X,X,X,X,X,X,X,X,O,X
LSZJIOT,X,X,X,X,X,X,X,O,X,X
LSZJOTI,X,X,O,X,O,X,O,X,X,X
LSZJOIT,X,X,X,X,X,X,O,X,X,X
LSZOTIJ,X,X,X,X,O,O,X,X,O,X
LSZOTJI,X,X,X,X,O,O,O,X,X,X
LSZOITJ,X,X,X,X,O,O,X,O,O,X
LSZOIJT,X,X,X,X,X,X,X,O,X,X
LSZOJTI,X,X,O,X,O,X,O,X,X,X
LSZOJIT,X,X,X,X,X,X,O,X,X,X
LSOTIJZ,X,X,O,X,O,X,X,X,X,O
LSOTIZJ,X,X,X,X,O,X,X,X,O,O
LSOTJIZ,X,X,O,X,O,X,X,X,X,X
LSOTJZI,X,X,O,X,O,X,X,X,X,X
LSOTZIJ,X,X,X,X,O,O,X,X,O,X
LSOTZJI,X,X,X,X,O,O,O,X,X,X
LSOITJZ,X,X,X,X,O,X,X,X,X,O
LSOITZJ,X,X,X,X,O,X,X,O,O,O
LSOIJTZ,X,X,X,X,X,X,X,X,X,O
LSOIJZT,X,X,X,X,X,X,X,O,X,X
