sequence,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBXjBurBct?BTsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBxhBTjBurBcs?BXtB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxiBToB0s?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBTjBxsBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulBRiB9oB0mBzs?BXsB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFtlBXiBTjBWtB0m?BRxB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToBXs?B0sB,v115@IhB8GeC8AeA8EeE8DeA8Jei/IvhFulB9mBxnBToB0s?BXsB
LTZOSIJ,O,O,O,O,X,O,X,X,X
LTZOSJI,O,O,O,O,X,O,X,X,X
LTOIJSZ,O,X,O,O,O,O,O,X,X
LTOIJZS,O,O,O,O,O,O,O,X,X
LTOISJZ,X,O,O,O,O,O,X,X,X
LTOISZJ,O,O,O,X,X,X,X,X,X
LTOIZJS,O,X,O,O,O,O,X,X,X
LTOIZSJ,O,O,X,O,X,O,X,X,X
LTOJISZ,O,X,O,O,O,O,O,X,X
LTOJIZS,O,O,O,O,O,O,O,X,X
LTOJSIZ,O,X,O,O,X,O,O,O,X
LTOJSZI,O,X,O,O,X,O,O,X,X
LTOJZIS,O,O,O,O,X,O,O,X,O
LTOJZSI,O,O,O,O,X,O,O,X,X
LTOSIJZ,X,O,O,O,X,O,X,O,X
LTOSIZJ,O,O,O,X,X,X,X,X,X
LTOSJIZ,O,O,O,O,X,O,X,O,X
LTOSJZI,O,O,O,O,X,O,X,X,X
LTOSZIJ,O,O,O,O,X,O,X,X,X
LTOSZJI,O,O,O,O,X,O,X,X,X
LTOZIJS,O,X,O,O,X,O,X,X,O
LTOZISJ,O,O,X,O,X,O,X,X,X
LTOZJIS,O,O,O,O,X,O,X,X,O
LTOZJSI,O,O,O,O,X,O,X,X,X
LTOZSIJ,O,O,O,O,X,O,X,X,X
LTOZSJI,O,O,O,O,X,O,X,X,X
LITJSZO,O,O,X,X,O,X,O,O,X
LITJSOZ,O,O,O,X,O,O,O,O,X
LITJZSO,O,O,X,X,O,X,O,X,O
LITJZOS,O,O,X,O,O,O,O,X,O
LITJOSZ,O,X,O,O,O,O,O,X,X
LITJOZS,O,O,O,O,O,O,O,X,X
LITSJZO,O,O,X,X,O,X,O,O,X
LITSJOZ,O,O,O,X,O,O,O,O,X
LITSZJO,O,O,X,X,X,X,X,O,X
LITSZOJ,O,O,X,X,X,X,X,X,X
LITSOJZ,X,O,O,X,O,X,X,O,X
LITSOZJ,O,O,O,X,X,X,X,X,X
LITZJSO,O,O,X,X,O,X,O,X,O
LITZJOS,O,O,X,O,O,O,O,X,O
LITZSJO,O,O,X,X,X,X,X,X,O
LITZSOJ,O,O,X,X,X,X,X,X,X
LITZOJS,O,X,X,O,O,X,X,X,O
LITZOSJ,O,O,X,O,X,X,X,X,X
LITOJSZ,O,X,O,O,O,O,O,X,X
LITOJZS,O,O,O,O,O,O,O,X,X
LITOSJZ,X,O,O,O,O,O,X,X,X
LITOSZJ,O,O,O,X,X,X,X,X,X
LITOZJS,O,X,O,O,O,O,X,X,X
LITOZSJ,O,O,X,O,X,O,X,X,X
LIJTSZO,O,O,X,X,O,X,O,O,X
LIJTSOZ,O,X,O,X,O,O,O,O,X
LIJTZSO,O,O,X,X,O,X,O,X,O
LIJTZOS,O,O,X,O,O,O,O,X,O
LIJTOSZ,O,X,O,O,O,O,O,X,X
LIJTOZS,O,O,O,O,O,O,O,X,X
LIJSTZO,X,X,X,X,O,X,O,O,X
LIJSTOZ,X,X,O,X,O,X,O,O,X
LIJSZTO,X,X,X,X,X,X,O,X,X
LIJSZOT,X,X,X,X,X,X,O,X,X
LIJSOTZ,X,X,O,X,O,X,O,X,X
LIJSOZT,X,X,X,X,X,X,O,X,X
LIJZTSO,O,O,X,X,O,X,O,X,O
LIJZTOS,O,O,X,O,O,X,O,X,O
LIJZSTO,O,O,X,X,X,X,O,X,X
LIJZSOT,X,O,X,X,X,X,O,X,X
LIJZOTS,X,X,X,O,O,O,O,X,X
LIJZOST,X,X,X,X,X,X,O,X,X
LIJOTSZ,O,X,O,O,O,O,O,X,X
LIJOTZS,O,X,O,O,O,O,O,X,X
LIJOSTZ,X,X,O,X,O,X,O,X,X
LIJOSZT,X,X,X,X,X,X,O,X,X
LIJOZTS,O,X,X,O,O,O,O,X,X
LIJOZST,O,X,X,X,X,X,O,X,X
LISTJZO,X,X,X,X,O,X,O,O,X
LISTJOZ,X,O,O,X,O,X,O,O,X
LISTZJO,X,O,X,X,X,X,X,O,X
LISTZOJ,X,O,X,X,X,X,X,X,X
LISTOJZ,X,O,O,X,O,X,X,O,X
LISTOZJ,X,O,O,X,X,X,X,X,X
LISJTZO,X,X,X,X,O,X,O,O,X
LISJTOZ,X,X,O,X,O,X,O,O,X
LISJZTO,X,X,X,X,X,X,O,X,X
LISJZOT,X,X,X,X,X,X,O,X,X
LISJOTZ,X,X,O,X,O,X,O,X,X
LISJOZT,X,X,X,X,X,X,O,X,X
LISZTJO,X,O,X,X,X,X,X,O,X
LISZTOJ,X,O,X,X,X,X,X,X,X
LISZJTO,X,O,X,X,X,X,X,X,X
LISZJOT,X,O,X,X,X,X,X,X,X
LISZOTJ,X,O,X,X,X,X,X,X,X
LISZOJT,X,O,X,X,X,X,X,X,X
LISOTJZ,X,O,O,X,O,X,X,O,X
LISOTZJ,X,O,O,X,X,X,X,X,X
LISOJTZ,X,X,O,X,O,X,X,X,X
LISOJZT,X,X,X,X,X,X,X,X,X
LISOZTJ,X,O,O,X,X,X,X,X,X
LISOZJT,X,O,X,X,X,X,X,X,X
LIZTJSO,O,O,X,X,O,X,O,X,O
LIZTJOS,O,O,X,O,O,X,O,X,O
LIZTSJO,O,O,X,X,X,X,X,X,O
LIZTSOJ,O,O,X,X,X,X,X,X,X
LIZTOJS,O,X,X,O,O,X,X,X,O
LIZTOSJ,O,O,X,O,X,X,X,X,X
LIZJTSO,O,O,X,X,O,X,O,X,O
LIZJTOS,O,O,X,O,O,X,O,X,O
LIZJSTO,O,O,X,X,X,X,O,X,X
LIZJSOT,X,O,X,X,X,X,O,X,X
LIZJOTS,X,X,X,O,O,O,O,X,X
LIZJOST,X,X,X,X,X,X,O,X,X
LIZSTJO,O,O,X,X,X,X,X,X,O
LIZSTOJ,O,O,X,X,X,X,X,X,X
LIZSJTO,O,O,X,X,X,X,X,X,X
LIZSJOT,X,O,X,X,X,X,X,X,X
LIZSOTJ,O,O,X,X,X,X,X,X,X
LIZSOJT,O,O,X,X,X,X,X,X,X
LIZOTJS,O,X,X,O,O,O,X,X,O
LIZOTSJ,O,X,X,O,X,O,X,X,X
LIZOJTS,O,X,X,O,O,O,X,X,X
LIZOJST,O,X,X,X,X,X,X,X,X
LIZOSTJ,O,X,X,O,X,X,X,X,X
LIZOSJT,O,X,X,X,X,X,X,X,X
LIOTJSZ,O,X,O,O,O,O,O,X,X
LIOTJZS,O,X,O,O,O,O,O,X,X
LIOTSJZ,X,X,O,O,O,O,X,X,X
LIOTSZJ,O,X,O,X,X,X,X,X,X
LIOTZJS,O,X,O,O,O,O,X,X,X
LIOTZSJ,O,X,X,O,X,O,X,X,X
LIOJTSZ,O,X,O,O,O,O,O,X,X
LIOJTZS,O,X,O,O,O,O,O,X,X
LIOJSTZ,X,X,O,X,O,X,O,X,X
LIOJSZT,X,X,X,X,X,X,O,X,X
LIOJZTS,O,X,X,O,O,O,O,X,X
LIOJZST,O,X,X,X,X,X,O,X,X
LIOSTJZ,X,X,O,O,O,X,X,X,X
LIOSTZJ,X,X,O,X,X,X,X,X,X
LIOSJTZ,X,X,O,X,O,X,X,X,X
LIOSJZT,X,X,X,X,X,X,X,X,X
LIOSZTJ,X,X,O,O,X,X,X,X,X
LIOSZJT,X,X,X,X,X,X,X,X,X
LIOZTJS,O,X,O,O,O,O,X,X,X
LIOZTSJ,O,X,X,O,X,O,X,X,X
LIOZJTS,O,X,X,O,O,O,X,X,X
LIOZJST,O,X,X,X,X,X,X,X,X
LIOZSTJ,O,X,O,O,X,X,X,X,X
LIOZSJT,O,X,X,X,X,X,X,X,X
LJTISZO,O,O,X,X,O,X,O,O,X
LJTISOZ,O,O,O,X,O,O,O,O,X
LJTIZSO,O,O,X,X,O,X,O,X,O
LJTIZOS,O,O,X,O,O,O,O,X,O
LJTIOSZ,O,X,O,O,O,O,O,X,X
LJTIOZS,O,O,O,O,O,O,O,X,X
LJTSIZO,O,O,X,X,O,X,O,O,X
LJTSIOZ,O,O,O,X,O,O,O,O,X
LJTSZIO,O,O,X,X,X,X,X,O,O
LJTSZOI,O,O,O,O,X,X,O,X,X
LJTSOIZ,O,O,O,O,X,O,O,O,X
LJTSOZI,O,O,O,O,X,O,O,X,X
LJTZISO,O,O,X,X,O,X,O,X,O
LJTZIOS,O,O,X,O,O,O,O,X,O
LJTZSIO,O,O,X,X,X,X,X,O,O
LJTZSOI,O,O,O,O,X,X,O,X,X
LJTZOIS,O,O,O,O,X,O,O,X,O
LJTZOSI,O,O,O,O,X,O,O,X,X
LJTOISZ,O,X,O,O,O,O,O,X,X
LJTOIZS,O,O,O,O,O,O,O,X,X
LJTOSIZ,O,X,O,O,X,O,O,O,X
LJTOSZI,O,X,O,O,X,O,O,X,X
LJTOZIS,O,O,O,O,X,O,O,X,O
LJTOZSI,O,O,O,O,X,O,O,X,X
LJITSZO,O,O,X,X,O,X,O,O,X
LJITSOZ,O,X,O,X,O,O,O,O,X
LJITZSO,O,O,X,X,O,X,O,X,O
LJITZOS,O,O,X,O,O,O,O,X,O
LJITOSZ,O,X,O,O,O,O,O,X,X
LJITOZS,O,O,O,O,O,O,O,X,X
LJISTZO,X,X,X,X,O,X,O,O,X
LJISTOZ,X,X,O,X,O,X,O,O,X
LJISZTO,X,X,X,X,X,X,O,X,X
LJISZOT,X,X,X,X,X,X,O,X,X
LJISOTZ,X,X,O,X,O,X,O,X,X
LJISOZT,X,X,X,X,X,X,O,X,X
LJIZTSO,O,O,X,X,O,X,O,X,O
LJIZTOS,O,O,X,O,O,X,O,X,O
LJIZSTO,O,O,X,X,X,X,O,X,X
LJIZSOT,X,O,X,X,X,X,O,X,X
LJIZOTS,X,X,X,O,O,O,O,X,X
LJIZOST,X,X,X,X,X,X,O,X,X
LJIOTSZ,O,X,O,O,O,O,O,X,X
LJIOTZS,O,X,O,O,O,O,O,X,X
LJIOSTZ,X,X,O,X,O,X,O,X,X
LJIOSZT,X,X,X,X,X,X,O,X,X
LJIOZTS,O,X,X,O,O,O,O,X,X
LJIOZST,O,X,X,X,X,X,O,X,X
LJSTIZO,O,O,X,X,O,X,O,O,X
LJSTIOZ,O,O,O,X,O,O,O,O,X
LJSTZIO,O,O,X,X,X,X,X,O,O
LJSTZOI,O,O,O,O,X,X,O,X,X
LJSTOIZ,O,O,O,O,X,O,O,O,X
LJSTOZI,O,O,O,O,X,O,O,X,X
LJSITZO,X,X,X,X,O,X,O,O,X
LJSITOZ,X,X,O,X,O,X,O,O,X
LJSIZTO,X,X,X,X,X,X,O,X,X
LJSIZOT,X,X,X,X,X,X,O,X,X
LJSIOTZ,X,X,O,X,O,X,O,X,X
LJSIOZT,X,X,X,X,X,X,O,X,X
LJSZTIO,O,O,X,X,X,X,X,O,O
LJSZTOI,O,O,O,O,X,X,O,X,X
LJSZITO,O,O,X,X,X,X,X,X,X
LJSZIOT,X,O,X,X,X,X,X,X,X
LJSZOTI,O,O,O,O,X,O,O,X,X
LJSZOIT,X,O,X,X,X,X,X,X,X
LJSOTIZ,O,O,O,O,X,O,O,O,X
LJSOTZI,O,O,O,O,X,O,O,X,X
LJSOITZ,X,X,O,X,X,X,O,X,X
LJSOIZT,X,X,X,X,X,X,O,X,X
LJSOZTI,O,O,O,O,X,O,O,X,X
LJSOZIT,O,O,X,X,X,X,X,X,X
LJZTISO,O,O,X,X,O,X,O,X,O
LJZTIOS,O,O,X,O,O,O,O,X,O
LJZTSIO,O,O,X,X,X,X,X,O,O
LJZTSOI,O,O,O,O,X,X,O,X,X
LJZTOIS,O,O,O,O,X,O,O,X,O
LJZTOSI,O,O,O,O,X,O,O,X,X
LJZITSO,O,O,X,X,O,X,O,X,O
LJZITOS,O,O,X,O,O,X,O,X,O
LJZISTO,O,O,X,X,X,X,O,X,X
LJZISOT,X,O,X,X,X,X,O,X,X
LJZIOTS,X,X,X,O,O,O,O,X,X
LJZIOST,X,X,X,X,X,X,O,X,X
LJZSTIO,O,O,X,X,X,X,X,O,O
LJZSTOI,O,O,O,O,X,X,O,X,X
LJZSITO,O,O,X,X,X,X,X,X,X
LJZSIOT,X,O,X,X,X,X,X,X,X
LJZSOTI,O,O,O,O,X,O,O,X,X
LJZSOIT,O,O,X,X,X,X,X,X,X
LJZOTIS,O,O,O,O,X,O,O,X,O
LJZOTSI,O,O,O,O,X,O,O,X,X
LJZOITS,O,X,X,O,X,O,O,X,X
LJZOIST,O,X,X,X,X,X,O,X,X
LJZOSTI,O,O,O,O,X,O,O,X,X
LJZOSIT,O,O,X,X,X,X,X,X,X
LJOTISZ,O,X,O,O,O,O,O,X,X
LJOTIZS,O,O,O,O,O,O,O,X,X
LJOTSIZ,O,X,O,O,X,O,O,O,X
LJOTSZI,O,X,O,O,X,O,O,X,X
LJOTZIS,O,O,O,O,X,O,O,X,O
LJOTZSI,O,O,O,O,X,O,O,X,X
LJOITSZ,O,X,O,O,O,O,O,X,X
LJOITZS,O,X,O,O,O,O,O,X,X
LJOISTZ,X,X,O,X,O,X,O,X,X
LJOISZT,X,X,X,X,X,X,O,X,X
LJOIZTS,O,X,X,O,O,O,O,X,X
LJOIZST,O,X,X,X,X,X,O,X,X
LJOSTIZ,O,X,O,O,X,O,O,O,X
LJOSTZI,O,X,O,O,X,O,O,X,X
LJOSITZ,X,X,O,X,X,X,O,X,X
LJOSIZT,X,X,X,X,X,X,O,X,X
LJOSZTI,O,X,O,O,X,O,O,X,X
LJOSZIT,O,X,X,X,X,X,X,X,X
LJOZTIS,O,O,O,O,X,O,O,X,O
LJOZTSI,O,O,O,O,X,O,O,X,X
LJOZITS,O,X,X,O,X,O,O,X,X
LJOZIST,O,X,X,X,X,X,O,X,X
LJOZSTI,O,O,O,O,X,O,O,X,X
LJOZSIT,O,O,X,X,X,X,X,X,X
LSTIJZO,O,O,X,X,O,X,O,O,X
LSTIJOZ,O,O,O,X,O,O,O,O,X
LSTIZJO,O,O,X,X,X,X,X,O,X
LSTIZOJ,O,O,X,X,X,X,X,X,X
LSTIOJZ,X,O,O,X,O,X,X,O,X
LSTIOZJ,O,O,O,X,X,X,X,X,X
LSTJIZO,O,O,X,X,O,X,O,O,X
LSTJIOZ,O,O,O,X,O,O,O,O,X
LSTJZIO,O,O,X,X,X,X,X,O,O
LSTJZOI,O,O,O,O,X,X,O,X,X
LSTJOIZ,O,O,O,O,X,O,O,O,X
LSTJOZI,O,O,O,O,X,O,O,X,X
LSTZIJO,O,O,X,X,X,X,X,O,O
LSTZIOJ,O,O,X,X,X,X,X,X,X
LSTZJIO,O,O,X,X,X,X,X,O,O
LSTZJOI,O,O,O,O,X,X,X,X,X
LSTZOIJ,O,O,O,O,X,X,X,X,X
LSTZOJI,O,O,O,O,X,X,X,X,X
LSTOIJZ,X,O,O,O,X,O,X,O,X
LSTOIZJ,O,O,O,X,X,X,X,X,X
LSTOJIZ,O,O,O,O,X,O,X,O,X
LSTOJZI,O,O,O,O,X,O,X,X,X
LSTOZIJ,O,O,O,O,X,O,X,X,X
LSTOZJI,O,O,O,O,X,O,X,X,X
LSITJZO,X,X,X,X,O,X,O,O,X
LSITJOZ,X,O,O,X,O,X,O,O,X
LSITZJO,X,O,X,X,X,X,X,O,X
LSITZOJ,X,O,X,X,X,X,X,X,X
LSITOJZ,X,O,O,X,O,X,X,O,X
LSITOZJ,X,O,O,X,X,X,X,X,X
LSIJTZO,X,X,X,X,O,X,O,O,X
LSIJTOZ,X,X,O,X,O,X,O,O,X
LSIJZTO,X,X,X,X,X,X,O,X,X
LSIJZOT,X,X,X,X,X,X,O,X,X
LSIJOTZ,X,X,O,X,O,X,O,X,X
LSIJOZT,X,X,X,X,X,X,O,X,X
LSIZTJO,X,O,X,X,X,X,X,O,X
LSIZTOJ,X,O,X,X,X,X,X,X,X
LSIZJTO,X,O,X,X,X,X,X,X,X
LSIZJOT,X,O,X,X,X,X,X,X,X
LSIZOTJ,X,O,X,X,X,X,X,X,X
LSIZOJT,X,O,X,X,X,X,X,X,X
LSIOTJZ,X,O,O,X,O,X,X,O,X
LSIOTZJ,X,O,O,X,X,X,X,X,X
LSIOJTZ,X,X,O,X,O,X,X,X,X
LSIOJZT,X,X,X,X,X,X,X,X,X
LSIOZTJ,X,O,O,X,X,X,X,X,X
LSIOZJT,X,O,X,X,X,X,X,X,X
LSJTIZO,O,O,X,X,O,X,O,O,X
LSJTIOZ,O,O,O,X,O,O,O,O,X
LSJTZIO,O,O,X,X,X,X,X,O,O
LSJTZOI,O,O,O,O,X,X,O,X,X
LSJTOIZ,O,O,O,O,X,O,O,O,X
LSJTOZI,O,O,O,O,X,O,O,X,X
LSJITZO,X,X,X,X,O,X,O,O,X
LSJITOZ,X,X,O,X,O,X,O,O,X
LSJIZTO,X,X,X,X,X,X,O,X,X
LSJIZOT,X,X,X,X,X,X,O,X,X
LSJIOTZ,X,X,O,X,O,X,O,X,X
LSJIOZT,X,X,X,X,X,X,O,X,X
LSJZTIO,O,O,X,X,X,X,X,O,O
LSJZTOI,O,O,O,O,X,X,O,X,X
LSJZITO,O,O,X,X,X,X,X,X,X
LSJZIOT,X,O,X,X,X,X,X,X,X
LSJZOTI,O,O,O,O,X,O,O,X,X
LSJZOIT,X,O,X,X,X,X,X,X,X
LSJOTIZ,O,O,O,O,X,O,O,O,X
LSJOTZI,O,O,O,O,X,O,O,X,X
LSJOITZ,X,X,O,X,X,X,O,X,X
LSJOIZT,X,X,X,X,X,X,O,X,X
LSJOZTI,O,O,O,O,X,O,O,X,X
LSJOZIT,O,O,X,X,X,X,X,X,X
LSZTIJO,O,O,X,X,X,X,X,O,O
LSZTIOJ,O,O,X,X,X,X,X,X,X
LSZTJIO,O,O,X,X,X,X,X,O,O
LSZTJOI,O,O,O,O,X,X,X,X,X
LSZTOIJ,O,O,O,O,X,X,X,X,X
LSZTOJI,O,O,O,O,X,X,X,X,X
LSZITJO,O,O,X,X,X,X,X,O,O
LSZITOJ,O,O,X,X,X,X,X,X,X
LSZIJTO,O,O,X,X,X,X,X,X,X
LSZIJOT,X,O,X,X,X,X,X,X,X
LSZIOTJ,O,O,X,X,X,X,X,X,X
LSZIOJT,O,O,X,X,X,X,X,X,X
LSZJTIO,O,O,X,X,X,X,X,O,O
LSZJTOI,O,O,O,O,X,X,X,X,X
LSZJITO,O,O,X,X,X,X,X,X,X
LSZJIOT,X,O,X,X,X,X,X,X,X
LSZJOTI,O,O,O,O,X,O,X,X,X
LSZJOIT,O,O,X,X,X,X,X,X,X
LSZOTIJ,O,O,O,O,X,O,X,X,X
LSZOTJI,O,O,O,O,X,O,X,X,X
LSZOITJ,O,O,O,O,X,X,X,X,X
LSZOIJT,O,O,X,X,X,X,X,X,X
LSZOJTI,O,O,O,O,X,O,X,X,X
LSZOJIT,O,O,X,X,X,X,X,X,X
LSOTIJZ,X,O,O,O,X,O,X,O,X
LSOTIZJ,O,O,O,X,X,X,X,X,X
LSOTJIZ,O,O,O,O,X,O,X,O,X
LSOTJZI,O,O,O,O,X,O,X,X,X
LSOTZIJ,O,O,O,O,X,O,X,X,X
LSOTZJI,O,O,O,O,X,O,X,X,X
LSOITJZ,X,O,O,O,X,X,X,O,X
LSOITZJ,X,O,O,X,X,X,X,X,X
LSOIJTZ,X,X,O,X,X,X,X,X,X
LSOIJZT,X,X,X,X,X,X,X,X,X
LSOIZTJ,X,O,O,O,X,X,X,X,X
LSOIZJT,X,O,X,X,X,X,X,X,X
LSOJTIZ,O,O,O,O,X,O,X,O,X
LSOJTZI,O,O,O,O,X,O,X,X,X
LSOJITZ,X,X,O,X,X,X,X,X,X
LSOJIZT,X,X,X,X,X,X,X,X,X
LSOJZTI,O,O,O,O,X,O,X,X,X
LSOJZIT,O,O,X,X,X,X,X,X,X
LSOZTIJ,O,O,O,O,X,O,X,X,X
LSOZTJI,O,O,O,O,X,O,X,X,X
LSOZITJ,O,O,O,O,X,X,X,X,X
LSOZIJT,O,O,X,X,X,X,X,X,X
LSOZJTI,O,O,O,O,X,O,X,X,X
LSOZJIT,O,O,X,X,X,X,X,X,X
LZTIJSO,O,O,X,X,O,X,O,X,O
LZTIJOS,O,O,X,O,O,O,O,X,O
LZTISJO,O,O,X,X,X,X,X,X,O
LZTISOJ,O,O,X,X,X,X,X,X,X
LZTIOJS,O,X,X,O,O,X,X,X,O
LZTIOSJ,O,O,X,O,X,X,X,X,X
LZTJISO,O,O,X,X,O,X,O,X,O
LZTJIOS,O,O,X,O,O,O,O,X,O
LZTJSIO,O,O,X,X,X,X,X,O,O
LZTJSOI,O,O,O,O,X,X,O,X,X
LZTJOIS,O,O,O,O,X,O,O,X,O
LZTJOSI,O,O,O,O,X,O,O,X,X
LZTSIJO,O,O,X,X,X,X,X,O,O
LZTSIOJ,O,O,X,X,X,X,X,X,X
LZTSJIO,O,O,X,X,X,X,X,O,O
LZTSJOI,O,O,O,O,X,X,X,X,X
LZTSOIJ,O,O,O,O,X,X,X,X,X
LZTSOJI,O,O,O,O,X,X,X,X,X
LZTOIJS,O,X,O,O,X,O,X,X,O
LZTOISJ,O,O,X,O,X,O,X,X,X
LZTOJIS,O,O,O,O,X,O,X,X,O
LZTOJSI,O,O,O,O,X,O,X,X,X
LZTOSIJ,O,O,O,O,X,O,X,X,X
LZTOSJI,O,O,O,O,X,O,X,X,X
LZITJSO,O,O,X,X,O,X,O,X,O
LZITJOS,O,O,X,O,O,X,O,X,O
LZITSJO,O,O,X,X,X,X,X,X,O
LZITSOJ,O,O,X,X,X,X,X,X,X
LZITOJS,O,X,X,O,O,X,X,X,O
LZITOSJ,O,O,X,O,X,X,X,X,X
LZIJTSO,O,O,X,X,O,X,O,X,O
LZIJTOS,O,O,X,O,O,X,O,X,O
LZIJSTO,O,O,X,X,X,X,O,X,X
LZIJSOT,X,O,X,X,X,X,O,X,X
LZIJOTS,X,X,X,O,O,O,O,X,X
LZIJOST,X,X,X,X,X,X,O,X,X
LZISTJO,O,O,X,X,X,X,X,X,O
LZISTOJ,O,O,X,X,X,X,X,X,X
LZISJTO,O,O,X,X,X,X,X,X,X
LZISJOT,X,O,X,X,X,X,X,X,X
LZISOTJ,O,O,X,X,X,X,X,X,X
LZISOJT,O,O,X,X,X,X,X,X,X
LZIOTJS,O,X,X,O,O,O,X,X,O
LZIOTSJ,O,X,X,O,X,O,X,X,X
LZIOJTS,O,X,X,O,O,O,X,X,X
LZIOJST,O,X,X,X,X,X,X,X,X
LZIOSTJ,O,X,X,O,X,X,X,X,X
LZIOSJT,O,X,X,X,X,X,X,X,X
LZJTISO,O,O,X,X,O,X,O,X,O
LZJTIOS,O,O,X,O,O,O,O,X,O
LZJTSIO,O,O,X,X,X,X,X,O,O
LZJTSOI,O,O,O,O,X,X,O,X,X
LZJTOIS,O,O,O,O,X,O,O,X,O
LZJTOSI,O,O,O,O,X,O,O,X,X
LZJITSO,O,O,X,X,O,X,O,X,O
LZJITOS,O,O,X,O,O,X,O,X,O
LZJISTO,O,O,X,X,X,X,O,X,X
LZJISOT,X,O,X,X,X,X,O,X,X
LZJIOTS,X,X,X,O,O,O,O,X,X
LZJIOST,X,X,X,X,X,X,O,X,X
LZJSTIO,O,O,X,X,X,X,X,O,O
LZJSTOI,O,O,O,O,X,X,O,X,X
LZJSITO,O,O,X,X,X,X,X,X,X
LZJSIOT,X,O,X,X,X,X,X,X,X
LZJSOTI,O,O,O,O,X,O,O,X,X
LZJSOIT,O,O,X,X,X,X,X,X,X
LZJOTIS,O,O,O,O,X,O,O,X,O
LZJOTSI,O,O,O,O,X,O,O,X,X
LZJOITS,O,X,X,O,X,O,O,X,X
LZJOIST,O,X,X,X,X,X,O,X,X
LZJOSTI,O,O,O,O,X,O,O,X,X
LZJOSIT,O,O,X,X,X,X,X,X,X
LZSTIJO,O,O,X,X,X,X,X,O,O
LZSTIOJ,O,O,X,X,X,X,X,X,X
LZSTJIO,O,O,X,X,X,X,X,O,O
LZSTJOI,O,O,O,O,X,X,X,X,X
LZSTOIJ,O,O,O,O,X,X,X,X,X
LZSTOJI,O,O,O,O,X,X,X,X,X
LZSITJO,O,O,X,X,X,X,X,O,O
LZSITOJ,O,O,X,X,X,X,X,X,X
LZSIJTO,O,O,X,X,X,X,X,X,X
LZSIJOT,X,O,X,X,X,X,X,X,X
LZSIOTJ,O,O,X,X,X,X,X,X,X
LZSIOJT,O,O,X,X,X,X,X,X,X
LZSJTIO,O,O,X,X,X,X,X,O,O
LZSJTOI,O,O,O,O,X,X,X,X,X
LZSJITO,O,O,X,X,X,X,X,X,X
LZSJIOT,X,O,X,X,X,X,X,X,X
LZSJOTI,O,O,O,O,X,O,X,X,X
LZSJOIT,O,O,X,X,X,X,X,X,X
LZSOTIJ,O,O,O,O,X,O,X,X,X
LZSOTJI,O,O,O,O,X,O,X,X,X
LZSOITJ,O,O,O,O,X,X,X,X,X
LZSOIJT,O,O,X,X,X,X,X,X,X
LZSOJTI,O,O,O,O,X,O,X,X,X
LZSOJIT,O,O,X,X,X,X,X,X,X
LZOTIJS,O,X,O,O,X,O,X,X,O
LZOTISJ,O,O,X,O,X,O,X,X,X
LZOTJIS,O,O,O,O,X,O,X,X,O
LZOTJSI,O,O,O,O,X,O,X,X,X
LZOTSIJ,O,O,O,O,X,O,X,X,X
LZOTSJI,O,O,O,O,X,O,X,X,X
LZOITJS,O,X,O,O,X,O,X,X,O
LZOITSJ,O,X,X,O,X,O,X,X,X
LZOIJTS,O,X,X,O,X,O,X,X,X
LZOIJST,O,X,X,X,X,X,X,X,X
LZOISTJ,O,X,O,O,X,X,X,X,X
LZOISJT,O,X,X,X,X,X,X,X,X
LZOJTIS,O,O,O,O,X,O,X,X,O
LZOJTSI,O,O,O,O,X,O,X,X,X
LZOJITS,O,X,X,O,X,O,X,X,X
LZOJIST,O,X,X,X,X,X,X,X,X
LZOJSTI,O,O,O,O,X,O,X,X,X
LZOJSIT,O,O,X,X,X,X,X,X,X
LZOSTIJ,O,O,O,O,X,O,X,X,X
LZOSTJI,O,O,O,O,X,O,X,X,X
LZOSITJ,O,O,O,O,X,X,X,X,X
LZOSIJT,O,O,X,X,X,X,X,X,X
LZOSJTI,O,O,O,O,X,O,X,X,X
LZOSJIT,O,O,X,X,X,X,X,X,X
LOTIJSZ,O,X,O,O,O,O,O,X,X
LOTIJZS,O,O,O,O,O,O,O,X,X
LOTISJZ,X,O,O,O,O,O,X,X,X
LOTISZJ,O,O,O,X,X,X,X,X,X
LOTIZJS,O,X,O,O,O,O,X,X,X
LOTIZSJ,O,O,X,O,X,O,X,X,X
LOTJISZ,O,X,O,O,O,O,O,X,X
LOTJIZS,O,O,O,O,O,O,O,X,X
LOTJSIZ,O,X,O,O,X,O,O,O,X
LOTJSZI,O,X,O,O,X,O,O,X,X
LOTJZIS,O,O,O,O,X,O,O,X,O
LOTJZSI,O,O,O,O,X,O,O,X,X
LOTSIJZ,X,O,O,O,X,O,X,O,X
LOTSIZJ,O,O,O,X,X,X,X,X,X
