sequence,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBThBNnB5oBSq?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBThBNnB5oB3k?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeKEJvhFzfBGhBNnB5oB3l?B0rB,v115@EhB8IeA8HeB8AeE8BeB8KeOEJvhFXgBNmBUiB5oBSq?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNmBUiB5oB3k?BzrB,v115@EhB8IeA8HeB8AeE8BeB8Kei/IvhF+lBNnB5oB3kBTm?B0rB,v115@EhB8IeA8HeB8AeE8BeB8Kem/IvhFSmBNnB5oBTkB3l?B0rB
LSIJTZO,O,O,O,O,O,O,X
LSIJTOZ,O,O,O,O,O,O,X
LSIJZTO,O,O,O,O,O,O,X
LSIJZOT,O,O,O,O,O,X,X
LSIJOTZ,O,O,O,O,O,O,X
LSIJOZT,O,O,O,O,O,X,X
LSIZTJO,O,O,O,O,X,O,X
LSIZTOJ,O,O,O,O,X,O,X
LSIZJTO,O,O,O,O,O,O,X
LSIZJOT,O,O,O,O,O,X,X
LSIZOTJ,O,O,O,O,X,X,X
LSIZOJT,O,O,O,O,O,X,X
LSIOTJZ,O,O,O,O,O,O,X
LSIOTZJ,O,X,O,O,X,O,X
LSIOJTZ,O,O,O,O,O,O,X
LSIOJZT,O,O,O,O,O,X,X
LSIOZTJ,O,O,O,O,X,X,X
LSIOZJT,O,O,O,O,O,X,X
LSJTIZO,O,O,O,O,O,O,X
LSJTIOZ,O,O,O,O,O,O,X
LSJTZIO,O,O,O,O,O,O,X
LSJTZOI,O,O,O,O,O,O,X
LSJTOIZ,O,O,O,O,O,O,X
LSJTOZI,O,O,O,O,O,O,X
LSJITZO,O,O,O,O,O,O,X
LSJITOZ,O,O,O,O,O,O,X
LSJIZTO,O,O,O,O,O,O,X
LSJIZOT,O,O,O,O,O,X,X
LSJIOTZ,O,O,O,O,O,O,X
LSJIOZT,O,O,O,O,O,X,X
LSJZTIO,O,O,O,O,O,O,X
LSJZTOI,O,O,O,O,O,O,X
LSJZITO,O,O,O,O,O,O,X
LSJZIOT,O,O,O,O,O,X,X
LSJZOTI,O,O,O,O,O,X,X
LSJZOIT,O,O,O,O,O,X,X
LSJOTIZ,O,O,O,O,O,O,X
LSJOTZI,O,O,O,O,O,O,X
LSJOITZ,O,O,O,O,O,O,X
LSJOIZT,O,O,O,O,O,X,X
LSJOZTI,O,O,O,O,O,X,X
LSJOZIT,O,O,O,O,O,X,X
LSZTIJO,O,O,O,O,X,O,X
LSZTIOJ,O,O,O,O,X,O,X
LSZTJIO,O,O,O,O,X,O,X
LSZTJOI,O,O,O,O,X,O,X
LSZTOIJ,O,O,O,O,X,O,X
LSZTOJI,O,O,O,O,X,O,X
LSZITJO,O,O,O,O,X,O,X
LSZITOJ,O,O,O,O,X,O,X
LSZIJTO,O,O,O,O,O,O,X
LSZIJOT,O,O,O,O,O,X,X
LSZIOTJ,O,O,O,O,X,X,X
LSZIOJT,O,O,O,O,O,X,X
LSZJTIO,O,O,O,O,O,O,X
LSZJTOI,O,O,O,O,O,O,X
LSZJITO,O,O,O,O,O,O,X
LSZJIOT,O,O,O,O,O,X,X
LSZJOTI,O,O,O,O,O,X,X
LSZJOIT,O,O,O,O,O,X,X
LSZOTIJ,O,O,O,O,X,X,X
LSZOTJI,O,O,O,O,X,X,X
LSZOITJ,O,O,O,O,X,X,X
LSZOIJT,O,O,O,O,O,X,X
LSZOJTI,O,O,O,O,O,X,X
LSZOJIT,O,O,O,O,O,X,X
LSOTIJZ,O,O,O,O,O,O,X
LSOTIZJ,O,X,O,O,X,O,X
LSOTJIZ,O,O,O,O,O,O,X
LSOTJZI,O,O,O,O,O,O,X
LSOTZIJ,O,X,O,O,X,O,X
LSOTZJI,O,X,O,O,X,O,X
LSOITJZ,O,O,O,O,O,O,X
LSOITZJ,O,X,O,O,X,O,X
LSOIJTZ,O,O,O,O,O,O,X
LSOIJZT,O,O,O,O,O,X,X
LSOIZTJ,O,O,O,O,X,X,X
LSOIZJT,O,O,O,O,O,X,X
LSOJTIZ,O,O,O,O,O,O,X
LSOJTZI,O,O,O,O,O,O,X
LSOJITZ,O,O,O,O,O,O,X
LSOJIZT,O,O,O,O,O,X,X
LSOJZTI,O,O,O,O,O,X,X
LSOJZIT,O,O,O,O,O,X,X
LSOZTIJ,O,O,O,O,X,X,X
LSOZTJI,O,O,O,O,X,X,X
LSOZITJ,O,O,O,O,X,X,X
LSOZIJT,O,O,O,O,O,X,X
LSOZJTI,O,O,O,O,O,X,X
LSOZJIT,O,O,O,O,O,X,X
LZTIJSO,O,O,O,O,O,X,X
LZTIJOS,O,O,O,O,X,X,O
LZTISJO,O,O,O,O,X,X,X
LZTISOJ,O,O,O,O,X,X,O
LZTIOJS,O,O,O,O,X,X,O
LZTIOSJ,O,X,O,O,X,X,O
LZTJISO,O,O,O,O,O,X,X
LZTJIOS,O,O,O,O,X,X,O
LZTJSIO,O,O,O,O,O,X,X
LZTJSOI,O,O,O,O,O,X,X
LZTJOIS,O,O,O,O,X,X,O
LZTJOSI,O,O,O,O,X,X,O
LZTSIJO,O,O,O,O,X,X,X
LZTSIOJ,O,O,O,O,X,X,O
LZTSJIO,O,O,O,O,X,X,X
LZTSJOI,O,O,O,O,X,X,X
LZTSOIJ,O,O,O,O,X,X,O
LZTSOJI,O,O,O,O,X,X,O
LZTOIJS,O,O,O,O,X,X,O
LZTOISJ,O,X,O,O,X,X,O
LZTOJIS,O,O,O,O,X,X,O
LZTOJSI,O,O,O,O,X,X,O
LZTOSIJ,O,X,O,O,X,X,O
LZTOSJI,O,X,O,O,X,X,O
LZITJSO,O,O,O,O,O,X,X
LZITJOS,O,O,O,O,X,X,O
LZITSJO,O,O,O,O,X,X,X
LZITSOJ,O,O,O,O,X,X,O
LZITOJS,O,O,O,O,X,X,O
LZITOSJ,O,X,O,O,X,X,O
LZIJTSO,O,O,O,O,X,X,X
LZIJTOS,O,O,O,O,X,X,X
LZIJSTO,O,O,O,O,X,X,X
LZIJSOT,O,O,O,O,X,X,X
LZIJOTS,O,X,O,O,X,X,X
LZIJOST,O,X,X,O,X,X,X
LZISTJO,O,O,O,O,X,X,X
LZISTOJ,O,O,O,O,X,X,X
LZISJTO,O,O,O,O,X,X,X
LZISJOT,O,O,O,O,X,X,X
LZISOTJ,O,O,O,O,X,X,X
LZISOJT,O,O,O,O,X,X,X
LZIOTJS,O,X,O,O,X,X,O
LZIOTSJ,O,X,O,O,X,X,O
LZIOJTS,O,X,O,O,X,X,O
LZIOJST,O,X,X,O,X,X,X
LZIOSTJ,O,X,O,O,X,X,X
LZIOSJT,O,X,O,O,X,X,X
LZJTISO,O,O,O,O,X,X,X
LZJTIOS,O,O,O,O,X,X,X
LZJTSIO,O,O,O,O,X,X,X
LZJTSOI,O,O,O,O,X,X,X
LZJTOIS,O,O,O,O,X,X,X
LZJTOSI,O,O,O,O,X,X,X
LZJITSO,O,O,O,O,X,X,X
LZJITOS,O,O,O,O,X,X,X
LZJISTO,O,O,O,O,X,X,X
LZJISOT,O,O,O,O,X,X,X
LZJIOTS,O,X,O,O,X,X,X
LZJIOST,O,X,X,O,X,X,X
LZJSTIO,O,O,O,O,X,X,X
LZJSTOI,O,O,O,O,X,X,X
LZJSITO,O,O,O,O,X,X,X
LZJSIOT,O,O,O,O,X,X,X
LZJSOTI,O,O,O,O,X,X,X
LZJSOIT,O,O,O,O,X,X,X
LZJOTIS,O,X,O,O,X,X,X
LZJOTSI,O,X,O,O,X,X,X
LZJOITS,O,X,O,O,X,X,X
LZJOIST,O,X,X,O,X,X,X
LZJOSTI,O,X,X,O,X,X,X
LZJOSIT,O,X,X,O,X,X,X
LZSTIJO,O,O,O,O,X,X,X
LZSTIOJ,O,O,O,O,X,X,X
LZSTJIO,O,O,O,O,X,X,X
LZSTJOI,O,O,O,O,X,X,X
LZSTOIJ,O,O,O,O,X,X,X
LZSTOJI,O,O,O,O,X,X,X
LZSITJO,O,O,O,O,X,X,X
LZSITOJ,O,O,O,O,X,X,X
LZSIJTO,O,O,O,O,X,X,X
LZSIJOT,O,O,O,O,X,X,X
LZSIOTJ,O,O,O,O,X,X,X
LZSIOJT,O,O,O,O,X,X,X
LZSJTIO,O,O,O,O,X,X,X
LZSJTOI,O,O,O,O,X,X,X
LZSJITO,O,O,O,O,X,X,X
LZSJIOT,O,O,O,O,X,X,X
LZSJOTI,O,O,O,O,X,X,X
LZSJOIT,O,O,O,O,X,X,X
LZSOTIJ,O,O,O,O,X,X,X
LZSOTJI,O,O,O,O,X,X,X
LZSOITJ,O,O,O,O,X,X,X
LZSOIJT,O,O,O,O,X,X,X
LZSOJTI,O,O,O,O,X,X,X
LZSOJIT,O,O,O,O,X,X,X
LZOTIJS,O,X,O,O,X,X,O
LZOTISJ,O,X,O,O,X,X,O
LZOTJIS,O,X,O,O,X,X,O
LZOTJSI,O,X,O,O,X,X,O
LZOTSIJ,O,X,O,O,X,X,O
LZOTSJI,O,X,O,O,X,X,O
LZOITJS,O,X,O,O,X,X,O
LZOITSJ,O,X,O,O,X,X,O
LZOIJTS,O,X,O,O,X,X,O
LZOIJST,O,X,X,O,X,X,X
LZOISTJ,O,X,O,O,X,X,X
LZOISJT,O,X,O,O,X,X,X
LZOJTIS,O,X,O,O,X,X,O
LZOJTSI,O,X,O,O,X,X,O
LZOJITS,O,X,O,O,X,X,O
LZOJIST,O,X,X,O,X,X,X
LZOJSTI,O,X,X,O,X,X,X
LZOJSIT,O,X,X,O,X,X,X
LZOSTIJ,O,X,O,O,X,X,X
LZOSTJI,O,X,O,O,X,X,X
LZOSITJ,O,X,O,O,X,X,X
LZOSIJT,O,X,O,O,X,X,X
LZOSJTI,O,X,O,O,X,X,X
LZOSJIT,O,X,O,O,X,X,X
LOTIJSZ,O,X,O,O,O,X,X
LOTIJZS,O,X,X,O,O,X,X
LOTISJZ,O,X,O,O,X,X,X
LOTISZJ,O,X,O,O,X,X,X
LOTIZJS,O,X,O,O,O,X,X
LOTIZSJ,O,X,O,O,X,X,X
LOTJISZ,O,X,O,O,O,X,X
LOTJIZS,O,X,X,O,O,X,X
LOTJSIZ,O,X,O,O,O,X,X
LOTJSZI,O,X,O,O,O,X,X
LOTJZIS,O,X,X,O,O,X,X
LOTJZSI,O,X,X,O,O,X,X
LOTSIJZ,O,X,O,O,X,X,X
LOTSIZJ,O,X,O,O,X,X,X
LOTSJIZ,O,X,O,O,X,X,X
LOTSJZI,O,X,O,O,X,X,X
LOTSZIJ,O,X,O,O,X,X,X
LOTSZJI,O,X,O,O,X,X,X
LOTZIJS,O,X,O,O,O,X,X
LOTZISJ,O,X,O,O,X,X,X
LOTZJIS,O,X,O,O,O,X,X
LOTZJSI,O,X,O,O,O,X,X
LOTZSIJ,O,X,O,O,X,X,X
LOTZSJI,O,X,O,O,X,X,X
LOITJSZ,O,X,O,O,O,X,X
LOITJZS,O,X,X,O,O,X,X
LOITSJZ,O,X,O,O,X,X,X
LOITSZJ,O,X,O,O,X,X,X
LOITZJS,O,X,O,O,O,X,X
LOITZSJ,O,X,O,O,X,X,X
LOIJTSZ,O,X,O,O,O,X,X
LOIJTZS,O,X,X,O,O,X,X
LOIJSTZ,O,X,O,O,O,X,X
LOIJSZT,O,X,O,O,O,X,X
LOIJZTS,O,X,O,O,X,X,O
LOIJZST,O,X,X,O,X,X,X
LOISTJZ,O,X,O,O,O,X,X
LOISTZJ,O,X,O,O,X,X,X
LOISJTZ,O,X,O,O,O,X,X
LOISJZT,O,X,O,O,O,X,X
LOISZTJ,O,X,O,O,X,X,X
LOISZJT,O,X,O,O,O,X,X
LOIZTJS,O,X,O,O,O,X,O
LOIZTSJ,O,X,O,O,X,X,O
LOIZJTS,O,X,O,O,X,X,O
LOIZJST,O,X,X,O,X,X,X
LOIZSTJ,O,X,O,O,X,X,X
LOIZSJT,O,X,O,O,X,X,X
LOJTISZ,O,X,O,O,O,X,X
LOJTIZS,O,X,X,O,O,X,X
LOJTSIZ,O,X,O,O,O,X,X
LOJTSZI,O,X,O,O,O,X,X
LOJTZIS,O,X,X,O,O,X,X
LOJTZSI,O,X,X,O,O,X,X
LOJITSZ,O,X,O,O,O,X,X
LOJITZS,O,X,X,O,O,X,X
LOJISTZ,O,X,O,O,O,X,X
LOJISZT,O,X,O,O,O,X,X
LOJIZTS,O,X,O,O,X,X,O
LOJIZST,O,X,X,O,X,X,X
LOJSTIZ,O,X,O,O,O,X,X
LOJSTZI,O,X,O,O,O,X,X
LOJSITZ,O,X,O,O,O,X,X
LOJSIZT,O,X,O,O,O,X,X
LOJSZTI,O,X,O,O,O,X,X
LOJSZIT,O,X,O,O,O,X,X
LOJZTIS,O,X,O,O,X,X,O
LOJZTSI,O,X,O,O,X,X,O
LOJZITS,O,X,O,O,X,X,O
LOJZIST,O,X,X,O,X,X,X
LOJZSTI,O,X,X,O,X,X,X
LOJZSIT,O,X,X,O,X,X,X
LOSTIJZ,O,X,O,O,O,X,X
LOSTIZJ,O,X,O,O,X,X,X
LOSTJIZ,O,X,O,O,O,X,X
LOSTJZI,O,X,O,O,O,X,X
LOSTZIJ,O,X,O,O,X,X,X
LOSTZJI,O,X,O,O,X,X,X
LOSITJZ,O,X,O,O,O,X,X
LOSITZJ,O,X,O,O,X,X,X
LOSIJTZ,O,X,O,O,O,X,X
LOSIJZT,O,X,O,O,O,X,X
LOSIZTJ,O,X,O,O,X,X,X
LOSIZJT,O,X,O,O,O,X,X
LOSJTIZ,O,X,O,O,O,X,X
LOSJTZI,O,X,O,O,O,X,X
LOSJITZ,O,X,O,O,O,X,X
LOSJIZT,O,X,O,O,O,X,X
LOSJZTI,O,X,O,O,O,X,X
LOSJZIT,O,X,O,O,O,X,X
LOSZTIJ,O,X,O,O,X,X,X
LOSZTJI,O,X,O,O,X,X,X
LOSZITJ,O,X,O,O,X,X,X
LOSZIJT,O,X,O,O,O,X,X
LOSZJTI,O,X,O,O,O,X,X
LOSZJIT,O,X,O,O,O,X,X
LOZTIJS,O,X,O,O,O,X,O
LOZTISJ,O,X,O,O,X,X,O
LOZTJIS,O,X,O,O,O,X,O
LOZTJSI,O,X,O,O,O,X,O
LOZTSIJ,O,X,O,O,X,X,O
LOZTSJI,O,X,O,O,X,X,O
LOZITJS,O,X,O,O,O,X,O
LOZITSJ,O,X,O,O,X,X,O
LOZIJTS,O,X,O,O,X,X,O
LOZIJST,O,X,X,O,X,X,X
LOZISTJ,O,X,O,O,X,X,X
LOZISJT,O,X,O,O,X,X,X
LOZJTIS,O,X,O,O,X,X,O
LOZJTSI,O,X,O,O,X,X,O
LOZJITS,O,X,O,O,X,X,O
LOZJIST,O,X,X,O,X,X,X
LOZJSTI,O,X,X,O,X,X,X
LOZJSIT,O,X,X,O,X,X,X
LOZSTIJ,O,X,O,O,X,X,X
LOZSTJI,O,X,O,O,X,X,X
LOZSITJ,O,X,O,O,X,X,X
LOZSIJT,O,X,O,O,X,X,X
LOZSJTI,O,X,O,O,X,X,X
LOZSJIT,O,X,O,O,X,X,X
JTILSZO,O,O,O,O,O,O,X
JTILSOZ,O,O,O,O,O,O,X
JTILZSO,O,O,X,O,O,X,X
JTILZOS,O,O,X,O,X,X,X
JTILOSZ,O,X,O,O,X,O,X
JTILOZS,O,X,X,O,X,X,X
JTISLZO,O,O,O,O,O,O,X
JTISLOZ,O,O,O,O,O,O,X
JTISZLO,X,O,O,O,O,O,X
JTISZOL,X,O,X,X,O,O,X
JTISOLZ,X,O,O,X,O,O,X
JTISOZL,X,O,X,X,O,O,X
JTIZLSO,O,O,X,O,O,X,X
JTIZLOS,O,O,X,O,X,X,X
JTIZSLO,O,O,X,O,O,O,X
JTIZSOL,O,O,X,X,O,O,X
JTIZOLS,O,O,X,O,X,X,X
JTIZOSL,O,O,X,X,O,O,X
JTIOLSZ,O,X,X,O,O,O,X
JTIOLZS,O,X,X,O,O,X,X
JTIOSLZ,X,O,X,O,O,O,X
JTIOSZL,X,O,X,O,O,O,X
JTIOZLS,X,O,X,O,O,X,X
JTIOZSL,X,O,X,O,O,O,X
JTLISZO,O,O,O,O,O,O,X
JTLISOZ,O,O,O,O,O,O,X
JTLIZSO,O,O,X,O,O,X,X
JTLIZOS,O,O,X,O,X,X,X
JTLIOSZ,O,X,O,O,X,O,X
JTLIOZS,O,X,X,O,X,X,X
JTLSIZO,O,O,O,O,O,O,X
JTLSIOZ,O,O,O,O,O,O,X
JTLSZIO,O,O,O,O,O,O,X
JTLSZOI,O,O,O,O,O,O,X
JTLSOIZ,O,O,O,O,O,O,X
JTLSOZI,O,O,O,O,O,O,X
JTLZISO,O,O,X,O,O,X,X
JTLZIOS,O,O,X,O,X,X,X
JTLZSIO,O,O,X,O,O,X,X
JTLZSOI,O,O,X,O,O,X,X
JTLZOIS,O,O,X,O,X,X,X
JTLZOSI,O,O,X,O,X,X,X
JTLOISZ,O,X,O,O,X,O,X
JTLOIZS,O,X,X,O,X,X,X
JTLOSIZ,O,X,O,O,X,O,X
JTLOSZI,O,X,O,O,X,O,X
JTLOZIS,O,X,X,O,X,X,X
JTLOZSI,O,X,X,O,X,X,X
JTSILZO,O,O,O,O,O,O,X
JTSILOZ,O,O,O,O,O,O,X
JTSIZLO,X,O,O,O,O,O,X
JTSIZOL,X,O,X,X,O,O,X
JTSIOLZ,X,O,O,X,O,O,X
JTSIOZL,X,O,X,X,O,O,X
JTSLIZO,O,O,O,O,O,O,X
JTSLIOZ,O,O,O,O,O,O,X
JTSLZIO,O,O,O,O,O,O,X
JTSLZOI,O,O,O,O,O,O,X
JTSLOIZ,O,O,O,O,O,O,X
JTSLOZI,O,O,O,O,O,O,X
JTSZILO,X,O,O,O,O,O,X
JTSZIOL,X,O,X,X,O,O,X
JTSZLIO,X,O,O,O,O,O,X
JTSZLOI,X,O,O,O,O,O,X
JTSZOIL,X,O,X,X,O,O,X
JTSZOLI,X,O,X,X,O,O,X
JTSOILZ,X,O,O,X,O,O,X
JTSOIZL,X,O,X,X,O,O,X
JTSOLIZ,X,O,O,X,O,O,X
JTSOLZI,X,O,O,X,O,O,X
JTSOZIL,X,O,X,X,O,O,X
JTSOZLI,X,O,X,X,O,O,X
JTZILSO,O,O,X,O,O,X,X
JTZILOS,O,O,X,O,X,X,X
JTZISLO,O,O,X,O,O,O,X
JTZISOL,O,O,X,X,O,O,X
JTZIOLS,O,O,X,O,X,X,X
JTZIOSL,O,O,X,X,O,O,X
JTZLISO,O,O,X,O,O,X,X
JTZLIOS,O,O,X,O,X,X,X
JTZLSIO,O,O,X,O,O,X,X
JTZLSOI,O,O,X,O,O,X,X
JTZLOIS,O,O,X,O,X,X,X
JTZLOSI,O,O,X,O,X,X,X
JTZSILO,O,O,X,O,O,O,X
JTZSIOL,O,O,X,X,O,O,X
JTZSLIO,O,O,X,O,O,O,X
JTZSLOI,O,O,X,O,O,O,X
JTZSOIL,O,O,X,X,O,O,X
JTZSOLI,O,O,X,X,O,O,X
JTZOILS,O,O,X,O,X,X,X
JTZOISL,O,O,X,X,O,O,X
JTZOLIS,O,O,X,O,X,X,X
JTZOLSI,O,O,X,O,X,X,X
JTZOSIL,O,O,X,X,O,O,X
JTZOSLI,O,O,X,X,O,O,X
JTOILSZ,O,X,X,O,O,O,X
JTOILZS,O,X,X,O,O,X,X
JTOISLZ,X,O,X,O,O,O,X
JTOISZL,X,O,X,O,O,O,X
JTOIZLS,X,O,X,O,O,X,X
JTOIZSL,X,O,X,O,O,O,X
JTOLISZ,O,X,X,O,O,O,X
JTOLIZS,O,X,X,O,O,X,X
JTOLSIZ,O,X,X,O,O,O,X
JTOLSZI,O,X,X,O,O,O,X
JTOLZIS,O,X,X,O,O,X,X
JTOLZSI,O,X,X,O,O,X,X
JTOSILZ,X,O,X,O,O,O,X
JTOSIZL,X,O,X,O,O,O,X
JTOSLIZ,X,O,X,O,O,O,X
JTOSLZI,X,O,X,O,O,O,X
JTOSZIL,X,O,X,O,O,O,X
JTOSZLI,X,O,X,O,O,O,X
JTOZILS,X,O,X,O,O,X,X
JTOZISL,X,O,X,O,O,O,X
JTOZLIS,X,O,X,O,O,X,X
JTOZLSI,X,O,X,O,O,X,X
JTOZSIL,X,O,X,O,O,O,X
JTOZSLI,X,O,X,O,O,O,X
JITLSZO,O,O,O,O,O,O,X
JITLSOZ,O,O,O,O,O,O,X
JITLZSO,O,O,X,O,O,X,X
JITLZOS,O,O,X,O,X,X,X
JITLOSZ,O,X,O,O,X,O,X
JITLOZS,O,X,X,O,X,X,X
JITSLZO,O,O,O,O,O,O,X
JITSLOZ,O,O,O,O,O,O,X
JITSZLO,X,O,O,O,O,O,X
JITSZOL,X,O,X,X,O,O,X
JITSOLZ,X,O,O,X,O,O,X
JITSOZL,X,O,X,X,O,O,X
JITZLSO,O,O,X,O,O,X,X
JITZLOS,O,O,X,O,X,X,X
JITZSLO,O,O,X,O,O,O,X
JITZSOL,O,O,X,X,O,O,X
JITZOLS,O,O,X,O,X,X,X
JITZOSL,O,O,X,X,O,O,X
JITOLSZ,O,X,X,O,O,O,X
JITOLZS,O,X,X,O,O,X,X
JITOSLZ,X,O,X,O,O,O,X
JITOSZL,X,O,X,O,O,O,X
JITOZLS,X,O,X,O,O,X,X
JITOZSL,X,O,X,O,O,O,X
JILTSZO,O,O,O,O,O,O,X
JILTSOZ,O,O,O,O,O,O,X
JILTZSO,O,O,X,O,O,X,X
JILTZOS,O,O,X,O,X,X,X
JILTOSZ,O,X,O,O,X,O,X
JILTOZS,O,X,X,O,X,X,X
JILSTZO,O,O,O,O,O,O,X
JILSTOZ,O,O,O,O,O,O,X
JILSZTO,O,O,O,O,O,O,X
JILSZOT,O,O,O,O,O,X,X
JILSOTZ,O,O,O,O,O,O,X
JILSOZT,O,O,O,O,O,X,X
JILZTSO,O,O,O,O,X,X,X
JILZTOS,O,O,O,O,X,X,X
JILZSTO,O,O,O,O,X,X,X
JILZSOT,O,O,O,O,X,X,X
JILZOTS,O,X,O,O,X,X,X
JILZOST,O,X,X,O,X,X,X
JILOTSZ,O,X,O,O,O,X,X
JILOTZS,O,X,X,O,O,X,X
JILOSTZ,O,X,O,O,O,X,X
JILOSZT,O,X,O,O,O,X,X
JILOZTS,O,X,O,O,X,X,X
JILOZST,O,X,X,O,X,X,X
JISTLZO,O,O,O,O,O,O,X
JISTLOZ,O,O,O,O,O,O,X
JISTZLO,X,O,O,O,O,O,X
JISTZOL,X,O,X,X,O,O,X
JISTOLZ,X,O,O,X,O,O,X
JISTOZL,X,O,X,X,O,O,X
JISLTZO,O,O,O,O,O,O,X
JISLTOZ,O,O,O,O,O,O,X
JISLZTO,O,O,O,O,O,O,X
JISLZOT,O,O,O,O,O,X,X
JISLOTZ,O,O,O,O,O,O,X
JISLOZT,O,O,O,O,O,X,X
JISZTLO,O,O,O,O,O,O,X
JISZTOL,O,O,O,X,O,O,X
JISZLTO,O,O,O,X,O,O,X
JISZLOT,O,O,O,X,O,X,X
JISZOTL,X,O,X,X,O,X,X
JISZOLT,X,O,X,X,O,X,X
JISOTLZ,X,O,X,O,O,O,X
JISOTZL,X,O,X,O,O,O,X
JISOLTZ,X,O,X,O,O,O,X
JISOLZT,X,O,X,O,O,X,X
JISOZTL,X,O,X,O,O,X,X
JISOZLT,X,O,X,X,O,X,X
JIZTLSO,O,O,O,O,O,X,X
JIZTLOS,O,O,O,O,X,X,O
JIZTSLO,O,O,O,O,O,O,X
JIZTSOL,O,O,O,X,O,O,X
JIZTOLS,O,O,O,O,X,X,O
JIZTOSL,O,O,O,X,O,O,O
JIZLTSO,O,O,O,O,X,X,X
JIZLTOS,O,O,O,O,X,X,X
JIZLSTO,O,O,O,O,X,X,X
JIZLSOT,O,O,O,O,X,X,X
JIZLOTS,O,X,O,O,X,X,X
JIZLOST,O,X,X,O,X,X,X
JIZSTLO,O,O,O,O,O,O,X
JIZSTOL,O,O,O,X,O,O,X
JIZSLTO,O,O,O,X,O,O,X
JIZSLOT,O,O,O,X,O,X,X
JIZSOTL,X,O,X,X,O,X,X
JIZSOLT,X,O,X,X,O,X,X
JIZOTLS,O,O,X,O,O,X,O
JIZOTSL,O,O,X,O,O,X,O
JIZOLTS,O,X,X,O,X,X,O
JIZOLST,O,X,X,O,X,X,X
JIZOSTL,X,O,X,O,O,X,O
JIZOSLT,X,O,X,X,O,X,X
JIOTLSZ,O,X,X,O,O,O,X
JIOTLZS,O,X,X,O,O,X,X
JIOTSLZ,X,O,X,O,O,O,X
JIOTSZL,X,O,X,O,O,O,X
JIOTZLS,X,O,X,O,O,X,O
JIOTZSL,X,O,X,O,O,O,O
JIOLTSZ,O,X,X,O,O,X,X
JIOLTZS,O,X,X,O,O,X,X
JIOLSTZ,O,X,X,O,O,X,X
JIOLSZT,O,X,X,O,O,X,X
JIOLZTS,O,X,X,O,X,X,O
JIOLZST,O,X,X,O,X,X,X
JIOSTLZ,X,O,X,O,O,O,X
JIOSTZL,X,O,X,O,O,O,X
JIOSLTZ,X,O,X,O,O,O,X
JIOSLZT,X,O,X,O,O,X,X
JIOSZTL,X,O,X,O,O,X,O
JIOSZLT,X,O,X,X,O,X,X
JIOZTLS,O,O,X,O,O,X,O
JIOZTSL,O,O,X,O,O,X,O
JIOZLTS,O,X,X,O,X,X,O
JIOZLST,O,X,X,O,X,X,X
JIOZSTL,X,O,X,O,O,X,O
JIOZSLT,X,O,X,X,O,X,X
JLTISZO,O,O,O,O,O,O,X
JLTISOZ,O,O,O,O,O,O,X
JLTIZSO,O,O,X,O,O,X,X
JLTIZOS,O,O,X,O,X,X,X
JLTIOSZ,O,X,O,O,X,O,X
JLTIOZS,O,X,X,O,X,X,X
JLTSIZO,O,O,O,O,O,O,X
JLTSIOZ,O,O,O,O,O,O,X
JLTSZIO,O,O,O,O,O,O,X
JLTSZOI,O,O,O,O,O,O,X
JLTSOIZ,O,O,O,O,O,O,X
JLTSOZI,O,O,O,O,O,O,X
JLTZISO,O,O,X,O,O,X,X
JLTZIOS,O,O,X,O,X,X,X
JLTZSIO,O,O,X,O,O,X,X
JLTZSOI,O,O,X,O,O,X,X
JLTZOIS,O,O,X,O,X,X,X
JLTZOSI,O,O,X,O,X,X,X
JLTOISZ,O,X,O,O,X,O,X
JLTOIZS,O,X,X,O,X,X,X
JLTOSIZ,O,X,O,O,X,O,X
JLTOSZI,O,X,O,O,X,O,X
JLTOZIS,O,X,X,O,X,X,X
JLTOZSI,O,X,X,O,X,X,X
JLITSZO,O,O,O,O,O,O,X
JLITSOZ,O,O,O,O,O,O,X
JLITZSO,O,O,X,O,O,X,X
JLITZOS,O,O,X,O,X,X,X
JLITOSZ,O,X,O,O,X,O,X
JLITOZS,O,X,X,O,X,X,X
JLISTZO,O,O,O,O,O,O,X
JLISTOZ,O,O,O,O,O,O,X
JLISZTO,O,O,O,O,O,O,X
JLISZOT,O,O,O,O,O,X,X
JLISOTZ,O,O,O,O,O,O,X
JLISOZT,O,O,O,O,O,X,X
JLIZTSO,O,O,O,O,X,X,X
JLIZTOS,O,O,O,O,X,X,X
JLIZSTO,O,O,O,O,X,X,X
JLIZSOT,O,O,O,O,X,X,X
JLIZOTS,O,X,O,O,X,X,X
JLIZOST,O,X,X,O,X,X,X
JLIOTSZ,O,X,O,O,O,X,X
JLIOTZS,O,X,X,O,O,X,X
JLIOSTZ,O,X,O,O,O,X,X
JLIOSZT,O,X,O,O,O,X,X
JLIOZTS,O,X,O,O,X,X,X
JLIOZST,O,X,X,O,X,X,X
JLSTIZO,O,O,O,O,O,O,X
JLSTIOZ,O,O,O,O,O,O,X
JLSTZIO,O,O,O,O,O,O,X
JLSTZOI,O,O,O,O,O,O,X
