sequence,v115@QhA8FeE8CeF8Jex/IvhF/mBUiBFjBTkB2qBSvB,v115@QhA8FeE8CeF8Jei/IvhF3gBUiBFjBTmBxpBWvB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjBTkBeqBSrB8qB,v115@QhA8FeE8CeF8JeKEJvhFRgBUiBFjBTmBXqBGqB,v115@QhA8FeE8CeF8JeKEJvhFUhBFiBXjBxqBupBTqB,v115@QhA8FeE8CeF8Jex/IvhFFiBXjB2pBSrB8qBzpB,v115@QhA8FeE8CeF8JeT/IvhFXjB2qBRmBCnB0pBlqB,v115@QhA8FeE8CeF8JeT/IvhFRhBFjBmlBCnB/qB0pB
TSZOJIL,O,O,X,X,X,X,O,X
TSZOJLI,O,O,O,O,X,X,X,O
TSOILJZ,X,O,O,O,O,X,X,X
TSOILZJ,O,O,X,O,O,X,X,X
TSOIJLZ,O,O,O,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X
TSOIZLJ,O,O,X,O,O,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X
TSOLIJZ,X,O,O,O,O,X,X,X
TSOLIZJ,O,O,X,O,O,X,X,X
TSOLJIZ,O,X,O,O,X,O,X,X
TSOLJZI,O,O,O,O,X,O,X,X
TSOLZIJ,O,O,X,O,X,X,X,X
TSOLZJI,O,O,O,O,X,X,X,X
TSOJILZ,O,O,O,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X
TSOJLIZ,O,X,O,O,X,O,X,X
TSOJLZI,O,O,O,O,X,O,X,X
TSOJZIL,O,O,X,X,X,X,X,X
TSOJZLI,O,O,O,O,X,X,X,X
TSOZILJ,O,O,X,O,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,O,X,X,X,X
TSOZLJI,O,O,O,O,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,O,O,O,X,X,X,X
TZILJSO,X,O,X,X,O,X,X,X
TZILJOS,X,X,X,X,O,X,X,O
TZILSJO,X,O,X,X,O,X,X,X
TZILSOJ,X,O,X,X,O,X,X,X
TZILOJS,X,O,X,O,O,X,X,O
TZILOSJ,X,O,X,O,O,X,X,X
TZIJLSO,X,O,X,X,O,X,X,X
TZIJLOS,X,X,X,X,O,X,X,O
TZIJSLO,X,O,X,X,O,X,X,X
TZIJSOL,X,X,X,X,X,X,O,X
TZIJOLS,X,X,X,X,X,X,X,O
TZIJOSL,X,X,X,X,X,X,O,X
TZISLJO,X,O,X,X,O,X,X,X
TZISLOJ,X,O,X,X,O,X,X,X
TZISJLO,O,O,X,X,O,X,X,X
TZISJOL,O,X,X,X,X,X,O,X
