sequence,v115@PhB8FeE8AeB8CeC8JeT/IvhF/lBWnBxiBlpB0rBarB,v115@PhB8FeE8AeB8CeC8Je0/IvhFlgBzhBCjB/pBxqB2wB,v115@PhB8FeE8AeB8CeC8Jel/IvhFWnBxiB/pBTlB0rBarB,v115@PhB8FeE8AeB8CeC8JeKEJvhFFhBxiBTlBcrBupBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhFigBxiBWrBlpBcrBXsB,v115@PhB8FeE8AeB8CeC8JeT/IvhF2lBxiBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8JexCJvhFTkB2qBCnBfrBlpB0rB,v115@PhB8FeE8AeB8CeC8Je3AJvhFCjBTkBxqBcrBesBlpB,v115@PhB8FeE8AeB8CeC8JeOEJvhFXgBxiBUmBCqBFsBTrB
LTOIZJS,O,X,X,O,X,O,X,X,X
LTOIZSJ,O,O,X,O,X,X,X,X,X
LTOJISZ,X,X,X,X,O,O,O,X,X
LTOJIZS,O,X,X,X,O,O,X,X,X
LTOJSIZ,X,X,X,X,O,O,O,X,X
LTOJSZI,X,X,X,X,O,O,O,X,X
LTOJZIS,O,X,X,X,O,O,X,X,X
LTOJZSI,O,X,X,X,O,O,X,X,X
LTOSIJZ,X,O,X,X,X,O,X,X,X
LTOSIZJ,O,O,X,X,X,X,X,X,X
LTOSJIZ,X,X,X,X,X,O,X,X,X
LTOSJZI,X,X,X,X,O,O,X,X,X
LTOSZIJ,O,O,X,X,X,X,X,X,X
LTOSZJI,O,O,X,X,X,X,X,X,X
LTOZIJS,O,X,X,O,X,O,X,X,X
LTOZISJ,O,X,X,O,X,X,X,X,X
LTOZJIS,O,X,X,O,O,O,X,X,X
LTOZJSI,O,X,X,O,O,O,X,X,X
LTOZSIJ,O,X,X,O,X,X,X,X,X
LTOZSJI,O,X,X,O,X,X,X,X,X
LITJSZO,X,O,X,X,O,X,X,X,X
LITJSOZ,X,O,X,X,O,O,X,X,X
LITJZSO,O,X,X,X,O,X,X,X,X
LITJZOS,O,X,X,X,O,O,X,X,X
LITJOSZ,X,O,X,X,O,O,O,X,X
LITJOZS,O,X,X,X,O,O,X,X,X
LITSJZO,X,O,X,X,X,X,X,X,X
LITSJOZ,X,O,X,X,X,O,X,X,X
LITSZJO,O,O,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,X,X,X,X,X
LITSOJZ,X,O,X,X,X,O,X,X,X
LITSOZJ,O,O,X,X,X,X,X,X,X
LITZJSO,O,X,X,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,O,X,X,X
LITZSJO,O,O,X,X,X,X,X,X,X
LITZSOJ,O,O,X,X,X,X,X,X,X
LITZOJS,O,X,X,O,X,O,X,X,X
LITZOSJ,O,O,X,O,X,X,X,X,X
LITOJSZ,X,O,X,X,O,O,O,X,X
LITOJZS,O,X,X,X,O,O,X,O,X
LITOSJZ,X,O,X,X,X,O,X,X,X
LITOSZJ,O,O,X,X,X,X,X,X,X
LITOZJS,O,X,X,O,X,O,X,X,X
LITOZSJ,O,O,X,O,X,X,X,X,X
LIJTSZO,X,O,X,X,O,X,X,X,X
LIJTSOZ,X,O,X,X,O,O,X,X,X
LIJTZSO,O,X,X,X,O,X,X,X,X
LIJTZOS,O,X,X,X,O,O,X,X,X
LIJTOSZ,X,O,X,X,O,O,O,X,X
LIJTOZS,O,X,X,X,O,O,X,X,X
LIJSTZO,X,O,X,X,X,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X,O
LIJSZOT,X,O,O,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,O,X,X
LIJSOZT,X,O,X,X,X,X,O,X,X
LIJZTSO,O,X,X,X,X,X,X,X,O
LIJZTOS,O,X,X,X,X,X,X,X,O
LIJZSTO,O,X,X,X,X,X,X,X,O
LIJZSOT,X,X,O,X,X,X,X,X,X
LIJZOTS,X,X,X,O,X,X,X,X,X
LIJZOST,X,X,O,O,X,X,O,X,X
LIJOTSZ,X,O,X,X,X,X,O,X,X
LIJOTZS,X,X,X,X,X,X,X,O,X
LIJOSTZ,X,O,X,X,X,X,O,X,X
LIJOSZT,X,O,X,X,X,X,O,O,X
LIJOZTS,X,X,X,O,X,X,X,O,X
LIJOZST,X,X,X,O,X,X,O,O,X
LISTJZO,X,O,X,X,X,X,X,X,X
LISTJOZ,X,O,X,X,X,O,X,X,X
LISTZJO,O,O,X,X,X,X,X,X,X
LISTZOJ,O,O,X,X,X,X,X,X,X
LISTOJZ,X,O,X,X,X,O,X,X,X
LISTOZJ,O,O,O,X,X,X,X,X,X
LISJTZO,X,O,X,X,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,X,X,O
LISJZOT,X,O,O,X,X,X,X,X,X
LISJOTZ,X,O,X,X,X,X,O,X,X
LISJOZT,X,O,X,X,X,X,O,X,X
LISZTJO,O,O,X,X,X,X,X,X,X
LISZTOJ,O,O,X,X,X,X,X,X,X
LISZJTO,O,O,X,X,X,X,X,X,O
LISZJOT,X,O,O,X,X,X,X,X,X
LISZOTJ,X,O,O,O,X,X,X,X,X
LISZOJT,X,O,O,O,X,X,X,X,X
LISOTJZ,X,O,X,X,X,X,X,X,X
LISOTZJ,X,O,O,X,X,X,X,X,X
LISOJTZ,X,O,X,X,X,X,O,X,X
LISOJZT,X,O,X,X,X,X,O,O,X
LISOZTJ,X,O,O,O,X,X,X,X,X
LISOZJT,X,O,O,O,X,X,X,O,X
LIZTJSO,O,X,X,X,X,X,X,X,X
LIZTJOS,O,X,X,X,X,O,X,X,X
LIZTSJO,O,O,X,X,X,X,X,X,X
LIZTSOJ,O,O,X,X,X,X,X,X,X
LIZTOJS,O,X,X,O,X,O,X,X,X
LIZTOSJ,O,O,X,O,X,X,X,X,X
LIZJTSO,O,X,X,X,X,X,X,X,O
LIZJTOS,O,X,X,X,X,X,X,X,O
LIZJSTO,O,X,X,X,X,X,X,X,O
LIZJSOT,X,X,O,X,X,X,X,X,X
LIZJOTS,X,X,X,O,X,X,X,X,X
LIZJOST,X,X,O,O,X,X,O,X,X
LIZSTJO,O,O,X,X,X,X,X,X,X
LIZSTOJ,O,O,X,X,X,X,X,X,X
LIZSJTO,O,O,X,X,X,X,X,X,O
LIZSJOT,X,O,O,X,X,X,X,X,X
LIZSOTJ,X,O,O,O,X,X,X,X,X
LIZSOJT,X,O,O,O,X,X,X,X,X
LIZOTJS,X,X,X,O,X,X,X,X,X
LIZOTSJ,X,O,X,O,X,X,X,X,X
LIZOJTS,X,X,X,O,X,X,X,O,X
LIZOJST,X,X,O,O,X,X,O,O,X
LIZOSTJ,X,O,O,O,X,X,X,X,X
LIZOSJT,X,O,O,O,X,X,X,X,X
LIOTJSZ,X,O,X,X,X,O,O,X,X
LIOTJZS,X,X,X,X,X,O,X,O,X
LIOTSJZ,X,O,X,X,X,O,X,X,X
LIOTSZJ,X,O,X,X,X,X,X,X,X
LIOTZJS,X,X,X,O,X,O,X,X,X
LIOTZSJ,X,O,X,O,X,X,X,X,X
LIOJTSZ,X,O,X,X,X,X,O,X,X
LIOJTZS,X,X,X,X,X,X,X,O,X
LIOJSTZ,X,O,X,X,X,X,O,X,X
LIOJSZT,X,O,X,X,X,X,O,O,X
LIOJZTS,X,X,X,O,X,X,X,O,X
LIOJZST,X,X,X,O,X,X,O,O,X
LIOSTJZ,X,O,X,X,X,X,X,X,X
LIOSTZJ,X,O,O,X,X,X,X,X,X
LIOSJTZ,X,O,X,X,X,X,O,X,X
LIOSJZT,X,O,X,X,X,X,O,O,X
LIOSZTJ,X,O,O,O,X,X,X,X,X
LIOSZJT,X,O,O,O,X,X,X,O,X
LIOZTJS,X,X,X,O,X,X,X,X,X
LIOZTSJ,X,O,X,O,X,X,X,X,X
LIOZJTS,X,X,X,O,X,X,X,O,X
LIOZJST,X,X,O,O,X,X,O,O,X
LIOZSTJ,X,O,O,O,X,X,X,X,X
LIOZSJT,X,O,O,O,X,X,X,O,X
LJTISZO,X,X,X,X,O,X,X,X,X
LJTISOZ,X,X,X,X,O,O,X,X,X
LJTIZSO,O,X,X,X,O,X,X,X,X
LJTIZOS,O,X,X,X,O,O,X,X,X
LJTIOSZ,X,X,X,X,O,O,O,X,X
LJTIOZS,O,X,X,X,O,O,X,X,X
LJTSIZO,X,X,X,X,O,X,X,X,X
LJTSIOZ,X,X,X,X,O,O,X,X,X
LJTSZIO,X,X,X,X,O,X,X,X,O
LJTSZOI,X,X,X,X,O,X,X,X,O
LJTSOIZ,X,X,X,X,O,O,X,X,X
LJTSOZI,X,X,X,X,O,O,X,X,X
LJTZISO,O,X,X,X,O,X,X,X,O
LJTZIOS,O,X,X,X,O,O,X,X,O
LJTZSIO,O,X,X,X,O,X,X,X,O
LJTZSOI,O,X,X,X,O,X,X,X,O
LJTZOIS,O,X,X,X,O,O,X,X,O
LJTZOSI,O,X,X,X,O,O,X,X,O
LJTOISZ,X,X,X,X,O,O,O,X,X
LJTOIZS,O,X,X,X,O,O,X,X,X
LJTOSIZ,X,X,X,X,O,O,O,X,X
LJTOSZI,X,X,X,X,O,O,O,X,X
LJTOZIS,O,X,X,X,O,O,X,X,X
LJTOZSI,O,X,X,X,O,O,X,X,X
LJITSZO,X,O,X,X,O,X,X,X,X
LJITSOZ,X,O,X,X,O,O,X,X,X
LJITZSO,O,X,X,X,O,X,X,X,X
LJITZOS,O,X,X,X,O,O,X,X,X
LJITOSZ,X,O,X,X,O,O,O,X,X
LJITOZS,O,X,X,X,O,O,X,X,X
LJISTZO,X,O,X,X,X,X,X,X,X
LJISTOZ,X,O,X,X,X,X,X,X,X
LJISZTO,X,O,X,X,X,X,X,X,O
LJISZOT,X,O,O,X,X,X,X,X,X
LJISOTZ,X,O,X,X,X,X,O,X,X
LJISOZT,X,O,X,X,X,X,O,X,X
LJIZTSO,O,X,X,X,X,X,X,X,O
LJIZTOS,O,X,X,X,X,X,X,X,O
LJIZSTO,O,X,X,X,X,X,X,X,O
LJIZSOT,X,X,O,X,X,X,X,X,X
LJIZOTS,X,X,X,O,X,X,X,X,X
LJIZOST,X,X,O,O,X,X,O,X,X
LJIOTSZ,X,O,X,X,X,X,O,X,X
LJIOTZS,X,X,X,X,X,X,X,O,X
LJIOSTZ,X,O,X,X,X,X,O,X,X
LJIOSZT,X,O,X,X,X,X,O,O,X
LJIOZTS,X,X,X,O,X,X,X,O,X
LJIOZST,X,X,X,O,X,X,O,O,X
LJSTIZO,X,X,X,X,X,X,X,X,X
LJSTIOZ,X,X,X,X,X,X,X,X,X
LJSTZIO,X,X,X,X,O,X,X,X,O
LJSTZOI,X,X,X,X,O,X,X,X,O
LJSTOIZ,X,X,X,X,X,X,X,X,X
LJSTOZI,X,X,X,X,O,X,X,X,X
LJSITZO,X,O,X,X,X,X,X,X,X
LJSITOZ,X,O,X,X,X,X,X,X,X
LJSIZTO,X,O,X,X,X,X,X,X,O
LJSIZOT,X,O,O,X,X,X,X,X,X
LJSIOTZ,X,O,X,X,X,X,O,X,X
LJSIOZT,X,O,X,X,X,X,O,X,X
LJSZTIO,X,O,X,X,X,X,X,X,O
LJSZTOI,X,O,X,X,X,X,X,X,O
LJSZITO,X,O,X,X,X,X,X,X,O
LJSZIOT,X,O,O,X,X,X,X,X,X
LJSZOTI,X,O,O,X,X,X,X,X,O
LJSZOIT,X,O,O,X,X,X,X,X,X
LJSOTIZ,X,X,X,X,X,X,O,X,X
LJSOTZI,X,X,X,X,X,X,O,X,X
LJSOITZ,X,O,X,X,X,X,O,X,X
LJSOIZT,X,O,X,X,X,X,O,X,X
LJSOZTI,X,O,X,X,X,X,O,X,O
LJSOZIT,X,O,X,X,X,X,O,X,X
LJZTISO,O,X,X,X,O,X,X,X,O
LJZTIOS,O,X,X,X,O,X,X,X,O
LJZTSIO,O,X,X,X,O,X,X,X,O
LJZTSOI,O,X,X,X,O,X,X,X,O
LJZTOIS,O,X,X,X,O,X,X,X,O
LJZTOSI,O,X,X,X,O,X,X,X,O
LJZITSO,O,X,X,X,X,X,X,X,O
LJZITOS,O,X,X,X,X,X,X,X,O
LJZISTO,O,X,X,X,X,X,X,X,O
LJZISOT,X,X,O,X,X,X,X,X,X
LJZIOTS,X,X,X,O,X,X,X,X,X
LJZIOST,X,X,O,O,X,X,O,X,X
LJZSTIO,O,X,X,X,X,X,X,X,O
LJZSTOI,O,X,X,X,X,X,X,X,O
LJZSITO,O,X,X,X,X,X,X,X,O
LJZSIOT,X,X,O,X,X,X,X,X,X
LJZSOTI,X,X,O,X,X,X,X,X,O
LJZSOIT,X,X,O,X,X,X,X,X,X
LJZOTIS,X,X,X,O,X,X,X,X,O
LJZOTSI,X,X,X,O,X,X,X,X,O
LJZOITS,X,X,X,O,X,X,X,X,X
LJZOIST,X,X,O,O,X,X,O,X,X
LJZOSTI,X,X,O,O,X,X,O,X,O
LJZOSIT,X,X,O,O,X,X,O,X,X
LJOTISZ,X,X,X,X,X,X,O,X,X
LJOTIZS,X,X,X,X,O,X,X,X,X
LJOTSIZ,X,X,X,X,X,X,O,X,X
LJOTSZI,X,X,X,X,O,X,O,X,X
LJOTZIS,X,X,X,X,O,X,X,X,X
LJOTZSI,X,X,X,X,O,X,X,X,X
LJOITSZ,X,O,X,X,X,X,O,X,X
LJOITZS,X,X,X,X,X,X,X,O,X
LJOISTZ,X,O,X,X,X,X,O,X,X
LJOISZT,X,O,X,X,X,X,O,O,X
LJOIZTS,X,X,X,O,X,X,X,O,X
LJOIZST,X,X,X,O,X,X,O,O,X
LJOSTIZ,X,X,X,X,X,X,O,X,X
LJOSTZI,X,X,X,X,X,X,O,X,X
LJOSITZ,X,O,X,X,X,X,O,X,X
LJOSIZT,X,O,X,X,X,X,O,X,X
LJOSZTI,X,O,X,X,X,X,O,X,O
LJOSZIT,X,O,X,X,X,X,O,X,X
LJOZTIS,X,X,X,O,X,X,X,X,O
LJOZTSI,X,X,X,O,X,X,X,X,O
LJOZITS,X,X,X,O,X,X,X,X,X
LJOZIST,X,X,X,O,X,X,O,X,X
LJOZSTI,X,X,X,O,X,X,O,X,O
LJOZSIT,X,X,X,O,X,X,O,X,X
LSTIJZO,X,O,X,X,X,X,X,X,X
LSTIJOZ,X,O,X,X,X,O,X,X,X
LSTIZJO,O,O,X,X,X,X,X,X,X
LSTIZOJ,O,O,X,X,X,X,X,X,X
LSTIOJZ,X,O,X,X,X,O,X,X,X
LSTIOZJ,O,O,O,X,X,X,X,X,X
LSTJIZO,X,X,X,X,X,X,X,X,X
LSTJIOZ,X,X,X,X,X,O,X,X,X
LSTJZIO,X,X,X,X,X,X,X,X,O
LSTJZOI,X,X,X,X,X,X,X,X,O
LSTJOIZ,X,X,X,X,X,O,X,X,X
LSTJOZI,X,X,X,X,X,O,X,X,X
LSTZIJO,O,O,X,X,X,X,X,X,X
LSTZIOJ,O,O,X,X,X,X,X,X,X
LSTZJIO,O,O,X,X,X,X,X,X,O
LSTZJOI,O,O,X,X,X,X,X,X,O
LSTZOIJ,O,O,X,X,X,X,X,X,X
LSTZOJI,O,O,X,X,X,X,X,X,X
LSTOIJZ,X,O,X,X,X,O,X,X,X
LSTOIZJ,O,O,O,X,X,X,X,X,X
LSTOJIZ,X,X,X,X,X,O,X,X,X
LSTOJZI,X,X,X,X,X,O,X,X,X
LSTOZIJ,O,O,O,X,X,X,X,X,X
LSTOZJI,O,O,O,X,X,X,X,X,X
LSITJZO,X,O,X,X,X,X,X,X,X
LSITJOZ,X,O,X,X,X,O,X,X,X
LSITZJO,O,O,X,X,X,X,X,X,X
LSITZOJ,O,O,X,X,X,X,X,X,X
LSITOJZ,X,O,X,X,X,O,X,X,X
LSITOZJ,O,O,O,X,X,X,X,X,X
LSIJTZO,X,O,X,X,X,X,X,X,X
LSIJTOZ,X,O,X,X,X,X,X,X,X
LSIJZTO,X,O,X,X,X,X,X,X,O
LSIJZOT,X,O,O,X,X,X,X,X,X
LSIJOTZ,X,O,X,X,X,X,O,X,X
LSIJOZT,X,O,X,X,X,X,O,X,X
LSIZTJO,O,O,X,X,X,X,X,X,X
LSIZTOJ,O,O,X,X,X,X,X,X,X
LSIZJTO,O,O,X,X,X,X,X,X,O
LSIZJOT,X,O,O,X,X,X,X,X,X
LSIZOTJ,X,O,O,O,X,X,X,X,X
LSIZOJT,X,O,O,O,X,X,X,X,X
LSIOTJZ,X,O,X,X,X,X,X,X,X
LSIOTZJ,X,O,O,X,X,X,X,X,X
LSIOJTZ,X,O,X,X,X,X,O,X,X
LSIOJZT,X,O,X,X,X,X,O,O,X
LSIOZTJ,X,O,O,O,X,X,X,X,X
LSIOZJT,X,O,O,O,X,X,X,X,X
LSJTIZO,X,X,X,X,X,X,X,X,X
LSJTIOZ,X,X,X,X,X,X,X,X,X
LSJTZIO,X,X,X,X,X,X,X,X,O
LSJTZOI,X,X,X,X,X,X,X,X,O
LSJTOIZ,X,X,X,X,X,X,X,X,X
LSJTOZI,X,X,X,X,X,X,X,X,X
LSJITZO,X,O,X,X,X,X,X,X,X
LSJITOZ,X,O,X,X,X,X,X,X,X
LSJIZTO,X,O,X,X,X,X,X,X,O
LSJIZOT,X,O,O,X,X,X,X,X,X
LSJIOTZ,X,O,X,X,X,X,O,X,X
LSJIOZT,X,O,X,X,X,X,O,X,X
LSJZTIO,X,O,X,X,X,X,X,X,O
LSJZTOI,X,O,X,X,X,X,X,X,O
LSJZITO,X,O,X,X,X,X,X,X,O
LSJZIOT,X,O,O,X,X,X,X,X,X
LSJZOTI,X,O,O,X,X,X,X,X,O
LSJZOIT,X,O,O,X,X,X,X,X,X
LSJOTIZ,X,X,X,X,X,X,O,X,X
LSJOTZI,X,X,X,X,X,X,O,X,X
LSJOITZ,X,O,X,X,X,X,O,X,X
LSJOIZT,X,O,X,X,X,X,O,X,X
LSJOZTI,X,O,X,X,X,X,O,X,O
LSJOZIT,X,O,X,X,X,X,O,X,X
LSZTIJO,O,O,X,X,X,X,X,X,X
LSZTIOJ,O,O,X,X,X,X,X,X,X
LSZTJIO,O,O,X,X,X,X,X,X,O
LSZTJOI,O,O,X,X,X,X,X,X,O
LSZTOIJ,O,O,X,X,X,X,X,X,X
LSZTOJI,O,O,X,X,X,X,X,X,X
LSZITJO,O,O,X,X,X,X,X,X,X
LSZITOJ,O,O,X,X,X,X,X,X,X
LSZIJTO,O,O,X,X,X,X,X,X,O
LSZIJOT,X,O,O,X,X,X,X,X,X
LSZIOTJ,X,O,O,O,X,X,X,X,X
LSZIOJT,X,O,O,O,X,X,X,X,X
LSZJTIO,O,O,X,X,X,X,X,X,O
LSZJTOI,O,O,X,X,X,X,X,X,O
LSZJITO,O,O,X,X,X,X,X,X,O
LSZJIOT,X,O,O,X,X,X,X,X,X
LSZJOTI,X,O,O,X,X,X,X,X,O
LSZJOIT,X,O,O,X,X,X,X,X,X
LSZOTIJ,X,O,O,O,X,X,X,X,X
LSZOTJI,X,O,O,O,X,X,X,X,X
LSZOITJ,X,O,O,O,X,X,X,X,X
LSZOIJT,X,O,O,O,X,X,X,X,X
LSZOJTI,X,O,O,O,X,X,X,X,O
LSZOJIT,X,O,O,O,X,X,X,X,X
LSOTIJZ,X,O,X,X,X,X,X,X,X
LSOTIZJ,X,O,O,X,X,X,X,X,X
LSOTJIZ,X,X,X,X,X,X,X,X,X
LSOTJZI,X,X,X,X,X,X,X,X,X
LSOTZIJ,X,O,O,X,X,X,X,X,X
LSOTZJI,X,O,O,X,X,X,X,X,X
LSOITJZ,X,O,X,X,X,X,X,X,X
LSOITZJ,X,O,O,X,X,X,X,X,X
LSOIJTZ,X,O,X,X,X,X,O,X,X
LSOIJZT,X,O,X,X,X,X,O,O,X
LSOIZTJ,X,O,O,O,X,X,X,X,X
LSOIZJT,X,O,O,O,X,X,X,X,X
LSOJTIZ,X,X,X,X,X,X,O,X,X
LSOJTZI,X,X,X,X,X,X,O,X,X
LSOJITZ,X,O,X,X,X,X,O,X,X
LSOJIZT,X,O,X,X,X,X,O,X,X
LSOJZTI,X,O,X,X,X,X,O,X,O
LSOJZIT,X,O,X,X,X,X,O,X,X
LSOZTIJ,X,O,O,O,X,X,X,X,X
LSOZTJI,X,O,O,O,X,X,X,X,X
LSOZITJ,X,O,O,O,X,X,X,X,X
LSOZIJT,X,O,O,O,X,X,X,X,X
LSOZJTI,X,O,O,O,X,X,X,X,O
LSOZJIT,X,O,O,O,X,X,X,X,X
LZTIJSO,O,X,X,X,X,X,X,X,X
LZTIJOS,O,X,X,X,X,O,X,X,X
LZTISJO,O,X,X,X,X,X,X,X,X
LZTISOJ,O,X,X,X,X,X,X,X,X
LZTIOJS,O,X,X,O,X,O,X,X,X
LZTIOSJ,O,X,X,O,X,X,X,X,X
LZTJISO,O,X,X,X,X,X,X,X,O
LZTJIOS,O,X,X,X,X,O,X,X,O
LZTJSIO,O,X,X,X,X,X,X,X,O
LZTJSOI,O,X,X,X,X,X,X,X,O
LZTJOIS,O,X,X,X,X,O,X,X,O
LZTJOSI,O,X,X,X,X,O,X,X,O
LZTSIJO,O,X,X,X,X,X,X,X,X
LZTSIOJ,O,X,X,X,X,X,X,X,X
LZTSJIO,O,X,X,X,X,X,X,X,O
LZTSJOI,O,X,X,X,X,X,X,X,O
LZTSOIJ,O,X,X,X,X,X,X,X,X
LZTSOJI,O,X,X,X,X,X,X,X,X
LZTOIJS,O,X,X,O,X,O,X,X,X
LZTOISJ,O,X,X,O,X,X,X,X,X
LZTOJIS,O,X,X,O,X,O,X,X,X
LZTOJSI,O,X,X,O,X,O,X,X,X
LZTOSIJ,O,X,X,O,X,X,X,X,X
LZTOSJI,O,X,X,O,X,X,X,X,X
LZITJSO,O,X,X,X,X,X,X,X,X
LZITJOS,O,X,X,X,X,O,X,X,X
LZITSJO,O,O,X,X,X,X,X,X,X
LZITSOJ,O,O,X,X,X,X,X,X,X
LZITOJS,O,X,X,O,X,O,X,X,X
LZITOSJ,O,O,X,O,X,X,X,X,X
LZIJTSO,O,X,X,X,X,X,X,X,O
LZIJTOS,O,X,X,X,X,X,X,X,O
LZIJSTO,O,X,X,X,X,X,X,X,O
LZIJSOT,X,X,O,X,X,X,X,X,X
LZIJOTS,X,X,X,O,X,X,X,X,X
LZIJOST,X,X,O,O,X,X,O,X,X
LZISTJO,O,O,X,X,X,X,X,X,X
LZISTOJ,O,O,X,X,X,X,X,X,X
LZISJTO,O,O,X,X,X,X,X,X,O
LZISJOT,X,O,O,X,X,X,X,X,X
LZISOTJ,X,O,O,O,X,X,X,X,X
LZISOJT,X,O,O,O,X,X,X,X,X
LZIOTJS,X,X,X,O,X,X,X,X,X
LZIOTSJ,X,O,X,O,X,X,X,X,X
LZIOJTS,X,X,X,O,X,X,X,O,X
LZIOJST,X,X,O,O,X,X,O,O,X
LZIOSTJ,X,O,O,O,X,X,X,X,X
LZIOSJT,X,O,O,O,X,X,X,X,X
LZJTISO,O,X,X,X,X,X,X,X,O
LZJTIOS,O,X,X,X,X,X,X,X,O
LZJTSIO,O,X,X,X,X,X,X,X,O
LZJTSOI,O,X,X,X,X,X,X,X,O
LZJTOIS,O,X,X,X,X,X,X,X,O
LZJTOSI,O,X,X,X,X,X,X,X,O
LZJITSO,O,X,X,X,X,X,X,X,O
LZJITOS,O,X,X,X,X,X,X,X,O
LZJISTO,O,X,X,X,X,X,X,X,O
LZJISOT,X,X,O,X,X,X,X,X,X
LZJIOTS,X,X,X,O,X,X,X,X,X
LZJIOST,X,X,O,O,X,X,O,X,X
LZJSTIO,O,X,X,X,X,X,X,X,O
LZJSTOI,O,X,X,X,X,X,X,X,O
LZJSITO,O,X,X,X,X,X,X,X,O
LZJSIOT,X,X,O,X,X,X,X,X,X
LZJSOTI,X,X,O,X,X,X,X,X,O
LZJSOIT,X,X,O,X,X,X,X,X,X
LZJOTIS,X,X,X,O,X,X,X,X,O
LZJOTSI,X,X,X,O,X,X,X,X,O
LZJOITS,X,X,X,O,X,X,X,X,X
LZJOIST,X,X,O,O,X,X,O,X,X
LZJOSTI,X,X,O,O,X,X,O,X,O
LZJOSIT,X,X,O,O,X,X,O,X,X
LZSTIJO,O,O,X,X,X,X,X,X,X
LZSTIOJ,O,O,X,X,X,X,X,X,X
LZSTJIO,O,O,X,X,X,X,X,X,O
LZSTJOI,O,O,X,X,X,X,X,X,O
LZSTOIJ,O,O,X,X,X,X,X,X,X
LZSTOJI,O,O,X,X,X,X,X,X,X
LZSITJO,O,O,X,X,X,X,X,X,X
LZSITOJ,O,O,X,X,X,X,X,X,X
LZSIJTO,O,O,X,X,X,X,X,X,O
LZSIJOT,X,O,O,X,X,X,X,X,X
LZSIOTJ,X,O,O,O,X,X,X,X,X
LZSIOJT,X,O,O,O,X,X,X,X,X
LZSJTIO,O,O,X,X,X,X,X,X,O
LZSJTOI,O,O,X,X,X,X,X,X,O
LZSJITO,O,O,X,X,X,X,X,X,O
LZSJIOT,X,O,O,X,X,X,X,X,X
LZSJOTI,X,O,O,X,X,X,X,X,O
LZSJOIT,X,O,O,X,X,X,X,X,X
LZSOTIJ,X,O,O,O,X,X,X,X,X
LZSOTJI,X,O,O,O,X,X,X,X,X
LZSOITJ,X,O,O,O,X,X,X,X,X
LZSOIJT,X,O,O,O,X,X,X,X,X
LZSOJTI,X,O,O,O,X,X,X,X,O
LZSOJIT,X,O,O,O,X,X,X,X,X
LZOTIJS,X,X,X,O,X,X,X,X,X
LZOTISJ,X,X,X,O,X,X,X,X,X
LZOTJIS,X,X,X,O,X,X,X,X,X
LZOTJSI,X,X,X,O,X,X,X,X,X
LZOTSIJ,X,X,X,O,X,X,X,X,X
LZOTSJI,X,X,X,O,X,X,X,X,X
LZOITJS,X,X,X,O,X,X,X,X,X
LZOITSJ,X,O,X,O,X,X,X,X,X
LZOIJTS,X,X,X,O,X,X,X,O,X
LZOIJST,X,X,O,O,X,X,O,O,X
LZOISTJ,X,O,O,O,X,X,X,X,X
LZOISJT,X,O,O,O,X,X,X,X,X
LZOJTIS,X,X,X,O,X,X,X,X,O
LZOJTSI,X,X,X,O,X,X,X,X,O
LZOJITS,X,X,X,O,X,X,X,X,X
LZOJIST,X,X,O,O,X,X,O,X,X
LZOJSTI,X,X,O,O,X,X,O,X,O
LZOJSIT,X,X,O,O,X,X,O,X,X
LZOSTIJ,X,O,O,O,X,X,X,X,X
LZOSTJI,X,O,O,O,X,X,X,X,X
LZOSITJ,X,O,O,O,X,X,X,X,X
LZOSIJT,X,O,O,O,X,X,X,X,X
LZOSJTI,X,O,O,O,X,X,X,X,O
LZOSJIT,X,O,O,O,X,X,X,X,X
LOTIJSZ,X,O,X,X,X,O,O,X,X
LOTIJZS,X,X,X,X,X,O,X,O,X
LOTISJZ,X,O,X,X,X,O,X,X,X
LOTISZJ,X,O,X,X,X,X,X,X,X
LOTIZJS,X,X,X,O,X,O,X,X,X
LOTIZSJ,X,O,X,O,X,X,X,X,X
LOTJISZ,X,X,X,X,X,O,O,X,X
LOTJIZS,X,X,X,X,X,O,X,X,X
LOTJSIZ,X,X,X,X,X,O,O,X,X
LOTJSZI,X,X,X,X,X,O,O,X,X
LOTJZIS,X,X,X,X,X,O,X,X,X
LOTJZSI,X,X,X,X,X,O,X,X,X
LOTSIJZ,X,O,X,X,X,O,X,X,X
LOTSIZJ,X,O,X,X,X,X,X,X,X
LOTSJIZ,X,X,X,X,X,O,X,X,X
LOTSJZI,X,X,X,X,X,O,X,X,X
LOTSZIJ,X,O,X,X,X,X,X,X,X
LOTSZJI,X,O,X,X,X,X,X,X,X
LOTZIJS,X,X,X,O,X,O,X,X,X
LOTZISJ,X,X,X,O,X,X,X,X,X
LOTZJIS,X,X,X,O,X,O,X,X,X
LOTZJSI,X,X,X,O,X,O,X,X,X
