sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
TOILZJS,X,X,X,X,O
TOILZSJ,X,X,X,O,X
TOIJLSZ,X,X,O,X,O
TOIJLZS,X,X,O,X,O
TOIJSLZ,X,O,O,X,X
TOIJSZL,O,O,X,X,X
TOIJZLS,O,O,X,X,X
TOIJZSL,O,O,X,X,X
TOISLJZ,X,O,O,O,X
TOISLZJ,X,X,X,O,X
TOISJLZ,X,O,O,X,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,X,O,X
TOISZJL,O,O,X,X,X
TOIZLJS,O,O,X,X,X
TOIZLSJ,O,O,X,X,X
TOIZJLS,O,O,X,X,X
TOIZJSL,O,O,X,X,X
TOIZSLJ,O,O,X,X,X
TOIZSJL,O,O,X,X,X
TOLIJSZ,X,X,O,O,O
TOLIJZS,X,X,O,X,O
TOLISJZ,X,X,O,O,O
TOLISZJ,X,X,X,O,X
TOLIZJS,X,X,X,X,O
TOLIZSJ,X,X,X,O,X
TOLJISZ,X,X,O,O,O
TOLJIZS,X,X,O,X,O
TOLJSIZ,X,X,O,O,O
TOLJSZI,O,X,X,O,O
TOLJZIS,O,X,X,X,O
TOLJZSI,O,X,X,X,O
TOLSIJZ,X,X,O,O,O
TOLSIZJ,X,X,X,O,X
TOLSJIZ,X,X,O,O,O
TOLSJZI,O,X,X,O,O
TOLSZIJ,O,X,X,O,X
TOLSZJI,O,X,X,O,X
TOLZIJS,O,X,X,X,O
TOLZISJ,O,X,X,O,X
TOLZJIS,O,X,X,X,O
TOLZJSI,O,X,X,X,O
TOLZSIJ,O,X,X,O,X
TOLZSJI,O,X,X,O,X
TOJILSZ,X,X,O,X,O
TOJILZS,X,X,O,X,O
TOJISLZ,X,O,O,X,X
TOJISZL,O,O,X,X,X
TOJIZLS,O,O,X,X,X
TOJIZSL,O,O,X,X,X
TOJLISZ,X,X,O,O,O
TOJLIZS,X,X,O,X,O
TOJLSIZ,X,X,O,O,O
TOJLSZI,O,X,X,O,O
TOJLZIS,O,X,X,X,O
TOJLZSI,O,X,X,X,O
TOJSILZ,X,X,O,X,X
TOJSIZL,O,X,X,X,X
TOJSLIZ,X,X,O,O,O
TOJSLZI,O,X,X,O,O
TOJSZIL,O,X,X,X,X
TOJSZLI,O,X,X,O,X
TOJZILS,O,O,X,X,X
TOJZISL,O,O,X,X,X
TOJZLIS,O,O,X,X,O
TOJZLSI,O,X,X,X,O
TOJZSIL,O,O,X,X,X
TOJZSLI,O,X,X,X,X
TOSILJZ,X,X,O,O,X
TOSILZJ,X,X,X,O,X
TOSIJLZ,X,X,O,X,X
TOSIJZL,O,X,X,X,X
TOSIZLJ,O,X,X,O,X
TOSIZJL,O,X,X,X,X
TOSLIJZ,X,X,O,O,O
TOSLIZJ,X,X,X,O,X
TOSLJIZ,X,X,O,O,O
TOSLJZI,O,X,X,O,O
TOSLZIJ,O,X,X,O,X
TOSLZJI,O,X,X,O,X
TOSJILZ,X,X,O,X,X
TOSJIZL,O,X,X,X,X
TOSJLIZ,X,X,O,O,O
TOSJLZI,O,X,X,O,O
TOSJZIL,O,X,X,X,X
TOSJZLI,O,X,X,O,X
TOSZILJ,O,X,X,O,X
