sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TSOIZJL,O,O,X,X,X
TSOLIJZ,O,X,X,X,X
TSOLIZJ,O,X,X,X,X
TSOLJIZ,O,X,X,X,X
TSOLJZI,O,X,X,O,X
TSOLZIJ,O,X,X,O,X
TSOLZJI,O,X,X,O,X
TSOJILZ,O,X,X,X,X
TSOJIZL,O,O,X,X,X
TSOJLIZ,O,X,X,X,X
TSOJLZI,O,X,X,O,X
TSOJZIL,O,O,X,X,X
TSOJZLI,O,O,X,O,X
TSOZILJ,O,O,X,X,X
TSOZIJL,O,O,X,X,X
TSOZLIJ,O,O,X,O,X
TSOZLJI,O,O,X,O,X
TSOZJIL,O,O,X,X,X
TSOZJLI,O,O,X,O,X
TZILJSO,X,O,O,X,X
TZILJOS,X,O,X,X,X
TZILSJO,X,O,O,X,X
TZILSOJ,X,X,O,X,X
TZILOJS,X,O,X,X,X
TZILOSJ,X,O,X,X,X
TZIJLSO,X,O,O,X,X
TZIJLOS,X,O,X,X,X
TZIJSLO,O,O,O,X,X
TZIJSOL,O,O,X,X,X
TZIJOLS,X,O,X,X,X
TZIJOSL,O,O,X,X,X
TZISLJO,O,O,O,X,X
TZISLOJ,O,X,O,X,X
TZISJLO,O,O,O,X,X
TZISJOL,O,O,X,X,X
TZISOLJ,O,O,X,X,X
TZISOJL,O,O,X,X,X
TZIOLJS,X,O,X,X,X
TZIOLSJ,X,O,X,X,X
TZIOJLS,X,O,X,X,X
TZIOJSL,O,O,X,X,X
TZIOSLJ,O,O,X,X,X
TZIOSJL,O,O,X,X,X
TZLIJSO,X,O,O,X,X
TZLIJOS,X,O,X,X,X
TZLISJO,X,O,O,X,X
TZLISOJ,X,X,O,O,X
TZLIOJS,X,O,X,X,X
TZLIOSJ,X,O,X,O,X
TZLJISO,X,O,O,X,X
TZLJIOS,X,O,X,X,X
TZLJSIO,X,O,O,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,O,X,X,X
TZLJOSI,X,O,X,X,X
TZLSIJO,X,O,O,X,X
TZLSIOJ,X,X,O,O,X
TZLSJIO,X,O,O,X,X
TZLSJOI,X,X,X,X,X
TZLSOIJ,X,X,O,O,X
TZLSOJI,X,X,X,O,X
TZLOIJS,X,O,X,X,X
TZLOISJ,X,O,X,O,X
TZLOJIS,X,O,X,X,X
TZLOJSI,X,O,X,X,X
TZLOSIJ,X,O,X,O,X
TZLOSJI,X,O,X,O,X
TZJILSO,X,O,O,X,X
TZJILOS,X,O,X,X,X
TZJISLO,O,O,O,X,X
TZJISOL,O,O,X,X,X
TZJIOLS,X,O,X,X,X
TZJIOSL,O,O,X,X,X
TZJLISO,X,O,O,X,X
