sequence,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jei/IvhF5lBGiB?TjB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeKEJvhFzfB5lB?XjBctBFsBGsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jex/IvhFXjBTkB?6qBctBGsBFsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeOEJvhF8kB5lB?SsBToBFsBXtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je2EJvhF5lBSsB?ToB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je5FJvhFTjBlkB?WtBikBfsB0sB
TSOZJIL,O,X,X,X,X,X
TSOZJLI,O,X,X,X,X,X
TZILJSO,O,O,X,X,X,X
TZILJOS,O,O,X,O,X,X
TZILSJO,O,O,X,X,X,X
TZILSOJ,O,O,X,X,X,X
TZILOJS,O,O,X,O,X,X
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,O,X,X,X,X
TZIJLOS,O,O,X,O,X,X
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,X,X,X,X,X
TZIJOLS,O,X,X,O,X,O
TZIJOSL,O,X,X,X,X,O
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,X,X,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,O,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X
TZISOJL,O,X,X,X,X,X
TZIOLJS,O,O,X,O,X,X
TZIOLSJ,O,O,X,X,X,X
TZIOJLS,O,X,X,O,X,X
TZIOJSL,O,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X
TZIOSJL,O,X,X,X,X,X
TZLIJSO,O,O,X,X,X,X
TZLIJOS,O,O,X,O,X,X
TZLISJO,O,O,X,X,X,X
TZLISOJ,O,O,X,X,X,X
TZLIOJS,O,O,X,O,X,X
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,O,X,X,X,X
TZLJIOS,O,O,X,O,X,X
TZLJSIO,O,O,X,X,X,X
TZLJSOI,O,O,O,X,X,X
TZLJOIS,O,O,O,O,X,X
TZLJOSI,O,O,O,X,X,X
TZLSIJO,O,O,X,X,X,X
TZLSIOJ,O,O,X,X,X,X
TZLSJIO,O,O,X,X,X,X
TZLSJOI,O,O,X,X,X,X
TZLSOIJ,O,O,O,X,X,X
TZLSOJI,O,O,O,X,X,X
TZLOIJS,O,O,O,O,X,X
TZLOISJ,O,O,O,X,X,X
TZLOJIS,O,O,O,O,X,X
TZLOJSI,O,O,O,X,X,X
TZLOSIJ,O,O,O,X,X,X
TZLOSJI,O,O,O,X,X,X
TZJILSO,O,O,X,X,X,X
TZJILOS,O,O,X,O,X,X
TZJISLO,O,O,X,X,X,X
TZJISOL,O,X,X,X,X,X
TZJIOLS,O,X,X,O,X,O
TZJIOSL,O,X,X,X,X,O
TZJLISO,O,O,X,X,X,X
TZJLIOS,O,O,X,O,X,X
TZJLSIO,O,O,X,X,X,X
TZJLSOI,O,O,O,X,X,X
TZJLOIS,O,O,O,O,X,X
TZJLOSI,O,O,O,X,X,X
TZJSILO,O,O,X,X,X,X
TZJSIOL,O,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X
TZJSLOI,O,O,O,X,X,X
TZJSOIL,O,X,X,X,X,X
TZJSOLI,O,X,O,X,X,X
TZJOILS,O,X,X,O,X,O
TZJOISL,O,X,X,X,X,O
TZJOLIS,O,X,O,O,X,X
TZJOLSI,O,X,O,X,X,X
TZJOSIL,O,X,X,X,X,X
TZJOSLI,O,X,O,X,X,X
TZSILJO,O,O,X,X,X,X
TZSILOJ,O,O,X,X,X,X
TZSIJLO,O,O,X,X,X,X
TZSIJOL,O,X,X,X,X,X
TZSIOLJ,O,O,X,X,X,X
TZSIOJL,O,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X
TZSLIOJ,O,O,X,X,X,X
TZSLJIO,O,O,X,X,X,X
TZSLJOI,O,O,X,X,X,X
TZSLOIJ,O,O,O,X,X,X
TZSLOJI,O,O,O,X,X,X
TZSJILO,O,O,X,X,X,X
TZSJIOL,O,X,X,X,X,X
TZSJLIO,O,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X
TZSJOIL,O,X,X,X,X,X
TZSJOLI,O,X,X,X,X,X
TZSOILJ,O,O,X,X,X,X
TZSOIJL,O,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X
TZSOLJI,O,O,O,X,X,X
TZSOJIL,O,X,X,X,X,X
TZSOJLI,O,X,X,X,X,X
TZOILJS,O,O,X,O,X,X
TZOILSJ,O,O,X,X,X,X
TZOIJLS,O,X,X,O,X,X
TZOIJSL,O,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X
TZOISJL,O,X,X,X,X,X
TZOLIJS,O,O,O,O,X,X
TZOLISJ,O,O,O,X,X,X
TZOLJIS,O,O,O,O,X,X
TZOLJSI,O,O,O,X,X,X
TZOLSIJ,O,O,O,X,X,X
TZOLSJI,O,O,O,X,X,X
TZOJILS,O,X,X,O,X,X
TZOJISL,O,X,X,X,X,X
TZOJLIS,O,X,O,O,X,X
TZOJLSI,O,X,O,X,X,X
