sequence,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeXAJvhF8l?BanBunB5oB9rBzpB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KemAJvhF3i?B5oBqpBTlB9rBUsB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeNFJvhF3h?BunB5oBqpB8rBzqB
OSJITLZ,O,X,X
OSJITZL,O,X,X
OSJILTZ,O,X,X
OSJILZT,O,X,X
OSJIZTL,O,X,X
OSJIZLT,O,X,X
OSJLTIZ,O,X,X
OSJLTZI,O,X,X
OSJLITZ,O,X,X
OSJLIZT,O,X,X
OSJLZTI,O,X,X
OSJLZIT,O,X,X
OSJZTIL,O,X,X
OSJZTLI,O,X,X
OSJZITL,O,X,X
OSJZILT,O,X,X
OSJZLTI,O,X,X
OSJZLIT,O,X,X
OSZTILJ,O,X,X
OSZTIJL,O,X,X
OSZTLIJ,O,X,X
OSZTLJI,O,X,X
OSZTJIL,O,X,X
OSZTJLI,O,X,X
OSZITLJ,O,X,X
OSZITJL,O,X,X
OSZILTJ,O,X,X
OSZILJT,O,X,X
OSZIJTL,O,X,X
OSZIJLT,O,X,X
OSZLTIJ,O,X,X
OSZLTJI,O,X,X
OSZLITJ,O,X,X
OSZLIJT,O,X,X
OSZLJTI,O,X,X
OSZLJIT,O,X,X
OSZJTIL,O,X,X
OSZJTLI,O,X,X
OSZJITL,O,X,X
OSZJILT,O,X,X
OSZJLTI,O,X,X
OSZJLIT,O,X,X
OZTILJS,O,X,X
OZTILSJ,O,X,X
OZTIJLS,O,X,X
OZTIJSL,O,X,X
OZTISLJ,O,X,X
OZTISJL,O,X,X
OZTLIJS,O,X,X
OZTLISJ,O,X,X
OZTLJIS,O,X,X
OZTLJSI,O,X,X
OZTLSIJ,O,X,X
OZTLSJI,O,X,X
OZTJILS,O,X,X
OZTJISL,O,X,X
OZTJLIS,O,X,X
OZTJLSI,O,X,X
OZTJSIL,O,X,X
OZTJSLI,O,X,X
OZTSILJ,O,X,X
OZTSIJL,O,X,X
OZTSLIJ,O,X,X
OZTSLJI,O,X,X
OZTSJIL,O,X,X
OZTSJLI,O,X,X
OZITLJS,O,X,X
OZITLSJ,O,X,X
OZITJLS,O,X,X
OZITJSL,O,X,X
OZITSLJ,O,X,X
OZITSJL,O,X,X
OZILTJS,O,X,O
OZILTSJ,O,X,O
OZILJTS,O,X,O
OZILJST,O,X,O
OZILSTJ,O,X,O
OZILSJT,O,X,O
OZIJTLS,O,X,X
OZIJTSL,O,X,X
OZIJLTS,O,X,O
OZIJLST,O,X,O
OZIJSTL,O,X,X
OZIJSLT,O,X,O
OZISTLJ,O,X,X
OZISTJL,O,X,X
OZISLTJ,O,X,O
OZISLJT,O,X,O
OZISJTL,O,X,X
OZISJLT,O,X,O
OZLTIJS,O,X,O
OZLTISJ,O,X,O
OZLTJIS,O,X,O
OZLTJSI,O,X,O
OZLTSIJ,O,X,O
OZLTSJI,O,X,O
OZLITJS,O,X,O
OZLITSJ,O,X,O
OZLIJTS,O,X,O
OZLIJST,O,X,O
OZLISTJ,O,X,O
OZLISJT,O,X,O
OZLJTIS,O,X,O
OZLJTSI,O,X,O
OZLJITS,O,X,O
OZLJIST,O,X,O
OZLJSTI,O,X,O
OZLJSIT,O,X,O
OZLSTIJ,O,X,O
OZLSTJI,O,X,O
OZLSITJ,O,X,O
OZLSIJT,O,X,O
OZLSJTI,O,X,O
OZLSJIT,O,X,O
OZJTILS,O,X,X
OZJTISL,O,X,X
OZJTLIS,O,X,X
OZJTLSI,O,X,X
OZJTSIL,O,X,X
OZJTSLI,O,X,X
OZJITLS,O,X,X
OZJITSL,O,X,X
OZJILTS,O,X,O
OZJILST,O,X,O
OZJISTL,O,X,X
OZJISLT,O,X,O
OZJLTIS,O,X,O
OZJLTSI,O,X,O
OZJLITS,O,X,O
OZJLIST,O,X,O
OZJLSTI,O,X,O
OZJLSIT,O,X,O
OZJSTIL,O,X,X
OZJSTLI,O,X,X
OZJSITL,O,X,X
OZJSILT,O,X,O
OZJSLTI,O,X,O
OZJSLIT,O,X,O
OZSTILJ,O,X,X
OZSTIJL,O,X,X
OZSTLIJ,O,X,X
OZSTLJI,O,X,X
OZSTJIL,O,X,X
OZSTJLI,O,X,X
OZSITLJ,O,X,X
OZSITJL,O,X,X
OZSILTJ,O,X,O
OZSILJT,O,X,O
OZSIJTL,O,X,X
OZSIJLT,O,X,O
OZSLTIJ,O,X,O
OZSLTJI,O,X,O
OZSLITJ,O,X,O
OZSLIJT,O,X,O
OZSLJTI,O,X,O
OZSLJIT,O,X,O
OZSJTIL,O,X,X
OZSJTLI,O,X,X
OZSJITL,O,X,X
OZSJILT,O,X,O
OZSJLTI,O,X,O
OZSJLIT,O,X,O
