sequence,v115@PhB8BeB8DeE8DeC8Jem/IvhFChBxiBTkBcsBXrBlrB,v115@PhB8BeB8DeE8DeC8Jex/IvhFmhBCjBTkBcrBXsBlqB,v115@PhB8BeB8DeE8DeC8Jem/IvhFfmBCjBTkBUnBlmBRwB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikBXrB0rB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikB0rBXrB,v115@PhB8BeB8DeE8DeC8Jei/IvhFcmBxiB3kBTnB1wBuqB,v115@PhB8BeB8DeE8DeC8JeKEJvhFzfBFhBxiB3mBcsBWwB,v115@PhB8BeB8DeE8DeC8JeOEJvhF8kBzgBxiBSsBVwBfsB,v115@PhB8BeB8DeE8DeC8Jei/IvhF1mBxiB3kBcsBTrBuqB,v115@PhB8BeB8DeE8DeC8JeWHJvhFxiBlkBUmBikBXsBzqB,v115@PhB8BeB8DeE8DeC8JelBJvhFxkB/rBOsBTkBCoB0qB,v115@PhB8BeB8DeE8DeC8JemAJvhFUiBxkBfsBTkBCoBVwB
TJISOZL,X,X,X,O,X,X,X,X,X,X,O,O
TJIZLSO,O,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X,X,X,X,X,X,O
TJIZSOL,X,X,X,X,X,X,X,X,X,X,X,O
TJIZOLS,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,O,O,X,X,X,X,X,X,X
TJIOLZS,X,X,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,O,O,X,X,X,X,X,X,X
TJIOSZL,X,X,X,O,O,X,X,X,X,X,X,O
TJIOZLS,X,X,X,O,O,X,X,X,X,X,X,X
TJIOZSL,X,X,X,O,O,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X,O
TJLISOZ,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X,O
TJLSIOZ,O,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,X,X,X,X,X,O
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,O,X,X,X,X,X,X,X,X
TJLSOZI,X,X,X,O,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,O,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,O,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,O,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,O,X,X,X,X
TJLZOIS,X,X,X,X,O,X,X,O,X,X,X,X
TJLZOSI,X,X,X,X,O,X,X,O,X,X,X,X
TJLOISZ,X,X,X,O,O,X,X,X,X,X,X,X
TJLOIZS,X,X,X,O,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,O,O,X,X,X,X,X,X,X
TJLOSZI,X,X,X,O,O,X,X,X,X,X,X,X
TJLOZIS,X,X,X,O,O,X,X,O,X,X,X,X
TJLOZSI,X,X,X,O,O,X,X,O,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,O,O
TJSILOZ,O,X,X,X,X,X,X,X,X,X,O,X
TJSIZLO,X,X,X,X,X,X,X,X,X,O,O,O
TJSIZOL,X,X,X,X,X,X,X,X,X,O,O,O
TJSIOLZ,X,X,X,O,X,X,X,X,X,X,O,X
TJSIOZL,X,X,X,O,X,X,X,X,X,X,O,O
TJSLIZO,O,X,X,X,X,X,X,X,X,X,O,O
TJSLIOZ,O,X,X,X,X,X,X,X,X,X,O,X
TJSLZIO,O,X,X,X,X,X,X,X,X,X,X,O
TJSLZOI,X,X,X,X,X,O,X,X,X,X,X,X
TJSLOIZ,X,X,X,O,X,O,X,X,X,X,X,X
TJSLOZI,X,X,X,O,X,O,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X,O,O,O
TJSZIOL,X,X,X,X,X,X,X,X,X,O,O,O
TJSZLIO,O,X,X,X,X,X,X,X,X,O,X,O
TJSZLOI,X,X,X,X,X,O,X,X,X,O,X,X
TJSZOIL,X,X,X,O,O,O,X,X,X,O,X,O
TJSZOLI,X,X,X,O,O,O,X,X,X,O,X,X
TJSOILZ,X,X,X,O,O,O,X,X,X,X,O,X
TJSOIZL,X,X,X,O,O,O,X,X,X,X,O,O
TJSOLIZ,X,X,X,O,O,O,X,X,X,X,X,X
TJSOLZI,X,X,X,O,O,O,X,X,X,X,X,X
TJSOZIL,X,X,X,O,O,O,X,X,X,X,X,O
TJSOZLI,X,X,X,O,O,O,X,X,X,X,X,X
TJZILSO,O,X,X,X,X,X,X,O,X,X,X,X
TJZILOS,O,X,X,X,X,X,X,O,X,X,X,X
TJZISLO,O,X,X,X,X,X,X,X,X,X,X,O
TJZISOL,X,X,X,X,X,X,X,X,X,X,X,O
TJZIOLS,X,X,X,X,O,X,X,O,X,X,X,X
TJZIOSL,X,X,X,X,O,X,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X,X,O,X,X,X,X
TJZLIOS,O,X,X,X,X,X,X,O,X,X,X,X
TJZLSIO,X,X,X,X,X,X,X,O,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,O,X,X,X,X
TJZLOIS,X,X,X,X,O,X,X,O,X,X,X,X
TJZLOSI,X,X,X,X,O,X,X,O,X,X,X,X
TJZSILO,O,X,X,X,X,X,X,X,X,O,X,O
TJZSIOL,X,X,X,X,X,X,X,X,X,O,X,O
TJZSLIO,O,X,X,X,X,X,X,O,X,O,X,O
TJZSLOI,X,X,X,X,X,O,X,O,X,O,X,X
TJZSOIL,X,X,X,O,O,O,X,X,X,O,X,O
TJZSOLI,X,X,X,O,O,O,X,O,X,O,X,X
TJZOILS,X,X,X,O,O,X,X,O,X,X,X,X
TJZOISL,X,X,X,O,O,O,X,X,X,X,X,X
TJZOLIS,X,X,X,O,O,X,X,O,X,X,X,X
