sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
JZISOLT,O,O,O,O,X,X
JZIOTLS,O,O,X,X,O,X
JZIOTSL,O,X,O,X,O,X
JZIOLTS,O,O,X,X,X,O
JZIOLST,O,O,O,O,X,O
JZIOSTL,O,X,O,O,X,X
JZIOSLT,O,O,O,O,X,X
JZLTISO,O,X,X,X,X,X
JZLTIOS,O,O,X,X,X,O
JZLTSIO,O,X,X,X,X,X
JZLTSOI,O,X,X,X,X,X
JZLTOIS,O,O,X,X,X,O
JZLTOSI,O,O,X,X,X,O
JZLITSO,O,X,X,X,X,X
JZLITOS,O,O,X,X,X,O
JZLISTO,O,X,X,O,X,X
JZLISOT,O,O,O,O,X,O
JZLIOTS,O,O,X,X,X,O
JZLIOST,O,O,O,O,X,O
JZLSTIO,O,X,X,O,X,X
JZLSTOI,O,X,X,O,X,X
JZLSITO,O,X,X,O,X,X
JZLSIOT,O,O,O,O,X,O
JZLSOTI,O,O,O,O,X,O
JZLSOIT,O,O,O,O,X,O
JZLOTIS,O,O,X,X,X,O
JZLOTSI,O,O,X,X,X,O
JZLOITS,O,O,X,X,X,O
JZLOIST,O,O,O,O,X,O
JZLOSTI,O,O,O,O,X,O
JZLOSIT,O,O,O,O,X,O
JZSTILO,O,X,X,X,X,X
JZSTIOL,O,X,O,O,X,X
JZSTLIO,O,X,X,X,X,X
JZSTLOI,O,X,X,X,X,X
JZSTOIL,O,X,O,O,X,X
JZSTOLI,O,X,O,X,X,X
JZSITLO,O,X,X,X,X,X
JZSITOL,O,X,O,O,X,X
JZSILTO,O,X,X,O,X,X
JZSILOT,O,O,O,O,X,X
JZSIOTL,O,X,O,O,X,X
JZSIOLT,O,O,O,O,X,X
JZSLTIO,O,X,X,O,X,X
JZSLTOI,O,X,X,O,X,X
JZSLITO,O,X,X,O,X,X
JZSLIOT,O,O,O,O,X,O
JZSLOTI,O,O,O,O,X,O
JZSLOIT,O,O,O,O,X,O
JZSOTIL,O,X,O,O,X,X
JZSOTLI,O,X,O,X,X,X
JZSOITL,O,X,O,O,X,X
JZSOILT,O,O,O,O,X,X
JZSOLTI,O,O,O,O,X,O
JZSOLIT,O,O,O,O,X,O
JZOTILS,O,O,X,X,O,X
JZOTISL,O,X,O,X,O,X
JZOTLIS,O,O,X,X,X,O
JZOTLSI,O,O,X,X,X,O
JZOTSIL,O,X,O,X,X,X
JZOTSLI,O,X,O,X,X,X
JZOITLS,O,O,X,X,O,X
JZOITSL,O,X,O,X,O,X
JZOILTS,O,O,X,X,X,O
JZOILST,O,O,O,O,X,O
JZOISTL,O,X,O,O,X,X
JZOISLT,O,O,O,O,X,X
JZOLTIS,O,O,X,X,X,O
JZOLTSI,O,O,X,X,X,O
JZOLITS,O,O,X,X,X,O
JZOLIST,O,O,O,O,X,O
JZOLSTI,O,O,O,O,X,O
JZOLSIT,O,O,O,O,X,O
JZOSTIL,O,X,O,O,X,X
JZOSTLI,O,X,O,X,X,X
JZOSITL,O,X,O,O,X,X
JZOSILT,O,O,O,O,X,X
JZOSLTI,O,O,O,O,X,O
JZOSLIT,O,O,O,O,X,O
JOTILSZ,X,O,O,O,O,X
JOTILZS,X,O,X,X,O,X
JOTISLZ,X,O,O,O,O,X
JOTISZL,X,X,O,O,O,X
JOTIZLS,X,O,X,X,O,X
JOTIZSL,X,X,O,X,O,X
JOTLISZ,X,O,O,O,O,X
JOTLIZS,X,O,X,X,O,X
JOTLSIZ,X,O,O,O,X,X
JOTLSZI,X,O,O,O,X,X
JOTLZIS,X,O,X,X,X,O
JOTLZSI,X,O,X,X,X,O
JOTSILZ,X,O,O,O,O,X
JOTSIZL,X,X,O,O,O,X
JOTSLIZ,X,O,O,O,X,X
JOTSLZI,X,O,O,O,X,X
JOTSZIL,X,X,O,O,X,X
JOTSZLI,X,X,O,X,X,X
JOTZILS,X,O,O,X,O,X
JOTZISL,X,O,O,X,O,X
JOTZLIS,X,O,O,X,X,O
JOTZLSI,X,O,O,X,X,O
JOTZSIL,X,O,O,X,X,X
JOTZSLI,X,O,O,X,X,X
JOITLSZ,X,X,X,O,O,X
JOITLZS,X,X,X,X,O,X
JOITSLZ,X,X,X,O,O,X
JOITSZL,X,X,X,O,O,X
JOITZLS,X,X,X,X,O,X
JOITZSL,X,X,X,X,O,X
JOILTSZ,X,X,X,O,O,X
JOILTZS,X,X,X,X,O,X
JOILSTZ,X,X,X,O,X,X
JOILSZT,X,X,X,O,X,X
JOILZTS,X,X,X,X,X,O
JOILZST,X,X,X,O,X,O
JOISTLZ,X,X,X,O,O,X
JOISTZL,X,X,X,O,O,X
JOISLTZ,X,X,X,O,X,X
JOISLZT,X,X,X,O,X,X
JOISZTL,X,X,X,O,X,X
JOISZLT,X,X,X,O,X,X
JOIZTLS,X,X,X,X,O,X
JOIZTSL,X,X,X,X,O,X
JOIZLTS,X,X,X,X,X,O
JOIZLST,X,X,X,O,X,O
JOIZSTL,X,X,X,O,X,X
JOIZSLT,X,X,X,O,X,X
JOLTISZ,X,O,X,O,O,X
JOLTIZS,X,O,X,X,O,X
JOLTSIZ,X,O,X,O,X,X
JOLTSZI,X,O,X,O,X,X
JOLTZIS,X,O,X,X,X,O
JOLTZSI,X,O,X,X,X,O
JOLITSZ,X,X,X,O,O,X
JOLITZS,X,X,X,X,O,X
JOLISTZ,X,X,X,O,X,X
JOLISZT,X,X,X,O,X,X
JOLIZTS,X,X,X,X,X,O
JOLIZST,X,X,X,O,X,O
JOLSTIZ,X,X,X,O,X,X
JOLSTZI,X,X,X,O,X,X
JOLSITZ,X,X,X,O,X,X
JOLSIZT,X,X,X,O,X,X
JOLSZTI,X,X,X,O,X,O
JOLSZIT,X,X,X,O,X,O
JOLZTIS,X,O,X,X,X,O
JOLZTSI,X,O,X,X,X,O
JOLZITS,X,O,X,X,X,O
JOLZIST,X,O,X,O,X,O
JOLZSTI,X,O,X,O,X,O
JOLZSIT,X,O,X,O,X,O
JOSTILZ,X,X,O,O,O,X
JOSTIZL,X,X,O,O,O,X
JOSTLIZ,X,X,O,O,X,X
JOSTLZI,X,X,O,O,X,X
JOSTZIL,X,X,O,O,X,X
JOSTZLI,X,X,O,X,X,X
JOSITLZ,X,X,X,O,O,X
JOSITZL,X,X,X,O,O,X
JOSILTZ,X,X,X,O,X,X
JOSILZT,X,X,X,O,X,X
JOSIZTL,X,X,X,O,X,X
JOSIZLT,X,X,X,O,X,X
JOSLTIZ,X,X,X,O,X,X
JOSLTZI,X,X,X,O,X,X
JOSLITZ,X,X,X,O,X,X
JOSLIZT,X,X,X,O,X,X
JOSLZTI,X,X,X,O,X,O
JOSLZIT,X,X,X,O,X,O
JOSZTIL,X,X,O,O,X,X
JOSZTLI,X,X,O,X,X,X
JOSZITL,X,X,O,O,X,X
JOSZILT,X,X,O,O,X,X
JOSZLTI,X,X,O,O,X,O
JOSZLIT,X,X,O,O,X,O
JOZTILS,X,O,X,X,O,X
JOZTISL,X,X,O,X,O,X
JOZTLIS,X,O,X,X,X,O
JOZTLSI,X,O,X,X,X,O
JOZTSIL,X,X,O,X,X,X
JOZTSLI,X,X,O,X,X,X
JOZITLS,X,O,X,X,O,X
JOZITSL,X,X,O,X,O,X
JOZILTS,X,O,X,X,X,O
JOZILST,X,O,O,O,X,O
JOZISTL,X,X,O,O,X,X
JOZISLT,X,O,O,O,X,X
JOZLTIS,X,O,X,X,X,O
JOZLTSI,X,O,X,X,X,O
JOZLITS,X,O,X,X,X,O
JOZLIST,X,O,O,O,X,O
JOZLSTI,X,O,O,O,X,O
JOZLSIT,X,O,O,O,X,O
JOZSTIL,X,X,O,O,X,X
JOZSTLI,X,X,O,X,X,X
JOZSITL,X,X,O,O,X,X
JOZSILT,X,O,O,O,X,X
JOZSLTI,X,O,O,O,X,O
JOZSLIT,X,O,O,O,X,O
STILJZO,O,X,X,O,X,X
STILJOZ,O,O,O,O,X,X
STILZJO,O,X,X,O,X,X
STILZOJ,O,X,X,X,X,X
STILOJZ,O,O,O,X,X,X
STILOZJ,O,X,X,X,X,X
STIJLZO,O,X,X,O,O,X
STIJLOZ,O,O,O,O,O,X
STIJZLO,O,X,X,X,O,X
STIJZOL,O,X,O,O,O,X
STIJOLZ,O,O,O,O,O,X
STIJOZL,O,X,O,O,O,X
STIZLJO,O,X,O,X,X,X
STIZLOJ,O,X,O,X,X,X
STIZJLO,O,X,O,X,X,X
STIZJOL,O,X,O,O,X,X
STIZOLJ,O,X,O,X,X,X
STIZOJL,O,X,O,X,X,X
STIOLJZ,O,O,O,X,X,X
STIOLZJ,O,X,X,X,X,X
STIOJLZ,O,O,O,X,O,X
STIOJZL,O,X,O,X,O,X
STIOZLJ,O,X,O,X,X,X
STIOZJL,O,X,O,X,X,X
STLIJZO,O,X,X,O,X,X
STLIJOZ,O,O,O,O,X,X
STLIZJO,O,X,X,O,X,X
STLIZOJ,O,X,X,X,X,X
STLIOJZ,O,O,O,X,X,X
STLIOZJ,O,X,X,X,X,X
STLJIZO,O,X,X,O,X,X
STLJIOZ,O,O,O,O,X,X
STLJZIO,O,X,X,O,X,X
STLJZOI,O,X,X,O,X,X
STLJOIZ,O,O,O,O,X,X
STLJOZI,O,O,O,O,X,X
STLZIJO,O,O,O,O,X,X
STLZIOJ,O,O,O,X,X,X
STLZJIO,O,O,O,O,X,X
STLZJOI,O,O,O,O,X,X
STLZOIJ,O,O,O,X,X,X
STLZOJI,O,O,O,O,X,X
STLOIJZ,O,O,O,X,X,X
STLOIZJ,O,X,X,X,X,X
STLOJIZ,O,O,O,O,X,X
STLOJZI,O,O,O,O,X,X
STLOZIJ,O,O,O,X,X,X
STLOZJI,O,O,O,O,X,X
STJILZO,O,X,X,O,O,X
STJILOZ,O,O,O,O,O,X
STJIZLO,O,X,X,X,O,X
STJIZOL,O,X,O,O,O,X
STJIOLZ,O,O,O,O,O,X
STJIOZL,O,X,O,O,O,X
STJLIZO,O,X,X,O,X,X
STJLIOZ,O,O,O,O,X,X
STJLZIO,O,X,X,O,X,X
STJLZOI,O,X,X,O,X,X
STJLOIZ,O,O,O,O,X,X
STJLOZI,O,O,O,O,X,X
STJZILO,O,X,O,X,X,X
STJZIOL,O,X,O,O,X,X
STJZLIO,O,X,O,X,X,X
STJZLOI,O,X,O,X,X,X
STJZOIL,O,X,O,O,X,X
STJZOLI,O,X,O,X,X,X
STJOILZ,O,O,O,O,O,X
STJOIZL,O,X,O,O,O,X
STJOLIZ,O,O,O,O,X,X
STJOLZI,O,O,O,O,X,X
STJOZIL,O,X,O,O,X,X
STJOZLI,O,X,O,X,X,X
STZILJO,O,O,O,X,X,X
STZILOJ,O,O,O,X,X,X
STZIJLO,O,O,O,X,X,X
STZIJOL,O,O,O,O,X,X
STZIOLJ,O,O,O,X,X,X
STZIOJL,O,O,O,X,X,X
STZLIJO,O,O,O,X,X,X
STZLIOJ,O,O,O,X,X,X
STZLJIO,O,O,O,X,X,X
STZLJOI,O,O,O,X,X,X
STZLOIJ,O,O,O,X,X,X
STZLOJI,O,O,O,X,X,X
STZJILO,O,O,O,X,X,X
STZJIOL,O,O,O,O,X,X
STZJLIO,O,O,O,X,X,X
STZJLOI,O,O,O,X,X,X
STZJOIL,O,O,O,O,X,X
STZJOLI,O,O,O,X,X,X
STZOILJ,O,O,O,X,X,X
STZOIJL,O,O,O,X,X,X
STZOLIJ,O,O,O,X,X,X
STZOLJI,O,O,O,X,X,X
STZOJIL,O,O,O,O,X,X
STZOJLI,O,O,O,X,X,X
STOILJZ,O,O,O,X,X,X
STOILZJ,O,X,X,X,X,X
STOIJLZ,O,O,O,X,O,X
STOIJZL,O,X,O,X,O,X
STOIZLJ,O,X,O,X,X,X
STOIZJL,O,X,O,X,X,X
STOLIJZ,O,O,O,X,X,X
STOLIZJ,O,X,X,X,X,X
STOLJIZ,O,O,O,O,X,X
STOLJZI,O,O,O,O,X,X
STOLZIJ,O,O,O,X,X,X
STOLZJI,O,O,O,O,X,X
STOJILZ,O,O,O,O,O,X
STOJIZL,O,X,O,O,O,X
STOJLIZ,O,O,O,O,X,X
STOJLZI,O,O,O,O,X,X
STOJZIL,O,X,O,O,X,X
STOJZLI,O,X,O,X,X,X
STOZILJ,O,O,O,X,X,X
STOZIJL,O,O,O,X,X,X
STOZLIJ,O,O,O,X,X,X
STOZLJI,O,O,O,X,X,X
STOZJIL,O,O,O,O,X,X
STOZJLI,O,O,O,X,X,X
SITLJZO,O,X,X,O,X,X
SITLJOZ,O,X,O,O,X,X
SITLZJO,O,X,X,O,X,X
SITLZOJ,O,X,X,X,X,X
SITLOJZ,O,X,O,X,X,X
SITLOZJ,O,X,X,X,X,X
SITJLZO,O,X,X,O,O,X
SITJLOZ,O,X,O,O,O,X
SITJZLO,O,X,X,X,O,X
SITJZOL,O,X,O,O,O,X
SITJOLZ,O,X,O,O,O,X
SITJOZL,O,X,O,O,O,X
SITZLJO,O,X,O,X,X,X
SITZLOJ,O,X,O,X,X,X
SITZJLO,O,X,O,X,X,X
SITZJOL,O,X,O,O,X,X
SITZOLJ,O,X,O,X,X,X
SITZOJL,O,X,O,X,X,X
SITOLJZ,O,X,O,X,X,X
SITOLZJ,O,X,X,X,X,X
SITOJLZ,O,X,O,X,O,X
SITOJZL,O,X,O,X,O,X
SITOZLJ,O,X,O,X,X,X
SITOZJL,O,X,O,X,X,X
SILTJZO,O,X,X,O,X,X
SILTJOZ,O,X,X,O,X,X
SILTZJO,O,X,X,O,X,X
SILTZOJ,O,X,X,X,X,X
SILTOJZ,O,X,X,X,X,X
SILTOZJ,O,X,X,X,X,X
SILJTZO,O,X,X,O,X,X
SILJTOZ,O,X,X,O,X,X
SILJZTO,O,X,X,O,X,X
SILJZOT,O,X,X,O,X,X
SILJOTZ,X,X,X,O,X,X
SILJOZT,X,X,X,O,X,X
SILZTJO,O,X,X,O,X,X
SILZTOJ,O,X,X,X,X,X
SILZJTO,O,X,X,O,X,X
SILZJOT,O,X,X,O,X,X
SILZOTJ,O,X,X,X,X,X
SILZOJT,O,X,X,O,X,X
SILOTJZ,O,X,X,X,X,X
SILOTZJ,O,X,X,X,X,X
SILOJTZ,X,X,X,O,X,X
SILOJZT,X,X,X,O,X,X
SILOZTJ,O,X,X,X,X,X
SILOZJT,O,X,X,O,X,X
SIJTLZO,O,X,X,O,O,X
SIJTLOZ,O,X,X,O,O,X
SIJTZLO,O,X,X,X,O,X
SIJTZOL,O,X,X,O,O,X
SIJTOLZ,O,X,X,O,O,X
SIJTOZL,O,X,X,O,O,X
SIJLTZO,O,X,X,O,X,X
SIJLTOZ,O,X,X,O,X,X
SIJLZTO,O,X,X,O,X,X
SIJLZOT,O,X,X,O,X,X
SIJLOTZ,X,X,X,O,X,X
SIJLOZT,X,X,X,O,X,X
SIJZTLO,O,X,X,X,X,X
SIJZTOL,O,X,X,O,X,X
SIJZLTO,O,X,X,O,X,X
SIJZLOT,O,X,X,O,X,X
SIJZOTL,O,X,X,O,X,X
SIJZOLT,O,X,X,O,X,X
SIJOTLZ,X,X,X,O,O,X
SIJOTZL,X,X,X,O,O,X
SIJOLTZ,X,X,X,O,X,X
SIJOLZT,X,X,X,O,X,X
SIJOZTL,X,X,X,O,X,X
SIJOZLT,X,X,X,O,X,X
SIZTLJO,O,X,X,X,X,X
SIZTLOJ,O,X,X,X,X,X
SIZTJLO,O,X,X,X,X,X
SIZTJOL,O,X,O,O,X,X
SIZTOLJ,O,X,X,X,X,X
SIZTOJL,O,X,O,X,X,X
SIZLTJO,O,X,X,O,X,X
SIZLTOJ,O,X,X,X,X,X
SIZLJTO,O,X,X,O,X,X
SIZLJOT,O,X,O,O,X,X
SIZLOTJ,O,X,X,X,X,X
SIZLOJT,O,X,O,O,X,X
SIZJTLO,O,X,X,X,X,X
SIZJTOL,O,X,O,O,X,X
SIZJLTO,O,X,X,O,X,X
SIZJLOT,O,X,O,O,X,X
SIZJOTL,O,X,O,O,X,X
SIZJOLT,O,X,O,O,X,X
SIZOTLJ,O,X,X,X,X,X
SIZOTJL,O,X,O,X,X,X
SIZOLTJ,O,X,X,X,X,X
SIZOLJT,O,X,O,X,X,X
SIZOJTL,O,X,O,O,X,X
SIZOJLT,O,X,O,O,X,X
SIOTLJZ,O,X,O,X,X,X
SIOTLZJ,O,X,X,X,X,X
SIOTJLZ,O,X,O,X,O,X
SIOTJZL,O,X,O,X,O,X
SIOTZLJ,O,X,O,X,X,X
SIOTZJL,O,X,O,X,X,X
SIOLTJZ,O,X,X,X,X,X
SIOLTZJ,O,X,X,X,X,X
SIOLJTZ,X,X,X,O,X,X
SIOLJZT,X,X,X,O,X,X
SIOLZTJ,O,X,X,X,X,X
SIOLZJT,O,X,X,O,X,X
SIOJTLZ,X,X,X,O,O,X
SIOJTZL,X,X,X,O,O,X
SIOJLTZ,X,X,X,O,X,X
SIOJLZT,X,X,X,O,X,X
SIOJZTL,X,X,X,O,X,X
SIOJZLT,X,X,X,O,X,X
SIOZTLJ,O,X,X,X,X,X
SIOZTJL,O,X,O,X,X,X
SIOZLTJ,O,X,X,X,X,X
SIOZLJT,O,X,O,X,X,X
SIOZJTL,O,X,O,O,X,X
SIOZJLT,O,X,O,O,X,X
SLTIJZO,O,X,X,O,X,X
SLTIJOZ,O,O,O,O,X,X
SLTIZJO,O,X,X,O,X,X
SLTIZOJ,O,X,X,X,X,X
SLTIOJZ,O,O,O,X,X,X
SLTIOZJ,O,X,X,X,X,X
SLTJIZO,O,X,X,O,X,X
SLTJIOZ,O,O,O,O,X,X
SLTJZIO,O,X,X,O,X,X
SLTJZOI,O,X,X,O,X,X
SLTJOIZ,O,O,O,O,X,X
SLTJOZI,O,O,O,O,X,X
SLTZIJO,O,O,O,O,X,X
SLTZIOJ,O,O,O,X,X,X
SLTZJIO,O,O,O,O,X,X
SLTZJOI,O,O,O,O,X,X
SLTZOIJ,O,O,O,X,X,X
SLTZOJI,O,O,O,O,X,X
SLTOIJZ,O,O,O,X,X,X
SLTOIZJ,O,X,X,X,X,X
SLTOJIZ,O,O,O,O,X,X
SLTOJZI,O,O,O,O,X,X
SLTOZIJ,O,O,O,X,X,X
SLTOZJI,O,O,O,O,X,X
SLITJZO,O,X,X,O,X,X
SLITJOZ,O,X,X,O,X,X
SLITZJO,O,X,X,O,X,X
SLITZOJ,O,X,X,X,X,X
SLITOJZ,O,X,X,X,X,X
SLITOZJ,O,X,X,X,X,X
SLIJTZO,O,X,X,O,X,X
SLIJTOZ,O,X,X,O,X,X
SLIJZTO,O,X,X,O,X,X
SLIJZOT,O,X,X,O,X,X
SLIJOTZ,X,X,X,O,X,X
SLIJOZT,X,X,X,O,X,X
SLIZTJO,O,X,X,O,X,X
SLIZTOJ,O,X,X,X,X,X
SLIZJTO,O,X,X,O,X,X
SLIZJOT,O,X,X,O,X,X
SLIZOTJ,O,X,X,X,X,X
SLIZOJT,O,X,X,O,X,X
SLIOTJZ,O,X,X,X,X,X
SLIOTZJ,O,X,X,X,X,X
SLIOJTZ,X,X,X,O,X,X
SLIOJZT,X,X,X,O,X,X
SLIOZTJ,O,X,X,X,X,X
SLIOZJT,O,X,X,O,X,X
SLJTIZO,O,X,X,O,X,X
SLJTIOZ,O,X,X,O,X,X
SLJTZIO,O,X,X,O,X,X
SLJTZOI,O,X,X,O,X,X
SLJTOIZ,O,X,X,O,X,X
SLJTOZI,O,X,X,O,X,X
SLJITZO,O,X,X,O,X,X
SLJITOZ,O,X,X,O,X,X
SLJIZTO,O,X,X,O,X,X
SLJIZOT,O,X,X,O,X,X
SLJIOTZ,X,X,X,O,X,X
SLJIOZT,X,X,X,O,X,X
SLJZTIO,O,X,X,O,X,X
SLJZTOI,O,X,X,O,X,X
SLJZITO,O,X,X,O,X,X
SLJZIOT,O,X,X,O,X,O
SLJZOTI,O,X,X,O,X,O
SLJZOIT,O,X,X,O,X,O
SLJOTIZ,X,X,X,O,X,X
SLJOTZI,X,X,X,O,X,X
SLJOITZ,X,X,X,O,X,X
SLJOIZT,X,X,X,O,X,X
SLJOZTI,X,X,X,O,X,O
SLJOZIT,X,X,X,O,X,O
SLZTIJO,O,X,X,O,X,X
SLZTIOJ,O,X,X,X,X,X
SLZTJIO,O,X,X,O,X,X
SLZTJOI,O,X,X,O,X,X
SLZTOIJ,O,X,X,X,X,X
SLZTOJI,O,X,X,O,X,X
SLZITJO,O,X,X,O,X,X
SLZITOJ,O,X,X,X,X,X
SLZIJTO,O,X,X,O,X,X
SLZIJOT,O,O,O,O,X,O
SLZIOTJ,O,X,X,X,X,X
SLZIOJT,O,O,O,O,X,O
SLZJTIO,O,X,X,O,X,X
SLZJTOI,O,X,X,O,X,X
SLZJITO,O,X,X,O,X,X
SLZJIOT,O,O,O,O,X,O
SLZJOTI,O,O,O,O,X,O
SLZJOIT,O,O,O,O,X,O
SLZOTIJ,O,X,X,X,X,X
SLZOTJI,O,X,X,O,X,X
SLZOITJ,O,X,X,X,X,X
SLZOIJT,O,O,O,O,X,O
SLZOJTI,O,O,O,O,X,O
SLZOJIT,O,O,O,O,X,O
SLOTIJZ,O,O,O,X,X,X
SLOTIZJ,O,X,X,X,X,X
SLOTJIZ,O,O,O,O,X,X
SLOTJZI,O,O,O,O,X,X
SLOTZIJ,O,O,O,X,X,X
SLOTZJI,O,O,O,O,X,X
SLOITJZ,O,X,X,X,X,X
SLOITZJ,O,X,X,X,X,X
SLOIJTZ,X,X,X,O,X,X
SLOIJZT,X,X,X,O,X,X
SLOIZTJ,O,X,X,X,X,X
SLOIZJT,O,X,X,O,X,X
SLOJTIZ,X,X,X,O,X,X
SLOJTZI,X,X,X,O,X,X
SLOJITZ,X,X,X,O,X,X
SLOJIZT,X,X,X,O,X,X
SLOJZTI,X,X,X,O,X,O
SLOJZIT,X,X,X,O,X,O
SLOZTIJ,O,X,X,X,X,X
SLOZTJI,O,X,X,O,X,X
SLOZITJ,O,X,X,X,X,X
SLOZIJT,O,O,O,O,X,O
SLOZJTI,O,O,O,O,X,O
SLOZJIT,O,O,O,O,X,O
SJTILZO,O,X,X,O,O,X
SJTILOZ,O,X,O,O,O,X
SJTIZLO,O,X,X,X,O,X
SJTIZOL,O,X,O,O,O,X
SJTIOLZ,O,X,O,O,O,X
SJTIOZL,O,X,O,O,O,X
SJTLIZO,O,X,X,O,X,X
SJTLIOZ,O,X,O,O,X,X
SJTLZIO,O,X,X,O,X,X
SJTLZOI,O,X,X,O,X,X
SJTLOIZ,O,X,O,O,X,X
SJTLOZI,O,X,O,O,X,X
SJTZILO,O,X,O,X,X,X
SJTZIOL,O,X,O,O,X,X
SJTZLIO,O,X,O,X,X,X
SJTZLOI,O,X,O,X,X,X
SJTZOIL,O,X,O,O,X,X
SJTZOLI,O,X,O,X,X,X
SJTOILZ,O,X,O,O,O,X
SJTOIZL,O,X,O,O,O,X
SJTOLIZ,O,X,O,O,X,X
SJTOLZI,O,X,O,O,X,X
SJTOZIL,O,X,O,O,X,X
SJTOZLI,O,X,O,X,X,X
SJITLZO,O,X,X,O,O,X
SJITLOZ,O,X,X,O,O,X
SJITZLO,O,X,X,X,O,X
SJITZOL,O,X,X,O,O,X
SJITOLZ,O,X,X,O,O,X
SJITOZL,O,X,X,O,O,X
SJILTZO,O,X,X,O,X,X
SJILTOZ,O,X,X,O,X,X
SJILZTO,O,X,X,O,X,X
SJILZOT,O,X,X,O,X,X
SJILOTZ,X,X,X,O,X,X
SJILOZT,X,X,X,O,X,X
SJIZTLO,O,X,X,X,X,X
SJIZTOL,O,X,X,O,X,X
SJIZLTO,O,X,X,O,X,X
SJIZLOT,O,X,X,O,X,X
SJIZOTL,O,X,X,O,X,X
SJIZOLT,O,X,X,O,X,X
SJIOTLZ,X,X,X,O,O,X
SJIOTZL,X,X,X,O,O,X
SJIOLTZ,X,X,X,O,X,X
SJIOLZT,X,X,X,O,X,X
SJIOZTL,X,X,X,O,X,X
SJIOZLT,X,X,X,O,X,X
SJLTIZO,O,X,X,O,X,X
SJLTIOZ,O,X,X,O,X,X
SJLTZIO,O,X,X,O,X,X
SJLTZOI,O,X,X,O,X,X
SJLTOIZ,O,X,X,O,X,X
SJLTOZI,O,X,X,O,X,X
SJLITZO,O,X,X,O,X,X
SJLITOZ,O,X,X,O,X,X
SJLIZTO,O,X,X,O,X,X
SJLIZOT,O,X,X,O,X,X
SJLIOTZ,X,X,X,O,X,X
SJLIOZT,X,X,X,O,X,X
SJLZTIO,O,X,X,O,X,X
SJLZTOI,O,X,X,O,X,X
SJLZITO,O,X,X,O,X,X
SJLZIOT,O,X,X,O,X,O
SJLZOTI,O,X,X,O,X,O
SJLZOIT,O,X,X,O,X,O
SJLOTIZ,X,X,X,O,X,X
SJLOTZI,X,X,X,O,X,X
SJLOITZ,X,X,X,O,X,X
SJLOIZT,X,X,X,O,X,X
SJLOZTI,X,X,X,O,X,O
SJLOZIT,X,X,X,O,X,O
SJZTILO,O,X,X,X,X,X
SJZTIOL,O,X,O,O,X,X
SJZTLIO,O,X,X,X,X,X
SJZTLOI,O,X,X,X,X,X
SJZTOIL,O,X,O,O,X,X
SJZTOLI,O,X,O,X,X,X
SJZITLO,O,X,X,X,X,X
SJZITOL,O,X,O,O,X,X
SJZILTO,O,X,X,O,X,X
SJZILOT,O,X,O,O,X,X
SJZIOTL,O,X,O,O,X,X
SJZIOLT,O,X,O,O,X,X
SJZLTIO,O,X,X,O,X,X
SJZLTOI,O,X,X,O,X,X
SJZLITO,O,X,X,O,X,X
SJZLIOT,O,X,O,O,X,O
SJZLOTI,O,X,O,O,X,O
SJZLOIT,O,X,O,O,X,O
SJZOTIL,O,X,O,O,X,X
SJZOTLI,O,X,O,X,X,X
SJZOITL,O,X,O,O,X,X
SJZOILT,O,X,O,O,X,X
SJZOLTI,O,X,O,O,X,O
SJZOLIT,O,X,O,O,X,O
SJOTILZ,X,X,O,O,O,X
SJOTIZL,X,X,O,O,O,X
SJOTLIZ,X,X,O,O,X,X
SJOTLZI,X,X,O,O,X,X
SJOTZIL,X,X,O,O,X,X
SJOTZLI,X,X,O,X,X,X
SJOITLZ,X,X,X,O,O,X
SJOITZL,X,X,X,O,O,X
SJOILTZ,X,X,X,O,X,X
SJOILZT,X,X,X,O,X,X
SJOIZTL,X,X,X,O,X,X
SJOIZLT,X,X,X,O,X,X
SJOLTIZ,X,X,X,O,X,X
SJOLTZI,X,X,X,O,X,X
SJOLITZ,X,X,X,O,X,X
SJOLIZT,X,X,X,O,X,X
SJOLZTI,X,X,X,O,X,O
SJOLZIT,X,X,X,O,X,O
SJOZTIL,X,X,O,O,X,X
SJOZTLI,X,X,O,X,X,X
SJOZITL,X,X,O,O,X,X
SJOZILT,X,X,O,O,X,X
SJOZLTI,X,X,O,O,X,O
SJOZLIT,X,X,O,O,X,O
SZTILJO,O,X,O,X,X,X
SZTILOJ,O,X,O,X,X,X
SZTIJLO,O,X,O,X,X,X
SZTIJOL,O,X,O,O,X,X
SZTIOLJ,O,X,O,X,X,X
SZTIOJL,O,X,O,X,X,X
SZTLIJO,O,X,O,X,X,X
SZTLIOJ,O,X,O,X,X,X
SZTLJIO,O,X,O,X,X,X
SZTLJOI,O,X,O,X,X,X
SZTLOIJ,O,X,O,X,X,X
SZTLOJI,O,X,O,X,X,X
