sequence,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBTjBOpBl?lBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF0iB6oBfqBl?lBzsBGqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBOpBllBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFFgB0iB6oBf?qBuqBzsB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JexCJvhF0kBllBCoBO?pBXtBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoBX?oBTqB0sB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoB0?nBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF1lB6nBWqBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lBXjBc?tB6sBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lB0iBS?tBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Je0AJvhFxiB3kBTqBC?tBOpBFtB
IZOJLST,X,O,X,O,X,X,X,X,X,X,X
IZOJSTL,X,O,X,O,X,X,X,X,O,X,X
IZOJSLT,X,O,X,O,X,X,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,X,X,X,O,O,X
IZOSTJL,X,O,X,O,X,X,X,X,O,O,X
IZOSLTJ,X,O,X,O,X,X,X,X,O,O,X
IZOSLJT,X,O,X,O,X,X,X,X,X,X,X
IZOSJTL,X,O,X,O,X,X,X,X,O,X,X
IZOSJLT,X,O,X,O,X,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,O,X,O,X
IOTLJZS,X,X,O,O,X,X,X,O,O,O,X
IOTLSJZ,X,O,X,O,X,X,X,O,X,O,X
IOTLSZJ,X,O,X,O,X,X,X,X,X,O,X
IOTLZJS,X,X,X,O,X,X,X,O,O,O,X
IOTLZSJ,X,O,X,O,X,X,X,X,O,O,X
IOTJLSZ,X,X,X,O,X,X,X,O,X,O,X
IOTJLZS,X,X,O,O,X,X,X,O,O,O,X
IOTJSLZ,X,X,X,O,X,X,X,O,X,O,X
IOTJSZL,X,X,X,O,X,X,X,X,O,O,X
IOTJZLS,X,X,X,O,X,X,X,O,O,O,X
IOTJZSL,X,X,X,O,X,X,X,X,O,O,X
IOTSLJZ,X,O,X,O,X,X,X,O,X,O,X
IOTSLZJ,X,O,X,O,X,X,X,X,X,O,X
IOTSJLZ,X,O,X,O,X,X,X,O,X,O,X
IOTSJZL,X,O,X,O,X,X,X,X,O,O,X
IOTSZLJ,X,O,X,O,X,X,X,X,O,O,X
IOTSZJL,X,O,X,O,X,X,X,X,O,O,X
IOTZLJS,X,X,X,O,X,X,X,O,O,O,X
IOTZLSJ,X,O,X,O,X,X,X,X,O,O,X
IOTZJLS,X,X,X,O,X,X,X,O,O,O,X
IOTZJSL,X,X,X,O,X,X,X,X,O,O,X
IOTZSLJ,X,O,X,O,X,X,X,X,O,O,X
IOTZSJL,X,O,X,O,X,X,X,X,O,O,X
IOLTJSZ,X,X,X,O,X,O,X,O,X,O,X
IOLTJZS,X,X,O,O,X,X,O,O,O,O,X
IOLTSJZ,X,O,X,O,X,X,X,O,X,O,O
IOLTSZJ,X,O,X,O,X,X,X,X,X,O,O
IOLTZJS,X,X,X,O,X,X,X,O,O,O,X
IOLTZSJ,X,O,X,O,X,X,X,X,O,O,O
IOLJTSZ,X,X,X,O,X,O,X,O,X,O,X
IOLJTZS,X,X,O,O,X,X,O,O,X,O,X
IOLJSTZ,X,O,X,O,X,X,X,O,X,X,O
IOLJSZT,X,O,X,O,X,X,X,X,X,X,O
IOLJZTS,X,X,O,O,X,X,X,O,X,O,X
IOLJZST,X,O,X,O,X,X,X,X,X,X,O
IOLSTJZ,X,O,X,O,X,X,X,O,X,O,O
IOLSTZJ,X,O,X,O,X,X,X,X,X,O,O
IOLSJTZ,X,O,X,O,X,X,X,O,X,X,O
IOLSJZT,X,O,X,O,X,X,X,X,X,X,O
IOLSZTJ,X,O,X,O,X,X,X,X,X,O,O
IOLSZJT,X,O,X,O,X,X,X,X,X,X,O
IOLZTJS,X,X,O,O,X,X,X,O,O,O,X
IOLZTSJ,X,O,X,O,X,X,X,X,O,O,O
IOLZJTS,X,X,O,O,X,X,X,O,X,O,X
IOLZJST,X,O,X,O,X,X,X,X,X,X,O
IOLZSTJ,X,O,X,O,X,X,X,X,O,O,O
IOLZSJT,X,O,X,O,X,X,X,X,X,X,O
IOJTLSZ,X,X,X,O,X,X,X,O,X,O,X
IOJTLZS,X,X,O,O,X,X,X,O,O,O,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,O,X
IOJTSZL,X,X,X,O,X,X,X,X,O,O,X
IOJTZLS,X,X,X,O,X,X,X,O,O,O,X
IOJTZSL,X,X,X,O,X,X,X,X,O,O,X
IOJLTSZ,X,X,X,O,X,O,X,O,X,O,X
IOJLTZS,X,X,O,O,X,X,O,O,X,O,X
IOJLSTZ,X,O,X,O,X,X,X,O,X,X,X
IOJLSZT,X,O,X,O,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,X,X,X,O,X,O,X
IOJLZST,X,O,X,O,X,X,X,X,X,X,X
IOJSTLZ,X,O,X,O,X,X,X,X,X,X,X
IOJSTZL,X,O,X,O,X,X,X,X,X,X,X
IOJSLTZ,X,O,X,O,X,X,X,O,X,X,X
IOJSLZT,X,O,X,O,X,X,X,X,X,X,X
IOJSZTL,X,O,X,O,X,X,X,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,X,X,X,X
IOJZTLS,X,X,O,O,X,X,X,X,O,O,X
IOJZTSL,X,X,O,O,X,X,X,X,O,O,X
IOJZLTS,X,X,O,O,X,X,X,O,X,O,X
IOJZLST,X,O,X,O,X,X,X,X,X,X,X
IOJZSTL,X,O,X,O,X,X,X,X,O,X,X
IOJZSLT,X,O,X,O,X,X,X,X,X,X,X
IOSTLJZ,X,O,X,O,X,X,X,O,X,O,X
IOSTLZJ,X,O,X,O,X,X,X,X,X,O,X
IOSTJLZ,X,O,X,O,X,X,X,O,X,O,X
IOSTJZL,X,O,X,O,X,X,X,X,O,O,X
IOSTZLJ,X,O,X,O,X,X,X,X,O,O,X
IOSTZJL,X,O,X,O,X,X,X,X,O,O,X
IOSLTJZ,X,O,X,O,X,X,X,O,X,O,O
IOSLTZJ,X,O,X,O,X,X,X,X,X,O,O
IOSLJTZ,X,O,X,O,X,X,X,O,X,X,O
IOSLJZT,X,O,X,O,X,X,X,X,X,X,O
IOSLZTJ,X,O,X,O,X,X,X,X,X,O,O
IOSLZJT,X,O,X,O,X,X,X,X,X,X,O
IOSJTLZ,X,O,X,O,X,X,X,X,X,X,X
IOSJTZL,X,O,X,O,X,X,X,X,X,X,X
IOSJLTZ,X,O,X,O,X,X,X,O,X,X,X
IOSJLZT,X,O,X,O,X,X,X,X,X,X,X
IOSJZTL,X,O,X,O,X,X,X,X,X,X,X
IOSJZLT,X,O,X,O,X,X,X,X,X,X,X
IOSZTLJ,X,O,X,O,X,X,X,X,O,O,X
IOSZTJL,X,O,X,O,X,X,X,X,O,O,X
IOSZLTJ,X,O,X,O,X,X,X,X,O,O,O
IOSZLJT,X,O,X,O,X,X,X,X,X,X,O
IOSZJTL,X,O,X,O,X,X,X,X,O,X,X
IOSZJLT,X,O,X,O,X,X,X,X,X,X,X
IOZTLJS,X,X,O,O,X,X,X,O,O,O,X
IOZTLSJ,X,O,X,O,X,X,X,X,O,O,X
IOZTJLS,X,X,O,O,X,X,X,O,O,O,X
IOZTJSL,X,X,O,O,X,X,X,X,O,O,X
IOZTSLJ,X,O,X,O,X,X,X,X,O,O,X
IOZTSJL,X,O,X,O,X,X,X,X,O,O,X
IOZLTJS,X,X,O,O,X,X,X,O,O,O,X
IOZLTSJ,X,O,X,O,X,X,X,X,O,O,O
IOZLJTS,X,X,O,O,X,X,X,O,X,O,X
IOZLJST,X,O,X,O,X,X,X,X,X,X,O
IOZLSTJ,X,O,X,O,X,X,X,X,O,O,O
IOZLSJT,X,O,X,O,X,X,X,X,X,X,O
IOZJTLS,X,X,O,O,X,X,X,X,O,O,X
IOZJTSL,X,X,O,O,X,X,X,X,O,O,X
IOZJLTS,X,X,O,O,X,X,X,O,X,O,X
IOZJLST,X,O,X,O,X,X,X,X,X,X,X
IOZJSTL,X,O,X,O,X,X,X,X,O,X,X
IOZJSLT,X,O,X,O,X,X,X,X,X,X,X
IOZSTLJ,X,O,X,O,X,X,X,X,O,O,X
IOZSTJL,X,O,X,O,X,X,X,X,O,O,X
IOZSLTJ,X,O,X,O,X,X,X,X,O,O,O
IOZSLJT,X,O,X,O,X,X,X,X,X,X,O
IOZSJTL,X,O,X,O,X,X,X,X,O,X,X
IOZSJLT,X,O,X,O,X,X,X,X,X,X,X
LTIJSZO,O,X,X,O,X,O,O,X,X,X,X
LTIJSOZ,O,X,X,O,X,O,X,O,X,X,X
LTIJZSO,O,X,X,O,X,O,O,X,O,X,X
LTIJZOS,X,X,X,X,X,X,O,O,X,X,X
LTIJOSZ,O,X,X,X,X,O,X,O,X,X,X
LTIJOZS,X,X,O,X,X,X,O,O,X,X,X
LTISJZO,O,X,X,O,X,O,O,X,X,X,X
LTISJOZ,O,X,X,X,X,O,X,O,X,X,X
LTISZJO,X,X,X,O,X,X,X,X,X,X,X
LTISZOJ,O,X,X,O,X,X,X,X,X,X,X
LTISOJZ,O,X,X,X,X,X,X,O,X,X,X
LTISOZJ,O,X,X,O,X,X,X,X,X,X,X
LTIZJSO,X,X,X,O,X,O,O,X,O,X,X
LTIZJOS,X,X,X,X,X,X,O,O,X,X,X
LTIZSJO,X,X,X,O,X,X,X,X,O,X,X
LTIZSOJ,O,X,X,O,X,X,X,X,X,X,X
LTIZOJS,X,X,X,X,X,X,X,O,X,O,X
LTIZOSJ,X,X,X,X,X,X,X,X,X,O,X
LTIOJSZ,X,X,X,X,X,O,X,O,X,O,X
LTIOJZS,X,X,O,X,X,X,O,O,X,O,X
LTIOSJZ,O,X,X,X,X,X,X,O,X,O,O
LTIOSZJ,O,X,X,X,X,X,X,X,X,O,O
LTIOZJS,X,X,X,X,X,X,X,O,X,O,X
LTIOZSJ,X,X,X,X,X,X,X,X,X,O,O
LTJISZO,O,X,X,O,X,O,O,X,X,X,X
LTJISOZ,O,X,X,O,X,O,X,O,X,X,X
LTJIZSO,O,X,X,O,X,O,O,X,O,X,X
LTJIZOS,X,X,X,X,X,X,O,O,X,X,X
LTJIOSZ,O,X,X,X,X,O,X,O,X,X,X
LTJIOZS,X,X,O,X,X,X,O,O,X,X,X
LTJSIZO,O,X,X,O,X,O,O,X,X,X,X
LTJSIOZ,O,X,X,O,X,O,X,O,X,X,X
LTJSZIO,O,X,X,O,X,X,X,X,X,X,X
LTJSZOI,O,X,X,O,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,O,X,X,X,O,X,X,X
LTJSOZI,O,X,O,O,X,X,X,X,X,X,X
LTJZISO,O,X,O,O,X,O,O,X,O,X,X
LTJZIOS,O,X,O,X,X,X,O,O,X,X,X
LTJZSIO,O,X,O,O,X,X,X,X,O,X,X
LTJZSOI,O,X,O,O,X,X,X,X,X,X,X
LTJZOIS,O,X,O,X,X,X,X,O,X,X,X
LTJZOSI,O,X,O,X,X,X,X,X,X,X,X
LTJOISZ,O,X,X,X,X,O,X,O,X,X,X
LTJOIZS,X,X,O,X,X,X,O,O,X,X,X
LTJOSIZ,O,X,X,X,X,X,X,O,X,X,X
LTJOSZI,O,X,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,O,X,X,X,X,O,X,X,X
LTJOZSI,X,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,X,X,O,O,O,O,X,X,X,X
LTSIJOZ,O,X,X,X,X,O,X,O,X,X,X
LTSIZJO,X,X,X,O,O,X,X,X,X,X,X
LTSIZOJ,O,X,X,O,O,X,X,X,X,X,X
LTSIOJZ,O,X,X,X,X,X,X,O,X,X,X
LTSIOZJ,O,X,X,O,O,X,X,X,X,X,X
LTSJIZO,O,X,X,O,O,O,O,X,X,X,X
LTSJIOZ,O,X,X,X,X,O,X,O,X,X,X
LTSJZIO,O,X,X,O,O,X,X,X,X,X,X
LTSJZOI,O,X,X,X,O,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,O,X,X,X
LTSJOZI,O,X,O,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,O,O,X,X,X,X,X,X
LTSZIOJ,O,X,X,O,O,X,X,X,X,X,X
LTSZJIO,O,X,X,O,O,X,X,X,X,X,X
LTSZJOI,O,X,X,X,O,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,O,X,X,X,X,X,X
LTSZOJI,O,X,X,X,O,X,X,X,X,X,X
LTSOIJZ,O,X,X,X,X,X,X,O,X,X,X
LTSOIZJ,O,X,X,O,O,X,X,X,X,X,X
LTSOJIZ,O,X,X,X,X,X,X,O,X,X,X
LTSOJZI,O,X,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,X,O,O,X,X,X,X,X,X
LTSOZJI,O,X,X,X,O,X,X,X,X,X,X
LTZIJSO,O,X,O,O,X,O,O,X,O,X,X
LTZIJOS,O,X,O,X,X,X,O,O,X,X,X
LTZISJO,O,X,X,O,X,X,X,X,O,X,X
LTZISOJ,O,X,X,O,X,X,X,X,X,X,X
LTZIOJS,X,X,O,X,X,X,X,O,X,O,X
LTZIOSJ,O,X,X,X,X,X,X,X,X,O,X
LTZJISO,O,X,O,O,X,O,O,X,O,X,X
LTZJIOS,O,X,O,X,X,X,O,O,X,X,X
LTZJSIO,O,X,O,O,X,X,X,X,O,X,X
LTZJSOI,O,X,O,O,X,X,X,X,X,X,X
LTZJOIS,O,X,O,X,X,X,X,O,X,X,X
LTZJOSI,O,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,X,X,O,O,X,X,X,O,X,X
LTZSIOJ,O,X,X,O,O,X,X,X,X,X,X
LTZSJIO,O,X,O,O,O,X,X,X,O,X,X
LTZSJOI,O,X,O,X,O,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,O,X,X,X,X,X,X
LTZSOJI,O,X,O,X,O,X,X,X,X,X,X
LTZOIJS,X,X,O,X,X,X,X,O,X,O,X
LTZOISJ,O,X,X,X,X,X,X,X,X,O,X
LTZOJIS,O,X,O,X,X,X,X,O,X,O,X
LTZOJSI,O,X,O,X,X,X,X,X,X,O,X
LTZOSIJ,O,X,X,X,X,X,X,X,X,O,X
LTZOSJI,O,X,O,X,X,X,X,X,X,O,X
LTOIJSZ,X,X,X,X,X,O,X,O,X,O,X
LTOIJZS,X,X,O,X,X,X,O,O,X,O,X
LTOISJZ,O,X,X,X,X,X,X,O,X,O,O
LTOISZJ,O,X,X,X,X,X,X,X,X,O,O
LTOIZJS,X,X,X,X,X,X,X,O,X,O,X
LTOIZSJ,X,X,X,X,X,X,X,X,X,O,O
LTOJISZ,O,X,X,X,X,O,X,O,X,O,X
LTOJIZS,X,X,O,X,X,X,O,O,X,O,X
LTOJSIZ,O,X,X,X,X,X,X,O,X,O,X
LTOJSZI,O,X,O,X,X,X,X,X,X,O,X
LTOJZIS,X,X,O,X,X,X,X,O,X,O,X
LTOJZSI,X,X,O,X,X,X,X,X,X,O,X
LTOSIJZ,O,X,X,X,X,X,X,O,X,O,O
LTOSIZJ,O,X,X,X,X,X,X,X,X,O,O
LTOSJIZ,O,X,X,X,X,X,X,O,X,O,O
LTOSJZI,O,X,O,X,X,X,X,X,X,O,O
LTOSZIJ,O,X,X,X,X,X,X,X,X,O,O
LTOSZJI,O,X,X,X,X,X,X,X,X,O,O
LTOZIJS,X,X,O,X,X,X,X,O,X,O,X
LTOZISJ,X,X,X,X,X,X,X,X,X,O,O
LTOZJIS,X,X,O,X,X,X,X,O,X,O,X
LTOZJSI,X,X,O,X,X,X,X,X,X,O,X
LTOZSIJ,X,X,X,X,X,X,X,X,X,O,O
LTOZSJI,X,X,O,X,X,X,X,X,X,O,O
LITJSZO,O,X,X,O,X,O,O,X,X,X,X
LITJSOZ,O,X,X,O,X,O,X,O,X,X,X
LITJZSO,O,X,X,O,X,O,O,X,O,X,X
LITJZOS,X,X,X,X,X,X,O,O,X,X,X
LITJOSZ,O,X,X,X,X,O,X,O,X,X,X
LITJOZS,X,X,O,X,X,X,O,O,X,X,X
LITSJZO,O,X,X,O,X,O,O,X,X,X,X
LITSJOZ,O,X,X,X,X,O,X,O,X,X,X
LITSZJO,X,X,X,O,X,X,X,X,X,X,X
LITSZOJ,O,X,X,O,X,X,X,X,X,X,X
LITSOJZ,O,X,X,X,X,X,X,O,X,X,X
LITSOZJ,O,X,X,O,X,X,X,X,X,X,X
LITZJSO,X,X,X,O,X,O,O,X,O,X,X
LITZJOS,X,X,X,X,X,X,O,O,X,X,X
LITZSJO,X,X,X,O,X,X,X,X,O,X,X
LITZSOJ,O,X,X,O,X,X,X,X,X,X,X
LITZOJS,X,X,X,X,X,X,X,O,X,O,X
LITZOSJ,X,X,X,X,X,X,X,X,X,O,X
LITOJSZ,X,X,X,X,X,O,X,O,X,O,X
LITOJZS,X,X,O,X,X,X,O,O,X,O,X
LITOSJZ,O,X,X,X,X,X,X,O,X,O,O
LITOSZJ,O,X,X,X,X,X,X,X,X,O,O
LITOZJS,X,X,X,X,X,X,X,O,X,O,X
LITOZSJ,X,X,X,X,X,X,X,X,X,O,O
LIJTSZO,O,X,X,O,X,O,O,X,X,X,X
LIJTSOZ,O,X,X,O,X,O,X,O,X,X,X
LIJTZSO,O,X,X,O,X,O,O,X,X,X,X
LIJTZOS,X,X,X,X,X,X,O,O,X,X,X
LIJTOSZ,O,X,X,X,X,O,X,O,X,X,X
LIJTOZS,X,X,O,X,X,X,O,O,X,X,X
LIJSTZO,O,X,X,O,X,O,O,X,X,X,X
LIJSTOZ,O,X,X,O,X,O,X,X,X,X,X
LIJSZTO,O,X,X,O,X,X,X,X,X,X,X
LIJSZOT,O,X,X,O,X,X,X,X,X,X,X
LIJSOTZ,O,X,X,O,X,X,X,O,X,X,X
LIJSOZT,O,X,X,O,X,X,X,X,X,X,X
LIJZTSO,O,X,O,O,X,O,O,X,X,X,X
LIJZTOS,O,X,O,X,X,X,O,X,X,X,X
LIJZSTO,O,X,X,O,X,X,X,X,X,X,X
LIJZSOT,O,X,X,O,X,X,X,X,X,X,X
LIJZOTS,X,X,O,X,X,X,X,O,X,O,X
LIJZOST,O,X,X,O,X,X,X,X,X,X,X
LIJOTSZ,X,X,X,O,X,O,X,O,X,O,X
LIJOTZS,X,X,O,O,X,X,O,O,X,O,X
LIJOSTZ,O,X,X,O,X,X,X,O,X,X,O
LIJOSZT,O,X,X,O,X,X,X,X,X,X,O
LIJOZTS,X,X,O,O,X,X,X,O,X,O,X
LIJOZST,X,X,X,O,X,X,X,X,X,X,O
LISTJZO,O,X,X,O,X,O,O,X,X,X,X
LISTJOZ,O,X,X,X,X,O,X,O,X,X,X
LISTZJO,X,X,X,O,X,X,X,X,X,X,X
LISTZOJ,O,X,X,O,X,X,X,X,X,X,X
LISTOJZ,O,O,X,O,X,X,X,O,X,X,X
LISTOZJ,O,O,X,O,X,X,X,X,X,X,X
LISJTZO,O,X,X,O,X,O,O,X,X,X,X
LISJTOZ,O,X,X,O,X,O,X,X,X,X,X
LISJZTO,O,X,X,O,X,X,X,X,X,X,X
LISJZOT,O,X,X,O,X,X,X,X,X,X,X
LISJOTZ,O,X,X,O,X,X,X,O,X,X,X
LISJOZT,O,X,X,O,X,X,X,X,X,X,X
LISZTJO,O,X,X,O,X,X,X,X,X,X,X
LISZTOJ,O,X,X,O,X,X,X,X,X,X,X
LISZJTO,O,X,X,O,X,X,X,X,X,X,X
LISZJOT,O,X,X,O,X,X,X,X,X,X,X
LISZOTJ,O,X,X,O,X,X,X,X,X,O,X
LISZOJT,O,X,X,X,X,X,X,X,X,X,X
LISOTJZ,O,O,X,O,X,X,X,O,X,O,O
LISOTZJ,O,O,X,O,X,X,X,X,X,O,O
LISOJTZ,O,O,X,O,X,X,X,O,X,X,O
LISOJZT,O,O,X,O,X,X,X,X,X,X,O
LISOZTJ,O,O,X,O,X,X,X,X,X,O,O
LISOZJT,O,O,X,O,X,X,X,X,X,X,O
LIZTJSO,O,X,O,O,X,O,O,X,O,X,X
LIZTJOS,O,X,O,X,X,X,O,O,X,X,X
LIZTSJO,O,X,X,O,X,X,X,X,O,X,X
LIZTSOJ,O,X,X,O,X,X,X,X,X,X,X
LIZTOJS,X,X,O,X,X,X,X,O,X,O,X
LIZTOSJ,O,X,X,X,X,X,X,X,X,O,X
LIZJTSO,O,X,O,O,X,O,O,X,X,X,X
LIZJTOS,O,X,O,X,X,X,O,X,X,X,X
LIZJSTO,O,X,X,O,X,X,X,X,X,X,X
LIZJSOT,O,X,X,O,X,X,X,X,X,X,X
LIZJOTS,X,X,O,X,X,X,X,O,X,O,X
LIZJOST,O,X,X,O,X,X,X,X,X,X,X
LIZSTJO,O,X,X,O,X,X,X,X,O,X,X
LIZSTOJ,O,X,X,O,X,X,X,X,X,X,X
LIZSJTO,O,X,X,O,X,X,X,X,X,X,X
LIZSJOT,O,X,X,O,X,X,X,X,X,X,X
LIZSOTJ,O,X,X,O,X,X,X,X,O,O,X
LIZSOJT,O,X,X,X,X,X,X,X,X,X,X
LIZOTJS,X,X,O,X,X,X,X,O,O,O,X
LIZOTSJ,X,X,X,X,X,X,X,X,O,O,O
LIZOJTS,X,X,O,X,X,X,X,O,X,O,X
LIZOJST,X,X,X,O,X,X,X,X,X,X,O
LIZOSTJ,X,X,X,O,X,X,X,X,O,O,O
LIZOSJT,X,X,X,X,X,X,X,X,X,X,O
LIOTJSZ,X,X,X,O,X,O,X,O,X,O,X
LIOTJZS,X,X,O,O,X,X,O,O,O,O,X
LIOTSJZ,X,O,X,O,X,X,X,O,X,O,O
LIOTSZJ,X,O,X,O,X,X,X,X,X,O,O
LIOTZJS,X,X,X,O,X,X,X,O,O,O,X
LIOTZSJ,X,O,X,O,X,X,X,X,O,O,O
LIOJTSZ,X,X,X,O,X,O,X,O,X,O,X
LIOJTZS,X,X,O,O,X,X,O,O,X,O,X
LIOJSTZ,X,O,X,O,X,X,X,O,X,X,O
LIOJSZT,X,O,X,O,X,X,X,X,X,X,O
LIOJZTS,X,X,O,O,X,X,X,O,X,O,X
LIOJZST,X,O,X,O,X,X,X,X,X,X,O
LIOSTJZ,X,O,X,O,X,X,X,O,X,O,O
LIOSTZJ,X,O,X,O,X,X,X,X,X,O,O
LIOSJTZ,X,O,X,O,X,X,X,O,X,X,O
LIOSJZT,X,O,X,O,X,X,X,X,X,X,O
LIOSZTJ,X,O,X,O,X,X,X,X,X,O,O
LIOSZJT,X,O,X,O,X,X,X,X,X,X,O
LIOZTJS,X,X,O,O,X,X,X,O,O,O,X
LIOZTSJ,X,O,X,O,X,X,X,X,O,O,O
LIOZJTS,X,X,O,O,X,X,X,O,X,O,X
LIOZJST,X,O,X,O,X,X,X,X,X,X,O
LIOZSTJ,X,O,X,O,X,X,X,X,O,O,O
LIOZSJT,X,O,X,O,X,X,X,X,X,X,O
LJTISZO,O,X,X,O,X,O,O,X,X,X,X
LJTISOZ,O,X,X,O,X,O,X,O,X,X,X
LJTIZSO,O,X,X,O,X,O,O,X,X,X,X
LJTIZOS,X,X,X,X,X,X,O,O,X,X,X
LJTIOSZ,O,X,X,X,X,O,X,O,X,X,X
LJTIOZS,X,X,O,X,X,X,O,O,X,X,X
LJTSIZO,O,X,X,O,X,O,O,X,X,X,X
LJTSIOZ,O,X,X,O,X,O,X,O,X,X,X
LJTSZIO,O,X,X,O,X,X,X,X,X,X,X
LJTSZOI,O,X,X,O,X,X,X,X,X,X,X
LJTSOIZ,O,X,X,O,X,X,X,O,X,X,X
LJTSOZI,O,X,O,O,X,X,X,X,X,X,X
LJTZISO,O,X,O,O,X,O,O,X,X,X,X
LJTZIOS,O,X,O,X,X,X,O,O,X,X,X
LJTZSIO,O,X,O,O,X,X,X,X,X,X,X
LJTZSOI,O,X,O,O,X,X,X,X,X,X,X
LJTZOIS,O,X,O,X,X,X,X,O,X,X,X
LJTZOSI,O,X,O,X,X,X,X,X,X,X,X
LJTOISZ,O,X,X,X,X,O,X,O,X,X,X
LJTOIZS,X,X,O,X,X,X,O,O,X,X,X
LJTOSIZ,O,X,X,X,X,X,X,O,X,X,X
LJTOSZI,O,X,O,X,X,X,X,X,X,X,X
LJTOZIS,X,X,O,X,X,X,X,O,X,X,X
LJTOZSI,X,X,O,X,X,X,X,X,X,X,X
LJITSZO,O,X,X,O,X,O,O,X,X,X,X
LJITSOZ,O,X,X,O,X,O,X,O,X,X,X
LJITZSO,O,X,X,O,X,O,O,X,X,X,X
LJITZOS,X,X,X,X,X,X,O,O,X,X,X
LJITOSZ,O,X,X,X,X,O,X,O,X,X,X
LJITOZS,X,X,O,X,X,X,O,O,X,X,X
LJISTZO,O,X,X,O,X,O,O,X,X,X,X
LJISTOZ,O,X,X,O,X,O,X,X,X,X,X
LJISZTO,O,X,X,O,X,X,X,X,X,X,X
LJISZOT,O,X,X,O,X,X,X,X,X,X,X
LJISOTZ,O,X,X,O,X,X,X,O,X,X,X
LJISOZT,O,X,X,O,X,X,X,X,X,X,X
LJIZTSO,O,X,O,O,X,O,O,X,X,X,X
LJIZTOS,O,X,O,X,X,X,O,X,X,X,X
LJIZSTO,O,X,X,O,X,X,X,X,X,X,X
LJIZSOT,O,X,X,O,X,X,X,X,X,X,X
LJIZOTS,X,X,O,X,X,X,X,O,X,O,X
LJIZOST,O,X,X,O,X,X,X,X,X,X,X
LJIOTSZ,X,X,X,O,X,O,X,O,X,O,X
LJIOTZS,X,X,O,O,X,X,O,O,X,O,X
LJIOSTZ,O,X,X,O,X,X,X,O,X,X,O
LJIOSZT,O,X,X,O,X,X,X,X,X,X,O
LJIOZTS,X,X,O,O,X,X,X,O,X,O,X
LJIOZST,X,X,X,O,X,X,X,X,X,X,O
LJSTIZO,O,X,X,O,X,O,O,X,X,X,X
LJSTIOZ,O,X,X,O,X,O,X,X,X,X,X
LJSTZIO,O,X,X,O,X,X,X,X,X,X,X
LJSTZOI,O,X,X,O,X,X,X,X,X,X,X
LJSTOIZ,O,X,X,O,X,X,X,X,X,X,X
LJSTOZI,O,X,O,O,X,X,X,X,X,X,X
LJSITZO,O,X,X,O,X,O,O,X,X,X,X
LJSITOZ,O,X,X,O,X,O,X,X,X,X,X
LJSIZTO,O,X,X,O,X,X,X,X,X,X,X
LJSIZOT,O,X,X,O,X,X,X,X,X,X,X
LJSIOTZ,O,X,X,O,X,X,X,O,X,X,X
LJSIOZT,O,X,X,O,X,X,X,X,X,X,X
LJSZTIO,O,X,O,O,X,X,X,X,X,X,X
LJSZTOI,O,X,O,O,X,X,X,X,X,X,X
LJSZITO,O,X,X,O,X,X,X,X,X,X,X
LJSZIOT,O,X,X,O,X,X,X,X,X,X,X
LJSZOTI,O,X,O,O,X,X,X,X,X,X,X
LJSZOIT,O,X,X,O,X,X,X,X,X,X,X
LJSOTIZ,O,X,X,O,X,X,X,X,X,X,X
LJSOTZI,O,X,O,O,X,X,X,X,X,X,X
LJSOITZ,O,X,X,O,X,X,X,O,X,X,X
LJSOIZT,O,X,X,O,X,X,X,X,X,X,X
LJSOZTI,O,X,O,O,X,X,X,X,X,X,X
LJSOZIT,O,X,X,O,X,X,X,X,X,X,X
LJZTISO,O,X,O,O,X,O,O,X,X,X,X
LJZTIOS,O,X,O,X,X,X,O,X,X,X,X
LJZTSIO,O,X,O,O,X,X,X,X,X,X,X
