sequence,v115@RhB8EeA8BeE8AeD8Jex/IvhF8lBzhBfoB6oBmkBlrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgBzhBSoB3lBUoBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFzhBGjBRlBUoB3lBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFRhBziB+oBFlBXmB8rB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgB3hBCjB1qB8rBTtB,v115@RhB8EeA8BeE8AeD8Jex/IvhFlhBfoB6oBmkBzlB8rB,v115@RhB8EeA8BeE8AeD8Jei/IvhFxiBUlBFmBXnBToBGrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFChBxiB/rBFsBTtBUqB,v115@RhB8EeA8BeE8AeD8Jei/IvhFWmBUlBxnB/rBFsBTtB
LTOISZJ,X,O,O,X,O,X,O,O,X
LTOIZJS,X,X,O,X,O,X,X,X,X
LTOIZSJ,X,X,O,X,O,X,O,X,X
LTOJISZ,X,O,X,O,O,X,X,O,X
LTOJIZS,X,X,O,O,O,X,X,X,X
LTOJSIZ,O,O,X,O,O,X,X,X,X
LTOJSZI,O,O,X,O,O,X,X,X,X
LTOJZIS,O,X,O,O,O,X,X,X,X
LTOJZSI,O,O,O,O,O,X,X,X,X
LTOSIJZ,O,O,X,X,O,X,X,X,X
LTOSIZJ,O,O,O,X,O,X,O,X,X
LTOSJIZ,O,O,X,X,O,X,X,X,X
LTOSJZI,O,O,X,X,O,X,X,X,X
LTOSZIJ,O,O,O,X,O,X,O,X,X
LTOSZJI,O,O,O,X,O,X,O,X,X
LTOZIJS,X,X,O,O,O,X,X,X,X
LTOZISJ,O,X,O,X,O,X,O,X,X
LTOZJIS,O,X,O,O,O,X,X,X,X
LTOZJSI,O,O,O,O,O,X,O,X,X
LTOZSIJ,O,O,O,O,O,X,O,X,X
LTOZSJI,O,O,O,O,O,X,O,X,X
LITJSZO,X,O,X,X,O,X,X,X,X
LITJSOZ,X,O,X,O,X,X,X,X,X
LITJZSO,X,X,O,O,O,X,X,X,X
LITJZOS,X,X,O,O,O,X,X,X,X
LITJOSZ,X,O,X,O,X,X,X,X,X
LITJOZS,X,X,O,O,O,X,X,X,X
LITSJZO,X,O,X,X,O,X,X,X,X
LITSJOZ,X,O,X,O,X,X,X,X,X
LITSZJO,X,O,O,X,O,X,X,X,X
LITSZOJ,X,O,O,X,O,X,X,X,X
LITSOJZ,X,O,X,X,X,X,X,X,X
LITSOZJ,X,O,O,X,X,X,X,X,X
LITZJSO,X,X,O,O,O,X,X,X,O
LITZJOS,X,X,O,O,O,X,X,X,O
LITZSJO,X,X,O,O,O,X,X,X,X
LITZSOJ,X,X,O,O,O,X,X,X,X
LITZOJS,X,X,O,O,O,X,X,X,X
LITZOSJ,X,X,O,X,O,X,X,X,X
LITOJSZ,X,O,X,O,X,X,X,X,X
LITOJZS,X,X,O,O,O,X,X,X,X
LITOSJZ,X,O,X,X,X,X,X,X,X
LITOSZJ,X,O,O,X,X,X,X,X,X
LITOZJS,X,X,O,X,O,X,X,X,X
LITOZSJ,X,X,O,X,O,X,X,X,X
LIJTSZO,X,O,X,X,O,X,X,X,X
LIJTSOZ,X,O,X,O,X,X,X,X,X
LIJTZSO,X,X,O,O,O,X,X,X,X
LIJTZOS,X,X,O,O,O,X,X,X,X
LIJTOSZ,X,O,X,O,X,X,X,X,X
LIJTOZS,X,X,O,O,O,X,X,X,X
LIJSTZO,X,O,X,X,O,X,X,X,X
LIJSTOZ,X,O,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X
LIJZTSO,X,X,O,O,O,X,X,X,O
LIJZTOS,X,X,O,O,O,X,X,X,O
LIJZSTO,X,O,O,O,X,X,X,X,O
LIJZSOT,X,X,X,O,X,X,X,X,O
LIJZOTS,X,X,O,O,X,X,X,X,O
LIJZOST,X,X,X,O,X,X,X,X,O
LIJOTSZ,X,X,X,O,X,X,X,X,X
LIJOTZS,X,X,X,O,O,X,X,X,X
LIJOSTZ,X,O,X,X,X,X,X,X,X
LIJOSZT,X,X,X,X,X,X,X,X,X
LIJOZTS,X,X,X,O,X,X,X,X,X
LIJOZST,X,X,X,O,X,X,X,X,X
LISTJZO,X,O,X,X,X,X,X,X,X
LISTJOZ,X,O,X,X,X,X,X,X,X
LISTZJO,X,O,O,X,X,X,X,X,X
LISTZOJ,X,O,O,X,X,X,X,X,X
LISTOJZ,X,O,X,X,X,X,X,X,X
LISTOZJ,X,O,O,X,X,X,X,X,X
LISJTZO,X,O,X,X,X,X,X,X,X
LISJTOZ,X,O,X,X,X,X,X,X,X
LISJZTO,X,O,X,X,X,X,X,X,X
LISJZOT,X,X,X,X,X,X,X,X,X
LISJOTZ,X,O,X,X,X,X,X,X,X
LISJOZT,X,X,X,X,X,X,X,X,X
LISZTJO,X,O,O,X,X,X,X,X,X
LISZTOJ,X,O,O,X,X,X,O,X,X
LISZJTO,X,O,O,X,X,X,X,X,O
LISZJOT,X,X,X,X,X,X,X,X,O
LISZOTJ,X,X,X,X,X,X,O,X,X
LISZOJT,X,X,X,X,X,X,O,X,X
LISOTJZ,X,O,X,X,X,X,X,X,X
LISOTZJ,X,O,X,X,X,X,O,X,X
LISOJTZ,X,O,X,X,X,X,X,X,X
LISOJZT,X,X,X,X,X,X,O,X,X
LISOZTJ,X,X,X,X,X,X,O,X,X
LISOZJT,X,X,X,X,X,X,O,X,X
LIZTJSO,X,X,O,O,O,X,X,X,O
LIZTJOS,X,X,O,O,O,X,X,X,O
LIZTSJO,X,X,O,O,O,X,X,X,X
LIZTSOJ,X,X,O,O,O,X,O,X,X
LIZTOJS,X,X,O,O,O,X,X,X,X
LIZTOSJ,X,X,O,X,O,X,O,X,X
LIZJTSO,X,X,O,O,X,X,X,X,O
LIZJTOS,X,X,O,O,X,X,X,X,O
LIZJSTO,X,X,O,O,X,X,X,X,O
LIZJSOT,X,X,X,O,X,X,X,X,O
LIZJOTS,X,X,O,O,X,X,X,X,O
LIZJOST,X,X,X,O,X,X,X,X,O
LIZSTJO,X,X,O,O,X,X,X,X,X
LIZSTOJ,X,X,O,X,X,X,O,X,X
LIZSJTO,X,X,O,O,X,X,X,X,O
LIZSJOT,X,X,X,O,X,X,X,X,O
LIZSOTJ,X,X,X,X,X,X,O,X,X
LIZSOJT,X,X,X,O,X,X,O,X,X
LIZOTJS,X,X,O,X,X,X,X,X,X
LIZOTSJ,X,X,O,X,X,X,O,X,X
LIZOJTS,X,X,O,O,X,X,X,X,O
LIZOJST,X,X,X,O,X,X,O,X,O
LIZOSTJ,X,X,X,X,X,X,O,X,X
LIZOSJT,X,X,X,X,X,X,O,X,X
LIOTJSZ,X,X,X,X,X,X,X,X,X
LIOTJZS,X,X,O,X,X,X,X,X,X
LIOTSJZ,X,X,X,X,X,X,X,X,X
LIOTSZJ,X,X,O,X,X,X,O,X,X
LIOTZJS,X,X,O,X,X,X,X,X,X
LIOTZSJ,X,X,O,X,X,X,O,X,X
LIOJTSZ,X,X,X,X,X,X,X,X,X
LIOJTZS,X,X,X,X,X,X,X,X,X
LIOJSTZ,X,X,X,X,X,X,X,X,X
LIOJSZT,X,X,X,X,X,X,O,X,X
LIOJZTS,X,X,X,X,X,X,X,X,X
LIOJZST,X,X,X,X,X,X,O,X,X
LIOSTJZ,X,X,X,X,X,X,X,X,X
LIOSTZJ,X,X,X,X,X,X,O,X,X
LIOSJTZ,X,X,X,X,X,X,X,X,X
LIOSJZT,X,X,X,X,X,X,O,X,X
LIOSZTJ,X,X,X,X,X,X,O,X,X
LIOSZJT,X,X,X,X,X,X,O,X,X
LIOZTJS,X,X,O,X,X,X,X,X,X
LIOZTSJ,X,X,O,X,X,X,O,X,X
LIOZJTS,X,X,O,X,X,X,X,X,O
LIOZJST,X,X,X,X,X,X,O,X,O
LIOZSTJ,X,X,X,X,X,X,O,X,X
LIOZSJT,X,X,X,X,X,X,O,X,X
LJTISZO,X,O,X,X,O,X,X,X,X
LJTISOZ,X,O,X,O,X,X,X,X,X
LJTIZSO,X,X,O,O,O,X,X,X,X
LJTIZOS,X,X,O,O,O,X,X,X,X
LJTIOSZ,X,O,X,O,O,X,X,X,X
LJTIOZS,X,X,O,O,O,X,X,X,X
LJTSIZO,O,O,X,X,O,X,X,X,X
LJTSIOZ,O,O,X,O,X,X,X,X,X
LJTSZIO,O,O,X,O,O,X,X,X,X
LJTSZOI,O,O,X,O,O,X,X,X,X
LJTSOIZ,O,O,X,O,X,X,X,X,X
LJTSOZI,O,O,X,O,X,X,X,X,X
LJTZISO,O,X,O,O,O,X,X,X,X
LJTZIOS,O,X,O,O,O,X,X,X,X
LJTZSIO,O,O,O,O,O,X,X,X,X
LJTZSOI,O,O,O,O,O,X,X,X,X
LJTZOIS,O,X,O,O,O,X,X,X,X
LJTZOSI,O,O,O,O,O,X,X,X,X
LJTOISZ,X,O,X,O,O,X,X,O,X
LJTOIZS,X,X,O,O,O,X,X,X,X
LJTOSIZ,O,O,X,O,O,X,X,X,X
LJTOSZI,O,O,X,O,O,X,X,X,X
LJTOZIS,O,X,O,O,O,X,X,X,X
LJTOZSI,O,O,O,O,O,X,X,X,X
LJITSZO,X,O,X,X,O,X,X,X,X
LJITSOZ,X,O,X,O,X,X,X,X,X
LJITZSO,X,X,O,O,O,X,X,X,X
LJITZOS,X,X,O,O,O,X,X,X,X
LJITOSZ,X,O,X,O,O,X,X,X,X
LJITOZS,X,X,O,O,O,X,X,X,X
LJISTZO,O,O,X,X,O,O,X,X,X
LJISTOZ,X,O,X,X,X,O,X,X,X
LJISZTO,O,O,X,X,X,O,X,X,X
LJISZOT,O,X,X,X,X,O,X,X,X
LJISOTZ,X,O,X,X,X,O,X,X,X
LJISOZT,O,X,X,X,X,O,X,X,X
LJIZTSO,O,X,O,O,O,O,X,X,O
LJIZTOS,O,X,O,O,O,X,X,X,O
LJIZSTO,O,O,O,O,X,O,X,X,O
LJIZSOT,O,X,X,O,X,O,X,X,O
LJIZOTS,X,X,O,O,X,X,X,X,O
LJIZOST,X,X,X,O,X,X,X,X,O
LJIOTSZ,X,X,X,O,O,X,X,X,X
LJIOTZS,X,X,X,O,O,X,X,X,X
LJIOSTZ,X,O,X,X,O,O,X,X,X
LJIOSZT,X,X,X,X,X,O,X,X,X
LJIOZTS,X,X,X,O,O,O,X,X,X
LJIOZST,X,X,X,O,X,O,X,X,X
LJSTIZO,O,O,X,X,O,O,X,X,X
LJSTIOZ,O,O,X,O,X,O,X,O,X
LJSTZIO,O,O,X,O,O,O,X,X,X
LJSTZOI,O,O,X,O,O,O,X,O,X
LJSTOIZ,O,O,X,O,X,O,X,O,X
LJSTOZI,O,O,X,O,X,O,X,O,X
LJSITZO,O,O,X,X,O,O,X,X,X
LJSITOZ,O,O,X,X,X,O,X,O,X
LJSIZTO,O,O,X,X,X,O,X,X,X
LJSIZOT,O,X,X,X,X,O,X,X,X
LJSIOTZ,X,O,X,X,X,O,X,O,X
LJSIOZT,O,X,X,X,X,O,X,X,X
LJSZTIO,O,O,X,O,X,O,X,X,X
LJSZTOI,O,O,X,O,X,O,O,O,X
LJSZITO,O,O,X,O,X,O,X,X,X
LJSZIOT,O,X,X,O,X,O,X,X,X
LJSZOTI,O,X,X,O,X,O,O,O,X
LJSZOIT,O,X,X,O,X,O,O,X,X
LJSOTIZ,O,O,X,O,X,O,X,O,X
LJSOTZI,O,O,X,O,X,O,X,O,X
LJSOITZ,X,O,X,X,X,O,X,O,X
LJSOIZT,O,X,X,X,X,O,O,X,X
LJSOZTI,O,X,X,O,X,O,O,O,X
LJSOZIT,O,X,X,O,X,O,O,X,X
LJZTISO,O,X,O,O,O,O,X,X,O
LJZTIOS,O,X,O,O,O,X,X,X,O
LJZTSIO,O,O,O,O,O,O,X,X,X
LJZTSOI,O,O,O,O,O,O,O,X,X
LJZTOIS,O,X,O,O,O,X,X,X,X
LJZTOSI,O,O,O,O,O,X,O,X,X
LJZITSO,O,X,O,O,O,O,X,X,O
LJZITOS,O,X,O,O,O,X,X,X,O
LJZISTO,O,O,O,O,X,O,X,X,O
LJZISOT,O,X,X,O,X,O,X,X,O
LJZIOTS,X,X,O,O,X,X,X,X,O
LJZIOST,X,X,X,O,X,X,X,X,O
LJZSTIO,O,O,O,O,X,O,X,X,X
LJZSTOI,O,O,O,O,X,O,O,X,X
LJZSITO,O,O,O,O,X,O,X,X,O
LJZSIOT,O,X,X,O,X,O,X,X,O
LJZSOTI,O,X,X,O,X,O,O,X,X
LJZSOIT,O,X,X,O,X,O,O,X,X
LJZOTIS,X,X,O,O,X,O,X,X,X
LJZOTSI,X,X,O,O,X,O,O,X,X
LJZOITS,X,X,O,O,X,O,X,X,O
LJZOIST,X,X,X,O,X,O,O,X,O
LJZOSTI,X,X,X,O,X,O,O,X,X
LJZOSIT,X,X,X,O,X,O,O,X,X
LJOTISZ,X,O,X,O,O,X,X,O,X
LJOTIZS,X,X,X,O,O,X,X,X,X
LJOTSIZ,X,O,X,O,O,X,X,X,X
LJOTSZI,X,O,X,O,O,X,X,X,X
LJOTZIS,X,X,X,O,O,X,X,X,X
LJOTZSI,X,O,X,O,O,X,X,X,X
LJOITSZ,X,X,X,O,O,X,X,O,X
LJOITZS,X,X,X,O,O,X,X,X,X
LJOISTZ,X,O,X,X,O,O,X,X,X
LJOISZT,X,X,X,X,X,O,O,X,X
LJOIZTS,X,X,X,O,O,O,X,X,X
LJOIZST,X,X,X,O,X,O,O,X,X
LJOSTIZ,X,O,X,O,O,O,X,O,X
LJOSTZI,X,O,X,O,O,O,X,O,X
LJOSITZ,X,O,X,X,O,O,X,O,X
LJOSIZT,X,X,X,X,X,O,O,X,X
LJOSZTI,X,X,X,O,X,O,O,O,X
LJOSZIT,X,X,X,O,X,O,O,X,X
LJOZTIS,X,X,X,O,O,O,X,X,X
LJOZTSI,X,X,X,O,O,O,O,X,X
LJOZITS,X,X,X,O,O,O,X,X,X
LJOZIST,X,X,X,O,X,O,O,X,X
LJOZSTI,X,X,X,O,X,O,O,X,X
LJOZSIT,X,X,X,O,X,O,O,X,X
LSTIJZO,O,O,X,X,O,X,X,X,X
LSTIJOZ,O,O,X,O,X,X,X,O,X
LSTIZJO,O,O,O,X,O,X,X,X,X
LSTIZOJ,O,O,O,X,O,X,X,X,X
LSTIOJZ,O,O,X,X,X,X,X,O,X
LSTIOZJ,O,O,O,X,X,X,X,O,X
LSTJIZO,O,O,X,X,O,O,X,X,X
LSTJIOZ,O,O,X,O,X,O,X,O,X
LSTJZIO,O,O,X,O,O,O,X,X,X
LSTJZOI,O,O,X,O,O,O,X,O,X
LSTJOIZ,O,O,X,O,X,O,X,O,X
LSTJOZI,O,O,X,O,X,O,X,O,X
LSTZIJO,O,O,O,O,O,O,X,X,X
LSTZIOJ,O,O,O,O,O,O,O,X,X
LSTZJIO,O,O,O,O,O,O,X,X,X
LSTZJOI,O,O,O,O,O,O,O,O,X
LSTZOIJ,O,O,O,O,O,O,O,O,X
LSTZOJI,O,O,O,O,O,O,O,O,X
LSTOIJZ,O,O,X,X,X,X,X,O,X
LSTOIZJ,O,O,O,X,X,O,O,O,X
LSTOJIZ,O,O,X,X,X,O,X,O,X
LSTOJZI,O,O,X,X,X,O,X,O,X
LSTOZIJ,O,O,O,X,X,O,O,O,X
LSTOZJI,O,O,O,X,X,O,O,O,X
LSITJZO,O,O,X,X,X,X,X,X,X
LSITJOZ,O,O,X,X,X,X,X,O,X
LSITZJO,O,O,O,X,X,X,X,X,X
LSITZOJ,O,O,O,X,X,X,X,X,X
LSITOJZ,O,O,X,X,X,X,X,O,X
LSITOZJ,O,O,O,X,X,X,X,O,X
LSIJTZO,O,O,X,X,X,O,X,X,X
LSIJTOZ,O,O,X,X,X,O,X,O,X
LSIJZTO,O,O,X,X,X,O,X,X,X
LSIJZOT,O,X,X,X,X,O,X,X,X
LSIJOTZ,X,O,X,X,X,O,X,O,X
LSIJOZT,O,X,X,X,X,O,X,X,X
LSIZTJO,O,O,O,X,X,O,X,X,X
LSIZTOJ,O,O,O,X,X,O,O,X,X
LSIZJTO,O,O,O,X,X,O,X,X,O
LSIZJOT,O,X,X,X,X,O,X,X,O
LSIZOTJ,O,X,X,X,X,O,O,X,X
LSIZOJT,X,X,X,X,X,O,O,X,X
LSIOTJZ,X,O,X,X,X,X,X,O,X
LSIOTZJ,X,O,X,X,X,O,O,O,X
LSIOJTZ,X,O,X,X,X,O,X,O,X
LSIOJZT,X,X,X,X,X,O,O,X,X
LSIOZTJ,X,X,X,X,X,O,O,X,X
LSIOZJT,X,X,X,X,X,O,O,X,X
LSJTIZO,O,O,X,X,O,O,X,X,X
LSJTIOZ,O,O,X,O,X,O,X,O,X
LSJTZIO,O,O,X,O,O,O,X,X,X
LSJTZOI,O,O,X,O,O,O,X,O,X
LSJTOIZ,O,O,X,O,X,O,X,O,X
LSJTOZI,O,O,X,O,X,O,X,O,X
LSJITZO,O,O,X,X,O,O,X,X,X
LSJITOZ,O,O,X,X,X,O,X,O,X
LSJIZTO,O,O,X,X,X,O,X,X,X
LSJIZOT,O,X,X,X,X,O,X,X,X
LSJIOTZ,X,O,X,X,X,O,X,O,X
LSJIOZT,O,X,X,X,X,O,X,X,X
LSJZTIO,O,O,X,O,X,O,X,X,X
LSJZTOI,O,O,X,O,X,O,O,O,X
LSJZITO,O,O,X,O,X,O,X,X,X
LSJZIOT,O,X,X,O,X,O,X,X,X
LSJZOTI,O,X,X,O,X,O,O,O,X
LSJZOIT,O,X,X,O,X,O,O,X,X
LSJOTIZ,O,O,X,O,X,O,X,O,X
LSJOTZI,O,O,X,O,X,O,X,O,X
LSJOITZ,X,O,X,X,X,O,X,O,X
LSJOIZT,O,X,X,X,X,O,O,X,X
LSJOZTI,O,X,X,O,X,O,O,O,X
LSJOZIT,O,X,X,O,X,O,O,X,X
LSZTIJO,O,O,O,O,O,O,X,X,X
LSZTIOJ,O,O,O,O,O,O,O,X,X
LSZTJIO,O,O,O,O,O,O,X,X,X
LSZTJOI,O,O,O,O,O,O,O,O,X
LSZTOIJ,O,O,O,O,O,O,O,O,X
LSZTOJI,O,O,O,O,O,O,O,O,X
LSZITJO,O,O,O,O,X,O,X,X,X
LSZITOJ,O,O,O,X,X,O,O,X,X
LSZIJTO,O,O,O,O,X,O,X,X,O
LSZIJOT,O,X,X,O,X,O,X,X,O
LSZIOTJ,O,X,X,X,X,O,O,X,X
LSZIOJT,X,X,X,O,X,O,O,X,X
LSZJTIO,O,O,O,O,X,O,X,X,X
LSZJTOI,O,O,O,O,X,O,O,O,X
LSZJITO,O,O,O,O,X,O,X,X,O
LSZJIOT,O,X,X,O,X,O,X,X,O
LSZJOTI,O,X,X,O,X,O,O,O,X
LSZJOIT,O,X,X,O,X,O,O,X,X
LSZOTIJ,O,X,X,X,X,O,O,O,X
LSZOTJI,O,X,X,X,X,O,O,O,X
LSZOITJ,O,X,X,X,X,O,O,X,X
LSZOIJT,X,X,X,O,X,O,O,X,X
LSZOJTI,O,X,X,O,X,O,O,O,X
LSZOJIT,O,X,X,O,X,O,O,X,X
LSOTIJZ,O,O,X,X,X,X,X,O,X
LSOTIZJ,O,O,X,X,X,O,O,O,X
LSOTJIZ,O,O,X,X,X,O,X,O,X
LSOTJZI,O,O,X,X,X,O,X,O,X
LSOTZIJ,O,O,X,X,X,O,O,O,X
LSOTZJI,O,O,X,X,X,O,O,O,X
LSOITJZ,X,O,X,X,X,X,X,O,X
LSOITZJ,X,O,X,X,X,O,O,O,X
LSOIJTZ,X,O,X,X,X,O,X,O,X
LSOIJZT,X,X,X,X,X,O,O,X,X
LSOIZTJ,X,X,X,X,X,O,O,X,X
LSOIZJT,X,X,X,X,X,O,O,X,X
LSOJTIZ,O,O,X,X,X,O,X,O,X
LSOJTZI,O,O,X,X,X,O,X,O,X
LSOJITZ,X,O,X,X,X,O,X,O,X
LSOJIZT,O,X,X,X,X,O,O,X,X
LSOJZTI,O,X,X,X,X,O,O,O,X
LSOJZIT,O,X,X,X,X,O,O,X,X
LSOZTIJ,O,X,X,X,X,O,O,O,X
LSOZTJI,O,X,X,X,X,O,O,O,X
LSOZITJ,O,X,X,X,X,O,O,X,X
LSOZIJT,X,X,X,X,X,O,O,X,X
LSOZJTI,O,X,X,X,X,O,O,O,X
LSOZJIT,O,X,X,X,X,O,O,X,X
LZTIJSO,X,X,O,O,O,X,X,X,O
LZTIJOS,X,X,O,O,O,X,X,X,O
LZTISJO,O,X,O,O,O,X,X,X,X
LZTISOJ,O,X,O,O,O,X,O,X,X
LZTIOJS,X,X,O,O,O,X,X,X,X
LZTIOSJ,O,X,O,X,O,X,O,X,X
LZTJISO,O,X,O,O,O,O,X,X,O
LZTJIOS,O,X,O,O,O,X,X,X,O
LZTJSIO,O,O,O,O,O,O,X,X,X
LZTJSOI,O,O,O,O,O,O,O,X,X
LZTJOIS,O,X,O,O,O,X,X,X,X
LZTJOSI,O,O,O,O,O,X,O,X,X
LZTSIJO,O,O,O,O,O,O,X,X,X
LZTSIOJ,O,O,O,O,O,O,O,X,X
LZTSJIO,O,O,O,O,O,O,X,X,X
LZTSJOI,O,O,O,O,O,O,O,X,X
LZTSOIJ,O,O,O,O,O,O,O,X,X
LZTSOJI,O,O,O,O,O,O,O,X,X
LZTOIJS,X,X,O,O,O,X,X,X,X
LZTOISJ,O,X,O,X,O,O,O,X,X
LZTOJIS,O,X,O,O,O,O,X,X,X
LZTOJSI,O,O,O,O,O,O,O,X,X
LZTOSIJ,O,O,O,O,O,O,O,X,X
LZTOSJI,O,O,O,O,O,O,O,X,X
LZITJSO,X,X,O,O,O,X,X,X,O
LZITJOS,X,X,O,O,O,X,X,X,O
LZITSJO,O,X,O,O,O,X,X,X,X
LZITSOJ,O,X,O,O,O,X,O,X,X
LZITOJS,X,X,O,O,O,X,X,X,X
LZITOSJ,O,X,O,X,O,X,O,X,X
LZIJTSO,X,X,O,O,X,X,X,X,O
LZIJTOS,X,X,O,O,X,X,X,X,O
LZIJSTO,X,X,O,O,X,X,X,X,O
LZIJSOT,X,X,X,O,X,X,X,X,O
LZIJOTS,X,X,O,O,X,X,X,X,O
LZIJOST,X,X,X,O,X,X,X,X,O
LZISTJO,O,X,O,O,X,X,X,X,X
LZISTOJ,O,X,O,O,X,X,O,X,X
LZISJTO,O,X,O,O,X,X,X,X,O
LZISJOT,X,X,X,O,X,X,X,X,O
LZISOTJ,O,X,X,X,X,X,O,X,X
LZISOJT,X,X,X,O,X,X,O,X,X
LZIOTJS,X,X,O,X,X,X,X,X,X
LZIOTSJ,X,X,O,X,X,X,O,X,X
LZIOJTS,X,X,O,O,X,X,X,X,O
LZIOJST,X,X,X,O,X,X,O,X,O
LZIOSTJ,X,X,X,X,X,X,O,X,X
LZIOSJT,X,X,X,X,X,X,O,X,X
LZJTISO,O,X,O,O,O,O,X,X,O
LZJTIOS,O,X,O,O,O,X,X,X,O
LZJTSIO,O,O,O,O,O,O,X,X,X
LZJTSOI,O,O,O,O,O,O,O,X,X
LZJTOIS,O,X,O,O,O,X,X,X,X
LZJTOSI,O,O,O,O,O,X,O,X,X
LZJITSO,O,X,O,O,O,O,X,X,O
LZJITOS,O,X,O,O,O,X,X,X,O
LZJISTO,O,O,O,O,X,O,X,X,O
LZJISOT,O,X,X,O,X,O,X,X,O
LZJIOTS,X,X,O,O,X,X,X,X,O
LZJIOST,X,X,X,O,X,X,X,X,O
LZJSTIO,O,O,O,O,X,O,X,X,X
LZJSTOI,O,O,O,O,X,O,O,X,X
LZJSITO,O,O,O,O,X,O,X,X,O
LZJSIOT,O,X,X,O,X,O,X,X,O
LZJSOTI,O,X,X,O,X,O,O,X,X
LZJSOIT,O,X,X,O,X,O,O,X,X
LZJOTIS,X,X,O,O,X,O,X,X,X
LZJOTSI,X,X,O,O,X,O,O,X,X
LZJOITS,X,X,O,O,X,O,X,X,O
LZJOIST,X,X,X,O,X,O,O,X,O
LZJOSTI,X,X,X,O,X,O,O,X,X
LZJOSIT,X,X,X,O,X,O,O,X,X
LZSTIJO,O,O,O,O,O,O,X,X,X
LZSTIOJ,O,O,O,O,O,O,O,X,X
LZSTJIO,O,O,O,O,O,O,X,X,X
LZSTJOI,O,O,O,O,O,O,O,X,X
LZSTOIJ,O,O,O,O,O,O,O,X,X
LZSTOJI,O,O,O,O,O,O,O,X,X
LZSITJO,O,O,O,O,X,O,X,X,X
LZSITOJ,O,O,O,O,X,O,O,X,X
LZSIJTO,O,O,O,O,X,O,X,X,O
LZSIJOT,O,X,X,O,X,O,X,X,O
LZSIOTJ,O,X,X,X,X,O,O,X,X
LZSIOJT,X,X,X,O,X,O,O,X,X
LZSJTIO,O,O,O,O,X,O,X,X,X
LZSJTOI,O,O,O,O,X,O,O,X,X
LZSJITO,O,O,O,O,X,O,X,X,O
LZSJIOT,O,X,X,O,X,O,X,X,O
LZSJOTI,O,X,X,O,X,O,O,X,X
LZSJOIT,O,X,X,O,X,O,O,X,X
LZSOTIJ,O,X,X,X,X,O,O,X,X
LZSOTJI,O,X,X,X,X,O,O,X,X
LZSOITJ,O,X,X,X,X,O,O,X,X
LZSOIJT,X,X,X,O,X,O,O,X,X
LZSOJTI,O,X,X,O,X,O,O,X,X
LZSOJIT,O,X,X,O,X,O,O,X,X
LZOTIJS,X,X,O,O,O,X,X,X,X
LZOTISJ,X,X,O,X,O,O,O,X,X
LZOTJIS,X,X,O,O,O,O,X,X,X
LZOTJSI,X,X,O,O,O,O,O,X,X
LZOTSIJ,X,X,O,O,O,O,O,X,X
LZOTSJI,X,X,O,O,O,O,O,X,X
LZOITJS,X,X,O,X,O,X,X,X,X
LZOITSJ,X,X,O,X,O,O,O,X,X
LZOIJTS,X,X,O,O,X,X,X,X,O
LZOIJST,X,X,X,O,X,X,O,X,O
LZOISTJ,X,X,X,X,X,O,O,X,X
LZOISJT,X,X,X,X,X,O,O,X,X
LZOJTIS,X,X,O,O,O,O,X,X,X
LZOJTSI,X,X,O,O,O,O,O,X,X
LZOJITS,X,X,O,O,X,O,X,X,O
LZOJIST,X,X,X,O,X,O,O,X,O
LZOJSTI,X,X,X,O,X,O,O,X,X
LZOJSIT,X,X,X,O,X,O,O,X,X
LZOSTIJ,X,X,X,X,O,O,O,X,X
LZOSTJI,X,X,X,X,O,O,O,X,X
LZOSITJ,X,X,X,X,X,O,O,X,X
LZOSIJT,X,X,X,O,X,O,O,X,X
LZOSJTI,X,X,X,O,X,O,O,X,X
LZOSJIT,X,X,X,O,X,O,O,X,X
LOTIJSZ,X,O,X,O,O,X,X,O,X
LOTIJZS,X,X,O,O,O,X,X,X,X
LOTISJZ,X,O,X,X,O,X,X,O,X
LOTISZJ,X,O,O,X,O,X,O,O,X
LOTIZJS,X,X,O,X,O,X,X,X,X
LOTIZSJ,X,X,O,X,O,X,O,X,X
LOTJISZ,X,O,X,O,O,X,X,O,X
LOTJIZS,X,X,O,O,O,X,X,X,X
LOTJSIZ,X,O,X,O,O,X,X,X,X
LOTJSZI,X,O,X,O,O,X,X,X,X
LOTJZIS,X,X,O,O,O,X,X,X,X
LOTJZSI,X,O,O,O,O,X,X,X,X
LOTSIJZ,X,O,X,X,O,X,X,X,X
LOTSIZJ,X,O,O,X,O,X,O,X,X
LOTSJIZ,X,O,X,X,O,X,X,X,X
LOTSJZI,X,O,X,X,O,X,X,X,X
LOTSZIJ,X,O,O,X,O,X,O,X,X
LOTSZJI,X,O,O,X,O,X,O,X,X
LOTZIJS,X,X,O,O,O,X,X,X,X
LOTZISJ,X,X,O,X,O,X,O,X,X
LOTZJIS,X,X,O,O,O,X,X,X,X
