sequence,v115@9gA8IeA8IeB8DeA8CeC8BeD8Kez/IvhFfmBaoB5oBG?nBlmB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhF0gBaoB5oBG?nBlmBzqB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KeWFJvhFxgB/nBTmB6?tBFoB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhFThBmiB5oB0?nBFrB6qB
TZOLJIS,O,X,O,O
TZOLJSI,O,X,O,O
TZOLSIJ,O,X,O,O
TZOLSJI,O,X,O,O
TZOJILS,O,X,O,O
TZOJISL,O,X,O,O
TZOJLIS,O,X,O,O
TZOJLSI,O,X,O,O
TZOJSIL,O,X,O,O
TZOJSLI,O,X,O,O
TZOSILJ,O,X,O,O
TZOSIJL,O,X,O,O
TZOSLIJ,O,X,O,O
TZOSLJI,O,X,O,O
TZOSJIL,O,X,O,O
TZOSJLI,O,X,O,O
TOILJSZ,X,O,O,X
TOILJZS,O,X,X,X
TOILSJZ,X,O,O,X
TOILSZJ,X,O,X,O
TOILZJS,O,X,X,O
TOILZSJ,O,X,X,O
TOIJLSZ,X,O,O,X
TOIJLZS,O,X,X,X
TOIJSLZ,X,O,O,X
TOIJSZL,X,O,X,O
TOIJZLS,O,X,X,O
TOIJZSL,O,X,X,O
TOISLJZ,X,O,O,X
TOISLZJ,X,O,X,O
TOISJLZ,X,O,O,X
TOISJZL,X,O,X,O
TOISZLJ,X,O,X,O
TOISZJL,X,O,X,O
TOIZLJS,O,X,X,O
TOIZLSJ,O,X,X,O
TOIZJLS,O,X,X,O
TOIZJSL,O,X,X,O
TOIZSLJ,O,X,X,O
TOIZSJL,O,X,X,O
TOLIJSZ,X,O,O,X
TOLIJZS,O,X,X,X
TOLISJZ,X,O,O,X
TOLISZJ,X,O,X,O
TOLIZJS,O,X,X,O
TOLIZSJ,O,X,X,O
TOLJISZ,X,O,O,X
TOLJIZS,O,X,X,X
TOLJSIZ,X,O,O,X
TOLJSZI,X,O,O,X
TOLJZIS,O,X,X,X
TOLJZSI,O,X,X,X
TOLSIJZ,X,O,O,X
TOLSIZJ,X,O,X,O
TOLSJIZ,X,O,O,X
TOLSJZI,X,O,O,X
TOLSZIJ,X,O,X,O
TOLSZJI,X,O,X,O
TOLZIJS,O,X,X,O
TOLZISJ,O,X,X,O
TOLZJIS,O,X,X,O
TOLZJSI,O,X,X,O
TOLZSIJ,O,X,X,O
TOLZSJI,O,X,X,O
TOJILSZ,X,O,O,X
TOJILZS,O,X,X,X
TOJISLZ,X,O,O,X
TOJISZL,X,O,X,O
TOJIZLS,O,X,X,O
TOJIZSL,O,X,X,O
TOJLISZ,X,O,O,X
TOJLIZS,O,X,X,X
TOJLSIZ,X,O,O,X
TOJLSZI,X,O,O,X
TOJLZIS,O,X,X,X
TOJLZSI,O,X,X,X
TOJSILZ,X,O,O,X
TOJSIZL,X,O,X,O
TOJSLIZ,X,O,O,X
TOJSLZI,X,O,O,X
TOJSZIL,X,O,X,O
TOJSZLI,X,O,X,O
TOJZILS,O,X,X,O
TOJZISL,O,X,X,O
TOJZLIS,O,X,X,O
TOJZLSI,O,X,X,O
TOJZSIL,O,X,X,O
TOJZSLI,O,X,X,O
TOSILJZ,X,O,O,X
TOSILZJ,X,O,X,O
TOSIJLZ,X,O,O,X
TOSIJZL,X,O,X,O
TOSIZLJ,X,O,X,O
TOSIZJL,X,O,X,O
TOSLIJZ,X,O,O,X
TOSLIZJ,X,O,X,O
TOSLJIZ,X,O,O,X
TOSLJZI,X,O,O,X
TOSLZIJ,X,O,X,O
TOSLZJI,X,O,X,O
TOSJILZ,X,O,O,X
TOSJIZL,X,O,X,O
TOSJLIZ,X,O,O,X
TOSJLZI,X,O,O,X
TOSJZIL,X,O,X,O
TOSJZLI,X,O,X,O
TOSZILJ,X,O,X,O
TOSZIJL,X,O,X,O
TOSZLIJ,X,O,X,O
TOSZLJI,X,O,X,O
TOSZJIL,X,O,X,O
TOSZJLI,X,O,X,O
TOZILJS,O,X,X,O
TOZILSJ,O,X,X,O
TOZIJLS,O,X,X,O
TOZIJSL,O,X,X,O
TOZISLJ,O,X,X,O
TOZISJL,O,X,X,O
TOZLIJS,O,X,X,O
TOZLISJ,O,X,X,O
TOZLJIS,O,X,X,O
TOZLJSI,O,X,X,O
TOZLSIJ,O,X,X,O
TOZLSJI,O,X,X,O
TOZJILS,O,X,X,O
TOZJISL,O,X,X,O
TOZJLIS,O,X,X,O
TOZJLSI,O,X,X,O
TOZJSIL,O,X,X,O
TOZJSLI,O,X,X,O
TOZSILJ,O,X,X,O
TOZSIJL,O,X,X,O
TOZSLIJ,O,X,X,O
TOZSLJI,O,X,X,O
TOZSJIL,O,X,X,O
TOZSJLI,O,X,X,O
ITLJSZO,X,O,X,X
ITLJSOZ,X,O,X,X
ITLJZSO,O,X,X,X
ITLJZOS,O,X,X,X
ITLJOSZ,X,O,X,X
ITLJOZS,O,X,X,X
ITLSJZO,X,O,X,X
ITLSJOZ,X,O,X,X
ITLSZJO,X,O,X,O
ITLSZOJ,X,X,X,O
ITLSOJZ,X,O,X,X
ITLSOZJ,X,O,X,O
ITLZJSO,O,X,X,O
ITLZJOS,O,X,X,O
ITLZSJO,O,X,X,O
ITLZSOJ,O,X,X,O
ITLZOJS,O,X,X,O
ITLZOSJ,O,X,X,O
ITLOJSZ,X,O,X,X
ITLOJZS,O,X,X,X
ITLOSJZ,X,O,X,X
ITLOSZJ,X,O,X,O
ITLOZJS,O,X,X,O
ITLOZSJ,O,X,X,O
ITJLSZO,X,O,X,X
ITJLSOZ,X,O,X,X
ITJLZSO,O,X,X,X
ITJLZOS,O,X,X,X
ITJLOSZ,X,O,X,X
ITJLOZS,O,X,X,X
ITJSLZO,X,O,X,X
ITJSLOZ,X,O,X,X
ITJSZLO,X,O,X,O
ITJSZOL,X,X,X,O
ITJSOLZ,X,O,X,X
ITJSOZL,X,O,X,O
ITJZLSO,O,X,X,O
ITJZLOS,O,X,X,O
ITJZSLO,O,X,X,O
ITJZSOL,O,X,X,O
ITJZOLS,O,X,X,O
ITJZOSL,O,X,X,O
ITJOLSZ,X,O,X,X
ITJOLZS,O,X,X,X
ITJOSLZ,X,O,X,X
ITJOSZL,X,O,X,O
ITJOZLS,O,X,X,O
ITJOZSL,O,X,X,O
ITSLJZO,X,O,X,X
ITSLJOZ,X,O,X,X
ITSLZJO,X,O,X,O
ITSLZOJ,X,X,X,O
ITSLOJZ,X,O,X,X
ITSLOZJ,X,O,X,O
ITSJLZO,X,O,X,X
ITSJLOZ,X,O,X,X
ITSJZLO,X,O,X,O
ITSJZOL,X,X,X,O
ITSJOLZ,X,O,X,X
ITSJOZL,X,O,X,O
ITSZLJO,X,O,X,O
ITSZLOJ,X,X,X,O
ITSZJLO,X,O,X,O
ITSZJOL,X,X,X,O
ITSZOLJ,X,X,X,O
ITSZOJL,X,X,X,O
ITSOLJZ,X,O,X,X
