sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TSIOLZJ,X,X,X,X,O,O,X,O,X
TSIOJLZ,O,X,X,X,X,O,X,X,X
TSIOJZL,O,X,O,X,X,O,X,X,X
TSIOZLJ,O,X,O,X,O,O,X,O,X
TSIOZJL,O,X,O,X,O,O,X,O,X
TSLIJZO,X,O,X,X,X,O,X,X,X
TSLIJOZ,X,X,X,X,X,O,X,X,O
TSLIZJO,X,O,X,O,O,O,X,X,X
TSLIZOJ,X,O,X,O,O,O,X,X,X
TSLIOJZ,X,X,X,X,X,X,X,X,O
TSLIOZJ,X,X,X,X,O,X,X,O,X
TSLJIZO,O,O,X,O,X,O,O,X,X
TSLJIOZ,O,X,X,X,X,O,X,X,O
TSLJZIO,O,O,X,O,X,O,O,X,X
TSLJZOI,O,O,X,O,X,O,O,X,X
TSLJOIZ,O,X,X,X,X,O,X,X,O
TSLJOZI,O,X,X,X,X,O,X,X,X
TSLZIJO,X,O,X,O,O,O,O,X,X
TSLZIOJ,X,O,X,O,O,O,O,X,X
TSLZJIO,O,O,X,O,O,O,O,X,X
TSLZJOI,O,O,X,O,O,O,O,X,X
TSLZOIJ,X,O,X,O,O,O,O,X,X
TSLZOJI,X,O,X,O,O,O,O,X,X
TSLOIJZ,X,X,X,X,X,O,X,X,O
TSLOIZJ,X,X,X,X,O,O,X,O,X
TSLOJIZ,X,X,X,X,X,O,X,X,O
TSLOJZI,X,X,X,X,X,O,X,X,X
TSLOZIJ,X,X,X,X,O,O,X,O,X
TSLOZJI,X,X,X,X,O,O,X,O,X
TSJILZO,O,X,X,O,X,X,X,X,X
TSJILOZ,O,X,X,X,X,O,X,X,O
TSJIZLO,X,O,O,O,X,X,O,X,X
TSJIZOL,O,O,O,O,X,O,O,X,X
TSJIOLZ,O,X,X,X,X,O,X,X,X
TSJIOZL,O,X,O,X,X,O,X,X,X
TSJLIZO,O,O,X,O,X,O,O,X,X
TSJLIOZ,O,X,X,X,X,O,X,X,O
TSJLZIO,O,O,X,O,X,O,O,X,X
TSJLZOI,O,O,X,O,X,O,O,X,X
TSJLOIZ,O,X,X,X,X,O,X,X,O
TSJLOZI,O,X,X,X,X,O,X,X,X
TSJZILO,X,O,O,O,X,X,O,X,X
TSJZIOL,O,O,O,O,X,O,O,X,X
TSJZLIO,X,O,O,O,X,X,O,X,X
TSJZLOI,X,O,O,O,X,X,O,X,X
TSJZOIL,O,O,O,O,X,O,O,X,X
TSJZOLI,O,O,O,O,X,O,O,X,X
TSJOILZ,O,X,X,X,X,O,X,X,X
TSJOIZL,O,O,O,X,X,O,X,X,X
TSJOLIZ,O,O,X,X,X,O,X,X,X
TSJOLZI,O,O,X,X,X,O,X,X,X
