sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TSJILZO,O,O,O,X,X,O,O,X
TSJILOZ,O,O,X,X,X,O,X,X
TSJIZLO,O,O,O,O,O,O,O,X
TSJIZOL,O,O,O,O,O,X,O,X
TSJIOLZ,O,O,X,X,X,O,X,X
TSJIOZL,O,O,X,X,X,X,O,X
TSJLIZO,O,O,O,X,X,O,O,X
TSJLIOZ,O,O,X,X,X,O,X,X
TSJLZIO,O,O,O,O,X,X,X,X
TSJLZOI,O,O,O,O,X,X,X,X
TSJLOIZ,O,O,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X
TSJZILO,O,O,O,O,O,X,O,X
TSJZIOL,O,O,O,O,O,X,O,X
TSJZLIO,O,X,O,O,O,X,X,X
TSJZLOI,X,X,O,O,X,X,X,X
TSJZOIL,O,X,O,O,O,X,X,O
TSJZOLI,X,X,O,O,X,X,X,O
TSJOILZ,O,O,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,O,X
TSJOLIZ,O,O,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,X,X,X
TSJOZIL,O,O,X,O,X,X,X,O
TSJOZLI,O,O,X,O,X,X,X,O
TSZILJO,O,X,O,O,O,X,O,X
TSZILOJ,X,X,O,O,X,X,O,X
TSZIJLO,O,O,O,O,O,X,O,X
TSZIJOL,O,O,O,O,O,X,O,X
TSZIOLJ,X,X,O,X,X,X,O,X
TSZIOJL,O,X,O,O,O,X,O,X
TSZLIJO,O,X,O,O,O,X,X,X
TSZLIOJ,X,X,O,O,X,X,X,X
TSZLJIO,O,X,O,O,O,X,X,X
TSZLJOI,X,X,O,O,X,X,X,X
TSZLOIJ,X,X,O,O,X,X,X,X
TSZLOJI,X,X,O,O,X,X,X,X
TSZJILO,O,O,O,O,O,X,O,X
TSZJIOL,O,O,O,O,O,X,O,X
TSZJLIO,O,X,O,O,O,X,X,X
TSZJLOI,X,X,O,O,X,X,X,X
TSZJOIL,O,X,O,O,O,X,X,O
TSZJOLI,X,X,O,O,X,X,X,O
TSZOILJ,X,X,O,X,X,X,X,X
TSZOIJL,O,X,O,O,O,X,X,O
TSZOLIJ,X,X,O,O,X,X,X,X
TSZOLJI,X,X,O,O,X,X,X,X
TSZOJIL,O,X,O,O,O,X,X,O
TSZOJLI,X,X,O,O,X,X,X,O
TSOILJZ,O,O,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,O,X
TSOIZLJ,O,O,X,X,X,X,O,X
