sequence,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFylBfnBOpB0nBzp?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeT/IvhFxhBllBcrB2sBip?BXqB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFUhBFiBzkBfrB2u?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jem/IvhFUhBFiBTkBfrByu?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFXiBcpBeqBzlBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeyEJvhFUhBFiBfrBOpBzp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Je2EJvhFUhBFiBfrBaqBTp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8JeZEJvhFFgBXhBqpBzmB0n?BmqB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnB6pBOpB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JemAJvhFfnBxkBTkB0nByu?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnBOpB6pB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeOEJvhF8kBXiBzlByuBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFXhBikBzmB0nB1u?BmqB
ISJOZLT,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZTLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ISZTJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZTJOL,X,X,O,X,O,O,O,X,X,X,O,X,X
ISZTOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ISZTOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ISZLTJO,X,X,O,O,O,X,X,X,X,X,X,O,X
ISZLTOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
ISZLJTO,X,X,O,O,O,X,X,X,X,X,X,O,X
ISZLJOT,X,X,O,O,O,X,X,X,X,X,X,O,X
ISZLOTJ,X,X,X,O,X,O,O,X,X,X,X,O,X
ISZLOJT,X,X,X,O,O,O,O,X,X,X,X,O,X
ISZJTLO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZJTOL,X,X,O,X,O,O,O,X,X,X,O,X,X
ISZJLTO,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZJLOT,X,X,O,O,O,X,X,X,X,X,X,X,X
ISZJOTL,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZJOLT,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZOTLJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ISZOTJL,X,X,O,X,X,O,O,X,X,X,X,X,X
ISZOLTJ,X,X,X,O,X,O,O,X,X,X,X,O,X
ISZOLJT,X,X,X,O,O,O,O,X,X,X,X,O,X
ISZOJTL,X,X,O,X,O,O,O,X,X,X,X,X,X
ISZOJLT,X,X,O,X,O,O,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,O,X,O,O,O,O,X,O,X,X
ISOTLZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ISOTJLZ,O,X,O,X,X,O,O,X,O,X,O,X,X
ISOTJZL,O,X,O,X,O,O,O,X,X,X,O,X,X
ISOTZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
ISOTZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
ISOLTJZ,X,X,X,O,X,O,O,O,O,X,X,X,X
ISOLTZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
ISOLJTZ,O,X,X,O,X,O,O,O,X,X,X,X,X
ISOLJZT,O,X,X,O,O,O,O,O,X,X,X,O,X
ISOLZTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
ISOLZJT,X,X,X,O,X,O,O,O,X,X,X,O,X
ISOJTLZ,O,X,O,X,X,O,O,X,X,X,O,X,X
ISOJTZL,O,X,O,X,O,O,O,X,X,X,O,X,X
ISOJLTZ,O,X,O,X,X,O,O,O,X,X,X,X,X
ISOJLZT,O,X,O,X,O,O,O,O,X,X,X,O,X
ISOJZTL,X,X,O,X,O,O,O,X,X,X,X,X,X
ISOJZLT,O,X,O,X,O,O,O,X,X,X,X,X,X
ISOZTLJ,X,X,X,O,X,O,O,X,X,X,X,X,X
ISOZTJL,X,X,O,X,X,O,O,X,X,X,X,X,X
ISOZLTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
ISOZLJT,X,X,X,O,O,O,O,O,X,X,X,O,X
ISOZJTL,X,X,O,X,O,O,O,X,X,X,X,X,X
ISOZJLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZTLJSO,X,O,X,O,O,X,X,X,X,X,X,X,X
IZTLJOS,X,O,X,X,O,X,X,X,X,X,X,X,X
IZTLSJO,X,X,X,O,O,X,X,X,X,X,X,X,X
IZTLSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
IZTLOJS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
IZTJLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTJLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTJSLO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTJSOL,X,X,O,X,O,X,X,X,X,X,O,X,X
IZTJOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTJOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
IZTSLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTSLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
IZTSJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZTSJOL,X,X,O,X,O,O,O,X,X,X,O,X,X
IZTSOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
IZTSOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
IZTOLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
IZTOJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
IZTOJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
IZTOSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
IZTOSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
IZLTJSO,X,O,X,O,O,X,X,X,X,X,X,O,X
IZLTJOS,X,O,X,X,O,X,X,X,X,X,X,O,X
IZLTSJO,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLTSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
IZLTOJS,X,O,X,O,X,X,X,O,X,X,X,O,X
IZLTOSJ,X,X,X,O,X,X,X,O,O,X,X,O,X
IZLJTSO,X,O,X,O,O,X,X,X,X,X,X,O,X
IZLJTOS,X,O,X,X,O,X,X,O,X,X,X,O,X
IZLJSTO,X,O,X,O,O,X,X,X,X,X,X,O,X
IZLJSOT,X,O,X,O,O,X,X,X,X,X,X,O,X
IZLJOTS,X,O,X,X,O,X,X,O,X,X,X,O,X
IZLJOST,X,O,X,X,O,X,X,O,X,X,X,O,X
IZLSTJO,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLSTOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
IZLSJTO,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLSJOT,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLSOTJ,X,X,X,O,X,X,X,X,X,X,X,O,X
IZLSOJT,X,X,X,O,O,X,X,X,X,X,X,O,X
IZLOTJS,X,O,X,O,X,X,X,O,X,X,X,O,X
IZLOTSJ,X,X,X,O,X,X,X,O,X,X,X,O,X
IZLOJTS,X,O,X,O,O,X,X,O,X,X,X,O,X
IZLOJST,X,O,X,O,O,X,X,O,X,X,X,O,X
IZLOSTJ,X,X,X,O,X,X,X,O,X,X,X,O,X
IZLOSJT,X,X,X,O,O,X,X,O,X,X,X,O,X
IZJTLSO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJTLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJTSLO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJTSOL,X,X,O,X,O,X,X,X,X,X,O,X,X
IZJTOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJTOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
IZJLTSO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLTOS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLSTO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLSOT,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLOTS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJLOST,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJSTLO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJSTOL,X,X,O,X,O,X,X,X,X,X,O,X,X
IZJSLTO,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJSLOT,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJSOTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJSOLT,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOTLS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJOTSL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOLTS,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJOLST,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJOSTL,X,X,O,X,O,X,X,X,X,X,X,X,X
IZJOSLT,X,X,O,X,O,X,X,X,X,X,X,X,X
IZSTLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
IZSTJLO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSTJOL,X,X,O,X,O,O,O,X,X,X,O,X,X
IZSTOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
IZSTOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
IZSLTJO,X,X,O,O,O,X,X,X,X,X,X,O,X
IZSLTOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
IZSLJTO,X,X,O,O,O,X,X,X,X,X,X,O,X
IZSLJOT,X,X,O,O,O,X,X,X,X,X,X,O,X
IZSLOTJ,X,X,X,O,X,O,O,X,X,X,X,O,X
IZSLOJT,X,X,X,O,O,O,O,X,X,X,X,O,X
IZSJTLO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSJTOL,X,X,O,X,O,O,O,X,X,X,O,X,X
IZSJLTO,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSJLOT,X,X,O,O,O,X,X,X,X,X,X,X,X
IZSJOTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSJOLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSOTLJ,X,X,X,O,X,O,O,X,X,X,X,X,X
IZSOTJL,X,X,O,X,X,O,O,X,X,X,X,X,X
IZSOLTJ,X,X,X,O,X,O,O,X,X,X,X,O,X
IZSOLJT,X,X,X,O,O,O,O,X,X,X,X,O,X
IZSOJTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IZSOJLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IZOTLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IZOTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOTSLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOTSJL,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOLTJS,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOLTSJ,X,X,X,X,X,O,X,O,X,X,X,O,X
IZOLJTS,X,X,X,X,O,X,X,O,X,X,X,O,X
IZOLJST,X,X,X,X,O,X,X,O,X,X,X,O,X
IZOLSTJ,X,X,X,X,X,O,X,O,X,X,X,O,X
IZOLSJT,X,X,X,X,O,O,X,O,X,X,X,O,X
IZOJTLS,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJLST,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSTL,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X
IZOSTLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,X,O,O,O,X,X,X,O,X
IZOSLJT,X,X,X,X,O,O,O,O,X,X,X,O,X
IZOSJTL,X,X,X,X,O,O,O,X,X,X,X,X,X
IZOSJLT,X,X,X,X,O,O,O,X,X,X,X,X,X
IOTLJSZ,O,X,X,O,X,O,O,O,O,X,O,X,O
IOTLJZS,O,X,X,O,X,X,X,O,X,X,X,X,O
IOTLSJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
IOTLSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
IOTLZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
IOTLZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
IOTJLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
IOTJLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
IOTJSLZ,O,X,O,X,X,O,O,X,O,X,O,X,O
IOTJSZL,O,X,O,X,O,O,O,X,X,X,O,X,X
IOTJZLS,O,X,O,X,O,X,X,X,X,X,X,X,X
IOTJZSL,O,X,O,X,O,X,O,X,X,X,O,X,X
IOTSLJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
IOTSLZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
IOTSJLZ,O,X,O,X,X,O,O,X,O,X,O,X,O
IOTSJZL,O,X,O,X,O,O,O,X,X,X,O,X,X
IOTSZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
IOTSZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
IOTZLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTZJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTZJSL,X,X,X,X,X,X,O,X,X,X,O,X,X
IOTZSLJ,X,X,X,X,X,O,O,X,O,X,X,X,X
IOTZSJL,X,X,X,X,X,O,O,X,X,X,O,X,X
IOLTJSZ,O,X,X,O,X,O,O,O,O,X,X,X,X
IOLTJZS,O,O,X,O,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,O,O,O,O,X,X,X,X
IOLTSZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
IOLTZJS,X,X,X,O,X,X,X,O,X,X,X,O,X
IOLTZSJ,X,X,X,O,X,O,X,O,O,X,X,O,X
IOLJTSZ,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLJTZS,O,O,X,O,X,X,X,O,X,X,X,X,X
IOLJSTZ,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLJSZT,O,O,X,O,O,O,O,O,X,X,X,O,X
IOLJZTS,O,O,X,O,O,X,X,O,X,X,X,O,X
IOLJZST,O,O,X,O,O,X,X,O,X,X,X,O,X
IOLSTJZ,X,X,X,O,X,O,O,O,O,X,X,X,X
IOLSTZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
IOLSJTZ,O,X,X,O,X,O,O,O,X,X,X,X,X
IOLSJZT,O,O,X,O,O,O,O,O,X,X,X,O,X
IOLSZTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
IOLSZJT,X,X,X,O,X,O,O,O,X,X,X,O,X
IOLZTJS,X,X,X,O,X,X,X,O,X,X,X,O,X
IOLZTSJ,X,X,X,O,X,O,X,O,X,X,X,O,X
IOLZJTS,X,O,X,O,X,X,X,O,X,X,X,O,X
IOLZJST,X,O,X,O,X,X,X,O,X,X,X,O,X
IOLZSTJ,X,X,X,O,X,O,X,O,X,X,X,O,X
IOLZSJT,X,X,X,O,X,O,X,O,X,X,X,O,X
IOJTLSZ,O,X,O,X,X,O,O,X,X,X,O,X,O
IOJTLZS,O,X,O,X,X,X,X,X,X,X,X,X,O
IOJTSLZ,O,X,O,X,X,O,O,X,X,X,O,X,O
IOJTSZL,O,X,O,X,O,O,O,X,X,X,O,X,X
IOJTZLS,O,X,O,X,O,X,X,X,X,X,X,X,X
IOJTZSL,O,X,O,X,O,X,O,X,X,X,O,X,X
IOJLTSZ,O,X,O,X,X,O,O,O,X,X,X,X,X
IOJLTZS,O,O,O,X,X,X,X,O,X,X,X,X,X
IOJLSTZ,O,X,O,X,X,O,O,O,X,X,X,X,X
IOJLSZT,O,O,O,X,O,O,O,O,X,X,X,O,X
IOJLZTS,O,O,O,X,O,X,X,O,X,X,X,O,X
IOJLZST,O,O,O,X,O,X,X,O,X,X,X,O,X
IOJSTLZ,O,X,O,X,X,O,O,X,X,X,O,X,O
IOJSTZL,O,X,O,X,O,O,O,X,X,X,O,X,X
IOJSLTZ,O,X,O,X,X,O,O,O,X,X,X,X,X
IOJSLZT,O,X,O,X,O,O,O,O,X,X,X,O,X
IOJSZTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IOJSZLT,O,X,O,X,O,O,O,X,X,X,X,X,X
IOJZTLS,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJZTSL,O,X,O,X,O,X,O,X,X,X,X,X,X
IOJZLTS,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJZLST,O,O,O,X,O,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,O,X,O,X,X,X,X,X,X
IOJZSLT,O,X,O,X,O,X,O,X,X,X,X,X,X
IOSTLJZ,O,X,X,O,X,O,O,O,O,X,O,X,O
IOSTLZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
IOSTJLZ,O,X,O,X,X,O,O,X,O,X,O,X,O
IOSTJZL,O,X,O,X,O,O,O,X,X,X,O,X,X
IOSTZLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
IOSTZJL,X,X,O,X,X,O,O,X,X,X,O,X,X
IOSLTJZ,X,X,X,O,X,O,O,O,O,X,X,X,X
IOSLTZJ,X,X,X,O,X,O,O,O,O,X,X,O,X
IOSLJTZ,O,X,X,O,X,O,O,O,X,X,X,X,X
IOSLJZT,O,X,X,O,O,O,O,O,X,X,X,O,X
IOSLZTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSLZJT,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSJTLZ,O,X,O,X,X,O,O,X,X,X,O,X,O
IOSJTZL,O,X,O,X,O,O,O,X,X,X,O,X,X
IOSJLTZ,O,X,O,X,X,O,O,O,X,X,X,X,X
IOSJLZT,O,X,O,X,O,O,O,O,X,X,X,O,X
IOSJZTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IOSJZLT,O,X,O,X,O,O,O,X,X,X,X,X,X
IOSZTLJ,X,X,X,O,X,O,O,X,X,X,X,X,X
IOSZTJL,X,X,O,X,X,O,O,X,X,X,X,X,X
IOSZLTJ,X,X,X,O,X,O,O,O,X,X,X,O,X
IOSZLJT,X,X,X,O,O,O,O,O,X,X,X,O,X
IOSZJTL,X,X,O,X,O,O,O,X,X,X,X,X,X
IOSZJLT,X,X,O,X,O,O,O,X,X,X,X,X,X
IOZTLJS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,X,X,X,X,O,X,X,X,X,X,X,X
IOZTJLS,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTJSL,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZTSLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZTSJL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZLTJS,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZLTSJ,X,X,X,X,X,O,X,O,X,X,X,O,X
IOZLJTS,X,X,X,X,O,X,X,O,X,X,X,O,X
IOZLJST,X,X,X,X,O,X,X,O,X,X,X,O,X
IOZLSTJ,X,X,X,X,X,O,X,O,X,X,X,O,X
IOZLSJT,X,X,X,X,O,O,X,O,X,X,X,O,X
IOZJTLS,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJTSL,X,X,X,X,O,X,O,X,X,X,X,X,X
IOZJLTS,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJLST,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJSTL,X,X,X,X,O,X,O,X,X,X,X,X,X
IOZJSLT,X,X,X,X,O,X,O,X,X,X,X,X,X
IOZSTLJ,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,X,O,O,O,X,X,X,O,X
IOZSLJT,X,X,X,X,O,O,O,O,X,X,X,O,X
IOZSJTL,X,X,X,X,O,O,O,X,X,X,X,X,X
IOZSJLT,X,X,X,X,O,O,O,X,X,X,X,X,X
LTIJSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTIJSOZ,O,X,O,O,X,X,X,O,O,O,O,X,X
LTIJZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTIJZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
LTIJOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTIJOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
LTISJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTISJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
LTISZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
LTISZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
LTISOJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
LTISOZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
LTIZJSO,X,X,X,O,X,X,X,X,X,O,X,O,X
LTIZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZSJO,X,X,X,O,X,X,X,X,X,O,X,O,X
LTIZSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
LTIZOJS,X,X,X,O,X,X,X,O,X,X,X,O,O
LTIZOSJ,X,X,X,O,X,X,X,O,O,X,X,O,O
LTIOJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
LTIOJZS,O,O,X,O,X,X,X,O,X,X,X,X,O
LTIOSJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
LTIOSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
LTIOZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
LTIOZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
LTJISZO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJISOZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJIZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJIZOS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJIOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJIOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
LTJSIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJSIOZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJSZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTJSZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJSOZI,O,X,O,O,X,X,X,O,X,X,X,X,O
LTJZISO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJZIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJZSIO,O,O,O,O,X,X,X,X,X,O,X,X,X
LTJZSOI,O,O,O,O,X,X,X,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJZOSI,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJOISZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJOIZS,O,O,O,O,X,X,X,O,X,X,X,X,O
LTJOSIZ,O,X,O,O,X,X,X,O,O,O,O,X,O
LTJOSZI,O,X,O,O,X,X,X,O,X,X,X,X,O
LTJOZIS,O,O,O,O,X,X,X,O,X,X,X,X,O
LTJOZSI,O,O,O,O,X,X,X,O,X,X,X,X,O
LTSIJZO,O,X,X,O,X,X,X,X,X,O,X,X,X
LTSIJOZ,O,X,X,O,X,X,X,X,O,O,O,X,X
LTSIZJO,X,X,X,O,X,X,X,X,X,O,X,O,X
LTSIZOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
LTSIOJZ,O,X,X,O,X,X,X,O,O,O,O,X,O
LTSIOZJ,X,X,X,O,X,X,X,O,O,X,X,O,O
LTSJIZO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTSJIOZ,O,X,X,O,X,X,X,X,O,O,O,X,X
LTSJZIO,O,X,O,O,X,X,X,X,X,O,X,X,X
LTSJZOI,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,O,O,X,X,X,X,O,O,O,X,X
LTSJOZI,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSZIJO,X,X,X,O,X,X,X,X,X,O,X,O,X
LTSZIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
LTSZJIO,O,X,O,O,X,X,X,X,X,O,X,O,X
LTSZJOI,O,X,O,O,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,X,X,O,X,O,X,X,O,X,X,X,X
LTSZOJI,O,X,X,O,X,O,O,X,X,X,X,X,X
LTSOIJZ,O,X,X,O,X,X,X,O,O,O,O,X,O
LTSOIZJ,X,X,X,O,X,O,X,O,O,X,X,X,O
LTSOJIZ,O,X,X,O,X,X,X,O,O,O,O,X,O
LTSOJZI,O,X,X,O,X,O,O,O,X,X,X,X,O
LTSOZIJ,X,X,X,O,X,O,X,O,O,X,X,X,O
LTSOZJI,O,X,X,O,X,O,O,X,X,X,X,X,O
LTZIJSO,X,O,X,O,X,X,X,X,X,O,X,O,X
LTZIJOS,X,O,X,X,X,X,X,X,X,X,X,O,X
LTZISJO,X,X,X,O,X,X,X,X,X,O,X,O,X
LTZISOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
LTZIOJS,X,O,X,O,X,X,X,O,X,X,X,O,O
LTZIOSJ,X,X,X,O,X,X,X,O,O,X,X,O,O
LTZJISO,O,O,X,O,X,X,X,X,X,O,X,O,X
LTZJIOS,X,O,X,X,X,X,X,X,X,X,X,O,X
LTZJSIO,O,O,X,O,X,X,X,X,X,O,X,O,X
LTZJSOI,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZJOSI,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSIJO,X,X,X,O,X,X,X,X,X,O,X,O,X
LTZSIOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
LTZSJIO,O,O,X,O,X,X,X,X,X,O,X,O,X
LTZSJOI,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,X,X,O,X,X,X,X,O,X,X,X,X
LTZSOJI,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZOIJS,X,O,X,O,X,X,X,O,X,X,X,X,O
LTZOISJ,X,X,X,O,X,X,X,O,O,X,X,X,O
LTZOJIS,O,O,X,O,X,X,X,O,X,X,X,X,O
LTZOJSI,O,O,X,O,X,X,X,O,X,X,X,X,O
LTZOSIJ,X,X,X,O,X,X,X,O,O,X,X,X,O
LTZOSJI,O,O,X,O,X,X,X,X,X,X,X,X,O
LTOIJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
LTOIJZS,O,O,X,O,X,X,X,O,X,X,X,X,O
LTOISJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
LTOISZJ,X,X,X,O,X,O,O,O,O,X,X,X,O
