sequence,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhFZmBtmB?0iB6oB/qBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB9nB?TjBuqBcrBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9nB?TjByqBXtB0qB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB3iB?9oBuqBcrBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhF3hB9nB?6oBetBxqBzqB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB6nB?TjBmlB0qBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhF0hBxiB?/qBNrBqsBTtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhFRiB9oB?erBCnB3lBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBctB6sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBStB0sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9oB?/qBarB0nBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB0iB?2qBStBzqBXtB
IZTSOLJ,O,O,O,O,X,O,X,X,X,X,X,X
IZTSOJL,O,O,O,X,O,O,O,X,X,X,X,X
IZTOLJS,O,X,X,O,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,X,O,X,O,X,X,X,X,X,X
IZTOJLS,O,X,X,O,O,X,X,X,X,X,X,X
IZTOJSL,O,X,X,O,O,X,X,X,X,X,X,X
IZTOSLJ,O,O,X,O,X,O,X,X,X,X,X,X
IZTOSJL,O,O,X,O,O,O,O,X,X,X,X,X
IZLTJSO,O,O,O,O,O,O,O,O,X,X,X,X
IZLTJOS,X,O,X,O,O,X,X,O,X,X,X,X
IZLTSJO,O,O,O,O,O,O,O,X,X,X,X,X
IZLTSOJ,O,O,O,O,X,O,O,X,X,X,X,X
IZLTOJS,X,X,X,O,X,X,O,X,X,X,X,X
IZLTOSJ,O,O,X,O,X,O,O,X,X,X,X,X
IZLJTSO,X,O,O,O,O,O,O,O,X,X,X,X
IZLJTOS,X,O,X,O,O,O,X,O,X,X,X,X
IZLJSTO,X,O,O,O,O,O,X,X,X,X,X,X
IZLJSOT,X,O,X,O,X,O,X,X,X,X,X,X
IZLJOTS,X,O,X,O,O,X,X,X,X,X,X,X
IZLJOST,X,O,X,O,X,X,X,X,X,X,X,X
IZLSTJO,O,O,O,O,O,O,O,X,X,X,X,X
IZLSTOJ,O,O,O,O,X,O,O,X,X,X,X,X
IZLSJTO,O,O,O,X,X,O,X,X,X,X,X,X
IZLSJOT,X,O,X,X,X,O,X,X,X,X,X,X
IZLSOTJ,X,O,O,O,X,O,X,X,X,X,X,X
IZLSOJT,X,O,X,X,X,O,X,X,X,X,X,X
IZLOTJS,X,X,X,O,X,X,O,X,X,X,X,X
IZLOTSJ,X,O,X,O,X,X,O,X,X,X,X,X
IZLOJTS,X,X,X,O,X,X,O,X,X,X,X,X
IZLOJST,X,X,X,O,X,X,X,X,X,X,X,X
IZLOSTJ,X,O,X,O,X,X,O,X,X,X,X,X
IZLOSJT,X,X,X,X,X,X,X,X,X,X,X,X
IZJTLSO,X,O,X,O,O,O,X,O,X,X,X,X
IZJTLOS,X,O,X,O,O,O,X,O,X,X,X,X
IZJTSLO,X,O,X,O,O,O,O,X,X,X,O,X
IZJTSOL,X,O,O,O,O,O,O,X,O,X,X,X
IZJTOLS,X,O,X,O,O,O,X,X,O,X,X,X
IZJTOSL,X,O,X,O,O,O,X,X,O,X,X,X
IZJLTSO,X,O,X,O,O,O,X,O,X,X,X,X
IZJLTOS,X,O,X,O,O,O,X,O,X,X,X,X
IZJLSTO,X,O,X,O,O,O,X,X,X,X,X,X
IZJLSOT,X,O,X,O,X,O,X,X,X,X,X,X
IZJLOTS,X,O,X,O,O,X,X,X,X,X,X,X
IZJLOST,X,O,X,O,X,X,X,X,X,X,X,X
IZJSTLO,X,O,X,O,O,O,X,X,X,X,O,X
IZJSTOL,X,O,O,O,O,O,X,X,O,X,X,X
IZJSLTO,X,O,X,O,O,O,X,X,X,X,O,X
IZJSLOT,X,O,X,O,X,O,X,X,X,X,O,X
IZJSOTL,X,O,X,O,X,O,X,X,O,X,X,X
IZJSOLT,X,O,X,O,X,O,X,X,O,X,X,X
IZJOTLS,X,O,X,O,O,O,X,O,O,X,X,X
IZJOTSL,X,O,X,O,O,O,X,X,O,X,X,X
IZJOLTS,X,O,X,O,O,X,X,O,O,X,X,X
IZJOLST,X,O,X,O,X,X,X,X,O,X,X,X
IZJOSTL,X,O,X,O,X,O,X,X,O,X,X,X
IZJOSLT,X,O,X,O,X,O,X,X,O,X,X,X
IZSTLJO,O,O,O,O,O,O,O,X,X,X,O,X
IZSTLOJ,O,O,O,O,X,O,X,X,X,X,O,X
IZSTJLO,O,O,X,O,O,O,O,X,X,X,O,X
IZSTJOL,O,O,O,X,O,O,O,X,O,X,X,X
IZSTOLJ,O,O,O,O,X,O,X,X,X,X,X,X
IZSTOJL,O,O,O,X,O,O,O,X,X,X,X,X
IZSLTJO,O,O,O,O,O,O,X,X,X,X,O,X
IZSLTOJ,O,O,O,O,X,O,X,X,X,X,O,X
IZSLJTO,O,O,O,X,X,O,X,X,X,X,O,X
IZSLJOT,X,O,X,X,X,O,X,X,X,X,O,X
IZSLOTJ,X,O,O,O,X,O,X,X,X,X,O,X
IZSLOJT,X,O,X,X,X,O,X,X,X,X,O,X
IZSJTLO,O,O,X,X,O,O,X,X,X,X,O,X
IZSJTOL,O,O,O,X,O,O,X,X,O,X,X,X
IZSJLTO,O,O,X,X,O,O,X,X,X,X,O,X
IZSJLOT,X,O,X,X,X,O,X,X,X,X,O,X
IZSJOTL,O,O,X,X,X,O,X,X,O,X,X,X
IZSJOLT,O,O,X,X,X,O,X,X,O,X,X,X
IZSOTLJ,O,O,O,O,X,O,X,X,X,X,X,X
IZSOTJL,O,O,O,O,O,O,X,X,X,X,X,X
IZSOLTJ,O,O,O,O,X,O,X,X,X,X,X,X
IZSOLJT,O,O,X,X,X,O,X,X,X,X,X,X
IZSOJTL,O,O,X,X,X,O,X,X,O,X,X,X
IZSOJLT,O,O,X,X,X,O,X,X,O,X,X,X
IZOTLJS,O,X,X,O,X,X,X,O,X,X,X,X
IZOTLSJ,O,O,X,O,X,O,X,X,X,X,X,X
IZOTJLS,O,X,X,O,O,X,X,O,X,X,X,X
IZOTJSL,O,X,X,O,O,X,X,X,X,X,X,X
IZOTSLJ,O,O,X,O,X,O,X,X,X,X,X,X
IZOTSJL,O,O,X,O,O,O,O,X,X,X,X,X
IZOLTJS,O,X,X,O,X,X,X,O,X,X,X,X
IZOLTSJ,O,O,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,X,X,O,X,X,X,O,X,X,X,X
IZOLJST,X,X,X,O,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,X,O,X,X,X,X,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,X,O,O,O,X,O,O,X,X,X
IZOJTSL,X,X,X,O,O,O,X,X,O,X,X,X
IZOJLTS,X,X,X,O,O,X,X,O,O,X,X,X
IZOJLST,X,X,X,O,X,X,X,X,O,X,X,X
IZOJSTL,X,X,X,O,X,O,X,X,O,X,X,X
IZOJSLT,X,X,X,O,X,O,X,X,O,X,X,X
IZOSTLJ,O,O,X,O,X,O,X,X,X,X,X,X
IZOSTJL,O,O,X,O,O,O,X,X,X,X,X,X
IZOSLTJ,O,O,X,O,X,O,X,X,X,X,X,X
IZOSLJT,O,X,X,X,X,O,X,X,X,X,X,X
IZOSJTL,O,X,X,X,X,O,X,X,O,X,X,X
IZOSJLT,O,X,X,X,X,O,X,X,O,X,X,X
IOTLJSZ,O,X,O,X,X,X,O,O,X,X,X,X
IOTLJZS,O,X,X,X,X,X,O,O,X,X,X,X
IOTLSJZ,O,X,O,O,X,O,O,O,X,X,X,X
IOTLSZJ,O,X,O,O,X,O,O,X,X,X,X,X
IOTLZJS,O,X,X,O,X,X,O,O,X,X,X,X
IOTLZSJ,O,X,X,O,X,X,O,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,X,X,O,X,X,X,X
IOTJLZS,O,X,X,X,O,X,X,O,X,X,X,X
IOTJSLZ,O,X,O,X,O,X,X,X,X,X,X,X
IOTJSZL,O,X,O,X,O,X,X,X,X,X,X,X
IOTJZLS,O,X,X,X,O,X,X,O,X,X,X,X
IOTJZSL,O,X,X,X,O,X,X,X,X,X,X,X
IOTSLJZ,O,X,O,O,X,O,O,O,X,X,X,X
IOTSLZJ,O,X,O,O,X,O,O,X,X,X,X,X
IOTSJLZ,O,X,O,O,O,O,O,X,X,X,X,X
IOTSJZL,O,X,O,X,O,X,X,X,X,X,X,X
IOTSZLJ,O,X,O,O,X,O,X,X,X,X,X,X
IOTSZJL,O,X,O,O,O,X,X,X,X,X,X,X
IOTZLJS,O,X,X,O,X,X,X,O,X,X,X,X
IOTZLSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,O,O,X,X,O,X,X,X,X
IOTZJSL,O,X,X,O,O,X,X,X,X,X,X,X
IOTZSLJ,O,X,X,O,X,X,X,X,X,X,X,X
IOTZSJL,O,X,X,O,O,X,X,X,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,O,O,X,X,X,X
IOLTJZS,O,X,X,X,X,X,O,O,X,X,X,X
IOLTSJZ,O,X,O,O,X,X,O,O,X,X,X,X
IOLTSZJ,O,X,O,O,X,X,O,X,X,X,X,X
IOLTZJS,O,X,X,O,X,X,O,O,X,X,X,X
IOLTZSJ,O,X,X,O,X,X,O,X,X,X,X,X
IOLJTSZ,O,X,O,X,X,X,O,O,X,O,X,X
IOLJTZS,O,X,X,X,X,X,O,O,X,O,X,X
IOLJSTZ,O,X,O,X,X,X,O,X,X,O,X,X
IOLJSZT,O,X,X,X,X,X,O,X,X,O,X,X
IOLJZTS,X,X,X,X,X,X,O,O,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,O,X,X
IOLSTJZ,O,X,O,X,X,X,O,X,X,X,X,X
IOLSTZJ,O,X,O,X,X,X,O,X,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,O,X,X,O,X,X
IOLSJZT,O,X,X,X,X,X,O,X,X,O,X,X
IOLSZTJ,O,X,O,X,X,X,O,X,X,X,X,X
IOLSZJT,O,X,X,X,X,X,O,X,X,X,X,X
IOLZTJS,O,X,X,O,X,X,O,O,X,X,X,X
IOLZTSJ,O,X,X,O,X,X,O,X,X,X,X,X
IOLZJTS,X,X,X,O,X,X,O,O,X,X,X,X
IOLZJST,X,X,X,O,X,X,X,X,X,X,X,X
IOLZSTJ,O,X,X,O,X,X,O,X,X,X,X,X
IOLZSJT,O,X,X,X,X,X,O,X,X,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,O,X,O,X,X
IOJTLZS,O,X,X,X,O,X,X,O,O,O,X,X
IOJTSLZ,O,X,O,X,O,X,X,X,X,O,X,X
IOJTSZL,O,X,O,X,O,X,X,X,O,X,X,X
IOJTZLS,O,X,X,X,O,X,X,O,O,O,X,X
IOJTZSL,O,X,X,X,O,X,X,X,O,X,X,X
IOJLTSZ,O,X,X,X,O,X,X,O,X,O,X,X
IOJLTZS,O,X,X,X,O,X,X,O,O,O,X,X
IOJLSTZ,O,X,X,X,X,X,X,X,X,O,X,X
IOJLSZT,O,X,X,X,X,X,X,X,X,O,X,X
IOJLZTS,X,X,X,X,O,X,X,O,O,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,O,O,X,X
IOJSTLZ,O,X,O,X,X,X,X,X,X,O,X,X
IOJSTZL,O,X,O,X,X,X,X,X,O,X,X,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,O,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,O,X,X
IOJSZTL,O,X,X,X,X,X,X,X,O,X,X,X
IOJSZLT,O,X,X,X,X,X,X,X,O,X,X,X
IOJZTLS,X,X,X,X,O,X,X,O,O,O,X,X
IOJZTSL,X,X,X,X,O,X,X,X,O,X,X,X
IOJZLTS,X,X,X,X,O,X,X,O,O,O,X,X
IOJZLST,X,X,X,X,X,X,X,X,O,O,X,X
IOJZSTL,X,X,X,X,X,X,X,X,O,X,X,X
IOJZSLT,X,X,X,X,X,X,X,X,O,X,X,X
IOSTLJZ,O,X,O,X,X,O,O,X,X,X,X,X
IOSTLZJ,O,X,O,X,X,O,O,X,X,X,X,X
IOSTJLZ,O,X,O,X,O,O,O,X,X,X,X,X
IOSTJZL,O,X,O,X,O,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,O,X,X,X,X,X,X
IOSTZJL,O,X,O,X,O,O,X,X,X,X,X,X
IOSLTJZ,O,X,O,X,X,O,O,X,X,X,X,X
IOSLTZJ,O,X,O,X,X,O,O,X,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,O,X,X,X,X,X
IOSLJZT,O,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,O,O,X,X,X,X,X
IOSLZJT,O,X,X,X,X,O,O,X,X,X,X,X
IOSJTLZ,O,X,O,X,X,O,O,X,X,X,X,X
IOSJTZL,O,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,O,X,X,X,O,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,O,X,X,X,X,X
IOSJZTL,O,X,X,X,X,O,X,X,X,X,X,X
IOSJZLT,O,X,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,O,X,O,X,X,O,X,X,X,X,X,X
IOSZTJL,O,X,O,X,O,O,X,X,X,X,X,X
IOSZLTJ,O,X,O,X,X,O,X,X,X,X,X,X
IOSZLJT,O,X,X,X,X,O,X,X,X,X,X,X
IOSZJTL,O,X,X,X,X,O,X,X,X,X,X,X
IOSZJLT,O,X,X,X,X,O,X,X,X,X,X,X
IOZTLJS,O,X,X,O,X,X,X,O,X,X,X,X
IOZTLSJ,O,X,X,O,X,O,X,X,X,X,X,X
IOZTJLS,O,X,X,O,O,X,X,O,X,X,X,X
IOZTJSL,O,X,X,O,O,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,O,X,O,X,X,X,X,X,X
IOZTSJL,O,X,X,O,O,O,X,X,X,X,X,X
IOZLTJS,O,X,X,O,X,X,X,O,X,X,X,X
IOZLTSJ,O,X,X,O,X,X,X,X,X,X,X,X
IOZLJTS,X,X,X,O,X,X,X,O,X,X,X,X
IOZLJST,X,X,X,O,X,X,X,X,X,X,X,X
IOZLSTJ,O,X,X,O,X,X,X,X,X,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,X,O,O,O,X,O,O,X,X,X
IOZJTSL,X,X,X,O,O,O,X,X,O,X,X,X
IOZJLTS,X,X,X,O,O,X,X,O,O,X,X,X
IOZJLST,X,X,X,O,X,X,X,X,O,X,X,X
IOZJSTL,X,X,X,O,X,O,X,X,O,X,X,X
IOZJSLT,X,X,X,O,X,O,X,X,O,X,X,X
IOZSTLJ,O,X,X,O,X,O,X,X,X,X,X,X
IOZSTJL,O,X,X,O,O,O,X,X,X,X,X,X
IOZSLTJ,O,X,X,O,X,O,X,X,X,X,X,X
IOZSLJT,O,X,X,X,X,O,X,X,X,X,X,X
IOZSJTL,O,X,X,X,X,O,X,X,O,X,X,X
IOZSJLT,O,X,X,X,X,O,X,X,O,X,X,X
LTIJSZO,O,X,O,X,O,X,O,O,X,X,X,X
LTIJSOZ,O,O,O,X,O,O,O,X,X,O,X,X
LTIJZSO,O,X,O,X,O,X,O,O,X,X,X,X
LTIJZOS,X,X,X,X,O,X,X,O,X,X,X,O
LTIJOSZ,X,X,O,X,O,X,X,X,X,O,X,O
LTIJOZS,X,X,X,X,O,X,X,O,X,O,X,O
LTISJZO,O,X,O,O,O,X,O,O,X,X,X,X
LTISJOZ,O,O,O,X,O,O,O,X,X,O,X,X
LTISZJO,O,O,O,O,O,O,O,X,X,X,X,X
LTISZOJ,O,O,O,O,X,O,O,X,X,X,X,X
LTISOJZ,O,O,O,X,X,O,O,X,X,X,X,X
LTISOZJ,O,O,O,O,X,O,O,X,X,X,X,X
LTIZJSO,O,O,O,O,O,O,O,O,X,X,X,X
LTIZJOS,X,O,X,O,O,O,X,O,X,X,X,O
LTIZSJO,O,O,O,O,O,O,O,X,X,X,X,X
LTIZSOJ,O,O,O,O,X,O,O,X,X,X,X,X
LTIZOJS,X,X,X,X,X,X,O,X,X,X,X,X
LTIZOSJ,O,O,X,O,X,O,O,X,X,X,X,X
LTIOJSZ,O,X,O,X,X,X,O,X,X,X,X,X
LTIOJZS,O,X,X,X,X,X,O,O,X,X,X,X
LTIOSJZ,O,O,O,X,X,O,O,X,X,X,X,X
LTIOSZJ,O,O,O,X,X,O,O,X,X,X,X,X
LTIOZJS,O,X,X,X,X,X,O,X,X,X,X,X
LTIOZSJ,O,X,X,X,X,X,O,X,X,X,X,X
LTJISZO,O,X,O,X,O,X,O,O,X,X,X,X
LTJISOZ,O,O,O,X,O,O,O,X,X,O,X,X
LTJIZSO,O,X,O,X,O,X,O,O,X,X,X,X
LTJIZOS,X,X,X,X,O,X,X,O,X,X,X,O
LTJIOSZ,X,X,O,X,O,X,X,X,X,O,X,O
LTJIOZS,X,X,X,X,O,X,X,O,X,O,X,O
LTJSIZO,O,X,O,O,O,X,O,O,X,X,O,X
LTJSIOZ,O,O,O,X,O,O,O,X,X,O,O,X
LTJSZIO,O,O,O,O,O,O,O,O,X,X,O,X
LTJSZOI,O,O,O,O,O,O,O,O,X,O,O,O
LTJSOIZ,O,O,O,X,O,O,O,X,X,O,O,O
LTJSOZI,O,O,O,X,O,O,O,X,X,O,O,O
LTJZISO,O,O,O,O,O,O,O,O,X,X,X,X
LTJZIOS,X,O,X,O,O,O,X,O,X,X,X,O
LTJZSIO,O,O,O,O,O,O,O,O,X,X,O,X
LTJZSOI,O,O,O,O,O,O,O,O,O,O,O,O
LTJZOIS,X,O,X,O,O,O,O,O,O,O,X,O
LTJZOSI,X,O,X,O,O,O,O,O,O,O,X,O
LTJOISZ,X,X,O,X,O,X,O,X,X,O,X,O
LTJOIZS,X,X,X,X,O,X,O,O,O,O,X,O
LTJOSIZ,X,X,O,X,O,X,O,X,X,O,X,O
LTJOSZI,X,X,O,X,O,X,O,X,X,O,X,O
LTJOZIS,X,X,X,X,O,X,O,O,O,O,X,O
LTJOZSI,X,X,X,X,O,X,O,O,O,O,X,O
LTSIJZO,O,X,O,O,O,X,O,O,X,X,O,X
LTSIJOZ,O,O,O,X,O,O,O,X,X,O,O,X
LTSIZJO,O,O,O,O,O,O,O,X,X,X,O,X
LTSIZOJ,O,O,O,O,X,O,O,X,X,X,O,X
LTSIOJZ,O,O,O,X,X,O,O,X,X,X,O,X
LTSIOZJ,O,O,O,O,X,O,O,X,X,X,O,X
LTSJIZO,O,X,O,O,O,X,O,O,X,X,O,X
LTSJIOZ,O,O,O,X,O,O,O,X,X,O,O,X
LTSJZIO,O,O,O,O,O,O,O,O,X,X,O,X
LTSJZOI,O,O,O,O,O,O,O,O,X,O,O,O
LTSJOIZ,O,O,O,X,O,O,O,X,X,O,O,O
LTSJOZI,O,O,O,X,O,O,O,X,X,O,O,O
LTSZIJO,O,O,O,O,X,O,O,X,X,X,O,X
LTSZIOJ,O,O,O,O,X,O,O,X,X,X,O,X
LTSZJIO,O,O,O,O,O,O,O,O,X,X,O,X
LTSZJOI,O,O,O,O,O,O,O,O,X,O,O,O
LTSZOIJ,O,O,O,O,X,O,O,X,X,X,O,X
LTSZOJI,O,O,O,O,X,O,O,X,X,X,O,X
LTSOIJZ,O,O,O,X,X,O,O,X,X,X,O,X
LTSOIZJ,O,O,O,O,X,O,O,X,X,X,O,X
LTSOJIZ,O,O,O,X,X,O,O,X,X,O,O,X
LTSOJZI,O,O,O,X,X,O,O,X,X,O,O,X
LTSOZIJ,O,O,O,O,X,O,O,X,X,X,O,X
LTSOZJI,O,O,O,O,X,O,O,X,X,X,O,X
LTZIJSO,O,O,O,O,O,O,O,O,X,X,X,X
LTZIJOS,X,O,X,O,O,O,X,O,X,X,X,O
LTZISJO,O,O,O,O,O,O,O,X,X,X,X,X
LTZISOJ,O,O,O,O,X,O,O,X,X,X,X,X
LTZIOJS,X,X,X,O,X,X,O,X,X,X,X,X
LTZIOSJ,O,O,X,O,X,O,O,X,X,X,X,X
LTZJISO,O,O,O,O,O,O,O,O,X,X,X,X
LTZJIOS,X,O,X,O,O,O,X,O,X,X,X,O
LTZJSIO,O,O,O,O,O,O,O,O,X,X,O,X
LTZJSOI,O,O,O,O,O,O,O,O,O,O,O,O
LTZJOIS,X,O,X,O,O,O,O,O,O,O,X,O
LTZJOSI,X,O,X,O,O,O,O,O,O,O,X,O
LTZSIJO,O,O,O,O,X,O,O,X,X,X,O,X
LTZSIOJ,O,O,O,O,X,O,O,X,X,X,O,X
LTZSJIO,O,O,O,O,O,O,O,O,X,X,O,X
LTZSJOI,O,O,O,O,O,O,O,O,O,O,O,O
LTZSOIJ,O,O,O,O,X,O,O,X,X,X,O,X
LTZSOJI,O,O,O,O,X,O,O,X,X,X,O,X
LTZOIJS,X,X,X,O,X,X,O,X,X,X,X,X
LTZOISJ,O,O,X,O,X,O,O,X,X,X,X,X
LTZOJIS,X,O,X,O,X,O,O,O,X,X,X,O
LTZOJSI,X,O,X,O,X,O,O,O,X,X,X,O
LTZOSIJ,O,O,X,O,X,O,O,X,X,X,X,X
LTZOSJI,O,O,X,O,X,O,O,X,X,X,X,X
LTOIJSZ,O,X,O,X,X,X,O,X,X,X,X,X
LTOIJZS,O,X,X,X,X,X,O,O,X,X,X,X
LTOISJZ,O,O,O,O,X,O,O,X,X,X,X,X
LTOISZJ,O,O,O,O,X,O,O,X,X,X,X,X
LTOIZJS,O,X,X,O,X,X,O,X,X,X,X,X
LTOIZSJ,O,X,X,O,X,X,O,X,X,X,X,X
LTOJISZ,O,X,O,X,X,X,O,X,X,O,X,O
LTOJIZS,O,X,X,X,X,X,O,O,X,O,X,O
LTOJSIZ,O,X,O,O,X,X,O,X,X,O,X,O
LTOJSZI,O,X,O,O,X,X,O,X,X,O,X,O
LTOJZIS,O,X,X,O,X,X,O,O,X,O,X,O
LTOJZSI,O,X,X,O,X,X,O,O,X,O,X,O
LTOSIJZ,O,O,O,O,X,O,O,X,X,X,X,X
LTOSIZJ,O,O,O,O,X,O,O,X,X,X,X,X
LTOSJIZ,O,O,O,O,X,O,O,X,X,O,X,X
LTOSJZI,O,O,O,O,X,O,O,X,X,O,X,X
LTOSZIJ,O,O,O,O,X,O,O,X,X,X,X,X
LTOSZJI,O,O,O,O,X,O,O,X,X,X,X,X
LTOZIJS,O,X,X,O,X,X,O,X,X,X,X,X
LTOZISJ,O,O,X,O,X,O,O,X,X,X,X,X
LTOZJIS,O,O,X,O,X,O,O,O,X,X,X,O
LTOZJSI,O,O,X,O,X,O,O,O,X,X,X,O
LTOZSIJ,O,O,X,O,X,O,O,X,X,X,X,X
LTOZSJI,O,O,X,O,X,O,O,X,X,X,X,X
LITJSZO,O,X,O,X,O,X,O,O,X,X,X,X
LITJSOZ,O,O,O,X,O,O,O,X,X,O,X,X
LITJZSO,O,X,O,X,O,X,O,O,X,X,X,X
LITJZOS,X,X,X,X,O,X,X,O,X,X,X,O
LITJOSZ,X,X,O,X,O,X,X,X,X,O,X,O
LITJOZS,X,X,X,X,O,X,X,O,X,O,X,O
LITSJZO,O,X,O,O,O,X,O,O,X,X,X,X
LITSJOZ,O,O,O,X,O,O,O,X,X,O,X,X
LITSZJO,O,O,O,O,O,X,O,X,X,X,X,X
LITSZOJ,O,O,O,O,X,O,O,X,X,X,X,X
LITSOJZ,O,O,O,X,X,O,O,X,X,X,X,X
LITSOZJ,O,O,O,O,X,O,O,X,X,X,X,X
LITZJSO,O,O,O,O,O,X,O,O,X,X,X,X
LITZJOS,X,O,X,O,O,X,X,O,X,X,X,O
LITZSJO,O,O,O,O,O,X,O,X,X,X,X,X
LITZSOJ,O,O,O,O,X,O,O,X,X,X,X,X
LITZOJS,X,X,X,X,X,X,O,X,X,X,X,X
LITZOSJ,O,O,X,O,X,X,O,X,X,X,X,X
LITOJSZ,O,X,O,X,X,X,O,X,X,X,X,X
LITOJZS,O,X,X,X,X,X,O,O,X,X,X,X
LITOSJZ,O,O,O,X,X,O,O,X,X,X,X,X
LITOSZJ,O,O,O,X,X,O,O,X,X,X,X,X
LITOZJS,O,X,X,X,X,X,O,X,X,X,X,X
LITOZSJ,O,X,X,X,X,X,O,X,X,X,X,X
LIJTSZO,O,X,O,X,O,X,O,O,X,X,X,X
LIJTSOZ,O,X,O,X,O,X,O,X,X,O,X,X
LIJTZSO,O,X,O,X,O,X,O,O,X,X,X,X
LIJTZOS,X,X,X,X,O,X,X,O,X,X,X,O
LIJTOSZ,X,X,O,X,O,X,X,X,X,O,X,O
LIJTOZS,X,X,X,X,O,X,X,O,X,O,X,O
LIJSTZO,O,X,O,X,O,X,O,X,X,X,X,X
LIJSTOZ,O,X,O,X,O,X,O,X,X,O,X,X
LIJSZTO,O,X,O,X,O,X,O,X,X,X,X,X
LIJSZOT,X,X,X,X,X,X,X,X,X,X,X,X
LIJSOTZ,O,X,O,X,X,X,O,X,X,O,X,X
LIJSOZT,X,X,X,X,X,X,X,X,X,O,X,X
LIJZTSO,X,X,O,X,O,X,O,O,X,X,X,X
LIJZTOS,X,X,X,X,O,X,X,O,X,X,X,O
LIJZSTO,X,X,O,X,O,X,X,X,X,X,X,X
LIJZSOT,X,X,X,X,X,X,X,X,X,X,X,X
LIJZOTS,X,X,X,X,O,X,X,X,X,X,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,X,X,X
LIJOTSZ,X,X,O,X,O,X,X,X,X,O,X,X
LIJOTZS,X,X,X,X,O,X,X,X,X,O,X,X
LIJOSTZ,X,X,O,X,X,X,X,X,X,O,X,X
LIJOSZT,X,X,X,X,X,X,X,X,X,O,X,X
LIJOZTS,X,X,X,X,O,X,X,X,X,O,X,X
LIJOZST,X,X,X,X,X,X,X,X,X,O,X,X
LISTJZO,O,X,O,X,O,X,O,X,X,X,X,X
LISTJOZ,O,O,O,X,O,O,O,X,X,O,X,X
LISTZJO,O,O,O,X,O,X,O,X,X,X,X,X
LISTZOJ,O,O,O,X,X,O,O,X,X,X,X,X
LISTOJZ,O,O,O,X,X,O,O,X,X,X,X,X
LISTOZJ,O,O,O,X,X,O,O,X,X,X,X,X
LISJTZO,O,X,O,X,X,X,O,X,X,X,X,X
LISJTOZ,O,X,O,X,X,X,O,X,X,O,X,X
LISJZTO,O,X,O,X,X,X,O,X,X,X,X,X
LISJZOT,X,X,X,X,X,X,X,X,X,X,X,X
LISJOTZ,O,X,O,X,X,X,O,X,X,O,X,X
LISJOZT,O,X,X,X,X,X,O,X,X,O,X,X
LISZTJO,O,O,O,X,O,O,O,X,X,X,X,X
LISZTOJ,O,O,O,X,X,O,O,X,X,X,X,X
LISZJTO,O,O,O,X,X,O,O,X,X,X,X,X
LISZJOT,X,O,X,X,X,O,X,X,X,X,X,X
LISZOTJ,X,O,O,X,X,O,X,X,X,X,X,X
LISZOJT,X,O,X,X,X,O,X,X,X,X,X,X
LISOTJZ,O,O,O,X,X,O,O,X,X,X,X,X
LISOTZJ,O,O,O,X,X,O,O,X,X,X,X,X
LISOJTZ,O,X,O,X,X,X,O,X,X,O,X,X
