sequence,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBlmBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBimBlmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFOmBSoBzmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB1nB6oB2rB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBlmBToBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFSoBmmBTmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFXjBzmBStBlqBOr?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB6sBToB2rB0q?BFtB,v115@HhD8FeB8HeC8BeB8BeA8JeUBJvhFRiBSoBVsBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF1nBTmBStBmmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+oBlmB3nBimB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8JeRBJvhF1nB0mBStBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Je3BJvhFlnBctBmkBRrBzq?BCtB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhFXjBStBmkBRrBzq?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhF0iBStBmkBRrBzq?BXtB
ZISLJOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZISLOTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZISLOJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZISJTLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
ZISJTOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZISJLTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZISJLOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZISJOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZISJOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZISOTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZISOTJL,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
ZISOLTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZISOLJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZISOJTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZISOJLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZIOTLJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZIOTLSJ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
ZIOTJLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIOTJSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZIOTSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOTSJL,O,X,O,O,O,X,X,X,X,X,X,X,O,X,X
ZIOLTJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZIOLTSJ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
ZIOLJTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZIOLJST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZIOLSTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZIOLSJT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZIOJTLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIOJTSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZIOJLTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZIOJLST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZIOJSTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZIOJSLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZIOSTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZIOSTJL,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
ZIOSLTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZIOSLJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZIOSJTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZIOSJLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLTIJSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLTIJOS,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X
ZLTISJO,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLTISOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
ZLTIOJS,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X
ZLTIOSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
ZLTJISO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLTJIOS,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X
ZLTJSIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZLTJSOI,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
ZLTJOIS,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X
ZLTJOSI,X,X,X,X,O,X,X,X,O,O,X,O,X,X,X
ZLTSIJO,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLTSIOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
ZLTSJIO,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
ZLTSJOI,O,O,X,X,X,X,X,X,O,X,X,O,X,X,X
ZLTSOIJ,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X
ZLTSOJI,X,X,X,X,X,X,O,O,O,O,X,O,X,X,X
ZLTOIJS,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X
ZLTOISJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
ZLTOJIS,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X
ZLTOJSI,X,X,X,O,O,X,O,X,O,O,X,O,X,X,X
ZLTOSIJ,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X
ZLTOSJI,X,X,X,O,X,X,O,O,O,O,X,O,X,X,X
ZLITJSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O
ZLITJOS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O
ZLITSJO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,O
ZLITSOJ,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
ZLITOJS,X,X,X,O,O,X,O,X,X,O,X,O,X,X,O
ZLITOSJ,X,X,X,O,X,X,O,O,X,O,X,O,X,X,X
ZLIJTSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLIJTOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLIJSTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLIJSOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJOTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLIJOST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLISTJO,O,O,X,X,X,O,X,X,X,X,X,X,O,O,X
ZLISTOJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZLISJTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLISJOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLISOTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLISOJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLIOTJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLIOTSJ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
ZLIOJTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLIOJST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLIOSTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLIOSJT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJTISO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJTIOS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZLJTSIO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJTSOI,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
ZLJTOIS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZLJTOSI,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZLJITSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJITOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZLJISTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJISOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLJIOST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJSTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZLJSIOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLJSOTI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLJSOIT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLJOTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLJOTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLJOITS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLJOIST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLJOSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLSTIJO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSTIOJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZLSTJIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,X,X,X,O,X,X,X,X,X,O,X,X,X
ZLSTOIJ,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X
ZLSTOJI,X,X,O,X,X,X,O,O,X,O,X,O,X,X,X
ZLSITJO,O,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZLSITOJ,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
ZLSIJTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSIJOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSIOTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLSIOJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSJTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJITO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSJOTI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSJOIT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSOTIJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLSOTJI,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLSOITJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLSOIJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSOJTI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLSOJIT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLOTIJS,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
ZLOTISJ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
ZLOTJIS,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
ZLOTJSI,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X
ZLOTSIJ,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
ZLOTSJI,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
ZLOITJS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLOITSJ,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X
ZLOIJTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLOIJST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOISTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOISJT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLOJTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLOJITS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZLOJIST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOJSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOSTIJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOSTJI,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOSITJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZLOSIJT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOSJTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLOSJIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJTILSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJTILOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZJTISLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
ZJTISOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZJTIOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTIOSL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJTLISO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJTLIOS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJTLSIO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,X
ZJTLSOI,O,O,X,X,X,X,X,X,O,X,O,O,X,X,X
ZJTLOIS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJTLOSI,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X
ZJTSILO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
ZJTSIOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZJTSLIO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
ZJTSLOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZJTSOIL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZJTSOLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJTOILS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOISL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJTOLIS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOLSI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJTOSIL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJTOSLI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJITLSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJITLOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITSLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
ZJITSOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZJITOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZJITOSL,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJILTSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJILTOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJILSTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJILSOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJILOTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJILOST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJISTLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
ZJISTOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZJISLTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJISLOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJISOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJISOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJIOTLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJIOTSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJIOLTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJIOLST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJIOSTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJIOSLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJLTISO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLTIOS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZJLTSIO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLTSOI,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
ZJLTOIS,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZJLTOSI,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X
ZJLITSO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLITOS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
ZJLISTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLISOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJLIOST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLSTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJLSIOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJLSOTI,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJLSOIT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZJLOTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJLOTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJLOITS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJLOIST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJLOSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJSTILO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSTIOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSTLIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSTLOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSTOIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSTOLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSITLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSITOL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSILTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSILOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSIOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSIOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLTOI,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLITO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJSLIOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSLOTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSLOIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSOTLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSOITL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJSOILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOTILS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOTISL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJOTLIS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOTLSI,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOTSIL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJOTSLI,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJOITLS,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZJOITSL,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X
ZJOILTS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOILST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOISTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJOISLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOLTIS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOLTSI,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOLITS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X
ZJOLIST,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLSTI,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOLSIT,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
ZJOSTIL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJOSTLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJOSITL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZJOSILT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOSLTI,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJOSLIT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSTILJO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZSTILOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTIJLO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
ZSTIJOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZSTIOLJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTIOJL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
ZSTLIJO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZSTLIOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTLJIO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,X
ZSTLJOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
ZSTLOIJ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
ZSTLOJI,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
ZSTJILO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
ZSTJIOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZSTJLIO,O,O,X,X,X,O,X,X,O,X,O,X,O,X,X
ZSTJLOI,O,O,X,X,X,O,X,X,O,X,O,X,X,X,X
ZSTJOIL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZSTJOLI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZSTOILJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTOIJL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
ZSTOLIJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTOLJI,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
ZSTOJIL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
ZSTOJLI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZSITLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSITJLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
ZSITJOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZSITOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZSITOJL,O,O,O,X,O,X,X,X,X,X,X,X,O,X,X
ZSILTJO,O,O,X,X,X,O,X,X,X,X,X,X,O,X,X
ZSILTOJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZSILJTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZSILOTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZSILOJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZSIJTLO,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X
ZSIJTOL,O,O,O,X,O,X,X,X,X,X,O,X,O,X,X
ZSIJLTO,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
ZSIJLOT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSIJOTL,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X
ZSIJOLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSIOTLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOTJL,O,O,O,O,O,X,X,X,X,X,X,X,O,X,X
ZSIOLTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZSIOLJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZSIOJTL,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ZSLTIOJ,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X
ZSLTJIO,O,O,X,X,X,O,X,X,O,X,X,X,X,X,X
ZSLTJOI,O,O,X,X,X,O,X,X,O,X,X,O,X,X,X
ZSLTOIJ,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
ZSLTOJI,X,X,O,X,X,X,X,O,O,O,X,O,X,X,X
ZSLITJO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLITOJ,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
ZSLIJTO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZSLIOTJ,X,X,O,O,X,X,X,O,X,O,X,X,X,X,X
ZSLIOJT,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZSLJTIO,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZSLJTOI,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
