sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
TOZSLJI,O,O,X,X
TOZSJIL,O,O,X,X
TOZSJLI,O,O,X,X
ITLJSZO,O,X,X,O
ITLJSOZ,O,X,X,O
ITLJZSO,X,O,O,O
ITLJZOS,X,O,X,O
ITLJOSZ,O,X,X,O
ITLJOZS,X,O,X,O
ITLSJZO,O,X,X,X
ITLSJOZ,O,X,X,X
ITLSZJO,O,X,O,X
ITLSZOJ,O,X,O,X
ITLSOJZ,O,X,X,X
ITLSOZJ,O,X,O,X
ITLZJSO,X,O,O,X
ITLZJOS,X,O,X,X
ITLZSJO,X,O,O,X
ITLZSOJ,X,X,O,X
ITLZOJS,X,O,X,X
ITLZOSJ,X,O,X,X
ITLOJSZ,O,X,X,O
ITLOJZS,X,O,X,O
ITLOSJZ,O,X,X,X
ITLOSZJ,O,X,O,X
ITLOZJS,X,O,X,X
ITLOZSJ,X,O,X,X
ITJLSZO,O,X,X,O
ITJLSOZ,O,X,X,O
ITJLZSO,X,O,O,O
ITJLZOS,X,O,X,O
ITJLOSZ,O,X,X,O
ITJLOZS,X,O,X,O
ITJSLZO,O,X,X,O
ITJSLOZ,O,X,X,O
ITJSZLO,O,O,X,X
ITJSZOL,O,O,X,X
ITJSOLZ,O,X,X,X
ITJSOZL,O,O,X,X
ITJZLSO,X,O,O,X
ITJZLOS,X,O,X,X
ITJZSLO,O,O,O,X
ITJZSOL,O,O,X,X
ITJZOLS,X,O,X,X
ITJZOSL,O,O,X,X
ITJOLSZ,O,X,X,O
ITJOLZS,X,O,X,O
ITJOSLZ,O,X,X,X
ITJOSZL,O,O,X,X
ITJOZLS,X,O,X,X
ITJOZSL,O,O,X,X
ITSLJZO,O,X,X,X
ITSLJOZ,O,X,X,X
ITSLZJO,O,X,O,X
ITSLZOJ,O,X,O,X
ITSLOJZ,O,X,X,X
ITSLOZJ,O,X,O,X
ITSJLZO,O,X,X,X
ITSJLOZ,O,X,X,X
ITSJZLO,O,O,X,X
ITSJZOL,O,O,X,X
ITSJOLZ,O,X,X,X
ITSJOZL,O,O,X,X
