sequence,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFTiB6oB/qB8?sBmrBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFOmBxiBfsBS?tB0qBlsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFVnBilBXoBG?oBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFihB1rBxnBG?oB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF0iB6oBTlBX?rBlsBmrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF8mBSoBlqBx?sBOrB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JelAJvhFziB+oB/qBx?rBirBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF0iB6oBxqBl?sBmrBXrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeGDJvhFxlBXnBVtBi?lBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF8mBfoB6oBm?qBTsBlqB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFBJvhFxiBSsBToBm?qB/qBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeyGJvhFGjBUoBxqBT?sB/qBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFXiB+oBilBz?qBFsB8sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFlhB2rBxnBS?tB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFDJvhFxlBXnBStBT?lBerBUsB
ZISLJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISLOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISLOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISJTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJLOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISJOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZISJOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZISOTLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZISOTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISOLTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZISOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZISOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZISOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZIOTLJS,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
ZIOTLSJ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
ZIOTJLS,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
ZIOTJSL,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
ZIOTSLJ,X,X,O,O,X,O,X,O,X,X,X,O,X,X,X
ZIOTSJL,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
ZIOLTJS,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X
ZIOLTSJ,X,O,O,X,X,O,X,O,X,X,X,O,X,X,X
ZIOLJTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZIOLJST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIOLSTJ,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
ZIOLSJT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIOJTLS,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ZIOJTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ZIOJLTS,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X
ZIOJLST,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIOJSTL,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X
ZIOJSLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIOSTLJ,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X
ZIOSTJL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZIOSLTJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X
ZIOSLJT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZIOSJTL,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
ZIOSJLT,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTIJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLTIJOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZLTISJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLTISOJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
ZLTIOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
ZLTIOSJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
ZLTJISO,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
ZLTJIOS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X
ZLTJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJSOI,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X
ZLTJOIS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTJOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTSIJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
ZLTSIOJ,O,O,O,O,O,X,X,O,X,X,X,X,X,X,O
ZLTSJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTSJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTSOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTSOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTOIJS,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
ZLTOISJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
ZLTOJIS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLTOJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTOSIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTOSJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLITJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLITJOS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLITSJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLITSOJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLITOJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLITOSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLIJTSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLIJTOS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
ZLIJSTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJSOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISTJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLISTOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLISJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLISOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTJS,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
ZLIOTSJ,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
ZLIOJTS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSTJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOSJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTISO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLJTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLJTOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLJISTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJISOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJIOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZLJIOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZLJOTSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOITS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZLJOIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOSTI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLJOSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLSTIJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ZLSTIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZLSTJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSTJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSTOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSTOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSITJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLSITOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLSIJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSIOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSJOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOTIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSOTJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSOITJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLSOIJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLSOJIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTIJS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTISJ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTJIS,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTJSI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOTSIJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOTSJI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOITJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJTS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOISTJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOISJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTIS,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
ZLOJTSI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJITS,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X
ZLOJIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJSTI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
ZLOJSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLOSTIJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSTJI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSITJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLOSIJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSJIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTILSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTILOS,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
ZJTISLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJTISOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJTIOLS,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
ZJTIOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJTLISO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLIOS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZJTLSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
ZJTLOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTSILO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSIOL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZJTSLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTSOIL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZJTSOLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJTOILS,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
ZJTOISL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJTOLIS,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X
ZJTOLSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJTOSIL,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZJTOSLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJITLSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJITLOS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJITSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJITSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJITOLS,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJITOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJILTSO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
ZJILTOS,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X
ZJILSTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJILOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZJISLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISLOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJISOTL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZJISOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJIOTLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJIOTSL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJIOLTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJIOLST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJIOSTL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZJIOSLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJLTISO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTIOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJLTSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTSOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJLTOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITSO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITOS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJLISTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJLIOST,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJLOTSI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOITS,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X
ZJLOIST,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOSTI,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLOSIT,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJSTILO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZJSTIOL,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZJSTLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTLOI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSTOIL,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZJSTOLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSITLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSITOL,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
ZJSILTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSILOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSIOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZJSIOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSLTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLTOI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLITO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSLOIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOTIL,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZJSOTLI,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSOITL,O,X,X,O,X,X,O,X,X,X,X,X,X,O,X
ZJSOILT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZJSOLTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJSOLIT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOTILS,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
ZJOTISL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZJOTLIS,X,O,O,O,X,X,X,X,X,X,X,X,O,O,X
ZJOTLSI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZJOTSIL,O,X,X,O,X,X,X,X,X,O,X,X,X,O,X
ZJOTSLI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJOITLS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJOITSL,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
ZJOILTS,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
ZJOILST,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJOISTL,O,X,X,X,X,X,O,X,X,O,X,X,X,O,X
ZJOISLT,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJOLTIS,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X
ZJOLTSI,O,O,O,X,X,X,X,X,X,X,O,X,O,X,X
ZJOLITS,X,O,O,X,X,X,X,X,X,X,O,X,O,O,X
ZJOLIST,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJOLSTI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
ZJOLSIT,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X
ZJOSTIL,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZJOSTLI,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJOSITL,O,X,X,O,X,X,O,X,X,O,X,X,X,O,X
ZJOSILT,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X
ZJOSLTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJOSLIT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
ZSTILJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSTILOJ,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSTIJLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSTIJOL,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X
ZSTIOLJ,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSTIOJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZSTLIJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSTLIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJILO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSTJIOL,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X
ZSTJLIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJOIL,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
ZSTJOLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZSTOIJL,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
ZSTOLIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOLJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOJIL,O,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZSTOJLI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSITLOJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSITJLO,O,X,X,O,X,O,O,X,X,X,X,X,X,X,X
ZSITJOL,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X
ZSITOLJ,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZSITOJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
ZSILTJO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSILTOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
ZSILJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIJTOL,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIJLTO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIJLOT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIJOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
ZSIJOLT,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
ZSIOTLJ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOTJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOLTJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOLJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIOJLT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLTIJO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ZSLTIOJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZSLTJIO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLTOIJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLTOJI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLITJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSLITOJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZSLIJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIJOT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLIOTJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLIOJT,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLJTIO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
