sequence,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFihBziB5oB3?mB0qBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhF8mBziB5oBy?qBlsBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnBxiB6tBU?lBXrBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFliB5oByqBz?mB8sBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8Ke0BJvhF5oB3lBznBi?rBGqBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFxhBTmB/sBF?oB6tB0qB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnB5oBysBU?lBXrBlsB
LSITZJO,O,O,O,X,X,X,X
LSITZOJ,O,O,O,X,O,X,X
LSITOJZ,O,O,O,X,X,X,O
LSITOZJ,O,O,O,X,O,X,X
LSIJTZO,O,O,X,X,X,X,X
LSIJTOZ,O,O,O,X,X,X,O
LSIJZTO,O,O,X,X,X,X,X
LSIJZOT,X,X,O,O,O,X,O
LSIJOTZ,O,X,O,X,X,X,O
LSIJOZT,X,X,O,O,O,X,O
LSIZTJO,O,O,X,X,X,X,X
LSIZTOJ,O,O,X,X,O,X,X
LSIZJTO,O,O,X,X,X,X,X
LSIZJOT,O,X,O,O,O,X,O
LSIZOTJ,O,X,X,O,O,X,X
LSIZOJT,O,X,O,O,O,X,O
LSIOTJZ,O,X,O,X,X,X,O
LSIOTZJ,O,X,O,X,O,X,X
LSIOJTZ,O,X,O,X,X,X,O
LSIOJZT,X,X,O,O,O,X,O
LSIOZTJ,X,X,X,O,O,X,X
LSIOZJT,X,X,O,O,O,X,O
LSJTIZO,O,O,O,X,X,X,X
LSJTIOZ,O,O,O,X,X,X,O
LSJTZIO,O,O,O,X,X,X,X
LSJTZOI,O,O,O,X,X,O,X
LSJTOIZ,O,O,O,X,X,O,O
LSJTOZI,O,O,O,X,X,O,X
LSJITZO,O,O,X,X,X,X,X
LSJITOZ,O,O,O,X,X,X,O
LSJIZTO,O,O,X,X,X,X,X
LSJIZOT,X,X,O,O,O,X,O
LSJIOTZ,O,X,O,X,X,X,O
LSJIOZT,X,X,O,O,O,X,O
LSJZTIO,O,O,X,X,X,X,X
LSJZTOI,O,O,X,X,X,O,X
LSJZITO,O,O,X,X,X,X,X
LSJZIOT,X,X,O,O,O,X,O
LSJZOTI,X,X,O,O,X,O,X
LSJZOIT,X,X,O,O,O,O,O
LSJOTIZ,O,X,O,X,X,O,O
LSJOTZI,O,X,O,X,X,O,X
LSJOITZ,O,X,O,X,X,O,O
LSJOIZT,X,X,O,O,O,X,O
LSJOZTI,X,X,O,O,X,X,X
LSJOZIT,X,X,O,O,O,X,O
LSZTIJO,O,O,O,X,X,X,X
LSZTIOJ,O,O,O,X,O,X,X
LSZTJIO,O,O,O,X,X,X,X
LSZTJOI,O,O,O,X,X,O,X
LSZTOIJ,O,O,O,X,O,O,X
LSZTOJI,O,O,O,X,X,O,X
LSZITJO,O,O,X,X,X,X,X
LSZITOJ,O,O,X,X,O,X,X
LSZIJTO,O,O,X,X,X,X,X
LSZIJOT,O,X,O,O,O,X,O
LSZIOTJ,O,X,X,O,O,X,X
LSZIOJT,O,X,O,O,O,X,O
LSZJTIO,O,O,X,X,X,X,X
LSZJTOI,O,O,X,X,X,O,X
LSZJITO,O,O,X,X,X,X,X
LSZJIOT,O,X,O,O,O,X,O
LSZJOTI,O,X,O,O,X,O,X
LSZJOIT,O,X,O,O,O,O,O
LSZOTIJ,O,X,O,O,O,O,X
LSZOTJI,O,X,O,O,X,O,X
LSZOITJ,O,X,X,O,O,O,X
LSZOIJT,O,X,O,O,O,O,O
LSZOJTI,O,X,O,O,X,O,X
LSZOJIT,O,X,O,O,O,O,O
LSOTIJZ,O,X,O,X,X,O,O
LSOTIZJ,O,X,O,X,O,X,X
LSOTJIZ,O,X,O,X,X,O,O
LSOTJZI,O,X,O,X,X,O,X
LSOTZIJ,O,X,O,X,O,X,X
LSOTZJI,O,X,O,X,X,X,X
LSOITJZ,O,X,O,X,X,O,O
LSOITZJ,O,X,O,X,O,X,X
LSOIJTZ,O,X,O,X,X,O,O
LSOIJZT,X,X,O,O,O,X,O
LSOIZTJ,X,X,X,O,O,X,X
LSOIZJT,X,X,O,O,O,X,O
LSOJTIZ,O,X,O,X,X,O,O
LSOJTZI,O,X,O,X,X,O,X
LSOJITZ,O,X,O,X,X,O,O
LSOJIZT,X,X,O,O,O,X,O
LSOJZTI,X,X,O,O,X,X,X
LSOJZIT,X,X,O,O,O,X,O
LSOZTIJ,X,X,O,O,O,X,X
LSOZTJI,X,X,O,O,X,X,X
LSOZITJ,X,X,X,O,O,X,X
LSOZIJT,X,X,O,O,O,X,O
LSOZJTI,X,X,O,O,X,X,X
LSOZJIT,X,X,O,O,O,X,O
LZTIJSO,O,O,O,X,X,X,X
LZTIJOS,O,O,X,O,X,X,X
LZTISJO,O,O,O,X,X,X,X
LZTISOJ,O,O,O,X,O,X,X
LZTIOJS,O,O,X,O,X,X,X
LZTIOSJ,O,O,X,O,O,X,X
LZTJISO,O,O,O,X,X,X,X
LZTJIOS,O,O,X,O,X,X,X
LZTJSIO,O,O,O,X,X,X,X
LZTJSOI,O,O,O,X,X,X,X
LZTJOIS,O,O,X,O,X,X,X
LZTJOSI,O,O,X,O,X,X,X
LZTSIJO,O,O,O,X,X,X,X
LZTSIOJ,O,O,O,X,O,X,X
LZTSJIO,O,O,O,X,X,X,X
LZTSJOI,O,O,O,X,X,X,X
LZTSOIJ,O,O,O,X,O,X,X
LZTSOJI,O,O,O,X,X,X,X
LZTOIJS,O,O,X,O,X,X,X
LZTOISJ,O,O,X,O,O,X,X
LZTOJIS,O,O,X,O,X,X,X
LZTOJSI,O,O,X,O,X,X,X
LZTOSIJ,O,O,X,O,O,X,X
LZTOSJI,O,O,X,O,X,X,X
LZITJSO,O,O,O,X,X,X,X
LZITJOS,O,O,X,O,X,X,X
LZITSJO,O,O,O,X,X,X,X
LZITSOJ,O,O,O,X,O,X,X
LZITOJS,O,O,X,O,X,X,X
LZITOSJ,O,O,X,O,O,X,X
LZIJTSO,O,O,X,X,X,X,X
LZIJTOS,O,O,X,O,X,X,X
LZIJSTO,O,O,X,X,X,X,X
LZIJSOT,O,X,X,O,O,X,O
LZIJOTS,X,O,X,O,X,X,X
LZIJOST,X,X,X,O,O,X,X
LZISTJO,O,O,X,X,X,X,X
LZISTOJ,O,O,X,X,O,X,X
LZISJTO,O,O,X,X,X,X,X
LZISJOT,O,X,O,O,O,X,O
LZISOTJ,O,X,X,O,O,X,X
LZISOJT,O,X,O,O,O,X,O
LZIOTJS,X,O,X,O,X,X,X
LZIOTSJ,X,O,X,O,O,X,X
LZIOJTS,X,O,X,O,X,X,X
LZIOJST,X,X,X,O,O,X,X
LZIOSTJ,X,X,X,O,O,X,X
LZIOSJT,X,X,X,O,O,X,X
LZJTISO,O,O,X,X,X,X,X
LZJTIOS,O,O,X,O,X,X,X
LZJTSIO,O,O,X,X,X,X,X
LZJTSOI,O,O,X,X,X,X,X
LZJTOIS,O,O,X,O,X,X,X
LZJTOSI,O,O,X,O,X,X,X
LZJITSO,O,O,X,X,X,X,X
LZJITOS,O,O,X,O,X,X,X
LZJISTO,O,O,X,X,X,X,X
LZJISOT,O,X,X,O,O,X,O
LZJIOTS,X,O,X,O,X,X,X
LZJIOST,X,X,X,O,O,X,X
LZJSTIO,O,O,X,X,X,X,X
LZJSTOI,O,O,X,X,X,O,X
LZJSITO,O,O,X,X,X,X,X
LZJSIOT,O,X,X,O,O,X,O
LZJSOTI,O,X,X,O,X,O,X
LZJSOIT,O,X,X,O,O,O,O
LZJOTIS,X,O,X,O,X,X,X
LZJOTSI,X,O,X,O,X,X,X
LZJOITS,X,O,X,O,X,X,X
LZJOIST,X,X,X,O,O,O,X
LZJOSTI,X,X,X,O,X,O,X
LZJOSIT,X,X,X,O,O,O,X
LZSTIJO,O,O,O,X,X,X,X
LZSTIOJ,O,O,O,X,O,X,X
LZSTJIO,O,O,O,X,X,X,X
LZSTJOI,O,O,O,X,X,O,X
LZSTOIJ,O,O,O,X,O,O,X
LZSTOJI,O,O,O,X,X,O,X
LZSITJO,O,O,X,X,X,X,X
LZSITOJ,O,O,X,X,O,X,X
LZSIJTO,O,O,X,X,X,X,X
LZSIJOT,O,X,O,O,O,X,O
LZSIOTJ,O,X,X,O,O,X,X
LZSIOJT,O,X,O,O,O,X,O
LZSJTIO,O,O,X,X,X,X,X
LZSJTOI,O,O,X,X,X,O,X
LZSJITO,O,O,X,X,X,X,X
LZSJIOT,O,X,O,O,O,X,O
LZSJOTI,O,X,O,O,X,O,X
LZSJOIT,O,X,O,O,O,O,O
LZSOTIJ,O,X,O,O,O,O,X
LZSOTJI,O,X,O,O,X,O,X
LZSOITJ,O,X,X,O,O,O,X
LZSOIJT,O,X,O,O,O,O,O
LZSOJTI,O,X,O,O,X,O,X
LZSOJIT,O,X,O,O,O,O,O
LZOTIJS,X,O,X,O,X,X,X
LZOTISJ,X,O,X,O,O,X,X
LZOTJIS,X,O,X,O,X,X,X
LZOTJSI,X,O,X,O,X,X,X
LZOTSIJ,X,O,X,O,O,X,X
LZOTSJI,X,O,X,O,X,X,X
LZOITJS,X,O,X,O,X,X,X
LZOITSJ,X,O,X,O,O,X,X
LZOIJTS,X,O,X,O,X,X,X
LZOIJST,X,X,X,O,O,O,X
LZOISTJ,X,X,X,O,O,O,X
LZOISJT,X,X,X,O,O,O,X
LZOJTIS,X,O,X,O,X,X,X
LZOJTSI,X,O,X,O,X,X,X
LZOJITS,X,O,X,O,X,X,X
LZOJIST,X,X,X,O,O,O,X
LZOJSTI,X,X,X,O,X,O,X
LZOJSIT,X,X,X,O,O,O,X
LZOSTIJ,X,X,X,O,O,O,X
LZOSTJI,X,X,X,O,X,O,X
LZOSITJ,X,X,X,O,O,O,X
LZOSIJT,X,X,X,O,O,O,X
LZOSJTI,X,X,X,O,X,O,X
LZOSJIT,X,X,X,O,O,O,X
LOTIJSZ,X,O,O,X,X,X,X
LOTIJZS,X,O,X,O,X,X,X
LOTISJZ,X,O,O,X,X,X,X
LOTISZJ,X,O,O,X,O,X,X
LOTIZJS,X,O,X,O,X,X,X
LOTIZSJ,X,O,X,O,O,X,X
LOTJISZ,X,O,O,X,X,X,X
LOTJIZS,X,O,X,O,X,X,X
LOTJSIZ,X,O,O,X,X,X,X
LOTJSZI,X,O,O,X,X,X,X
LOTJZIS,X,O,X,O,X,X,X
LOTJZSI,X,O,X,O,X,X,X
LOTSIJZ,X,O,O,X,X,X,X
LOTSIZJ,X,O,O,X,O,X,X
LOTSJIZ,X,O,O,X,X,X,X
LOTSJZI,X,O,O,X,X,X,X
LOTSZIJ,X,O,O,X,O,X,X
LOTSZJI,X,O,O,X,X,X,X
LOTZIJS,X,O,X,O,X,X,X
LOTZISJ,X,O,X,O,O,X,X
LOTZJIS,X,O,X,O,X,X,X
LOTZJSI,X,O,X,O,X,X,X
LOTZSIJ,X,O,X,O,O,X,X
LOTZSJI,X,O,X,O,X,X,X
LOITJSZ,X,O,O,X,X,X,X
LOITJZS,X,O,X,O,X,X,X
LOITSJZ,X,O,O,X,X,X,X
LOITSZJ,X,O,O,X,O,X,X
LOITZJS,X,O,X,O,X,X,X
LOITZSJ,X,O,X,O,O,X,X
LOIJTSZ,X,O,X,X,X,X,X
LOIJTZS,X,O,X,O,X,X,X
LOIJSTZ,X,X,X,X,X,O,O
LOIJSZT,X,X,X,O,O,X,O
LOIJZTS,X,O,X,O,X,X,X
LOIJZST,X,X,X,O,O,X,X
LOISTJZ,X,X,O,X,X,O,O
LOISTZJ,X,X,X,X,O,X,X
LOISJTZ,X,X,O,X,X,O,O
LOISJZT,X,X,O,O,O,X,O
LOISZTJ,X,X,X,O,O,X,X
LOISZJT,X,X,O,O,O,X,O
LOIZTJS,X,O,X,O,X,X,X
LOIZTSJ,X,O,X,O,O,X,X
LOIZJTS,X,O,X,O,X,X,X
LOIZJST,X,X,X,O,O,X,X
LOIZSTJ,X,X,X,O,O,X,X
LOIZSJT,X,X,X,O,O,X,X
LOJTISZ,X,O,X,X,X,X,X
LOJTIZS,X,O,X,O,X,X,X
LOJTSIZ,X,O,X,X,X,X,X
LOJTSZI,X,O,X,X,X,X,X
LOJTZIS,X,O,X,O,X,X,X
LOJTZSI,X,O,X,O,X,X,X
LOJITSZ,X,O,X,X,X,X,X
LOJITZS,X,O,X,O,X,X,X
LOJISTZ,X,X,X,X,X,O,O
LOJISZT,X,X,X,O,O,X,O
LOJIZTS,X,O,X,O,X,X,X
LOJIZST,X,X,X,O,O,X,X
LOJSTIZ,X,X,X,X,X,O,O
LOJSTZI,X,X,X,X,X,O,X
LOJSITZ,X,X,X,X,X,O,O
LOJSIZT,X,X,X,O,O,X,O
LOJSZTI,X,X,X,O,X,X,X
LOJSZIT,X,X,X,O,O,X,O
LOJZTIS,X,O,X,O,X,X,X
LOJZTSI,X,O,X,O,X,X,X
LOJZITS,X,O,X,O,X,X,X
LOJZIST,X,X,X,O,O,X,X
LOJZSTI,X,X,X,O,X,X,X
LOJZSIT,X,X,X,O,O,X,X
LOSTIJZ,X,X,O,X,X,O,O
LOSTIZJ,X,X,O,X,O,X,X
LOSTJIZ,X,X,O,X,X,O,O
LOSTJZI,X,X,O,X,X,O,X
LOSTZIJ,X,X,O,X,O,X,X
LOSTZJI,X,X,O,X,X,X,X
LOSITJZ,X,X,O,X,X,O,O
LOSITZJ,X,X,O,X,O,X,X
LOSIJTZ,X,X,O,X,X,O,O
LOSIJZT,X,X,O,O,O,X,O
LOSIZTJ,X,X,X,O,O,X,X
LOSIZJT,X,X,O,O,O,X,O
LOSJTIZ,X,X,O,X,X,O,O
LOSJTZI,X,X,O,X,X,O,X
LOSJITZ,X,X,O,X,X,O,O
LOSJIZT,X,X,O,O,O,X,O
LOSJZTI,X,X,O,O,X,X,X
LOSJZIT,X,X,O,O,O,X,O
LOSZTIJ,X,X,O,O,O,X,X
LOSZTJI,X,X,O,O,X,X,X
LOSZITJ,X,X,X,O,O,X,X
LOSZIJT,X,X,O,O,O,X,O
LOSZJTI,X,X,O,O,X,X,X
LOSZJIT,X,X,O,O,O,X,O
LOZTIJS,X,O,X,O,X,X,X
LOZTISJ,X,O,X,O,O,X,X
LOZTJIS,X,O,X,O,X,X,X
LOZTJSI,X,O,X,O,X,X,X
LOZTSIJ,X,O,X,O,O,X,X
LOZTSJI,X,O,X,O,X,X,X
LOZITJS,X,O,X,O,X,X,X
LOZITSJ,X,O,X,O,O,X,X
LOZIJTS,X,O,X,O,X,X,X
LOZIJST,X,X,X,O,O,X,X
LOZISTJ,X,X,X,O,O,X,X
LOZISJT,X,X,X,O,O,X,X
LOZJTIS,X,O,X,O,X,X,X
LOZJTSI,X,O,X,O,X,X,X
LOZJITS,X,O,X,O,X,X,X
LOZJIST,X,X,X,O,O,X,X
LOZJSTI,X,X,X,O,X,X,X
LOZJSIT,X,X,X,O,O,X,X
LOZSTIJ,X,X,X,O,O,X,X
LOZSTJI,X,X,X,O,X,X,X
LOZSITJ,X,X,X,O,O,X,X
LOZSIJT,X,X,X,O,O,X,X
LOZSJTI,X,X,X,O,X,X,X
LOZSJIT,X,X,X,O,O,X,X
JTILSZO,O,O,O,X,X,X,X
JTILSOZ,O,O,O,X,X,X,X
JTILZSO,O,O,O,X,X,X,X
JTILZOS,O,O,X,O,X,X,X
JTILOSZ,O,O,O,X,X,X,X
JTILOZS,O,O,X,O,X,X,X
JTISLZO,O,X,O,X,X,X,X
JTISLOZ,O,X,O,X,X,X,X
JTISZLO,O,X,X,X,X,X,X
JTISZOL,O,X,X,X,X,X,X
JTISOLZ,O,X,O,X,X,X,X
JTISOZL,O,X,X,X,X,X,X
JTIZLSO,O,O,X,X,X,X,X
JTIZLOS,O,O,X,O,X,X,X
JTIZSLO,O,X,X,X,X,X,X
JTIZSOL,O,X,X,X,X,X,X
JTIZOLS,O,O,X,X,X,X,X
JTIZOSL,O,X,X,X,X,X,X
JTIOLSZ,O,O,X,X,X,X,X
JTIOLZS,O,O,X,X,X,X,X
JTIOSLZ,O,X,X,X,X,X,X
JTIOSZL,O,X,X,X,X,X,X
JTIOZLS,O,O,X,X,X,X,X
JTIOZSL,O,X,X,X,X,X,X
JTLISZO,O,O,O,X,X,X,X
JTLISOZ,O,O,O,X,X,X,X
JTLIZSO,O,O,O,X,X,X,X
JTLIZOS,O,O,X,O,X,X,X
JTLIOSZ,O,O,O,X,X,X,X
JTLIOZS,O,O,X,O,X,X,X
JTLSIZO,O,O,O,X,X,X,X
JTLSIOZ,O,O,O,X,X,X,X
JTLSZIO,O,O,O,X,X,X,X
JTLSZOI,O,O,O,X,X,X,X
JTLSOIZ,O,O,O,X,X,X,X
JTLSOZI,O,O,O,X,X,X,X
JTLZISO,O,O,O,X,X,X,X
JTLZIOS,O,O,X,O,X,X,X
JTLZSIO,O,O,O,X,X,X,X
JTLZSOI,O,O,O,X,X,X,X
JTLZOIS,O,O,X,O,X,X,X
JTLZOSI,O,O,X,O,X,X,X
JTLOISZ,O,O,O,X,X,X,X
JTLOIZS,O,O,X,O,X,X,X
JTLOSIZ,O,O,O,X,X,X,X
JTLOSZI,O,O,O,X,X,X,X
JTLOZIS,O,O,X,O,X,X,X
JTLOZSI,O,O,X,O,X,X,X
JTSILZO,O,X,O,X,X,X,X
JTSILOZ,O,X,O,X,X,X,X
JTSIZLO,O,X,X,X,X,X,X
JTSIZOL,O,X,X,X,X,O,X
JTSIOLZ,O,X,O,X,X,O,X
JTSIOZL,O,X,X,X,X,O,X
JTSLIZO,O,X,O,X,X,X,X
JTSLIOZ,O,X,O,X,X,X,X
JTSLZIO,O,X,O,X,X,X,X
JTSLZOI,O,X,O,X,X,O,X
JTSLOIZ,O,X,O,X,X,O,X
JTSLOZI,O,X,O,X,X,O,X
JTSZILO,O,X,X,X,X,X,X
JTSZIOL,O,X,X,X,X,O,X
JTSZLIO,O,X,O,X,X,X,X
JTSZLOI,O,X,O,X,X,O,X
JTSZOIL,O,X,X,X,X,O,X
JTSZOLI,O,X,O,X,X,O,X
JTSOILZ,O,X,O,X,X,O,X
JTSOIZL,O,X,X,X,X,O,X
JTSOLIZ,O,X,O,X,X,O,X
JTSOLZI,O,X,O,X,X,O,X
JTSOZIL,O,X,X,X,X,O,X
JTSOZLI,O,X,O,X,X,O,X
JTZILSO,O,O,X,X,X,X,X
JTZILOS,O,O,X,O,X,X,X
JTZISLO,O,X,X,X,X,X,X
JTZISOL,O,X,X,X,X,X,X
JTZIOLS,O,O,X,X,X,X,X
JTZIOSL,O,X,X,X,X,X,X
JTZLISO,O,O,O,X,X,X,X
JTZLIOS,O,O,X,O,X,X,X
JTZLSIO,O,O,O,X,X,X,X
JTZLSOI,O,O,O,X,X,X,X
JTZLOIS,O,O,X,O,X,X,X
JTZLOSI,O,O,X,O,X,X,X
JTZSILO,O,X,X,X,X,X,X
JTZSIOL,O,X,X,X,X,O,X
JTZSLIO,O,X,O,X,X,X,X
JTZSLOI,O,X,O,X,X,O,X
JTZSOIL,O,X,X,X,X,O,X
JTZSOLI,O,X,O,X,X,O,X
JTZOILS,O,O,X,X,X,X,X
JTZOISL,O,X,X,X,X,O,X
JTZOLIS,O,O,X,X,X,X,X
JTZOLSI,O,O,X,X,X,X,X
JTZOSIL,O,X,X,X,X,O,X
JTZOSLI,O,X,X,X,X,O,X
JTOILSZ,O,O,X,X,X,X,X
JTOILZS,O,O,X,X,X,X,X
JTOISLZ,O,X,X,X,X,O,X
JTOISZL,O,X,X,X,X,O,X
JTOIZLS,O,O,X,X,X,X,X
JTOIZSL,O,X,X,X,X,X,X
JTOLISZ,O,O,O,X,X,X,X
JTOLIZS,O,O,X,X,X,X,X
JTOLSIZ,O,O,O,X,X,X,X
JTOLSZI,O,O,O,X,X,X,X
JTOLZIS,O,O,X,X,X,X,X
JTOLZSI,O,O,X,X,X,X,X
JTOSILZ,O,X,O,X,X,O,X
JTOSIZL,O,X,X,X,X,O,X
JTOSLIZ,O,X,O,X,X,O,X
JTOSLZI,O,X,O,X,X,O,X
JTOSZIL,O,X,X,X,X,O,X
JTOSZLI,O,X,O,X,X,O,X
JTOZILS,O,O,X,X,X,X,X
JTOZISL,O,X,X,X,X,X,X
JTOZLIS,O,O,X,X,X,X,X
JTOZLSI,O,O,X,X,X,X,X
JTOZSIL,O,X,X,X,X,X,X
JTOZSLI,O,X,X,X,X,X,X
JITLSZO,O,O,X,X,X,X,X
JITLSOZ,O,O,X,X,X,X,X
JITLZSO,O,O,X,X,X,X,X
JITLZOS,O,O,X,O,X,X,X
JITLOSZ,O,O,X,X,X,X,X
JITLOZS,O,O,X,O,X,X,X
JITSLZO,O,X,X,X,X,X,X
JITSLOZ,O,X,X,X,X,X,X
JITSZLO,O,X,X,X,X,X,X
JITSZOL,O,X,X,X,X,X,X
JITSOLZ,O,X,X,X,X,X,X
JITSOZL,O,X,X,X,X,X,X
JITZLSO,O,O,X,X,X,X,X
JITZLOS,O,O,X,O,X,X,X
JITZSLO,O,X,X,X,X,X,X
JITZSOL,O,X,X,X,X,X,X
JITZOLS,O,O,X,X,X,X,X
JITZOSL,O,X,X,X,X,X,X
JITOLSZ,O,O,X,X,X,X,X
JITOLZS,O,O,X,X,X,X,X
JITOSLZ,O,X,X,X,X,X,X
JITOSZL,O,X,X,X,X,X,X
JITOZLS,O,O,X,X,X,X,X
JITOZSL,O,X,X,X,X,X,X
JILTSZO,O,O,X,X,X,X,X
JILTSOZ,O,O,X,X,X,X,O
JILTZSO,O,O,X,X,X,X,X
JILTZOS,O,O,X,O,X,X,X
JILTOSZ,O,O,X,X,X,X,X
JILTOZS,O,O,X,O,X,X,X
JILSTZO,O,O,X,X,X,X,X
JILSTOZ,O,O,X,X,X,X,O
JILSZTO,O,O,X,X,X,X,X
JILSZOT,X,X,X,O,O,X,O
JILSOTZ,O,X,X,X,X,X,O
JILSOZT,X,X,X,O,O,X,O
JILZTSO,O,O,X,X,X,X,X
JILZTOS,O,O,X,O,X,X,X
JILZSTO,O,O,X,X,X,X,X
JILZSOT,O,X,X,O,O,X,O
JILZOTS,X,O,X,O,X,X,X
JILZOST,X,X,X,O,O,X,X
JILOTSZ,X,O,X,X,X,X,X
JILOTZS,X,O,X,O,X,X,X
JILOSTZ,X,X,X,X,X,X,O
JILOSZT,X,X,X,O,O,X,O
JILOZTS,X,O,X,O,X,X,X
JILOZST,X,X,X,O,O,X,X
JISTLZO,O,X,X,X,X,X,X
JISTLOZ,O,X,X,X,X,X,O
JISTZLO,O,X,X,X,X,X,X
JISTZOL,O,X,X,X,X,O,X
JISTOLZ,O,X,X,X,X,O,O
JISTOZL,O,X,X,X,X,O,X
JISLTZO,O,O,X,X,X,X,X
JISLTOZ,O,O,X,X,X,X,O
JISLZTO,O,O,X,X,X,X,X
JISLZOT,X,X,X,O,O,X,O
JISLOTZ,O,X,X,X,X,X,O
JISLOZT,X,X,X,O,O,X,O
JISZTLO,O,X,X,X,X,X,X
JISZTOL,O,X,X,X,X,O,X
JISZLTO,O,X,X,X,X,X,X
JISZLOT,O,X,X,O,O,X,O
JISZOTL,O,X,X,X,X,O,X
JISZOLT,O,X,X,X,O,O,O
JISOTLZ,O,X,X,X,X,O,O
JISOTZL,O,X,X,X,X,O,X
JISOLTZ,O,X,X,X,X,O,O
JISOLZT,X,X,X,X,O,X,O
JISOZTL,X,X,X,X,X,O,X
JISOZLT,X,X,X,X,O,X,O
JIZTLSO,O,O,X,X,X,X,X
JIZTLOS,O,O,X,O,X,X,X
JIZTSLO,O,X,X,X,X,X,X
JIZTSOL,O,X,X,X,X,X,X
JIZTOLS,O,O,X,O,X,X,X
JIZTOSL,O,X,X,X,X,X,X
JIZLTSO,O,O,X,X,X,X,X
JIZLTOS,O,O,X,O,X,X,X
JIZLSTO,O,O,X,X,X,X,X
JIZLSOT,O,X,X,O,X,X,X
JIZLOTS,X,O,X,O,X,X,X
JIZLOST,X,X,X,O,X,X,X
JIZSTLO,O,X,X,X,X,X,X
JIZSTOL,O,X,X,X,X,O,X
JIZSLTO,O,X,X,X,X,X,X
JIZSLOT,O,X,X,O,X,X,X
JIZSOTL,O,X,X,X,X,O,X
JIZSOLT,O,X,X,X,X,O,X
JIZOTLS,O,X,X,O,X,X,X
JIZOTSL,O,X,X,X,X,O,X
JIZOLTS,X,X,X,O,X,X,X
JIZOLST,X,X,X,O,X,O,X
JIZOSTL,O,X,X,X,X,O,X
JIZOSLT,O,X,X,X,X,O,X
JIOTLSZ,O,X,X,X,X,X,X
JIOTLZS,O,X,X,X,X,X,X
JIOTSLZ,O,X,X,X,X,O,X
JIOTSZL,O,X,X,X,X,O,X
JIOTZLS,O,X,X,X,X,X,X
JIOTZSL,O,X,X,X,X,X,X
JIOLTSZ,X,O,X,X,X,X,X
JIOLTZS,X,O,X,O,X,X,X
JIOLSTZ,X,X,X,X,X,O,X
JIOLSZT,X,X,X,O,O,X,X
JIOLZTS,X,O,X,O,X,X,X
JIOLZST,X,X,X,O,O,X,X
JIOSTLZ,O,X,X,X,X,O,X
JIOSTZL,O,X,X,X,X,O,X
JIOSLTZ,O,X,X,X,X,O,X
JIOSLZT,X,X,X,X,O,X,X
JIOSZTL,X,X,X,X,X,O,X
JIOSZLT,X,X,X,X,O,X,X
JIOZTLS,O,X,X,O,X,X,X
JIOZTSL,O,X,X,X,X,X,X
JIOZLTS,X,X,X,O,X,X,X
JIOZLST,X,X,X,O,X,X,X
JIOZSTL,O,X,X,X,X,O,X
JIOZSLT,O,X,X,X,X,X,X
JLTISZO,O,O,O,X,X,X,X
JLTISOZ,O,O,O,X,X,X,O
JLTIZSO,O,O,O,X,X,X,X
JLTIZOS,O,O,X,O,X,X,X
JLTIOSZ,O,O,O,X,X,X,X
JLTIOZS,O,O,X,O,X,X,X
JLTSIZO,O,O,O,X,X,X,X
JLTSIOZ,O,O,O,X,X,X,O
JLTSZIO,O,O,O,X,X,X,X
JLTSZOI,O,O,O,X,X,X,X
JLTSOIZ,O,O,O,X,X,X,O
JLTSOZI,O,O,O,X,X,X,X
JLTZISO,O,O,O,X,X,X,X
JLTZIOS,O,O,X,O,X,X,X
JLTZSIO,O,O,O,X,X,X,X
JLTZSOI,O,O,O,X,X,X,X
JLTZOIS,O,O,X,O,X,X,X
JLTZOSI,O,O,X,O,X,X,X
JLTOISZ,O,O,O,X,X,X,X
JLTOIZS,O,O,X,O,X,X,X
JLTOSIZ,O,O,O,X,X,X,X
JLTOSZI,O,O,O,X,X,X,X
JLTOZIS,O,O,X,O,X,X,X
JLTOZSI,O,O,X,O,X,X,X
JLITSZO,O,O,O,X,X,X,X
JLITSOZ,O,O,O,X,X,X,O
JLITZSO,O,O,O,X,X,X,X
JLITZOS,O,O,X,O,X,X,X
JLITOSZ,O,O,O,X,X,X,X
JLITOZS,O,O,X,O,X,X,X
JLISTZO,O,O,X,X,X,X,X
JLISTOZ,O,O,O,X,X,X,O
JLISZTO,O,O,X,X,X,X,X
JLISZOT,X,X,O,O,O,X,O
JLISOTZ,O,X,O,X,X,X,O
JLISOZT,X,X,O,O,O,X,O
JLIZTSO,O,O,X,X,X,X,X
JLIZTOS,O,O,X,O,X,X,X
JLIZSTO,O,O,X,X,X,X,X
JLIZSOT,O,X,X,O,O,X,O
JLIZOTS,X,O,X,O,X,X,X
JLIZOST,X,X,X,O,O,X,X
JLIOTSZ,X,O,X,X,X,X,X
JLIOTZS,X,O,X,O,X,X,X
JLIOSTZ,X,X,X,X,X,X,O
JLIOSZT,X,X,X,O,O,X,O
JLIOZTS,X,O,X,O,X,X,X
