sequence,v115@vhHKAJziBcpB3mB+tBXqBlsBRwB,v115@vhHK/IXjBcqB3mB+tBTpBlsBRwB,v115@vhH32I8kBzgBStB2uBlqB3rBxxB,v115@vhH32IXgB8lBStBTpB2vBlrBxxB,v115@vhHU4IzhBfoB2pBFrBXsBSyBxuB,v115@vhH32IKlBzgBcpB+tBlrB3sBRvB,v115@vhH6+IziBcpB3mB+tBXqBlsBRwB,v115@vhHT5I8kBXjBStB2uBlqB3rBxxB,v115@vhHT1IZkBflBfoBWvBUrBFsBSyB,v115@vhH/DJZkBClBOrBlnBXqBUsBTtB,v115@vhH/CJfnBTjBKpBUqBFrBGtBRxB,v115@vhHfBJifBcpBTlB+tBlrB3sBRvB,v115@vhHzAJfnBunBKpB/tBUqBFrBRxB,v115@vhHzAJ+mB3iBKpB/tBFqB0sBRwB,v115@vhHz4IfnBunBKpB/tBUqBFrBRxB,v115@vhHyEJXjBcqB3mB+tBTpBlsBRwB,v115@vhHX3IzgB+mBKpB/tBFqB0sBRwB,v115@vhHG5I/jBxkBXmBlnBipBUsBTtB,v115@vhH/EJ3gB0mBCoB2uBlqBTtBxwB,v115@vhH3BJ5oBOpB0lBlnBzpB3rByxB,v115@vhH3BJ+oBTkB0lBlnByuB3rBxxB,v115@vhHO6I3fBKqBUnB/tBTpBFrBRxB,v115@vhH6+IziBcpB3lB+tBlrB3sBRvB,v115@vhHC+IXjBcqB3mB+tBTpBlsBRwB,v115@vhH8/ISoB2pBllB3mBXsBTtBRvB,v115@vhHZEJXhBUlBFnB6tBWvBTrB3sB,v115@vhHG5I/jBxkB0mBlnBipB3qBTtB,v115@vhHT5I8lBXjB+tBipBlrB3sBRvB,v115@vhHZEJXiBupBUmBFoBTqBXsBSyB,v115@vhHX3IzgBfnBKpBUqBFrBGtBRxB,v115@vhHX3IfmB0hBKpBFqBGsBTtBRwB,v115@vhHX3IGhBKpBUmB/sBFqBTtBRwB,v115@vhH0/IfmBKpBXnBToBFqBWyBRwB,v115@vhH/6IZkBFlBXmB0nB6tBWvBzrB,v115@vhHT1I/kB0mBftB6tB2uBlqBxwB,v115@vhHKGJzhBXjBcpB+tBXqBlsBRwB,v115@vhH8EJzgBXjBStB2uBlqB3rBxxB,v115@vhHXAJ8lBXjBStBTpB2vBlrBxxB,v115@vhHZEJflBzhBfoBWvBUrBFsBSyB,v115@vhHZEJflBfnB0iBWvBFrBSxBTtB,v115@vhH0/IzhBfoB2pBFrBXsBSyBxuB,v115@vhHKFJzgBXjBcpB+tBlrB3sBRvB,v115@vhH/DJWlB/pB0mBlnBiqBTtBxwB,v115@vhH//IfnBTjBKpBUqBFrBGtBRxB,v115@vhHK/IfgBcqB3mB+tBTpBlsBRwB,v115@vhHT+IfoBKpBUmB/sB+tBFqBRwB,v115@vhH3CJcoBmkBXmBTpBFsBSyBxvB,v115@vhH/BJZnBOpBllBCoBUqBTrBXtB,v115@vhH/BJ/nBOpBllBToBUqBirBRxB,v115@vhHT5IcfBXgBXhBliB5oBasBetB,v115@vhH8/I5oB/pBllB3mBatB2vBTsB,v115@vhHq6IfhBcpBTlB+tBlrB3sBRvB,v115@vhHy/IfoB5oBOpBllBUnBzpBXrB,v115@vhHT+I/kB0mBftB6tB2uBlqBxwB,v115@vhHO/IflBcoBXmBTpBFsBSyBxvB,v115@vhHZ6IanB/oBUlBFmBftBTpBWxB,v115@vhH/6I/kB0mBCoB2uBlqBTtBxwB,v115@vhH5+IWlB3hB/pBlnBiqBUsBTtB,v115@vhHZ/IzbB+pBKqBfrBlmB3nBctB,v115@vhHZ/IzbBGlBlmB3nBctB3pByvB,v115@vhHO/IFgBXhBXiB6oBcpBznBxxB,v115@vhH8FJXjBaqB3mB+tBTpBlsBRwB,v115@vhH//ITgB+mBKpB/tBFqB0sBRwB,v115@vhHi2IfhBcpBTlB+tBlrB3sBRvB,v115@vhHZEJUjBupB3lBFnBXrBSxBTtB,v115@vhHz7IZkBFlBXmB0nB6tBWvB3rB,v115@vhHK6I3gBTkBlmB3nBctBmqBxuB,v115@vhHZ6IqkB3gBlmB3nBctB2uBzqB,v115@vhHZ6I+kB3gBlmB3nBctByuBzqB,v115@vhHZ6IflBulBlmB3nBctBTpByvB,v115@vhH5+IUhBynB/pBFlB3qBGsBTtB,v115@vhHfDJ5oBikB3lBFnBWvB0rBzsB,v115@vhHfDJ5oB/pBaqBuqBFnB0rBzsB,v115@vhHWDJ/pBRlBFnBXoBTqB0rBSyB
OLTSZJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
OLTZIJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
OLTZISJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
OLTZJIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,X
OLTZJSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O
OLTZSIJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
OLTZSJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,O,O
OLITJSZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,X
OLITJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,O,X,O,X
OLITSJZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
OLITSZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O
OLITZJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X
OLITZSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
OLIJTSZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X
OLIJTZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,O,O,O,O,O,X
OLIJSTZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,O,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
OLIJSZT,O,O,X,O,O,X,X,X,X,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,O,O,O,O
OLIJZTS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,O,X,O,O,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,O,O,O,O,O,X
OLIJZST,O,O,X,O,O,X,X,X,X,O,X,X,O,O,O,X,O,O,O,O,O,O,X,X,O,O,O,X,O,X,O,O,X,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,O,X,O,O,X,X,O,O,O,O,O,O
OLISTJZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLISTZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
OLISJTZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLISJZT,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,O,O,X,O,O,X,X,X,O,O,X,O,O
OLISZTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
OLISZJT,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X,X,O,O,X,X,X,O,O,X,O,O
OLIZTJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,O,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X
OLIZTSJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O
OLIZJTS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X,O,O,O,O,O,X
OLIZJST,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,O,X,X,O,O,O,X,O,X,O,O,X,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,O,X,X,O,O,O,O,O,O
OLIZSTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
OLIZSJT,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,O,O,O,X,O,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,X,O,O,O,X,O,X,X,O,O,X,X,O,O,O,O,O,O
OLJTISZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X
OLJTIZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,O,O,X,O,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X
OLJTSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O
OLJTSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,O
OLJTZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X
OLJTZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,O
OLJITSZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X
OLJITZS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,O,O,O,O,O,O,X
OLJISTZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,O,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
OLJISZT,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,O,X,X,O,O,O,X,O,X,O,X,X,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,O,X,O,O,O,O,O,O,O
OLJIZTS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,O,O,O,X,X,O,O,X,X,O,X,O,O,X,O,X,X,X,O,X,O,O,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,X,X,O,O,O,O,O,O,X
OLJIZST,O,O,X,O,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,O,O,O,X,X,O,O,O,X,O,X,O,O,X,O,O,X,X,O,X,O,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O,X,X,O,O,X,O,O,O,O,O,O,O
OLJSTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
OLJSTZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
OLJSITZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,O,X,X,O,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,O,O,O
OLJSIZT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,O,X,X,O,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O,X,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,O,O
OLJSZTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,O,O
OLJSZIT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X,O,X,O,O,X,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,O,O
OLJZTIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,O,X,O,O,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X
OLJZTSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,O
OLJZITS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O,O,O,O,O,X,X,X,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,X,X,O,O,O,O,O,O,X
OLJZIST,O,O,X,O,O,X,X,X,X,O,X,X,X,X,O,O,X,O,O,O,O,O,X,X,X,O,O,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,O,X,O,X,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,O,O
OLJZSTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,X,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,O,O
OLJZSIT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,O,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,O,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O,O,O
OLSTIJZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSTIZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
OLSTJIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSTJZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSTZIJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
OLSTZJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
OLSITJZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSITZJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,O
OLSIJTZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSIJZT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X,X,O,O,X,O,O
OLSIZTJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
OLSIZJT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,O,X,O,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,O,O,X,O,O
OLSJTIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSJTZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSJITZ,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,X,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,O,O
OLSJIZT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,O,O,X,O,O
OLSJZTI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,O,O,O,X,O,O
OLSJZIT,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O,O,O,X,O,O,X,X,X,X,X,O,O,X,X,O,O,O,X,O,O
OLSZTIJ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
OLSZTJI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,O,X,X,O,O,X,X,O,O
