sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
LZOTJIS,X,O,O,X,X,X
LZOTJSI,X,O,O,X,X,X
LZOTSIJ,O,O,O,X,X,X
LZOTSJI,O,O,O,X,X,X
LZOITJS,X,O,O,X,X,X
LZOITSJ,X,O,O,X,X,X
LZOIJTS,X,O,O,X,X,X
LZOIJST,X,O,O,X,X,X
LZOISTJ,X,O,O,X,X,X
LZOISJT,O,O,O,X,X,X
LZOJTIS,X,O,O,X,X,X
LZOJTSI,X,O,O,X,X,X
LZOJITS,X,O,O,X,X,X
LZOJIST,X,O,O,X,X,X
LZOJSTI,X,O,O,X,X,X
LZOJSIT,X,O,O,X,X,X
LZOSTIJ,O,O,O,X,X,X
LZOSTJI,O,O,O,X,X,X
LZOSITJ,X,O,O,X,X,X
LZOSIJT,O,O,O,X,X,X
LZOSJTI,O,O,O,X,X,X
LZOSJIT,O,O,O,X,X,X
LOTIJSZ,O,O,X,O,X,O
LOTIJZS,O,O,X,O,X,X
LOTISJZ,O,O,X,O,X,O
LOTISZJ,O,O,X,X,X,O
LOTIZJS,O,O,X,X,X,X
LOTIZSJ,O,O,X,X,X,O
LOTJISZ,O,O,X,O,X,X
LOTJIZS,O,O,X,O,X,X
LOTJSIZ,O,O,X,O,X,X
LOTJSZI,O,O,X,O,X,X
LOTJZIS,O,O,X,O,X,X
LOTJZSI,O,O,X,O,X,X
LOTSIJZ,O,O,X,O,X,X
LOTSIZJ,O,O,X,X,X,X
LOTSJIZ,O,O,X,O,X,X
LOTSJZI,O,O,X,O,X,X
LOTSZIJ,O,O,X,X,X,X
LOTSZJI,O,O,X,X,X,X
LOTZIJS,O,O,X,X,X,X
LOTZISJ,O,O,X,X,X,X
LOTZJIS,O,O,X,X,X,X
LOTZJSI,O,O,X,X,X,X
LOTZSIJ,O,O,X,X,X,X
LOTZSJI,O,O,X,X,X,X
LOITJSZ,X,O,X,O,X,O
LOITJZS,X,O,X,O,X,X
LOITSJZ,O,O,X,O,X,O
LOITSZJ,O,O,X,X,X,O
LOITZJS,X,O,X,X,X,X
LOITZSJ,O,O,X,X,X,O
LOIJTSZ,X,O,X,O,X,O
LOIJTZS,X,O,X,O,X,X
LOIJSTZ,X,O,X,O,X,O
LOIJSZT,X,X,O,X,X,X
LOIJZTS,X,O,O,O,X,X
LOIJZST,X,X,O,X,X,X
LOISTJZ,O,O,X,X,X,O
LOISTZJ,O,O,X,X,X,O
LOISJTZ,O,O,X,X,X,O
LOISJZT,O,X,O,X,X,X
LOISZTJ,X,X,O,X,X,O
LOISZJT,O,X,O,X,X,X
LOIZTJS,X,O,O,X,X,X
LOIZTSJ,X,O,O,X,X,O
LOIZJTS,X,O,O,X,X,X
LOIZJST,X,X,O,X,X,X
LOIZSTJ,X,X,O,X,X,O
LOIZSJT,O,X,O,X,X,X
LOJTISZ,X,O,X,O,X,X
LOJTIZS,X,O,X,O,X,X
LOJTSIZ,X,O,X,O,X,X
LOJTSZI,X,O,X,O,X,X
LOJTZIS,X,O,X,O,X,X
LOJTZSI,X,O,X,O,X,X
LOJITSZ,X,O,X,O,X,X
LOJITZS,X,O,X,O,X,X
LOJISTZ,X,O,X,O,X,X
LOJISZT,X,X,O,X,X,X
LOJIZTS,X,O,O,O,X,X
LOJIZST,X,X,O,X,X,X
LOJSTIZ,X,O,X,O,X,X
LOJSTZI,X,O,X,O,X,X
LOJSITZ,X,O,X,O,X,X
LOJSIZT,X,X,O,X,X,X
LOJSZTI,X,X,O,O,X,X
LOJSZIT,X,X,O,X,X,X
LOJZTIS,X,O,O,O,X,X
LOJZTSI,X,O,O,O,X,X
LOJZITS,X,O,O,O,X,X
LOJZIST,X,X,O,X,X,X
LOJZSTI,X,X,O,O,X,X
LOJZSIT,X,X,O,X,X,X
LOSTIJZ,O,O,X,O,X,X
LOSTIZJ,O,O,X,X,X,X
LOSTJIZ,O,O,X,O,X,X
LOSTJZI,O,O,X,O,X,X
LOSTZIJ,O,O,X,X,X,X
LOSTZJI,O,O,X,X,X,X
LOSITJZ,O,O,X,X,X,X
LOSITZJ,O,O,X,X,X,X
LOSIJTZ,O,O,X,X,X,X
LOSIJZT,O,X,O,X,X,X
LOSIZTJ,X,X,O,X,X,X
LOSIZJT,O,X,O,X,X,X
LOSJTIZ,O,O,X,O,X,X
LOSJTZI,O,O,X,O,X,X
LOSJITZ,O,O,X,O,X,X
LOSJIZT,O,X,O,X,X,X
LOSJZTI,O,X,O,O,X,X
LOSJZIT,O,X,O,X,X,X
LOSZTIJ,O,X,O,X,X,X
LOSZTJI,O,X,O,X,X,X
LOSZITJ,X,X,O,X,X,X
LOSZIJT,O,X,O,X,X,X
LOSZJTI,O,X,O,X,X,X
LOSZJIT,O,X,O,X,X,X
LOZTIJS,X,O,O,X,X,X
LOZTISJ,O,O,O,X,X,X
LOZTJIS,X,O,O,X,X,X
LOZTJSI,X,O,O,X,X,X
LOZTSIJ,O,O,O,X,X,X
LOZTSJI,O,O,O,X,X,X
LOZITJS,X,O,O,X,X,X
LOZITSJ,X,O,O,X,X,X
LOZIJTS,X,O,O,X,X,X
LOZIJST,X,O,O,X,X,X
LOZISTJ,X,O,O,X,X,X
LOZISJT,O,O,O,X,X,X
LOZJTIS,X,O,O,X,X,X
LOZJTSI,X,O,O,X,X,X
LOZJITS,X,O,O,X,X,X
LOZJIST,X,O,O,X,X,X
LOZJSTI,X,O,O,X,X,X
LOZJSIT,X,O,O,X,X,X
LOZSTIJ,O,O,O,X,X,X
LOZSTJI,O,O,O,X,X,X
LOZSITJ,X,O,O,X,X,X
LOZSIJT,O,O,O,X,X,X
LOZSJTI,O,O,O,X,X,X
LOZSJIT,O,O,O,X,X,X
JTILSZO,O,X,O,O,X,X
JTILSOZ,O,X,X,O,O,O
JTILZSO,O,X,O,O,X,X
JTILZOS,X,X,O,X,X,X
JTILOSZ,X,X,X,O,O,O
JTILOZS,X,X,X,O,O,X
JTISLZO,O,O,O,O,X,X
JTISLOZ,O,O,X,O,O,O
JTISZLO,O,O,O,O,X,X
JTISZOL,O,O,O,X,O,X
JTISOLZ,O,O,X,O,O,O
JTISOZL,O,O,X,O,O,X
JTIZLSO,X,O,O,O,X,X
JTIZLOS,X,O,O,X,X,X
JTIZSLO,O,O,O,O,X,X
JTIZSOL,O,O,O,X,O,X
JTIZOLS,X,O,O,O,O,X
JTIZOSL,X,O,O,O,O,X
JTIOLSZ,X,O,X,O,O,O
JTIOLZS,X,O,X,O,O,X
JTIOSLZ,X,O,X,O,O,O
JTIOSZL,X,O,X,O,O,X
JTIOZLS,X,X,X,O,O,X
JTIOZSL,X,X,X,O,O,X
JTLISZO,O,X,O,O,X,X
JTLISOZ,O,X,X,O,X,X
JTLIZSO,O,X,O,O,X,X
JTLIZOS,X,X,O,X,X,X
JTLIOSZ,X,X,X,O,X,X
JTLIOZS,X,X,X,O,X,X
JTLSIZO,O,O,O,O,X,X
JTLSIOZ,O,O,X,O,X,X
JTLSZIO,O,O,O,O,X,X
JTLSZOI,O,O,O,X,X,X
JTLSOIZ,O,O,X,O,X,X
JTLSOZI,O,O,X,X,X,X
JTLZISO,O,O,O,O,X,X
JTLZIOS,X,O,O,X,X,X
JTLZSIO,O,O,O,O,X,X
JTLZSOI,O,O,O,X,X,X
JTLZOIS,X,O,O,X,X,X
JTLZOSI,X,O,O,X,X,X
JTLOISZ,O,O,X,O,X,X
JTLOIZS,O,O,X,O,X,X
JTLOSIZ,O,O,X,O,X,X
JTLOSZI,O,O,X,O,X,X
JTLOZIS,O,O,X,O,X,X
JTLOZSI,O,O,X,O,X,X
JTSILZO,O,O,O,O,X,X
JTSILOZ,O,O,X,O,O,X
JTSIZLO,O,O,O,O,X,X
JTSIZOL,O,O,O,X,O,X
JTSIOLZ,O,O,X,O,O,X
JTSIOZL,O,O,X,O,O,X
JTSLIZO,O,O,O,O,X,X
JTSLIOZ,O,O,X,O,O,X
JTSLZIO,O,O,O,O,X,X
JTSLZOI,O,O,O,X,X,X
JTSLOIZ,O,O,X,O,X,X
JTSLOZI,O,O,X,X,X,X
JTSZILO,O,O,O,O,X,X
JTSZIOL,O,O,O,X,O,X
JTSZLIO,O,O,O,O,X,X
JTSZLOI,O,O,O,X,X,X
JTSZOIL,O,O,O,X,X,X
JTSZOLI,O,O,O,X,X,X
JTSOILZ,O,O,X,O,O,X
JTSOIZL,O,O,X,O,O,X
JTSOLIZ,O,O,X,O,X,X
JTSOLZI,O,O,X,O,X,X
JTSOZIL,O,O,X,O,X,X
JTSOZLI,O,O,X,O,X,X
JTZILSO,X,O,O,O,X,X
JTZILOS,X,O,O,X,X,X
JTZISLO,O,O,O,O,X,X
JTZISOL,O,O,O,X,X,X
JTZIOLS,X,O,O,O,X,X
JTZIOSL,X,O,O,O,X,X
JTZLISO,O,O,O,O,X,X
JTZLIOS,X,O,O,X,X,X
JTZLSIO,O,O,O,O,X,X
JTZLSOI,O,O,O,X,X,X
JTZLOIS,X,O,O,X,X,X
JTZLOSI,X,O,O,X,X,X
JTZSILO,O,O,O,O,X,X
JTZSIOL,O,O,O,X,X,X
JTZSLIO,O,O,O,O,X,X
JTZSLOI,O,O,O,X,X,X
JTZSOIL,O,O,O,X,X,X
JTZSOLI,O,O,O,X,X,X
JTZOILS,X,O,O,O,X,X
JTZOISL,X,O,O,O,X,X
JTZOLIS,X,O,O,O,X,X
JTZOLSI,X,O,O,O,X,X
JTZOSIL,X,O,O,O,X,X
JTZOSLI,X,O,O,O,X,X
JTOILSZ,X,O,X,O,X,O
JTOILZS,X,O,X,O,X,X
JTOISLZ,X,O,X,O,X,O
JTOISZL,X,O,X,O,X,X
JTOIZLS,X,X,X,O,X,X
JTOIZSL,X,X,X,O,X,X
JTOLISZ,X,O,X,O,X,X
JTOLIZS,X,O,X,O,X,X
JTOLSIZ,X,O,X,O,X,X
JTOLSZI,X,O,X,O,X,X
JTOLZIS,X,O,X,O,X,X
JTOLZSI,X,O,X,O,X,X
JTOSILZ,X,O,X,O,X,X
JTOSIZL,X,O,X,O,X,X
JTOSLIZ,X,O,X,O,X,X
JTOSLZI,X,O,X,O,X,X
JTOSZIL,X,O,X,O,X,X
JTOSZLI,X,O,X,O,X,X
JTOZILS,X,O,X,O,X,X
JTOZISL,X,O,X,O,X,X
JTOZLIS,X,O,X,O,X,X
JTOZLSI,X,O,X,O,X,X
JTOZSIL,X,O,X,O,X,X
JTOZSLI,X,O,X,O,X,X
JITLSZO,O,X,O,O,X,X
JITLSOZ,O,X,X,O,O,O
JITLZSO,O,X,O,O,X,X
JITLZOS,X,X,O,X,X,X
JITLOSZ,X,X,X,O,O,O
JITLOZS,X,X,X,O,O,X
JITSLZO,O,O,O,O,X,X
JITSLOZ,O,O,X,O,O,O
JITSZLO,O,O,O,O,X,X
JITSZOL,O,O,O,X,O,X
JITSOLZ,O,O,X,O,O,O
JITSOZL,O,O,X,O,O,X
JITZLSO,X,O,O,O,X,X
JITZLOS,X,O,O,X,X,X
JITZSLO,O,O,O,O,X,X
JITZSOL,O,O,O,X,O,X
JITZOLS,X,O,O,O,O,X
JITZOSL,X,O,O,O,O,X
JITOLSZ,X,O,X,O,O,O
JITOLZS,X,O,X,O,O,X
JITOSLZ,X,O,X,O,O,O
JITOSZL,X,O,X,O,O,X
JITOZLS,X,X,X,O,O,X
JITOZSL,X,X,X,O,O,X
JILTSZO,O,X,O,O,X,X
JILTSOZ,O,X,X,O,O,O
JILTZSO,O,X,O,O,X,X
JILTZOS,X,X,O,X,X,X
JILTOSZ,X,X,X,O,O,O
JILTOZS,X,X,X,O,O,X
JILSTZO,O,X,O,O,X,X
JILSTOZ,O,X,X,O,X,O
JILSZTO,O,X,O,X,X,X
JILSZOT,O,X,O,X,X,X
JILSOTZ,O,X,X,X,X,O
JILSOZT,O,X,O,X,X,X
JILZTSO,X,X,O,O,X,X
JILZTOS,X,X,O,X,X,X
JILZSTO,O,X,O,X,X,X
JILZSOT,O,X,O,X,X,X
JILZOTS,X,X,O,X,X,X
JILZOST,X,X,O,X,X,X
JILOTSZ,X,X,X,O,O,O
JILOTZS,X,X,X,O,O,X
JILOSTZ,X,X,X,O,O,O
JILOSZT,X,X,O,X,X,X
JILOZTS,X,X,O,O,O,X
JILOZST,X,X,O,X,X,X
JISTLZO,O,X,O,O,X,X
JISTLOZ,O,X,X,O,O,O
JISTZLO,O,X,O,O,X,X
JISTZOL,O,X,O,X,O,X
JISTOLZ,O,X,X,O,O,O
JISTOZL,O,X,X,O,O,X
JISLTZO,O,X,O,O,X,X
JISLTOZ,O,X,X,O,X,O
JISLZTO,O,X,O,X,X,X
JISLZOT,O,X,O,X,X,X
JISLOTZ,O,X,X,X,X,O
JISLOZT,O,X,O,X,X,X
JISZTLO,O,X,O,X,X,X
JISZTOL,O,X,O,X,X,X
JISZLTO,O,X,O,X,X,X
JISZLOT,O,X,O,X,X,X
JISZOTL,O,X,O,X,X,X
JISZOLT,O,X,O,X,X,X
JISOTLZ,O,X,X,O,O,O
JISOTZL,O,X,X,O,O,X
JISOLTZ,O,X,X,O,O,O
JISOLZT,O,X,O,X,X,X
JISOZTL,O,X,O,X,X,X
JISOZLT,O,X,O,X,X,X
JIZTLSO,X,O,O,O,X,X
JIZTLOS,X,O,O,X,X,X
JIZTSLO,X,O,O,O,X,X
JIZTSOL,X,O,O,X,O,X
JIZTOLS,X,O,O,O,O,X
JIZTOSL,X,O,O,O,O,X
JIZLTSO,X,O,O,O,X,X
JIZLTOS,X,O,O,X,X,X
JIZLSTO,X,O,O,X,X,X
JIZLSOT,X,X,O,X,X,X
JIZLOTS,X,O,O,X,X,X
JIZLOST,X,X,O,X,X,X
JIZSTLO,O,X,O,X,X,X
JIZSTOL,O,X,O,X,X,X
JIZSLTO,O,X,O,X,X,X
JIZSLOT,O,X,O,X,X,X
JIZSOTL,O,X,O,X,X,X
JIZSOLT,O,X,O,X,X,X
JIZOTLS,X,O,O,O,O,X
JIZOTSL,X,O,O,O,O,X
JIZOLTS,X,O,O,O,O,X
JIZOLST,X,O,O,X,X,X
JIZOSTL,X,X,O,X,X,X
JIZOSLT,X,X,O,X,X,X
JIOTLSZ,X,O,X,O,O,O
JIOTLZS,X,O,X,O,O,X
JIOTSLZ,X,O,X,O,O,O
JIOTSZL,X,O,X,O,O,X
JIOTZLS,X,X,X,O,O,X
JIOTZSL,X,X,X,O,O,X
JIOLTSZ,X,O,X,O,O,O
JIOLTZS,X,O,X,O,O,X
JIOLSTZ,X,O,X,O,O,O
JIOLSZT,X,X,O,X,X,X
JIOLZTS,X,O,O,O,O,X
JIOLZST,X,X,O,X,X,X
JIOSTLZ,X,X,X,O,O,O
JIOSTZL,X,X,X,O,O,X
JIOSLTZ,X,X,X,O,O,O
JIOSLZT,X,X,O,X,X,X
JIOSZTL,X,X,O,X,X,X
JIOSZLT,X,X,O,X,X,X
JIOZTLS,X,X,O,O,O,X
JIOZTSL,X,X,O,O,O,X
JIOZLTS,X,X,O,O,O,X
JIOZLST,X,X,O,X,X,X
JIOZSTL,X,X,O,X,X,X
JIOZSLT,X,X,O,X,X,X
JLTISZO,O,X,O,O,X,X
JLTISOZ,O,X,X,O,X,X
JLTIZSO,O,X,O,O,X,X
JLTIZOS,X,X,O,X,X,X
JLTIOSZ,X,X,X,O,X,X
JLTIOZS,X,X,X,O,X,X
JLTSIZO,O,O,O,O,X,X
JLTSIOZ,O,O,X,O,X,X
JLTSZIO,O,O,O,O,X,X
JLTSZOI,O,O,O,X,X,X
JLTSOIZ,O,O,X,O,X,X
JLTSOZI,O,O,X,X,X,X
JLTZISO,O,O,O,O,X,X
JLTZIOS,X,O,O,X,X,X
JLTZSIO,O,O,O,O,X,X
JLTZSOI,O,O,O,X,X,X
JLTZOIS,X,O,O,X,X,X
JLTZOSI,X,O,O,X,X,X
JLTOISZ,O,O,X,O,X,X
JLTOIZS,O,O,X,O,X,X
JLTOSIZ,O,O,X,O,X,X
JLTOSZI,O,O,X,O,X,X
JLTOZIS,O,O,X,O,X,X
JLTOZSI,O,O,X,O,X,X
JLITSZO,O,X,O,O,X,X
JLITSOZ,O,X,X,O,X,X
JLITZSO,O,X,O,O,X,X
JLITZOS,X,X,O,X,X,X
JLITOSZ,X,X,X,O,X,X
JLITOZS,X,X,X,O,X,X
JLISTZO,O,X,O,O,X,X
JLISTOZ,O,X,X,O,X,X
JLISZTO,O,X,O,X,X,X
JLISZOT,O,X,O,X,X,X
JLISOTZ,O,X,X,X,X,X
JLISOZT,O,X,O,X,X,X
JLIZTSO,X,X,O,O,X,X
JLIZTOS,X,X,O,X,X,X
JLIZSTO,O,X,O,X,X,X
JLIZSOT,O,X,O,X,X,X
JLIZOTS,X,X,O,X,X,X
JLIZOST,X,X,O,X,X,X
JLIOTSZ,X,X,X,O,X,X
JLIOTZS,X,X,X,O,X,X
JLIOSTZ,X,X,X,O,X,X
JLIOSZT,X,X,O,X,X,X
JLIOZTS,X,X,O,O,X,X
JLIOZST,X,X,O,X,X,X
JLSTIZO,O,X,O,O,X,X
JLSTIOZ,O,X,X,O,X,X
JLSTZIO,O,X,O,O,X,X
JLSTZOI,O,X,O,X,X,X
JLSTOIZ,O,X,X,O,X,X
JLSTOZI,O,X,X,X,X,X
JLSITZO,O,X,O,O,X,X
JLSITOZ,O,X,X,O,X,X
JLSIZTO,O,X,O,X,X,X
JLSIZOT,O,X,O,X,X,X
JLSIOTZ,O,X,X,X,X,X
JLSIOZT,O,X,O,X,X,X
JLSZTIO,O,X,O,X,X,X
JLSZTOI,O,X,O,X,X,X
JLSZITO,O,X,O,X,X,X
JLSZIOT,O,X,O,X,X,X
JLSZOTI,O,X,O,X,X,X
JLSZOIT,O,X,O,X,X,X
JLSOTIZ,O,X,X,X,X,X
JLSOTZI,O,X,X,X,X,X
JLSOITZ,O,X,X,X,X,X
JLSOIZT,O,X,O,X,X,X
JLSOZTI,O,X,O,X,X,X
JLSOZIT,O,X,O,X,X,X
JLZTISO,O,O,O,O,X,X
JLZTIOS,X,O,O,X,X,X
JLZTSIO,O,O,O,O,X,X
JLZTSOI,O,O,O,X,X,X
JLZTOIS,X,O,O,X,X,X
JLZTOSI,X,O,O,X,X,X
JLZITSO,X,O,O,O,X,X
JLZITOS,X,O,O,X,X,X
JLZISTO,O,O,O,X,X,X
JLZISOT,O,X,O,X,X,X
JLZIOTS,X,O,O,X,X,X
JLZIOST,X,X,O,X,X,X
JLZSTIO,O,O,O,X,X,X
JLZSTOI,O,O,O,X,X,X
JLZSITO,O,O,O,X,X,X
JLZSIOT,O,X,O,X,X,X
JLZSOTI,O,X,O,X,X,X
JLZSOIT,O,X,O,X,X,X
JLZOTIS,X,O,O,X,X,X
JLZOTSI,X,O,O,X,X,X
JLZOITS,X,O,O,X,X,X
JLZOIST,X,O,O,X,X,X
JLZOSTI,X,O,O,X,X,X
JLZOSIT,X,O,O,X,X,X
JLOTISZ,X,O,X,O,X,X
JLOTIZS,X,O,X,O,X,X
JLOTSIZ,X,O,X,O,X,X
JLOTSZI,X,O,X,O,X,X
JLOTZIS,X,O,X,O,X,X
JLOTZSI,X,O,X,O,X,X
JLOITSZ,X,O,X,O,X,X
JLOITZS,X,O,X,O,X,X
JLOISTZ,X,O,X,O,X,X
JLOISZT,X,X,O,X,X,X
JLOIZTS,X,O,O,O,X,X
JLOIZST,X,X,O,X,X,X
JLOSTIZ,X,O,X,O,X,X
JLOSTZI,X,O,X,O,X,X
JLOSITZ,X,O,X,O,X,X
JLOSIZT,X,X,O,X,X,X
JLOSZTI,X,X,O,O,X,X
JLOSZIT,X,X,O,X,X,X
JLOZTIS,X,O,O,O,X,X
JLOZTSI,X,O,O,O,X,X
JLOZITS,X,O,O,O,X,X
JLOZIST,X,X,O,X,X,X
JLOZSTI,X,X,O,O,X,X
JLOZSIT,X,X,O,X,X,X
JSTILZO,O,O,O,O,X,X
JSTILOZ,O,O,X,O,X,X
JSTIZLO,O,O,O,O,X,X
JSTIZOL,O,O,O,X,X,X
JSTIOLZ,O,O,X,O,X,X
JSTIOZL,O,O,X,O,X,X
JSTLIZO,O,O,O,O,X,X
JSTLIOZ,O,O,X,O,X,X
JSTLZIO,O,O,O,O,X,X
JSTLZOI,O,O,O,X,X,X
JSTLOIZ,O,O,X,O,X,X
JSTLOZI,O,O,X,X,X,X
JSTZILO,O,O,O,O,X,X
JSTZIOL,O,O,O,X,X,X
JSTZLIO,O,O,O,O,X,X
JSTZLOI,O,O,O,X,X,X
JSTZOIL,O,O,O,X,X,X
JSTZOLI,O,O,O,X,X,X
JSTOILZ,O,O,X,O,X,X
JSTOIZL,O,O,X,O,X,X
JSTOLIZ,O,O,X,O,X,X
JSTOLZI,O,O,X,O,X,X
JSTOZIL,O,O,X,O,X,X
JSTOZLI,O,O,X,O,X,X
JSITLZO,O,X,O,O,X,X
JSITLOZ,O,X,X,O,X,X
JSITZLO,O,X,O,O,X,X
JSITZOL,O,X,O,X,X,X
JSITOLZ,O,X,X,O,X,X
JSITOZL,O,X,X,O,X,X
JSILTZO,O,X,O,O,X,X
JSILTOZ,O,X,X,O,X,X
JSILZTO,O,X,O,X,X,X
JSILZOT,O,X,O,X,X,X
JSILOTZ,O,X,X,X,X,X
JSILOZT,O,X,O,X,X,X
JSIZTLO,O,X,O,X,X,X
JSIZTOL,O,X,O,X,X,X
JSIZLTO,O,X,O,X,X,X
JSIZLOT,O,X,O,X,X,X
JSIZOTL,O,X,O,X,X,X
JSIZOLT,O,X,O,X,X,X
JSIOTLZ,O,X,X,O,X,X
JSIOTZL,O,X,X,O,X,X
JSIOLTZ,O,X,X,O,X,X
JSIOLZT,O,X,O,X,X,X
JSIOZTL,O,X,O,X,X,X
JSIOZLT,O,X,O,X,X,X
JSLTIZO,O,X,O,O,X,X
JSLTIOZ,O,X,X,O,X,X
JSLTZIO,O,X,O,O,X,X
JSLTZOI,O,X,O,X,X,X
JSLTOIZ,O,X,X,O,X,X
JSLTOZI,O,X,X,X,X,X
JSLITZO,O,X,O,O,X,X
JSLITOZ,O,X,X,O,X,X
JSLIZTO,O,X,O,X,X,X
JSLIZOT,O,X,O,X,X,X
JSLIOTZ,O,X,X,X,X,X
JSLIOZT,O,X,O,X,X,X
JSLZTIO,O,X,O,X,X,X
JSLZTOI,O,X,O,X,X,X
JSLZITO,O,X,O,X,X,X
JSLZIOT,O,X,O,X,X,X
JSLZOTI,O,X,O,X,X,X
JSLZOIT,O,X,O,X,X,X
JSLOTIZ,O,X,X,X,X,X
JSLOTZI,O,X,X,X,X,X
JSLOITZ,O,X,X,X,X,X
JSLOIZT,O,X,O,X,X,X
JSLOZTI,O,X,O,X,X,X
JSLOZIT,O,X,O,X,X,X
JSZTILO,O,O,O,X,X,X
JSZTIOL,O,O,O,X,X,X
JSZTLIO,O,O,O,X,X,X
JSZTLOI,O,O,O,X,X,X
JSZTOIL,O,O,O,X,X,X
JSZTOLI,O,O,O,X,X,X
JSZITLO,O,X,O,X,X,X
JSZITOL,O,X,O,X,X,X
JSZILTO,O,X,O,X,X,X
JSZILOT,O,X,O,X,X,X
JSZIOTL,O,X,O,X,X,X
JSZIOLT,O,X,O,X,X,X
JSZLTIO,O,O,O,X,X,X
JSZLTOI,O,O,O,X,X,X
JSZLITO,O,O,O,X,X,X
JSZLIOT,O,X,O,X,X,X
JSZLOTI,O,X,O,X,X,X
JSZLOIT,O,X,O,X,X,X
JSZOTIL,O,O,O,X,X,X
JSZOTLI,O,O,O,X,X,X
JSZOITL,O,X,O,X,X,X
JSZOILT,O,X,O,X,X,X
JSZOLTI,O,O,O,X,X,X
JSZOLIT,O,O,O,X,X,X
JSOTILZ,O,O,X,O,X,X
JSOTIZL,O,O,X,O,X,X
JSOTLIZ,O,O,X,O,X,X
JSOTLZI,O,O,X,O,X,X
JSOTZIL,O,O,X,O,X,X
JSOTZLI,O,O,X,O,X,X
JSOITLZ,O,X,X,O,X,X
JSOITZL,O,X,X,O,X,X
JSOILTZ,O,X,X,O,X,X
JSOILZT,O,X,O,X,X,X
JSOIZTL,O,X,O,X,X,X
JSOIZLT,O,X,O,X,X,X
JSOLTIZ,O,O,X,O,X,X
JSOLTZI,O,O,X,O,X,X
JSOLITZ,O,O,X,O,X,X
JSOLIZT,O,X,O,X,X,X
JSOLZTI,O,X,O,O,X,X
JSOLZIT,O,X,O,X,X,X
JSOZTIL,O,X,O,O,X,X
JSOZTLI,O,X,O,O,X,X
JSOZITL,O,X,O,X,X,X
JSOZILT,O,X,O,X,X,X
JSOZLTI,O,X,O,O,X,X
JSOZLIT,O,X,O,X,X,X
JZTILSO,X,O,O,O,X,X
JZTILOS,X,O,O,X,X,X
JZTISLO,O,O,O,O,X,X
JZTISOL,O,O,O,X,X,X
JZTIOLS,X,O,O,O,X,X
JZTIOSL,X,O,O,O,X,X
JZTLISO,O,O,O,O,X,X
JZTLIOS,X,O,O,X,X,X
JZTLSIO,O,O,O,O,X,X
JZTLSOI,O,O,O,X,X,X
JZTLOIS,X,O,O,X,X,X
JZTLOSI,X,O,O,X,X,X
JZTSILO,O,O,O,O,X,X
JZTSIOL,O,O,O,X,X,X
JZTSLIO,O,O,O,O,X,X
JZTSLOI,O,O,O,X,X,X
JZTSOIL,O,O,O,X,X,X
JZTSOLI,O,O,O,X,X,X
JZTOILS,X,O,O,O,X,X
JZTOISL,X,O,O,O,X,X
JZTOLIS,X,O,O,O,X,X
JZTOLSI,X,O,O,O,X,X
JZTOSIL,X,O,O,O,X,X
JZTOSLI,X,O,O,O,X,X
JZITLSO,X,O,O,O,X,X
JZITLOS,X,O,O,X,X,X
JZITSLO,X,O,O,O,X,X
JZITSOL,X,O,O,X,X,X
JZITOLS,X,O,O,O,X,X
JZITOSL,X,O,O,O,X,X
JZILTSO,X,O,O,O,X,X
JZILTOS,X,O,O,X,X,X
JZILSTO,X,O,O,X,X,X
JZILSOT,X,X,O,X,X,X
JZILOTS,X,O,O,X,X,X
JZILOST,X,X,O,X,X,X
JZISTLO,O,X,O,X,X,X
JZISTOL,O,X,O,X,X,X
JZISLTO,O,X,O,X,X,X
JZISLOT,O,X,O,X,X,X
JZISOTL,O,X,O,X,X,X
JZISOLT,O,X,O,X,X,X
JZIOTLS,X,O,O,O,X,X
JZIOTSL,X,O,O,O,X,X
JZIOLTS,X,O,O,O,X,X
JZIOLST,X,O,O,X,X,X
JZIOSTL,X,X,O,X,X,X
JZIOSLT,X,X,O,X,X,X
JZLTISO,O,O,O,O,X,X
JZLTIOS,X,O,O,X,X,X
JZLTSIO,O,O,O,O,X,X
JZLTSOI,O,O,O,X,X,X
JZLTOIS,X,O,O,X,X,X
JZLTOSI,X,O,O,X,X,X
JZLITSO,X,O,O,O,X,X
JZLITOS,X,O,O,X,X,X
JZLISTO,O,O,O,X,X,X
JZLISOT,O,X,O,X,X,X
JZLIOTS,X,O,O,X,X,X
JZLIOST,X,X,O,X,X,X
JZLSTIO,O,O,O,X,X,X
JZLSTOI,O,O,O,X,X,X
JZLSITO,O,O,O,X,X,X
JZLSIOT,O,X,O,X,X,X
JZLSOTI,O,X,O,X,X,X
JZLSOIT,O,X,O,X,X,X
JZLOTIS,X,O,O,X,X,X
