sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
TLIZSJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLIZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOJZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIOSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLIOZJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJISZO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJIZSO,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
TLJIOSZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLJIOZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJSZIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TLJSOIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
TLJSOZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TLJZSIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
TLJZOIS,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
TLJZOSI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TLJOISZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
TLJOIZS,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O,X,O,O,O,O,X,X,X,O,X
TLJOZSI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
TLSIJZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSIZJO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLSIZOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
TLSIOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
TLSIOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
TLSJIZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLSJZIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TLSJOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSJOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIJO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
TLSZIOJ,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
TLSZJIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLSZJOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TLSZOIJ,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLSZOJI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSOIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSOIZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSOJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLSOJZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOZIJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TLSOZJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLZIJSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
TLZISJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLZISOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TLZIOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TLZIOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
TLZJSIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
