sequence,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBcnBTjBSqBFtB,v115@RhA8CeB8DeH8AeA8Je/EJvhFRgB1mB0iB6oBTlBmsB,v115@RhA8CeB8DeH8AeA8Je2EJvhFRgB3hBFjBSqBTnBctB,v115@RhA8CeB8DeH8AeA8Jei/IvhFulB1mBxiBzkB3nBctB,v115@RhA8CeB8DeH8AeA8JeXDJvhFlkBRmBctBmpBCrBTsB
TZLOSIJ,O,O,O,O,X
TZLOSJI,O,O,O,O,X
TZJILSO,O,X,O,O,X
TZJILOS,O,X,O,O,X
TZJISLO,O,X,O,O,O
TZJISOL,O,X,O,O,O
TZJIOLS,O,X,O,O,X
TZJIOSL,O,X,O,O,X
TZJLISO,O,X,O,O,X
TZJLIOS,O,X,O,O,X
TZJLSIO,O,O,O,O,X
TZJLSOI,O,O,O,O,X
TZJLOIS,O,X,O,O,X
TZJLOSI,O,O,O,O,X
TZJSILO,O,O,O,O,O
TZJSIOL,O,X,O,O,O
TZJSLIO,O,O,O,O,X
TZJSLOI,O,O,O,O,X
TZJSOIL,O,O,O,O,X
TZJSOLI,O,O,O,O,X
TZJOILS,O,X,O,O,X
TZJOISL,O,X,O,O,X
TZJOLIS,O,X,O,O,X
TZJOLSI,O,O,O,O,X
TZJOSIL,O,O,O,O,X
TZJOSLI,O,O,O,O,X
TZSILJO,O,O,O,O,O
TZSILOJ,O,O,O,O,O
TZSIJLO,O,O,O,O,O
TZSIJOL,O,X,O,O,O
TZSIOLJ,O,O,X,O,O
TZSIOJL,O,O,O,O,O
TZSLIJO,O,O,O,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,O,O,X
TZSLOIJ,O,O,O,O,X
TZSLOJI,O,O,O,O,X
TZSJILO,O,O,O,O,O
TZSJIOL,O,X,O,O,O
TZSJLIO,O,O,O,O,X
TZSJLOI,O,O,O,O,X
TZSJOIL,O,O,O,O,X
TZSJOLI,O,O,O,O,X
TZSOILJ,O,O,X,O,O
TZSOIJL,O,O,O,O,O
TZSOLIJ,O,O,O,O,X
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,O,O,X
TZSOJLI,O,O,O,O,X
TZOILJS,O,X,O,O,X
TZOILSJ,O,O,O,O,X
TZOIJLS,O,X,O,O,X
TZOIJSL,O,X,O,O,X
TZOISLJ,O,O,O,O,O
TZOISJL,O,O,O,O,O
TZOLIJS,O,X,O,O,X
TZOLISJ,O,O,O,O,X
TZOLJIS,O,X,O,O,X
TZOLJSI,O,O,O,O,X
TZOLSIJ,O,O,O,O,X
TZOLSJI,O,O,O,O,X
TZOJILS,O,X,O,O,X
TZOJISL,O,X,O,O,X
TZOJLIS,O,X,O,O,X
TZOJLSI,O,O,O,O,X
TZOJSIL,O,O,O,O,X
TZOJSLI,O,O,O,O,X
TZOSILJ,O,O,O,O,O
TZOSIJL,O,O,O,O,O
TZOSLIJ,O,O,O,O,X
TZOSLJI,O,O,O,O,X
TZOSJIL,O,O,O,O,X
TZOSJLI,O,O,O,O,X
TOILJSZ,O,X,X,O,X
TOILJZS,O,X,X,O,X
TOILSJZ,O,O,X,O,X
TOILSZJ,O,O,X,X,X
TOILZJS,O,X,X,O,X
TOILZSJ,O,O,X,O,X
TOIJLSZ,O,X,X,O,X
TOIJLZS,O,X,X,O,X
TOIJSLZ,X,X,X,O,X
TOIJSZL,O,X,X,X,X
TOIJZLS,O,X,X,O,X
TOIJZSL,O,X,X,O,X
TOISLJZ,X,O,X,O,X
TOISLZJ,X,O,X,X,X
TOISJLZ,X,O,X,O,X
TOISJZL,X,O,X,X,X
TOISZLJ,X,O,X,X,X
TOISZJL,X,O,X,X,X
