sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TZJSIOL,O,X,X,X,O,O
TZJSLIO,O,O,X,X,O,X
TZJSLOI,X,O,X,X,O,X
TZJSOIL,O,X,X,X,O,O
TZJSOLI,O,X,X,X,O,O
TZJOILS,O,X,X,X,X,O
TZJOISL,X,X,X,X,O,O
TZJOLIS,O,X,X,X,X,O
TZJOLSI,O,X,X,X,X,O
TZJOSIL,O,X,X,X,O,O
TZJOSLI,O,X,X,X,O,O
TZSILJO,O,O,O,X,X,X
TZSILOJ,X,O,O,X,X,O
TZSIJLO,O,O,O,X,O,X
TZSIJOL,O,X,O,X,O,O
TZSIOLJ,O,O,O,X,X,O
TZSIOJL,O,X,O,X,X,O
TZSLIJO,O,O,O,X,X,X
TZSLIOJ,X,O,O,X,X,O
TZSLJIO,O,O,X,X,O,X
TZSLJOI,X,O,X,X,O,X
TZSLOIJ,X,O,O,X,X,O
TZSLOJI,X,O,X,X,X,O
TZSJILO,O,O,X,X,O,X
TZSJIOL,O,X,X,X,O,O
TZSJLIO,O,O,X,X,O,X
TZSJLOI,X,O,X,X,O,X
TZSJOIL,O,X,X,X,O,O
TZSJOLI,O,X,X,X,O,O
TZSOILJ,O,O,O,X,X,O
TZSOIJL,O,X,O,X,O,O
TZSOLIJ,O,O,O,X,X,O
TZSOLJI,O,O,X,X,O,O
TZSOJIL,O,X,X,X,O,O
TZSOJLI,O,X,X,X,O,O
TZOILJS,O,O,X,X,X,O
TZOILSJ,X,O,O,X,X,O
TZOIJLS,O,X,X,X,X,O
TZOIJSL,X,X,O,X,X,O
TZOISLJ,X,O,O,X,X,O
TZOISJL,X,X,O,X,X,O
TZOLIJS,O,O,X,X,X,O
TZOLISJ,X,O,X,X,X,O
TZOLJIS,O,O,X,X,X,O
TZOLJSI,O,O,X,X,X,O
TZOLSIJ,O,O,X,X,X,O
TZOLSJI,O,O,X,X,X,O
TZOJILS,O,X,X,X,X,O
TZOJISL,X,X,X,X,O,O
TZOJLIS,O,X,X,X,X,O
TZOJLSI,O,X,X,X,X,O
TZOJSIL,O,X,X,X,O,O
TZOJSLI,O,X,X,X,O,O
TZOSILJ,O,O,O,X,X,O
TZOSIJL,O,X,O,X,O,O
TZOSLIJ,O,O,O,X,X,O
TZOSLJI,O,O,X,X,O,O
TZOSJIL,O,X,X,X,O,O
TZOSJLI,O,X,X,X,O,O
TOILJSZ,X,X,X,O,X,X
TOILJZS,X,X,X,O,X,O
TOILSJZ,X,X,O,O,X,X
TOILSZJ,X,X,O,O,X,X
TOILZJS,O,X,X,O,X,O
