sequence,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBcmBxiBSsBToB2xB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBUiBGjBTmBxsByxB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBqsBToBfsB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBRiB+oBTmB0sBisB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgB3hB+oBxrBatBTsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBStBfsBzsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFTjBRmBSsBmlBXtBFsB,v115@HhA8IeD8FeF8CeA8Jel/IvhFRhBTjBmlBCnBcsBXtB
LIOZJTS,O,O,O,X,X,X,X,X
LIOZJST,O,O,O,X,X,X,X,X
LIOZSTJ,O,O,X,X,X,X,O,X
LIOZSJT,O,O,X,X,X,X,O,X
LJTISZO,X,X,X,X,O,O,X,X
LJTISOZ,X,X,X,X,O,O,X,O
LJTIZSO,O,X,X,X,O,O,X,X
LJTIZOS,X,X,O,X,O,O,X,X
LJTIOSZ,X,X,O,X,O,O,X,X
LJTIOZS,X,X,O,X,O,O,X,X
LJTSIZO,X,X,X,X,X,O,X,X
LJTSIOZ,X,X,X,X,X,O,X,O
LJTSZIO,X,X,X,X,X,O,X,X
LJTSZOI,X,X,O,X,X,O,X,O
LJTSOIZ,X,X,O,O,X,O,X,O
LJTSOZI,X,X,O,O,X,O,X,O
LJTZISO,O,X,X,X,O,O,X,X
LJTZIOS,X,X,O,X,O,O,X,X
LJTZSIO,O,X,X,X,X,O,X,X
LJTZSOI,O,X,O,X,X,O,X,O
LJTZOIS,O,X,O,O,X,O,X,X
LJTZOSI,O,X,O,O,X,O,X,X
LJTOISZ,X,X,O,O,X,O,X,X
LJTOIZS,O,X,O,X,X,O,X,X
LJTOSIZ,X,X,O,O,X,O,X,O
LJTOSZI,X,X,O,O,X,O,X,O
LJTOZIS,O,X,O,O,X,O,X,X
LJTOZSI,O,X,O,O,X,O,X,X
LJITSZO,X,X,X,X,O,O,X,X
LJITSOZ,X,X,X,X,O,O,X,O
LJITZSO,O,X,X,X,O,O,X,X
LJITZOS,X,X,O,X,O,O,X,X
LJITOSZ,X,X,O,X,O,O,X,X
LJITOZS,X,X,O,X,O,O,X,X
LJISTZO,X,X,X,X,O,O,X,X
LJISTOZ,X,X,X,X,O,O,X,O
LJISZTO,X,X,X,X,O,O,X,X
LJISZOT,X,X,X,X,O,O,O,X
LJISOTZ,X,X,X,X,O,O,X,O
LJISOZT,X,X,X,X,O,O,O,X
LJIZTSO,O,X,X,X,O,O,X,X
LJIZTOS,X,X,O,X,O,O,X,X
LJIZSTO,O,X,X,X,O,O,X,X
LJIZSOT,X,X,X,X,O,O,O,X
LJIZOTS,X,X,O,X,O,O,X,X
LJIZOST,X,X,O,X,O,O,X,X
LJIOTSZ,X,X,O,X,O,O,X,X
LJIOTZS,X,X,O,X,O,O,X,X
LJIOSTZ,X,X,O,X,O,O,X,X
LJIOSZT,X,X,O,X,O,O,X,X
LJIOZTS,X,X,O,X,O,O,X,X
LJIOZST,X,X,O,X,O,O,X,X
LJSTIZO,X,X,X,X,X,O,X,X
LJSTIOZ,X,X,X,X,X,O,X,O
LJSTZIO,X,X,X,X,X,O,X,X
LJSTZOI,X,X,O,X,X,O,X,O
LJSTOIZ,X,X,O,O,X,O,X,O
LJSTOZI,X,X,O,O,X,O,X,O
LJSITZO,X,X,X,X,X,O,X,X
LJSITOZ,X,X,X,X,X,O,X,O
LJSIZTO,X,X,X,X,X,O,X,X
LJSIZOT,X,X,X,X,X,O,O,X
LJSIOTZ,X,X,X,X,X,O,X,O
LJSIOZT,X,X,X,X,X,O,O,X
LJSZTIO,X,X,X,X,X,O,X,X
LJSZTOI,X,X,O,X,X,O,X,O
LJSZITO,X,X,X,X,X,O,X,X
LJSZIOT,X,X,X,X,X,O,O,X
LJSZOTI,X,X,O,X,X,O,X,O
LJSZOIT,X,X,O,X,X,O,O,X
LJSOTIZ,X,X,O,O,X,O,X,O
LJSOTZI,X,X,O,O,X,O,X,O
LJSOITZ,X,X,O,O,X,O,X,O
LJSOIZT,X,X,O,X,X,O,O,X
LJSOZTI,X,X,O,O,X,O,X,O
LJSOZIT,X,X,O,O,X,O,O,X
LJZTISO,O,X,X,X,O,O,X,X
LJZTIOS,X,X,O,X,O,O,X,X
LJZTSIO,O,X,X,X,X,O,X,X
LJZTSOI,O,X,O,X,X,O,X,O
LJZTOIS,O,X,O,O,X,O,X,X
LJZTOSI,O,X,O,O,X,O,X,X
LJZITSO,O,X,X,X,O,O,X,X
LJZITOS,X,X,O,X,O,O,X,X
LJZISTO,O,X,X,X,O,O,X,X
LJZISOT,X,X,X,X,O,O,O,X
LJZIOTS,X,X,O,X,O,O,X,X
LJZIOST,X,X,O,X,O,O,X,X
LJZSTIO,O,X,X,X,X,O,X,X
LJZSTOI,O,X,O,X,X,O,X,O
LJZSITO,O,X,X,X,X,O,X,X
LJZSIOT,X,X,X,X,X,O,O,X
LJZSOTI,O,X,O,X,X,O,X,O
LJZSOIT,O,X,O,X,X,O,O,X
LJZOTIS,O,X,O,O,X,O,X,X
LJZOTSI,O,X,O,O,X,O,X,X
LJZOITS,O,X,O,O,X,O,X,X
LJZOIST,O,X,O,O,X,O,X,X
LJZOSTI,O,X,O,O,X,O,X,X
LJZOSIT,O,X,O,O,X,O,X,X
LJOTISZ,X,X,O,O,X,O,X,X
LJOTIZS,O,X,O,X,X,O,X,X
LJOTSIZ,X,X,O,O,X,O,X,O
LJOTSZI,X,X,O,O,X,O,X,O
LJOTZIS,O,X,O,O,X,O,X,X
LJOTZSI,O,X,O,O,X,O,X,X
LJOITSZ,X,X,O,O,X,O,X,X
LJOITZS,O,X,O,X,X,O,X,X
LJOISTZ,X,X,O,O,X,O,X,X
LJOISZT,X,X,O,X,X,O,X,X
LJOIZTS,O,X,O,X,X,O,X,X
LJOIZST,O,X,O,X,X,O,X,X
LJOSTIZ,X,X,O,O,X,O,X,O
LJOSTZI,X,X,O,O,X,O,X,O
LJOSITZ,X,X,O,O,X,O,X,O
LJOSIZT,X,X,O,X,X,O,X,X
LJOSZTI,X,X,O,O,X,O,X,O
LJOSZIT,X,X,O,O,X,O,X,X
LJOZTIS,O,X,O,O,X,O,X,X
LJOZTSI,O,X,O,O,X,O,X,X
LJOZITS,O,X,O,O,X,O,X,X
LJOZIST,O,X,O,O,X,O,X,X
LJOZSTI,O,X,O,O,X,O,X,X
LJOZSIT,O,X,O,O,X,O,X,X
LSTIJZO,X,O,X,X,X,X,X,X
LSTIJOZ,X,X,X,X,X,X,X,O
LSTIZJO,O,O,X,X,X,X,X,X
LSTIZOJ,O,X,X,X,X,X,O,X
LSTIOJZ,X,X,X,X,X,X,X,O
LSTIOZJ,X,X,X,X,X,X,O,X
LSTJIZO,X,X,X,X,X,O,X,X
LSTJIOZ,X,X,X,X,X,O,X,O
LSTJZIO,X,X,X,X,X,O,X,X
LSTJZOI,X,X,O,X,X,O,X,O
LSTJOIZ,X,X,O,O,X,O,X,O
LSTJOZI,X,X,O,O,X,O,X,O
LSTZIJO,O,X,X,X,X,X,X,X
LSTZIOJ,O,X,X,X,X,X,O,X
LSTZJIO,O,X,X,X,X,O,X,X
LSTZJOI,O,X,O,X,X,O,X,O
LSTZOIJ,O,X,X,X,X,X,O,X
LSTZOJI,O,X,O,X,X,X,X,O
LSTOIJZ,X,O,X,X,X,X,X,O
LSTOIZJ,O,O,X,X,X,X,O,X
LSTOJIZ,X,X,O,O,X,X,X,O
LSTOJZI,X,X,O,O,X,X,X,O
LSTOZIJ,O,O,X,X,X,X,O,X
LSTOZJI,O,O,O,O,X,X,X,O
LSITJZO,X,O,X,X,X,X,X,X
LSITJOZ,X,X,X,X,X,X,X,O
LSITZJO,O,O,X,X,X,X,X,X
LSITZOJ,O,X,X,X,X,X,O,X
LSITOJZ,X,X,X,X,X,X,X,O
LSITOZJ,X,X,X,X,X,X,O,X
LSIJTZO,X,O,X,X,X,X,X,X
LSIJTOZ,X,X,X,X,X,X,X,O
LSIJZTO,X,O,X,X,X,X,X,X
LSIJZOT,X,X,X,X,X,X,O,X
LSIJOTZ,X,X,X,X,X,X,X,O
LSIJOZT,X,X,X,X,X,X,O,X
LSIZTJO,O,O,X,X,X,X,X,X
LSIZTOJ,O,X,X,X,X,X,O,X
LSIZJTO,O,O,X,X,X,X,X,X
LSIZJOT,X,X,X,X,X,X,O,X
LSIZOTJ,O,X,X,X,X,X,O,X
LSIZOJT,X,X,X,X,X,X,O,X
LSIOTJZ,X,X,X,X,X,X,X,O
LSIOTZJ,X,X,X,X,X,X,O,X
LSIOJTZ,X,X,X,X,X,X,X,O
LSIOJZT,X,X,X,X,X,X,O,X
LSIOZTJ,X,X,X,X,X,X,O,X
LSIOZJT,X,X,X,X,X,X,O,X
LSJTIZO,X,X,X,X,X,O,X,X
LSJTIOZ,X,X,X,X,X,O,X,O
LSJTZIO,X,X,X,X,X,O,X,X
LSJTZOI,X,X,O,X,X,O,X,O
LSJTOIZ,X,X,O,O,X,O,X,O
LSJTOZI,X,X,O,O,X,O,X,O
LSJITZO,X,X,X,X,X,O,X,X
LSJITOZ,X,X,X,X,X,O,X,O
LSJIZTO,X,X,X,X,X,O,X,X
LSJIZOT,X,X,X,X,X,O,O,X
LSJIOTZ,X,X,X,X,X,O,X,O
LSJIOZT,X,X,X,X,X,O,O,X
LSJZTIO,X,X,X,X,X,O,X,X
LSJZTOI,X,X,O,X,X,O,X,O
LSJZITO,X,X,X,X,X,O,X,X
LSJZIOT,X,X,X,X,X,O,O,X
LSJZOTI,X,X,O,X,X,O,X,O
LSJZOIT,X,X,O,X,X,O,O,X
LSJOTIZ,X,X,O,O,X,O,X,O
LSJOTZI,X,X,O,O,X,O,X,O
LSJOITZ,X,X,O,O,X,O,X,O
LSJOIZT,X,X,O,X,X,O,O,X
LSJOZTI,X,X,O,O,X,O,X,O
LSJOZIT,X,X,O,O,X,O,O,X
LSZTIJO,O,X,X,X,X,X,X,X
LSZTIOJ,O,X,X,X,X,X,O,X
LSZTJIO,O,X,X,X,X,O,X,X
LSZTJOI,O,X,O,X,X,O,X,O
LSZTOIJ,O,X,X,X,X,X,O,X
LSZTOJI,O,X,O,X,X,X,X,O
LSZITJO,O,X,X,X,X,X,X,X
LSZITOJ,O,X,X,X,X,X,O,X
LSZIJTO,O,X,X,X,X,X,X,X
LSZIJOT,X,X,X,X,X,X,O,X
LSZIOTJ,O,X,X,X,X,X,O,X
LSZIOJT,O,X,X,X,X,X,O,X
LSZJTIO,O,X,X,X,X,O,X,X
LSZJTOI,O,X,O,X,X,O,X,O
LSZJITO,O,X,X,X,X,O,X,X
LSZJIOT,X,X,X,X,X,O,O,X
LSZJOTI,O,X,O,X,X,O,X,O
LSZJOIT,O,X,O,X,X,O,O,X
LSZOTIJ,O,X,X,X,X,X,O,X
LSZOTJI,O,X,O,X,X,X,X,O
LSZOITJ,O,X,X,X,X,X,O,X
LSZOIJT,O,X,X,X,X,X,O,X
LSZOJTI,O,X,O,X,X,X,X,O
LSZOJIT,O,X,O,X,X,X,O,X
LSOTIJZ,X,O,X,X,X,X,X,O
LSOTIZJ,O,O,X,X,X,X,O,X
LSOTJIZ,X,X,O,O,X,X,X,O
LSOTJZI,X,X,O,O,X,X,X,O
LSOTZIJ,O,O,X,X,X,X,O,X
LSOTZJI,O,O,O,O,X,X,X,O
LSOITJZ,X,O,X,X,X,X,X,O
LSOITZJ,O,O,X,X,X,X,O,X
LSOIJTZ,X,O,X,X,X,X,X,O
LSOIJZT,X,O,X,X,X,X,O,X
LSOIZTJ,O,O,X,X,X,X,O,X
LSOIZJT,O,O,X,X,X,X,O,X
LSOJTIZ,X,X,O,O,X,X,X,O
LSOJTZI,X,X,O,O,X,X,X,O
LSOJITZ,X,X,O,O,X,X,X,O
LSOJIZT,X,X,O,X,X,X,O,X
LSOJZTI,X,X,O,O,X,X,X,O
LSOJZIT,X,X,O,O,X,X,O,X
LSOZTIJ,O,O,X,X,X,X,O,X
LSOZTJI,O,O,O,O,X,X,X,O
LSOZITJ,O,O,X,X,X,X,O,X
LSOZIJT,O,O,X,X,X,X,O,X
LSOZJTI,O,O,O,O,X,X,X,O
LSOZJIT,O,X,O,O,X,X,O,X
LZTIJSO,O,X,X,X,O,O,X,X
LZTIJOS,X,X,O,X,O,O,X,X
LZTISJO,O,X,X,X,O,X,X,X
LZTISOJ,O,X,X,X,X,X,O,X
LZTIOJS,O,X,O,X,X,X,X,X
LZTIOSJ,O,X,X,X,X,X,X,X
LZTJISO,O,X,X,X,O,O,X,X
LZTJIOS,X,X,O,X,O,O,X,X
LZTJSIO,O,X,X,X,X,O,X,X
LZTJSOI,O,X,O,X,X,O,X,O
LZTJOIS,O,X,O,O,X,O,X,X
LZTJOSI,O,X,O,O,X,O,X,X
LZTSIJO,O,X,X,X,X,X,X,X
LZTSIOJ,O,X,X,X,X,X,O,X
LZTSJIO,O,X,X,X,X,O,X,X
LZTSJOI,O,X,O,X,X,O,X,O
LZTSOIJ,O,X,X,X,X,X,O,X
LZTSOJI,O,X,O,X,X,X,X,O
LZTOIJS,O,X,O,X,X,X,X,X
LZTOISJ,O,X,X,X,X,X,X,X
LZTOJIS,O,X,O,O,X,O,X,X
LZTOJSI,O,X,O,O,X,O,X,X
LZTOSIJ,O,X,X,X,X,X,X,X
LZTOSJI,O,X,O,O,X,X,X,X
LZITJSO,O,X,X,X,O,O,X,X
LZITJOS,X,X,O,X,O,O,X,X
LZITSJO,O,X,X,X,O,X,X,X
LZITSOJ,O,X,X,X,X,X,O,X
LZITOJS,O,X,O,X,X,X,X,X
LZITOSJ,O,X,X,X,X,X,X,X
LZIJTSO,O,X,X,X,O,O,X,X
LZIJTOS,X,X,O,X,O,O,X,X
LZIJSTO,O,X,X,X,O,O,X,X
LZIJSOT,X,X,X,X,O,O,O,X
LZIJOTS,X,X,O,X,O,O,X,X
LZIJOST,X,X,O,X,O,O,X,X
LZISTJO,O,X,X,X,O,X,X,X
LZISTOJ,O,X,X,X,X,X,O,X
LZISJTO,O,X,X,X,O,X,X,X
LZISJOT,X,X,X,X,O,X,O,X
LZISOTJ,O,X,X,X,X,X,O,X
LZISOJT,O,X,X,X,X,X,O,X
LZIOTJS,O,X,O,X,X,X,X,X
LZIOTSJ,O,X,X,X,X,X,X,X
LZIOJTS,O,X,O,X,X,X,X,X
LZIOJST,O,X,O,X,X,X,X,X
LZIOSTJ,O,X,X,X,X,X,O,X
LZIOSJT,O,X,X,X,X,X,O,X
LZJTISO,O,X,X,X,O,O,X,X
LZJTIOS,X,X,O,X,O,O,X,X
LZJTSIO,O,X,X,X,X,O,X,X
LZJTSOI,O,X,O,X,X,O,X,O
LZJTOIS,O,X,O,O,X,O,X,X
LZJTOSI,O,X,O,O,X,O,X,X
LZJITSO,O,X,X,X,O,O,X,X
LZJITOS,X,X,O,X,O,O,X,X
LZJISTO,O,X,X,X,O,O,X,X
LZJISOT,X,X,X,X,O,O,O,X
LZJIOTS,X,X,O,X,O,O,X,X
LZJIOST,X,X,O,X,O,O,X,X
LZJSTIO,O,X,X,X,X,O,X,X
LZJSTOI,O,X,O,X,X,O,X,O
LZJSITO,O,X,X,X,X,O,X,X
LZJSIOT,X,X,X,X,X,O,O,X
LZJSOTI,O,X,O,X,X,O,X,O
LZJSOIT,O,X,O,X,X,O,O,X
LZJOTIS,O,X,O,O,X,O,X,X
LZJOTSI,O,X,O,O,X,O,X,X
LZJOITS,O,X,O,O,X,O,X,X
LZJOIST,O,X,O,O,X,O,X,X
LZJOSTI,O,X,O,O,X,O,X,X
LZJOSIT,O,X,O,O,X,O,X,X
LZSTIJO,O,X,X,X,X,X,X,X
LZSTIOJ,O,X,X,X,X,X,O,X
LZSTJIO,O,X,X,X,X,O,X,X
LZSTJOI,O,X,O,X,X,O,X,O
LZSTOIJ,O,X,X,X,X,X,O,X
LZSTOJI,O,X,O,X,X,X,X,O
LZSITJO,O,X,X,X,X,X,X,X
LZSITOJ,O,X,X,X,X,X,O,X
LZSIJTO,O,X,X,X,X,X,X,X
LZSIJOT,X,X,X,X,X,X,O,X
LZSIOTJ,O,X,X,X,X,X,O,X
LZSIOJT,O,X,X,X,X,X,O,X
LZSJTIO,O,X,X,X,X,O,X,X
LZSJTOI,O,X,O,X,X,O,X,O
LZSJITO,O,X,X,X,X,O,X,X
LZSJIOT,X,X,X,X,X,O,O,X
LZSJOTI,O,X,O,X,X,O,X,O
LZSJOIT,O,X,O,X,X,O,O,X
LZSOTIJ,O,X,X,X,X,X,O,X
LZSOTJI,O,X,O,X,X,X,X,O
LZSOITJ,O,X,X,X,X,X,O,X
LZSOIJT,O,X,X,X,X,X,O,X
LZSOJTI,O,X,O,X,X,X,X,O
LZSOJIT,O,X,O,X,X,X,O,X
LZOTIJS,O,X,O,X,X,X,X,X
LZOTISJ,O,X,X,X,X,X,X,X
LZOTJIS,O,X,O,O,X,O,X,X
LZOTJSI,O,X,O,O,X,O,X,X
LZOTSIJ,O,X,X,X,X,X,X,X
LZOTSJI,O,X,O,O,X,X,X,X
LZOITJS,O,X,O,X,X,X,X,X
LZOITSJ,O,X,X,X,X,X,X,X
LZOIJTS,O,X,O,X,X,X,X,X
LZOIJST,O,X,O,X,X,X,X,X
LZOISTJ,O,X,X,X,X,X,O,X
LZOISJT,O,X,X,X,X,X,O,X
LZOJTIS,O,X,O,O,X,O,X,X
LZOJTSI,O,X,O,O,X,O,X,X
LZOJITS,O,X,O,O,X,O,X,X
LZOJIST,O,X,O,O,X,O,X,X
LZOJSTI,O,X,O,O,X,O,X,X
LZOJSIT,O,X,O,O,X,O,X,X
LZOSTIJ,O,X,X,X,X,X,O,X
LZOSTJI,O,X,O,O,X,X,X,X
LZOSITJ,O,X,X,X,X,X,O,X
LZOSIJT,O,X,X,X,X,X,O,X
LZOSJTI,O,X,O,O,X,X,X,X
LZOSJIT,O,X,O,O,X,X,O,X
LOTIJSZ,X,O,O,X,X,X,X,X
LOTIJZS,O,O,O,X,X,X,X,X
LOTISJZ,X,O,X,X,X,X,X,X
LOTISZJ,O,O,X,X,X,X,X,X
LOTIZJS,O,O,O,X,X,X,X,X
LOTIZSJ,O,O,X,X,X,X,X,X
LOTJISZ,X,X,O,O,X,O,X,X
LOTJIZS,O,X,O,X,X,O,X,X
LOTJSIZ,X,X,O,O,X,O,X,O
LOTJSZI,X,X,O,O,X,O,X,O
LOTJZIS,O,X,O,O,X,O,X,X
LOTJZSI,O,X,O,O,X,O,X,X
LOTSIJZ,X,O,X,X,X,X,X,O
LOTSIZJ,O,O,X,X,X,X,X,X
LOTSJIZ,X,X,O,O,X,X,X,O
LOTSJZI,X,X,O,O,X,X,X,O
LOTSZIJ,O,O,X,X,X,X,X,X
LOTSZJI,O,O,O,O,X,X,X,O
LOTZIJS,O,O,O,X,X,X,X,X
LOTZISJ,O,O,X,X,X,X,X,X
LOTZJIS,O,X,O,O,X,O,X,X
LOTZJSI,O,O,O,O,X,O,X,X
LOTZSIJ,O,O,X,X,X,X,X,X
LOTZSJI,O,O,O,O,X,X,X,X
LOITJSZ,X,O,O,X,X,X,X,X
LOITJZS,O,O,O,X,X,X,X,X
LOITSJZ,X,O,X,X,X,X,X,X
LOITSZJ,O,O,X,X,X,X,X,X
LOITZJS,O,O,O,X,X,X,X,X
LOITZSJ,O,O,X,X,X,X,X,X
LOIJTSZ,X,O,O,X,X,X,X,X
LOIJTZS,O,O,O,X,X,X,X,X
LOIJSTZ,X,O,O,X,X,X,X,X
LOIJSZT,X,O,O,X,X,X,X,X
LOIJZTS,O,O,O,X,X,X,X,X
LOIJZST,O,O,O,X,X,X,X,X
LOISTJZ,X,O,X,X,X,X,X,X
LOISTZJ,O,O,X,X,X,X,O,X
LOISJTZ,X,O,X,X,X,X,X,X
LOISJZT,X,O,X,X,X,X,O,X
LOISZTJ,O,O,X,X,X,X,O,X
LOISZJT,O,O,X,X,X,X,O,X
LOIZTJS,O,O,O,X,X,X,X,X
LOIZTSJ,O,O,X,X,X,X,X,X
LOIZJTS,O,O,O,X,X,X,X,X
LOIZJST,O,O,O,X,X,X,X,X
LOIZSTJ,O,O,X,X,X,X,O,X
LOIZSJT,O,O,X,X,X,X,O,X
LOJTISZ,X,X,O,O,X,O,X,X
LOJTIZS,O,X,O,X,X,O,X,X
LOJTSIZ,X,X,O,O,X,O,X,O
LOJTSZI,X,X,O,O,X,O,X,O
LOJTZIS,O,X,O,O,X,O,X,X
LOJTZSI,O,X,O,O,X,O,X,X
LOJITSZ,X,X,O,O,X,O,X,X
LOJITZS,O,X,O,X,X,O,X,X
LOJISTZ,X,X,O,O,X,O,X,X
LOJISZT,X,X,O,X,X,O,X,X
LOJIZTS,O,X,O,X,X,O,X,X
LOJIZST,O,X,O,X,X,O,X,X
LOJSTIZ,X,X,O,O,X,O,X,O
LOJSTZI,X,X,O,O,X,O,X,O
LOJSITZ,X,X,O,O,X,O,X,O
LOJSIZT,X,X,O,X,X,O,X,X
LOJSZTI,X,X,O,O,X,O,X,O
LOJSZIT,X,X,O,O,X,O,X,X
LOJZTIS,O,X,O,O,X,O,X,X
LOJZTSI,O,X,O,O,X,O,X,X
LOJZITS,O,X,O,O,X,O,X,X
LOJZIST,O,X,O,O,X,O,X,X
LOJZSTI,O,X,O,O,X,O,X,X
LOJZSIT,O,X,O,O,X,O,X,X
LOSTIJZ,X,O,X,X,X,X,X,O
LOSTIZJ,O,O,X,X,X,X,O,X
LOSTJIZ,X,X,O,O,X,X,X,O
LOSTJZI,X,X,O,O,X,X,X,O
LOSTZIJ,O,O,X,X,X,X,O,X
LOSTZJI,O,O,O,O,X,X,X,O
LOSITJZ,X,O,X,X,X,X,X,O
LOSITZJ,O,O,X,X,X,X,O,X
LOSIJTZ,X,O,X,X,X,X,X,O
LOSIJZT,X,O,X,X,X,X,O,X
LOSIZTJ,O,O,X,X,X,X,O,X
LOSIZJT,O,O,X,X,X,X,O,X
LOSJTIZ,X,X,O,O,X,X,X,O
LOSJTZI,X,X,O,O,X,X,X,O
LOSJITZ,X,X,O,O,X,X,X,O
LOSJIZT,X,X,O,X,X,X,O,X
LOSJZTI,X,X,O,O,X,X,X,O
LOSJZIT,X,X,O,O,X,X,O,X
LOSZTIJ,O,O,X,X,X,X,O,X
LOSZTJI,O,O,O,O,X,X,X,O
LOSZITJ,O,O,X,X,X,X,O,X
LOSZIJT,O,O,X,X,X,X,O,X
LOSZJTI,O,O,O,O,X,X,X,O
LOSZJIT,O,X,O,O,X,X,O,X
LOZTIJS,O,O,O,X,X,X,X,X
LOZTISJ,O,O,X,X,X,X,X,X
LOZTJIS,O,X,O,O,X,O,X,X
LOZTJSI,O,O,O,O,X,O,X,X
LOZTSIJ,O,O,X,X,X,X,X,X
LOZTSJI,O,O,O,O,X,X,X,X
LOZITJS,O,O,O,X,X,X,X,X
LOZITSJ,O,O,X,X,X,X,X,X
LOZIJTS,O,O,O,X,X,X,X,X
LOZIJST,O,O,O,X,X,X,X,X
LOZISTJ,O,O,X,X,X,X,O,X
LOZISJT,O,O,X,X,X,X,O,X
LOZJTIS,O,X,O,O,X,O,X,X
LOZJTSI,O,O,O,O,X,O,X,X
LOZJITS,O,X,O,O,X,O,X,X
LOZJIST,O,X,O,O,X,O,X,X
LOZJSTI,O,O,O,O,X,O,X,X
LOZJSIT,O,X,O,O,X,O,X,X
LOZSTIJ,O,O,X,X,X,X,O,X
LOZSTJI,O,O,O,O,X,X,X,X
LOZSITJ,O,O,X,X,X,X,O,X
LOZSIJT,O,O,X,X,X,X,O,X
LOZSJTI,O,O,O,O,X,X,X,X
LOZSJIT,O,X,O,O,X,X,O,X
JTILSZO,X,O,X,X,O,O,X,X
JTILSOZ,X,X,X,X,O,O,X,O
JTILZSO,X,O,X,X,O,O,X,X
JTILZOS,X,X,O,X,O,O,X,X
JTILOSZ,X,O,O,X,O,O,X,X
JTILOZS,X,O,O,X,O,O,X,X
JTISLZO,X,O,X,X,O,X,X,X
JTISLOZ,X,X,X,X,O,X,X,O
JTISZLO,X,O,X,X,O,X,X,X
JTISZOL,X,O,X,X,O,X,X,X
JTISOLZ,X,O,X,O,O,X,X,O
JTISOZL,X,O,X,O,O,X,X,X
JTIZLSO,X,O,X,X,O,O,X,X
JTIZLOS,X,X,O,X,O,O,X,X
JTIZSLO,X,O,X,X,O,X,X,X
JTIZSOL,X,O,X,X,O,X,X,X
JTIZOLS,X,O,O,O,O,X,X,X
JTIZOSL,X,O,X,O,O,X,X,X
JTIOLSZ,X,O,O,O,O,X,X,X
JTIOLZS,X,O,O,X,O,X,X,X
JTIOSLZ,X,O,X,O,O,X,X,X
JTIOSZL,X,O,X,O,O,X,X,X
JTIOZLS,X,O,O,O,O,X,X,X
JTIOZSL,X,O,X,O,O,X,X,X
JTLISZO,X,X,X,X,O,O,X,X
JTLISOZ,X,X,X,X,O,O,X,O
JTLIZSO,O,X,X,X,O,O,X,X
JTLIZOS,X,X,O,X,O,O,X,X
JTLIOSZ,X,X,O,X,O,O,X,X
JTLIOZS,X,X,O,X,O,O,X,X
JTLSIZO,X,X,X,X,X,O,X,X
JTLSIOZ,X,X,X,X,X,O,X,O
JTLSZIO,X,X,X,X,X,O,X,X
JTLSZOI,X,X,O,X,X,O,X,O
JTLSOIZ,X,X,O,O,X,O,X,O
JTLSOZI,X,X,O,O,X,O,X,O
JTLZISO,O,X,X,X,O,O,X,X
JTLZIOS,X,X,O,X,O,O,X,X
JTLZSIO,O,X,X,X,X,O,X,X
JTLZSOI,O,X,O,X,X,O,X,O
JTLZOIS,O,X,O,O,X,O,X,X
JTLZOSI,O,X,O,O,X,O,X,X
JTLOISZ,X,X,O,O,X,O,X,X
JTLOIZS,O,X,O,X,X,O,X,X
JTLOSIZ,X,X,O,O,X,O,X,O
JTLOSZI,X,X,O,O,X,O,X,O
JTLOZIS,O,X,O,O,X,O,X,X
JTLOZSI,O,X,O,O,X,O,X,X
JTSILZO,X,O,X,X,O,X,X,X
JTSILOZ,X,X,X,X,O,X,X,O
JTSIZLO,X,O,X,X,O,X,X,X
JTSIZOL,X,O,X,X,O,X,X,X
JTSIOLZ,X,X,X,O,O,X,X,O
JTSIOZL,X,O,X,O,O,X,X,X
JTSLIZO,X,X,X,X,X,O,X,X
JTSLIOZ,X,X,X,X,X,O,X,O
JTSLZIO,X,X,X,X,X,O,X,X
JTSLZOI,X,X,O,X,X,O,X,O
JTSLOIZ,X,X,O,O,X,O,X,O
JTSLOZI,X,X,O,O,X,O,X,O
JTSZILO,X,X,X,X,O,X,X,X
JTSZIOL,X,X,X,X,O,X,X,X
JTSZLIO,O,X,X,X,X,O,X,X
JTSZLOI,O,X,O,X,X,O,X,O
JTSZOIL,O,X,X,O,X,X,X,X
JTSZOLI,O,X,O,O,X,X,X,O
JTSOILZ,X,O,X,O,X,X,X,O
JTSOIZL,X,O,X,O,X,X,X,X
JTSOLIZ,X,X,O,O,X,X,X,O
JTSOLZI,X,X,O,O,X,X,X,O
JTSOZIL,O,O,X,O,X,X,X,X
JTSOZLI,O,O,O,O,X,X,X,O
JTZILSO,X,X,X,X,O,O,X,X
JTZILOS,X,X,O,X,O,O,X,X
JTZISLO,X,X,X,X,O,X,X,X
JTZISOL,X,X,X,X,O,X,X,X
JTZIOLS,X,X,O,O,O,X,X,X
JTZIOSL,X,X,X,O,O,X,X,X
JTZLISO,O,X,X,X,O,O,X,X
JTZLIOS,X,X,O,X,O,O,X,X
JTZLSIO,O,X,X,X,X,O,X,X
JTZLSOI,O,X,O,X,X,O,X,O
JTZLOIS,O,X,O,O,X,O,X,X
JTZLOSI,O,X,O,O,X,O,X,X
