sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TSLIOJZ,X,X,X,O,X,X,X,X
TSLIOZJ,X,X,X,O,X,X,X,X
TSLJIZO,X,X,X,O,O,X,X,X
TSLJIOZ,X,X,X,O,X,X,X,X
TSLJZIO,X,X,X,O,O,X,X,X
TSLJZOI,X,X,X,O,O,X,X,X
TSLJOIZ,X,X,X,O,X,X,X,X
TSLJOZI,X,X,X,O,X,X,X,X
TSLZIJO,X,X,X,O,O,X,O,X
TSLZIOJ,X,X,X,O,O,X,O,X
TSLZJIO,X,X,X,O,O,X,O,X
TSLZJOI,X,X,X,O,O,X,O,X
TSLZOIJ,X,X,X,O,O,X,O,X
TSLZOJI,X,X,X,O,O,X,O,X
TSLOIJZ,X,X,X,O,X,X,X,X
TSLOIZJ,X,X,X,O,X,X,X,X
TSLOJIZ,X,X,X,O,X,X,X,X
TSLOJZI,X,X,X,O,X,X,X,X
TSLOZIJ,X,X,X,O,X,X,O,X
TSLOZJI,X,X,X,O,X,X,O,X
TSJILZO,X,X,X,O,O,X,X,X
TSJILOZ,X,X,X,O,X,X,X,X
TSJIZLO,O,X,O,O,O,X,X,O
TSJIZOL,O,X,O,O,O,O,X,O
TSJIOLZ,X,X,X,O,O,X,X,X
TSJIOZL,O,O,O,O,O,X,X,X
TSJLIZO,X,X,X,O,O,X,X,X
TSJLIOZ,X,X,X,O,X,X,X,X
TSJLZIO,X,X,X,O,O,X,X,X
TSJLZOI,X,X,X,O,O,X,X,X
TSJLOIZ,X,X,X,O,X,X,X,X
