sequence,v115@HhA8IeA8GeD8AeA8AeE8Jem/IvhFzgBRiBSoBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je0/IvhFxgBTjBarBGnBXn?BFqB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBUhBGiBTjBfr?BVxB,v115@HhA8IeA8GeD8AeA8AeE8Jex/IvhFylBGiBTjBfqBUn?BFrB,v115@HhA8IeA8GeD8AeA8AeE8Je6EJvhFZlBFhB8mB+nBTj?BfrB,v115@HhA8IeA8GeD8AeA8AeE8JezBJvhFGjBRlB3nB0kBFr?BiqB
TZJSOIL,O,X,O,O,O,O
TZJSOLI,O,O,O,O,O,X
TZJOILS,O,O,O,X,O,X
TZJOISL,O,X,O,O,O,X
TZJOLIS,O,O,O,X,O,X
TZJOLSI,O,O,O,O,O,X
TZJOSIL,O,X,O,O,O,X
TZJOSLI,O,O,O,O,O,X
TZSILJO,O,X,O,O,O,X
TZSILOJ,O,X,O,O,O,X
TZSIJLO,O,X,O,O,O,X
TZSIJOL,O,X,O,O,O,O
TZSIOLJ,O,X,O,O,O,X
TZSIOJL,O,X,O,O,O,O
TZSLIJO,O,O,O,O,O,X
TZSLIOJ,O,O,O,O,O,X
TZSLJIO,O,O,O,O,O,X
TZSLJOI,O,O,O,O,O,X
TZSLOIJ,O,O,O,O,O,X
TZSLOJI,O,O,O,O,O,X
TZSJILO,O,X,O,O,O,X
TZSJIOL,O,X,O,O,O,O
TZSJLIO,O,O,O,O,O,X
TZSJLOI,O,O,O,O,O,X
TZSJOIL,O,X,O,O,O,O
TZSJOLI,O,O,O,O,O,X
TZSOILJ,O,X,O,O,O,X
TZSOIJL,O,X,O,O,O,O
TZSOLIJ,O,O,O,O,O,X
TZSOLJI,O,O,O,O,O,X
TZSOJIL,O,X,O,O,O,O
TZSOJLI,O,O,O,O,O,X
TZOILJS,O,O,O,X,X,X
TZOILSJ,O,O,O,X,X,X
TZOIJLS,O,O,O,X,X,X
TZOIJSL,O,X,O,O,X,X
TZOISLJ,O,X,O,O,X,X
TZOISJL,O,X,O,O,X,X
TZOLIJS,O,O,O,X,X,X
TZOLISJ,O,O,O,X,X,X
TZOLJIS,O,O,O,X,X,X
TZOLJSI,O,O,O,O,X,X
TZOLSIJ,O,O,O,O,X,X
TZOLSJI,O,O,O,O,X,X
TZOJILS,O,O,O,X,X,X
TZOJISL,O,X,O,O,X,X
TZOJLIS,O,O,O,X,X,X
TZOJLSI,O,O,O,O,X,X
TZOJSIL,O,X,O,O,X,X
TZOJSLI,O,O,O,O,X,X
TZOSILJ,O,X,O,O,X,X
TZOSIJL,O,X,O,O,X,X
TZOSLIJ,O,O,O,O,X,X
TZOSLJI,O,O,O,O,X,X
TZOSJIL,O,X,O,O,X,X
TZOSJLI,O,O,O,O,X,X
TOILJSZ,O,O,O,X,O,X
TOILJZS,X,O,O,X,O,X
TOILSJZ,O,O,O,X,O,X
TOILSZJ,O,O,O,X,X,X
TOILZJS,O,O,O,X,X,X
TOILZSJ,O,O,O,X,X,X
