sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFzgBGiB3mBxpBls?BUqB
TLOIJSZ,O,O,O,O,O,X,O,O,O,O,X,O,X,X
TLOIJZS,O,O,O,O,O,X,O,O,O,X,O,X,O,X
TLOISJZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLOISZJ,O,O,O,O,X,O,O,X,O,O,X,O,O,X
TLOIZJS,O,O,O,O,X,O,O,O,X,X,O,X,O,X
TLOIZSJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TLOJISZ,O,O,O,O,O,X,O,O,O,O,X,X,X,X
TLOJIZS,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TLOJSIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLOJSZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TLOJZIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TLOJZSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLOSIJZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLOSIZJ,O,O,O,O,X,O,O,X,O,O,X,O,X,X
TLOSJIZ,O,O,O,O,O,O,O,O,O,O,X,O,X,X
TLOSJZI,O,O,O,O,O,O,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,O,O,X,O,O,X,O,O,O,O,X,X
TLOSZJI,O,O,O,O,O,O,O,X,O,O,O,X,X,X
TLOZIJS,O,O,O,O,X,O,O,O,X,X,O,X,O,X
TLOZISJ,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TLOZJIS,O,O,O,O,O,O,O,O,O,X,O,X,O,X
TLOZJSI,O,O,O,O,O,O,O,O,O,X,O,X,X,X
TLOZSIJ,O,O,O,O,X,O,O,X,O,X,O,O,X,X
TLOZSJI,O,O,O,O,O,O,O,X,O,X,O,X,X,X
TJILSZO,O,O,O,O,O,X,X,O,O,O,X,O,X,O
TJILSOZ,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TJILZSO,O,O,O,O,X,O,X,O,O,X,X,X,O,O
TJILZOS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TJILOSZ,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TJILOZS,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TJISLZO,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TJISLOZ,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TJISZLO,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TJISZOL,X,O,O,O,O,X,X,X,X,X,X,O,X,O
TJISOLZ,X,X,X,O,O,X,X,X,O,O,X,O,X,O
TJISOZL,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TJIZLSO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
TJIZLOS,O,X,O,X,O,X,O,O,O,X,X,X,O,O
TJIZSLO,O,X,O,X,O,O,X,O,X,O,X,O,O,O
TJIZSOL,O,X,O,X,O,O,X,O,X,X,X,O,O,O
TJIZOLS,O,X,X,X,O,X,O,O,O,X,X,X,O,O
TJIZOSL,O,X,O,X,O,X,X,O,X,X,X,O,O,X
TJIOLSZ,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TJIOLZS,O,O,X,O,O,X,O,O,O,X,X,X,O,O
TJIOSLZ,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TJIOSZL,O,X,X,X,O,X,X,X,X,O,X,O,X,O
TJIOZLS,X,O,X,X,O,X,O,O,O,X,X,X,O,O
TJIOZSL,O,O,X,X,O,X,X,O,X,O,X,O,O,X
TJLISZO,O,O,O,O,O,O,X,O,O,O,X,X,X,O
TJLISOZ,O,O,O,O,O,X,O,O,O,O,X,X,X,O
TJLIZSO,O,O,O,O,X,O,O,O,O,X,X,X,X,O
TJLIZOS,O,O,O,O,O,X,O,O,O,X,X,X,X,O
TJLIOSZ,O,O,O,O,O,X,O,O,O,X,X,X,X,O
