sequence,v115@RhA8EeB8AeC8BeF8Jei/IvhFRhB3iBcoBTmBGqBFqB,v115@RhA8EeB8AeC8BeF8Je/EJvhFUgBamBumBxnBFoBTqB,v115@RhA8EeB8AeC8BeF8JeT/IvhF/lBxiBimBFoBGmBUqB,v115@RhA8EeB8AeC8BeF8JeT/IvhFxgBliBcoB3mBGqBiqB,v115@RhA8EeB8AeC8BeF8JezAJvhFRiBcoBlkBCnBmkB3qB,v115@RhA8EeB8AeC8BeF8Jex/IvhF3iBcoBlkBGmBimBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFzgBumBxnB0kBFoB3qB,v115@RhA8EeB8AeC8BeF8JeT/IvhFumB3iBcoBRqBiqBlqB,v115@RhA8EeB8AeC8BeF8JeSIJvhFxkBlmB0kBXmBmnBTqB,v115@RhA8EeB8AeC8BeF8JeyEJvhFumBzlBxnB0kBFoB3qB
TJZIOLS,X,X,O,X,X,X,X,O,X,X
TJZIOSL,X,X,O,O,X,O,X,O,X,X
TJZLISO,X,X,O,X,O,O,X,X,X,X
TJZLIOS,X,X,O,X,X,X,X,X,X,X
TJZLSIO,O,X,O,O,O,O,X,X,X,X
TJZLSOI,O,X,O,O,O,O,X,X,X,X
TJZLOIS,O,X,O,X,X,X,X,X,X,X
TJZLOSI,O,X,O,O,X,X,X,X,X,X
TJZSILO,O,X,O,O,X,O,X,O,X,X
TJZSIOL,X,X,O,O,X,O,X,O,X,X
TJZSLIO,O,X,O,O,O,O,X,X,X,X
TJZSLOI,O,X,O,O,O,O,X,X,X,X
TJZSOIL,O,X,O,O,X,O,X,O,X,X
TJZSOLI,O,X,O,O,O,O,X,X,X,X
TJZOILS,O,X,O,X,X,X,X,O,X,X
TJZOISL,O,X,O,O,X,O,X,O,X,X
TJZOLIS,O,X,O,X,X,X,X,X,X,X
TJZOLSI,O,X,O,O,X,X,X,X,X,X
TJZOSIL,O,X,O,O,X,O,X,O,X,X
TJZOSLI,O,X,O,O,X,O,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,X,X,O
TJOILZS,O,X,O,X,X,X,X,X,X,O
TJOISLZ,X,O,X,X,X,X,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,X,X,X
TJOIZLS,O,X,O,X,X,X,X,O,X,X
TJOIZSL,O,X,O,X,X,O,X,O,X,X
TJOLISZ,X,O,X,X,X,X,X,X,X,O
TJOLIZS,O,X,O,X,X,X,X,X,X,O
TJOLSIZ,X,O,X,X,X,X,X,X,X,X
TJOLSZI,X,O,X,X,X,X,X,X,X,X
TJOLZIS,O,X,O,X,X,X,X,X,X,X
TJOLZSI,O,X,O,X,X,X,X,X,X,X
TJOSILZ,X,O,X,X,X,X,X,X,X,X
TJOSIZL,X,O,X,O,X,X,X,X,X,X
TJOSLIZ,X,O,X,X,X,X,X,X,X,X
TJOSLZI,X,O,X,X,X,X,X,X,X,X
TJOSZIL,X,O,X,O,X,X,X,X,X,X
TJOSZLI,X,O,X,O,X,X,X,X,X,X
TJOZILS,O,X,O,X,X,X,X,O,X,X
TJOZISL,O,X,O,O,X,O,X,O,X,X
TJOZLIS,O,X,O,X,X,X,X,X,X,X
TJOZLSI,O,X,O,O,X,X,X,X,X,X
TJOZSIL,O,X,O,O,X,O,X,O,X,X
TJOZSLI,O,X,O,O,X,O,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,X,O,X
TSILJOZ,X,X,X,X,X,X,O,X,O,X
TSILZJO,X,O,O,X,O,X,X,X,O,X
TSILZOJ,X,X,O,X,O,X,X,X,O,X
TSILOJZ,X,X,X,X,X,X,O,X,O,X
TSILOZJ,X,X,O,X,O,X,X,X,O,X
TSIJLZO,X,O,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,O,X,X,X
TSIJZLO,X,O,X,O,X,O,X,X,X,X
TSIJZOL,X,X,X,O,X,O,X,X,X,X
TSIJOLZ,X,O,X,X,X,X,O,X,X,X
TSIJOZL,X,O,X,O,X,X,X,X,X,X
TSIZLJO,X,O,O,O,O,O,X,X,X,X
TSIZLOJ,X,X,O,O,O,X,X,X,X,X
TSIZJLO,X,O,O,O,X,O,X,X,X,X
TSIZJOL,X,X,O,O,X,O,X,X,X,X
TSIZOLJ,X,X,O,O,O,X,X,X,X,X
TSIZOJL,X,X,O,O,X,O,X,X,X,X
TSIOLJZ,X,O,X,X,X,X,O,X,X,X
TSIOLZJ,X,O,O,X,O,X,X,X,X,X
TSIOJLZ,X,O,X,X,X,X,O,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,O,O,O,O,X,X,X,X,X
TSIOZJL,X,O,O,O,X,X,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X,X,O,X
TSLIJOZ,X,X,X,X,X,X,O,X,O,X
TSLIZJO,X,O,O,X,O,X,X,X,O,X
TSLIZOJ,X,X,O,X,O,X,X,X,O,X
TSLIOJZ,X,X,X,X,X,X,O,X,O,X
TSLIOZJ,X,X,O,X,O,X,X,X,O,X
TSLJIZO,X,O,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,O,X,X,X
TSLJZIO,X,O,X,X,O,X,X,X,X,X
TSLJZOI,X,X,X,X,O,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X,O,X,X,X
TSLJOZI,X,X,X,X,O,X,X,X,X,X
TSLZIJO,X,O,O,X,O,X,X,X,X,X
TSLZIOJ,X,X,O,X,O,X,X,X,X,X
TSLZJIO,X,O,O,X,O,X,X,X,X,X
TSLZJOI,X,X,O,X,O,X,X,X,X,X
TSLZOIJ,X,X,O,X,O,X,X,X,X,X
