sequence,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFulBRiBSoBN?rBUnBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFfnB0iB6oBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlB0hBxiBW?tBirBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFtlBmhBCjBc?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBStB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhBGjBfrB0?mB6sBNtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhFzhBfoB6oBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeWFJvhFxgBXjBdrBz?mBctB6sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JefHJvhF0iB6oBRlBG?lBNrBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JeRAJvhF3hB9oBGlB0?nBirBzsB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFChB8mBWoBd?rBxsBXtB,v115@9gA8IeA8IeC8GeD8AeB8BeA8Jez/IvhFRhB9nB6oBf?rB0mBetB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFfoB6oBRlBG?lBNrB0sB,v115@9gA8IeA8IeC8GeD8AeB8BeA8JezBJvhFRlB3nBctBG?lBNrBCtB
TJOLSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TJOLZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TJOLZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TJOSILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TJOSIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJOSLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TJOSLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TJOSZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJOSZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TJOZILS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TJOZISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TJOZLIS,O,O,O,O,O,O,O,O,X,X,O,O,X,X
TJOZLSI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
TJOZSIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TJOZSLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSILJZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSILZJO,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSILZOJ,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TSILOJZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSILOZJ,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,X,X,O,X,X,X,X,O,X,X,X
TSIJZOL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TSIJOLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TSIZLJO,O,O,X,O,X,O,O,X,O,X,O,O,X,X
TSIZLOJ,O,O,X,O,X,O,O,X,O,X,O,O,X,X
TSIZJLO,O,O,X,O,X,O,O,X,X,X,O,O,X,X
TSIZJOL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSIZOLJ,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSIZOJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSIOLJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TSIOJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TSIOZLJ,O,O,X,O,X,O,O,O,O,X,O,O,X,X
TSIOZJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSLIJZO,O,O,X,X,X,O,X,X,X,O,X,X,X,X
TSLIJOZ,O,O,X,X,O,O,X,X,X,O,X,X,X,X
TSLIZJO,O,O,X,X,X,O,X,X,O,O,X,X,X,X
TSLIZOJ,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TSLIOJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSLJIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TSLJIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSLJZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TSLJZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSLJOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSLJOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSLZIJO,O,O,X,X,X,O,X,X,O,O,O,X,X,X
TSLZIOJ,O,O,O,X,X,O,X,X,O,X,O,X,X,X
TSLZJIO,O,O,O,X,X,O,X,X,X,O,X,X,X,X
TSLZJOI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TSLZOIJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TSLZOJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TSLOIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSLOJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSLOZIJ,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TSLOZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TSJILZO,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TSJILOZ,O,O,X,X,X,O,X,X,X,O,X,O,X,X
TSJIZLO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TSJIZOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJIOLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TSJIOZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJLIZO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TSJLIOZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSJLZIO,O,O,O,X,X,O,X,X,X,O,X,O,X,X
TSJLZOI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSJLOIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSJLOZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TSJZILO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TSJZIOL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJZLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TSJZLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJZOIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJZOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJOILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TSJOIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJOLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSJOLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSJOZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSJOZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSZILJO,O,O,X,O,X,O,O,X,O,X,O,O,X,X
TSZILOJ,O,O,X,O,X,O,O,X,O,X,O,O,X,X
TSZIJLO,O,O,X,O,X,O,O,X,X,X,O,O,X,X
TSZIJOL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSZIOLJ,O,O,O,O,X,O,O,O,X,X,O,O,X,X
TSZIOJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSZLIJO,O,O,X,X,X,O,O,X,O,X,O,O,X,X
TSZLIOJ,O,O,O,X,X,O,O,X,O,X,O,O,X,X
TSZLJIO,O,O,O,X,X,O,O,X,X,X,X,O,X,X
TSZLJOI,O,O,O,X,X,O,O,O,X,X,X,O,X,X
TSZLOIJ,O,O,O,X,X,O,O,O,X,X,O,O,X,X
TSZLOJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X
TSZJILO,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TSZJIOL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TSZJLIO,O,O,X,X,X,O,O,X,X,X,X,O,X,X
TSZJLOI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSZJOIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TSZJOLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSZOILJ,O,O,O,O,X,O,O,O,X,X,O,O,X,X
TSZOIJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSZOLIJ,O,O,O,X,X,O,O,O,X,X,O,O,X,X
TSZOLJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X
TSZOJIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TSZOJLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSOILJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TSOIJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TSOIZLJ,O,O,X,O,X,O,O,O,O,X,O,O,X,X
TSOIZJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSOLIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TSOLJIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSOLJZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSOLZIJ,O,O,O,X,O,O,X,X,O,X,O,X,X,X
TSOLZJI,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TSOJILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TSOJIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSOJLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSOJLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TSOJZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSOJZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TSOZILJ,O,O,O,O,X,O,O,O,O,X,O,O,X,X
TSOZIJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TSOZLIJ,O,O,O,X,X,O,O,O,O,X,O,O,X,X
TSOZLJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X
TSOZJIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TSOZJLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TZILJSO,O,X,O,O,X,X,X,X,X,X,O,X,X,X
TZILJOS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TZILSJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TZILSOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TZILOJS,O,X,O,O,X,X,X,O,X,X,O,X,X,X
TZILOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TZIJLSO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TZIJLOS,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TZIJSLO,O,X,X,O,X,X,O,X,X,X,O,X,X,X
TZIJSOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TZIJOLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TZIJOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TZISLJO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TZISLOJ,O,O,X,O,X,X,O,X,X,X,O,X,O,X
TZISJLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TZISJOL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TZISOLJ,O,O,O,O,X,X,O,O,X,X,O,X,O,O
TZISOJL,O,O,X,O,X,X,O,O,X,X,O,X,X,O
TZIOLJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TZIOLSJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZIOJLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TZIOJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TZIOSLJ,O,O,O,O,X,X,O,O,X,X,O,X,O,X
TZIOSJL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TZLIJSO,O,X,O,O,X,X,X,X,X,O,O,X,X,X
TZLIJOS,O,X,O,O,X,O,X,O,X,O,O,X,X,X
TZLISJO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TZLISOJ,O,O,O,O,X,X,O,X,X,X,O,X,X,X
TZLIOJS,O,X,O,O,X,O,X,O,X,X,O,X,X,X
TZLIOSJ,O,O,O,O,X,X,O,O,X,X,O,X,X,X
TZLJISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
TZLJIOS,O,O,O,O,X,O,O,O,X,O,O,X,X,X
TZLJSIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TZLJSOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZLJOIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TZLJOSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZLSIJO,O,O,X,X,X,O,O,X,X,O,O,X,X,X
TZLSIOJ,O,O,O,X,X,O,O,X,X,X,O,X,X,X
TZLSJIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TZLSJOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZLSOIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TZLSOJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZLOIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TZLOISJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZLOJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TZLOJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZLOSIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TZLOSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZJILSO,O,O,X,O,X,X,O,X,X,O,O,X,X,X
TZJILOS,O,O,X,O,X,X,O,O,X,O,O,X,X,X
TZJISLO,O,O,X,O,X,X,O,X,X,X,O,X,X,X
TZJISOL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TZJIOLS,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZJIOSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TZJLISO,O,O,O,O,X,X,O,X,X,O,O,X,X,X
TZJLIOS,O,O,O,O,X,O,O,O,X,O,O,X,X,X
TZJLSIO,O,O,O,X,X,O,O,X,X,O,X,X,X,X
TZJLSOI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZJLOIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TZJLOSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TZJSILO,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TZJSIOL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZJSOIL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZJSOLI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZJOILS,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZJOISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TZJOLIS,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TZJOLSI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TZJOSIL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZJOSLI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZSILJO,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TZSILOJ,O,O,X,O,X,O,O,X,X,X,O,X,O,X
TZSIJLO,O,O,X,O,X,O,O,X,X,X,O,X,X,X
TZSIJOL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TZSIOLJ,O,O,O,O,X,O,O,O,X,X,O,X,O,O
TZSIOJL,O,O,X,O,X,O,O,O,X,X,O,X,X,O
TZSLIJO,O,O,X,X,X,O,O,X,X,X,O,X,X,X
TZSLIOJ,O,O,O,X,X,O,O,X,X,X,O,X,O,X
TZSLJIO,O,O,O,X,X,O,O,X,X,X,X,X,X,X
TZSLJOI,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TZSLOIJ,O,O,O,X,X,O,O,O,X,X,O,X,O,X
TZSLOJI,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TZSJILO,O,O,X,O,X,O,O,X,X,X,X,X,X,X
TZSJIOL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZSJLIO,O,O,X,X,X,O,O,X,X,X,X,X,X,X
TZSJLOI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZSJOIL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZSJOLI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZSOILJ,O,O,O,O,X,O,O,O,X,X,O,X,O,O
TZSOIJL,O,O,X,O,X,O,O,O,X,X,O,X,X,O
TZSOLIJ,O,O,O,X,X,O,O,O,X,X,O,X,O,X
TZSOLJI,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TZSOJIL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZOILJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TZOILSJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZOIJLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TZOIJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TZOISLJ,O,O,O,O,X,X,O,O,X,X,O,X,O,X
TZOISJL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TZOLIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TZOLISJ,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZOLJIS,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TZOLJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,O,O,O,O,X,X,O,X,X,X
TZOLSJI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TZOJILS,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TZOJISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TZOJLIS,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TZOJLSI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TZOJSIL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TZOSILJ,O,O,O,O,X,O,O,O,X,X,O,X,O,X
TZOSIJL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TZOSLIJ,O,O,O,X,X,O,O,O,X,X,O,X,O,X
TZOSLJI,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TZOSJIL,O,O,X,O,X,O,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,O,O,O,X,X,X,X,X,X
TOILJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TOILJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TOILSJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TOILSZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TOILZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TOILZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TOIJLSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TOIJLZS,X,O,O,O,O,O,O,O,X,X,O,X,X,X
TOIJSLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,O,O,O,X,X,O,X,X,X
TOIJZLS,O,O,X,O,O,X,O,O,X,X,O,X,X,X
TOIJZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TOISLJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TOISJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TOISZLJ,O,O,X,O,X,O,O,O,O,X,O,X,X,X
TOISZJL,O,O,X,O,X,O,O,O,X,X,O,X,X,X
TOIZLJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TOIZLSJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TOIZJLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TOIZJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TOIZSLJ,O,O,O,O,X,X,O,O,O,X,O,X,X,X
TOIZSJL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TOLIJSZ,X,O,O,X,O,O,X,X,X,X,X,X,X,X
TOLIJZS,X,O,O,O,O,O,X,O,X,X,O,X,X,X
TOLISJZ,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TOLISZJ,X,O,X,O,O,O,X,X,O,X,X,X,X,X
TOLIZJS,X,X,O,O,O,O,X,O,X,X,O,X,X,X
TOLIZSJ,X,O,O,O,O,X,O,O,O,X,O,X,X,X
TOLJISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TOLJIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TOLJSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TOLJSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TOLJZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TOLJZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TOLSIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TOLSJIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TOLSJZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TOLSZIJ,O,O,O,X,O,O,X,X,O,X,O,X,X,X
TOLSZJI,O,O,O,X,O,O,X,X,X,O,X,X,X,X
TOLZIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TOLZISJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TOLZJIS,O,O,O,O,O,O,O,O,X,O,O,X,X,X
TOLZJSI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TOLZSIJ,O,O,O,X,O,O,O,O,O,X,O,X,X,X
TOLZSJI,O,O,O,X,O,O,O,O,X,O,X,X,X,X
TOJILSZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TOJILZS,X,O,O,O,O,O,O,O,X,O,O,O,X,X
TOJISLZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TOJISZL,O,O,X,X,X,O,O,O,X,X,O,O,X,X
TOJIZLS,O,O,X,O,O,X,O,O,X,X,O,O,X,X
TOJIZSL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TOJLISZ,X,O,O,X,O,O,X,X,X,O,X,O,X,X
TOJLIZS,X,O,O,X,O,O,O,O,X,O,X,O,X,X
TOJLSIZ,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TOJLSZI,O,O,O,X,O,O,X,X,X,O,X,O,X,X
TOJLZIS,O,O,O,X,O,O,O,O,X,O,O,O,X,X
TOJLZSI,O,O,O,X,O,O,O,O,X,O,X,O,X,X
TOJSILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TOJSIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOJSLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TOJSLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TOJSZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOJSZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOJZILS,O,O,O,O,O,X,O,O,X,X,O,O,X,X
TOJZISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TOJZLIS,O,O,O,O,O,O,O,O,X,X,O,O,X,X
TOJZLSI,O,O,O,X,O,O,O,O,X,X,X,O,X,X
TOJZSIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TOJZSLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOSILJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,O,O,O,X,X,O,X,X,X,X,X
TOSIJLZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,O,X,O,X,X,O,X,X,X
TOSIZLJ,O,O,X,O,X,O,O,O,O,X,O,O,X,X
TOSIZJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TOSLIJZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,O,O,X,X,O,X,X,X,X,X
TOSLJIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TOSLJZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TOSLZIJ,O,O,O,X,O,O,X,X,O,X,O,X,X,X
TOSLZJI,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TOSJILZ,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TOSJIZL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOSJLIZ,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TOSJLZI,O,O,O,X,O,O,X,X,X,X,X,O,X,X
TOSJZIL,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOSJZLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOSZILJ,O,O,O,O,X,O,O,O,O,X,O,O,X,X
TOSZIJL,O,O,X,O,X,O,O,O,X,X,O,O,X,X
TOSZLIJ,O,O,O,X,X,O,O,O,O,X,O,O,X,X
TOSZLJI,O,O,O,X,X,O,O,O,X,X,X,O,X,X
TOSZJIL,O,O,X,O,X,O,O,O,X,X,X,O,X,X
TOSZJLI,O,O,X,X,X,O,O,O,X,X,X,O,X,X
TOZILJS,O,X,O,O,O,X,X,O,X,X,O,X,X,X
TOZILSJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TOZIJLS,O,X,O,O,O,X,O,O,X,X,O,X,X,X
TOZIJSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X
TOZISLJ,O,O,O,O,X,X,O,O,O,X,O,X,X,X
TOZISJL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TOZLIJS,O,X,O,O,O,O,X,O,X,X,O,X,X,X
TOZLISJ,O,O,O,O,O,X,O,O,O,X,O,X,X,X
TOZLJIS,O,O,O,O,O,O,O,O,X,X,O,X,X,X
TOZLJSI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TOZLSIJ,O,O,O,X,O,O,O,O,O,X,O,X,X,X
TOZLSJI,O,O,O,X,O,O,O,O,X,X,X,X,X,X
TOZJILS,O,O,O,O,O,X,O,O,X,X,O,X,X,X
TOZJISL,O,O,X,O,X,X,O,O,X,X,O,X,X,X
TOZJLIS,O,O,O,O,O,O,O,O,X,X,O,X,X,X
