sequence,v115@FhB8IeA8GeC8CeA8AeE8JeZEJvhFFgBXhB0iBqpBzm?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBOpBzp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iB6pBOp?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JemAJvhFfnB0iBxkBTkByu?BFrB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFzgBfnB0iBOpB6p?BFrB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFXhB0iBikBzmB1u?BmqB,v115@FhB8IeA8GeC8CeA8AeE8Jex/IvhFylBfnB0iBmpBFr?BTpB,v115@FhB8IeA8GeC8CeA8AeE8JeZFJvhFFhB0iBOpBfrBzm?B6pB,v115@FhB8IeA8GeC8CeA8AeE8Jei/IvhFcpBeqBzlBRnBXn?BFrB
LTZOJIS,O,O,X,X,X,O,X,X,X
LTZOJSI,O,O,X,X,X,O,X,X,X
LTZOSIJ,O,O,O,X,X,O,X,X,X
LTZOSJI,O,O,O,X,X,O,X,X,X
LTOIJSZ,O,O,O,O,O,O,X,X,X
LTOIJZS,O,O,X,X,X,O,X,X,X
LTOISJZ,O,O,O,O,O,O,X,X,X
LTOISZJ,O,O,O,O,O,O,O,X,X
LTOIZJS,O,X,X,X,X,O,X,X,X
LTOIZSJ,O,O,O,X,X,O,X,X,X
LTOJISZ,O,O,O,O,O,O,O,X,X
LTOJIZS,O,O,X,X,X,O,X,X,X
LTOJSIZ,O,O,O,O,O,O,O,X,X
LTOJSZI,O,O,O,O,O,O,O,X,X
LTOJZIS,O,O,X,X,X,O,X,X,X
LTOJZSI,O,O,X,X,X,O,X,X,X
LTOSIJZ,O,O,O,O,O,O,X,X,X
LTOSIZJ,O,O,O,O,O,O,O,X,X
LTOSJIZ,O,O,O,O,O,O,O,X,X
LTOSJZI,O,O,O,O,O,O,O,X,X
LTOSZIJ,O,O,O,O,O,O,O,X,X
LTOSZJI,O,O,O,O,O,O,O,X,X
LTOZIJS,O,X,X,X,X,O,X,X,X
LTOZISJ,O,O,O,X,X,O,X,X,X
LTOZJIS,O,O,X,X,X,O,X,X,X
LTOZJSI,O,O,X,X,X,O,X,X,X
LTOZSIJ,O,O,O,X,X,O,X,X,X
LTOZSJI,O,O,O,X,X,O,X,X,X
LITJSZO,O,X,O,O,O,X,X,X,X
LITJSOZ,O,X,O,O,O,X,X,X,X
LITJZSO,O,X,X,O,X,X,X,X,X
LITJZOS,O,X,X,X,X,X,X,X,X
LITJOSZ,O,X,O,O,O,X,X,X,X
LITJOZS,O,X,X,X,X,X,X,X,X
LITSJZO,X,X,O,O,O,X,X,X,X
LITSJOZ,X,X,O,O,O,X,X,X,X
LITSZJO,X,X,O,O,O,X,X,X,X
LITSZOJ,O,X,O,O,O,X,X,X,X
LITSOJZ,O,X,O,O,O,X,X,X,X
LITSOZJ,O,X,O,O,O,X,X,X,X
LITZJSO,O,X,X,O,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,X,X
LITZSJO,X,X,O,O,X,X,X,X,X
LITZSOJ,O,X,O,O,X,X,X,X,X
LITZOJS,O,X,X,X,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X
LITOJSZ,O,X,O,O,O,X,X,X,X
LITOJZS,O,X,X,X,X,X,X,X,X
LITOSJZ,O,X,O,O,O,X,X,X,X
LITOSZJ,O,X,O,O,O,X,X,X,X
LITOZJS,O,X,X,X,X,X,X,X,X
LITOZSJ,O,X,O,X,X,X,X,X,X
LIJTSZO,O,X,O,O,O,X,X,X,X
LIJTSOZ,O,X,O,O,O,X,X,X,X
LIJTZSO,O,X,X,O,X,X,X,X,X
LIJTZOS,O,X,X,X,X,X,X,X,X
LIJTOSZ,O,X,O,O,O,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,X,X
LIJSTZO,O,X,O,O,O,X,X,X,X
LIJSTOZ,O,X,O,X,O,X,X,X,X
LIJSZTO,O,X,O,O,O,X,X,X,X
LIJSZOT,O,X,X,O,X,X,X,X,X
LIJSOTZ,O,X,X,X,X,X,X,O,X
LIJSOZT,O,X,X,O,X,X,X,O,X
LIJZTSO,O,X,X,X,X,X,X,X,X
LIJZTOS,O,X,X,X,X,X,X,X,O
LIJZSTO,O,X,O,O,O,X,X,X,X
LIJZSOT,O,X,X,O,X,X,X,X,O
LIJZOTS,O,X,X,X,X,X,X,X,O
LIJZOST,O,X,X,X,X,X,X,O,O
LIJOTSZ,O,X,X,X,X,X,X,X,X
LIJOTZS,O,X,X,X,X,X,X,X,X
LIJOSTZ,O,X,X,X,X,X,X,O,X
LIJOSZT,O,X,X,O,X,X,X,O,X
LIJOZTS,O,X,X,X,X,X,X,X,O
LIJOZST,O,X,X,X,X,X,X,O,O
LISTJZO,X,X,O,O,O,X,X,X,X
LISTJOZ,X,X,O,O,O,X,X,X,X
LISTZJO,X,X,O,O,O,X,X,X,X
LISTZOJ,O,X,O,O,O,X,X,X,X
LISTOJZ,O,X,O,O,O,X,X,X,X
LISTOZJ,O,X,O,O,O,X,X,X,X
LISJTZO,O,X,O,O,O,X,X,X,X
LISJTOZ,O,X,O,X,O,X,X,X,X
LISJZTO,O,X,O,O,O,X,X,X,X
LISJZOT,O,X,X,O,X,X,X,X,X
LISJOTZ,O,X,X,X,X,X,X,O,X
LISJOZT,O,X,X,O,X,X,X,O,X
LISZTJO,X,X,O,O,O,X,X,X,X
LISZTOJ,O,X,O,O,O,X,X,X,X
LISZJTO,O,X,O,O,O,X,X,X,X
LISZJOT,O,X,X,O,X,X,X,X,X
LISZOTJ,O,X,O,X,X,X,X,X,X
LISZOJT,O,X,X,O,X,X,X,X,X
LISOTJZ,O,X,O,X,X,X,X,O,X
LISOTZJ,O,X,O,X,X,X,X,O,X
LISOJTZ,O,X,X,X,X,X,X,O,X
LISOJZT,O,X,X,O,X,X,X,O,X
LISOZTJ,O,X,O,X,X,X,X,O,X
LISOZJT,O,X,X,O,X,X,X,O,X
LIZTJSO,O,X,X,O,X,X,X,X,X
LIZTJOS,O,X,X,X,X,X,X,X,O
LIZTSJO,X,X,O,O,X,X,X,X,X
LIZTSOJ,O,X,O,O,X,X,X,X,X
LIZTOJS,O,X,X,X,X,X,X,X,X
LIZTOSJ,O,X,O,X,X,X,X,X,X
LIZJTSO,O,X,X,X,X,X,X,X,X
LIZJTOS,O,X,X,X,X,X,X,X,O
LIZJSTO,O,X,O,O,O,X,X,X,X
LIZJSOT,O,X,X,O,X,X,X,X,O
LIZJOTS,O,X,X,X,X,X,X,X,O
LIZJOST,O,X,X,X,X,X,X,O,O
LIZSTJO,X,X,O,O,O,X,X,X,X
LIZSTOJ,O,X,O,O,O,X,X,X,X
LIZSJTO,O,X,O,O,O,X,X,X,X
LIZSJOT,O,X,X,O,X,X,X,X,O
LIZSOTJ,O,X,O,X,X,X,X,X,X
LIZSOJT,O,X,X,O,X,X,X,X,X
LIZOTJS,O,X,X,X,X,X,X,X,X
LIZOTSJ,O,X,X,X,X,X,X,X,X
LIZOJTS,O,X,X,X,X,X,X,X,O
LIZOJST,O,X,X,X,X,X,X,O,O
LIZOSTJ,O,X,O,X,X,X,X,O,X
LIZOSJT,O,X,X,O,X,X,X,O,X
LIOTJSZ,O,X,O,O,X,X,X,X,X
LIOTJZS,O,X,X,X,X,X,X,X,X
LIOTSJZ,O,X,O,O,X,X,X,X,X
LIOTSZJ,O,X,O,O,X,X,X,X,X
LIOTZJS,O,X,X,X,X,X,X,X,X
LIOTZSJ,O,X,O,X,X,X,X,X,X
LIOJTSZ,O,X,X,X,X,X,X,X,X
LIOJTZS,O,X,X,X,X,X,X,X,X
LIOJSTZ,O,X,X,X,X,X,X,O,X
LIOJSZT,O,X,X,O,X,X,X,O,X
LIOJZTS,O,X,X,X,X,X,X,X,O
LIOJZST,O,X,X,X,X,X,X,O,O
LIOSTJZ,O,X,O,X,X,X,X,O,X
LIOSTZJ,O,X,O,X,X,X,X,O,X
LIOSJTZ,O,X,X,X,X,X,X,O,X
LIOSJZT,O,X,X,O,X,X,X,O,X
LIOSZTJ,O,X,O,X,X,X,X,O,X
LIOSZJT,O,X,X,O,X,X,X,O,X
LIOZTJS,O,X,X,X,X,X,X,X,X
LIOZTSJ,O,X,X,X,X,X,X,X,X
LIOZJTS,O,X,X,X,X,X,X,X,X
LIOZJST,O,X,X,X,X,X,X,O,X
LIOZSTJ,O,X,O,X,X,X,X,O,X
LIOZSJT,O,X,X,O,X,X,X,O,X
LJTISZO,O,O,O,O,O,O,O,X,X
LJTISOZ,O,O,O,O,O,O,O,X,X
LJTIZSO,O,O,X,O,X,O,O,X,X
LJTIZOS,O,X,X,X,X,O,X,X,X
LJTIOSZ,O,O,O,O,O,O,O,X,X
LJTIOZS,O,X,X,X,X,O,X,X,X
LJTSIZO,O,O,O,O,O,O,O,X,X
LJTSIOZ,O,O,O,O,O,O,O,X,X
LJTSZIO,O,O,O,O,O,O,O,X,X
LJTSZOI,O,O,O,O,O,O,O,X,X
LJTSOIZ,O,O,O,O,O,O,O,X,X
LJTSOZI,O,O,O,O,O,O,O,X,X
LJTZISO,O,O,X,O,X,O,O,X,X
LJTZIOS,O,X,X,X,X,O,X,X,X
LJTZSIO,O,O,X,O,X,O,O,X,X
LJTZSOI,O,O,X,O,X,O,O,X,X
LJTZOIS,O,X,X,X,X,O,X,X,X
LJTZOSI,O,X,X,X,X,O,X,X,X
LJTOISZ,O,O,O,O,O,O,O,X,X
LJTOIZS,O,X,X,X,X,O,X,X,X
LJTOSIZ,O,O,O,O,O,O,O,X,X
LJTOSZI,O,O,O,O,O,O,O,X,X
LJTOZIS,O,X,X,X,X,O,X,X,X
LJTOZSI,O,X,X,X,X,O,X,X,X
LJITSZO,O,O,O,O,O,X,X,X,X
LJITSOZ,O,O,O,O,O,X,X,X,X
LJITZSO,O,O,X,O,X,X,X,X,X
LJITZOS,O,X,X,X,X,X,X,X,X
LJITOSZ,O,O,O,O,O,X,X,X,X
LJITOZS,O,X,X,X,X,X,X,X,X
LJISTZO,O,X,O,O,O,X,X,X,X
LJISTOZ,O,X,O,X,O,X,X,X,X
LJISZTO,O,X,O,O,O,X,X,X,X
LJISZOT,O,X,X,O,X,X,X,X,X
LJISOTZ,O,X,X,X,X,X,X,O,X
LJISOZT,O,X,X,O,X,X,X,O,X
LJIZTSO,O,X,X,X,X,X,X,X,X
LJIZTOS,O,X,X,X,X,X,X,X,O
LJIZSTO,O,X,O,O,O,X,X,X,X
LJIZSOT,O,X,X,O,X,X,X,X,O
LJIZOTS,O,X,X,X,X,X,X,X,O
LJIZOST,O,X,X,X,X,X,X,O,O
LJIOTSZ,O,X,X,X,X,X,X,X,X
LJIOTZS,O,X,X,X,X,X,X,X,X
LJIOSTZ,O,X,X,X,X,X,X,O,X
LJIOSZT,O,X,X,O,X,X,X,O,X
LJIOZTS,O,X,X,X,X,X,X,X,O
LJIOZST,O,X,X,X,X,X,X,O,O
LJSTIZO,O,O,O,O,O,O,O,X,X
LJSTIOZ,O,O,O,O,O,O,O,X,X
LJSTZIO,O,O,O,O,O,O,O,X,X
LJSTZOI,O,O,O,O,O,O,O,X,X
LJSTOIZ,O,O,O,O,O,O,O,X,X
LJSTOZI,O,O,O,O,O,O,O,X,X
LJSITZO,O,X,O,O,O,X,X,X,X
LJSITOZ,O,X,O,X,O,X,X,X,X
LJSIZTO,O,X,O,O,O,O,X,X,X
LJSIZOT,O,X,X,O,X,O,X,X,X
LJSIOTZ,O,X,X,X,X,X,X,O,X
LJSIOZT,O,X,X,O,X,X,X,O,X
LJSZTIO,O,O,O,O,O,O,O,X,X
LJSZTOI,O,O,O,O,O,O,O,X,X
LJSZITO,O,X,O,O,O,O,X,X,X
LJSZIOT,O,X,X,O,X,O,X,X,X
LJSZOTI,O,X,X,X,X,X,X,X,X
LJSZOIT,O,X,X,X,X,X,X,X,X
LJSOTIZ,O,X,X,X,X,X,X,O,X
LJSOTZI,O,X,X,X,X,X,X,O,X
LJSOITZ,O,X,X,X,X,X,X,O,X
LJSOIZT,O,X,X,X,X,X,X,O,X
LJSOZTI,O,X,X,X,X,X,X,O,X
LJSOZIT,O,X,X,X,X,X,X,O,X
LJZTISO,O,X,X,X,X,O,X,X,X
LJZTIOS,O,X,X,X,X,O,X,X,O
LJZTSIO,O,X,X,X,X,O,X,X,X
LJZTSOI,O,X,X,X,X,O,X,X,X
LJZTOIS,O,X,X,X,X,O,X,X,O
LJZTOSI,O,X,X,X,X,O,X,X,X
LJZITSO,O,X,X,X,X,X,X,X,X
LJZITOS,O,X,X,X,X,X,X,X,O
LJZISTO,O,X,O,O,O,X,X,X,X
LJZISOT,O,X,X,O,X,X,X,X,O
LJZIOTS,O,X,X,X,X,X,X,X,O
LJZIOST,O,X,X,X,X,X,X,O,O
LJZSTIO,O,O,O,O,O,O,O,X,X
LJZSTOI,O,O,O,O,O,O,O,X,X
LJZSITO,O,X,O,O,O,O,X,X,X
LJZSIOT,O,X,X,O,X,O,X,X,O
LJZSOTI,O,X,X,X,X,X,X,X,X
LJZSOIT,O,X,X,X,X,X,X,X,O
LJZOTIS,O,X,X,X,X,X,X,X,O
LJZOTSI,O,X,X,X,X,X,X,X,X
LJZOITS,O,X,X,X,X,X,X,X,O
LJZOIST,O,X,X,X,X,X,X,O,O
LJZOSTI,O,X,X,X,X,X,X,O,X
LJZOSIT,O,X,X,X,X,X,X,O,O
LJOTISZ,O,X,X,X,X,O,X,X,X
LJOTIZS,O,X,X,X,X,O,X,X,X
LJOTSIZ,O,X,X,X,X,O,X,X,X
LJOTSZI,O,X,X,X,X,O,X,X,X
LJOTZIS,O,X,X,X,X,O,X,X,X
LJOTZSI,O,X,X,X,X,O,X,X,X
LJOITSZ,O,X,X,X,X,X,X,X,X
LJOITZS,O,X,X,X,X,X,X,X,X
LJOISTZ,O,X,X,X,X,X,X,O,X
LJOISZT,O,X,X,X,X,X,X,O,X
LJOIZTS,O,X,X,X,X,X,X,X,O
LJOIZST,O,X,X,X,X,X,X,O,O
LJOSTIZ,O,X,X,X,X,O,X,O,X
LJOSTZI,O,X,X,X,X,O,X,O,X
LJOSITZ,O,X,X,X,X,X,X,O,X
LJOSIZT,O,X,X,X,X,O,X,O,X
LJOSZTI,O,X,X,X,X,O,X,O,X
LJOSZIT,O,X,X,X,X,O,X,O,X
LJOZTIS,O,X,X,X,X,O,X,X,O
LJOZTSI,O,X,X,X,X,O,X,X,X
LJOZITS,O,X,X,X,X,X,X,X,O
LJOZIST,O,X,X,X,X,X,X,O,O
LJOZSTI,O,X,X,X,X,O,X,O,X
LJOZSIT,O,X,X,X,X,O,X,O,O
LSTIJZO,X,O,O,O,O,X,O,X,X
LSTIJOZ,X,O,O,O,O,X,O,X,X
LSTIZJO,X,O,O,O,O,X,O,X,X
LSTIZOJ,O,O,O,O,O,X,O,X,X
LSTIOJZ,O,O,O,O,O,X,X,X,X
LSTIOZJ,O,O,O,O,O,X,O,X,X
LSTJIZO,X,O,O,O,O,X,O,X,X
LSTJIOZ,X,O,O,O,O,X,O,X,X
LSTJZIO,X,O,O,O,O,X,O,X,X
LSTJZOI,X,O,O,O,O,X,O,X,X
LSTJOIZ,X,O,O,O,O,X,O,X,X
LSTJOZI,X,O,O,O,O,X,O,X,X
LSTZIJO,X,O,O,O,O,X,O,X,X
LSTZIOJ,O,O,O,O,O,X,O,X,X
LSTZJIO,X,O,O,O,O,X,O,X,X
LSTZJOI,X,O,O,O,O,X,O,X,X
LSTZOIJ,O,O,O,O,O,X,O,X,X
LSTZOJI,O,O,O,O,O,X,O,X,X
LSTOIJZ,O,O,O,O,O,X,X,X,X
LSTOIZJ,O,O,O,O,O,X,O,X,X
LSTOJIZ,O,O,O,O,O,X,O,X,X
LSTOJZI,O,O,O,O,O,X,O,X,X
LSTOZIJ,O,O,O,O,O,X,O,X,X
LSTOZJI,O,O,O,O,O,X,O,X,X
LSITJZO,X,X,O,O,O,X,X,X,X
LSITJOZ,X,X,O,O,O,X,X,X,X
LSITZJO,X,X,O,O,O,X,X,X,X
LSITZOJ,O,X,O,O,O,X,X,X,X
LSITOJZ,O,X,O,O,O,X,X,X,X
LSITOZJ,O,X,O,O,O,X,X,X,X
LSIJTZO,O,X,O,O,O,X,X,X,X
LSIJTOZ,O,X,O,X,O,X,X,X,X
LSIJZTO,O,X,O,O,O,X,X,X,X
LSIJZOT,O,X,X,O,X,X,X,X,X
LSIJOTZ,O,X,X,X,X,X,X,O,X
LSIJOZT,O,X,X,O,X,X,X,O,X
LSIZTJO,X,X,O,O,O,X,X,X,X
LSIZTOJ,O,X,O,O,O,X,X,X,X
LSIZJTO,O,X,O,O,O,X,X,X,X
LSIZJOT,O,X,X,O,X,X,X,X,X
LSIZOTJ,O,X,O,X,X,X,X,X,X
LSIZOJT,O,X,X,O,X,X,X,X,X
LSIOTJZ,O,X,O,X,X,X,X,O,X
LSIOTZJ,O,X,O,X,X,X,X,O,X
LSIOJTZ,O,X,X,X,X,X,X,O,X
LSIOJZT,O,X,X,O,X,X,X,O,X
LSIOZTJ,O,X,O,X,X,X,X,O,X
LSIOZJT,O,X,X,O,X,X,X,O,X
LSJTIZO,O,O,O,O,O,X,O,X,X
LSJTIOZ,O,O,O,O,O,X,O,X,X
LSJTZIO,O,O,O,O,O,X,O,X,X
LSJTZOI,O,O,O,O,O,X,O,X,X
LSJTOIZ,O,O,O,O,O,X,O,X,X
LSJTOZI,O,O,O,O,O,X,O,X,X
LSJITZO,O,X,O,O,O,X,X,X,X
LSJITOZ,O,X,O,X,O,X,X,X,X
LSJIZTO,O,X,O,O,O,X,X,X,X
LSJIZOT,O,X,X,O,X,X,X,X,X
LSJIOTZ,O,X,X,X,X,X,X,O,X
LSJIOZT,O,X,X,O,X,X,X,O,X
LSJZTIO,O,O,O,O,O,X,O,X,X
LSJZTOI,O,O,O,O,O,X,O,X,X
LSJZITO,O,X,O,O,O,X,X,X,X
LSJZIOT,O,X,X,O,X,X,X,X,X
LSJZOTI,O,X,X,X,X,X,X,X,X
LSJZOIT,O,X,X,X,X,X,X,X,X
LSJOTIZ,O,X,X,X,X,X,X,O,X
LSJOTZI,O,X,X,X,X,X,X,O,X
LSJOITZ,O,X,X,X,X,X,X,O,X
LSJOIZT,O,X,X,X,X,X,X,O,X
LSJOZTI,O,X,X,X,X,X,X,O,X
LSJOZIT,O,X,X,X,X,X,X,O,X
LSZTIJO,X,O,O,O,O,X,O,X,X
LSZTIOJ,O,O,O,O,O,X,O,X,X
LSZTJIO,X,O,O,O,O,X,O,X,X
LSZTJOI,X,O,O,O,O,X,O,X,X
LSZTOIJ,O,O,O,O,O,X,O,X,X
LSZTOJI,O,O,O,O,O,X,O,X,X
LSZITJO,X,X,O,O,O,X,X,X,X
LSZITOJ,O,X,O,O,O,X,X,X,X
LSZIJTO,O,X,O,O,O,X,X,X,X
LSZIJOT,O,X,X,O,X,X,X,X,X
LSZIOTJ,O,X,O,X,X,X,X,X,X
LSZIOJT,O,X,X,O,X,X,X,X,X
LSZJTIO,O,O,O,O,O,X,O,X,X
LSZJTOI,O,O,O,O,O,X,O,X,X
LSZJITO,O,X,O,O,O,X,X,X,X
LSZJIOT,O,X,X,O,X,X,X,X,X
LSZJOTI,O,X,X,X,X,X,X,X,X
LSZJOIT,O,X,X,X,X,X,X,X,X
LSZOTIJ,O,O,O,O,X,X,X,X,X
LSZOTJI,O,O,O,O,X,X,X,X,X
LSZOITJ,O,O,O,X,X,X,X,X,X
LSZOIJT,O,O,X,O,X,X,X,X,X
LSZOJTI,O,O,X,X,X,X,X,X,X
LSZOJIT,O,O,X,X,X,X,X,X,X
LSOTIJZ,O,O,O,O,X,X,X,O,X
LSOTIZJ,O,O,O,O,X,X,X,O,X
LSOTJIZ,O,O,O,O,X,X,X,O,X
LSOTJZI,O,O,O,O,X,X,X,O,X
LSOTZIJ,O,O,O,O,X,X,X,O,X
LSOTZJI,O,O,O,O,X,X,X,O,X
LSOITJZ,O,X,O,X,X,X,X,O,X
LSOITZJ,O,O,O,X,X,X,X,O,X
LSOIJTZ,O,O,X,X,X,X,X,O,X
LSOIJZT,O,O,X,O,X,X,X,O,X
LSOIZTJ,O,O,O,X,X,X,X,O,X
LSOIZJT,O,O,X,O,X,X,X,O,X
LSOJTIZ,O,O,X,X,X,X,X,O,X
LSOJTZI,O,O,X,X,X,X,X,O,X
LSOJITZ,O,O,X,X,X,X,X,O,X
LSOJIZT,O,O,X,X,X,X,X,O,X
LSOJZTI,O,O,X,X,X,X,X,O,X
LSOJZIT,O,O,X,X,X,X,X,O,X
LSOZTIJ,O,O,O,O,X,X,X,O,X
LSOZTJI,O,O,O,O,X,X,X,O,X
LSOZITJ,O,O,O,X,X,X,X,O,X
LSOZIJT,O,O,X,O,X,X,X,O,X
LSOZJTI,O,O,X,X,X,X,X,O,X
LSOZJIT,O,O,X,X,X,X,X,O,X
LZTIJSO,O,X,X,O,X,X,X,X,X
LZTIJOS,O,X,X,X,X,O,X,X,O
LZTISJO,X,X,O,O,X,X,X,X,X
LZTISOJ,O,X,O,O,X,O,X,X,X
LZTIOJS,O,X,X,X,X,O,X,X,X
LZTIOSJ,O,X,O,X,X,O,X,X,X
LZTJISO,O,X,X,O,X,O,X,X,X
LZTJIOS,O,X,X,X,X,O,X,X,O
LZTJSIO,O,X,X,O,X,O,X,X,X
LZTJSOI,O,X,X,O,X,O,X,X,X
LZTJOIS,O,X,X,X,X,O,X,X,O
LZTJOSI,O,X,X,X,X,O,X,X,X
LZTSIJO,X,X,O,O,X,X,X,X,X
LZTSIOJ,O,X,O,O,X,O,X,X,X
LZTSJIO,X,X,O,O,X,X,X,X,X
LZTSJOI,X,X,O,O,X,X,X,X,X
LZTSOIJ,O,X,O,O,X,O,X,X,X
LZTSOJI,O,X,O,O,X,O,X,X,X
LZTOIJS,O,X,X,X,X,O,X,X,X
LZTOISJ,O,X,O,X,X,O,X,X,X
LZTOJIS,O,X,X,X,X,O,X,X,X
LZTOJSI,O,X,X,X,X,O,X,X,X
LZTOSIJ,O,X,O,X,X,O,X,X,X
LZTOSJI,O,X,O,X,X,O,X,X,X
LZITJSO,O,X,X,O,X,X,X,X,X
LZITJOS,O,X,X,X,X,X,X,X,O
LZITSJO,X,X,O,O,X,X,X,X,X
LZITSOJ,O,X,O,O,X,X,X,X,X
LZITOJS,O,X,X,X,X,X,X,X,X
LZITOSJ,O,X,O,X,X,X,X,X,X
LZIJTSO,O,X,X,X,X,X,X,X,X
LZIJTOS,O,X,X,X,X,X,X,X,O
LZIJSTO,O,X,O,O,O,X,X,X,X
LZIJSOT,O,X,X,O,X,X,X,X,O
LZIJOTS,O,X,X,X,X,X,X,X,O
LZIJOST,O,X,X,X,X,X,X,O,O
LZISTJO,X,X,O,O,O,X,X,X,X
LZISTOJ,O,X,O,O,O,X,X,X,X
LZISJTO,O,X,O,O,O,X,X,X,X
LZISJOT,O,X,X,O,X,X,X,X,O
LZISOTJ,O,X,O,X,X,X,X,X,X
LZISOJT,O,X,X,O,X,X,X,X,X
LZIOTJS,O,X,X,X,X,X,X,X,X
LZIOTSJ,O,X,X,X,X,X,X,X,X
LZIOJTS,O,X,X,X,X,X,X,X,O
LZIOJST,O,X,X,X,X,X,X,O,O
LZIOSTJ,O,X,O,X,X,X,X,O,X
LZIOSJT,O,X,X,O,X,X,X,O,X
LZJTISO,O,X,X,X,X,O,X,X,X
LZJTIOS,O,X,X,X,X,O,X,X,O
LZJTSIO,O,X,X,X,X,O,X,X,X
LZJTSOI,O,X,X,X,X,O,X,X,X
LZJTOIS,O,X,X,X,X,O,X,X,O
LZJTOSI,O,X,X,X,X,O,X,X,X
LZJITSO,O,X,X,X,X,X,X,X,X
LZJITOS,O,X,X,X,X,X,X,X,O
LZJISTO,O,X,O,O,O,X,X,X,X
LZJISOT,O,X,X,O,X,X,X,X,O
LZJIOTS,O,X,X,X,X,X,X,X,O
LZJIOST,O,X,X,X,X,X,X,O,O
LZJSTIO,O,O,O,O,O,O,O,X,X
LZJSTOI,O,O,O,O,O,O,O,X,X
LZJSITO,O,X,O,O,O,O,X,X,X
LZJSIOT,O,X,X,O,X,O,X,X,O
LZJSOTI,O,X,X,X,X,X,X,X,X
LZJSOIT,O,X,X,X,X,X,X,X,O
LZJOTIS,O,X,X,X,X,X,X,X,O
LZJOTSI,O,X,X,X,X,X,X,X,X
LZJOITS,O,X,X,X,X,X,X,X,O
LZJOIST,O,X,X,X,X,X,X,O,O
LZJOSTI,O,X,X,X,X,X,X,O,X
LZJOSIT,O,X,X,X,X,X,X,O,O
LZSTIJO,X,O,O,O,O,X,O,X,X
LZSTIOJ,O,O,O,O,O,X,O,X,X
LZSTJIO,X,O,O,O,O,X,O,X,X
LZSTJOI,X,O,O,O,O,X,O,X,X
LZSTOIJ,O,O,O,O,O,X,O,X,X
LZSTOJI,O,O,O,O,O,X,O,X,X
LZSITJO,X,X,O,O,O,X,X,X,X
LZSITOJ,O,X,O,O,O,X,X,X,X
LZSIJTO,O,X,O,O,O,X,X,X,X
LZSIJOT,O,X,X,O,X,X,X,X,O
LZSIOTJ,O,X,O,X,X,X,X,X,X
LZSIOJT,O,X,X,O,X,X,X,X,X
LZSJTIO,O,O,O,O,O,X,O,X,X
LZSJTOI,O,O,O,O,O,X,O,X,X
LZSJITO,O,X,O,O,O,X,X,X,X
LZSJIOT,O,X,X,O,X,X,X,X,O
LZSJOTI,O,X,X,X,X,X,X,X,X
LZSJOIT,O,X,X,X,X,X,X,X,O
LZSOTIJ,O,O,O,O,X,X,X,X,X
LZSOTJI,O,O,O,O,X,X,X,X,X
LZSOITJ,O,O,O,X,X,X,X,X,X
LZSOIJT,O,O,X,O,X,X,X,X,X
LZSOJTI,O,O,X,X,X,X,X,X,X
LZSOJIT,O,O,X,X,X,X,X,X,X
LZOTIJS,O,X,X,X,X,O,X,X,X
LZOTISJ,O,X,X,X,X,O,X,X,X
LZOTJIS,O,X,X,X,X,O,X,X,X
LZOTJSI,O,X,X,X,X,O,X,X,X
LZOTSIJ,O,X,X,X,X,O,X,X,X
LZOTSJI,O,X,X,X,X,O,X,X,X
LZOITJS,O,X,X,X,X,X,X,X,X
LZOITSJ,O,X,X,X,X,X,X,X,X
LZOIJTS,O,X,X,X,X,X,X,X,O
LZOIJST,O,X,X,X,X,X,X,O,O
LZOISTJ,O,X,O,X,X,X,X,O,X
LZOISJT,O,X,X,O,X,X,X,O,X
LZOJTIS,O,X,X,X,X,O,X,X,O
LZOJTSI,O,X,X,X,X,O,X,X,X
LZOJITS,O,X,X,X,X,X,X,X,O
LZOJIST,O,O,X,X,X,X,X,O,O
LZOJSTI,O,O,X,X,X,O,X,O,X
LZOJSIT,O,O,X,X,X,O,X,O,O
LZOSTIJ,O,O,O,O,X,O,X,O,X
LZOSTJI,O,O,O,O,X,O,X,O,X
LZOSITJ,O,O,O,X,X,O,X,O,X
LZOSIJT,O,O,X,O,X,O,X,O,X
LZOSJTI,O,O,X,X,X,O,X,O,X
LZOSJIT,O,O,X,X,X,O,X,O,X
LOTIJSZ,O,O,O,O,X,O,X,X,X
LOTIJZS,O,O,X,X,X,O,X,X,X
LOTISJZ,O,O,O,O,X,O,X,X,X
LOTISZJ,O,O,O,O,X,O,X,X,X
LOTIZJS,O,X,X,X,X,O,X,X,X
LOTIZSJ,O,O,O,X,X,O,X,X,X
LOTJISZ,O,O,O,O,X,O,X,X,X
LOTJIZS,O,O,X,X,X,O,X,X,X
LOTJSIZ,O,O,O,O,X,O,X,X,X
LOTJSZI,O,O,O,O,X,O,X,X,X
LOTJZIS,O,O,X,X,X,O,X,X,X
LOTJZSI,O,O,X,X,X,O,X,X,X
