sequence,v115@DhA8HeB8HeC8FeF8JeOEJvhFxgBCjB8qBToB3pBFqB,v115@DhA8HeB8HeC8FeF8Je3/IvhFFhBCjB0lBToB2pBxuB,v115@DhA8HeB8HeC8FeF8JeFBJvhFfoB6oBTkB0lBmkBxuB,v115@DhA8HeB8HeC8FeF8JeFBJvhFCjBOpBToBRqB/qB0pB,v115@DhA8HeB8HeC8FeF8Jex/IvhFXhBziB+oB0pBlqBipB,v115@DhA8HeB8HeC8FeF8Je0/IvhFXhBKpBFoBGoBRqBTqB,v115@DhA8HeB8HeC8FeF8JeKEJvhFzfBGjB3lBUoBFmBxuB,v115@DhA8HeB8HeC8FeF8JexAJvhFfoB6oBzlBlpBOpBUqB,v115@DhA8HeB8HeC8FeF8Je0/IvhFXhBKpBGoBFoBRqBTqB,v115@DhA8HeB8HeC8FeF8JeZEJvhFzfBSoB3lBFmBUoBWvB,v115@DhA8HeB8HeC8FeF8JeT/IvhFXhBypBFoB0lBGoBxuB,v115@DhA8HeB8HeC8FeF8JeT/IvhF0gBypBFoBXmBGoBxuB,v115@DhA8HeB8HeC8FeF8JeT/IvhF0gBypBGoBXmBFoBxuB
ISZLTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZLTOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
ISZLJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZLJOT,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZLOTJ,O,O,O,X,X,X,O,O,X,X,O,X,X
ISZLOJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISZJTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJTOL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZJLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJLOT,O,X,O,X,X,X,O,X,X,X,X,X,X
ISZJOTL,O,O,O,X,O,X,X,X,X,X,X,X,X
ISZJOLT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISZOTLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ISZOTJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,O,O,O,X,X,X,O,O,X,X,X,X,X
ISZOLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISZOJTL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOTLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ISOTLZJ,X,O,O,X,X,X,X,O,X,X,O,X,X
ISOTJLZ,O,X,X,O,X,X,X,O,X,X,X,X,X
ISOTJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X
ISOTZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
ISOLTJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ISOLTZJ,X,O,O,X,X,X,O,O,X,X,O,X,X
ISOLJTZ,O,X,X,O,X,X,X,O,X,X,O,X,X
ISOLJZT,O,X,O,O,X,X,O,X,X,X,X,X,X
ISOLZTJ,O,O,O,X,X,X,O,O,X,X,O,X,X
ISOLZJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOJTLZ,O,X,X,O,O,X,X,O,X,X,X,X,X
ISOJTZL,X,X,X,O,O,X,X,X,X,X,X,X,X
ISOJLTZ,O,X,X,O,O,X,X,O,X,X,X,X,X
ISOJLZT,O,X,O,O,X,X,X,X,X,X,X,X,X
ISOJZTL,O,X,O,O,O,X,X,X,X,X,X,X,X
ISOJZLT,O,X,O,O,X,X,X,X,X,X,X,X,X
ISOZTLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
ISOZTJL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,O,O,O,X,X,X,O,O,X,X,X,X,X
ISOZLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
ISOZJTL,O,O,O,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZTLJSO,X,X,X,X,X,X,O,X,X,X,X,X,X
IZTLJOS,X,X,X,X,X,X,O,X,X,X,X,O,X
IZTLSJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZTLSOJ,X,O,O,X,X,X,O,X,X,X,O,O,X
IZTLOJS,X,O,X,X,X,X,O,X,X,X,X,O,X
IZTLOSJ,X,O,O,X,X,X,O,X,X,X,O,O,X
IZTJLSO,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTJLOS,X,X,X,X,O,X,O,X,X,X,X,X,X
IZTJSLO,X,X,O,X,O,X,O,X,X,X,X,X,X
IZTJSOL,X,O,O,X,O,X,X,X,X,X,X,X,X
IZTJOLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IZTJOSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IZTSLJO,O,X,O,X,O,X,O,X,X,X,X,X,X
IZTSLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
IZTSJLO,O,X,O,X,O,X,O,X,X,X,X,X,X
IZTSJOL,O,O,O,X,O,X,X,X,X,X,X,X,X
IZTSOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZTSOJL,O,O,O,X,O,X,X,X,X,X,X,X,X
IZTOLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTOLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZTOJSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZTOSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZLTJSO,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLTJOS,X,X,X,X,X,X,O,X,X,X,X,O,O
IZLTSJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLTSOJ,X,O,O,X,X,X,O,X,X,X,O,O,X
IZLTOJS,X,O,X,X,X,X,O,X,X,X,X,O,O
IZLTOSJ,X,O,O,X,X,X,O,X,X,X,O,O,X
IZLJTSO,X,X,X,X,X,X,O,X,X,X,X,X,X
IZLJTOS,X,X,X,X,X,X,O,X,X,X,X,O,O
IZLJSTO,O,X,X,X,X,X,O,X,X,X,X,X,X
IZLJSOT,O,X,X,X,X,X,O,X,X,O,X,X,O
IZLJOTS,X,X,X,X,X,X,O,X,X,X,X,O,O
IZLJOST,X,X,X,X,X,X,O,X,X,O,X,X,O
IZLSTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLSTOJ,X,O,O,X,X,X,O,X,X,X,O,O,X
IZLSJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZLSJOT,O,X,O,X,X,X,O,X,X,X,X,X,O
IZLSOTJ,O,O,O,X,X,X,O,X,X,X,O,O,X
IZLSOJT,O,O,O,X,X,X,O,X,X,X,X,X,O
IZLOTJS,X,O,X,X,X,X,O,X,X,X,X,O,O
IZLOTSJ,O,O,O,X,X,X,O,X,X,X,O,O,X
IZLOJTS,X,O,X,X,X,X,O,X,X,X,X,O,O
IZLOJST,O,O,X,X,X,X,O,X,X,X,X,X,O
IZLOSTJ,O,O,O,X,X,X,O,X,X,X,O,O,X
IZLOSJT,O,O,O,X,X,X,O,X,X,X,X,X,O
IZJTLSO,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJTLOS,X,X,X,X,O,X,O,X,X,X,X,X,X
IZJTSLO,X,X,O,X,O,X,O,X,X,X,X,X,X
IZJTSOL,X,O,O,X,O,X,X,X,X,X,X,X,X
IZJTOLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJTOSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,X,O,X,X,X,X,X,X
IZJLTOS,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJLSTO,O,X,X,X,X,X,O,X,X,X,X,X,X
IZJLSOT,O,X,X,X,X,X,O,X,X,O,X,X,O
IZJLOTS,X,X,X,X,X,X,O,X,X,X,X,X,O
IZJLOST,X,X,X,X,X,X,O,X,X,O,X,X,O
IZJSTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZJSTOL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJSLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZJSLOT,O,X,O,X,X,X,O,X,X,O,X,X,X
IZJSOTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZJSOLT,O,O,O,X,X,X,O,X,X,O,X,X,X
IZJOTLS,X,O,X,O,O,X,X,X,X,X,X,X,X
IZJOTSL,X,O,O,O,O,X,X,X,X,X,X,X,X
IZJOLTS,X,O,X,O,X,X,O,X,X,X,X,X,X
IZJOLST,O,O,X,O,X,X,O,X,X,O,X,X,X
IZJOSTL,O,O,O,O,X,X,X,X,X,X,X,X,X
IZJOSLT,O,O,O,O,X,X,O,X,X,O,X,X,X
IZSTLJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSTLOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
IZSTJLO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSTJOL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSTOJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSLTJO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLTOJ,X,O,O,X,X,X,O,X,X,X,O,X,X
IZSLJTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLJOT,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,O,O,O,X,X,X,O,O,X,X,O,X,X
IZSLOJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZSJTLO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJTOL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSJLTO,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJLOT,O,X,O,X,X,X,O,X,X,X,X,X,X
IZSJOTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZSOTLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZSOTJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,O,O,O,X,X,X,O,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZSOJTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOTLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOTJSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOTSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOLTSJ,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOLJTS,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOLJST,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOLSJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOJTLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IZOJTSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IZOJLTS,X,O,X,O,X,X,O,X,X,X,X,X,X
IZOJLST,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOJSTL,O,O,O,O,X,X,X,X,X,X,X,X,X
IZOJSLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IZOSTJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,X,X,O,O,X,X,X,X,X
IZOSLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IZOSJTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOTLJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X
IOTLJZS,X,O,X,O,X,X,X,X,X,X,X,O,X
IOTLSJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOTLSZJ,X,O,X,X,X,X,X,O,X,X,O,O,X
IOTLZJS,X,O,X,O,X,X,X,X,X,X,X,O,X
IOTLZSJ,O,O,X,X,X,X,X,X,X,X,O,O,X
IOTJLSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,X,X,X,O,X,X,X,O,X,X,X,X,X
IOTJSZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTJZSL,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTSLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOTSLZJ,X,O,O,X,X,X,X,O,X,X,O,X,X
IOTSJLZ,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTSJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X
IOTSZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
IOTZLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOTZJSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IOTZSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOLTJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X
IOLTJZS,X,O,X,O,X,X,X,X,X,X,X,O,O
IOLTSJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOLTSZJ,X,O,X,X,X,X,O,O,X,X,O,O,X
IOLTZJS,X,O,X,O,X,X,O,X,X,X,X,O,O
IOLTZSJ,O,O,X,X,X,X,O,X,X,X,O,O,X
IOLJTSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
IOLJTZS,X,O,X,O,X,X,X,X,X,X,X,O,O
IOLJSTZ,O,X,X,O,X,X,X,X,X,O,O,X,X
IOLJSZT,O,X,X,O,X,X,O,X,X,O,X,X,O
IOLJZTS,X,O,X,O,X,X,O,X,X,X,X,O,O
IOLJZST,O,O,X,O,X,X,O,X,X,O,X,X,O
IOLSTJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOLSTZJ,X,O,O,X,X,X,O,O,X,X,O,O,X
IOLSJTZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOLSJZT,O,X,O,O,X,X,O,X,X,X,X,X,O
IOLSZTJ,O,O,O,X,X,X,O,O,X,X,O,O,X
IOLSZJT,O,O,O,X,X,X,O,X,X,X,X,X,O
IOLZTJS,X,O,X,O,X,X,O,X,X,X,X,O,O
IOLZTSJ,O,O,O,X,X,X,O,X,X,X,O,O,X
IOLZJTS,X,O,X,O,X,X,O,X,X,X,X,O,O
IOLZJST,O,O,X,O,X,X,O,X,X,X,X,X,O
IOLZSTJ,O,O,O,X,X,X,O,X,X,X,O,O,X
IOLZSJT,O,O,O,X,X,X,O,X,X,X,X,X,O
IOJTLSZ,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJTLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,O,X,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJTZSL,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJLTSZ,X,X,X,O,X,X,X,X,X,O,X,X,X
IOJLTZS,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJLSTZ,O,X,X,O,X,X,X,X,X,O,X,X,X
IOJLSZT,O,X,X,O,X,X,X,X,X,O,X,X,O
IOJLZTS,X,O,X,O,X,X,X,X,X,X,X,X,O
IOJLZST,O,O,X,O,X,X,X,X,X,O,X,X,O
IOJSTLZ,O,X,X,O,X,X,X,O,X,O,X,X,X
IOJSTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJSLTZ,O,X,X,O,X,X,X,O,X,O,X,X,X
IOJSLZT,O,X,O,O,X,X,X,X,X,O,X,X,X
IOJSZTL,X,X,O,O,X,X,X,X,X,X,X,X,X
IOJSZLT,O,X,O,O,X,X,X,X,X,O,X,X,X
IOJZTLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZTSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IOJZLTS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOJZLST,O,O,X,O,X,X,X,X,X,O,X,X,X
IOJZSTL,O,O,O,O,X,X,X,X,X,X,X,X,X
IOJZSLT,O,O,O,O,X,X,X,X,X,O,X,X,X
IOSTLJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOSTLZJ,X,O,O,X,X,X,X,O,X,X,O,X,X
IOSTJLZ,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,O,O,X,X,X,X,O,X,X,X,X,X
IOSTZJL,X,O,O,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOSLTZJ,X,O,O,X,X,X,O,O,X,X,O,X,X
IOSLJTZ,O,X,X,O,X,X,X,O,X,X,O,X,X
IOSLJZT,O,X,O,O,X,X,O,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,X,X,O,O,X,X,O,X,X
IOSLZJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSJTLZ,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSJTZL,X,X,X,O,X,X,X,X,X,X,X,X,X
IOSJLTZ,O,X,X,O,X,X,X,O,X,X,X,X,X
IOSJLZT,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSJZTL,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSJZLT,O,X,O,O,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IOSZTJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,O,O,O,X,X,X,O,O,X,X,X,X,X
IOSZLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOSZJTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZTLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZTJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZTJSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZTSJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZLTJS,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZLTSJ,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZLJTS,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZLJST,O,O,X,O,X,X,O,X,X,X,X,X,X
IOZLSTJ,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZLSJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,O,X,O,X,X,X,X,X,X,X,X,X
IOZJTSL,X,O,O,O,X,X,X,X,X,X,X,X,X
IOZJLTS,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZJLST,O,O,X,O,X,X,O,X,X,X,X,X,X
IOZJSTL,O,O,O,O,X,X,X,X,X,X,X,X,X
IOZJSLT,O,O,O,O,X,X,O,X,X,X,X,X,X
IOZSTLJ,O,O,O,X,X,X,X,O,X,X,X,X,X
IOZSTJL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,O,O,O,X,X,X,O,O,X,X,X,X,X
IOZSLJT,O,O,O,X,X,X,O,X,X,X,X,X,X
IOZSJTL,O,O,O,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,O,X,X,X,O,X,X,X,X,X,X
LTIJSZO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTIJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X
LTIJZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTIJZOS,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIJOSZ,X,X,X,O,X,X,X,X,X,O,O,X,X
LTIJOZS,X,X,X,O,X,X,X,X,X,X,X,O,X
LTISJZO,O,X,O,X,X,O,X,X,O,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,X,O,X,X
LTISZJO,X,X,O,X,X,O,X,X,O,X,X,X,X
LTISZOJ,X,X,O,X,X,O,X,X,X,X,O,O,X
LTISOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X
LTISOZJ,X,X,O,X,X,O,X,X,X,X,O,O,X
LTIZJSO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTIZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X
LTIZSJO,O,X,O,X,X,O,X,X,O,X,X,X,X
LTIZSOJ,X,O,O,X,X,O,X,X,X,X,O,O,X
LTIZOJS,X,O,X,X,X,X,X,X,X,X,X,O,X
LTIZOSJ,X,O,O,X,X,O,X,X,X,X,O,O,X
LTIOJSZ,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIOJZS,X,O,X,O,X,X,X,X,X,X,X,O,X
LTIOSJZ,X,X,X,O,X,X,X,X,X,X,O,X,X
LTIOSZJ,X,O,X,X,X,O,X,X,X,X,O,O,X
LTIOZJS,X,O,X,O,X,X,X,X,X,X,X,O,X
LTIOZSJ,X,O,X,X,X,O,X,X,X,X,O,O,X
LTJISZO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJISOZ,X,X,X,X,X,X,X,X,X,O,X,X,X
LTJIZSO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJIZOS,X,X,X,X,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJIOZS,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJSIZO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTJSIOZ,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJSZIO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJSZOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJSOIZ,X,X,X,X,O,X,X,X,X,O,X,X,X
LTJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZISO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJZIOS,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZSIO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJZSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTJZOIS,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJZOSI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOISZ,X,X,X,O,X,X,X,X,X,O,X,X,X
LTJOIZS,X,X,X,O,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,X,X,O,O,X,X,X,X,O,X,X,X
LTJOSZI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJOZIS,X,X,X,O,O,X,X,X,X,X,X,X,X
LTJOZSI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTSIJZO,O,X,O,X,X,O,X,X,O,X,X,X,X
LTSIJOZ,O,X,X,X,O,X,X,X,X,X,O,X,X
LTSIZJO,X,X,O,X,X,O,X,X,O,X,X,X,X
LTSIZOJ,X,X,O,X,X,O,X,X,X,X,O,X,X
LTSIOJZ,X,X,X,X,X,X,X,O,X,X,O,X,X
LTSIOZJ,X,X,O,X,X,O,X,O,X,X,O,X,X
LTSJIZO,O,X,O,X,X,O,X,X,O,X,X,X,X
LTSJIOZ,O,X,X,X,O,X,X,X,X,X,X,X,X
LTSJZIO,O,X,O,X,O,O,X,X,O,X,X,X,X
LTSJZOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTSJOIZ,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSJOZI,X,X,X,X,O,X,X,O,X,X,X,X,X
LTSZIJO,O,X,O,X,O,O,X,X,X,X,X,X,X
LTSZIOJ,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSZJIO,O,X,O,X,O,O,X,X,O,X,X,X,X
LTSZJOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTSZOIJ,X,X,O,X,X,O,X,O,X,X,X,X,X
LTSZOJI,X,X,X,X,X,O,X,O,X,X,X,X,X
LTSOIJZ,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSOIZJ,X,X,O,X,X,O,X,O,X,X,X,X,X
LTSOJIZ,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSOJZI,X,X,X,X,X,X,X,O,X,X,X,X,X
LTSOZIJ,X,X,O,X,X,O,X,O,X,X,X,X,X
LTSOZJI,X,X,X,X,X,O,X,O,X,X,X,X,X
LTZIJSO,X,X,X,X,X,O,X,X,O,X,X,X,X
LTZIJOS,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZISJO,O,X,O,X,X,O,X,X,O,X,X,X,X
LTZISOJ,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZIOJS,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZIOSJ,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZJISO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTZJIOS,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJSIO,X,X,X,X,O,O,X,X,O,X,X,X,X
LTZJSOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTZJOIS,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJOSI,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZSIJO,O,X,O,X,O,O,X,X,X,X,X,X,X
LTZSIOJ,X,X,O,X,X,O,X,X,X,X,X,X,X
LTZSJIO,O,X,O,X,O,O,X,X,O,X,X,X,X
LTZSJOI,X,X,X,X,O,O,X,X,O,X,X,X,X
LTZSOIJ,X,O,O,X,X,O,X,X,X,X,X,X,X
LTZSOJI,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOISJ,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOJSI,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOSIJ,X,O,X,X,X,O,X,X,X,X,X,X,X
LTZOSJI,X,O,X,X,X,O,X,X,X,X,X,X,X
LTOIJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOIJZS,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOISJZ,X,X,X,O,X,X,X,O,X,X,X,X,X
LTOISZJ,X,O,X,X,X,O,X,O,X,X,X,X,X
LTOIZJS,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOIZSJ,X,O,X,X,X,O,X,X,X,X,X,X,X
LTOJISZ,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJIZS,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJSIZ,X,X,X,O,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,X,X,X,O,X,X,X,O,X,X,X,X,X
