sequence,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhEciBTeBRrBO?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeB0hBd?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSAJvhExcBTeBXiBd?rB0rB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeG9IvhETeBRgBanBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeC9IvhETeBRgBOnBU?hBFrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeT+IvhERgBFiBOrBC?rBXsB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBmmBf?rBlrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JeSCJvhETeBRgBlmBf?rBmrB,v115@zgC8GeA8IeD8CeF8DeG8AeE8Je38IvhETeBlmBcnBG?lBarB,v115@zgC8GeA8IeD8CeF8DeG8AeE8JecCJvhETeBRgB9mBf?rBmrB
TJSLIZO,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,O,O,O,X,X,X,X,X
TJSLZIO,X,X,O,X,X,X,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X,X,X,X
TJSLOIZ,X,X,O,O,O,X,X,X,X,X
TJSLOZI,X,X,O,X,X,X,X,X,X,X
TJSZILO,X,X,O,X,X,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X,X,X,O,X
TJSZLIO,X,X,O,X,X,X,X,X,X,X
TJSZLOI,X,X,O,X,X,X,X,X,O,X
TJSZOIL,X,X,O,X,X,X,X,X,O,X
TJSZOLI,X,X,O,X,X,X,X,X,O,X
TJSOILZ,X,X,O,X,O,O,X,X,X,X
TJSOIZL,X,X,X,X,X,O,X,X,X,X
TJSOLIZ,X,X,O,O,O,X,X,X,X,X
TJSOLZI,X,X,O,X,X,X,X,X,X,X
TJSOZIL,X,X,O,X,X,X,X,X,O,X
TJSOZLI,X,X,O,X,X,X,X,X,O,X
TJZILSO,X,X,X,X,X,X,X,X,X,X
TJZILOS,X,O,X,X,O,X,X,X,X,X
TJZISLO,X,X,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X,O,X
TJZIOLS,X,O,X,X,O,O,X,X,X,X
TJZIOSL,X,X,X,X,X,O,X,X,O,O
TJZLISO,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,O,X,O,O,X,X,X,X,X
TJZLSIO,X,O,X,X,X,X,X,X,X,X
TJZLSOI,X,O,X,X,X,X,X,X,O,X
TJZLOIS,X,O,X,O,O,X,X,X,X,X
TJZLOSI,X,O,X,X,X,X,X,X,O,X
TJZSILO,X,O,X,X,X,X,X,X,X,X
TJZSIOL,X,O,X,X,X,X,X,X,O,X
TJZSLIO,X,O,X,X,X,X,X,X,X,X
