sequence,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXYBTZBUcB1?iBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBceBGdBi?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBTZBFdB0?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBSeBUdBm?dBThBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFXXBGZBzdBi?hB8hBFrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFlXBGZBzdBX?mB8mBarB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFTZBFcB0dBX?dBSrBOrB,v115@zgC8GeD8EeE8BeG8CeH8AeE8Jex1IvhFzXBCZBXeBO?rBlrB8qB
LIOJSTZ,X,X,O,X,X,X,X,X
LIOJSZT,X,X,O,X,O,O,X,X
LIOJZTS,X,X,O,X,O,X,O,X
LIOJZST,X,X,O,X,O,X,X,X
LIOSTJZ,O,X,O,X,X,X,X,X
LIOSTZJ,O,X,O,X,X,X,O,X
LIOSJTZ,X,X,O,X,X,X,X,X
LIOSJZT,X,X,O,X,O,O,X,X
LIOSZTJ,X,X,O,X,O,O,O,X
LIOSZJT,X,X,X,O,O,O,X,X
LIOZTJS,O,X,X,X,O,X,O,X
LIOZTSJ,O,X,O,X,O,X,O,X
LIOZJTS,X,X,O,X,O,X,O,X
LIOZJST,X,X,O,X,O,X,X,X
LIOZSTJ,X,X,O,X,O,X,O,X
LIOZSJT,X,X,X,O,O,X,X,X
LJTISZO,O,X,O,O,X,X,X,X
LJTISOZ,O,X,O,X,X,X,X,X
LJTIZSO,O,X,O,O,X,X,X,X
LJTIZOS,O,X,O,X,X,X,O,X
LJTIOSZ,O,X,O,O,O,X,X,X
LJTIOZS,O,X,O,O,O,X,O,X
LJTSIZO,O,X,O,O,X,X,X,O
LJTSIOZ,O,X,O,X,X,X,X,O
LJTSZIO,O,X,O,O,X,X,X,O
LJTSZOI,O,X,O,O,X,X,X,O
LJTSOIZ,O,X,O,X,X,X,X,O
LJTSOZI,O,X,O,X,X,X,X,O
LJTZISO,O,X,O,O,X,X,X,X
LJTZIOS,O,X,O,X,X,X,O,X
LJTZSIO,O,X,O,O,X,X,X,X
LJTZSOI,O,X,O,O,X,X,X,X
LJTZOIS,O,X,O,X,X,X,O,X
LJTZOSI,O,X,O,X,X,X,O,X
LJTOISZ,O,X,O,O,O,X,X,X
LJTOIZS,O,X,O,O,O,X,O,X
LJTOSIZ,O,X,O,O,O,X,X,O
LJTOSZI,O,X,O,O,O,X,X,O
LJTOZIS,O,X,O,O,O,X,O,X
LJTOZSI,O,X,O,O,O,X,O,X
LJITSZO,O,X,O,O,X,X,X,X
LJITSOZ,O,X,O,X,X,X,X,X
LJITZSO,O,X,O,O,X,X,X,X
LJITZOS,O,X,O,X,X,X,O,X
LJITOSZ,O,X,O,O,O,X,X,X
LJITOZS,O,X,O,O,O,X,O,X
LJISTZO,X,X,O,X,X,X,X,X
LJISTOZ,X,X,O,X,X,X,X,X
LJISZTO,X,O,O,O,X,O,X,X
LJISZOT,X,O,O,O,X,X,X,X
LJISOTZ,X,X,O,X,X,X,X,X
LJISOZT,X,X,O,X,X,O,X,X
LJIZTSO,O,X,O,X,X,X,X,X
LJIZTOS,O,X,O,X,X,X,O,X
LJIZSTO,X,O,O,O,X,X,X,X
LJIZSOT,X,O,O,O,X,X,X,X
LJIZOTS,X,X,O,X,X,X,O,X
LJIZOST,X,X,O,X,X,X,X,X
LJIOTSZ,O,X,O,X,O,X,X,X
LJIOTZS,O,X,O,X,O,X,O,X
LJIOSTZ,X,X,O,X,X,X,X,X
LJIOSZT,X,X,O,X,O,O,X,X
LJIOZTS,X,X,O,X,O,X,O,X
LJIOZST,X,X,O,X,O,X,X,X
LJSTIZO,X,X,O,X,X,X,X,O
LJSTIOZ,X,X,O,X,X,X,X,O
LJSTZIO,X,X,O,X,X,X,X,O
LJSTZOI,X,X,O,X,X,X,X,O
LJSTOIZ,X,X,O,X,X,X,X,O
LJSTOZI,X,X,O,X,X,X,X,O
LJSITZO,X,X,O,X,X,X,X,O
LJSITOZ,X,X,O,X,X,X,X,O
LJSIZTO,X,O,O,O,X,O,X,X
LJSIZOT,X,O,O,O,X,X,X,X
LJSIOTZ,X,X,O,X,X,X,X,X
LJSIOZT,X,X,O,X,X,O,X,X
LJSZTIO,X,O,O,O,X,O,X,O
LJSZTOI,X,X,O,X,X,O,X,O
LJSZITO,X,O,O,O,X,O,X,X
LJSZIOT,X,O,O,O,X,O,X,X
LJSZOTI,X,X,O,X,X,O,X,X
LJSZOIT,X,O,O,O,X,O,X,X
LJSOTIZ,X,X,O,X,X,X,X,O
LJSOTZI,X,X,O,X,X,X,X,O
LJSOITZ,X,X,O,X,X,X,X,X
LJSOIZT,X,X,O,X,X,O,X,X
LJSOZTI,X,X,O,X,X,O,X,X
LJSOZIT,X,X,O,X,X,O,X,X
LJZTISO,O,X,O,X,X,X,X,X
LJZTIOS,O,X,O,X,X,X,O,X
LJZTSIO,O,X,O,X,X,X,X,X
LJZTSOI,O,X,O,X,X,X,X,X
LJZTOIS,O,X,O,X,X,X,O,X
LJZTOSI,O,X,O,X,X,X,O,X
LJZITSO,O,X,O,X,X,X,X,X
LJZITOS,O,X,O,X,X,X,O,X
LJZISTO,X,O,O,O,X,X,X,X
LJZISOT,X,O,O,O,X,X,X,X
LJZIOTS,X,X,O,X,X,X,O,X
LJZIOST,X,X,O,X,X,X,X,X
LJZSTIO,X,O,O,O,X,X,X,X
LJZSTOI,X,X,O,X,X,X,X,X
LJZSITO,X,O,O,O,X,X,X,X
LJZSIOT,X,O,O,O,X,X,X,X
LJZSOTI,X,X,O,X,X,X,X,X
LJZSOIT,X,O,O,O,X,X,X,X
LJZOTIS,X,X,O,X,X,X,O,X
LJZOTSI,X,X,O,X,X,X,O,X
LJZOITS,X,X,O,X,X,X,O,X
LJZOIST,X,X,O,X,X,X,X,X
LJZOSTI,X,X,O,X,X,X,X,X
LJZOSIT,X,X,O,X,X,X,X,X
LJOTISZ,O,X,O,X,O,X,X,X
LJOTIZS,O,X,O,X,O,X,O,X
LJOTSIZ,O,X,O,X,O,X,X,X
LJOTSZI,O,X,O,X,O,X,X,X
LJOTZIS,O,X,O,X,O,X,O,X
LJOTZSI,O,X,O,X,O,X,O,X
LJOITSZ,O,X,O,X,O,X,X,X
LJOITZS,O,X,O,X,O,X,O,X
LJOISTZ,X,X,O,X,X,X,X,X
LJOISZT,X,X,O,X,O,O,X,X
LJOIZTS,X,X,O,X,O,X,O,X
LJOIZST,X,X,O,X,O,X,X,X
LJOSTIZ,X,X,O,X,X,X,X,X
LJOSTZI,X,X,O,X,X,X,X,X
LJOSITZ,X,X,O,X,X,X,X,X
LJOSIZT,X,X,O,X,O,O,X,X
LJOSZTI,X,X,O,X,O,O,X,X
LJOSZIT,X,X,O,X,O,O,X,X
LJOZTIS,X,X,O,X,O,X,O,X
LJOZTSI,X,X,O,X,O,X,O,X
LJOZITS,X,X,O,X,O,X,O,X
LJOZIST,X,X,O,X,O,X,X,X
LJOZSTI,X,X,O,X,O,X,X,X
LJOZSIT,X,X,O,X,O,X,X,X
LSTIJZO,O,O,X,O,X,X,X,X
LSTIJOZ,O,X,O,X,X,X,X,X
LSTIZJO,O,O,X,O,X,X,X,X
LSTIZOJ,O,X,O,O,X,X,O,X
LSTIOJZ,O,X,O,O,X,X,X,X
LSTIOZJ,O,X,O,O,X,X,O,X
LSTJIZO,O,O,X,O,X,X,X,O
LSTJIOZ,O,X,O,X,X,X,X,O
LSTJZIO,O,O,X,O,X,X,X,O
LSTJZOI,O,O,X,O,X,X,X,O
LSTJOIZ,O,X,O,X,X,X,X,O
LSTJOZI,O,X,O,X,X,X,X,O
LSTZIJO,O,O,X,O,X,X,X,X
LSTZIOJ,O,X,O,O,X,X,O,X
LSTZJIO,O,O,X,O,X,X,X,X
LSTZJOI,O,O,X,O,X,X,X,X
LSTZOIJ,O,X,O,O,X,X,O,X
LSTZOJI,O,X,O,O,X,X,O,X
LSTOIJZ,O,X,O,O,X,X,X,X
LSTOIZJ,O,X,O,O,X,X,O,X
LSTOJIZ,O,X,O,O,X,X,X,X
LSTOJZI,O,X,O,O,X,X,X,X
LSTOZIJ,O,X,O,O,X,X,O,X
LSTOZJI,O,X,O,O,X,X,O,X
LSITJZO,O,O,X,O,X,X,X,X
LSITJOZ,O,X,O,X,X,X,X,X
LSITZJO,O,O,X,O,X,X,X,X
LSITZOJ,O,X,O,O,X,X,O,X
LSITOJZ,O,X,O,O,X,X,X,X
LSITOZJ,O,X,O,O,X,X,O,X
LSIJTZO,X,X,O,X,X,X,X,O
LSIJTOZ,X,X,O,X,X,X,X,O
LSIJZTO,X,O,O,O,X,O,X,X
LSIJZOT,X,O,O,O,X,X,X,X
LSIJOTZ,X,X,O,X,X,X,X,X
LSIJOZT,X,X,O,X,X,O,X,X
LSIZTJO,O,O,X,O,X,O,X,X
LSIZTOJ,O,X,O,X,X,O,O,X
LSIZJTO,X,O,X,O,X,O,X,X
LSIZJOT,X,O,X,O,X,X,X,X
LSIZOTJ,X,X,O,X,X,O,O,X
LSIZOJT,X,X,X,O,X,O,X,X
LSIOTJZ,O,X,O,X,X,X,X,X
LSIOTZJ,O,X,O,X,X,X,O,X
LSIOJTZ,X,X,O,X,X,X,X,X
LSIOJZT,X,X,O,X,O,O,X,X
LSIOZTJ,X,X,O,X,O,O,O,X
LSIOZJT,X,X,X,O,O,O,X,X
LSJTIZO,X,X,O,X,X,X,X,O
LSJTIOZ,X,X,O,X,X,X,X,O
LSJTZIO,X,X,O,X,X,X,X,O
LSJTZOI,X,X,O,X,X,X,X,O
LSJTOIZ,X,X,O,X,X,X,X,O
LSJTOZI,X,X,O,X,X,X,X,O
LSJITZO,X,X,O,X,X,X,X,O
LSJITOZ,X,X,O,X,X,X,X,O
LSJIZTO,X,O,O,O,X,O,X,X
LSJIZOT,X,O,O,O,X,X,X,X
LSJIOTZ,X,X,O,X,X,X,X,X
LSJIOZT,X,X,O,X,X,O,X,X
LSJZTIO,X,O,O,O,X,O,X,O
LSJZTOI,X,X,O,X,X,O,X,O
LSJZITO,X,O,O,O,X,O,X,X
LSJZIOT,X,O,O,O,X,O,X,X
LSJZOTI,X,X,O,X,X,O,X,X
LSJZOIT,X,O,O,O,X,O,X,X
LSJOTIZ,X,X,O,X,X,X,X,O
LSJOTZI,X,X,O,X,X,X,X,O
LSJOITZ,X,X,O,X,X,X,X,X
LSJOIZT,X,X,O,X,X,O,X,X
LSJOZTI,X,X,O,X,X,O,X,X
LSJOZIT,X,X,O,X,X,O,X,X
LSZTIJO,O,O,X,O,X,O,X,X
LSZTIOJ,O,X,O,X,X,O,O,X
LSZTJIO,O,O,X,O,X,O,X,X
LSZTJOI,O,O,X,X,X,O,X,X
LSZTOIJ,O,X,O,X,X,O,O,X
LSZTOJI,O,X,O,X,X,O,O,X
LSZITJO,O,O,X,O,X,O,X,X
LSZITOJ,O,X,O,X,X,O,O,X
LSZIJTO,X,O,X,O,X,O,X,X
LSZIJOT,X,O,X,O,X,O,X,X
LSZIOTJ,X,X,O,X,X,O,O,X
LSZIOJT,X,X,X,O,X,O,X,X
LSZJTIO,X,O,X,O,X,O,X,O
LSZJTOI,X,X,X,X,X,O,X,O
LSZJITO,X,O,X,O,X,O,X,X
LSZJIOT,X,O,X,O,X,O,X,X
LSZJOTI,X,X,X,X,X,O,X,X
LSZJOIT,X,O,X,O,X,O,X,X
LSZOTIJ,X,X,O,X,X,O,O,X
LSZOTJI,X,X,O,X,X,O,O,X
LSZOITJ,X,X,O,X,X,O,O,X
LSZOIJT,X,X,X,O,X,O,X,X
LSZOJTI,X,X,X,X,X,O,X,X
LSZOJIT,X,X,X,O,X,O,X,X
LSOTIJZ,O,X,O,X,X,X,X,X
LSOTIZJ,O,X,O,X,X,X,O,X
LSOTJIZ,O,X,O,X,X,X,X,X
LSOTJZI,O,X,O,X,X,X,X,X
LSOTZIJ,O,X,O,X,X,X,O,X
LSOTZJI,O,X,O,X,X,X,O,X
LSOITJZ,O,X,O,X,X,X,X,X
LSOITZJ,O,X,O,X,X,X,O,X
LSOIJTZ,X,X,O,X,X,X,X,X
LSOIJZT,X,X,O,X,O,O,X,X
LSOIZTJ,X,X,O,X,O,O,O,X
LSOIZJT,X,X,X,O,O,O,X,X
LSOJTIZ,X,X,O,X,X,X,X,O
LSOJTZI,X,X,O,X,X,X,X,O
LSOJITZ,X,X,O,X,X,X,X,X
LSOJIZT,X,X,O,X,O,O,X,X
LSOJZTI,X,X,O,X,O,O,X,X
LSOJZIT,X,X,O,X,O,O,X,X
LSOZTIJ,X,X,O,X,O,O,O,X
LSOZTJI,X,X,O,X,O,O,O,X
LSOZITJ,X,X,O,X,O,O,O,X
LSOZIJT,X,X,X,O,O,O,X,X
LSOZJTI,X,X,X,X,O,O,X,X
LSOZJIT,X,X,X,O,O,O,X,X
LZTIJSO,O,O,X,O,X,X,X,X
LZTIJOS,O,X,X,X,X,X,O,X
LZTISJO,O,O,X,O,X,X,X,X
LZTISOJ,O,X,O,O,X,X,O,X
LZTIOJS,O,O,X,O,X,X,O,X
LZTIOSJ,O,O,O,O,X,X,O,X
LZTJISO,O,O,X,O,X,X,X,X
LZTJIOS,O,X,X,X,X,X,O,X
LZTJSIO,O,O,X,O,X,X,X,X
LZTJSOI,O,O,X,O,X,X,X,X
LZTJOIS,O,X,X,X,X,X,O,X
LZTJOSI,O,X,X,X,X,X,O,X
LZTSIJO,O,O,X,O,X,X,X,X
LZTSIOJ,O,X,O,O,X,X,O,X
LZTSJIO,O,O,X,O,X,X,X,X
LZTSJOI,O,O,X,O,X,X,X,X
LZTSOIJ,O,X,O,O,X,X,O,X
LZTSOJI,O,X,O,O,X,X,O,X
LZTOIJS,O,O,X,O,X,X,O,X
LZTOISJ,O,O,O,O,X,X,O,X
LZTOJIS,O,O,X,O,X,X,O,X
LZTOJSI,O,O,X,O,X,X,O,X
LZTOSIJ,O,O,O,O,X,X,O,X
LZTOSJI,O,O,O,O,X,X,O,X
LZITJSO,O,O,X,O,X,X,X,X
LZITJOS,O,X,X,X,X,X,O,X
LZITSJO,O,O,X,O,X,X,X,X
LZITSOJ,O,X,O,O,X,X,O,X
LZITOJS,O,O,X,O,X,X,O,X
LZITOSJ,O,O,O,O,X,X,O,X
LZIJTSO,O,X,O,X,X,X,X,X
LZIJTOS,O,X,O,X,X,X,O,X
LZIJSTO,X,O,O,O,X,X,X,X
LZIJSOT,X,O,O,O,X,X,X,X
LZIJOTS,X,X,O,X,X,X,O,X
LZIJOST,X,X,O,X,X,X,X,X
LZISTJO,O,O,X,O,X,X,X,X
LZISTOJ,O,X,O,X,X,X,O,X
LZISJTO,X,O,X,O,X,X,X,X
LZISJOT,X,O,X,O,X,X,X,X
LZISOTJ,X,X,O,X,X,X,O,X
LZISOJT,X,X,X,O,X,X,X,X
LZIOTJS,O,X,X,X,O,X,O,X
LZIOTSJ,O,X,O,X,O,X,O,X
LZIOJTS,X,X,O,X,O,X,O,X
LZIOJST,X,X,O,X,O,X,X,X
LZIOSTJ,X,X,O,X,O,X,O,X
LZIOSJT,X,X,X,O,O,X,X,X
LZJTISO,O,X,O,X,X,X,X,X
LZJTIOS,O,X,O,X,X,X,O,X
LZJTSIO,O,X,O,X,X,X,X,X
LZJTSOI,O,X,O,X,X,X,X,X
LZJTOIS,O,X,O,X,X,X,O,X
LZJTOSI,O,X,O,X,X,X,O,X
LZJITSO,O,X,O,X,X,X,X,X
LZJITOS,O,X,O,X,X,X,O,X
LZJISTO,X,O,O,O,X,X,X,X
LZJISOT,X,O,O,O,X,X,X,X
LZJIOTS,X,X,O,X,X,X,O,X
LZJIOST,X,X,O,X,X,X,X,X
LZJSTIO,X,O,O,O,X,X,X,X
LZJSTOI,X,X,O,X,X,X,X,X
LZJSITO,X,O,O,O,X,X,X,X
LZJSIOT,X,O,O,O,X,X,X,X
LZJSOTI,X,X,O,X,X,X,X,X
LZJSOIT,X,O,O,O,X,X,X,X
LZJOTIS,X,X,O,X,X,X,O,X
LZJOTSI,X,X,O,X,X,X,O,X
LZJOITS,X,X,O,X,X,X,O,X
LZJOIST,X,X,O,X,X,X,X,X
LZJOSTI,X,X,O,X,X,X,X,X
LZJOSIT,X,X,O,X,X,X,X,X
LZSTIJO,O,O,X,O,X,X,X,X
LZSTIOJ,O,X,O,X,X,X,O,X
LZSTJIO,O,O,X,O,X,X,X,X
LZSTJOI,O,O,X,X,X,X,X,X
LZSTOIJ,O,X,O,X,X,X,O,X
LZSTOJI,O,X,O,X,X,X,O,X
LZSITJO,O,O,X,O,X,X,X,X
LZSITOJ,O,X,O,X,X,X,O,X
LZSIJTO,X,O,X,O,X,X,X,X
LZSIJOT,X,O,X,O,X,X,X,X
LZSIOTJ,X,X,O,X,X,X,O,X
LZSIOJT,X,X,X,O,X,X,X,X
LZSJTIO,X,O,X,O,X,X,X,X
LZSJTOI,X,X,X,X,X,X,X,X
LZSJITO,X,O,X,O,X,X,X,X
LZSJIOT,X,O,X,O,X,X,X,X
LZSJOTI,X,X,X,X,X,X,X,X
LZSJOIT,X,O,X,O,X,X,X,X
LZSOTIJ,X,X,O,X,X,X,O,X
LZSOTJI,X,X,O,X,X,X,O,X
LZSOITJ,X,X,O,X,X,X,O,X
LZSOIJT,X,X,X,O,X,X,X,X
LZSOJTI,X,X,X,X,X,X,X,X
LZSOJIT,X,X,X,O,X,X,X,X
LZOTIJS,O,X,X,X,O,X,O,X
LZOTISJ,O,X,O,X,O,X,O,X
LZOTJIS,O,X,X,X,O,X,O,X
LZOTJSI,O,X,X,X,O,X,O,X
LZOTSIJ,O,X,O,X,O,X,O,X
LZOTSJI,O,X,O,X,O,X,O,X
LZOITJS,O,X,X,X,O,X,O,X
LZOITSJ,O,X,O,X,O,X,O,X
LZOIJTS,X,X,O,X,O,X,O,X
LZOIJST,X,X,O,X,O,X,X,X
LZOISTJ,X,X,O,X,O,X,O,X
LZOISJT,X,X,X,O,O,X,X,X
LZOJTIS,X,X,O,X,O,X,O,X
LZOJTSI,X,X,O,X,O,X,O,X
LZOJITS,X,X,O,X,O,X,O,X
LZOJIST,X,X,O,X,O,X,X,X
LZOJSTI,X,X,O,X,O,X,X,X
LZOJSIT,X,X,O,X,O,X,X,X
LZOSTIJ,X,X,O,X,O,X,O,X
LZOSTJI,X,X,O,X,O,X,O,X
LZOSITJ,X,X,O,X,O,X,O,X
LZOSIJT,X,X,X,O,O,X,X,X
LZOSJTI,X,X,X,X,O,X,X,X
LZOSJIT,X,X,X,O,O,X,X,X
LOTIJSZ,O,X,O,O,O,X,X,X
LOTIJZS,O,X,O,O,O,X,O,X
LOTISJZ,O,X,O,O,O,X,X,X
LOTISZJ,O,X,O,O,O,X,O,X
LOTIZJS,O,X,X,O,O,X,O,X
LOTIZSJ,O,X,O,O,O,X,O,X
LOTJISZ,O,X,O,O,O,X,X,X
LOTJIZS,O,X,O,O,O,X,O,X
LOTJSIZ,O,X,O,O,O,X,X,X
LOTJSZI,O,X,O,O,O,X,X,X
LOTJZIS,O,X,O,O,O,X,O,X
LOTJZSI,O,X,O,O,O,X,O,X
LOTSIJZ,O,X,O,O,O,X,X,X
LOTSIZJ,O,X,O,O,O,X,O,X
LOTSJIZ,O,X,O,O,O,X,X,X
LOTSJZI,O,X,O,O,O,X,X,X
LOTSZIJ,O,X,O,O,O,X,O,X
LOTSZJI,O,X,O,O,O,X,O,X
LOTZIJS,O,X,X,O,O,X,O,X
LOTZISJ,O,X,O,O,O,X,O,X
LOTZJIS,O,X,X,O,O,X,O,X
LOTZJSI,O,X,X,O,O,X,O,X
LOTZSIJ,O,X,O,O,O,X,O,X
LOTZSJI,O,X,O,O,O,X,O,X
LOITJSZ,O,X,O,O,O,X,X,X
LOITJZS,O,X,O,O,O,X,O,X
LOITSJZ,O,X,O,O,O,X,X,X
LOITSZJ,O,X,O,O,O,X,O,X
LOITZJS,O,X,X,O,O,X,O,X
LOITZSJ,O,X,O,O,O,X,O,X
LOIJTSZ,O,X,O,X,O,X,X,X
LOIJTZS,O,X,O,X,O,X,O,X
LOIJSTZ,X,X,O,X,X,X,X,X
LOIJSZT,X,X,O,X,O,O,X,X
LOIJZTS,X,X,O,X,O,X,O,X
LOIJZST,X,X,O,X,O,X,X,X
LOISTJZ,O,X,O,X,X,X,X,X
LOISTZJ,O,X,O,X,X,X,O,X
LOISJTZ,X,X,O,X,X,X,X,X
LOISJZT,X,X,O,X,O,O,X,X
LOISZTJ,X,X,O,X,O,O,O,X
LOISZJT,X,X,X,O,O,O,X,X
LOIZTJS,O,X,X,X,O,X,O,X
LOIZTSJ,O,X,O,X,O,X,O,X
LOIZJTS,X,X,O,X,O,X,O,X
LOIZJST,X,X,O,X,O,X,X,X
LOIZSTJ,X,X,O,X,O,X,O,X
LOIZSJT,X,X,X,O,O,X,X,X
LOJTISZ,O,X,O,X,O,X,X,X
LOJTIZS,O,X,O,X,O,X,O,X
LOJTSIZ,O,X,O,X,O,X,X,X
LOJTSZI,O,X,O,X,O,X,X,X
LOJTZIS,O,X,O,X,O,X,O,X
LOJTZSI,O,X,O,X,O,X,O,X
LOJITSZ,O,X,O,X,O,X,X,X
LOJITZS,O,X,O,X,O,X,O,X
LOJISTZ,X,X,O,X,X,X,X,X
LOJISZT,X,X,O,X,O,O,X,X
LOJIZTS,X,X,O,X,O,X,O,X
LOJIZST,X,X,O,X,O,X,X,X
LOJSTIZ,X,X,O,X,X,X,X,X
LOJSTZI,X,X,O,X,X,X,X,X
LOJSITZ,X,X,O,X,X,X,X,X
LOJSIZT,X,X,O,X,O,O,X,X
LOJSZTI,X,X,O,X,O,O,X,X
LOJSZIT,X,X,O,X,O,O,X,X
LOJZTIS,X,X,O,X,O,X,O,X
LOJZTSI,X,X,O,X,O,X,O,X
LOJZITS,X,X,O,X,O,X,O,X
LOJZIST,X,X,O,X,O,X,X,X
LOJZSTI,X,X,O,X,O,X,X,X
LOJZSIT,X,X,O,X,O,X,X,X
LOSTIJZ,O,X,O,X,X,X,X,X
LOSTIZJ,O,X,O,X,X,X,O,X
LOSTJIZ,O,X,O,X,X,X,X,X
LOSTJZI,O,X,O,X,X,X,X,X
LOSTZIJ,O,X,O,X,X,X,O,X
LOSTZJI,O,X,O,X,X,X,O,X
LOSITJZ,O,X,O,X,X,X,X,X
LOSITZJ,O,X,O,X,X,X,O,X
LOSIJTZ,X,X,O,X,X,X,X,X
LOSIJZT,X,X,O,X,O,O,X,X
LOSIZTJ,X,X,O,X,O,O,O,X
LOSIZJT,X,X,X,O,O,O,X,X
LOSJTIZ,X,X,O,X,X,X,X,X
LOSJTZI,X,X,O,X,X,X,X,X
LOSJITZ,X,X,O,X,X,X,X,X
LOSJIZT,X,X,O,X,O,O,X,X
LOSJZTI,X,X,O,X,O,O,X,X
LOSJZIT,X,X,O,X,O,O,X,X
LOSZTIJ,X,X,O,X,O,O,O,X
LOSZTJI,X,X,O,X,O,O,O,X
LOSZITJ,X,X,O,X,O,O,O,X
LOSZIJT,X,X,X,O,O,O,X,X
LOSZJTI,X,X,X,X,O,O,X,X
LOSZJIT,X,X,X,O,O,O,X,X
LOZTIJS,O,X,X,X,O,X,O,X
LOZTISJ,O,X,O,X,O,X,O,X
LOZTJIS,O,X,X,X,O,X,O,X
LOZTJSI,O,X,X,X,O,X,O,X
LOZTSIJ,O,X,O,X,O,X,O,X
LOZTSJI,O,X,O,X,O,X,O,X
LOZITJS,O,X,X,X,O,X,O,X
LOZITSJ,O,X,O,X,O,X,O,X
LOZIJTS,X,X,O,X,O,X,O,X
LOZIJST,X,X,O,X,O,X,X,X
LOZISTJ,X,X,O,X,O,X,O,X
LOZISJT,X,X,X,O,O,X,X,X
LOZJTIS,X,X,O,X,O,X,O,X
LOZJTSI,X,X,O,X,O,X,O,X
LOZJITS,X,X,O,X,O,X,O,X
LOZJIST,X,X,O,X,O,X,X,X
LOZJSTI,X,X,O,X,O,X,X,X
LOZJSIT,X,X,O,X,O,X,X,X
LOZSTIJ,X,X,O,X,O,X,O,X
LOZSTJI,X,X,O,X,O,X,O,X
LOZSITJ,X,X,O,X,O,X,O,X
LOZSIJT,X,X,X,O,O,X,X,X
LOZSJTI,X,X,X,X,O,X,X,X
LOZSJIT,X,X,X,O,O,X,X,X
JTILSZO,O,O,X,O,X,X,X,X
JTILSOZ,O,X,X,X,X,X,X,X
JTILZSO,O,O,X,O,X,X,X,X
JTILZOS,O,X,X,X,X,X,X,X
JTILOSZ,O,X,X,O,O,X,X,X
JTILOZS,O,X,X,O,O,X,X,X
JTISLZO,X,O,X,O,X,X,X,O
JTISLOZ,X,X,X,X,X,X,X,O
JTISZLO,X,O,X,O,X,O,X,O
JTISZOL,O,O,X,X,X,O,X,O
JTISOLZ,X,X,X,X,O,X,X,O
JTISOZL,O,O,O,X,X,O,X,O
JTIZLSO,X,O,X,O,X,X,X,X
JTIZLOS,X,X,X,X,X,X,X,X
JTIZSLO,X,O,X,O,X,X,X,X
JTIZSOL,O,O,X,X,X,X,X,X
JTIZOLS,X,O,X,X,O,X,X,X
JTIZOSL,O,O,X,X,X,X,O,X
JTIOLSZ,O,O,X,O,O,X,X,X
JTIOLZS,O,O,X,O,O,X,X,X
JTIOSLZ,X,O,X,O,O,X,X,O
JTIOSZL,O,O,O,O,X,O,X,O
JTIOZLS,X,O,X,O,O,X,X,X
JTIOZSL,O,O,X,O,X,X,O,X
JTLISZO,O,O,X,O,X,X,X,X
JTLISOZ,O,X,O,X,X,X,X,X
JTLIZSO,O,O,X,O,X,X,X,X
JTLIZOS,O,X,X,X,X,X,X,X
JTLIOSZ,O,X,O,O,O,X,X,X
JTLIOZS,O,X,X,O,O,X,X,X
JTLSIZO,O,O,X,O,X,X,X,O
JTLSIOZ,O,X,O,X,X,X,X,O
JTLSZIO,O,O,X,O,X,X,X,O
JTLSZOI,O,O,X,O,X,X,X,O
JTLSOIZ,O,X,O,X,X,X,X,O
JTLSOZI,O,X,O,X,X,X,X,O
JTLZISO,O,O,X,O,X,X,X,X
JTLZIOS,O,X,X,X,X,X,X,X
JTLZSIO,O,O,X,O,X,X,X,X
JTLZSOI,O,O,X,O,X,X,X,X
JTLZOIS,O,X,X,X,X,X,X,X
JTLZOSI,O,X,X,X,X,X,X,X
JTLOISZ,O,X,O,O,O,X,X,X
JTLOIZS,O,X,X,O,O,X,X,X
JTLOSIZ,O,X,O,O,O,X,X,O
JTLOSZI,O,X,O,O,O,X,X,O
JTLOZIS,O,X,X,O,O,X,X,X
JTLOZSI,O,X,X,O,O,X,X,X
JTSILZO,X,O,X,O,X,X,X,O
JTSILOZ,X,X,X,X,X,X,X,O
JTSIZLO,X,O,X,O,X,O,X,O
JTSIZOL,O,O,X,X,X,O,X,O
JTSIOLZ,X,X,X,X,O,X,X,O
JTSIOZL,O,O,O,X,X,O,X,O
JTSLIZO,O,O,X,O,X,X,X,O
JTSLIOZ,O,X,X,X,X,X,X,O
JTSLZIO,O,O,X,O,X,X,X,O
JTSLZOI,O,O,X,O,X,X,X,O
JTSLOIZ,O,X,X,X,X,X,X,O
JTSLOZI,O,X,X,X,X,X,X,O
JTSZILO,X,O,X,O,X,O,X,O
JTSZIOL,O,O,X,X,X,O,X,O
JTSZLIO,X,O,X,O,X,O,X,O
JTSZLOI,X,O,X,O,X,O,X,O
JTSZOIL,O,O,X,X,X,O,X,O
JTSZOLI,O,O,X,X,X,X,X,O
JTSOILZ,X,X,X,X,O,X,X,O
JTSOIZL,O,O,O,X,X,O,X,O
