sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBamBFiBf?sBGsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhETeB/mBFiBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB
ISJOLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISJOZTL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISJOZLT,O,X,X,X,O,X,X,X,X,O,X,X,X
ISZTLJO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZTLOJ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZTJLO,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTJOL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZTOLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZTOJL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZLTJO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLTOJ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLJTO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZLJOT,O,X,X,X,O,O,X,X,X,O,X,X,X
ISZLOTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZLOJT,O,X,X,X,O,O,X,X,X,O,X,X,X
ISZJTLO,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJTOL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJLTO,X,X,X,X,X,O,X,X,X,X,X,X,X
ISZJLOT,O,X,X,X,O,O,X,X,X,O,X,X,X
ISZJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZJOLT,O,O,X,X,O,X,X,X,X,O,X,X,X
ISZOTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISZOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOLTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
ISZOLJT,O,X,X,X,O,O,X,X,X,O,X,X,X
ISZOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISZOJLT,O,O,X,X,O,X,X,X,X,O,X,X,X
ISOTLJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
ISOTLZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
ISOTJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
ISOTJZL,O,X,X,O,X,X,X,X,X,X,O,O,X
ISOTZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
ISOTZJL,O,O,X,O,X,X,X,X,X,X,O,X,X
ISOLTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISOLTZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
ISOLJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
ISOLJZT,O,X,O,X,X,X,X,X,X,X,X,X,O
ISOLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,O
ISOLZJT,O,O,X,X,X,X,X,X,X,X,X,X,O
ISOJTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJTZL,O,X,X,O,X,X,X,X,X,X,X,O,X
ISOJLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
ISOJZTL,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOJZLT,O,X,X,X,O,X,X,X,X,O,X,X,X
ISOZTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZLTJ,X,X,X,X,O,X,X,X,X,X,X,X,X
ISOZLJT,O,X,X,X,O,X,X,X,X,O,X,X,X
ISOZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X
ISOZJLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IZTLJSO,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTLJOS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTLSJO,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTLSOJ,X,X,X,O,X,O,X,X,X,X,X,X,X
IZTLOJS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTLOSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLSO,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTJLOS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTJSLO,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTJSOL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZTJOLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTJOSL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZTSLJO,O,X,X,O,X,O,X,X,X,X,X,X,X
IZTSLOJ,O,X,X,O,O,O,X,X,X,X,X,X,X
IZTSJLO,O,X,X,O,X,X,X,X,X,X,X,X,X
IZTSJOL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZTSOLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
IZTSOJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZTOLJS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTOLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZTOJLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZTOJSL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZTOSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
IZTOSJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZLTJSO,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLTJOS,X,O,O,X,X,X,X,X,X,O,X,X,O
IZLTSJO,X,O,X,X,X,O,X,X,X,X,X,X,X
IZLTSOJ,X,O,X,X,X,O,X,X,X,X,X,X,O
IZLTOJS,X,O,O,X,X,X,X,X,X,O,X,X,O
IZLTOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLJTSO,X,X,X,X,X,O,X,X,X,X,X,X,O
IZLJTOS,X,O,X,X,X,X,X,X,X,O,X,X,O
IZLJSTO,X,X,X,X,X,O,X,X,X,X,X,X,O
IZLJSOT,X,O,X,X,X,O,X,X,X,O,X,X,O
IZLJOTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IZLJOST,X,O,O,X,X,O,X,X,X,O,X,X,O
IZLSTJO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,X,X,X,O,O,X,X,O,X,X,X,O
IZLSJTO,X,X,X,X,X,O,X,X,X,X,X,X,O
IZLSJOT,X,O,X,X,O,O,X,X,X,O,X,X,O
IZLSOTJ,X,X,X,X,O,O,X,X,O,X,X,X,O
IZLSOJT,X,O,X,X,O,O,X,X,X,O,X,X,O
IZLOTJS,X,O,O,X,X,X,X,X,X,O,X,X,O
IZLOTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IZLOJTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IZLOJST,X,O,O,X,X,X,X,X,X,O,X,X,O
IZLOSTJ,X,X,X,X,O,O,X,X,O,X,X,X,O
IZLOSJT,X,O,X,X,O,O,X,X,X,O,X,X,O
IZJTLSO,X,X,X,O,X,O,X,X,X,X,X,X,X
IZJTLOS,X,X,X,O,X,X,X,X,X,O,X,X,X
IZJTSLO,O,X,X,O,O,O,X,X,X,X,X,X,X
IZJTSOL,O,X,X,O,O,X,X,X,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZJTOSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IZJLTSO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZJLTOS,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLSTO,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJLSOT,X,O,X,X,O,O,X,X,X,O,X,X,X
IZJLOTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJLOST,X,O,X,X,O,O,X,X,X,O,X,X,X
IZJSTLO,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJSTOL,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSLTO,X,X,X,X,O,O,X,X,X,X,X,X,X
IZJSLOT,O,X,X,X,O,O,X,X,X,O,X,X,X
IZJSOTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJSOLT,O,O,X,X,O,O,X,X,X,O,X,X,X
IZJOTLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZJOTSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IZJOLTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IZJOLST,X,O,X,X,O,O,X,X,X,O,X,X,X
IZJOSTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IZJOSLT,O,O,X,X,O,O,X,X,X,O,X,X,X
IZSTLJO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSTJLO,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTJO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLJTO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSLJOT,O,X,X,X,O,O,X,X,X,O,X,X,X
IZSLOTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSLOJT,O,X,X,X,O,O,X,X,X,O,X,X,X
IZSJTLO,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLTO,X,X,X,X,X,O,X,X,X,X,X,X,X
IZSJLOT,O,X,X,X,O,O,X,X,X,O,X,X,X
IZSJOTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IZSOTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZSOLJT,O,X,X,X,O,O,X,X,X,O,X,X,X
IZSOJTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IZOTLJS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOTLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOTJSL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOTSJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IZOLTJS,X,O,O,X,X,X,X,X,X,O,X,X,O
IZOLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOLJTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IZOLJST,X,O,O,X,X,X,X,X,X,O,X,X,O
IZOLSTJ,X,X,X,X,O,O,X,X,O,X,X,X,O
IZOLSJT,X,O,X,X,O,O,X,X,X,O,X,X,O
IZOJTLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOJTSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IZOJLTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IZOJLST,X,O,X,X,O,X,X,X,X,O,X,X,X
IZOJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOJSLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IZOSTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IZOSLJT,O,X,X,X,O,O,X,X,X,O,X,X,X
IZOSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IOTLJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IOTLSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOTLSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOTLZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
IOTLZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
IOTJLSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,O,O,X,X,X,X,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTJZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
IOTJZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
IOTSLJZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTSZJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZLJS,X,O,X,O,X,X,X,O,X,O,X,X,X
IOTZLSJ,X,O,X,O,X,X,X,O,X,X,X,X,X
IOTZJLS,X,O,X,O,X,X,X,O,X,O,X,X,X
IOTZJSL,O,O,X,O,X,X,X,O,X,X,X,X,X
IOTZSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
IOTZSJL,O,O,X,O,X,X,X,O,X,X,X,X,X
IOLTJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IOLTSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOLTSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
IOLTZJS,X,O,O,O,X,X,X,X,X,X,X,X,O
IOLTZSJ,X,O,X,O,X,X,X,X,X,X,X,X,O
IOLJTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IOLJSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOLJSZT,O,X,O,X,X,X,O,X,X,X,X,X,O
IOLJZTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLJZST,X,O,O,X,O,O,O,X,X,O,X,X,O
IOLSTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOLSTZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
IOLSJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOLSJZT,O,X,O,X,X,X,O,X,X,X,X,X,O
IOLSZTJ,X,X,X,X,X,X,O,X,O,X,X,X,O
IOLSZJT,O,O,X,X,X,X,O,X,X,X,X,X,O
IOLZTJS,X,O,O,X,X,X,X,X,X,O,X,X,O
IOLZTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IOLZJTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IOLZJST,X,O,O,X,X,X,O,X,X,O,X,X,O
IOLZSTJ,X,X,X,X,O,O,O,X,O,X,X,X,O
IOLZSJT,X,O,X,X,O,O,O,X,X,O,X,X,O
IOJTLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLZS,X,X,X,O,X,X,X,X,X,X,X,X,X
IOJTSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,O,X,X,X,X,X,X,X,X,X
IOJTZLS,X,O,X,O,X,X,X,O,X,O,X,X,X
IOJTZSL,O,O,X,O,O,X,X,O,X,X,X,X,X
IOJLTSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,O,O,O,X,X,X,X,X,X,X,X,O
IOJLSTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOJLSZT,O,X,O,X,X,X,O,X,X,X,X,X,O
IOJLZTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IOJLZST,X,O,O,X,O,O,O,X,X,O,X,X,O
IOJSTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,O,X,X,X,X,X,X,X,O,X
IOJSLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSZLT,O,X,X,X,O,X,X,X,X,O,X,X,X
IOJZTLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IOJZTSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IOJZLTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IOJZLST,X,O,X,X,O,O,X,X,X,O,X,X,X
IOJZSTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJZSLT,O,O,X,X,O,O,X,X,X,O,X,X,X
IOSTLJZ,O,X,X,X,X,X,X,X,O,X,O,X,X
IOSTLZJ,O,X,X,X,X,X,X,X,O,X,X,X,X
IOSTJLZ,O,X,X,X,X,X,X,X,X,X,O,X,X
IOSTJZL,O,X,X,O,X,X,X,X,X,X,O,O,X
IOSTZLJ,O,X,X,O,X,X,X,X,X,X,X,X,X
IOSTZJL,O,O,X,O,X,X,X,X,X,X,O,X,X
IOSLTJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOSLTZJ,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSLJTZ,O,X,O,X,X,X,X,X,O,X,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X,X,X,X,O
IOSLZTJ,X,X,X,X,X,X,X,X,O,X,X,X,O
IOSLZJT,O,O,X,X,X,X,X,X,X,X,X,X,O
IOSJTLZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,O,X,X,O,X,X,X,X,X,X,X,O,X
IOSJLTZ,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJZLT,O,X,X,X,O,X,X,X,X,O,X,X,X
IOSZTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSZLJT,O,X,X,X,O,X,X,X,X,O,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IOZTLJS,X,O,X,O,X,X,X,X,X,O,X,X,X
IOZTLSJ,X,X,X,O,X,X,X,X,X,X,X,X,X
IOZTJLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IOZTJSL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZTSLJ,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZTSJL,O,O,X,O,X,X,X,X,X,X,X,X,X
IOZLTJS,X,O,O,X,X,X,X,X,X,O,X,X,O
IOZLTSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
IOZLJTS,X,O,X,X,X,X,X,X,X,O,X,X,O
IOZLJST,X,O,O,X,X,X,X,X,X,O,X,X,O
IOZLSTJ,X,X,X,X,O,O,X,X,O,X,X,X,O
IOZLSJT,X,O,X,X,O,O,X,X,X,O,X,X,O
IOZJTLS,X,O,X,O,X,X,X,X,X,O,X,X,X
IOZJTSL,O,X,X,O,O,X,X,X,X,X,X,X,X
IOZJLTS,X,O,X,X,X,X,X,X,X,O,X,X,X
IOZJLST,X,O,X,X,O,X,X,X,X,O,X,X,X
IOZJSTL,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZJSLT,O,O,X,X,O,X,X,X,X,O,X,X,X
IOZSTLJ,X,X,X,X,O,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLTJ,X,X,X,X,O,O,X,X,X,X,X,X,X
IOZSLJT,O,X,X,X,O,O,X,X,X,O,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,O,O,X,X,O,X,X,X,X,O,X,X,X
LTIJSZO,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJZSO,X,O,X,X,X,O,X,X,X,X,X,X,O
LTIJZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIJOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTISJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTISZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
LTISOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTISOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
LTIZJSO,X,O,X,X,X,X,X,X,X,X,X,X,O
LTIZJOS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIZSJO,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,O,X,X,X,X,X,X,O
LTIZOJS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIZOSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
LTIOJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIOSJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTIOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
LTIOZJS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTIOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,O
LTJISZO,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIZSO,X,O,X,X,X,O,X,X,X,X,X,X,O
LTJIZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTJIOSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X,O,X,X,X,X,X,X
LTJSOIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,O,X,X,X,O,X,X,X,X,X,X
LTJZISO,X,O,X,X,X,O,X,O,X,X,X,X,O
LTJZIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJZSIO,X,O,X,X,X,O,O,O,X,X,X,X,O
LTJZSOI,X,O,X,X,X,O,O,O,X,X,X,X,O
LTJZOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJZOSI,X,O,O,X,X,X,O,O,X,X,X,X,O
LTJOISZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOIZS,X,O,O,X,X,X,X,X,X,X,X,X,O
LTJOSIZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTJOSZI,O,X,O,X,X,X,O,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTJOZSI,X,O,O,X,X,X,O,O,X,X,X,X,O
LTSIJZO,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSIZJO,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,X,X,X,X,X,X,O,X,X,X,X
LTSIOJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSIOZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSJZIO,O,X,X,X,X,X,O,X,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X,O,X,X,X,X,X,X
LTSJOIZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSJOZI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTSZIJO,O,O,X,X,X,X,O,X,X,X,X,X,X
LTSZIOJ,O,O,X,X,X,X,O,X,O,X,X,X,X
LTSZJIO,O,O,X,X,X,X,O,X,X,X,X,X,X
LTSZJOI,O,O,X,X,X,X,O,X,X,X,X,X,X
LTSZOIJ,O,O,X,X,X,X,O,X,O,X,X,X,X
LTSZOJI,O,O,X,X,X,X,O,X,O,X,X,X,X
LTSOIJZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSOIZJ,O,O,X,X,X,X,X,X,O,X,X,X,X
LTSOJIZ,O,X,O,X,X,X,X,X,O,X,X,X,X
LTSOJZI,O,X,O,X,X,X,O,X,O,X,X,X,X
LTSOZIJ,O,O,X,X,X,X,O,X,O,X,X,X,X
LTSOZJI,O,O,X,X,X,X,O,X,O,X,X,X,X
LTZIJSO,X,O,X,X,X,X,X,O,X,X,X,X,O
LTZIJOS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTZISJO,X,O,X,X,X,O,X,O,X,X,X,X,X
LTZISOJ,X,O,X,X,X,O,X,O,X,X,X,X,O
LTZIOJS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTZIOSJ,X,O,X,X,X,X,X,O,X,X,X,X,O
LTZJISO,X,O,X,X,X,X,X,O,X,X,X,X,O
LTZJIOS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTZJSIO,X,O,X,X,X,X,O,O,X,X,X,X,O
LTZJSOI,X,O,X,X,X,X,O,O,X,X,X,X,O
LTZJOIS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTZJOSI,X,O,O,X,X,X,O,O,X,X,X,X,O
LTZSIJO,X,O,X,X,X,O,O,O,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,O,O,O,X,X,X,X,O
LTZSJIO,X,O,X,X,X,O,O,O,X,X,X,X,X
LTZSJOI,X,O,X,X,X,O,O,O,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,O,O,O,X,X,X,X,O
LTZSOJI,X,O,X,X,X,O,O,O,X,X,X,X,X
LTZOIJS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTZOISJ,X,O,X,X,X,X,X,O,X,X,X,X,O
LTZOJIS,X,O,O,X,X,X,X,O,X,X,X,X,O
LTZOJSI,X,O,O,X,X,X,O,O,X,X,X,X,O
LTZOSIJ,X,O,X,X,X,X,O,O,X,X,X,X,O
LTZOSJI,X,O,X,X,X,X,O,O,X,X,X,X,X
LTOIJSZ,O,X,O,X,X,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,X,X,X,X,X,X,X,X,X,O
