sequence,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkByqBUgBTVB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBalBzlB0bB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?0kBvlBamBzWB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?vkBTlBamB0cB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBTlBvkB0aB,v115@zgA8IeE8BeB8AeF8BeH8AeJ8AeB8Jeu8IvhFpZBNnB?amBvlB0kBTaB
TZSLJOI,X,X,O,X,X,O
TZSLOIJ,X,X,O,X,X,O
TZSLOJI,X,X,O,X,X,O
TZSJILO,X,X,O,X,X,O
TZSJIOL,X,X,O,X,X,O
TZSJLIO,X,X,O,X,X,O
TZSJLOI,X,X,O,X,X,O
TZSJOIL,X,X,X,X,X,O
TZSJOLI,X,X,X,X,X,O
TZSOILJ,X,X,X,X,X,O
TZSOIJL,X,X,X,X,X,O
TZSOLIJ,X,X,X,X,X,O
TZSOLJI,X,X,X,X,X,O
TZSOJIL,X,X,X,X,X,O
TZSOJLI,X,X,X,X,X,O
TZOILJS,X,X,X,X,X,X
TZOILSJ,X,X,X,X,X,X
TZOIJLS,X,X,X,X,X,O
TZOIJSL,X,X,X,X,X,O
TZOISLJ,X,X,X,X,X,O
TZOISJL,X,X,X,X,X,O
TZOLIJS,X,X,X,X,X,X
TZOLISJ,X,X,X,X,X,X
TZOLJIS,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X
