sequence,v115@8gA8IeC8GeC8GeC8BeF8JezHJvhEpPBenBscBvqBKa?B,v115@8gA8IeC8GeC8GeC8BeF8JesKJvhEugBPgBJVBTnBao?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjBTnBCiBWd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBJjB+nBzhBSd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcB2sBziBid?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aBpcBysBTiBmd?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBTU?B,v115@8gA8IeC8GeC8GeC8BeF8JeUGJvhE3aB+nBqhBJjBzQ?B,v115@8gA8IeC8GeC8GeC8BeF8JexLJvhEmnBSmBsaBPdBzd?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEmVBUmBPnBJjB6n?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBpS?B,v115@8gA8IeC8GeC8GeC8BeF8JeT6IvhEPWBUmBysBWnBJZ?B
IZLTSOJ,X,O,X,X,X,O,X,X,X,X,X,X
IZLTOJS,X,O,X,X,X,O,X,X,X,X,X,O
IZLTOSJ,X,O,X,X,X,O,X,X,X,X,X,O
IZLJTSO,O,O,X,X,X,X,O,O,O,X,X,X
IZLJTOS,O,O,X,X,X,X,O,X,O,X,O,O
IZLJSTO,O,O,X,X,X,X,O,O,O,X,X,X
IZLJSOT,O,O,X,O,O,O,O,O,O,X,O,O
IZLJOTS,O,O,X,O,O,O,O,X,O,X,O,O
IZLJOST,O,O,X,O,O,O,O,O,O,X,O,O
IZLSTJO,X,O,X,X,X,X,X,X,O,X,X,X
IZLSTOJ,X,O,X,X,X,O,X,X,X,O,X,X
IZLSJTO,O,O,X,X,X,X,O,O,O,X,X,X
IZLSJOT,O,O,X,O,O,O,O,O,O,O,X,O
IZLSOTJ,X,O,O,X,X,O,X,X,X,O,X,O
IZLSOJT,O,O,O,X,X,O,O,O,O,O,X,O
IZLOTJS,X,O,O,X,X,O,X,X,X,X,X,O
IZLOTSJ,X,O,O,X,X,O,X,X,X,X,X,O
IZLOJTS,O,O,O,X,X,O,O,X,O,X,O,O
IZLOJST,O,O,O,X,X,O,O,X,O,O,O,O
IZLOSTJ,X,O,O,X,X,O,X,X,X,O,X,O
IZLOSJT,O,O,O,X,X,O,O,X,O,O,O,O
IZJTLSO,O,O,X,X,X,X,O,O,O,X,X,X
IZJTLOS,O,O,X,X,X,X,O,X,O,X,O,X
IZJTSLO,O,O,X,X,X,X,O,O,O,X,X,X
IZJTSOL,O,O,X,O,O,X,O,O,O,X,X,X
IZJTOLS,O,O,X,O,O,X,O,X,O,X,O,X
IZJTOSL,O,O,X,O,O,X,O,X,O,X,O,X
IZJLTSO,O,O,X,X,X,X,O,O,O,X,X,X
IZJLTOS,O,O,X,X,X,X,O,X,O,X,O,O
IZJLSTO,O,O,X,X,X,X,O,O,O,X,X,X
IZJLSOT,O,O,X,O,O,O,O,O,O,X,O,O
IZJLOTS,O,O,X,O,O,O,O,X,O,X,O,O
IZJLOST,O,O,X,O,O,O,O,O,O,X,O,O
IZJSTLO,O,O,X,X,X,X,O,O,O,X,X,X
IZJSTOL,O,O,X,O,O,X,O,O,O,X,X,X
IZJSLTO,O,O,X,X,X,X,O,O,O,X,X,X
IZJSLOT,O,O,X,O,O,O,O,O,O,O,O,X
IZJSOTL,O,O,X,O,O,X,O,O,O,O,O,X
IZJSOLT,O,O,O,O,O,X,O,O,O,O,O,X
IZJOTLS,O,O,X,O,O,X,O,X,O,X,O,X
IZJOTSL,O,O,X,O,O,X,O,X,O,O,O,X
IZJOLTS,O,O,O,O,O,X,O,X,O,X,O,O
IZJOLST,O,O,O,O,O,X,O,O,O,O,O,O
IZJOSTL,O,O,X,O,O,X,O,O,O,O,O,X
IZJOSLT,O,O,O,O,O,X,O,O,O,O,O,O
IZSTLJO,X,O,X,X,X,X,X,X,X,X,X,X
IZSTLOJ,X,O,X,X,X,O,X,X,X,O,X,X
IZSTJLO,X,O,X,X,X,X,O,O,X,X,X,X
IZSTJOL,X,O,X,O,O,X,O,O,X,X,X,X
IZSTOLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZSTOJL,X,O,X,X,X,X,O,O,X,O,X,X
IZSLTJO,X,O,X,X,X,X,X,X,O,X,X,X
IZSLTOJ,X,O,X,X,X,O,X,X,X,O,X,X
IZSLJTO,O,O,X,X,X,X,O,O,O,X,X,X
IZSLJOT,O,O,X,O,O,O,O,O,O,O,X,X
IZSLOTJ,X,O,O,X,X,O,X,X,X,O,X,X
IZSLOJT,O,O,O,X,X,O,O,O,O,O,X,X
IZSJTLO,O,O,X,X,X,X,O,O,O,X,X,X
IZSJTOL,O,O,X,O,O,X,O,O,O,X,X,X
IZSJLTO,O,O,X,X,X,X,O,O,O,X,X,X
IZSJLOT,O,O,X,O,O,O,O,O,O,O,X,X
IZSJOTL,O,O,X,O,O,X,O,O,O,O,X,X
IZSJOLT,O,O,O,O,O,X,O,O,O,O,X,X
IZSOTLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZSOTJL,X,O,X,X,X,X,O,O,X,O,X,X
IZSOLTJ,X,O,O,X,X,O,X,X,X,O,X,X
IZSOLJT,O,O,O,O,X,O,O,O,X,O,X,X
IZSOJTL,O,O,X,O,O,X,O,O,X,O,X,X
IZSOJLT,O,O,O,O,O,X,O,O,X,O,X,X
IZOTLJS,X,O,O,X,X,X,X,X,X,X,X,X
IZOTLSJ,X,O,O,X,X,X,X,X,X,X,X,X
IZOTJLS,X,O,X,X,X,X,O,X,X,X,X,X
IZOTJSL,X,O,X,X,X,X,O,X,X,O,X,X
IZOTSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZOTSJL,X,O,X,X,X,X,O,X,X,O,X,X
IZOLTJS,X,O,O,X,X,O,X,X,X,X,X,O
IZOLTSJ,X,O,O,X,X,O,X,X,X,X,X,O
IZOLJTS,O,O,O,O,X,O,O,X,O,X,O,O
IZOLJST,O,O,O,O,X,O,O,X,O,O,O,O
IZOLSTJ,X,O,O,X,X,O,X,X,X,O,X,O
IZOLSJT,O,O,O,O,X,O,O,X,O,O,O,O
IZOJTLS,O,O,X,O,O,X,O,X,O,X,O,X
IZOJTSL,O,O,X,O,O,X,O,X,O,O,O,X
IZOJLTS,O,O,O,O,O,X,O,X,O,X,O,O
IZOJLST,O,O,O,O,O,X,O,O,O,O,O,O
IZOJSTL,O,O,X,O,O,X,O,O,O,O,O,X
IZOJSLT,O,O,O,O,O,X,O,O,O,O,O,O
IZOSTLJ,X,O,O,X,X,X,X,X,X,O,X,X
IZOSTJL,X,O,X,X,X,X,O,O,X,O,X,X
IZOSLTJ,X,O,O,X,X,O,X,X,X,O,X,O
IZOSLJT,O,O,O,O,X,O,O,O,X,O,O,O
IZOSJTL,O,O,X,O,O,X,O,O,X,O,O,X
IZOSJLT,O,O,O,O,O,X,O,O,X,O,O,O
IOTLJSZ,O,X,O,X,X,X,X,X,X,O,X,X
IOTLJZS,O,X,O,X,X,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,X,X,O,X,X
IOTLSZJ,X,O,O,X,X,X,X,X,X,O,X,X
IOTLZJS,X,O,O,X,X,X,X,X,X,X,X,X
IOTLZSJ,X,O,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,X,X,O,X,X,O,X,X
IOTJLZS,O,X,X,X,X,X,O,X,X,X,X,X
IOTJSLZ,O,X,X,X,X,X,O,X,X,O,X,X
IOTJSZL,O,X,X,X,X,X,O,X,X,O,X,X
IOTJZLS,O,X,X,X,X,X,O,X,X,X,X,X
IOTJZSL,O,X,X,X,X,X,O,X,X,O,X,X
IOTSLJZ,O,X,O,X,X,X,X,X,X,O,X,X
IOTSLZJ,X,O,O,X,X,X,X,X,X,O,X,X
IOTSJLZ,O,X,X,X,X,X,O,X,X,O,X,X
IOTSJZL,O,X,X,X,X,X,O,X,X,O,X,X
IOTSZLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOTSZJL,X,O,X,X,X,X,O,X,X,O,X,X
IOTZLJS,X,O,O,X,X,X,X,X,X,X,X,X
IOTZLSJ,X,O,O,X,X,X,X,X,X,X,X,X
IOTZJLS,X,O,X,X,X,X,O,X,X,X,X,X
IOTZJSL,X,O,X,X,X,X,O,X,X,O,X,X
IOTZSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOTZSJL,X,O,X,X,X,X,O,X,X,O,X,X
IOLTJSZ,O,X,O,X,X,X,X,X,X,O,X,O
IOLTJZS,O,X,O,X,X,X,X,X,X,X,X,O
IOLTSJZ,O,X,O,X,X,X,X,X,X,O,X,O
IOLTSZJ,X,O,O,X,X,X,X,X,X,O,X,O
IOLTZJS,X,O,O,X,X,X,X,X,X,X,X,O
IOLTZSJ,X,O,O,X,X,X,X,X,X,X,X,O
IOLJTSZ,O,X,O,X,X,X,O,X,O,O,O,O
IOLJTZS,O,X,O,X,X,X,O,X,O,X,O,O
IOLJSTZ,O,X,O,X,X,X,O,X,O,O,O,O
IOLJSZT,O,O,O,X,X,X,O,X,O,O,O,O
IOLJZTS,O,O,O,X,X,X,O,X,O,X,O,O
IOLJZST,O,O,O,X,X,X,O,X,O,O,O,O
IOLSTJZ,O,X,O,X,X,X,X,X,X,O,X,O
IOLSTZJ,X,O,O,X,X,X,X,X,X,O,X,O
IOLSJTZ,O,X,O,X,X,X,O,X,O,O,O,O
IOLSJZT,O,O,O,X,X,X,O,X,O,O,O,O
IOLSZTJ,X,O,O,X,X,X,X,X,X,O,X,O
IOLSZJT,O,O,O,X,X,X,O,X,O,O,O,O
IOLZTJS,X,O,O,X,X,X,X,X,X,X,X,O
IOLZTSJ,X,O,O,X,X,X,X,X,X,X,X,O
IOLZJTS,O,O,O,X,X,X,O,X,O,X,O,O
IOLZJST,O,O,O,X,X,X,O,X,O,O,O,O
IOLZSTJ,X,O,O,X,X,X,X,X,X,O,X,O
IOLZSJT,O,O,O,X,X,X,O,X,O,O,O,O
IOJTLSZ,O,X,X,O,X,X,O,X,O,O,X,X
IOJTLZS,O,X,X,O,X,X,O,X,O,X,X,X
IOJTSLZ,O,X,X,O,X,X,O,X,O,O,X,X
IOJTSZL,O,X,X,O,X,X,O,X,O,O,X,X
IOJTZLS,O,X,X,O,X,X,O,X,O,X,X,X
IOJTZSL,O,X,X,O,X,X,O,X,O,O,X,X
IOJLTSZ,O,X,O,O,X,X,O,X,O,O,X,X
IOJLTZS,O,X,O,O,X,X,O,X,O,X,X,X
IOJLSTZ,O,X,O,O,X,X,O,O,O,O,X,X
IOJLSZT,O,O,O,O,X,X,O,O,O,O,X,X
IOJLZTS,O,O,O,O,X,X,O,X,O,X,X,X
IOJLZST,O,O,O,O,X,X,O,O,O,O,X,X
IOJSTLZ,O,X,X,O,X,X,O,O,O,O,X,X
IOJSTZL,O,X,X,O,X,X,O,O,O,O,X,X
IOJSLTZ,O,X,O,O,X,X,O,O,O,O,X,X
IOJSLZT,O,O,O,O,X,X,O,O,O,O,X,X
IOJSZTL,O,O,X,O,X,X,O,O,O,O,X,X
IOJSZLT,O,O,O,O,X,X,O,O,O,O,X,X
IOJZTLS,O,O,X,O,X,X,O,X,O,X,X,X
IOJZTSL,O,O,X,O,X,X,O,X,O,O,X,X
IOJZLTS,O,O,O,O,X,X,O,X,O,X,X,X
IOJZLST,O,O,O,O,X,X,O,O,O,O,X,X
IOJZSTL,O,O,X,O,X,X,O,O,O,O,X,X
IOJZSLT,O,O,O,O,X,X,O,O,O,O,X,X
IOSTLJZ,O,X,O,X,X,X,X,X,X,O,X,X
IOSTLZJ,X,O,O,X,X,X,X,X,X,O,X,X
IOSTJLZ,O,X,X,X,X,X,O,O,X,O,X,X
IOSTJZL,O,X,X,X,X,X,O,O,X,O,X,X
IOSTZLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOSTZJL,X,O,X,X,X,X,O,O,X,O,X,X
IOSLTJZ,O,X,O,X,X,X,X,X,X,O,X,O
IOSLTZJ,X,O,O,X,X,X,X,X,X,O,X,O
IOSLJTZ,O,X,O,X,X,X,O,O,X,O,O,O
IOSLJZT,O,O,O,X,X,X,O,O,X,O,O,O
IOSLZTJ,X,O,O,X,X,X,X,X,X,O,X,O
IOSLZJT,O,O,O,X,X,X,O,O,X,O,O,O
IOSJTLZ,O,X,X,O,X,X,O,O,X,O,X,X
IOSJTZL,O,X,X,O,X,X,O,O,X,O,X,X
IOSJLTZ,O,X,O,O,X,X,O,O,X,O,X,X
IOSJLZT,O,O,O,O,X,X,O,O,X,O,X,X
IOSJZTL,O,O,X,O,X,X,O,O,X,O,X,X
IOSJZLT,O,O,O,O,X,X,O,O,X,O,X,X
IOSZTLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOSZTJL,X,O,X,X,X,X,O,O,X,O,X,X
IOSZLTJ,X,O,O,X,X,X,X,X,X,O,X,O
IOSZLJT,O,O,O,X,X,X,O,O,X,O,O,O
IOSZJTL,O,O,X,O,X,X,O,O,X,O,O,X
IOSZJLT,O,O,O,O,X,X,O,O,X,O,O,O
IOZTLJS,X,O,O,X,X,X,X,X,X,X,X,X
IOZTLSJ,X,O,O,X,X,X,X,X,X,X,X,X
IOZTJLS,X,O,X,X,X,X,O,X,X,X,X,X
IOZTJSL,X,O,X,X,X,X,O,X,X,O,X,X
IOZTSLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOZTSJL,X,O,X,X,X,X,O,X,X,O,X,X
IOZLTJS,X,O,O,X,X,X,X,X,X,X,X,O
IOZLTSJ,X,O,O,X,X,X,X,X,X,X,X,O
IOZLJTS,O,O,O,X,X,X,O,X,O,X,O,O
IOZLJST,O,O,O,X,X,X,O,X,O,O,O,O
IOZLSTJ,X,O,O,X,X,X,X,X,X,O,X,O
IOZLSJT,O,O,O,X,X,X,O,X,O,O,O,O
IOZJTLS,O,O,X,O,X,X,O,X,O,X,O,X
IOZJTSL,O,O,X,O,X,X,O,X,O,O,O,X
IOZJLTS,O,O,O,O,X,X,O,X,O,X,O,O
IOZJLST,O,O,O,O,X,X,O,O,O,O,O,O
IOZJSTL,O,O,X,O,X,X,O,O,O,O,O,X
IOZJSLT,O,O,O,O,X,X,O,O,O,O,O,O
IOZSTLJ,X,O,O,X,X,X,X,X,X,O,X,X
IOZSTJL,X,O,X,X,X,X,O,O,X,O,X,X
IOZSLTJ,X,O,O,X,X,X,X,X,X,O,X,O
IOZSLJT,O,O,O,X,X,X,O,O,X,O,O,O
IOZSJTL,O,O,X,O,X,X,O,O,X,O,O,X
IOZSJLT,O,O,O,O,X,X,O,O,X,O,O,O
LTIJSZO,O,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,X,X,X,X,X,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,X,X,O
LTIJOSZ,O,X,X,X,X,X,X,X,X,X,X,O
LTIJOZS,O,X,X,X,X,X,X,X,X,X,X,O
LTISJZO,O,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,X,O,X,X,X,X,X,X,X,X,X,X
LTISZOJ,X,O,X,X,X,X,X,X,X,O,X,X
LTISOJZ,O,X,X,X,X,X,X,X,X,O,X,X
LTISOZJ,X,O,X,X,X,X,X,X,X,O,X,X
LTIZJSO,X,O,X,X,X,X,X,X,X,X,X,X
LTIZJOS,X,O,X,X,X,X,X,X,X,X,X,O
LTIZSJO,X,O,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
LTIZOJS,X,O,X,X,X,X,X,X,X,X,X,O
LTIZOSJ,X,O,X,X,X,X,X,X,X,X,X,O
LTIOJSZ,O,X,X,X,X,X,X,X,X,O,X,O
LTIOJZS,O,X,X,X,X,X,X,X,X,X,X,O
LTIOSJZ,O,X,X,X,X,X,X,X,X,O,X,O
LTIOSZJ,X,O,X,X,X,X,X,X,X,O,X,O
LTIOZJS,X,O,X,X,X,X,X,X,X,X,X,O
LTIOZSJ,X,O,X,X,X,X,X,X,X,X,X,O
LTJISZO,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,X,O,O
LTJIOSZ,O,X,X,X,X,X,X,X,X,X,O,O
LTJIOZS,O,X,X,X,X,X,X,X,X,X,O,O
LTJSIZO,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,X,X,X,X,O,X,X,X,X,X,X
LTJZISO,O,X,X,X,X,X,X,X,X,X,X,X
LTJZIOS,O,X,X,X,X,X,X,X,X,X,O,O
LTJZSIO,O,X,X,X,X,X,X,X,X,X,X,X
LTJZSOI,O,X,X,X,X,X,X,X,X,X,X,X
LTJZOIS,O,X,X,X,X,X,X,X,X,X,O,O
LTJZOSI,O,X,X,X,X,X,X,X,X,X,O,O
LTJOISZ,O,X,X,X,X,X,X,X,X,X,O,O
LTJOIZS,O,X,X,X,X,X,X,X,X,X,O,O
LTJOSIZ,O,X,X,X,X,X,X,X,X,X,O,O
LTJOSZI,O,X,X,X,X,O,X,X,X,X,O,O
LTJOZIS,O,X,X,X,X,O,X,X,X,X,O,O
LTJOZSI,O,X,X,X,X,O,X,X,X,X,O,O
LTSIJZO,O,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,X,O,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,X,O,X,X,X,X,X,X,X,O,X,X
LTSIOJZ,O,X,X,X,X,X,X,X,X,O,X,X
LTSIOZJ,X,O,X,X,X,X,X,X,X,O,X,X
LTSJIZO,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,X,X,X,X,O,X,X,X,X,X,X
LTSZIJO,X,O,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,X,O,X,X,X,O,X,X,X,O,X,X
LTSZJIO,X,O,X,X,X,X,X,X,X,X,X,X
LTSZJOI,X,O,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,X,O,X,X,X,O,X,X,X,O,X,X
LTSZOJI,X,O,X,X,X,O,X,X,X,O,X,X
LTSOIJZ,O,X,X,X,X,X,X,X,X,O,X,X
LTSOIZJ,X,O,X,X,X,X,X,X,X,O,X,X
LTSOJIZ,O,X,X,X,X,X,X,X,X,O,X,X
LTSOJZI,O,X,X,X,X,O,X,X,X,O,X,X
LTSOZIJ,X,O,X,X,X,O,X,X,X,O,X,X
LTSOZJI,X,O,X,X,X,O,X,X,X,O,X,X
LTZIJSO,X,O,X,X,X,X,X,X,X,X,X,X
LTZIJOS,X,O,X,X,X,X,X,X,X,X,X,O
LTZISJO,X,O,X,X,X,X,X,X,X,X,X,X
LTZISOJ,X,O,X,X,X,O,X,X,X,X,X,X
LTZIOJS,X,O,X,X,X,O,X,X,X,X,X,O
LTZIOSJ,X,O,X,X,X,O,X,X,X,X,X,O
LTZJISO,X,O,X,X,X,X,X,X,X,X,X,X
LTZJIOS,X,O,X,X,X,X,X,X,X,X,O,O
LTZJSIO,X,O,X,X,X,X,X,X,X,X,X,X
LTZJSOI,X,O,X,X,X,X,X,X,X,X,X,X
LTZJOIS,X,O,X,X,X,X,X,X,X,X,O,O
LTZJOSI,X,O,X,X,X,X,X,X,X,X,O,O
LTZSIJO,X,O,X,X,X,X,X,X,X,X,X,X
LTZSIOJ,X,O,X,X,X,O,X,X,X,X,X,X
LTZSJIO,X,O,X,X,X,X,X,X,X,X,X,X
LTZSJOI,X,O,X,X,X,X,X,X,X,X,X,X
LTZSOIJ,X,O,X,X,X,O,X,X,X,X,X,X
LTZSOJI,X,O,X,X,X,O,X,X,X,X,X,X
LTZOIJS,X,O,X,X,X,O,X,X,X,X,X,O
LTZOISJ,X,O,X,X,X,O,X,X,X,X,X,O
LTZOJIS,X,O,X,X,X,O,X,X,X,X,O,O
LTZOJSI,X,O,X,X,X,O,X,X,X,X,O,O
LTZOSIJ,X,O,X,X,X,O,X,X,X,X,X,O
LTZOSJI,X,O,X,X,X,O,X,X,X,X,O,O
LTOIJSZ,O,X,X,X,X,X,X,X,X,O,X,O
LTOIJZS,O,X,X,X,X,X,X,X,X,X,X,O
LTOISJZ,O,X,X,X,X,X,X,X,X,O,X,O
LTOISZJ,X,O,X,X,X,X,X,X,X,O,X,O
LTOIZJS,X,O,X,X,X,X,X,X,X,X,X,O
LTOIZSJ,X,O,X,X,X,X,X,X,X,X,X,O
LTOJISZ,O,X,X,X,X,X,X,X,X,O,O,O
LTOJIZS,O,X,X,X,X,X,X,X,X,X,O,O
LTOJSIZ,O,X,X,X,X,X,X,X,X,O,O,O
LTOJSZI,O,X,X,X,X,O,X,X,X,O,O,O
LTOJZIS,O,X,X,X,X,O,X,X,X,X,O,O
LTOJZSI,O,X,X,X,X,O,X,X,X,X,O,O
LTOSIJZ,O,X,X,X,X,X,X,X,X,O,X,O
LTOSIZJ,X,O,X,X,X,X,X,X,X,O,X,O
LTOSJIZ,O,X,X,X,X,X,X,X,X,O,O,O
LTOSJZI,O,X,X,X,X,O,X,X,X,O,O,O
LTOSZIJ,X,O,X,X,X,O,X,X,X,O,X,O
LTOSZJI,X,O,X,X,X,O,X,X,X,O,O,O
LTOZIJS,X,O,X,X,X,O,X,X,X,X,X,O
LTOZISJ,X,O,X,X,X,O,X,X,X,X,X,O
LTOZJIS,X,O,X,X,X,O,X,X,X,X,O,O
LTOZJSI,X,O,X,X,X,O,X,X,X,X,O,O
LTOZSIJ,X,O,X,X,X,O,X,X,X,X,X,O
LTOZSJI,X,O,X,X,X,O,X,X,X,X,O,O
LITJSZO,O,X,X,X,X,X,X,X,O,X,X,X
LITJSOZ,O,X,X,X,X,X,X,X,O,X,X,X
LITJZSO,O,X,X,X,X,X,X,X,O,X,X,X
LITJZOS,O,X,X,X,X,X,X,X,O,X,X,O
LITJOSZ,O,X,X,X,X,X,X,X,O,X,X,O
LITJOZS,O,X,X,X,X,X,X,X,O,X,X,O
LITSJZO,O,X,X,X,X,X,X,X,O,X,X,X
LITSJOZ,O,X,X,X,X,X,X,X,O,X,X,X
LITSZJO,X,O,X,X,X,X,X,X,O,X,X,X
LITSZOJ,X,O,X,X,X,X,X,X,X,O,X,X
LITSOJZ,O,X,X,X,X,X,X,X,X,O,X,X
LITSOZJ,X,O,X,X,X,X,X,X,X,O,X,X
LITZJSO,X,O,X,X,X,X,X,X,O,X,X,X
LITZJOS,X,O,X,X,X,X,X,X,O,X,X,O
LITZSJO,X,O,X,X,X,X,X,X,O,X,X,X
LITZSOJ,X,O,X,X,X,X,X,X,X,X,X,X
LITZOJS,X,O,X,X,X,X,X,X,X,X,X,O
LITZOSJ,X,O,X,X,X,X,X,X,X,X,X,O
LITOJSZ,O,X,X,X,X,X,X,X,X,O,X,O
LITOJZS,O,X,X,X,X,X,X,X,X,X,X,O
LITOSJZ,O,X,X,X,X,X,X,X,X,O,X,O
LITOSZJ,X,O,X,X,X,X,X,X,X,O,X,O
LITOZJS,X,O,X,X,X,X,X,X,X,X,X,O
LITOZSJ,X,O,X,X,X,X,X,X,X,X,X,O
LIJTSZO,O,X,X,X,X,X,O,O,O,X,X,X
LIJTSOZ,O,X,X,O,X,X,O,O,O,X,X,X
LIJTZSO,O,X,X,X,X,X,O,O,O,X,X,X
LIJTZOS,O,X,X,X,X,X,O,X,O,X,O,O
LIJTOSZ,O,X,X,O,X,X,O,X,O,X,O,O
LIJTOZS,O,X,X,O,X,X,O,X,O,X,O,O
LIJSTZO,O,X,X,X,X,X,O,O,O,X,X,X
LIJSTOZ,O,X,X,O,X,X,O,O,O,X,X,X
LIJSZTO,O,O,X,X,X,X,O,O,O,X,X,X
LIJSZOT,O,O,X,O,X,X,O,O,O,O,O,O
LIJSOTZ,O,X,X,O,X,X,O,O,O,O,O,O
LIJSOZT,O,O,X,O,X,O,O,O,O,O,O,O
LIJZTSO,O,O,X,X,X,X,O,O,O,X,X,X
LIJZTOS,O,O,X,X,X,X,O,X,O,X,O,O
LIJZSTO,O,O,X,X,X,X,O,O,O,X,X,X
LIJZSOT,O,O,X,O,X,X,O,O,O,X,O,O
LIJZOTS,O,O,X,O,X,X,O,X,O,X,O,O
LIJZOST,O,O,X,O,X,X,O,O,O,X,O,O
LIJOTSZ,O,X,X,O,X,X,O,X,O,O,O,O
LIJOTZS,O,X,X,O,X,X,O,X,O,X,O,O
LIJOSTZ,O,X,X,O,X,X,O,O,O,O,O,O
LIJOSZT,O,O,X,O,X,O,O,O,O,O,O,O
LIJOZTS,O,O,X,O,X,O,O,X,O,X,O,O
LIJOZST,O,O,X,O,X,O,O,O,O,O,O,O
LISTJZO,O,X,X,X,X,X,X,X,O,X,X,X
LISTJOZ,O,X,X,X,X,X,X,X,O,X,X,X
LISTZJO,X,O,X,X,X,X,X,X,O,X,X,X
LISTZOJ,X,O,X,X,X,X,X,X,X,O,X,X
LISTOJZ,O,X,X,X,X,X,X,X,X,O,X,X
LISTOZJ,X,O,X,X,X,X,X,X,X,O,X,X
LISJTZO,O,X,X,X,X,X,O,O,O,X,X,X
LISJTOZ,O,X,X,O,X,X,O,O,O,X,X,X
LISJZTO,O,O,X,X,X,X,O,O,O,X,X,X
LISJZOT,O,O,X,O,X,X,O,O,O,O,X,O
LISJOTZ,O,X,X,O,X,X,O,O,O,O,X,O
LISJOZT,O,O,X,O,X,O,O,O,O,O,X,O
LISZTJO,X,O,X,X,X,X,X,X,O,X,X,X
LISZTOJ,X,O,X,X,X,O,X,X,X,O,X,X
LISZJTO,O,O,X,X,X,X,O,O,O,X,X,X
LISZJOT,O,O,X,O,X,O,O,O,O,O,X,O
LISZOTJ,X,O,O,X,X,O,X,X,X,O,X,O
LISZOJT,O,O,O,X,X,O,O,O,O,O,X,O
LISOTJZ,O,X,O,X,X,X,X,X,X,O,X,O
LISOTZJ,X,O,O,X,X,X,X,X,X,O,X,O
LISOJTZ,O,X,O,X,X,X,O,O,O,O,X,O
LISOJZT,O,O,O,X,X,O,O,O,O,O,X,O
LISOZTJ,X,O,O,X,X,O,X,X,X,O,X,O
LISOZJT,O,O,O,X,X,O,O,O,O,O,X,O
LIZTJSO,X,O,X,X,X,X,X,X,O,X,X,X
LIZTJOS,X,O,X,X,X,X,X,X,O,X,X,O
LIZTSJO,X,O,X,X,X,X,X,X,O,X,X,X
LIZTSOJ,X,O,X,X,X,O,X,X,X,X,X,X
LIZTOJS,X,O,X,X,X,O,X,X,X,X,X,O
LIZTOSJ,X,O,X,X,X,O,X,X,X,X,X,O
LIZJTSO,O,O,X,X,X,X,O,O,O,X,X,X
LIZJTOS,O,O,X,X,X,X,O,X,O,X,O,O
LIZJSTO,O,O,X,X,X,X,O,O,O,X,X,X
LIZJSOT,O,O,X,O,X,O,O,O,O,X,O,O
LIZJOTS,O,O,X,O,X,O,O,X,O,X,O,O
LIZJOST,O,O,X,O,X,O,O,O,O,X,O,O
