sequence,v115@VhC8FeD8BeA8JeRGJvhEKpBMtBusBvfBrVB,v115@VhC8FeD8BeA8Je01IvhE/fBKpBRmBGoBzsB,v115@VhC8FeD8BeA8JeXNJvhDCqBZkBUhBzcB,v115@VhC8FeD8BeA8Je5AJvhEmfB3hBTkBctByuB,v115@VhC8FeD8BeA8Je5AJvhEifB3hBzkBctB2uB,v115@VhC8FeD8BeA8JeSAJvhEZkB3hBGlBctBzpB,v115@VhC8FeD8BeA8JeZ6IvhEzfB3hBSqBctB2uB,v115@VhC8FeD8BeA8JemJJvhFykBpgB3hBMtBlnBTpB,v115@VhC8FeD8BeA8JeiJJvhF2kBpgBMtB3hBlnBzpB,v115@VhC8FeD8BeA8Jee8IvhEZkB3hBqpBTlBctB,v115@VhC8FeD8BeA8Jeq/IvhEZkBulB3hBctBzpB,v115@VhC8FeD8BeA8Jez7IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8JeT1IvhEZkBWlB3hBctBCqB,v115@VhC8FeD8BeA8Jea8IvhE5gB3hBTkBeqBctB,v115@VhC8FeD8BeA8JeO1IvhEZkB3hBqpBTlBctB
ZLTJSOI,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLTJOIS,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLTJOSI,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLTSIJO,O,X,X,X,X,X,X,O,O,X,X,O,O,X,O
ZLTSIOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZLTSJIO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZLTSJOI,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLTSOIJ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O
ZLTSOJI,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X
ZLTOIJS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,O
ZLTOISJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O
ZLTOJIS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLTOJSI,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLTOSIJ,X,X,O,O,X,X,X,X,O,O,X,X,X,X,O
ZLTOSJI,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
ZLITJSO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZLITJOS,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZLITSJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZLITSOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZLITOJS,X,X,X,O,X,X,X,X,O,O,X,X,O,X,O
ZLITOSJ,X,X,O,O,X,X,X,X,O,O,X,X,O,X,O
ZLIJTSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLIJTOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLIJSTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLIJSOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLIJOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
ZLIJOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLISTJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZLISTOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
ZLISJTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLISJOT,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLISOTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
ZLISOJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
ZLIOTJS,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O
ZLIOTSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,O
ZLIOJTS,X,X,X,O,X,O,X,X,O,O,O,O,O,O,O
ZLIOJST,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
ZLIOSTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
ZLIOSJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
ZLJTISO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZLJTIOS,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZLJTSIO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZLJTSOI,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLJTOIS,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLJTOSI,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZLJITSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLJITOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLJISTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLJISOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLJIOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
ZLJIOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLJSTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZLJSTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZLJSITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLJSIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLJSOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZLJSOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLJOTIS,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
ZLJOTSI,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
ZLJOITS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
ZLJOIST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLJOSTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZLJOSIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLSTIJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZLSTIOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
ZLSTJIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZLSTJOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZLSTOIJ,O,O,O,O,X,X,X,X,O,O,X,O,X,X,O
ZLSTOJI,O,O,X,O,X,X,X,X,O,O,X,O,X,X,X
ZLSITJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZLSITOJ,O,O,O,O,X,X,X,X,O,O,X,O,O,X,O
ZLSIJTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLSIJOT,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLSIOTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
ZLSIOJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
ZLSJTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZLSJTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZLSJITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZLSJIOT,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLSJOTI,O,O,X,O,O,X,O,O,O,O,O,O,X,O,X
ZLSJOIT,O,O,O,O,O,X,O,O,O,O,O,O,O,O,O
ZLSOTIJ,O,O,O,O,X,X,X,X,O,O,O,O,X,X,O
ZLSOTJI,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X
ZLSOITJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
ZLSOIJT,O,O,O,O,X,O,X,X,O,O,O,O,O,O,O
ZLSOJTI,O,O,X,O,X,O,O,X,O,O,O,O,X,O,X
ZLSOJIT,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O
ZLOTIJS,X,X,X,O,X,X,X,X,O,O,O,X,X,X,O
ZLOTISJ,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O
ZLOTJIS,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ZLOTJSI,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ZLOTSIJ,X,X,O,O,X,X,X,X,O,O,O,X,X,X,O
ZLOTSJI,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X
ZLOITJS,X,X,X,O,X,X,X,X,O,O,O,X,O,X,O
ZLOITSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,O
ZLOIJTS,X,X,X,O,X,O,X,X,O,O,O,O,O,X,O
ZLOIJST,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O
ZLOISTJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
ZLOISJT,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O
ZLOJTIS,X,X,X,O,X,O,O,X,O,O,O,O,X,X,X
ZLOJTSI,X,X,X,O,X,O,O,X,O,O,O,O,X,X,X
ZLOJITS,X,X,X,O,X,O,O,X,O,O,O,O,O,X,O
ZLOJIST,O,O,O,O,X,O,O,X,O,O,O,O,O,X,O
ZLOJSTI,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X
ZLOJSIT,O,O,O,O,X,O,O,X,O,O,O,O,O,X,O
ZLOSTIJ,O,O,O,O,X,X,X,X,O,O,O,O,X,X,O
ZLOSTJI,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X
ZLOSITJ,O,O,O,O,X,X,X,X,O,O,O,O,O,X,O
ZLOSIJT,O,O,O,O,X,O,X,X,O,O,O,O,O,X,O
ZLOSJTI,O,O,X,O,X,O,O,X,O,O,O,O,X,X,X
ZLOSJIT,O,O,O,O,X,O,O,X,O,O,O,O,O,X,O
ZJTILSO,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJTILOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJTISLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJTISOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTIOLS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTIOSL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTLISO,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJTLIOS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJTLSIO,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJTLSOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJTLOIS,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJTLOSI,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
ZJTSILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJTSIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTSLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJTSLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJTSOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTSOLI,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTOILS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTOISL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTOLIS,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
ZJTOLSI,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
ZJTOSIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJTOSLI,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJITLSO,O,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZJITLOS,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZJITSLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZJITSOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJITOLS,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJITOSL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJILTSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJILTOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJILSTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJILSOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJILOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
ZJILOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJISTLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZJISTOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJISLTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJISLOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJISOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJISOLT,X,X,O,X,O,O,O,O,X,X,O,O,O,O,O
ZJIOTLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJIOTSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJIOLTS,X,X,X,X,O,O,O,O,X,X,O,X,O,O,O
ZJIOLST,O,X,O,X,O,O,O,O,X,X,O,X,O,O,O
ZJIOSTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJIOSLT,X,X,O,X,O,O,O,O,X,X,O,X,O,O,O
ZJLTISO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZJLTIOS,X,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZJLTSIO,O,X,X,X,X,X,O,O,O,X,X,O,O,X,X
ZJLTSOI,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZJLTOIS,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZJLTOSI,X,X,X,X,X,X,O,O,O,X,X,O,X,X,X
ZJLITSO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJLITOS,X,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJLISTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJLISOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJLIOTS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
ZJLIOST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJLSTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZJLSTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZJLSITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJLSIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJLSOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZJLSOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJLOTIS,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
ZJLOTSI,X,X,X,O,O,X,O,O,O,O,O,O,X,X,X
ZJLOITS,X,X,X,O,O,X,O,O,O,O,O,O,O,O,O
ZJLOIST,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJLOSTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZJLOSIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJSTILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJSTIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJSTLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJSTLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZJSTOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJSTOLI,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X
ZJSITLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZJSITOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZJSILTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJSILOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJSIOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJSIOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
ZJSLTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZJSLTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZJSLITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZJSLIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJSLOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZJSLOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZJSOTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJSOTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
ZJSOITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJSOILT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,X
ZJSOLTI,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
ZJSOLIT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,O
ZJOTILS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOTISL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOTLIS,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
ZJOTLSI,X,X,X,X,O,O,X,O,X,O,O,X,X,X,X
ZJOTSIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOTSLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
ZJOITLS,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOITSL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOILTS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
ZJOILST,O,X,O,X,O,O,O,O,X,O,O,X,X,O,X
ZJOISTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOISLT,X,X,O,X,O,O,O,O,X,O,O,X,X,O,X
ZJOLTIS,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X
ZJOLTSI,X,X,X,X,O,O,O,O,X,O,O,X,X,X,X
ZJOLITS,X,X,X,X,O,O,O,O,X,O,O,X,X,O,O
ZJOLIST,O,X,O,X,O,O,O,O,X,O,O,X,X,O,O
ZJOLSTI,O,X,X,X,O,O,O,O,X,O,O,X,X,O,X
ZJOLSIT,O,X,O,X,O,O,O,O,X,O,O,X,X,O,O
ZJOSTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOSTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
ZJOSITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZJOSILT,X,X,O,X,O,O,O,O,X,O,O,X,X,O,X
ZJOSLTI,X,X,X,X,O,O,O,O,X,O,O,X,X,O,X
ZJOSLIT,X,X,O,X,O,O,O,O,X,O,O,X,X,O,O
ZSTILJO,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZSTILOJ,X,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZSTIJLO,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O
ZSTIJOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSTIOLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
ZSTIOJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSTLIJO,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZSTLIOJ,X,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZSTLJIO,X,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZSTLJOI,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZSTLOIJ,X,X,O,O,X,X,X,X,O,O,X,O,X,X,O
ZSTLOJI,X,X,X,O,X,X,X,X,O,O,X,O,X,X,X
ZSTJILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZSTJIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSTJLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZSTJLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZSTJOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSTJOLI,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X
ZSTOILJ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
ZSTOIJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSTOLIJ,X,X,O,X,X,X,X,X,O,O,O,O,X,X,O
ZSTOLJI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X
ZSTOJIL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSTOJLI,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
ZSITLJO,X,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZSITLOJ,X,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZSITJLO,X,X,X,X,X,X,X,O,O,X,X,X,X,O,O
ZSITJOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSITOLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
ZSITOJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSILTJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZSILTOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZSILJTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZSILJOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSILOTJ,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O
ZSILOJT,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O
ZSIJTLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZSIJTOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSIJLTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZSIJLOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSIJOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZSIJOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
ZSIOTLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
ZSIOTJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSIOLTJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
ZSIOLJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
ZSIOJTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZSIOJLT,X,X,O,X,O,O,X,O,X,O,O,O,O,O,O
ZSLTIJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZSLTIOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZSLTJIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZSLTJOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZSLTOIJ,O,X,O,O,X,X,X,X,O,O,X,O,X,X,O
ZSLTOJI,O,X,X,O,X,X,X,X,O,O,X,O,X,X,X
ZSLITJO,O,X,X,X,X,X,X,O,O,X,X,O,O,O,O
ZSLITOJ,O,X,O,O,X,X,X,X,O,O,X,O,O,X,O
ZSLIJTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZSLIJOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSLIOTJ,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O
ZSLIOJT,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O
ZSLJTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZSLJTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZSLJITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZSLJIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSLJOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZSLJOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSLOTIJ,O,X,O,O,X,X,X,X,O,O,O,O,X,X,O
ZSLOTJI,O,X,X,O,X,X,X,X,O,O,O,O,X,X,X
ZSLOITJ,O,X,O,O,X,X,X,X,O,O,O,O,O,X,O
ZSLOIJT,O,X,O,O,X,O,X,X,O,O,O,O,O,O,O
ZSLOJTI,O,X,X,O,X,O,O,X,O,O,O,O,X,O,X
ZSLOJIT,O,X,O,O,X,O,O,X,O,O,O,O,O,O,O
ZSJTILO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZSJTIOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSJTLIO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZSJTLOI,X,X,X,X,X,X,O,O,O,X,X,X,X,O,X
ZSJTOIL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSJTOLI,X,X,X,X,O,X,X,O,X,O,O,X,X,O,X
ZSJITLO,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O
ZSJITOL,X,X,X,X,O,X,X,O,X,X,O,X,X,O,X
ZSJILTO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZSJILOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSJIOTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZSJIOLT,X,X,O,X,O,O,O,O,X,O,O,O,O,O,O
ZSJLTIO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,X
ZSJLTOI,O,X,X,X,X,X,O,O,O,X,X,O,X,O,X
ZSJLITO,O,X,X,X,X,X,O,O,O,X,X,O,O,O,O
ZSJLIOT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSJLOTI,O,X,X,O,O,X,O,O,O,O,O,O,X,O,X
ZSJLOIT,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O
ZSJOTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZSJOTLI,X,X,X,X,O,O,X,O,X,O,O,X,X,O,X
ZSJOITL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZSJOILT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,X
ZSJOLTI,X,X,X,X,O,O,O,O,X,O,O,O,X,O,X
ZSJOLIT,X,X,O,X,O,O,O,O,X,O,O,O,X,O,O
ZSOTILJ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X
ZSOTIJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSOTLIJ,X,X,O,X,X,X,X,X,O,O,O,O,X,X,O
ZSOTLJI,X,X,X,X,X,X,X,X,O,O,O,O,X,X,X
ZSOTJIL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSOTJLI,X,X,X,X,X,O,X,O,X,O,O,X,X,X,X
ZSOITLJ,X,X,O,X,X,X,X,X,O,X,O,O,O,X,X
ZSOITJL,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
ZSOILTJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
ZSOILJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
ZSOIJTL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
ZSOIJLT,X,X,O,X,O,O,X,O,X,O,O,O,O,O,O
ZSOLTIJ,X,X,O,O,X,X,X,X,O,O,O,O,X,X,O
ZSOLTJI,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X
ZSOLITJ,X,X,O,O,X,X,X,X,O,O,O,O,O,X,O
ZSOLIJT,X,X,O,O,X,O,X,X,O,O,O,O,O,O,O
ZSOLJTI,X,X,X,O,X,O,O,X,O,O,O,O,X,O,X
ZSOLJIT,X,X,O,O,X,O,O,X,O,O,O,O,O,O,O
ZSOJTIL,X,X,X,X,O,O,X,O,X,X,O,X,X,O,X
