sequence,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBFn?BKmB,v115@8gD8DeH8CeH8AeI8AeC8JeG7IvhFMVBTRBpPBPZBKc?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBGlBJa?BzaB,v115@8gD8DeH8CeH8AeI8AeC8JeFHJvhFMjBKmBvcBpgBzf?BOfB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBGbBzQBJQ?BFdB,v115@8gD8DeH8CeH8AeI8AeC8JeM5IvhFKcBvSBzVBOVBpW?BFdB
TZOLISJ,O,X,O,O,X,O
TZOLJIS,O,X,O,O,X,O
TZOLJSI,O,X,O,O,X,O
TZOLSIJ,O,X,O,O,X,O
TZOLSJI,O,X,O,O,X,O
TZOJILS,O,X,O,O,X,O
TZOJISL,O,X,O,O,X,X
TZOJLIS,O,X,O,O,X,O
TZOJLSI,O,X,O,O,X,O
TZOJSIL,O,X,O,O,X,X
TZOJSLI,O,X,O,O,X,X
TZOSILJ,O,X,X,O,X,X
TZOSIJL,O,X,X,O,X,X
TZOSLIJ,O,X,X,O,X,X
TZOSLJI,O,X,X,O,X,X
TZOSJIL,O,X,X,O,X,X
TZOSJLI,O,X,X,O,X,X
