sequence,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxYBX?eB0iBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jei1IvhFRXBceB3aBG?dBziBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBGXBxdB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jey6IvhFGXBxdBTaB0?dBXjBlsB,v115@2gB8GeE8BeH8BeG8CeH8AeB8Jem1IvhFRXBTaBFeBf?oBUnBCtB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeK6IvhFzVBRXBceBf?oBFnBusB,v115@2gB8GeE8BeH8BeG8CeH8AeB8JeO6IvhF8aBRXBXeBz?nBFnBCtB
LIOJSTZ,X,O,X,O,O,X,X,X
LIOJSZT,X,O,X,O,O,X,X,X
LIOJZTS,O,X,X,O,O,X,X,X
LIOJZST,O,X,X,O,O,X,X,X
LIOSTJZ,X,O,X,X,X,X,X,X
LIOSTZJ,X,X,X,X,X,X,X,X
LIOSJTZ,X,O,X,O,X,X,X,X
LIOSJZT,X,O,X,O,X,X,X,X
LIOSZTJ,X,O,X,X,X,X,O,X
LIOSZJT,X,O,X,X,X,X,X,X
LIOZTJS,O,X,X,X,X,X,X,X
LIOZTSJ,X,X,X,X,X,X,X,X
LIOZJTS,O,X,X,O,X,X,X,X
LIOZJST,O,X,X,O,X,X,X,X
LIOZSTJ,O,X,X,X,X,X,X,X
LIOZSJT,O,X,X,X,X,X,X,X
LJTISZO,X,O,X,X,O,X,X,X
LJTISOZ,X,O,X,O,O,X,X,X
LJTIZSO,O,X,X,X,O,X,X,X
LJTIZOS,O,X,X,O,O,X,X,X
LJTIOSZ,X,O,X,O,O,X,X,X
LJTIOZS,O,X,X,O,O,X,X,X
LJTSIZO,X,O,X,X,O,X,X,X
LJTSIOZ,X,O,X,O,O,X,X,X
LJTSZIO,O,O,X,X,X,X,X,X
LJTSZOI,O,O,X,X,X,X,X,X
LJTSOIZ,X,O,X,O,X,X,X,X
LJTSOZI,O,O,X,X,X,X,X,X
LJTZISO,O,X,X,X,O,X,X,X
LJTZIOS,O,X,X,O,O,X,X,X
LJTZSIO,O,O,X,X,X,X,X,X
LJTZSOI,O,O,X,X,X,X,X,X
LJTZOIS,O,X,X,O,X,X,X,X
LJTZOSI,O,O,X,X,X,X,X,X
LJTOISZ,X,O,X,O,O,X,X,X
LJTOIZS,O,X,X,O,O,X,X,X
LJTOSIZ,X,O,X,O,X,X,X,X
LJTOSZI,O,O,X,X,X,X,X,X
LJTOZIS,O,X,X,O,X,X,X,X
LJTOZSI,O,O,X,X,X,X,X,X
LJITSZO,X,O,X,X,O,X,X,X
LJITSOZ,X,O,X,O,O,X,X,X
LJITZSO,O,X,X,X,O,X,X,X
LJITZOS,O,X,X,O,O,X,X,X
LJITOSZ,X,O,X,O,O,X,X,X
LJITOZS,O,X,X,O,O,X,X,X
LJISTZO,X,X,O,X,O,X,X,X
LJISTOZ,X,O,X,X,O,X,X,X
LJISZTO,X,O,O,X,X,X,X,X
LJISZOT,X,O,O,X,O,X,X,X
LJISOTZ,X,O,X,O,O,X,X,X
LJISOZT,X,O,O,O,O,X,X,X
LJIZTSO,X,X,X,X,O,X,X,X
LJIZTOS,O,X,X,X,O,X,X,X
LJIZSTO,O,X,O,X,X,X,X,X
LJIZSOT,O,X,O,X,O,X,X,X
LJIZOTS,O,X,X,O,O,X,X,X
LJIZOST,O,X,X,O,O,X,X,X
LJIOTSZ,X,O,X,O,O,X,X,X
LJIOTZS,O,X,X,O,O,X,X,X
LJIOSTZ,X,O,X,O,O,X,X,X
LJIOSZT,X,O,X,O,O,X,X,X
LJIOZTS,O,X,X,O,O,X,X,X
LJIOZST,O,X,X,O,O,X,X,X
LJSTIZO,X,O,O,X,O,X,X,X
LJSTIOZ,X,O,X,O,O,X,X,X
LJSTZIO,O,O,O,X,X,X,X,X
LJSTZOI,O,O,O,X,X,X,X,X
LJSTOIZ,X,O,X,O,X,X,X,X
LJSTOZI,O,O,X,X,X,X,X,X
LJSITZO,X,X,O,X,O,X,X,X
LJSITOZ,X,O,X,X,O,X,X,X
LJSIZTO,X,O,O,X,X,X,X,X
LJSIZOT,X,O,O,X,O,X,X,X
LJSIOTZ,X,O,X,O,O,X,X,X
LJSIOZT,X,O,O,O,O,X,X,X
LJSZTIO,O,O,O,X,X,X,O,X
LJSZTOI,O,O,O,X,X,X,O,X
LJSZITO,O,O,O,X,X,X,X,X
LJSZIOT,O,O,O,X,X,X,X,X
LJSZOTI,O,O,O,X,X,X,O,X
LJSZOIT,O,O,O,X,X,X,X,X
LJSOTIZ,X,O,X,O,X,X,X,X
LJSOTZI,O,O,X,X,X,X,X,X
LJSOITZ,X,O,X,O,X,X,X,X
LJSOIZT,X,O,O,O,X,X,X,X
LJSOZTI,O,O,O,X,X,X,O,X
LJSOZIT,O,O,O,X,X,X,X,X
LJZTISO,O,X,X,X,O,X,X,X
LJZTIOS,O,X,X,O,O,X,X,X
LJZTSIO,O,O,X,X,X,X,X,X
LJZTSOI,O,O,X,X,X,X,X,X
LJZTOIS,O,X,X,O,X,X,X,X
LJZTOSI,O,O,X,X,X,X,X,X
LJZITSO,X,X,X,X,O,X,X,X
LJZITOS,O,X,X,X,O,X,X,X
LJZISTO,O,X,O,X,X,X,X,X
LJZISOT,O,X,O,X,O,X,X,X
LJZIOTS,O,X,X,O,O,X,X,X
LJZIOST,O,X,X,O,O,X,X,X
LJZSTIO,O,O,O,X,X,X,X,X
LJZSTOI,O,O,O,X,X,X,X,X
LJZSITO,O,O,O,X,X,X,X,X
LJZSIOT,O,O,O,X,X,X,X,X
LJZSOTI,O,O,O,X,X,X,X,X
LJZSOIT,O,O,O,X,X,X,X,X
LJZOTIS,O,X,X,O,X,X,X,X
LJZOTSI,O,O,X,X,X,X,X,X
LJZOITS,O,X,X,O,X,X,X,X
LJZOIST,O,X,X,O,X,X,X,X
LJZOSTI,O,O,X,X,X,X,X,X
LJZOSIT,O,O,X,X,X,X,X,X
LJOTISZ,X,O,X,O,O,X,X,X
LJOTIZS,O,X,X,O,O,X,X,X
LJOTSIZ,X,O,X,O,X,X,X,X
LJOTSZI,O,O,X,X,X,X,X,X
LJOTZIS,O,X,X,O,X,X,X,X
LJOTZSI,O,O,X,X,X,X,X,X
LJOITSZ,X,O,X,O,O,X,X,X
LJOITZS,O,X,X,O,O,X,X,X
LJOISTZ,X,O,X,O,O,X,X,X
LJOISZT,X,O,X,O,O,X,X,X
LJOIZTS,O,X,X,O,O,X,X,X
LJOIZST,O,X,X,O,O,X,X,X
LJOSTIZ,X,O,X,O,X,X,X,X
LJOSTZI,O,O,X,X,X,X,X,X
LJOSITZ,X,O,X,O,X,X,X,X
LJOSIZT,X,O,X,O,X,X,X,X
LJOSZTI,O,O,X,X,X,X,O,X
LJOSZIT,O,O,X,X,X,X,X,X
LJOZTIS,O,X,X,O,X,X,X,X
LJOZTSI,O,O,X,X,X,X,X,X
LJOZITS,O,X,X,O,X,X,X,X
LJOZIST,O,X,X,O,X,X,X,X
LJOZSTI,O,O,X,X,X,X,X,X
LJOZSIT,O,O,X,X,X,X,X,X
LSTIJZO,X,O,O,X,O,X,X,X
LSTIJOZ,X,O,O,O,O,X,X,X
LSTIZJO,X,O,O,X,X,X,X,X
LSTIZOJ,X,O,O,X,X,X,X,X
LSTIOJZ,X,O,O,O,X,X,X,X
LSTIOZJ,X,O,O,X,X,X,X,X
LSTJIZO,X,O,O,X,O,X,X,X
LSTJIOZ,X,O,O,O,O,X,X,X
LSTJZIO,O,O,O,X,X,X,X,X
LSTJZOI,O,O,O,X,X,X,X,X
LSTJOIZ,X,O,O,O,X,X,X,X
LSTJOZI,O,O,O,X,X,X,X,X
LSTZIJO,O,O,O,X,X,X,O,X
LSTZIOJ,O,O,O,X,X,X,O,X
LSTZJIO,O,O,O,X,X,X,O,X
LSTZJOI,O,O,O,X,X,X,O,X
LSTZOIJ,O,O,O,X,X,X,O,X
LSTZOJI,O,O,O,X,X,X,O,X
LSTOIJZ,X,O,O,O,X,X,X,X
LSTOIZJ,X,O,O,X,X,X,X,X
LSTOJIZ,X,O,O,O,X,X,X,X
LSTOJZI,O,O,O,X,X,O,X,X
LSTOZIJ,O,O,O,X,X,O,O,X
LSTOZJI,O,O,O,X,X,O,O,X
LSITJZO,X,X,O,X,X,X,X,X
LSITJOZ,X,O,O,X,X,X,X,X
LSITZJO,X,X,O,X,X,X,X,X
LSITZOJ,X,X,O,X,X,X,X,X
LSITOJZ,X,O,O,X,X,X,X,X
LSITOZJ,X,X,O,X,X,X,X,X
LSIJTZO,X,X,O,X,O,X,X,X
LSIJTOZ,X,O,O,X,O,X,X,X
LSIJZTO,X,O,O,X,X,X,X,X
LSIJZOT,X,O,O,X,O,X,X,X
LSIJOTZ,X,O,X,O,O,X,X,X
LSIJOZT,X,O,O,O,O,X,X,X
LSIZTJO,X,O,O,X,X,X,O,X
LSIZTOJ,X,O,O,X,X,X,O,X
LSIZJTO,X,O,O,X,X,X,X,X
LSIZJOT,X,O,O,X,X,X,X,X
LSIZOTJ,X,O,X,X,X,X,O,X
LSIZOJT,X,O,O,X,X,X,X,X
LSIOTJZ,X,O,O,X,X,X,X,X
LSIOTZJ,X,X,O,X,X,X,X,X
LSIOJTZ,X,O,X,O,X,X,X,X
LSIOJZT,X,O,O,O,X,X,X,X
LSIOZTJ,X,O,X,X,X,X,O,X
LSIOZJT,X,O,O,X,X,X,X,X
LSJTIZO,X,O,O,X,O,X,X,X
LSJTIOZ,X,O,O,O,O,X,X,X
LSJTZIO,O,O,O,X,X,X,X,X
LSJTZOI,O,O,O,X,X,X,X,X
LSJTOIZ,X,O,O,O,X,X,X,X
LSJTOZI,O,O,O,X,X,X,X,X
LSJITZO,X,X,O,X,O,X,X,X
LSJITOZ,X,O,O,X,O,X,X,X
LSJIZTO,X,O,O,X,X,X,X,X
LSJIZOT,X,O,O,X,O,X,X,X
LSJIOTZ,X,O,X,O,O,X,X,X
LSJIOZT,X,O,O,O,O,X,X,X
LSJZTIO,O,O,O,X,X,X,O,X
LSJZTOI,O,O,O,X,X,X,O,X
LSJZITO,O,O,O,X,X,X,X,X
LSJZIOT,O,O,O,X,X,X,X,X
LSJZOTI,O,O,O,X,X,X,O,X
LSJZOIT,O,O,O,X,X,X,X,X
LSJOTIZ,X,O,X,O,X,X,X,X
LSJOTZI,O,O,X,X,X,X,X,X
LSJOITZ,X,O,X,O,X,X,X,X
LSJOIZT,X,O,O,O,X,X,X,X
LSJOZTI,O,O,O,X,X,X,O,X
LSJOZIT,O,O,O,X,X,X,X,X
LSZTIJO,O,O,O,X,X,X,O,X
LSZTIOJ,O,O,O,X,X,X,O,X
LSZTJIO,O,O,O,X,X,X,O,X
LSZTJOI,O,O,O,X,X,X,O,X
LSZTOIJ,O,O,O,X,X,X,O,X
LSZTOJI,O,O,O,X,X,X,O,X
LSZITJO,O,O,O,X,X,X,O,X
LSZITOJ,O,O,O,X,X,X,O,X
LSZIJTO,O,O,O,X,X,X,X,X
LSZIJOT,O,O,O,X,X,X,X,X
LSZIOTJ,O,O,X,X,X,X,O,X
LSZIOJT,O,O,O,X,X,X,X,X
LSZJTIO,O,O,O,X,X,X,O,X
LSZJTOI,O,O,O,X,X,X,O,X
LSZJITO,O,O,O,X,X,X,X,X
LSZJIOT,O,O,O,X,X,X,X,X
LSZJOTI,O,O,O,X,X,X,O,X
LSZJOIT,O,O,O,X,X,X,X,X
LSZOTIJ,O,O,X,X,X,X,O,X
LSZOTJI,O,O,X,X,X,X,O,X
LSZOITJ,O,O,X,X,X,X,O,X
LSZOIJT,O,O,O,X,X,X,X,X
LSZOJTI,O,O,O,X,X,X,O,X
LSZOJIT,O,O,O,X,X,X,X,X
LSOTIJZ,X,O,O,O,X,X,X,X
LSOTIZJ,X,O,O,X,X,X,X,X
LSOTJIZ,X,O,O,O,X,X,X,X
LSOTJZI,O,O,O,X,X,O,X,X
LSOTZIJ,O,O,O,X,X,O,O,X
LSOTZJI,O,O,O,X,X,O,O,X
LSOITJZ,X,O,O,X,X,X,X,X
LSOITZJ,X,X,O,X,X,X,X,X
LSOIJTZ,X,O,X,O,X,X,X,X
LSOIJZT,X,O,O,O,X,X,X,X
LSOIZTJ,X,O,X,X,X,X,O,X
LSOIZJT,X,O,O,X,X,X,X,X
LSOJTIZ,X,O,X,O,X,X,X,X
LSOJTZI,O,O,X,X,X,O,X,X
LSOJITZ,X,O,X,O,X,X,X,X
LSOJIZT,X,O,O,O,X,X,X,X
LSOJZTI,O,O,O,X,X,X,O,X
LSOJZIT,O,O,O,X,X,X,X,X
LSOZTIJ,O,O,X,X,X,X,O,X
LSOZTJI,O,O,X,X,X,X,O,X
LSOZITJ,O,O,X,X,X,X,O,X
LSOZIJT,O,O,O,X,X,X,X,X
LSOZJTI,O,O,O,X,X,X,O,X
LSOZJIT,O,O,O,X,X,X,X,X
LZTIJSO,O,X,X,X,O,X,X,X
LZTIJOS,O,X,X,O,O,X,X,X
LZTISJO,O,X,X,X,X,X,X,X
LZTISOJ,O,X,X,X,X,X,X,X
LZTIOJS,O,X,X,O,X,X,X,X
LZTIOSJ,O,X,X,X,X,X,X,X
LZTJISO,O,X,X,X,O,X,X,X
LZTJIOS,O,X,X,O,O,X,X,X
LZTJSIO,O,O,X,X,X,X,X,X
LZTJSOI,O,O,X,X,X,X,X,X
LZTJOIS,O,X,X,O,X,X,X,X
LZTJOSI,O,O,X,X,X,X,X,X
LZTSIJO,O,O,X,X,X,X,X,X
LZTSIOJ,O,O,X,X,X,X,X,X
LZTSJIO,O,O,X,X,X,X,X,X
LZTSJOI,O,O,X,X,X,X,X,X
LZTSOIJ,O,O,X,X,X,X,X,X
LZTSOJI,O,O,X,X,X,X,X,X
LZTOIJS,O,X,X,O,X,X,X,X
LZTOISJ,O,X,X,X,X,X,X,X
LZTOJIS,O,X,X,O,X,X,X,X
LZTOJSI,O,O,X,X,X,X,X,X
LZTOSIJ,O,O,X,X,X,X,X,X
LZTOSJI,O,O,X,X,X,X,X,X
LZITJSO,X,X,X,X,X,X,X,X
LZITJOS,O,X,X,X,X,X,X,X
LZITSJO,X,X,X,X,X,X,X,X
LZITSOJ,X,X,X,X,X,X,X,X
LZITOJS,O,X,X,X,X,X,X,X
LZITOSJ,X,X,X,X,X,X,X,X
LZIJTSO,X,X,X,X,O,X,X,X
LZIJTOS,O,X,X,X,O,X,X,X
LZIJSTO,O,X,O,X,X,X,X,X
LZIJSOT,O,X,O,X,O,X,X,X
LZIJOTS,O,X,X,O,O,X,X,X
LZIJOST,O,X,X,O,O,X,X,X
LZISTJO,O,X,O,X,X,X,X,X
LZISTOJ,O,X,X,X,X,X,X,X
LZISJTO,O,X,O,X,X,X,X,X
LZISJOT,O,X,O,X,X,X,X,X
LZISOTJ,O,X,X,X,X,X,X,X
LZISOJT,O,X,O,X,X,X,X,X
LZIOTJS,O,X,X,X,X,X,X,X
LZIOTSJ,X,X,X,X,X,X,X,X
LZIOJTS,O,X,X,O,X,X,X,X
LZIOJST,O,X,X,O,X,X,X,X
LZIOSTJ,O,X,X,X,X,X,X,X
LZIOSJT,O,X,X,X,X,X,X,X
LZJTISO,O,X,X,X,O,X,X,X
LZJTIOS,O,X,X,O,O,X,X,X
LZJTSIO,O,O,X,X,X,X,X,X
LZJTSOI,O,O,X,X,X,X,X,X
LZJTOIS,O,X,X,O,X,X,X,X
LZJTOSI,O,O,X,X,X,X,X,X
LZJITSO,X,X,X,X,O,X,X,X
LZJITOS,O,X,X,X,O,X,X,X
LZJISTO,O,X,O,X,X,X,X,X
LZJISOT,O,X,O,X,O,X,X,X
LZJIOTS,O,X,X,O,O,X,X,X
LZJIOST,O,X,X,O,O,X,X,X
LZJSTIO,O,O,O,X,X,X,X,X
LZJSTOI,O,O,O,X,X,X,X,X
LZJSITO,O,O,O,X,X,X,X,X
LZJSIOT,O,O,O,X,X,X,X,X
LZJSOTI,O,O,O,X,X,X,X,X
LZJSOIT,O,O,O,X,X,X,X,X
LZJOTIS,O,X,X,O,X,X,X,X
LZJOTSI,O,O,X,X,X,X,X,X
LZJOITS,O,X,X,O,X,X,X,X
LZJOIST,O,X,X,O,X,X,X,X
LZJOSTI,O,O,X,X,X,X,X,O
LZJOSIT,O,O,X,X,X,X,X,X
LZSTIJO,O,O,O,X,X,X,O,X
LZSTIOJ,O,O,X,X,X,X,O,X
LZSTJIO,O,O,O,X,X,X,O,X
LZSTJOI,O,O,O,X,X,X,O,X
LZSTOIJ,O,O,X,X,X,X,O,X
LZSTOJI,O,O,X,X,X,X,O,X
LZSITJO,O,O,O,X,X,X,O,X
LZSITOJ,O,O,X,X,X,X,O,X
LZSIJTO,O,O,O,X,X,X,X,X
LZSIJOT,O,O,O,X,X,X,X,X
LZSIOTJ,O,O,X,X,X,X,O,X
LZSIOJT,O,O,O,X,X,X,X,X
LZSJTIO,O,O,O,X,X,X,O,X
LZSJTOI,O,O,O,X,X,X,O,X
LZSJITO,O,O,O,X,X,X,X,X
LZSJIOT,O,O,O,X,X,X,X,X
LZSJOTI,O,O,O,X,X,X,O,X
LZSJOIT,O,O,O,X,X,X,X,X
LZSOTIJ,O,O,X,X,X,X,O,X
LZSOTJI,O,O,X,X,X,X,O,X
LZSOITJ,O,O,X,X,X,X,O,X
LZSOIJT,O,O,O,X,X,X,X,X
LZSOJTI,O,O,O,X,X,X,O,X
LZSOJIT,O,O,O,X,X,X,X,X
LZOTIJS,O,X,X,O,X,X,X,X
LZOTISJ,O,X,X,X,X,X,X,X
LZOTJIS,O,X,X,O,X,X,X,X
LZOTJSI,O,O,X,X,X,X,X,X
LZOTSIJ,O,O,X,X,X,X,X,X
LZOTSJI,O,O,X,X,X,X,X,X
LZOITJS,O,X,X,X,X,X,X,X
LZOITSJ,X,X,X,X,X,X,X,X
LZOIJTS,O,X,X,O,X,X,X,X
LZOIJST,O,X,X,O,X,X,X,X
LZOISTJ,O,X,X,X,X,X,X,X
LZOISJT,O,X,X,X,X,X,X,X
LZOJTIS,O,X,X,O,X,X,X,X
LZOJTSI,O,O,X,X,X,X,X,X
LZOJITS,O,X,X,O,X,X,X,X
LZOJIST,O,X,X,O,X,X,X,X
LZOJSTI,O,O,X,X,X,X,X,O
LZOJSIT,O,O,X,X,X,X,X,X
LZOSTIJ,O,O,X,X,X,X,O,X
LZOSTJI,O,O,X,X,X,X,O,X
LZOSITJ,O,O,X,X,X,X,O,X
LZOSIJT,O,O,X,X,X,X,X,X
LZOSJTI,O,O,X,X,X,X,O,O
LZOSJIT,O,O,X,X,X,X,X,X
LOTIJSZ,X,O,X,O,O,X,X,X
LOTIJZS,O,X,X,O,O,X,X,X
LOTISJZ,X,O,X,O,X,X,X,X
LOTISZJ,X,O,X,X,X,X,X,X
LOTIZJS,O,X,X,O,X,X,X,X
LOTIZSJ,O,X,X,X,X,X,X,X
LOTJISZ,X,O,X,O,O,X,X,X
LOTJIZS,O,X,X,O,O,X,X,X
LOTJSIZ,X,O,X,O,X,X,X,X
LOTJSZI,O,O,X,X,X,X,X,X
LOTJZIS,O,X,X,O,X,X,X,X
LOTJZSI,O,O,X,X,X,X,X,X
LOTSIJZ,X,O,X,O,X,X,X,X
LOTSIZJ,X,O,X,X,X,X,X,X
LOTSJIZ,X,O,X,O,X,X,X,X
LOTSJZI,O,O,X,X,X,X,X,X
LOTSZIJ,O,O,X,X,X,X,O,X
LOTSZJI,O,O,X,X,X,X,O,X
LOTZIJS,O,X,X,O,X,X,X,X
LOTZISJ,O,X,X,X,X,X,X,X
LOTZJIS,O,X,X,O,X,X,X,X
LOTZJSI,O,O,X,X,X,X,X,X
LOTZSIJ,O,O,X,X,X,X,X,X
LOTZSJI,O,O,X,X,X,X,X,X
LOITJSZ,X,O,X,O,X,X,X,X
LOITJZS,O,X,X,O,X,X,X,X
LOITSJZ,X,O,X,O,X,X,X,X
LOITSZJ,X,O,X,X,X,X,X,X
LOITZJS,O,X,X,O,X,X,X,X
LOITZSJ,O,X,X,X,X,X,X,X
LOIJTSZ,X,O,X,O,O,X,X,X
LOIJTZS,O,X,X,O,O,X,X,X
LOIJSTZ,X,O,X,O,O,X,X,X
LOIJSZT,X,O,X,O,O,X,X,X
LOIJZTS,O,X,X,O,O,X,X,X
LOIJZST,O,X,X,O,O,X,X,X
LOISTJZ,X,O,X,X,X,X,X,X
LOISTZJ,X,X,X,X,X,X,X,X
LOISJTZ,X,O,X,O,X,X,X,X
LOISJZT,X,O,X,O,X,X,X,X
LOISZTJ,X,O,X,X,X,X,O,X
LOISZJT,X,O,X,X,X,X,X,X
LOIZTJS,O,X,X,X,X,X,X,X
LOIZTSJ,X,X,X,X,X,X,X,X
LOIZJTS,O,X,X,O,X,X,X,X
LOIZJST,O,X,X,O,X,X,X,X
LOIZSTJ,O,X,X,X,X,X,X,X
LOIZSJT,O,X,X,X,X,X,X,X
LOJTISZ,X,O,X,O,O,X,X,X
LOJTIZS,O,X,X,O,O,X,X,X
LOJTSIZ,X,O,X,O,X,X,X,X
LOJTSZI,O,O,X,X,X,X,X,X
LOJTZIS,O,X,X,O,X,X,X,X
LOJTZSI,O,O,X,X,X,X,X,X
LOJITSZ,X,O,X,O,O,X,X,X
LOJITZS,O,X,X,O,O,X,X,X
LOJISTZ,X,O,X,O,O,X,X,X
LOJISZT,X,O,X,O,O,X,X,X
LOJIZTS,O,X,X,O,O,X,X,X
LOJIZST,O,X,X,O,O,X,X,X
LOJSTIZ,X,O,X,O,X,X,X,X
LOJSTZI,O,O,X,X,X,O,X,X
LOJSITZ,X,O,X,O,X,X,X,X
LOJSIZT,X,O,X,O,X,X,X,X
LOJSZTI,O,O,X,X,X,X,O,X
LOJSZIT,O,O,X,X,X,X,X,X
LOJZTIS,O,X,X,O,X,X,X,X
LOJZTSI,O,O,X,X,X,X,X,X
LOJZITS,O,X,X,O,X,X,X,X
LOJZIST,O,X,X,O,X,X,X,X
LOJZSTI,O,O,X,X,X,X,X,X
LOJZSIT,O,O,X,X,X,X,X,X
LOSTIJZ,X,O,X,O,X,X,X,X
LOSTIZJ,X,O,X,X,X,X,X,X
LOSTJIZ,X,O,X,O,X,X,X,X
LOSTJZI,O,O,X,X,X,O,X,X
LOSTZIJ,O,O,X,X,X,O,O,X
LOSTZJI,O,O,X,X,X,O,O,X
LOSITJZ,X,O,X,X,X,X,X,X
LOSITZJ,X,X,X,X,X,X,X,X
LOSIJTZ,X,O,X,O,X,X,X,X
LOSIJZT,X,O,X,O,X,X,X,X
LOSIZTJ,X,O,X,X,X,X,O,X
LOSIZJT,X,O,X,X,X,X,X,X
LOSJTIZ,X,O,X,O,X,X,X,X
LOSJTZI,O,O,X,X,X,O,X,X
LOSJITZ,X,O,X,O,X,X,X,X
LOSJIZT,X,O,X,O,X,X,X,X
LOSJZTI,O,O,X,X,X,X,O,X
LOSJZIT,O,O,X,X,X,X,X,X
LOSZTIJ,O,O,X,X,X,X,O,X
LOSZTJI,O,O,X,X,X,X,O,X
LOSZITJ,O,O,X,X,X,X,O,X
LOSZIJT,O,O,X,X,X,X,X,X
LOSZJTI,O,O,X,X,X,X,O,O
LOSZJIT,O,O,X,X,X,X,X,X
LOZTIJS,O,X,X,O,X,X,X,X
LOZTISJ,O,X,X,X,X,X,X,X
LOZTJIS,O,X,X,O,X,X,X,X
LOZTJSI,O,O,X,X,X,X,X,X
LOZTSIJ,O,O,X,X,X,X,X,X
LOZTSJI,O,O,X,X,X,X,X,X
LOZITJS,O,X,X,X,X,X,X,X
LOZITSJ,X,X,X,X,X,X,X,X
LOZIJTS,O,X,X,O,X,X,X,X
LOZIJST,O,X,X,O,X,X,X,X
LOZISTJ,O,X,X,X,X,X,X,X
LOZISJT,O,X,X,X,X,X,X,X
LOZJTIS,O,X,X,O,X,X,X,X
LOZJTSI,O,O,X,X,X,X,X,X
LOZJITS,O,X,X,O,X,X,X,X
LOZJIST,O,X,X,O,X,X,X,X
LOZJSTI,O,O,X,X,X,X,X,O
LOZJSIT,O,O,X,X,X,X,X,X
LOZSTIJ,O,O,X,X,X,X,O,X
LOZSTJI,O,O,X,X,X,X,O,X
LOZSITJ,O,O,X,X,X,X,O,X
LOZSIJT,O,O,X,X,X,X,X,X
LOZSJTI,O,O,X,X,X,X,O,O
LOZSJIT,O,O,X,X,X,X,X,X
JTILSZO,X,O,O,X,O,X,X,X
JTILSOZ,X,O,O,O,O,X,X,X
JTILZSO,O,X,O,X,O,X,X,X
JTILZOS,O,X,X,O,O,X,X,X
JTILOSZ,X,O,X,O,O,X,X,X
JTILOZS,O,X,X,O,O,X,X,X
JTISLZO,X,O,O,X,O,X,X,X
JTISLOZ,X,O,O,O,O,X,X,X
JTISZLO,X,O,O,X,X,X,X,X
JTISZOL,X,X,O,X,X,X,X,X
JTISOLZ,X,O,O,X,X,X,X,X
JTISOZL,X,X,O,X,X,X,X,X
JTIZLSO,O,X,O,X,O,X,X,X
JTIZLOS,O,X,X,O,O,X,X,X
JTIZSLO,O,X,O,X,X,X,X,X
JTIZSOL,X,X,O,X,X,X,X,X
JTIZOLS,O,X,X,X,X,X,X,X
JTIZOSL,X,X,O,X,X,X,X,X
JTIOLSZ,X,X,X,O,O,X,X,X
JTIOLZS,X,X,X,O,O,X,X,X
JTIOSLZ,X,X,O,X,X,X,X,X
JTIOSZL,X,X,O,X,X,X,X,X
JTIOZLS,X,X,X,X,X,X,X,X
JTIOZSL,X,X,O,X,X,X,X,X
JTLISZO,X,O,O,X,O,X,X,X
JTLISOZ,X,O,O,O,O,X,X,X
JTLIZSO,O,X,O,X,O,X,X,X
JTLIZOS,O,X,X,O,O,X,X,X
JTLIOSZ,X,O,X,O,O,X,X,X
JTLIOZS,O,X,X,O,O,X,X,X
JTLSIZO,X,O,O,X,O,X,X,X
JTLSIOZ,X,O,O,O,O,X,X,X
JTLSZIO,O,O,O,X,X,X,X,X
JTLSZOI,O,O,O,X,X,X,X,X
JTLSOIZ,X,O,O,O,X,X,X,X
JTLSOZI,O,O,O,X,X,X,X,X
JTLZISO,O,X,O,X,O,X,X,X
JTLZIOS,O,X,X,O,O,X,X,X
JTLZSIO,O,O,O,X,X,X,X,X
JTLZSOI,O,O,O,X,X,X,X,X
JTLZOIS,O,X,X,O,X,X,X,X
JTLZOSI,O,O,X,X,X,X,X,X
JTLOISZ,X,O,X,O,O,X,X,X
JTLOIZS,O,X,X,O,O,X,X,X
JTLOSIZ,X,O,X,O,X,X,X,X
JTLOSZI,O,O,X,X,X,X,X,X
JTLOZIS,O,X,X,O,X,X,X,X
JTLOZSI,O,O,X,X,X,X,X,X
JTSILZO,X,O,O,X,O,X,X,X
JTSILOZ,X,O,O,O,O,X,X,X
JTSIZLO,X,O,O,X,X,X,X,X
JTSIZOL,X,X,O,X,X,X,X,X
JTSIOLZ,X,O,O,X,X,X,X,X
JTSIOZL,X,X,O,X,X,X,X,X
JTSLIZO,X,O,O,X,O,X,X,X
JTSLIOZ,X,O,O,O,O,X,X,X
JTSLZIO,O,O,O,X,X,X,X,X
JTSLZOI,O,O,O,X,X,X,X,X
JTSLOIZ,X,O,O,O,X,X,X,X
JTSLOZI,O,O,O,X,X,X,X,X
JTSZILO,O,O,O,X,X,X,X,X
JTSZIOL,X,X,O,X,X,X,X,X
JTSZLIO,O,O,O,X,X,X,X,X
JTSZLOI,O,O,O,X,X,X,X,X
JTSZOIL,X,X,O,X,X,X,X,X
JTSZOLI,X,X,O,X,X,X,X,X
JTSOILZ,X,O,O,X,X,X,X,X
JTSOIZL,X,X,O,X,X,X,X,X
