sequence,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBCdBTeBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEuhBciBTeBa?mBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEWiBTeBamBX?iBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEicBTeB1mBx?rBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBTeBUhB6?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEfiBSjBUhBl?nBmrB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEFdBTeBimB/?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhEFdBTeBimBG?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhExcBTeBlmBi?mBcsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeG7IvhEZhBTeBUnBC?nBFsB,v115@zgA8IeC8GeD8CeG8DeH8AeC8JeR7IvhETeBFhB3mB+?nBasB
TLOSJZI,O,X,O,X,X,X,O,X,X,X,X
TLOSZIJ,O,O,X,X,X,X,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X,O,X,X,X,X
TLOZIJS,X,O,O,X,X,X,X,O,O,X,X
TLOZISJ,X,O,X,X,X,X,X,O,O,X,X
TLOZJIS,X,O,O,X,X,X,X,O,O,X,X
TLOZJSI,X,O,O,X,X,X,O,O,O,X,X
TLOZSIJ,X,O,X,X,X,X,O,O,O,X,X
TLOZSJI,X,O,X,X,X,X,O,X,O,X,X
TJILSZO,O,X,X,X,X,X,X,X,X,X,X
TJILSOZ,O,X,O,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,O,X,O,X,X,X,X,X
TJILZOS,X,X,O,O,X,X,X,X,X,X,X
TJILOSZ,O,X,O,X,X,X,X,X,X,X,X
TJILOZS,X,X,O,O,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,O,X,X,X,X,X,X,X
TJISZOL,O,X,X,O,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,X,X,X,X
TJISOZL,O,X,X,O,X,X,X,X,X,X,X
TJIZLSO,X,X,X,O,X,O,X,X,O,X,X
TJIZLOS,X,O,X,O,X,X,X,X,O,O,X
TJIZSLO,O,X,X,O,O,O,X,X,X,X,X
TJIZSOL,O,O,X,O,O,X,X,X,O,X,X
TJIZOLS,X,O,X,O,X,X,X,X,O,O,X
TJIZOSL,O,O,X,O,O,X,X,X,O,X,X
TJIOLSZ,O,X,O,X,X,X,X,X,X,X,X
TJIOLZS,X,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,X,X,X,X
TJIOSZL,O,X,X,O,X,X,X,X,X,X,X
TJIOZLS,X,O,X,O,X,X,X,X,O,O,X
TJIOZSL,O,O,X,O,O,X,X,X,O,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,O,X,X,X,X,X,X,X,X
TJLIZSO,X,O,X,X,X,O,X,X,X,X,X
TJLIZOS,X,O,O,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,O,X,X,X,X,X,X,X,X
TJLIOZS,X,O,O,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X,O,X,X,X,X
TJLSZOI,O,X,X,X,X,X,O,X,X,X,X
TJLSOIZ,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,O,X,O,X,X,X,O,X,X,X,X
TJLZISO,X,O,X,X,X,O,X,X,O,X,X
TJLZIOS,X,O,O,X,X,X,X,X,O,X,X
TJLZSIO,X,O,X,X,X,O,O,X,O,X,X
TJLZSOI,X,O,X,X,X,O,O,X,O,X,X
TJLZOIS,X,O,O,X,X,X,X,X,O,X,X
TJLZOSI,X,O,O,X,X,X,O,X,O,X,X
TJLOISZ,O,X,O,X,X,X,X,X,X,X,X
TJLOIZS,X,O,O,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,O,X,X,X,X,X,X,X,X
TJLOSZI,O,X,O,X,X,X,O,X,X,X,X
TJLOZIS,X,O,O,X,X,X,X,X,O,X,X
TJLOZSI,X,O,O,X,X,X,O,X,O,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X
TJSIZOL,O,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,O,X,X,X,X,X,X,X,X
TJSLOZI,O,X,O,X,X,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X,X,X
TJSZIOL,O,X,X,X,X,X,X,X,O,X,X
TJSZLIO,O,X,X,X,X,X,X,X,O,X,X
TJSZLOI,O,X,X,X,X,X,X,X,O,X,X
TJSZOIL,O,X,X,X,X,X,X,X,O,X,X
TJSZOLI,O,X,X,X,X,X,X,X,O,X,X
TJSOILZ,O,X,X,X,X,X,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,O,X,O,X,X,X,X,X,X,X,X
TJSOLZI,O,X,O,X,X,X,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X,X,X,O,X,X
TJSOZLI,O,X,X,X,X,X,X,X,O,X,X
TJZILSO,X,O,X,X,X,O,X,X,O,X,X
TJZILOS,X,O,X,X,X,X,X,X,O,O,X
TJZISLO,O,X,X,X,O,O,X,X,X,X,X
TJZISOL,O,O,X,X,O,X,X,X,O,X,X
TJZIOLS,X,O,X,X,X,X,X,X,O,O,X
TJZIOSL,O,O,X,X,O,X,X,X,O,X,X
TJZLISO,X,O,X,X,X,O,X,X,O,X,X
TJZLIOS,X,O,O,X,X,X,X,X,O,X,X
TJZLSIO,X,O,X,X,X,O,X,X,O,X,X
TJZLSOI,X,O,X,X,X,O,X,X,O,X,X
TJZLOIS,X,O,O,X,X,X,X,X,O,X,X
TJZLOSI,X,O,O,X,X,X,X,X,O,X,X
TJZSILO,O,X,X,X,O,O,X,X,X,X,X
TJZSIOL,O,O,X,X,O,X,X,X,O,X,X
TJZSLIO,O,O,X,X,O,O,X,X,O,X,X
TJZSLOI,O,O,X,X,O,O,X,X,O,X,X
TJZSOIL,O,O,X,X,O,X,X,X,O,X,X
TJZSOLI,O,O,X,X,O,X,X,X,O,X,X
TJZOILS,X,O,X,X,X,X,X,X,O,O,X
TJZOISL,O,O,X,X,O,X,X,X,O,X,X
TJZOLIS,X,O,O,X,X,X,X,X,O,X,X
TJZOLSI,X,O,O,X,X,X,X,X,O,X,X
TJZOSIL,O,O,X,X,O,X,X,X,O,X,X
TJZOSLI,O,O,X,X,O,X,X,X,O,X,X
TJOILSZ,O,X,O,X,X,X,X,X,X,X,X
TJOILZS,X,X,O,O,X,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X,X,X,X,X,X
TJOISZL,O,X,X,O,X,X,X,X,X,X,X
TJOIZLS,X,O,X,O,X,X,X,X,O,O,X
TJOIZSL,O,O,X,O,O,X,X,X,O,X,X
TJOLISZ,O,X,O,X,X,X,X,X,X,X,X
TJOLIZS,X,O,O,X,X,X,X,X,X,X,X
TJOLSIZ,O,X,O,X,X,X,X,X,X,X,X
TJOLSZI,O,X,O,X,X,X,O,X,X,X,X
TJOLZIS,X,O,O,X,X,X,X,X,O,X,X
TJOLZSI,X,O,O,X,X,X,O,X,O,X,X
