sequence,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeqGJvhFTiB5oBlkB3?lBmlB0pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke2EJvhFTiB5oBFmBC?lB0mBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeUAJvhFamBGiB5oBz?mBFqB/pB,v115@FhA8IeA8AeA8FeB8AeA8BeF8KeT/IvhFcnB5oBVqBG?mBimBXqB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBSnB5oBV?rBmmBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBC?nBFnBzpB,v115@FhA8IeA8AeA8FeB8AeA8BeF8Ke/EJvhFclBemB5oBF?nBCnBzpB
JLIOZTS,X,X,O,X,X,X,X
JLIOZST,X,X,X,X,X,O,X
JLSTIZO,X,X,X,X,O,O,O
JLSTIOZ,O,X,X,X,X,X,X
JLSTZIO,X,X,X,X,O,O,O
JLSTZOI,X,X,X,X,X,X,X
JLSTOIZ,O,X,X,X,X,X,X
JLSTOZI,X,X,X,X,X,X,X
JLSITZO,X,X,X,X,O,O,O
JLSITOZ,O,X,X,X,X,X,X
JLSIZTO,X,X,X,X,X,O,O
JLSIZOT,X,X,X,X,X,O,X
JLSIOTZ,O,X,X,X,X,X,X
JLSIOZT,X,X,X,X,X,O,X
JLSZTIO,X,X,X,X,X,O,O
JLSZTOI,X,X,X,X,X,X,X
JLSZITO,X,X,X,X,X,O,O
JLSZIOT,X,X,X,X,X,O,X
JLSZOTI,X,X,X,X,X,X,X
JLSZOIT,X,X,X,X,X,O,X
JLSOTIZ,O,X,X,X,X,X,X
JLSOTZI,X,X,X,X,X,X,X
JLSOITZ,O,X,X,X,X,X,X
JLSOIZT,X,X,X,X,X,O,X
JLSOZTI,X,X,X,X,X,X,X
JLSOZIT,X,X,X,X,X,O,X
JLZTISO,X,X,X,X,X,O,O
JLZTIOS,X,X,X,O,X,X,X
JLZTSIO,X,X,X,X,X,O,O
JLZTSOI,X,X,X,X,X,X,X
JLZTOIS,X,X,X,O,X,X,X
JLZTOSI,X,X,X,X,X,X,X
JLZITSO,X,X,X,X,X,O,O
JLZITOS,X,X,X,O,X,X,X
JLZISTO,X,X,X,X,X,O,O
JLZISOT,X,X,X,X,X,O,X
JLZIOTS,X,X,X,X,X,X,X
JLZIOST,X,X,X,X,X,O,X
JLZSTIO,X,X,X,X,X,O,O
JLZSTOI,X,X,X,X,X,X,X
JLZSITO,X,X,X,X,X,O,O
JLZSIOT,X,X,X,X,X,O,X
JLZSOTI,X,X,X,X,X,X,X
JLZSOIT,X,X,X,X,X,O,X
JLZOTIS,X,X,X,X,X,X,X
JLZOTSI,X,X,X,X,X,X,X
JLZOITS,X,X,X,X,X,X,X
JLZOIST,X,X,X,X,X,O,X
JLZOSTI,X,X,X,X,X,X,X
JLZOSIT,X,X,X,X,X,O,X
JLOTISZ,O,O,O,X,X,X,X
JLOTIZS,X,O,O,X,X,X,X
JLOTSIZ,O,X,O,X,X,X,X
JLOTSZI,X,X,X,X,X,X,X
JLOTZIS,X,X,O,X,X,X,X
JLOTZSI,X,X,X,X,X,X,X
JLOITSZ,O,O,O,X,X,X,X
JLOITZS,X,O,O,X,X,X,X
JLOISTZ,O,X,O,X,X,X,X
JLOISZT,X,X,X,X,X,O,X
JLOIZTS,X,X,O,X,X,X,X
JLOIZST,X,X,X,X,X,O,X
JLOSTIZ,O,X,O,X,X,X,X
JLOSTZI,X,X,X,X,X,X,X
JLOSITZ,O,X,O,X,X,X,X
JLOSIZT,X,X,X,X,X,O,X
JLOSZTI,X,X,X,X,X,X,X
JLOSZIT,X,X,X,X,X,O,X
JLOZTIS,X,X,O,X,X,X,X
JLOZTSI,X,X,X,X,X,X,X
JLOZITS,X,X,O,X,X,X,X
JLOZIST,X,X,X,X,X,O,X
JLOZSTI,X,X,X,X,X,X,X
JLOZSIT,X,X,X,X,X,O,X
JSTILZO,X,X,X,X,O,O,O
JSTILOZ,O,O,X,X,X,X,X
JSTIZLO,X,X,X,X,O,O,O
JSTIZOL,X,O,X,O,X,X,O
JSTIOLZ,O,O,X,X,X,X,X
JSTIOZL,X,O,X,O,X,X,O
JSTLIZO,X,X,X,X,O,O,O
JSTLIOZ,O,O,X,X,X,X,X
JSTLZIO,X,X,X,X,O,O,O
JSTLZOI,X,X,X,X,X,X,X
JSTLOIZ,O,O,X,X,X,X,X
JSTLOZI,X,X,X,X,X,X,X
JSTZILO,X,X,X,X,O,O,O
JSTZIOL,X,O,X,O,X,X,O
JSTZLIO,X,X,X,X,O,O,O
JSTZLOI,X,X,X,X,X,X,X
JSTZOIL,X,O,X,O,X,X,O
JSTZOLI,X,X,X,X,X,X,X
JSTOILZ,O,O,X,X,X,X,X
JSTOIZL,X,O,X,O,X,X,O
JSTOLIZ,O,O,X,X,X,X,X
JSTOLZI,X,X,X,X,X,X,X
JSTOZIL,X,O,X,O,X,X,O
JSTOZLI,X,X,X,X,X,X,X
JSITLZO,X,X,X,X,O,O,O
JSITLOZ,O,O,X,X,X,X,X
JSITZLO,X,X,X,X,O,O,O
JSITZOL,X,O,X,O,X,X,O
JSITOLZ,O,O,X,X,X,X,X
JSITOZL,X,O,X,O,X,X,O
JSILTZO,X,X,X,X,O,O,O
JSILTOZ,O,O,X,X,X,X,X
JSILZTO,X,X,X,X,X,O,O
JSILZOT,X,X,X,X,X,O,X
JSILOTZ,O,O,X,X,X,X,X
JSILOZT,X,X,X,X,X,O,X
JSIZTLO,X,X,X,X,X,O,O
JSIZTOL,X,O,X,O,X,X,O
JSIZLTO,X,X,X,X,X,O,O
JSIZLOT,X,X,X,X,X,O,X
JSIZOTL,X,O,X,X,X,X,O
JSIZOLT,X,X,X,X,X,O,X
JSIOTLZ,O,O,O,X,X,X,X
JSIOTZL,X,O,X,X,X,X,O
JSIOLTZ,O,O,O,X,X,X,X
JSIOLZT,X,X,X,X,X,O,X
JSIOZTL,X,O,X,X,X,X,O
JSIOZLT,X,X,X,X,X,O,X
JSLTIZO,X,X,X,X,O,O,O
JSLTIOZ,O,O,X,X,X,X,X
JSLTZIO,X,X,X,X,O,O,O
JSLTZOI,X,X,X,X,X,X,X
JSLTOIZ,O,O,X,X,X,X,X
JSLTOZI,X,X,X,X,X,X,X
JSLITZO,X,X,X,X,O,O,O
JSLITOZ,O,O,X,X,X,X,X
JSLIZTO,X,X,X,X,X,O,O
JSLIZOT,X,X,X,X,X,O,X
JSLIOTZ,O,O,X,X,X,X,X
JSLIOZT,X,X,X,X,X,O,X
JSLZTIO,X,X,X,X,X,O,O
JSLZTOI,X,X,X,X,X,X,X
JSLZITO,X,X,X,X,X,O,O
JSLZIOT,X,X,X,X,X,O,X
JSLZOTI,X,X,X,X,X,X,X
JSLZOIT,X,X,X,X,X,O,X
JSLOTIZ,O,O,X,X,X,X,X
JSLOTZI,X,X,X,X,X,X,X
JSLOITZ,O,O,X,X,X,X,X
JSLOIZT,X,X,X,X,X,O,X
JSLOZTI,X,X,X,X,X,X,X
JSLOZIT,X,X,X,X,X,O,X
JSZTILO,X,X,X,X,X,O,O
JSZTIOL,X,O,X,O,X,X,O
JSZTLIO,X,X,X,X,X,O,O
JSZTLOI,X,X,X,X,X,X,X
JSZTOIL,X,O,X,O,X,X,O
JSZTOLI,X,X,X,X,X,X,X
JSZITLO,X,X,X,X,X,O,O
JSZITOL,X,O,X,O,X,X,O
JSZILTO,X,X,X,X,X,O,O
JSZILOT,X,X,X,X,X,O,X
JSZIOTL,X,O,X,X,X,X,O
JSZIOLT,X,X,X,X,X,O,X
JSZLTIO,X,X,X,X,X,O,O
JSZLTOI,X,X,X,X,X,X,X
JSZLITO,X,X,X,X,X,O,O
JSZLIOT,X,X,X,X,X,O,X
JSZLOTI,X,X,X,X,X,X,X
JSZLOIT,X,X,X,X,X,O,X
JSZOTIL,X,O,X,X,X,X,O
JSZOTLI,X,X,X,X,X,X,X
JSZOITL,X,O,X,X,X,X,O
JSZOILT,X,X,X,X,X,O,X
JSZOLTI,X,X,X,X,X,X,X
JSZOLIT,X,X,X,X,X,O,X
JSOTILZ,O,O,O,X,X,X,X
JSOTIZL,X,O,X,X,X,X,O
JSOTLIZ,O,O,O,X,X,X,X
JSOTLZI,X,X,X,X,X,X,X
JSOTZIL,X,O,X,X,X,X,O
JSOTZLI,X,X,X,X,X,X,X
JSOITLZ,O,O,O,X,X,X,X
JSOITZL,X,O,X,X,X,X,O
JSOILTZ,O,O,O,X,X,X,X
JSOILZT,X,X,X,X,X,O,X
JSOIZTL,X,O,X,X,X,X,O
JSOIZLT,X,X,X,X,X,O,X
JSOLTIZ,O,O,O,X,X,X,X
JSOLTZI,X,X,X,X,X,X,X
JSOLITZ,O,O,O,X,X,X,X
JSOLIZT,X,X,X,X,X,O,X
JSOLZTI,X,X,X,X,X,X,X
JSOLZIT,X,X,X,X,X,O,X
JSOZTIL,X,O,X,X,X,X,O
JSOZTLI,X,X,X,X,X,X,X
JSOZITL,X,O,X,X,X,X,O
JSOZILT,X,X,X,X,X,O,X
JSOZLTI,X,X,X,X,X,X,X
JSOZLIT,X,X,X,X,X,O,X
JZTILSO,X,X,X,X,X,O,O
JZTILOS,X,X,X,O,X,X,X
JZTISLO,X,X,X,X,X,O,O
JZTISOL,X,X,X,O,X,X,O
JZTIOLS,X,O,X,O,X,X,X
JZTIOSL,X,O,X,O,X,X,O
JZTLISO,X,X,X,X,X,O,O
JZTLIOS,X,X,X,O,X,X,X
JZTLSIO,X,X,X,X,X,O,O
JZTLSOI,X,X,X,X,X,X,X
JZTLOIS,X,X,X,O,X,X,X
JZTLOSI,X,X,X,X,X,X,X
JZTSILO,X,X,X,X,X,O,O
JZTSIOL,X,X,X,O,X,X,O
JZTSLIO,X,X,X,X,X,O,O
JZTSLOI,X,X,X,X,X,X,X
JZTSOIL,X,X,X,O,X,X,O
JZTSOLI,X,X,X,X,X,X,X
JZTOILS,X,O,X,O,X,X,X
JZTOISL,X,O,X,O,X,X,O
JZTOLIS,X,X,X,O,X,X,X
JZTOLSI,X,X,X,X,X,X,X
JZTOSIL,X,X,X,O,X,X,O
JZTOSLI,X,X,X,X,X,X,X
JZITLSO,X,X,X,X,X,O,O
JZITLOS,X,X,X,O,X,X,X
JZITSLO,X,X,X,X,X,O,O
JZITSOL,X,X,X,O,X,X,O
JZITOLS,X,O,X,O,X,X,X
JZITOSL,X,O,X,O,X,X,O
JZILTSO,X,X,X,X,X,O,O
JZILTOS,X,X,X,O,X,X,X
JZILSTO,X,X,X,X,X,O,O
JZILSOT,X,X,X,X,X,O,X
JZILOTS,X,X,X,X,X,X,X
JZILOST,X,X,X,X,X,O,X
JZISTLO,X,X,X,X,X,O,O
JZISTOL,X,X,X,O,X,X,O
JZISLTO,X,X,X,X,X,O,O
JZISLOT,X,X,X,X,X,O,X
JZISOTL,X,X,X,X,X,X,O
JZISOLT,X,X,X,X,X,O,X
JZIOTLS,X,O,O,O,X,X,X
JZIOTSL,X,O,X,O,X,X,O
JZIOLTS,X,X,O,X,X,X,X
JZIOLST,X,X,X,X,X,O,X
JZIOSTL,X,X,X,X,X,X,O
JZIOSLT,X,X,X,X,X,O,X
JZLTISO,X,X,X,X,X,O,O
JZLTIOS,X,X,X,O,X,X,X
JZLTSIO,X,X,X,X,X,O,O
JZLTSOI,X,X,X,X,X,X,X
JZLTOIS,X,X,X,O,X,X,X
JZLTOSI,X,X,X,X,X,X,X
JZLITSO,X,X,X,X,X,O,O
JZLITOS,X,X,X,O,X,X,X
JZLISTO,X,X,X,X,X,O,O
JZLISOT,X,X,X,X,X,O,X
JZLIOTS,X,X,X,X,X,X,X
JZLIOST,X,X,X,X,X,O,X
JZLSTIO,X,X,X,X,X,O,O
JZLSTOI,X,X,X,X,X,X,X
JZLSITO,X,X,X,X,X,O,O
JZLSIOT,X,X,X,X,X,O,X
JZLSOTI,X,X,X,X,X,X,X
JZLSOIT,X,X,X,X,X,O,X
JZLOTIS,X,X,X,X,X,X,X
JZLOTSI,X,X,X,X,X,X,X
JZLOITS,X,X,X,X,X,X,X
JZLOIST,X,X,X,X,X,O,X
JZLOSTI,X,X,X,X,X,X,X
JZLOSIT,X,X,X,X,X,O,X
JZSTILO,X,X,X,X,X,O,O
JZSTIOL,X,X,X,O,X,X,O
JZSTLIO,X,X,X,X,X,O,O
JZSTLOI,X,X,X,X,X,X,X
JZSTOIL,X,X,X,O,X,X,O
JZSTOLI,X,X,X,X,X,X,X
JZSITLO,X,X,X,X,X,O,O
JZSITOL,X,X,X,O,X,X,O
JZSILTO,X,X,X,X,X,O,O
JZSILOT,X,X,X,X,X,O,X
JZSIOTL,X,X,X,X,X,X,O
JZSIOLT,X,X,X,X,X,O,X
JZSLTIO,X,X,X,X,X,O,O
JZSLTOI,X,X,X,X,X,X,X
JZSLITO,X,X,X,X,X,O,O
JZSLIOT,X,X,X,X,X,O,X
JZSLOTI,X,X,X,X,X,X,X
JZSLOIT,X,X,X,X,X,O,X
JZSOTIL,X,X,X,X,X,X,O
JZSOTLI,X,X,X,X,X,X,X
JZSOITL,X,X,X,X,X,X,O
JZSOILT,X,X,X,X,X,O,X
JZSOLTI,X,X,X,X,X,X,X
JZSOLIT,X,X,X,X,X,O,X
JZOTILS,X,O,O,O,X,X,X
JZOTISL,X,O,X,O,X,X,O
JZOTLIS,X,X,O,O,X,X,X
JZOTLSI,X,X,X,X,X,X,X
JZOTSIL,X,X,X,O,X,X,O
JZOTSLI,X,X,X,X,X,X,X
JZOITLS,X,O,O,O,X,X,X
JZOITSL,X,O,X,O,X,X,O
JZOILTS,X,X,O,X,X,X,X
JZOILST,X,X,X,X,X,O,X
JZOISTL,X,X,X,X,X,X,O
JZOISLT,X,X,X,X,X,O,X
JZOLTIS,X,X,O,X,X,X,X
JZOLTSI,X,X,X,X,X,X,X
JZOLITS,X,X,O,X,X,X,X
JZOLIST,X,X,X,X,X,O,X
JZOLSTI,X,X,X,X,X,X,X
JZOLSIT,X,X,X,X,X,O,X
JZOSTIL,X,X,X,X,X,X,O
JZOSTLI,X,X,X,X,X,X,X
JZOSITL,X,X,X,X,X,X,O
JZOSILT,X,X,X,X,X,O,X
JZOSLTI,X,X,X,X,X,X,X
JZOSLIT,X,X,X,X,X,O,X
JOTILSZ,O,O,O,X,X,X,X
JOTILZS,X,O,O,O,X,X,X
JOTISLZ,O,O,O,X,X,X,X
JOTISZL,X,O,X,O,X,X,O
JOTIZLS,X,O,O,O,X,X,X
JOTIZSL,X,O,X,O,X,X,O
JOTLISZ,O,O,O,X,X,X,X
JOTLIZS,X,O,O,O,X,X,X
JOTLSIZ,O,X,O,X,X,X,X
JOTLSZI,X,X,X,X,X,X,X
JOTLZIS,X,X,O,O,X,X,X
JOTLZSI,X,X,X,X,X,X,X
JOTSILZ,O,O,O,X,X,X,X
JOTSIZL,X,O,X,O,X,X,O
JOTSLIZ,O,O,O,X,X,X,X
JOTSLZI,X,X,X,X,X,X,X
JOTSZIL,X,O,X,O,X,X,O
JOTSZLI,X,X,X,X,X,X,X
JOTZILS,X,O,O,O,X,X,X
JOTZISL,X,O,X,O,X,X,O
JOTZLIS,X,X,O,O,X,X,X
JOTZLSI,X,X,X,X,X,X,X
JOTZSIL,X,X,X,O,X,X,O
JOTZSLI,X,X,X,X,X,X,X
JOITLSZ,O,O,O,X,X,X,X
JOITLZS,X,O,O,O,X,X,X
JOITSLZ,O,O,O,X,X,X,X
JOITSZL,X,O,X,O,X,X,O
JOITZLS,X,O,O,O,X,X,X
JOITZSL,X,O,X,O,X,X,O
JOILTSZ,O,O,O,X,X,X,X
JOILTZS,X,O,O,X,X,X,X
JOILSTZ,O,X,O,X,X,X,X
JOILSZT,X,X,X,X,X,O,X
JOILZTS,X,X,O,X,X,X,X
JOILZST,X,X,X,X,X,O,X
JOISTLZ,O,O,O,X,X,X,X
JOISTZL,X,O,X,X,X,X,O
JOISLTZ,O,O,O,X,X,X,X
JOISLZT,X,X,X,X,X,O,X
JOISZTL,X,O,X,X,X,X,O
JOISZLT,X,X,X,X,X,O,X
JOIZTLS,X,O,O,O,X,X,X
JOIZTSL,X,O,X,O,X,X,O
JOIZLTS,X,X,O,X,X,X,X
JOIZLST,X,X,X,X,X,O,X
JOIZSTL,X,X,X,X,X,X,O
JOIZSLT,X,X,X,X,X,O,X
JOLTISZ,O,O,O,X,X,X,X
JOLTIZS,X,O,O,X,X,X,X
JOLTSIZ,O,X,O,X,X,X,X
JOLTSZI,X,X,X,X,X,X,X
JOLTZIS,X,X,O,X,X,X,X
JOLTZSI,X,X,X,X,X,X,X
JOLITSZ,O,O,O,X,X,X,X
JOLITZS,X,O,O,X,X,X,X
JOLISTZ,O,X,O,X,X,X,X
JOLISZT,X,X,X,X,X,O,X
JOLIZTS,X,X,O,X,X,X,X
JOLIZST,X,X,X,X,X,O,X
JOLSTIZ,O,X,O,X,X,X,X
JOLSTZI,X,X,X,X,X,X,X
JOLSITZ,O,X,O,X,X,X,X
JOLSIZT,X,X,X,X,X,O,X
JOLSZTI,X,X,X,X,X,X,X
JOLSZIT,X,X,X,X,X,O,X
JOLZTIS,X,X,O,X,X,X,X
JOLZTSI,X,X,X,X,X,X,X
JOLZITS,X,X,O,X,X,X,X
JOLZIST,X,X,X,X,X,O,X
JOLZSTI,X,X,X,X,X,X,X
JOLZSIT,X,X,X,X,X,O,X
JOSTILZ,O,O,O,X,X,X,X
JOSTIZL,X,O,X,X,X,X,O
JOSTLIZ,O,O,O,X,X,X,X
JOSTLZI,X,X,X,X,X,X,X
JOSTZIL,X,O,X,X,X,X,O
JOSTZLI,X,X,X,X,X,X,X
JOSITLZ,O,O,O,X,X,X,X
JOSITZL,X,O,X,X,X,X,O
JOSILTZ,O,O,O,X,X,X,X
JOSILZT,X,X,X,X,X,O,X
JOSIZTL,X,O,X,X,X,X,O
JOSIZLT,X,X,X,X,X,O,X
JOSLTIZ,O,O,O,X,X,X,X
JOSLTZI,X,X,X,X,X,X,X
JOSLITZ,O,O,O,X,X,X,X
JOSLIZT,X,X,X,X,X,O,X
JOSLZTI,X,X,X,X,X,X,X
JOSLZIT,X,X,X,X,X,O,X
JOSZTIL,X,O,X,X,X,X,O
JOSZTLI,X,X,X,X,X,X,X
JOSZITL,X,O,X,X,X,X,O
JOSZILT,X,X,X,X,X,O,X
JOSZLTI,X,X,X,X,X,X,X
JOSZLIT,X,X,X,X,X,O,X
JOZTILS,X,O,O,O,X,X,X
JOZTISL,X,O,X,O,X,X,O
JOZTLIS,X,X,O,O,X,X,X
JOZTLSI,X,X,X,X,X,X,X
JOZTSIL,X,X,X,O,X,X,O
JOZTSLI,X,X,X,X,X,X,X
JOZITLS,X,O,O,O,X,X,X
JOZITSL,X,O,X,O,X,X,O
JOZILTS,X,X,O,X,X,X,X
JOZILST,X,X,X,X,X,O,X
JOZISTL,X,X,X,X,X,X,O
JOZISLT,X,X,X,X,X,O,X
JOZLTIS,X,X,O,X,X,X,X
JOZLTSI,X,X,X,X,X,X,X
JOZLITS,X,X,O,X,X,X,X
JOZLIST,X,X,X,X,X,O,X
JOZLSTI,X,X,X,X,X,X,X
JOZLSIT,X,X,X,X,X,O,X
JOZSTIL,X,X,X,X,X,X,O
JOZSTLI,X,X,X,X,X,X,X
JOZSITL,X,X,X,X,X,X,O
JOZSILT,X,X,X,X,X,O,X
JOZSLTI,X,X,X,X,X,X,X
JOZSLIT,X,X,X,X,X,O,X
STILJZO,X,X,X,X,O,O,O
STILJOZ,O,O,X,X,X,X,X
STILZJO,X,X,X,X,O,X,X
STILZOJ,O,X,X,X,O,X,X
STILOJZ,O,O,O,X,X,X,X
STILOZJ,O,X,O,X,O,X,X
STIJLZO,X,X,X,X,O,O,O
STIJLOZ,O,O,X,X,X,X,X
STIJZLO,X,X,X,X,O,O,O
STIJZOL,X,O,X,O,X,X,O
STIJOLZ,O,O,X,X,X,X,X
STIJOZL,X,O,X,O,X,X,O
STIZLJO,X,X,X,X,O,X,X
STIZLOJ,O,X,X,X,O,X,X
STIZJLO,X,X,X,X,O,X,O
STIZJOL,X,O,X,O,X,X,O
STIZOLJ,O,X,X,X,O,X,X
STIZOJL,X,O,X,O,X,X,X
STIOLJZ,O,O,O,X,X,X,X
STIOLZJ,O,X,O,X,O,X,X
STIOJLZ,O,O,O,X,X,X,X
STIOJZL,X,O,X,O,X,X,O
STIOZLJ,O,X,X,X,O,X,X
STIOZJL,X,O,X,O,X,X,X
STLIJZO,X,X,X,X,O,O,O
STLIJOZ,O,O,X,X,X,X,X
STLIZJO,X,X,X,X,O,X,X
STLIZOJ,O,X,X,X,O,X,X
STLIOJZ,O,O,O,X,X,X,X
STLIOZJ,O,X,O,X,O,X,X
STLJIZO,X,X,X,X,O,O,O
STLJIOZ,O,O,X,X,X,X,X
STLJZIO,X,X,X,X,O,O,O
STLJZOI,X,X,X,X,X,X,X
STLJOIZ,O,O,X,X,X,X,X
STLJOZI,X,X,X,X,X,X,X
STLZIJO,X,X,X,X,O,X,X
STLZIOJ,O,X,X,X,O,X,X
STLZJIO,X,X,X,X,O,X,X
STLZJOI,X,X,X,X,X,X,X
STLZOIJ,O,X,X,X,O,X,X
STLZOJI,X,X,X,X,X,X,X
STLOIJZ,O,O,O,X,X,X,X
STLOIZJ,O,X,O,X,O,X,X
STLOJIZ,O,O,O,X,X,X,X
STLOJZI,X,X,X,X,X,X,X
STLOZIJ,O,X,X,X,O,X,X
STLOZJI,X,X,X,X,X,X,X
STJILZO,X,X,X,X,O,O,O
STJILOZ,O,O,X,X,X,X,X
STJIZLO,X,X,X,X,O,O,O
STJIZOL,X,O,X,O,X,X,O
STJIOLZ,O,O,X,X,X,X,X
STJIOZL,X,O,X,O,X,X,O
STJLIZO,X,X,X,X,O,O,O
STJLIOZ,O,O,X,X,X,X,X
STJLZIO,X,X,X,X,O,O,O
STJLZOI,X,X,X,X,X,X,X
STJLOIZ,O,O,X,X,X,X,X
STJLOZI,X,X,X,X,X,X,X
STJZILO,X,X,X,X,O,O,O
STJZIOL,X,O,X,O,X,X,O
STJZLIO,X,X,X,X,O,O,O
STJZLOI,X,X,X,X,X,X,X
STJZOIL,X,O,X,O,X,X,O
STJZOLI,X,X,X,X,X,X,X
STJOILZ,O,O,X,X,X,X,X
STJOIZL,X,O,X,O,X,X,O
STJOLIZ,O,O,X,X,X,X,X
STJOLZI,X,X,X,X,X,X,X
STJOZIL,X,O,X,O,X,X,O
STJOZLI,X,X,X,X,X,X,X
STZILJO,X,X,X,X,O,X,X
STZILOJ,O,X,X,X,O,X,X
STZIJLO,X,X,X,X,O,X,O
STZIJOL,X,O,X,O,X,X,O
STZIOLJ,O,X,X,X,O,X,X
STZIOJL,X,O,X,O,X,X,X
STZLIJO,X,X,X,X,O,X,X
STZLIOJ,O,X,X,X,O,X,X
STZLJIO,X,X,X,X,O,X,X
STZLJOI,X,X,X,X,X,X,X
STZLOIJ,O,X,X,X,O,X,X
STZLOJI,X,X,X,X,X,X,X
STZJILO,X,X,X,X,O,X,O
STZJIOL,X,O,X,O,X,X,O
STZJLIO,X,X,X,X,O,X,O
STZJLOI,X,X,X,X,X,X,X
STZJOIL,X,O,X,O,X,X,O
STZJOLI,X,X,X,X,X,X,X
STZOILJ,O,X,X,X,O,X,X
STZOIJL,X,O,X,O,X,X,X
STZOLIJ,O,X,X,X,O,X,X
STZOLJI,X,X,X,X,X,X,X
STZOJIL,X,O,X,O,X,X,X
STZOJLI,X,X,X,X,X,X,X
STOILJZ,O,O,O,X,X,X,X
STOILZJ,O,X,O,X,O,X,X
STOIJLZ,O,O,O,X,X,X,X
STOIJZL,X,O,X,O,X,X,O
STOIZLJ,O,X,X,X,O,X,X
STOIZJL,X,O,X,O,X,X,X
STOLIJZ,O,O,O,X,X,X,X
STOLIZJ,O,X,O,X,O,X,X
STOLJIZ,O,O,O,X,X,X,X
STOLJZI,X,X,X,X,X,X,X
STOLZIJ,O,X,X,X,O,X,X
STOLZJI,X,X,X,X,X,X,X
STOJILZ,O,O,O,X,X,X,X
STOJIZL,X,O,X,O,X,X,O
STOJLIZ,O,O,O,X,X,X,X
STOJLZI,X,X,X,X,X,X,X
STOJZIL,X,O,X,O,X,X,O
STOJZLI,X,X,X,X,X,X,X
STOZILJ,O,X,X,X,O,X,X
STOZIJL,X,O,X,O,X,X,X
STOZLIJ,O,X,X,X,O,X,X
STOZLJI,X,X,X,X,X,X,X
STOZJIL,X,O,X,O,X,X,X
STOZJLI,X,X,X,X,X,X,X
SITLJZO,X,X,X,X,O,O,O
SITLJOZ,O,O,X,X,X,X,X
SITLZJO,X,X,X,X,O,X,X
SITLZOJ,O,X,X,X,O,X,X
SITLOJZ,O,O,O,X,X,X,X
SITLOZJ,O,X,O,X,O,X,X
SITJLZO,X,X,X,X,O,O,O
SITJLOZ,O,O,X,X,X,X,X
SITJZLO,X,X,X,X,O,O,O
SITJZOL,X,O,X,O,X,X,O
SITJOLZ,O,O,X,X,X,X,X
SITJOZL,X,O,X,O,X,X,O
SITZLJO,X,X,X,X,O,X,X
SITZLOJ,O,X,X,X,O,X,X
SITZJLO,X,X,X,X,O,X,O
SITZJOL,X,O,X,O,X,X,O
SITZOLJ,O,X,X,X,O,X,X
SITZOJL,X,O,X,O,X,X,X
SITOLJZ,O,O,O,X,X,X,X
SITOLZJ,O,X,O,X,O,X,X
SITOJLZ,O,O,O,X,X,X,X
SITOJZL,X,O,X,O,X,X,O
SITOZLJ,O,X,X,X,O,X,X
SITOZJL,X,O,X,O,X,X,X
SILTJZO,X,X,X,X,O,O,O
SILTJOZ,O,O,X,X,X,X,X
SILTZJO,X,X,X,X,O,X,X
SILTZOJ,O,X,X,X,O,X,X
SILTOJZ,O,O,O,X,X,X,X
SILTOZJ,O,X,O,X,O,X,X
SILJTZO,X,X,X,X,O,O,O
SILJTOZ,O,O,X,X,X,X,X
SILJZTO,X,X,X,X,X,O,O
SILJZOT,X,X,X,X,X,O,X
SILJOTZ,O,O,X,X,X,X,X
SILJOZT,X,X,X,X,X,O,X
SILZTJO,X,X,X,X,O,X,X
SILZTOJ,O,X,X,X,O,X,X
SILZJTO,X,X,X,X,X,O,X
SILZJOT,X,X,X,X,X,O,X
SILZOTJ,O,X,X,X,X,X,X
SILZOJT,X,X,X,X,X,X,X
SILOTJZ,O,O,O,X,X,X,X
SILOTZJ,O,X,O,X,O,X,X
SILOJTZ,O,O,O,X,X,X,X
SILOJZT,X,X,X,X,X,O,X
SILOZTJ,O,X,X,X,X,X,X
SILOZJT,X,X,X,X,X,X,X
SIJTLZO,X,X,X,X,O,O,O
SIJTLOZ,O,O,X,X,X,X,X
SIJTZLO,X,X,X,X,O,O,O
SIJTZOL,X,O,X,O,X,X,O
SIJTOLZ,O,O,X,X,X,X,X
SIJTOZL,X,O,X,O,X,X,O
SIJLTZO,X,X,X,X,O,O,O
SIJLTOZ,O,O,X,X,X,X,X
SIJLZTO,X,X,X,X,X,O,O
SIJLZOT,X,X,X,X,X,O,X
SIJLOTZ,O,O,X,X,X,X,X
SIJLOZT,X,X,X,X,X,O,X
SIJZTLO,X,X,X,X,X,O,O
SIJZTOL,X,O,X,O,X,X,O
SIJZLTO,X,X,X,X,X,O,O
SIJZLOT,X,X,X,X,X,O,X
SIJZOTL,X,O,X,X,X,X,O
SIJZOLT,X,X,X,X,X,O,X
SIJOTLZ,O,O,O,X,X,X,X
SIJOTZL,X,O,X,X,X,X,O
SIJOLTZ,O,O,O,X,X,X,X
SIJOLZT,X,X,X,X,X,O,X
SIJOZTL,X,O,X,X,X,X,O
SIJOZLT,X,X,X,X,X,O,X
SIZTLJO,X,X,X,X,O,X,X
SIZTLOJ,O,X,X,X,O,X,X
