sequence,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFTiBZoBUlBFmBGm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgBzhB3lB1sB0r?BatB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF0gBSnBZoB2qBlm?BXsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhF3gBFiBZoB6rBcs?B2vB,v115@GhA8IeC8GeF8BeA8AeA8Jei/IvhFmiBUlBRmBftBFm?BzrB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFlgB3hBZoB2qBCs?BcsB,v115@GhA8IeC8GeF8BeA8AeA8JeT/IvhFKlBfmBZoBWsBcs?BlrB,v115@GhA8IeC8GeF8BeA8AeA8Je2EJvhFRgB3hB1qB0nBzr?BatB
LIOSTJZ,X,X,O,X,X,X,O,X
LIOSTZJ,O,X,X,O,X,X,X,X
LIOSJTZ,X,X,O,X,X,O,O,X
LIOSJZT,O,X,O,O,O,O,O,X
LIOSZTJ,O,X,X,O,O,X,X,X
LIOSZJT,O,X,O,O,O,X,O,X
LIOZTJS,X,X,X,O,X,X,X,X
LIOZTSJ,O,X,X,O,O,X,X,X
LIOZJTS,X,X,X,O,X,O,X,X
LIOZJST,X,X,X,O,O,O,O,X
LIOZSTJ,O,X,X,O,O,X,X,X
LIOZSJT,O,X,X,O,O,X,O,X
LJTISZO,X,O,X,X,X,O,O,X
LJTISOZ,X,X,X,X,X,O,O,X
LJTIZSO,X,X,X,X,X,O,X,X
LJTIZOS,X,X,X,X,X,O,X,X
LJTIOSZ,X,X,X,X,X,O,O,O
LJTIOZS,X,X,X,X,X,O,X,O
LJTSIZO,X,O,X,X,X,O,O,X
LJTSIOZ,X,X,X,X,X,O,O,X
LJTSZIO,X,O,X,X,X,X,X,X
LJTSZOI,X,O,X,X,X,X,X,X
LJTSOIZ,X,X,X,X,X,O,O,X
LJTSOZI,X,X,X,X,X,X,X,X
LJTZISO,X,X,X,X,X,O,X,X
LJTZIOS,X,X,X,X,X,O,X,X
LJTZSIO,X,O,X,X,X,X,X,X
LJTZSOI,X,O,X,X,X,X,X,X
LJTZOIS,X,X,X,X,X,O,X,X
LJTZOSI,X,O,X,X,X,X,X,X
LJTOISZ,X,X,X,X,X,O,O,O
LJTOIZS,X,X,X,X,X,O,X,O
LJTOSIZ,X,X,X,X,X,O,O,O
LJTOSZI,X,X,X,X,X,X,X,O
LJTOZIS,X,X,X,X,X,O,X,O
LJTOZSI,X,X,X,X,X,X,X,O
LJITSZO,X,O,X,X,X,O,O,X
LJITSOZ,X,X,X,X,X,O,O,X
LJITZSO,X,X,X,X,X,O,X,X
LJITZOS,X,X,X,X,X,O,X,X
LJITOSZ,X,X,X,X,X,O,O,O
LJITOZS,X,X,X,X,X,O,X,O
LJISTZO,X,O,O,X,X,O,O,X
LJISTOZ,X,X,O,X,X,O,O,X
LJISZTO,O,O,O,O,X,O,O,X
LJISZOT,O,O,O,O,X,O,O,X
LJISOTZ,X,X,O,X,X,O,O,X
LJISOZT,O,X,O,O,X,O,O,X
LJIZTSO,O,X,X,O,X,O,X,X
LJIZTOS,X,X,X,O,X,O,X,X
LJIZSTO,O,X,O,O,X,O,O,X
LJIZSOT,O,X,O,O,X,O,O,X
LJIZOTS,X,X,X,O,X,O,X,X
LJIZOST,X,X,O,O,X,O,O,X
LJIOTSZ,X,X,X,X,X,O,O,X
LJIOTZS,X,X,X,X,X,O,X,X
LJIOSTZ,X,X,O,X,X,O,O,X
LJIOSZT,X,X,O,O,X,O,O,X
LJIOZTS,X,X,X,O,X,O,X,X
LJIOZST,X,X,O,O,X,O,O,X
LJSTIZO,X,O,O,X,X,O,O,X
LJSTIOZ,X,X,O,X,X,O,O,X
LJSTZIO,X,O,O,X,O,X,X,X
LJSTZOI,X,O,O,X,O,X,X,X
LJSTOIZ,X,X,O,X,X,O,O,X
LJSTOZI,X,X,O,X,O,X,X,X
LJSITZO,X,O,O,X,X,O,O,X
LJSITOZ,X,X,O,X,X,O,O,X
LJSIZTO,O,O,O,O,O,O,O,X
LJSIZOT,O,O,O,O,O,O,O,X
LJSIOTZ,X,X,O,X,X,O,O,X
LJSIOZT,O,X,O,O,O,O,O,X
LJSZTIO,O,O,O,O,O,X,X,X
LJSZTOI,O,O,O,O,O,X,X,X
LJSZITO,O,O,O,O,O,X,O,X
LJSZIOT,O,O,O,O,O,X,O,X
LJSZOTI,O,O,O,O,O,X,X,X
LJSZOIT,O,O,O,O,O,X,O,X
LJSOTIZ,X,X,O,X,X,O,O,X
LJSOTZI,X,X,O,X,O,X,X,X
LJSOITZ,X,X,O,X,X,O,O,X
LJSOIZT,O,X,O,O,O,O,O,X
LJSOZTI,O,X,O,O,O,X,X,X
LJSOZIT,O,X,O,O,O,X,O,X
LJZTISO,O,X,X,O,X,O,X,X
LJZTIOS,X,X,X,O,X,O,X,X
LJZTSIO,O,O,X,O,X,X,X,X
LJZTSOI,O,O,X,O,X,X,X,X
LJZTOIS,X,X,X,O,X,O,X,X
LJZTOSI,X,O,X,O,X,X,X,X
LJZITSO,O,X,X,O,X,O,X,X
LJZITOS,X,X,X,O,X,O,X,X
LJZISTO,O,X,O,O,O,O,O,X
LJZISOT,O,X,O,O,O,O,O,X
LJZIOTS,X,X,X,O,X,O,X,X
LJZIOST,X,X,O,O,X,O,O,X
LJZSTIO,O,O,O,O,O,X,X,X
LJZSTOI,O,O,O,O,O,X,X,X
LJZSITO,O,O,O,O,O,X,O,X
LJZSIOT,O,O,O,O,O,X,O,X
LJZSOTI,O,O,O,O,O,X,X,X
LJZSOIT,O,O,O,O,O,X,O,X
LJZOTIS,X,X,X,O,X,O,X,X
LJZOTSI,X,O,X,O,X,X,X,X
LJZOITS,X,X,X,O,X,O,X,X
LJZOIST,X,X,O,O,O,O,O,X
LJZOSTI,X,O,O,O,O,X,X,X
LJZOSIT,X,O,O,O,O,X,O,X
LJOTISZ,X,X,X,X,X,O,O,X
LJOTIZS,X,X,X,X,X,O,X,X
LJOTSIZ,X,X,X,X,X,O,O,X
LJOTSZI,X,X,X,X,X,X,X,X
LJOTZIS,X,X,X,X,X,O,X,X
LJOTZSI,X,X,X,X,X,X,X,X
LJOITSZ,X,X,X,X,X,O,O,X
LJOITZS,X,X,X,X,X,O,X,X
LJOISTZ,X,X,O,X,X,O,O,X
LJOISZT,X,X,O,O,X,O,O,X
LJOIZTS,X,X,X,O,X,O,X,X
LJOIZST,X,X,O,O,X,O,O,X
LJOSTIZ,X,X,O,X,X,O,O,X
LJOSTZI,X,X,O,X,O,X,X,X
LJOSITZ,X,X,O,X,X,O,O,X
LJOSIZT,X,X,O,O,O,O,O,X
LJOSZTI,X,X,O,O,O,X,X,X
LJOSZIT,X,X,O,O,O,X,O,X
LJOZTIS,X,X,X,O,X,O,X,X
LJOZTSI,X,X,X,O,X,X,X,X
LJOZITS,X,X,X,O,X,O,X,X
LJOZIST,X,X,O,O,O,O,O,X
LJOZSTI,X,X,O,O,O,X,X,X
LJOZSIT,X,X,O,O,O,X,O,X
LSTIJZO,X,O,O,X,X,X,O,X
LSTIJOZ,X,X,O,X,X,X,O,X
LSTIZJO,O,O,X,O,X,X,X,X
LSTIZOJ,O,O,X,O,X,X,X,X
LSTIOJZ,X,X,O,X,X,X,O,X
LSTIOZJ,O,X,X,O,X,X,X,X
LSTJIZO,X,O,O,X,X,X,O,X
LSTJIOZ,X,X,O,X,X,X,O,X
LSTJZIO,X,O,O,X,O,X,X,X
LSTJZOI,X,O,O,X,O,X,X,X
LSTJOIZ,X,X,O,X,X,X,O,X
LSTJOZI,X,X,O,X,O,X,X,X
LSTZIJO,O,O,X,O,O,X,X,X
LSTZIOJ,O,O,X,O,X,X,X,X
LSTZJIO,O,O,X,O,O,X,X,X
LSTZJOI,O,O,X,O,O,X,X,X
LSTZOIJ,O,O,X,O,O,X,X,X
LSTZOJI,O,O,X,O,O,X,X,X
LSTOIJZ,X,X,O,X,X,X,O,X
LSTOIZJ,O,X,X,O,X,X,X,X
LSTOJIZ,X,X,O,X,X,X,O,X
LSTOJZI,X,X,O,X,O,X,X,X
LSTOZIJ,O,X,X,O,O,X,X,X
LSTOZJI,O,X,X,O,O,X,X,X
LSITJZO,X,O,O,X,X,X,O,X
LSITJOZ,X,X,O,X,X,X,O,X
LSITZJO,O,O,X,O,X,X,X,X
LSITZOJ,O,O,X,O,X,X,X,X
LSITOJZ,X,X,O,X,X,X,O,X
LSITOZJ,O,X,X,O,X,X,X,X
LSIJTZO,X,O,O,X,X,O,O,X
LSIJTOZ,X,X,O,X,X,O,O,X
LSIJZTO,O,O,O,O,O,O,O,X
LSIJZOT,O,O,O,O,O,O,O,X
LSIJOTZ,X,X,O,X,X,O,O,X
LSIJOZT,O,X,O,O,O,O,O,X
LSIZTJO,O,O,X,O,O,X,X,X
LSIZTOJ,O,O,X,O,X,X,X,X
LSIZJTO,O,O,O,O,O,X,O,X
LSIZJOT,O,O,O,O,O,X,O,X
LSIZOTJ,O,O,X,O,O,X,X,X
LSIZOJT,O,O,O,O,O,X,O,X
LSIOTJZ,X,X,O,X,X,X,O,X
LSIOTZJ,O,X,X,O,X,X,X,X
LSIOJTZ,X,X,O,X,X,O,O,X
LSIOJZT,O,X,O,O,O,O,O,X
LSIOZTJ,O,X,X,O,O,X,X,X
LSIOZJT,O,X,O,O,O,X,O,X
LSJTIZO,X,O,O,X,X,O,O,X
LSJTIOZ,X,X,O,X,X,O,O,X
LSJTZIO,X,O,O,X,O,X,X,X
LSJTZOI,X,O,O,X,O,X,X,X
LSJTOIZ,X,X,O,X,X,O,O,X
LSJTOZI,X,X,O,X,O,X,X,X
LSJITZO,X,O,O,X,X,O,O,X
LSJITOZ,X,X,O,X,X,O,O,X
LSJIZTO,O,O,O,O,O,O,O,X
LSJIZOT,O,O,O,O,O,O,O,X
LSJIOTZ,X,X,O,X,X,O,O,X
LSJIOZT,O,X,O,O,O,O,O,X
LSJZTIO,O,O,O,O,O,X,X,X
LSJZTOI,O,O,O,O,O,X,X,X
LSJZITO,O,O,O,O,O,X,O,X
LSJZIOT,O,O,O,O,O,X,O,X
LSJZOTI,O,O,O,O,O,X,X,X
LSJZOIT,O,O,O,O,O,X,O,X
LSJOTIZ,X,X,O,X,X,O,O,X
LSJOTZI,X,X,O,X,O,X,X,X
LSJOITZ,X,X,O,X,X,O,O,X
LSJOIZT,O,X,O,O,O,O,O,X
LSJOZTI,O,X,O,O,O,X,X,X
LSJOZIT,O,X,O,O,O,X,O,X
LSZTIJO,O,O,X,O,O,X,X,X
LSZTIOJ,O,O,X,O,X,X,X,X
LSZTJIO,O,O,X,O,O,X,X,X
LSZTJOI,O,O,X,O,O,X,X,X
LSZTOIJ,O,O,X,O,O,X,X,X
LSZTOJI,O,O,X,O,O,X,X,X
LSZITJO,O,O,X,O,O,X,X,X
LSZITOJ,O,O,X,O,X,X,X,X
LSZIJTO,O,O,O,O,O,X,O,X
LSZIJOT,O,O,O,O,O,X,O,X
LSZIOTJ,O,O,X,O,O,X,X,X
LSZIOJT,O,O,O,O,O,X,O,X
LSZJTIO,O,O,O,O,O,X,X,X
LSZJTOI,O,O,O,O,O,X,X,X
LSZJITO,O,O,O,O,O,X,O,X
LSZJIOT,O,O,O,O,O,X,O,X
LSZJOTI,O,O,O,O,O,X,X,X
LSZJOIT,O,O,O,O,O,X,O,X
LSZOTIJ,O,O,X,O,O,X,X,X
LSZOTJI,O,O,X,O,O,X,X,X
LSZOITJ,O,O,X,O,O,X,X,X
LSZOIJT,O,O,O,O,O,X,O,X
LSZOJTI,O,O,O,O,O,X,X,X
LSZOJIT,O,O,O,O,O,X,O,X
LSOTIJZ,X,X,O,X,X,X,O,X
LSOTIZJ,O,X,X,O,X,X,X,X
LSOTJIZ,X,X,O,X,X,X,O,X
LSOTJZI,X,X,O,X,O,X,X,X
LSOTZIJ,O,X,X,O,O,X,X,X
LSOTZJI,O,X,X,O,O,X,X,X
LSOITJZ,X,X,O,X,X,X,O,X
LSOITZJ,O,X,X,O,X,X,X,X
LSOIJTZ,X,X,O,X,X,O,O,X
LSOIJZT,O,X,O,O,O,O,O,X
LSOIZTJ,O,X,X,O,O,X,X,X
LSOIZJT,O,X,O,O,O,X,O,X
LSOJTIZ,X,X,O,X,X,O,O,X
LSOJTZI,X,X,O,X,O,X,X,X
LSOJITZ,X,X,O,X,X,O,O,X
LSOJIZT,O,X,O,O,O,O,O,X
LSOJZTI,O,X,O,O,O,X,X,X
LSOJZIT,O,X,O,O,O,X,O,X
LSOZTIJ,O,X,X,O,O,X,X,X
LSOZTJI,O,X,X,O,O,X,X,X
LSOZITJ,O,X,X,O,O,X,X,X
LSOZIJT,O,X,O,O,O,X,O,X
LSOZJTI,O,X,O,O,O,X,X,X
LSOZJIT,O,X,O,O,O,X,O,X
LZTIJSO,O,X,X,O,X,X,X,X
LZTIJOS,X,X,X,O,X,X,X,X
LZTISJO,O,X,X,O,O,X,X,X
LZTISOJ,O,X,X,O,X,X,X,X
LZTIOJS,X,X,X,O,X,X,X,X
LZTIOSJ,O,X,X,O,X,X,X,X
LZTJISO,O,X,X,O,X,X,X,X
LZTJIOS,X,X,X,O,X,X,X,X
LZTJSIO,O,O,X,O,X,X,X,X
LZTJSOI,O,O,X,O,X,X,X,X
LZTJOIS,X,X,X,O,X,X,X,X
LZTJOSI,X,O,X,O,X,X,X,X
LZTSIJO,O,O,X,O,O,X,X,X
LZTSIOJ,O,O,X,O,X,X,X,X
LZTSJIO,O,O,X,O,O,X,X,X
LZTSJOI,O,O,X,O,O,X,X,X
LZTSOIJ,O,O,X,O,O,X,X,X
LZTSOJI,O,O,X,O,O,X,X,X
LZTOIJS,X,X,X,O,X,X,X,X
LZTOISJ,O,X,X,O,O,X,X,X
LZTOJIS,X,X,X,O,X,X,X,X
LZTOJSI,X,O,X,O,X,X,X,X
LZTOSIJ,O,O,X,O,O,X,X,X
LZTOSJI,O,O,X,O,O,X,X,X
LZITJSO,O,X,X,O,X,X,X,X
LZITJOS,X,X,X,O,X,X,X,X
LZITSJO,O,X,X,O,O,X,X,X
LZITSOJ,O,X,X,O,X,X,X,X
LZITOJS,X,X,X,O,X,X,X,X
LZITOSJ,O,X,X,O,X,X,X,X
LZIJTSO,O,X,X,O,X,O,X,X
LZIJTOS,X,X,X,O,X,O,X,X
LZIJSTO,O,X,X,O,O,O,O,X
LZIJSOT,O,X,X,O,O,O,O,X
LZIJOTS,X,X,X,O,X,O,X,X
LZIJOST,X,X,X,O,X,O,O,X
LZISTJO,O,X,X,O,O,X,X,X
LZISTOJ,O,X,X,O,X,X,X,X
LZISJTO,O,X,X,O,O,X,O,X
LZISJOT,O,X,X,O,O,X,O,X
LZISOTJ,O,X,X,O,O,X,X,X
LZISOJT,O,X,X,O,O,X,O,X
LZIOTJS,X,X,X,O,X,X,X,X
LZIOTSJ,O,X,X,O,O,X,X,X
LZIOJTS,X,X,X,O,X,O,X,X
LZIOJST,X,X,X,O,O,O,O,X
LZIOSTJ,O,X,X,O,O,X,X,X
LZIOSJT,O,X,X,O,O,X,O,X
LZJTISO,O,X,X,O,X,O,X,X
LZJTIOS,X,X,X,O,X,O,X,X
LZJTSIO,O,O,X,O,X,X,X,X
LZJTSOI,O,O,X,O,X,X,X,X
LZJTOIS,X,X,X,O,X,O,X,X
LZJTOSI,X,O,X,O,X,X,X,X
LZJITSO,O,X,X,O,X,O,X,X
LZJITOS,X,X,X,O,X,O,X,X
LZJISTO,O,X,X,O,O,O,O,X
LZJISOT,O,X,X,O,O,O,O,X
LZJIOTS,X,X,X,O,X,O,X,X
LZJIOST,X,X,X,O,X,O,O,X
LZJSTIO,O,O,X,O,O,X,X,X
LZJSTOI,O,O,X,O,O,X,X,X
LZJSITO,O,O,X,O,O,X,O,X
LZJSIOT,O,O,X,O,O,X,O,X
LZJSOTI,O,O,X,O,O,X,X,X
LZJSOIT,O,O,X,O,O,X,O,X
LZJOTIS,X,X,X,O,X,O,X,X
LZJOTSI,X,O,X,O,X,X,X,X
LZJOITS,X,X,X,O,X,O,X,X
LZJOIST,X,X,X,O,O,O,O,X
LZJOSTI,X,O,X,O,O,X,X,X
LZJOSIT,X,O,X,O,O,X,O,X
LZSTIJO,O,O,X,O,O,X,X,X
LZSTIOJ,O,O,X,O,X,X,X,X
LZSTJIO,O,O,X,O,O,X,X,X
LZSTJOI,O,O,X,O,O,X,X,X
LZSTOIJ,O,O,X,O,O,X,X,X
LZSTOJI,O,O,X,O,O,X,X,X
LZSITJO,O,O,X,O,O,X,X,X
LZSITOJ,O,O,X,O,X,X,X,X
LZSIJTO,O,O,X,O,O,X,O,X
LZSIJOT,O,O,X,O,O,X,O,X
LZSIOTJ,O,O,X,O,O,X,X,X
LZSIOJT,O,O,X,O,O,X,O,X
LZSJTIO,O,O,X,O,O,X,X,X
LZSJTOI,O,O,X,O,O,X,X,X
LZSJITO,O,O,X,O,O,X,O,X
LZSJIOT,O,O,X,O,O,X,O,X
LZSJOTI,O,O,X,O,O,X,X,X
LZSJOIT,O,O,X,O,O,X,O,X
LZSOTIJ,O,O,X,O,O,X,X,X
LZSOTJI,O,O,X,O,O,X,X,X
LZSOITJ,O,O,X,O,O,X,X,X
LZSOIJT,O,O,X,O,O,X,O,X
LZSOJTI,O,O,X,O,O,X,X,X
LZSOJIT,O,O,X,O,O,X,O,X
LZOTIJS,X,X,X,O,X,X,X,X
LZOTISJ,O,X,X,O,O,X,X,X
LZOTJIS,X,X,X,O,X,X,X,X
LZOTJSI,X,O,X,O,X,X,X,X
LZOTSIJ,O,O,X,O,O,X,X,X
LZOTSJI,O,O,X,O,O,X,X,X
LZOITJS,X,X,X,O,X,X,X,X
LZOITSJ,O,X,X,O,O,X,X,X
LZOIJTS,X,X,X,O,X,O,X,X
LZOIJST,X,X,X,O,O,O,O,X
LZOISTJ,O,X,X,O,O,X,X,X
LZOISJT,O,X,X,O,O,X,O,X
LZOJTIS,X,X,X,O,X,O,X,X
LZOJTSI,X,O,X,O,X,X,X,X
LZOJITS,X,X,X,O,X,O,X,X
LZOJIST,X,X,X,O,O,O,O,X
LZOJSTI,X,O,X,O,O,X,X,X
LZOJSIT,X,O,X,O,O,X,O,X
LZOSTIJ,O,O,X,O,O,X,X,X
LZOSTJI,O,O,X,O,O,X,X,X
LZOSITJ,O,O,X,O,O,X,X,X
LZOSIJT,O,O,X,O,O,X,O,X
LZOSJTI,O,O,X,O,O,X,X,X
LZOSJIT,O,O,X,O,O,X,O,X
LOTIJSZ,X,X,X,X,X,O,O,O
LOTIJZS,X,X,X,X,X,O,X,O
LOTISJZ,X,X,X,X,X,X,O,O
LOTISZJ,X,X,X,O,X,X,X,O
LOTIZJS,X,X,X,O,X,X,X,O
LOTIZSJ,X,X,X,O,X,X,X,O
LOTJISZ,X,X,X,X,X,O,O,O
LOTJIZS,X,X,X,X,X,O,X,O
LOTJSIZ,X,X,X,X,X,O,O,O
LOTJSZI,X,X,X,X,X,X,X,O
LOTJZIS,X,X,X,X,X,O,X,O
LOTJZSI,X,X,X,X,X,X,X,O
LOTSIJZ,X,X,X,X,X,X,O,O
LOTSIZJ,X,X,X,O,X,X,X,O
LOTSJIZ,X,X,X,X,X,X,O,O
LOTSJZI,X,X,X,X,O,X,X,O
LOTSZIJ,X,X,X,O,O,X,X,O
LOTSZJI,X,X,X,O,O,X,X,O
LOTZIJS,X,X,X,O,X,X,X,O
LOTZISJ,X,X,X,O,O,X,X,O
LOTZJIS,X,X,X,O,X,X,X,O
LOTZJSI,X,X,X,O,X,X,X,O
LOTZSIJ,X,X,X,O,O,X,X,O
LOTZSJI,X,X,X,O,O,X,X,O
LOITJSZ,X,X,X,X,X,O,O,X
LOITJZS,X,X,X,X,X,O,X,X
LOITSJZ,X,X,X,X,X,X,O,X
LOITSZJ,X,X,X,O,X,X,X,X
LOITZJS,X,X,X,O,X,X,X,X
LOITZSJ,X,X,X,O,X,X,X,X
LOIJTSZ,X,X,X,X,X,O,O,X
LOIJTZS,X,X,X,X,X,O,X,X
LOIJSTZ,X,X,O,X,X,O,O,X
LOIJSZT,X,X,O,O,X,O,O,X
LOIJZTS,X,X,X,O,X,O,X,X
LOIJZST,X,X,O,O,X,O,O,X
LOISTJZ,X,X,O,X,X,X,O,X
LOISTZJ,O,X,X,O,X,X,X,X
LOISJTZ,X,X,O,X,X,O,O,X
LOISJZT,O,X,O,O,O,O,O,X
LOISZTJ,O,X,X,O,O,X,X,X
LOISZJT,O,X,O,O,O,X,O,X
LOIZTJS,X,X,X,O,X,X,X,X
LOIZTSJ,O,X,X,O,O,X,X,X
LOIZJTS,X,X,X,O,X,O,X,X
LOIZJST,X,X,X,O,O,O,O,X
LOIZSTJ,O,X,X,O,O,X,X,X
LOIZSJT,O,X,X,O,O,X,O,X
LOJTISZ,X,X,X,X,X,O,O,X
LOJTIZS,X,X,X,X,X,O,X,X
LOJTSIZ,X,X,X,X,X,O,O,X
LOJTSZI,X,X,X,X,X,X,X,X
LOJTZIS,X,X,X,X,X,O,X,X
LOJTZSI,X,X,X,X,X,X,X,X
LOJITSZ,X,X,X,X,X,O,O,X
LOJITZS,X,X,X,X,X,O,X,X
LOJISTZ,X,X,O,X,X,O,O,X
LOJISZT,X,X,O,O,X,O,O,X
LOJIZTS,X,X,X,O,X,O,X,X
LOJIZST,X,X,O,O,X,O,O,X
LOJSTIZ,X,X,O,X,X,O,O,X
LOJSTZI,X,X,O,X,O,X,X,X
LOJSITZ,X,X,O,X,X,O,O,X
LOJSIZT,X,X,O,O,O,O,O,X
LOJSZTI,X,X,O,O,O,X,X,X
LOJSZIT,X,X,O,O,O,X,O,X
LOJZTIS,X,X,X,O,X,O,X,X
LOJZTSI,X,X,X,O,X,X,X,X
LOJZITS,X,X,X,O,X,O,X,X
LOJZIST,X,X,O,O,O,O,O,X
LOJZSTI,X,X,O,O,O,X,X,X
LOJZSIT,X,X,O,O,O,X,O,X
LOSTIJZ,X,X,O,X,X,X,O,X
LOSTIZJ,O,X,X,O,X,X,X,X
LOSTJIZ,X,X,O,X,X,X,O,X
LOSTJZI,X,X,O,X,O,X,X,X
LOSTZIJ,O,X,X,O,O,X,X,X
LOSTZJI,O,X,X,O,O,X,X,X
LOSITJZ,X,X,O,X,X,X,O,X
LOSITZJ,O,X,X,O,X,X,X,X
LOSIJTZ,X,X,O,X,X,O,O,X
LOSIJZT,O,X,O,O,O,O,O,X
LOSIZTJ,O,X,X,O,O,X,X,X
LOSIZJT,O,X,O,O,O,X,O,X
LOSJTIZ,X,X,O,X,X,O,O,X
LOSJTZI,X,X,O,X,O,X,X,X
LOSJITZ,X,X,O,X,X,O,O,X
LOSJIZT,O,X,O,O,O,O,O,X
LOSJZTI,O,X,O,O,O,X,X,X
LOSJZIT,O,X,O,O,O,X,O,X
LOSZTIJ,O,X,X,O,O,X,X,X
LOSZTJI,O,X,X,O,O,X,X,X
LOSZITJ,O,X,X,O,O,X,X,X
LOSZIJT,O,X,O,O,O,X,O,X
LOSZJTI,O,X,O,O,O,X,X,X
LOSZJIT,O,X,O,O,O,X,O,X
LOZTIJS,X,X,X,O,X,X,X,O
LOZTISJ,O,X,X,O,O,X,X,O
LOZTJIS,X,X,X,O,X,X,X,O
LOZTJSI,X,X,X,O,X,X,X,O
LOZTSIJ,O,X,X,O,O,X,X,O
LOZTSJI,O,X,X,O,O,X,X,O
LOZITJS,X,X,X,O,X,X,X,X
LOZITSJ,O,X,X,O,O,X,X,X
LOZIJTS,X,X,X,O,X,O,X,X
LOZIJST,X,X,X,O,O,O,O,X
LOZISTJ,O,X,X,O,O,X,X,X
LOZISJT,O,X,X,O,O,X,O,X
LOZJTIS,X,X,X,O,X,O,X,X
LOZJTSI,X,X,X,O,X,X,X,X
LOZJITS,X,X,X,O,X,O,X,X
LOZJIST,X,X,X,O,O,O,O,X
LOZJSTI,X,X,X,O,O,X,X,X
LOZJSIT,X,X,X,O,O,X,O,X
LOZSTIJ,O,X,X,O,O,X,X,X
LOZSTJI,O,X,X,O,O,X,X,X
LOZSITJ,O,X,X,O,O,X,X,X
LOZSIJT,O,X,X,O,O,X,O,X
LOZSJTI,O,X,X,O,O,X,X,X
LOZSJIT,O,X,X,O,O,X,O,X
JTILSZO,X,O,X,X,X,O,O,X
JTILSOZ,X,X,X,X,X,O,O,X
JTILZSO,X,X,X,X,X,O,X,X
JTILZOS,X,X,X,X,X,O,X,X
JTILOSZ,X,X,X,X,X,O,O,O
JTILOZS,X,X,X,X,X,O,X,O
JTISLZO,X,O,O,X,X,O,O,X
JTISLOZ,X,X,O,X,X,O,O,X
JTISZLO,O,O,O,X,X,X,X,X
JTISZOL,O,O,O,X,X,X,X,X
JTISOLZ,X,X,O,X,X,O,X,O
JTISOZL,O,O,O,X,X,X,X,O
JTIZLSO,O,X,X,X,X,O,X,X
JTIZLOS,X,X,X,X,X,O,X,X
JTIZSLO,O,O,O,X,X,X,X,X
JTIZSOL,O,O,O,X,X,X,X,X
JTIZOLS,X,X,X,X,X,O,X,O
JTIZOSL,X,O,O,X,X,X,X,O
JTIOLSZ,X,X,X,X,X,O,O,O
JTIOLZS,X,X,X,X,X,O,X,O
JTIOSLZ,X,X,O,X,X,O,X,O
JTIOSZL,X,O,O,X,X,X,X,O
JTIOZLS,X,X,X,X,X,O,X,O
JTIOZSL,X,X,O,X,X,X,X,O
JTLISZO,X,O,X,X,X,O,O,X
JTLISOZ,X,X,X,X,X,O,O,X
JTLIZSO,X,X,X,X,X,O,X,X
JTLIZOS,X,X,X,X,X,O,X,X
JTLIOSZ,X,X,X,X,X,O,O,O
JTLIOZS,X,X,X,X,X,O,X,O
JTLSIZO,X,O,X,X,X,O,O,X
JTLSIOZ,X,X,X,X,X,O,O,X
JTLSZIO,X,O,X,X,X,X,X,X
JTLSZOI,X,O,X,X,X,X,X,X
JTLSOIZ,X,X,X,X,X,O,O,X
JTLSOZI,X,X,X,X,X,X,X,X
JTLZISO,X,X,X,X,X,O,X,X
JTLZIOS,X,X,X,X,X,O,X,X
JTLZSIO,X,O,X,X,X,X,X,X
JTLZSOI,X,O,X,X,X,X,X,X
JTLZOIS,X,X,X,X,X,O,X,X
JTLZOSI,X,O,X,X,X,X,X,X
JTLOISZ,X,X,X,X,X,O,O,O
JTLOIZS,X,X,X,X,X,O,X,O
JTLOSIZ,X,X,X,X,X,O,O,O
JTLOSZI,X,X,X,X,X,X,X,O
JTLOZIS,X,X,X,X,X,O,X,O
JTLOZSI,X,X,X,X,X,X,X,O
JTSILZO,X,O,O,X,X,O,O,X
JTSILOZ,X,X,O,X,X,O,O,X
JTSIZLO,O,O,O,X,X,X,X,X
JTSIZOL,O,O,O,X,X,X,X,X
JTSIOLZ,X,X,O,X,X,O,X,O
JTSIOZL,O,O,O,X,X,X,X,O
JTSLIZO,X,O,O,X,X,O,O,X
JTSLIOZ,X,X,O,X,X,O,O,X
JTSLZIO,X,O,O,X,X,X,X,X
JTSLZOI,X,O,O,X,X,X,X,X
JTSLOIZ,X,X,O,X,X,O,O,X
JTSLOZI,X,X,O,X,X,X,X,X
JTSZILO,O,O,O,X,X,X,X,X
JTSZIOL,O,O,O,X,X,X,X,X
JTSZLIO,O,O,O,X,X,X,X,X
JTSZLOI,O,O,O,X,X,X,X,X
JTSZOIL,O,O,O,X,X,X,X,X
JTSZOLI,O,O,O,X,X,X,X,X
JTSOILZ,X,X,O,X,X,O,X,O
JTSOIZL,O,O,O,X,X,X,X,O
JTSOLIZ,X,X,O,X,X,O,X,O
JTSOLZI,X,X,O,X,X,X,X,O
JTSOZIL,O,O,O,X,X,X,X,O
JTSOZLI,O,O,O,X,X,X,X,O
JTZILSO,O,X,X,X,X,O,X,X
JTZILOS,X,X,X,X,X,O,X,X
