sequence,v115@PhE8EeF8EeA8Je2EJvhFRgBCjBfrBlmB0sBzrB,v115@PhE8EeF8EeA8JeT/IvhF/lBamBWnBxnB1wB0sB,v115@PhE8EeF8EeA8JeT/IvhFmgBfnBxiB0lBqsB1wB,v115@PhE8EeF8EeA8JeT/IvhF/lB1mBxiBqsBmrBUrB,v115@PhE8EeF8EeA8JeT/IvhFxgBymB+nB0lB1wBXtB,v115@PhE8EeF8EeA8JeT/IvhFxgB6nBllBcrBesBXtB,v115@PhE8EeF8EeA8JeT/IvhF2lBCjBUnBfrBlmBRxB
LSIOTJZ,X,O,X,O,X,X,X
LSIOTZJ,X,O,X,X,X,X,X
LSIOJTZ,X,X,X,O,X,X,X
LSIOJZT,O,X,X,O,X,X,O
LSIOZTJ,O,O,X,X,X,X,X
LSIOZJT,O,X,X,O,X,X,O
LSJTIZO,O,O,X,O,X,X,X
LSJTIOZ,X,O,X,O,X,X,X
LSJTZIO,O,O,X,O,X,X,X
LSJTZOI,O,O,X,O,X,X,X
LSJTOIZ,X,O,X,O,X,X,X
LSJTOZI,X,O,X,O,X,X,X
LSJITZO,O,X,X,O,X,X,X
LSJITOZ,X,X,X,O,X,X,X
LSJIZTO,O,X,X,O,X,X,X
LSJIZOT,O,X,X,O,X,X,O
LSJIOTZ,X,X,X,O,X,X,X
LSJIOZT,O,X,X,O,X,X,O
LSJZTIO,O,X,X,O,X,X,X
LSJZTOI,O,X,X,O,X,X,X
LSJZITO,O,X,X,O,X,X,X
LSJZIOT,O,X,X,O,X,X,X
LSJZOTI,O,X,X,O,X,X,X
LSJZOIT,O,X,X,O,X,X,X
LSJOTIZ,X,O,X,O,X,X,X
LSJOTZI,X,O,X,O,X,X,X
LSJOITZ,X,X,X,O,X,X,X
LSJOIZT,O,X,X,O,X,X,O
LSJOZTI,O,X,X,O,X,X,X
LSJOZIT,O,X,X,O,X,X,X
LSZTIJO,O,O,O,X,X,X,X
LSZTIOJ,O,O,O,X,X,X,X
LSZTJIO,O,O,O,X,X,X,X
LSZTJOI,O,O,O,X,X,X,X
LSZTOIJ,O,O,O,X,X,X,X
LSZTOJI,O,O,O,X,X,X,X
LSZITJO,O,O,X,X,X,X,X
LSZITOJ,O,O,X,X,X,X,X
LSZIJTO,O,X,X,O,X,X,X
LSZIJOT,O,X,X,O,X,X,X
LSZIOTJ,O,O,X,X,X,X,X
LSZIOJT,O,X,X,O,X,X,X
LSZJTIO,O,X,O,O,X,X,X
LSZJTOI,O,X,O,O,X,X,X
LSZJITO,O,X,X,O,X,X,X
LSZJIOT,O,X,X,O,X,X,X
LSZJOTI,O,X,O,O,X,X,X
LSZJOIT,O,X,X,O,X,X,X
LSZOTIJ,O,O,O,X,X,X,X
LSZOTJI,O,O,O,X,X,X,X
LSZOITJ,O,O,X,X,X,X,X
LSZOIJT,O,X,X,O,X,X,X
LSZOJTI,O,X,O,O,X,X,X
LSZOJIT,O,X,X,O,X,X,X
LSOTIJZ,X,O,O,O,X,X,X
LSOTIZJ,X,O,O,X,X,X,X
LSOTJIZ,X,O,O,O,X,X,X
LSOTJZI,X,O,O,O,X,X,X
LSOTZIJ,X,O,O,X,X,X,X
LSOTZJI,X,O,O,X,X,X,X
LSOITJZ,X,O,X,O,X,X,X
LSOITZJ,X,O,X,X,X,X,X
LSOIJTZ,X,X,X,O,X,X,X
LSOIJZT,O,X,X,O,X,X,O
LSOIZTJ,O,O,X,X,X,X,X
LSOIZJT,O,X,X,O,X,X,O
LSOJTIZ,X,O,X,O,X,X,X
LSOJTZI,X,O,X,O,X,X,X
LSOJITZ,X,X,X,O,X,X,X
LSOJIZT,O,X,X,O,X,X,O
LSOJZTI,O,X,X,O,X,X,X
LSOJZIT,O,X,X,O,X,X,X
LSOZTIJ,O,O,O,X,X,X,X
LSOZTJI,O,O,O,X,X,X,X
LSOZITJ,O,O,X,X,X,X,X
LSOZIJT,O,X,X,O,X,X,X
LSOZJTI,O,X,O,O,X,X,X
LSOZJIT,O,X,X,O,X,X,X
LZTIJSO,X,X,O,X,O,O,X
LZTIJOS,X,X,O,X,O,O,X
LZTISJO,X,X,O,X,O,X,X
LZTISOJ,X,X,O,X,O,X,X
LZTIOJS,X,X,O,X,O,O,X
LZTIOSJ,X,X,O,X,O,X,X
LZTJISO,O,X,O,X,O,O,X
LZTJIOS,X,X,O,X,O,O,X
LZTJSIO,O,X,O,X,O,O,X
LZTJSOI,O,X,O,X,O,O,X
LZTJOIS,X,X,O,X,O,O,X
LZTJOSI,X,X,O,X,O,O,X
LZTSIJO,O,X,O,X,O,X,X
LZTSIOJ,O,X,O,X,O,X,X
LZTSJIO,O,X,O,X,O,X,X
LZTSJOI,O,X,O,X,O,X,X
LZTSOIJ,O,X,O,X,O,X,X
LZTSOJI,O,X,O,X,O,X,X
LZTOIJS,X,X,O,X,O,O,X
LZTOISJ,X,X,O,X,O,X,X
LZTOJIS,X,X,O,X,O,O,X
LZTOJSI,X,X,O,X,O,O,X
LZTOSIJ,X,X,O,X,O,X,X
LZTOSJI,X,X,O,X,O,X,X
LZITJSO,X,X,O,X,O,X,X
LZITJOS,X,X,O,X,O,X,O
LZITSJO,X,X,O,X,O,X,X
LZITSOJ,X,X,O,X,O,X,X
LZITOJS,X,X,O,X,O,X,O
LZITOSJ,X,X,O,X,O,X,X
LZIJTSO,O,X,O,O,X,X,X
LZIJTOS,X,X,O,O,X,X,O
LZIJSTO,O,X,X,O,X,X,X
LZIJSOT,O,X,X,O,X,X,O
LZIJOTS,X,X,O,O,X,X,O
LZIJOST,O,X,X,O,X,X,O
LZISTJO,O,O,X,X,X,X,X
LZISTOJ,O,O,X,X,X,X,X
LZISJTO,O,X,X,O,X,X,X
LZISJOT,O,X,X,O,X,X,O
LZISOTJ,O,O,X,X,X,X,X
LZISOJT,O,X,X,O,X,X,O
LZIOTJS,X,X,O,X,O,X,O
LZIOTSJ,X,X,O,X,O,X,X
LZIOJTS,X,X,O,O,X,X,O
LZIOJST,X,X,X,O,X,X,O
LZIOSTJ,X,O,X,X,X,X,X
LZIOSJT,X,X,X,O,X,X,O
LZJTISO,O,X,O,O,X,O,X
LZJTIOS,X,X,O,O,X,O,X
LZJTSIO,O,X,O,O,X,O,X
LZJTSOI,O,X,O,O,X,O,X
LZJTOIS,X,X,O,O,X,O,X
LZJTOSI,X,X,O,O,X,O,X
LZJITSO,O,X,O,O,X,O,X
LZJITOS,X,X,O,O,X,O,O
LZJISTO,O,X,X,O,X,X,X
LZJISOT,O,X,X,O,X,X,O
LZJIOTS,X,X,O,O,X,O,O
LZJIOST,O,X,X,O,X,X,O
LZJSTIO,O,X,O,O,X,O,X
LZJSTOI,O,X,O,O,X,O,X
LZJSITO,O,X,X,O,X,X,X
LZJSIOT,O,X,X,O,X,X,X
LZJSOTI,O,X,O,O,X,O,X
LZJSOIT,O,X,X,O,X,X,X
LZJOTIS,X,X,O,O,X,O,X
LZJOTSI,X,X,O,O,X,O,X
LZJOITS,X,X,O,O,X,O,O
LZJOIST,O,X,X,O,X,X,O
LZJOSTI,O,X,O,O,X,O,X
LZJOSIT,O,X,X,O,X,X,X
LZSTIJO,O,O,O,X,X,X,X
LZSTIOJ,O,O,O,X,X,X,X
LZSTJIO,O,O,O,X,X,X,X
LZSTJOI,O,O,O,X,X,X,X
LZSTOIJ,O,O,O,X,X,X,X
LZSTOJI,O,O,O,X,X,X,X
LZSITJO,O,O,X,X,X,X,X
LZSITOJ,O,O,X,X,X,X,X
LZSIJTO,O,X,X,O,X,X,X
LZSIJOT,O,X,X,O,X,X,X
LZSIOTJ,O,O,X,X,X,X,X
LZSIOJT,O,X,X,O,X,X,X
LZSJTIO,O,X,O,O,X,X,X
LZSJTOI,O,X,O,O,X,X,X
LZSJITO,O,X,X,O,X,X,X
LZSJIOT,O,X,X,O,X,X,X
LZSJOTI,O,X,O,O,X,X,X
LZSJOIT,O,X,X,O,X,X,X
LZSOTIJ,O,O,O,X,X,X,X
LZSOTJI,O,O,O,X,X,X,X
LZSOITJ,O,O,X,X,X,X,X
LZSOIJT,O,X,X,O,X,X,X
LZSOJTI,O,X,O,O,X,X,X
LZSOJIT,O,X,X,O,X,X,X
LZOTIJS,X,X,O,X,O,O,X
LZOTISJ,X,X,O,X,O,X,X
LZOTJIS,X,X,O,X,O,O,X
LZOTJSI,X,X,O,X,O,O,X
LZOTSIJ,X,X,O,X,O,X,X
LZOTSJI,X,X,O,X,O,X,X
LZOITJS,X,X,O,X,O,X,O
LZOITSJ,X,X,O,X,O,X,X
LZOIJTS,X,X,O,O,X,X,O
LZOIJST,X,X,X,O,X,X,O
LZOISTJ,X,O,X,X,X,X,X
LZOISJT,X,X,X,O,X,X,O
LZOJTIS,X,X,O,O,X,O,X
LZOJTSI,X,X,O,O,X,O,X
LZOJITS,X,X,O,O,X,O,O
LZOJIST,O,X,X,O,X,X,O
LZOJSTI,O,X,O,O,X,O,X
LZOJSIT,O,X,X,O,X,X,X
LZOSTIJ,O,O,O,X,X,X,X
LZOSTJI,O,O,O,X,X,X,X
LZOSITJ,O,O,X,X,X,X,X
LZOSIJT,O,X,X,O,X,X,X
LZOSJTI,O,X,O,O,X,X,X
LZOSJIT,O,X,X,O,X,X,X
LOTIJSZ,X,O,X,O,X,X,X
LOTIJZS,X,X,X,O,O,X,O
LOTISJZ,X,O,O,O,X,X,X
LOTISZJ,X,O,O,X,X,X,X
LOTIZJS,X,X,O,X,O,O,O
LOTIZSJ,X,X,O,X,O,X,X
LOTJISZ,X,O,X,O,X,X,X
LOTJIZS,X,X,X,O,O,X,O
LOTJSIZ,X,O,O,O,X,X,X
LOTJSZI,X,O,O,O,O,X,X
LOTJZIS,X,X,O,O,O,X,X
LOTJZSI,X,X,O,O,O,X,X
LOTSIJZ,X,O,O,O,X,X,X
LOTSIZJ,X,O,O,X,X,X,X
LOTSJIZ,X,O,O,O,X,X,X
LOTSJZI,X,O,O,O,O,X,X
LOTSZIJ,X,O,O,X,O,X,X
LOTSZJI,X,O,O,X,O,X,X
LOTZIJS,X,X,O,X,O,O,X
LOTZISJ,X,X,O,X,O,X,X
LOTZJIS,X,X,O,X,O,O,X
LOTZJSI,X,X,O,X,O,O,X
LOTZSIJ,X,X,O,X,O,X,X
LOTZSJI,X,X,O,X,O,X,X
LOITJSZ,X,O,X,O,X,X,X
LOITJZS,X,X,X,O,X,X,O
LOITSJZ,X,O,O,O,X,X,X
LOITSZJ,X,O,O,X,X,X,X
LOITZJS,X,X,O,X,X,X,O
LOITZSJ,X,X,O,X,X,X,X
LOIJTSZ,X,X,X,O,X,X,X
LOIJTZS,X,X,X,O,X,X,O
LOIJSTZ,X,X,X,O,X,X,X
LOIJSZT,X,X,X,O,X,X,O
LOIJZTS,X,X,X,O,X,X,O
LOIJZST,X,X,X,O,X,X,O
LOISTJZ,X,O,X,O,X,X,X
LOISTZJ,X,O,X,X,X,X,X
LOISJTZ,X,X,X,O,X,X,X
LOISJZT,X,X,X,O,X,X,O
LOISZTJ,X,O,X,X,X,X,X
LOISZJT,X,X,X,O,X,X,O
LOIZTJS,X,X,O,X,X,X,O
LOIZTSJ,X,X,O,X,X,X,X
LOIZJTS,X,X,O,O,X,X,O
LOIZJST,X,X,X,O,X,X,O
LOIZSTJ,X,O,X,X,X,X,X
LOIZSJT,X,X,X,O,X,X,O
LOJTISZ,X,X,X,O,X,X,X
LOJTIZS,X,X,X,O,X,X,O
LOJTSIZ,X,X,O,O,X,X,X
LOJTSZI,X,X,O,O,X,X,X
LOJTZIS,X,X,O,O,X,O,X
LOJTZSI,X,X,O,O,X,O,X
LOJITSZ,X,X,X,O,X,X,X
LOJITZS,X,X,X,O,X,X,O
LOJISTZ,X,X,X,O,X,X,X
LOJISZT,O,X,X,O,X,X,O
LOJIZTS,X,X,X,O,X,O,O
LOJIZST,O,X,X,O,X,X,O
LOJSTIZ,X,X,X,O,X,X,X
LOJSTZI,X,X,X,O,X,X,X
LOJSITZ,X,X,X,O,X,X,X
LOJSIZT,O,X,X,O,X,X,O
LOJSZTI,O,X,X,O,X,O,X
LOJSZIT,O,X,X,O,X,X,X
LOJZTIS,X,X,O,O,X,O,X
LOJZTSI,X,X,O,O,X,O,X
LOJZITS,X,X,O,O,X,O,O
LOJZIST,O,X,X,O,X,X,O
LOJZSTI,O,X,O,O,X,O,X
LOJZSIT,O,X,X,O,X,X,X
LOSTIJZ,X,O,O,O,X,X,X
LOSTIZJ,X,O,O,X,X,X,X
LOSTJIZ,X,O,O,O,X,X,X
LOSTJZI,X,O,O,O,X,X,X
LOSTZIJ,X,O,O,X,X,X,X
LOSTZJI,X,O,O,X,X,X,X
LOSITJZ,X,O,X,O,X,X,X
LOSITZJ,X,O,X,X,X,X,X
LOSIJTZ,X,X,X,O,X,X,X
LOSIJZT,O,X,X,O,X,X,O
LOSIZTJ,O,O,X,X,X,X,X
LOSIZJT,O,X,X,O,X,X,O
LOSJTIZ,X,O,X,O,X,X,X
LOSJTZI,X,O,X,O,X,X,X
LOSJITZ,X,X,X,O,X,X,X
LOSJIZT,O,X,X,O,X,X,O
LOSJZTI,O,X,X,O,X,X,X
LOSJZIT,O,X,X,O,X,X,X
LOSZTIJ,O,O,O,X,X,X,X
LOSZTJI,O,O,O,X,X,X,X
LOSZITJ,O,O,X,X,X,X,X
LOSZIJT,O,X,X,O,X,X,X
LOSZJTI,O,X,O,O,X,X,X
LOSZJIT,O,X,X,O,X,X,X
LOZTIJS,X,X,O,X,O,O,X
LOZTISJ,X,X,O,X,O,X,X
LOZTJIS,X,X,O,X,O,O,X
LOZTJSI,X,X,O,X,O,O,X
LOZTSIJ,X,X,O,X,O,X,X
LOZTSJI,X,X,O,X,O,X,X
LOZITJS,X,X,O,X,O,X,O
LOZITSJ,X,X,O,X,O,X,X
LOZIJTS,X,X,O,O,X,X,O
LOZIJST,X,X,X,O,X,X,O
LOZISTJ,X,O,X,X,X,X,X
LOZISJT,X,X,X,O,X,X,O
LOZJTIS,X,X,O,O,X,O,X
LOZJTSI,X,X,O,O,X,O,X
LOZJITS,X,X,O,O,X,O,O
LOZJIST,O,X,X,O,X,X,O
LOZJSTI,O,X,O,O,X,O,X
LOZJSIT,O,X,X,O,X,X,X
LOZSTIJ,O,O,O,X,X,X,X
LOZSTJI,O,O,O,X,X,X,X
LOZSITJ,O,O,X,X,X,X,X
LOZSIJT,O,X,X,O,X,X,X
LOZSJTI,O,X,O,O,X,X,X
LOZSJIT,O,X,X,O,X,X,X
JTILSZO,O,O,X,X,X,X,X
JTILSOZ,X,O,X,X,X,X,X
JTILZSO,O,X,X,X,O,X,X
JTILZOS,X,X,X,X,O,X,O
JTILOSZ,X,O,X,X,X,X,X
JTILOZS,X,X,X,X,O,X,O
JTISLZO,O,O,X,X,X,X,X
JTISLOZ,X,O,X,X,X,X,X
JTISZLO,O,O,X,X,X,X,X
JTISZOL,O,O,X,X,X,X,X
JTISOLZ,X,O,X,X,X,X,X
JTISOZL,X,O,X,X,X,X,X
JTIZLSO,O,X,X,X,O,O,X
JTIZLOS,X,X,X,X,O,O,O
JTIZSLO,O,O,X,X,O,O,X
JTIZSOL,O,O,X,X,O,O,X
JTIZOLS,X,X,X,X,O,O,O
JTIZOSL,X,O,X,X,O,O,X
JTIOLSZ,X,O,X,X,X,X,X
JTIOLZS,X,X,X,X,O,X,O
JTIOSLZ,X,O,X,X,X,X,X
JTIOSZL,X,O,X,X,X,X,X
JTIOZLS,X,X,X,X,O,O,O
JTIOZSL,X,O,X,X,O,O,X
JTLISZO,O,O,X,O,X,X,X
JTLISOZ,X,O,X,O,X,X,X
JTLIZSO,O,X,X,O,O,X,X
JTLIZOS,X,X,X,O,O,X,O
JTLIOSZ,X,O,X,O,X,X,X
JTLIOZS,X,X,X,O,O,X,O
JTLSIZO,O,O,O,O,X,X,X
JTLSIOZ,X,O,O,O,X,X,X
JTLSZIO,O,O,O,O,O,X,X
JTLSZOI,O,O,O,O,O,X,X
JTLSOIZ,X,O,O,O,X,X,X
JTLSOZI,X,O,O,O,O,X,X
JTLZISO,O,X,O,O,O,O,X
JTLZIOS,X,X,O,O,O,O,X
JTLZSIO,O,X,O,O,O,O,X
JTLZSOI,O,X,O,O,O,O,X
JTLZOIS,X,X,O,O,O,O,X
JTLZOSI,X,X,O,O,O,O,X
JTLOISZ,X,O,X,O,X,X,X
JTLOIZS,X,X,X,O,O,X,O
JTLOSIZ,X,O,O,O,X,X,X
JTLOSZI,X,O,O,O,O,X,X
JTLOZIS,X,X,O,O,O,O,X
JTLOZSI,X,X,O,O,O,O,X
JTSILZO,O,O,X,X,X,X,X
JTSILOZ,X,O,X,X,X,X,X
JTSIZLO,O,O,X,X,X,X,X
JTSIZOL,O,O,X,X,X,X,X
JTSIOLZ,X,O,X,X,X,X,X
JTSIOZL,X,O,X,X,X,X,X
JTSLIZO,O,O,X,O,X,X,X
JTSLIOZ,X,O,X,O,X,X,X
JTSLZIO,O,O,X,O,O,X,X
JTSLZOI,O,O,X,O,O,X,X
JTSLOIZ,X,O,X,O,X,X,X
JTSLOZI,X,O,X,O,O,X,X
JTSZILO,O,O,X,X,O,X,X
JTSZIOL,O,O,X,X,O,X,X
JTSZLIO,O,O,X,X,O,X,X
JTSZLOI,O,O,X,X,O,X,X
JTSZOIL,O,O,X,X,O,X,X
JTSZOLI,O,O,X,X,O,X,X
JTSOILZ,X,O,X,X,X,X,X
JTSOIZL,X,O,X,X,X,X,X
JTSOLIZ,X,O,X,O,X,X,X
JTSOLZI,X,O,X,O,O,X,X
JTSOZIL,X,O,X,X,O,X,X
JTSOZLI,X,O,X,X,O,X,X
JTZILSO,O,X,O,X,O,O,X
JTZILOS,X,X,O,X,O,O,X
JTZISLO,O,O,X,X,O,O,X
JTZISOL,O,O,X,X,O,O,X
JTZIOLS,X,X,O,X,O,O,X
JTZIOSL,X,O,X,X,O,O,X
JTZLISO,O,X,O,X,O,O,X
JTZLIOS,X,X,O,X,O,O,X
JTZLSIO,O,X,O,X,O,O,X
JTZLSOI,O,X,O,X,O,O,X
JTZLOIS,X,X,O,X,O,O,X
JTZLOSI,X,X,O,X,O,O,X
JTZSILO,O,O,X,X,O,O,X
JTZSIOL,O,O,X,X,O,O,X
JTZSLIO,O,O,O,X,O,O,X
JTZSLOI,O,O,O,X,O,O,X
JTZSOIL,O,O,X,X,O,O,X
JTZSOLI,O,O,O,X,O,O,X
JTZOILS,X,X,O,X,O,O,X
JTZOISL,X,O,X,X,O,O,X
JTZOLIS,X,X,O,X,O,O,X
JTZOLSI,X,X,O,X,O,O,X
JTZOSIL,X,O,X,X,O,O,X
JTZOSLI,X,O,O,X,O,O,X
JTOILSZ,X,O,X,X,X,X,X
JTOILZS,X,X,X,X,O,X,O
JTOISLZ,X,O,X,X,X,X,X
JTOISZL,X,O,X,X,X,X,X
JTOIZLS,X,X,X,X,O,O,O
JTOIZSL,X,O,X,X,O,O,X
JTOLISZ,X,O,X,O,X,X,X
JTOLIZS,X,X,X,O,O,X,O
JTOLSIZ,X,O,O,O,X,X,X
JTOLSZI,X,O,O,O,O,X,X
JTOLZIS,X,X,O,O,O,O,X
JTOLZSI,X,X,O,O,O,O,X
JTOSILZ,X,O,X,X,X,X,X
JTOSIZL,X,O,X,X,X,X,X
JTOSLIZ,X,O,X,O,X,X,X
JTOSLZI,X,O,X,O,O,X,X
JTOSZIL,X,O,X,X,O,X,X
JTOSZLI,X,O,X,X,O,X,X
JTOZILS,X,X,O,X,O,O,X
JTOZISL,X,O,X,X,O,O,X
JTOZLIS,X,X,O,X,O,O,X
JTOZLSI,X,X,O,X,O,O,X
JTOZSIL,X,O,X,X,O,O,X
JTOZSLI,X,O,O,X,O,O,X
JITLSZO,O,O,X,X,X,X,X
JITLSOZ,X,O,X,X,X,X,X
JITLZSO,O,X,X,X,X,X,X
JITLZOS,X,X,X,X,X,X,O
JITLOSZ,X,O,X,X,X,X,X
JITLOZS,X,X,X,X,X,X,O
JITSLZO,O,O,X,X,X,X,X
JITSLOZ,X,O,X,X,X,X,X
JITSZLO,O,O,X,X,X,X,X
JITSZOL,O,O,X,X,X,X,X
JITSOLZ,X,O,X,X,X,X,X
JITSOZL,X,O,X,X,X,X,X
JITZLSO,O,X,X,X,X,X,X
JITZLOS,X,X,X,X,X,X,O
JITZSLO,O,O,X,X,X,X,X
JITZSOL,O,O,X,X,X,X,X
JITZOLS,X,X,X,X,X,X,O
JITZOSL,X,O,X,X,X,X,X
JITOLSZ,X,O,X,X,X,X,X
JITOLZS,X,X,X,X,X,X,O
JITOSLZ,X,O,X,X,X,X,X
JITOSZL,X,O,X,X,X,X,X
JITOZLS,X,X,X,X,X,X,O
JITOZSL,X,O,X,X,X,X,X
JILTSZO,O,X,X,O,X,X,X
JILTSOZ,X,X,X,O,X,X,X
JILTZSO,O,X,X,O,X,X,X
JILTZOS,X,X,X,O,X,X,O
JILTOSZ,X,X,X,O,X,X,X
JILTOZS,X,X,X,O,X,X,O
JILSTZO,O,X,X,O,X,X,X
JILSTOZ,X,X,X,O,X,X,X
JILSZTO,O,X,X,O,X,X,X
JILSZOT,O,X,X,O,X,X,O
JILSOTZ,X,X,X,O,X,X,X
JILSOZT,O,X,X,O,X,X,O
JILZTSO,O,X,X,O,X,O,X
JILZTOS,X,X,X,O,X,O,O
JILZSTO,O,X,X,O,X,X,X
JILZSOT,O,X,X,O,X,X,O
JILZOTS,X,X,X,O,X,O,O
JILZOST,O,X,X,O,X,X,O
JILOTSZ,X,X,X,O,X,X,X
JILOTZS,X,X,X,O,X,X,O
JILOSTZ,X,X,X,O,X,X,X
JILOSZT,O,X,X,O,X,X,O
JILOZTS,X,X,X,O,X,O,O
JILOZST,O,X,X,O,X,X,O
JISTLZO,O,O,X,X,X,X,X
JISTLOZ,X,O,X,X,X,X,X
JISTZLO,O,O,X,X,X,X,X
JISTZOL,O,O,X,X,X,X,X
JISTOLZ,X,O,X,X,X,X,X
JISTOZL,X,O,X,X,X,X,X
JISLTZO,O,X,X,O,X,X,X
JISLTOZ,X,X,X,O,X,X,X
JISLZTO,O,X,X,O,X,X,X
JISLZOT,O,X,X,O,X,X,O
JISLOTZ,X,X,X,O,X,X,X
JISLOZT,O,X,X,O,X,X,O
JISZTLO,O,O,X,X,X,X,X
JISZTOL,O,O,X,X,X,X,X
JISZLTO,O,X,X,X,X,X,X
JISZLOT,O,X,X,X,X,X,O
JISZOTL,O,O,X,X,X,X,X
JISZOLT,O,X,X,X,X,X,O
JISOTLZ,X,O,X,X,X,X,X
JISOTZL,X,O,X,X,X,X,X
JISOLTZ,X,X,X,O,X,X,X
JISOLZT,O,X,X,O,X,X,O
JISOZTL,O,O,X,X,X,X,X
JISOZLT,O,X,X,X,X,X,O
JIZTLSO,O,X,X,X,X,O,X
JIZTLOS,X,X,X,X,X,O,O
JIZTSLO,O,X,X,X,X,O,X
JIZTSOL,O,X,X,X,X,O,X
JIZTOLS,X,X,X,X,X,O,O
JIZTOSL,X,X,X,X,X,O,X
JIZLTSO,O,X,X,X,X,O,X
JIZLTOS,X,X,X,X,X,O,O
JIZLSTO,O,X,X,X,X,X,X
JIZLSOT,O,X,X,X,X,X,O
JIZLOTS,X,X,X,X,X,O,O
JIZLOST,O,X,X,X,X,X,O
JIZSTLO,O,O,X,X,X,X,X
JIZSTOL,O,O,X,X,X,X,X
JIZSLTO,O,X,X,X,X,X,X
JIZSLOT,O,X,X,X,X,X,O
JIZSOTL,O,O,X,X,X,X,X
JIZSOLT,O,X,X,X,X,X,O
JIZOTLS,X,X,X,X,X,O,O
JIZOTSL,X,X,X,X,X,O,X
JIZOLTS,X,X,X,X,X,O,O
JIZOLST,O,X,X,X,X,X,O
JIZOSTL,O,O,X,X,X,X,X
JIZOSLT,O,X,X,X,X,X,O
JIOTLSZ,X,O,X,X,X,X,X
JIOTLZS,X,X,X,X,X,X,O
JIOTSLZ,X,O,X,X,X,X,X
JIOTSZL,X,O,X,X,X,X,X
JIOTZLS,X,X,X,X,X,X,O
JIOTZSL,X,O,X,X,X,X,X
JIOLTSZ,X,X,X,O,X,X,X
JIOLTZS,X,X,X,O,X,X,O
JIOLSTZ,X,X,X,O,X,X,X
JIOLSZT,O,X,X,O,X,X,O
JIOLZTS,X,X,X,O,X,O,O
JIOLZST,O,X,X,O,X,X,O
JIOSTLZ,X,O,X,X,X,X,X
JIOSTZL,X,O,X,X,X,X,X
JIOSLTZ,X,X,X,O,X,X,X
JIOSLZT,O,X,X,O,X,X,O
JIOSZTL,O,O,X,X,X,X,X
JIOSZLT,O,X,X,X,X,X,O
JIOZTLS,X,X,X,X,X,O,O
JIOZTSL,X,X,X,X,X,O,X
JIOZLTS,X,X,X,X,X,O,O
JIOZLST,O,X,X,X,X,X,O
JIOZSTL,O,O,X,X,X,X,X
JIOZSLT,O,X,X,X,X,X,O
JLTISZO,O,X,X,O,X,X,X
JLTISOZ,X,X,X,O,X,X,X
JLTIZSO,O,X,X,O,X,X,X
JLTIZOS,X,X,X,O,X,X,O
JLTIOSZ,X,X,X,O,X,X,X
JLTIOZS,X,X,X,O,X,X,O
JLTSIZO,O,X,O,O,X,X,X
JLTSIOZ,X,X,O,O,X,X,X
JLTSZIO,O,X,O,O,X,X,X
JLTSZOI,O,X,O,O,X,X,X
JLTSOIZ,X,X,O,O,X,X,X
JLTSOZI,X,X,O,O,X,X,X
JLTZISO,O,X,O,O,X,O,X
JLTZIOS,X,X,O,O,X,O,X
JLTZSIO,O,X,O,O,X,O,X
JLTZSOI,O,X,O,O,X,O,X
JLTZOIS,X,X,O,O,X,O,X
JLTZOSI,X,X,O,O,X,O,X
JLTOISZ,X,X,X,O,X,X,X
JLTOIZS,X,X,X,O,X,X,O
JLTOSIZ,X,X,O,O,X,X,X
JLTOSZI,X,X,O,O,X,X,X
JLTOZIS,X,X,O,O,X,O,X
JLTOZSI,X,X,O,O,X,O,X
JLITSZO,O,X,X,O,X,X,X
JLITSOZ,X,X,X,O,X,X,X
JLITZSO,O,X,X,O,X,X,X
JLITZOS,X,X,X,O,X,X,O
JLITOSZ,X,X,X,O,X,X,X
JLITOZS,X,X,X,O,X,X,O
JLISTZO,O,X,X,O,X,X,X
JLISTOZ,X,X,X,O,X,X,X
JLISZTO,O,X,X,O,X,X,X
JLISZOT,O,X,X,O,X,X,O
JLISOTZ,X,X,X,O,X,X,X
JLISOZT,O,X,X,O,X,X,O
JLIZTSO,O,X,X,O,X,O,X
JLIZTOS,X,X,X,O,X,O,O
JLIZSTO,O,X,X,O,X,X,X
JLIZSOT,O,X,X,O,X,X,O
JLIZOTS,X,X,X,O,X,O,O
JLIZOST,O,X,X,O,X,X,O
JLIOTSZ,X,X,X,O,X,X,X
JLIOTZS,X,X,X,O,X,X,O
JLIOSTZ,X,X,X,O,X,X,X
JLIOSZT,O,X,X,O,X,X,O
JLIOZTS,X,X,X,O,X,O,O
JLIOZST,O,X,X,O,X,X,O
JLSTIZO,O,X,X,O,X,X,X
JLSTIOZ,X,X,X,O,X,X,X
JLSTZIO,O,X,X,O,X,X,X
JLSTZOI,O,X,X,O,X,X,X
JLSTOIZ,X,X,X,O,X,X,X
JLSTOZI,X,X,X,O,X,X,X
JLSITZO,O,X,X,O,X,X,X
JLSITOZ,X,X,X,O,X,X,X
JLSIZTO,O,X,X,O,X,X,X
JLSIZOT,O,X,X,O,X,X,O
JLSIOTZ,X,X,X,O,X,X,X
JLSIOZT,O,X,X,O,X,X,O
JLSZTIO,O,X,X,O,X,O,X
JLSZTOI,O,X,X,O,X,O,X
JLSZITO,O,X,X,O,X,X,X
JLSZIOT,O,X,X,O,X,X,X
JLSZOTI,O,X,X,O,X,O,X
JLSZOIT,O,X,X,O,X,X,X
JLSOTIZ,X,X,X,O,X,X,X
