sequence,v115@VhB8AeD8CeF8JeOEJvhF0gBxhBTjBqpB/qBFsB,v115@VhB8AeD8CeF8Jex/IvhFlhBcnBTjBikB3lBWvB,v115@VhB8AeD8CeF8Je0/IvhFlgBRiBSoB/pBmmBTqB,v115@VhB8AeD8CeF8JeKEJvhFRgB3hBcnBTjBGlBVvB
TOSLZIJ,O,O,O,O
TOSLZJI,O,O,O,O
TOSJILZ,O,X,O,X
TOSJIZL,O,O,O,X
TOSJLIZ,O,O,O,X
TOSJLZI,O,O,O,X
TOSJZIL,O,O,O,X
TOSJZLI,O,O,O,X
TOSZILJ,O,O,O,O
TOSZIJL,O,O,X,X
TOSZLIJ,O,O,O,O
TOSZLJI,O,O,O,O
TOSZJIL,O,O,O,X
TOSZJLI,O,O,O,O
TOZILJS,O,O,X,O
TOZILSJ,O,O,X,O
TOZIJLS,O,O,X,X
TOZIJSL,O,O,X,X
TOZISLJ,O,O,X,O
TOZISJL,O,O,X,X
TOZLIJS,O,O,X,O
TOZLISJ,O,O,O,O
TOZLJIS,O,O,O,O
TOZLJSI,O,O,O,O
TOZLSIJ,O,O,O,O
TOZLSJI,O,O,O,O
TOZJILS,O,O,X,X
TOZJISL,O,O,X,X
TOZJLIS,O,O,X,O
TOZJLSI,O,O,X,O
TOZJSIL,O,O,X,X
TOZJSLI,O,O,X,O
TOZSILJ,O,O,O,O
TOZSIJL,O,O,X,X
TOZSLIJ,O,O,O,O
TOZSLJI,O,O,O,O
TOZSJIL,O,O,X,X
TOZSJLI,O,O,O,O
ITLJSZO,O,X,X,O
ITLJSOZ,O,X,X,O
ITLJZSO,O,X,X,O
ITLJZOS,O,X,X,O
ITLJOSZ,O,X,X,O
ITLJOZS,O,X,X,O
ITLSJZO,O,X,X,X
ITLSJOZ,O,X,X,X
ITLSZJO,O,X,X,X
ITLSZOJ,O,X,X,X
ITLSOJZ,O,X,X,X
ITLSOZJ,O,X,X,X
ITLZJSO,O,X,X,O
ITLZJOS,O,X,X,O
ITLZSJO,O,X,X,O
ITLZSOJ,O,X,X,O
ITLZOJS,O,X,X,O
ITLZOSJ,O,X,X,O
ITLOJSZ,O,X,X,O
ITLOJZS,O,X,X,O
ITLOSJZ,O,X,X,X
ITLOSZJ,O,X,X,X
ITLOZJS,O,X,X,O
ITLOZSJ,O,X,X,O
ITJLSZO,O,X,X,X
ITJLSOZ,O,X,X,X
ITJLZSO,O,X,X,X
ITJLZOS,O,X,X,X
ITJLOSZ,O,X,X,X
ITJLOZS,O,X,X,X
ITJSLZO,O,X,X,X
ITJSLOZ,O,X,X,X
ITJSZLO,O,X,X,X
ITJSZOL,O,X,X,X
ITJSOLZ,O,X,X,X
ITJSOZL,O,X,X,X
ITJZLSO,O,X,X,X
ITJZLOS,O,X,X,X
ITJZSLO,O,X,X,X
ITJZSOL,O,X,X,X
ITJZOLS,O,X,X,X
ITJZOSL,O,X,X,X
ITJOLSZ,O,X,X,X
ITJOLZS,O,X,X,X
ITJOSLZ,O,X,X,X
ITJOSZL,O,X,X,X
ITJOZLS,O,X,X,X
ITJOZSL,O,X,X,X
ITSLJZO,O,X,X,X
ITSLJOZ,O,X,X,X
ITSLZJO,O,X,X,X
ITSLZOJ,O,X,X,X
ITSLOJZ,O,X,X,X
ITSLOZJ,O,X,X,X
ITSJLZO,O,X,X,X
ITSJLOZ,O,X,X,X
ITSJZLO,O,X,X,X
ITSJZOL,O,X,X,X
ITSJOLZ,O,X,X,X
ITSJOZL,O,X,X,X
ITSZLJO,O,X,X,X
ITSZLOJ,O,X,X,X
ITSZJLO,O,X,X,X
ITSZJOL,O,X,X,X
ITSZOLJ,O,X,X,X
ITSZOJL,O,X,X,X
ITSOLJZ,O,X,X,X
ITSOLZJ,O,X,X,X
ITSOJLZ,O,X,X,X
ITSOJZL,O,X,X,X
ITSOZLJ,O,X,X,X
ITSOZJL,O,X,X,X
ITZLJSO,O,X,X,O
ITZLJOS,O,X,X,O
ITZLSJO,O,X,X,O
ITZLSOJ,O,X,X,O
ITZLOJS,O,X,X,O
ITZLOSJ,O,X,X,O
ITZJLSO,O,X,X,X
ITZJLOS,O,X,X,X
ITZJSLO,O,X,X,X
ITZJSOL,O,X,X,X
ITZJOLS,O,X,X,X
ITZJOSL,O,X,X,X
ITZSLJO,O,X,X,O
