sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,X,X,O
TOLIJZS,X,X,X
TOLISJZ,X,X,O
TOLISZJ,X,X,O
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,X,X,O
TOLJIZS,X,X,X
TOLJSIZ,X,X,O
TOLJSZI,X,X,O
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,X,X,O
TOLSIZJ,X,X,O
TOLSJIZ,X,X,O
TOLSJZI,X,X,O
TOLSZIJ,X,X,O
TOLSZJI,X,X,O
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,X,X,O
TOJILZS,X,X,X
TOJISLZ,X,X,O
TOJISZL,X,X,O
TOJIZLS,X,X,X
TOJIZSL,X,X,X
TOJLISZ,X,X,O
TOJLIZS,X,X,X
TOJLSIZ,X,X,O
TOJLSZI,X,X,O
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,X,X,O
TOJSIZL,X,X,O
TOJSLIZ,X,X,O
TOJSLZI,X,X,O
TOJSZIL,X,X,O
TOJSZLI,X,X,O
TOJZILS,X,X,X
TOJZISL,X,X,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,X,X,X
TOJZSLI,X,X,X
TOSILJZ,X,X,O
TOSILZJ,X,X,O
TOSIJLZ,X,X,O
TOSIJZL,X,X,O
TOSIZLJ,X,X,O
TOSIZJL,X,X,O
TOSLIJZ,X,X,O
TOSLIZJ,X,X,O
TOSLJIZ,X,X,O
TOSLJZI,X,X,O
TOSLZIJ,X,X,O
TOSLZJI,X,X,O
TOSJILZ,X,X,O
TOSJIZL,X,X,O
TOSJLIZ,X,X,O
TOSJLZI,X,X,O
TOSJZIL,X,X,O
TOSJZLI,X,X,O
TOSZILJ,X,X,O
TOSZIJL,X,X,O
TOSZLIJ,X,X,O
TOSZLJI,X,X,O
TOSZJIL,X,X,O
TOSZJLI,X,X,O
TOZILJS,X,X,X
TOZILSJ,X,X,X
TOZIJLS,X,X,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,X,X
TOZLISJ,X,X,X
TOZLJIS,X,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,X
TOZJISL,X,X,X
TOZJLIS,X,X,X
TOZJLSI,X,X,X
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,X,X,O
ITLJSOZ,X,X,O
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,X,O
ITLJOZS,X,X,X
ITLSJZO,X,X,O
ITLSJOZ,X,X,O
ITLSZJO,X,X,O
ITLSZOJ,X,X,O
ITLSOJZ,X,X,O
ITLSOZJ,X,X,O
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,O
ITLOJZS,X,X,X
ITLOSJZ,X,X,O
ITLOSZJ,X,X,O
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,O
ITJLSOZ,X,X,O
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,X,O
ITJLOZS,X,X,X
ITJSLZO,X,X,O
ITJSLOZ,X,X,O
ITJSZLO,X,X,O
ITJSZOL,X,X,O
ITJSOLZ,X,X,O
ITJSOZL,X,X,O
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,O
ITJOLZS,X,X,X
ITJOSLZ,X,X,O
ITJOSZL,X,X,O
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,O
ITSLJOZ,X,X,O
ITSLZJO,X,X,O
ITSLZOJ,X,X,O
ITSLOJZ,X,X,O
ITSLOZJ,X,X,O
ITSJLZO,X,X,O
ITSJLOZ,X,X,O
ITSJZLO,X,X,O
ITSJZOL,X,X,O
ITSJOLZ,X,X,O
ITSJOZL,X,X,O
ITSZLJO,X,X,O
ITSZLOJ,X,X,O
ITSZJLO,X,X,O
ITSZJOL,X,X,O
ITSZOLJ,X,X,O
ITSZOJL,X,X,O
ITSOLJZ,X,X,O
ITSOLZJ,X,X,O
ITSOJLZ,X,X,O
ITSOJZL,X,X,O
ITSOZLJ,X,X,O
ITSOZJL,X,X,O
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
