sequence,v115@9gA8IeA8IeB8FeA8AeC8CeD8JefFJvhFxgB0iB6oBV?sBzqBGrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFUhBFiB6oB3?nBxqBWwB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF+lB0iB6oBx?rBlrBXrB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhFfmBxiBVsBG?oB0qB6rB,v115@9gA8IeA8IeB8FeA8AeC8CeD8Jez/IvhF0hBxiBGoBl?qBCsBfrB
TOILSJZ,O,O,X,X,X
TOILSZJ,O,O,X,X,X
TOILZJS,X,O,O,X,X
TOILZSJ,O,O,X,X,X
TOIJLSZ,X,X,O,X,O
TOIJLZS,X,X,O,O,O
TOIJSLZ,X,X,X,X,O
TOIJSZL,X,X,X,O,X
TOIJZLS,X,X,O,O,O
TOIJZSL,X,X,X,O,X
TOISLJZ,O,O,X,X,X
TOISLZJ,O,O,X,X,X
TOISJLZ,O,O,X,X,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,X,X,X
TOISZJL,O,O,X,X,X
TOIZLJS,X,O,O,X,X
TOIZLSJ,O,O,X,X,X
TOIZJLS,X,O,O,O,X
TOIZJSL,X,X,X,O,X
TOIZSLJ,O,O,X,X,X
TOIZSJL,O,O,X,O,X
TOLIJSZ,X,X,O,X,O
TOLIJZS,X,X,O,X,O
TOLISJZ,O,O,X,X,X
TOLISZJ,O,O,X,X,X
TOLIZJS,X,O,O,X,X
TOLIZSJ,O,O,X,X,X
TOLJISZ,X,X,O,X,O
TOLJIZS,X,X,O,O,O
TOLJSIZ,O,X,X,X,O
TOLJSZI,O,X,X,X,O
TOLJZIS,X,X,O,O,O
TOLJZSI,O,X,X,O,O
TOLSIJZ,O,O,X,X,X
TOLSIZJ,O,O,X,X,X
TOLSJIZ,O,O,X,X,O
TOLSJZI,O,X,X,X,O
TOLSZIJ,O,O,X,X,X
TOLSZJI,O,X,X,X,X
TOLZIJS,X,X,O,X,X
TOLZISJ,O,X,X,X,X
TOLZJIS,X,X,O,O,O
TOLZJSI,O,X,X,O,O
TOLZSIJ,O,X,X,X,X
TOLZSJI,O,X,X,O,X
TOJILSZ,X,X,O,X,O
TOJILZS,X,X,O,O,O
TOJISLZ,X,X,X,X,O
TOJISZL,X,X,X,O,X
TOJIZLS,X,X,O,O,O
TOJIZSL,X,X,X,O,X
TOJLISZ,X,X,O,X,O
TOJLIZS,X,X,O,O,O
TOJLSIZ,O,X,X,X,O
