sequence,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBzgBfnB0iBKq?BFrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBChB0iBmmBFq?BXrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFCgBOmB0iBXlBzm?B1vB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFFgBXhB0iBWqBzm?ByvB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukB3gB1mB0iBTq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFukBFhB0iBKqBfr?BzrB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFzfBulB3hB1nBUq?BirB,v115@FhB8IeA8GeC8AeA8CeE8JeZEJvhFGgBKmBfnB0iBzk?B1vB
TSJLZOI,X,O,X,X,X,X,X,X
TSJLOIZ,X,O,X,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X,X,X
TSJZILO,X,O,O,X,X,X,X,X
TSJZIOL,X,O,X,X,X,X,X,X
TSJZLIO,X,O,O,X,X,X,X,X
TSJZLOI,X,O,X,X,X,X,X,X
TSJZOIL,X,O,X,X,X,X,X,X
TSJZOLI,X,O,X,X,X,X,X,X
TSJOILZ,X,O,X,X,X,X,X,X
TSJOIZL,X,O,X,X,X,X,X,X
TSJOLIZ,X,O,X,X,X,X,X,X
TSJOLZI,X,O,X,X,X,X,X,X
TSJOZIL,X,O,X,X,X,X,X,X
TSJOZLI,X,O,X,X,X,X,X,X
TSZILJO,O,X,O,X,X,X,X,O
TSZILOJ,O,O,O,X,X,X,X,O
TSZIJLO,X,O,O,X,X,X,X,X
TSZIJOL,X,O,X,X,X,X,O,X
TSZIOLJ,O,O,O,X,X,X,X,O
TSZIOJL,X,O,O,X,X,X,O,X
TSZLIJO,O,X,O,X,X,X,X,O
TSZLIOJ,O,O,O,X,X,X,X,O
TSZLJIO,O,X,O,X,X,X,X,O
TSZLJOI,O,X,X,X,X,X,X,X
TSZLOIJ,O,O,O,X,X,X,X,O
TSZLOJI,O,X,O,X,X,X,X,O
TSZJILO,X,O,O,X,X,X,X,X
TSZJIOL,X,O,X,X,X,X,O,X
TSZJLIO,X,O,O,X,X,X,X,X
TSZJLOI,X,O,X,X,X,X,X,X
TSZJOIL,X,O,X,X,X,X,O,X
TSZJOLI,X,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,O
TSZOIJL,X,O,O,X,X,X,O,X
TSZOLIJ,O,O,O,X,X,X,X,O
TSZOLJI,O,X,O,X,X,X,X,O
TSZOJIL,X,O,O,X,X,X,O,X
TSZOJLI,X,O,O,X,X,X,X,X
TSOILJZ,O,O,O,X,X,X,X,O
TSOILZJ,O,O,O,X,X,X,X,O
TSOIJLZ,X,O,O,X,X,X,X,X
TSOIJZL,X,O,O,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X,X,O
TSOIZJL,X,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,X,X,O
TSOLIZJ,O,O,O,X,X,X,X,O
TSOLJIZ,O,O,O,X,X,X,X,O
TSOLJZI,O,O,O,X,X,X,X,O
TSOLZIJ,O,O,O,X,X,X,X,O
TSOLZJI,O,X,O,X,X,X,X,O
TSOJILZ,X,O,O,X,X,X,X,X
TSOJIZL,X,O,O,X,X,X,X,X
TSOJLIZ,X,O,O,X,X,X,X,X
TSOJLZI,X,O,O,X,X,X,X,X
TSOJZIL,X,O,O,X,X,X,X,X
TSOJZLI,X,O,O,X,X,X,X,X
