sequence,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFukB1lB0iB6oBXq?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nBTjB0kBllB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBOpBllBStBzp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeT/IvhFxiBllBusBctBip?BXqB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iB6oBlkB3lB2u?BzsB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBctB6s?BzpB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF6nB0kBllBToB2u?BXtB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFTjBfqBllBWtBCq?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBOpBllBStBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTjBKpBfqBllBWt?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Je0AJvhFxiBlkBqsBToBOp?BXqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhF0iB6oBupB3lBzs?BFqB,v115@BhB8IeB8GeC8FeD8BeA8JeZEJvhFCgBllBGoBXoBzp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhF0iBllBStBmpBTp?BXtB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFXjBllBStBmpBTp?B0sB,v115@BhB8IeB8GeC8FeD8BeA8Jex/IvhFTkBllBGoBXoByu?B0sB
ZISOTJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZISOLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZISOLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZISOJTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZISOJLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOTLJS,O,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
ZIOTLSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOTJLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
ZIOTJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZIOTSLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOTSJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZIOLTJS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOLTSJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOLJTS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOLJST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOLSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOLSJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOJTLS,O,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
ZIOJTSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
ZIOJLTS,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOJLST,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOJSTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZIOJSLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOSTLJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOSTJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZIOSLTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOSLJT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZIOSJTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZIOSJLT,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZLTIJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTIJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLTISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTISOJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTIOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLTIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLTJIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZLTJSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLTJSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
ZLTJOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZLTJOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZLTSIJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLTSIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLTSJIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZLTSJOI,O,O,O,O,O,O,X,X,O,X,O,X,X,O,O,X
ZLTSOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLTSOJI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
ZLTOIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLTOISJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLTOJIS,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
ZLTOJSI,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
ZLTOSIJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLTOSJI,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ZLITJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLITJOS,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
ZLITSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLITSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLITOJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLITOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJTSO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIJTOS,O,X,O,O,O,X,X,X,X,X,X,X,X,O,X,X
ZLIJSTO,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIJSOT,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLIJOTS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIJOST,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLISTJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLISTOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLISJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLISJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLISOJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLIOTJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOTSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOJTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLIOJST,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOSTJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLIOSJT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLJTISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLJTIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZLJTSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZLJTSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
ZLJTOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZLJTOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZLJITSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZLJITOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZLJISTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJISOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJIOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLJIOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLJSTIO,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X
ZLJSTOI,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X
ZLJSITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
ZLJSOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLJOTIS,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
ZLJOTSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
ZLJOITS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLJOIST,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLJOSTI,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
ZLJOSIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLSTIJO,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLSTIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSTJIO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZLSTJOI,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O,X
ZLSTOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSTOJI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
ZLSITJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSITOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSIJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSIJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSIOJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSJTIO,O,O,X,O,O,O,X,X,X,O,X,X,X,X,X,X
ZLSJTOI,O,O,O,O,O,O,X,X,O,O,O,X,X,O,O,X
ZLSJITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSJIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZLSJOTI,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X
ZLSJOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLSOTIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSOTJI,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
ZLSOITJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSOIJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLSOJTI,X,O,O,O,O,O,X,X,O,X,O,X,X,X,X,X
ZLSOJIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLOTIJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLOTISJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOTJIS,O,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
ZLOTJSI,X,X,O,O,X,O,O,X,O,X,X,X,X,O,X,O
ZLOTSIJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOTSJI,O,X,O,O,X,O,X,X,O,X,O,X,X,X,X,X
ZLOITJS,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOITSJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOIJTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
ZLOIJST,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOISTJ,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOISJT,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLOJTIS,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,O
ZLOJTSI,X,X,O,O,O,O,O,X,O,X,X,X,X,O,X,O
ZLOJITS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZLOJIST,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZLOJSTI,X,X,O,O,O,O,O,X,O,X,O,X,X,X,X,X
ZLOJSIT,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSTIJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSTJI,O,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X
ZLOSITJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSIJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZLOSJTI,X,X,O,O,O,O,X,X,O,X,O,X,X,X,X,X
ZLOSJIT,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJTILSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJTILOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZJTISLO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJTISOL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJTIOLS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZJTIOSL,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJTLISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJTLIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZJTLSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJTLSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
ZJTLOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZJTLOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZJTSILO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJTSIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJTSLIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJTSLOI,O,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
ZJTSOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJTSOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJTOILS,O,O,O,O,O,O,O,X,X,X,X,X,O,X,X,X
ZJTOISL,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJTOLIS,O,O,O,O,O,O,O,X,X,X,X,X,O,O,X,X
ZJTOLSI,X,O,O,O,O,O,O,X,X,X,X,X,X,O,X,X
ZJTOSIL,X,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJTOSLI,X,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJITLSO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJITLOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZJITSLO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJITSOL,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJITOLS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZJITOSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
ZJILTSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZJILTOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZJILSTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJILSOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJILOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJILOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJISTLO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJISTOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJISLTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISLOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJISOTL,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJISOLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJIOTLS,X,X,X,O,X,X,O,X,X,X,X,O,O,X,X,X
ZJIOTSL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
ZJIOLTS,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X
ZJIOLST,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
ZJIOSTL,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZJIOSLT,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
ZJLTISO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJLTIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZJLTSIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJLTSOI,O,O,O,O,O,O,O,X,O,X,X,X,X,O,O,X
ZJLTOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZJLTOSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,O,O
ZJLITSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X
ZJLITOS,O,O,O,O,O,X,O,X,X,X,X,X,X,O,X,X
ZJLISTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJLIOST,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
ZJLSTIO,O,O,X,O,O,O,O,X,X,O,X,X,X,X,X,X
ZJLSTOI,O,O,O,O,O,O,O,X,O,O,O,X,X,O,O,X
ZJLSITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,X,O,X,O,O,X,O,X,X,O,O,X,X,X,X,X
ZJLSOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJLOTIS,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
ZJLOTSI,X,O,O,O,O,X,O,X,X,X,X,X,X,O,X,O
ZJLOITS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
ZJLOIST,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
ZJLOSTI,X,O,O,O,O,X,O,X,X,O,O,X,X,X,X,X
ZJLOSIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJSTILO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJSTIOL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJSTLIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJSTLOI,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
ZJSTOIL,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,X
ZJSTOLI,O,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X
ZJSITLO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZJSITOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZJSILTO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSILOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSIOTL,X,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X
ZJSIOLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJSLTIO,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X
ZJSLTOI,O,O,O,O,O,O,O,X,X,X,O,X,X,O,X,X
ZJSLITO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLIOT,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
ZJSLOTI,X,O,X,O,O,X,O,X,X,X,O,X,X,X,X,X
ZJSLOIT,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X
ZJSOTIL,X,O,X,X,O,O,O,O,X,X,X,O,X,X,X,X
ZJSOTLI,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJSOITL,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJSOILT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJSOLTI,X,O,X,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJSOLIT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOTILS,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X
ZJOTISL,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJOTLIS,X,O,O,O,O,O,O,X,X,X,X,O,O,O,X,X
ZJOTLSI,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X
ZJOTSIL,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
ZJOTSLI,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJOITLS,X,X,O,O,O,O,O,X,X,X,X,O,O,X,X,X
ZJOITSL,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJOILTS,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZJOILST,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJOISTL,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJOISLT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOLTIS,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X
ZJOLTSI,X,O,O,O,O,O,O,X,X,X,X,O,X,O,X,X
ZJOLITS,X,X,O,O,O,X,O,X,X,X,X,O,X,X,X,X
ZJOLIST,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJOLSTI,X,O,O,O,O,O,O,X,X,O,X,O,X,X,X,X
ZJOLSIT,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X
ZJOSTIL,X,O,O,X,O,O,O,O,X,X,X,O,X,X,X,X
ZJOSTLI,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJOSITL,X,O,X,X,O,O,X,O,X,X,X,O,X,X,X,X
ZJOSILT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZJOSLTI,X,O,O,X,O,O,O,X,X,X,X,O,X,X,X,X
ZJOSLIT,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSTILJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTILOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSTIJLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTIJOL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSTIOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTIOJL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLIJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTLIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSTLJIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTLJOI,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X
ZSTLOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSTLOJI,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X
ZSTJILO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJIOL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSTJLIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSTJLOI,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X
ZSTJOIL,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSTJOLI,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOILJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSTOIJL,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOLIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSTOLJI,O,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X
ZSTOJIL,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSTOJLI,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSITLJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSITLOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSITJLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSITJOL,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSITOLJ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSITOJL,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSILTJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILTOJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSILJTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILJOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSILOTJ,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSILOJT,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSIJTLO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSIJTOL,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSIJLTO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSIJOTL,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
ZSIJOLT,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSIOTLJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSIOTJL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZSIOLTJ,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSIOLJT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSIOJTL,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
ZSIOJLT,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
ZSLTIJO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZSLTIOJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLTJIO,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
ZSLTJOI,O,O,O,O,O,O,X,X,X,X,O,X,X,O,X,X
ZSLTOIJ,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
ZSLTOJI,O,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X
