sequence,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Ke0/IvhFlhBziB?5oBarBXlBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8Kel/IvhFamBziB?5oBXlB+rBUsB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeXAJvhFlhBziB?5oBarB0kBWxB,v115@HhA8EeA8CeA8BeA8BeC8AeD8DeA8KeVFJvhF3hBziB?5oB0kBarBWxB
SZLJIOT,X,X,X,X
SZLJOTI,X,X,X,X
SZLJOIT,X,X,X,X
SZLOTIJ,O,X,X,X
SZLOTJI,X,X,X,X
SZLOITJ,O,X,X,X
SZLOIJT,X,X,X,X
SZLOJTI,X,X,X,X
SZLOJIT,X,X,X,X
SZJTILO,X,O,X,X
SZJTIOL,X,O,X,X
SZJTLIO,X,O,X,X
SZJTLOI,X,O,X,X
SZJTOIL,X,O,X,X
SZJTOLI,X,O,X,X
SZJITLO,X,O,X,X
SZJITOL,X,O,X,X
SZJILTO,O,O,X,X
SZJILOT,O,O,X,X
SZJIOTL,X,O,X,X
SZJIOLT,O,O,X,X
SZJLTIO,O,O,X,X
SZJLTOI,O,O,X,X
SZJLITO,O,O,X,X
SZJLIOT,O,O,X,X
SZJLOTI,O,O,X,X
SZJLOIT,O,O,X,X
SZJOTIL,X,O,X,X
SZJOTLI,X,O,X,X
SZJOITL,X,O,X,X
SZJOILT,O,O,X,X
SZJOLTI,O,O,X,X
SZJOLIT,O,O,X,X
SZOTILJ,X,X,X,O
SZOTIJL,X,O,X,O
SZOTLIJ,X,X,X,X
SZOTLJI,X,X,X,X
SZOTJIL,X,O,X,X
SZOTJLI,X,O,X,X
SZOITLJ,X,X,X,O
SZOITJL,X,O,X,O
SZOILTJ,O,X,X,X
SZOILJT,X,X,X,X
SZOIJTL,X,O,X,X
SZOIJLT,O,O,X,X
SZOLTIJ,O,X,X,X
SZOLTJI,X,X,X,X
SZOLITJ,O,X,X,X
SZOLIJT,X,X,X,X
SZOLJTI,X,X,X,X
SZOLJIT,X,X,X,X
SZOJTIL,X,O,X,X
SZOJTLI,X,O,X,X
SZOJITL,X,O,X,X
SZOJILT,O,O,X,X
SZOJLTI,O,O,X,X
SZOJLIT,O,O,X,X
SOTILJZ,X,O,X,O
SOTILZJ,X,X,X,O
SOTIJLZ,X,O,X,O
SOTIJZL,X,O,X,O
SOTIZLJ,X,X,X,O
SOTIZJL,X,O,X,O
SOTLIJZ,X,O,X,O
SOTLIZJ,X,X,X,O
SOTLJIZ,X,O,X,X
SOTLJZI,X,O,X,X
SOTLZIJ,X,X,X,X
SOTLZJI,X,X,X,X
SOTJILZ,X,O,X,O
SOTJIZL,X,O,X,O
SOTJLIZ,X,O,X,O
SOTJLZI,X,O,X,X
SOTJZIL,X,O,X,O
SOTJZLI,X,O,X,X
SOTZILJ,X,X,X,O
SOTZIJL,X,O,X,O
SOTZLIJ,X,X,X,X
SOTZLJI,X,X,X,X
SOTZJIL,X,O,X,X
SOTZJLI,X,O,X,X
SOITLJZ,X,O,X,O
SOITLZJ,X,X,X,O
SOITJLZ,X,O,X,O
SOITJZL,X,O,X,O
SOITZLJ,X,X,X,O
SOITZJL,X,O,X,O
SOILTJZ,X,O,O,O
SOILTZJ,O,X,O,O
SOILJTZ,X,O,O,X
SOILJZT,X,O,X,X
SOILZTJ,O,X,O,X
SOILZJT,X,X,X,X
SOIJTLZ,X,O,X,O
SOIJTZL,X,O,X,O
SOIJLTZ,O,O,O,O
SOIJLZT,O,O,O,X
SOIJZTL,X,O,X,O
SOIJZLT,O,O,X,X
SOIZTLJ,X,X,X,O
SOIZTJL,X,O,X,O
SOIZLTJ,O,X,X,X
SOIZLJT,X,X,X,X
SOIZJTL,X,O,X,X
SOIZJLT,O,O,X,X
SOLTIJZ,X,O,O,O
SOLTIZJ,O,X,O,O
SOLTJIZ,X,O,O,X
SOLTJZI,X,O,X,X
SOLTZIJ,O,X,O,X
SOLTZJI,X,X,X,X
SOLITJZ,X,O,O,O
SOLITZJ,O,X,O,O
SOLIJTZ,X,O,O,X
SOLIJZT,X,O,X,X
SOLIZTJ,O,X,O,X
SOLIZJT,X,X,X,X
SOLJTIZ,X,O,O,X
SOLJTZI,X,O,X,X
SOLJITZ,X,O,O,X
SOLJIZT,X,O,X,X
SOLJZTI,X,O,X,X
SOLJZIT,X,O,X,X
SOLZTIJ,O,X,O,X
SOLZTJI,X,X,X,X
SOLZITJ,O,X,O,X
SOLZIJT,X,X,X,X
SOLZJTI,X,X,X,X
SOLZJIT,X,X,X,X
SOJTILZ,X,O,X,O
SOJTIZL,X,O,X,O
SOJTLIZ,X,O,X,O
SOJTLZI,X,O,X,X
SOJTZIL,X,O,X,O
SOJTZLI,X,O,X,X
SOJITLZ,X,O,X,O
SOJITZL,X,O,X,O
SOJILTZ,O,O,O,O
SOJILZT,O,O,O,X
SOJIZTL,X,O,X,O
SOJIZLT,O,O,X,X
SOJLTIZ,O,O,O,O
SOJLTZI,O,O,O,X
SOJLITZ,O,O,O,O
SOJLIZT,O,O,O,X
SOJLZTI,O,O,O,X
SOJLZIT,O,O,O,X
SOJZTIL,X,O,X,O
SOJZTLI,X,O,X,X
SOJZITL,X,O,X,O
SOJZILT,O,O,X,X
SOJZLTI,O,O,X,X
SOJZLIT,O,O,X,X
SOZTILJ,X,X,X,O
SOZTIJL,X,O,X,O
SOZTLIJ,X,X,X,X
SOZTLJI,X,X,X,X
SOZTJIL,X,O,X,X
SOZTJLI,X,O,X,X
SOZITLJ,X,X,X,O
SOZITJL,X,O,X,O
SOZILTJ,O,X,X,X
SOZILJT,X,X,X,X
SOZIJTL,X,O,X,X
SOZIJLT,O,O,X,X
SOZLTIJ,O,X,X,X
SOZLTJI,X,X,X,X
SOZLITJ,O,X,X,X
SOZLIJT,X,X,X,X
SOZLJTI,X,X,X,X
SOZLJIT,X,X,X,X
SOZJTIL,X,O,X,X
SOZJTLI,X,O,X,X
SOZJITL,X,O,X,X
SOZJILT,O,O,X,X
SOZJLTI,O,O,X,X
SOZJLIT,O,O,X,X
ZTILJSO,X,X,X,X
ZTILJOS,O,X,X,X
ZTILSJO,X,X,X,X
ZTILSOJ,O,X,X,X
ZTILOJS,O,X,X,X
ZTILOSJ,O,X,X,X
ZTIJLSO,O,X,X,X
ZTIJLOS,O,X,X,X
ZTIJSLO,X,X,X,X
ZTIJSOL,X,X,X,O
ZTIJOLS,O,X,X,X
ZTIJOSL,X,X,X,O
ZTISLJO,X,X,X,X
ZTISLOJ,X,X,X,X
ZTISJLO,X,X,X,X
ZTISJOL,X,X,X,X
ZTISOLJ,X,X,X,O
ZTISOJL,X,X,X,O
ZTIOLJS,O,X,X,X
ZTIOLSJ,O,X,X,X
ZTIOJLS,O,X,X,X
ZTIOJSL,X,X,X,O
ZTIOSLJ,X,X,X,O
ZTIOSJL,X,X,X,O
ZTLIJSO,X,X,X,X
ZTLIJOS,O,X,X,X
ZTLISJO,X,X,X,X
ZTLISOJ,O,X,X,X
ZTLIOJS,O,X,X,X
ZTLIOSJ,O,X,X,X
ZTLJISO,X,X,X,X
ZTLJIOS,O,X,X,X
ZTLJSIO,X,X,X,X
ZTLJSOI,X,X,X,X
ZTLJOIS,O,X,X,X
ZTLJOSI,X,X,X,X
ZTLSIJO,X,X,X,X
ZTLSIOJ,O,X,X,X
ZTLSJIO,X,X,X,X
ZTLSJOI,X,X,X,X
ZTLSOIJ,O,X,X,X
ZTLSOJI,X,X,X,X
ZTLOIJS,O,X,X,X
ZTLOISJ,O,X,X,X
ZTLOJIS,O,X,X,X
ZTLOJSI,X,X,X,X
ZTLOSIJ,O,X,X,X
ZTLOSJI,X,X,X,X
ZTJILSO,O,X,X,X
ZTJILOS,O,X,X,X
ZTJISLO,X,X,X,X
ZTJISOL,X,X,X,O
ZTJIOLS,O,X,X,X
ZTJIOSL,X,X,X,O
ZTJLISO,O,X,X,X
ZTJLIOS,O,X,X,X
ZTJLSIO,O,X,X,X
ZTJLSOI,O,X,X,X
ZTJLOIS,O,X,X,X
ZTJLOSI,O,X,X,X
ZTJSILO,X,X,X,X
ZTJSIOL,X,X,X,O
ZTJSLIO,X,X,X,X
ZTJSLOI,X,X,X,X
ZTJSOIL,X,X,X,O
ZTJSOLI,X,X,X,X
ZTJOILS,O,X,X,X
ZTJOISL,X,X,X,O
ZTJOLIS,O,X,X,X
ZTJOLSI,O,X,X,X
ZTJOSIL,X,X,X,O
ZTJOSLI,X,X,X,X
ZTSILJO,X,X,X,X
ZTSILOJ,X,X,X,X
ZTSIJLO,X,X,X,X
ZTSIJOL,X,X,X,X
ZTSIOLJ,X,X,X,O
ZTSIOJL,X,X,X,O
ZTSLIJO,X,X,X,X
ZTSLIOJ,X,X,X,X
ZTSLJIO,X,X,X,X
ZTSLJOI,X,X,X,X
ZTSLOIJ,X,X,X,X
ZTSLOJI,X,X,X,X
ZTSJILO,X,X,X,X
ZTSJIOL,X,X,X,X
ZTSJLIO,X,X,X,X
ZTSJLOI,X,X,X,X
ZTSJOIL,X,X,X,X
ZTSJOLI,X,X,X,X
ZTSOILJ,X,X,X,O
ZTSOIJL,X,X,X,O
ZTSOLIJ,X,X,X,X
ZTSOLJI,X,X,X,X
ZTSOJIL,X,X,X,X
ZTSOJLI,X,X,X,X
ZTOILJS,O,X,X,X
ZTOILSJ,O,X,X,X
ZTOIJLS,O,X,X,X
ZTOIJSL,X,X,X,O
ZTOISLJ,X,X,X,O
ZTOISJL,X,X,X,O
ZTOLIJS,O,X,X,X
ZTOLISJ,O,X,X,X
ZTOLJIS,O,X,X,X
ZTOLJSI,X,X,X,X
ZTOLSIJ,O,X,X,X
ZTOLSJI,X,X,X,X
ZTOJILS,O,X,X,X
ZTOJISL,X,X,X,O
ZTOJLIS,O,X,X,X
ZTOJLSI,O,X,X,X
ZTOJSIL,X,X,X,O
ZTOJSLI,X,X,X,X
ZTOSILJ,X,X,X,O
ZTOSIJL,X,X,X,O
ZTOSLIJ,X,X,X,X
ZTOSLJI,X,X,X,X
ZTOSJIL,X,X,X,X
ZTOSJLI,X,X,X,X
ZITLJSO,X,X,X,X
ZITLJOS,O,X,X,X
ZITLSJO,X,X,X,X
ZITLSOJ,O,X,X,X
ZITLOJS,O,X,X,X
ZITLOSJ,O,X,X,X
ZITJLSO,O,X,X,X
ZITJLOS,O,X,X,X
ZITJSLO,X,X,X,X
ZITJSOL,X,X,X,O
ZITJOLS,O,X,X,X
ZITJOSL,X,X,X,O
ZITSLJO,X,X,X,X
ZITSLOJ,X,X,X,X
ZITSJLO,X,X,X,X
ZITSJOL,X,X,X,X
ZITSOLJ,X,X,X,O
ZITSOJL,X,X,X,O
ZITOLJS,O,X,X,X
ZITOLSJ,O,X,X,X
ZITOJLS,O,X,X,X
ZITOJSL,X,X,X,O
ZITOSLJ,X,X,X,O
ZITOSJL,X,X,X,O
ZILTJSO,X,X,X,X
ZILTJOS,O,X,X,X
ZILTSJO,X,X,X,X
ZILTSOJ,O,X,O,X
ZILTOJS,O,X,X,X
ZILTOSJ,O,X,O,X
ZILJTSO,O,X,X,X
ZILJTOS,O,X,X,X
ZILJSTO,O,X,X,X
ZILJSOT,O,X,X,X
ZILJOTS,O,X,X,X
ZILJOST,O,X,X,X
ZILSTJO,X,X,X,X
ZILSTOJ,O,X,O,X
ZILSJTO,X,X,X,X
ZILSJOT,X,X,X,X
ZILSOTJ,O,X,O,X
ZILSOJT,X,X,X,X
ZILOTJS,O,X,X,X
ZILOTSJ,O,X,O,X
ZILOJTS,O,X,X,X
ZILOJST,O,X,X,X
ZILOSTJ,O,X,O,X
ZILOSJT,X,X,X,X
ZIJTLSO,O,X,X,X
ZIJTLOS,O,X,X,X
ZIJTSLO,X,X,X,X
ZIJTSOL,X,X,X,O
ZIJTOLS,O,X,X,X
ZIJTOSL,X,X,X,O
ZIJLTSO,O,X,O,X
ZIJLTOS,O,X,O,X
ZIJLSTO,O,O,O,X
ZIJLSOT,O,O,O,X
ZIJLOTS,O,X,O,X
ZIJLOST,O,O,O,X
ZIJSTLO,X,O,X,X
ZIJSTOL,X,O,X,O
ZIJSLTO,O,O,X,X
ZIJSLOT,O,O,X,X
ZIJSOTL,X,O,X,O
ZIJSOLT,O,O,X,X
ZIJOTLS,O,X,X,X
ZIJOTSL,X,X,X,O
ZIJOLTS,O,X,O,X
ZIJOLST,O,O,O,X
ZIJOSTL,X,O,X,O
ZIJOSLT,O,O,X,X
ZISTLJO,X,X,X,X
ZISTLOJ,X,X,X,X
ZISTJLO,X,O,X,X
ZISTJOL,X,O,X,X
ZISTOLJ,X,X,X,O
ZISTOJL,X,O,X,O
ZISLTJO,X,X,X,X
ZISLTOJ,O,X,X,X
ZISLJTO,X,X,X,X
ZISLJOT,X,X,X,X
ZISLOTJ,O,X,X,X
ZISLOJT,X,X,X,X
ZISJTLO,X,O,X,X
ZISJTOL,X,O,X,X
ZISJLTO,O,O,X,X
ZISJLOT,O,O,X,X
ZISJOTL,X,O,X,X
ZISJOLT,O,O,X,X
ZISOTLJ,X,X,X,O
ZISOTJL,X,O,X,O
ZISOLTJ,O,X,X,X
ZISOLJT,X,X,X,X
ZISOJTL,X,O,X,X
ZISOJLT,O,O,X,X
ZIOTLJS,O,X,X,X
ZIOTLSJ,O,X,X,X
ZIOTJLS,O,X,X,X
ZIOTJSL,X,X,X,O
ZIOTSLJ,X,X,X,O
ZIOTSJL,X,X,X,O
ZIOLTJS,O,X,X,X
ZIOLTSJ,O,X,O,X
ZIOLJTS,O,X,X,X
ZIOLJST,O,X,X,X
ZIOLSTJ,O,X,O,X
ZIOLSJT,X,X,X,X
ZIOJTLS,O,X,X,X
ZIOJTSL,X,X,X,O
ZIOJLTS,O,X,O,X
ZIOJLST,O,O,O,X
ZIOJSTL,X,O,X,O
ZIOJSLT,O,O,X,X
ZIOSTLJ,X,X,X,O
ZIOSTJL,X,O,X,O
ZIOSLTJ,O,X,X,X
ZIOSLJT,X,X,X,X
ZIOSJTL,X,O,X,X
ZIOSJLT,O,O,X,X
ZLTIJSO,X,X,X,X
ZLTIJOS,O,X,X,X
ZLTISJO,X,X,X,X
ZLTISOJ,O,X,O,X
ZLTIOJS,O,X,X,X
ZLTIOSJ,O,X,O,X
ZLTJISO,X,X,X,X
ZLTJIOS,O,X,X,X
ZLTJSIO,X,X,X,X
ZLTJSOI,X,X,X,X
ZLTJOIS,O,X,X,X
ZLTJOSI,X,X,X,X
ZLTSIJO,X,X,X,X
ZLTSIOJ,O,X,O,X
ZLTSJIO,X,X,X,X
ZLTSJOI,X,X,X,X
ZLTSOIJ,O,X,O,X
ZLTSOJI,X,X,X,X
ZLTOIJS,O,X,X,X
ZLTOISJ,O,X,O,X
ZLTOJIS,O,X,X,X
ZLTOJSI,X,X,X,X
ZLTOSIJ,O,X,O,X
ZLTOSJI,X,X,X,X
ZLITJSO,X,X,X,X
ZLITJOS,O,X,X,X
ZLITSJO,X,X,X,X
ZLITSOJ,O,X,O,X
ZLITOJS,O,X,X,X
ZLITOSJ,O,X,O,X
ZLIJTSO,O,X,X,X
ZLIJTOS,O,X,X,X
ZLIJSTO,O,X,X,X
ZLIJSOT,O,X,X,X
ZLIJOTS,O,X,X,X
ZLIJOST,O,X,X,X
ZLISTJO,X,X,X,X
ZLISTOJ,O,X,O,X
ZLISJTO,X,X,X,X
ZLISJOT,X,X,X,X
ZLISOTJ,O,X,O,X
ZLISOJT,X,X,X,X
ZLIOTJS,O,X,X,X
ZLIOTSJ,O,X,O,X
ZLIOJTS,O,X,X,X
ZLIOJST,O,X,X,X
ZLIOSTJ,O,X,O,X
ZLIOSJT,X,X,X,X
ZLJTISO,O,X,X,X
ZLJTIOS,O,X,X,X
ZLJTSIO,O,X,X,X
ZLJTSOI,O,X,X,X
ZLJTOIS,O,X,X,X
ZLJTOSI,O,X,X,X
ZLJITSO,O,X,X,X
ZLJITOS,O,X,X,X
ZLJISTO,O,X,X,X
ZLJISOT,O,X,X,X
ZLJIOTS,O,X,X,X
ZLJIOST,O,X,X,X
ZLJSTIO,O,X,X,X
ZLJSTOI,O,X,X,X
ZLJSITO,O,X,X,X
ZLJSIOT,O,X,X,X
ZLJSOTI,O,X,X,X
ZLJSOIT,O,X,X,X
ZLJOTIS,O,X,X,X
ZLJOTSI,O,X,X,X
ZLJOITS,O,X,X,X
ZLJOIST,O,X,X,X
ZLJOSTI,O,X,X,X
ZLJOSIT,O,X,X,X
ZLSTIJO,X,X,X,X
ZLSTIOJ,O,X,O,X
ZLSTJIO,X,X,X,X
ZLSTJOI,X,X,X,X
ZLSTOIJ,O,X,O,X
ZLSTOJI,X,X,X,X
ZLSITJO,X,X,X,X
ZLSITOJ,O,X,O,X
ZLSIJTO,X,X,X,X
ZLSIJOT,X,X,X,X
ZLSIOTJ,O,X,O,X
ZLSIOJT,X,X,X,X
ZLSJTIO,X,X,X,X
ZLSJTOI,X,X,X,X
ZLSJITO,X,X,X,X
ZLSJIOT,X,X,X,X
ZLSJOTI,X,X,X,X
ZLSJOIT,X,X,X,X
ZLSOTIJ,O,X,O,X
ZLSOTJI,X,X,X,X
ZLSOITJ,O,X,O,X
ZLSOIJT,X,X,X,X
ZLSOJTI,X,X,X,X
ZLSOJIT,X,X,X,X
ZLOTIJS,O,X,X,X
ZLOTISJ,O,X,O,X
ZLOTJIS,O,X,X,X
ZLOTJSI,X,X,X,X
ZLOTSIJ,O,X,O,X
ZLOTSJI,X,X,X,X
ZLOITJS,O,X,X,X
ZLOITSJ,O,X,O,X
ZLOIJTS,O,X,X,X
ZLOIJST,O,X,X,X
ZLOISTJ,O,X,O,X
ZLOISJT,X,X,X,X
ZLOJTIS,O,X,X,X
ZLOJTSI,O,X,X,X
ZLOJITS,O,X,X,X
ZLOJIST,O,X,X,X
ZLOJSTI,O,X,X,X
ZLOJSIT,O,X,X,X
ZLOSTIJ,O,X,O,X
ZLOSTJI,X,X,X,X
ZLOSITJ,O,X,O,X
ZLOSIJT,X,X,X,X
ZLOSJTI,X,X,X,X
ZLOSJIT,X,X,X,X
ZJTILSO,O,X,X,X
ZJTILOS,O,X,X,X
ZJTISLO,X,X,X,X
ZJTISOL,X,X,X,O
ZJTIOLS,O,X,X,X
ZJTIOSL,X,X,X,O
ZJTLISO,O,X,X,X
ZJTLIOS,O,X,X,X
ZJTLSIO,O,X,X,X
ZJTLSOI,O,X,X,X
ZJTLOIS,O,X,X,X
ZJTLOSI,O,X,X,X
ZJTSILO,X,X,X,X
ZJTSIOL,X,X,X,O
ZJTSLIO,X,X,X,X
ZJTSLOI,X,X,X,X
ZJTSOIL,X,X,X,O
ZJTSOLI,X,X,X,X
ZJTOILS,O,X,X,X
ZJTOISL,X,X,X,O
ZJTOLIS,O,X,X,X
ZJTOLSI,O,X,X,X
ZJTOSIL,X,X,X,O
ZJTOSLI,X,X,X,X
ZJITLSO,O,X,X,X
ZJITLOS,O,X,X,X
ZJITSLO,X,X,X,X
ZJITSOL,X,X,X,O
ZJITOLS,O,X,X,X
ZJITOSL,X,X,X,O
ZJILTSO,O,X,O,X
ZJILTOS,O,X,O,X
ZJILSTO,O,O,O,X
ZJILSOT,O,O,O,X
ZJILOTS,O,X,O,X
ZJILOST,O,O,O,X
ZJISTLO,X,O,X,X
ZJISTOL,X,O,X,O
ZJISLTO,O,O,X,X
ZJISLOT,O,O,X,X
ZJISOTL,X,O,X,O
ZJISOLT,O,O,X,X
ZJIOTLS,O,X,X,X
ZJIOTSL,X,X,X,O
ZJIOLTS,O,X,O,X
ZJIOLST,O,O,O,X
ZJIOSTL,X,O,X,O
ZJIOSLT,O,O,X,X
ZJLTISO,O,X,O,X
ZJLTIOS,O,X,O,X
ZJLTSIO,O,X,O,X
ZJLTSOI,O,X,O,X
ZJLTOIS,O,X,O,X
ZJLTOSI,O,X,O,X
ZJLITSO,O,X,O,X
ZJLITOS,O,X,O,X
ZJLISTO,O,O,O,X
ZJLISOT,O,O,O,X
ZJLIOTS,O,X,O,X
ZJLIOST,O,O,O,X
ZJLSTIO,O,O,O,X
ZJLSTOI,O,O,O,X
ZJLSITO,O,O,O,X
ZJLSIOT,O,O,O,X
ZJLSOTI,O,O,O,X
ZJLSOIT,O,O,O,X
ZJLOTIS,O,X,O,X
ZJLOTSI,O,X,O,X
ZJLOITS,O,X,O,X
ZJLOIST,O,O,O,X
ZJLOSTI,O,O,O,X
ZJLOSIT,O,O,O,X
ZJSTILO,X,O,X,X
ZJSTIOL,X,O,X,O
ZJSTLIO,X,O,X,X
ZJSTLOI,X,O,X,X
ZJSTOIL,X,O,X,O
ZJSTOLI,X,O,X,X
ZJSITLO,X,O,X,X
ZJSITOL,X,O,X,O
ZJSILTO,O,O,X,X
ZJSILOT,O,O,X,X
ZJSIOTL,X,O,X,O
ZJSIOLT,O,O,X,X
ZJSLTIO,O,O,X,X
ZJSLTOI,O,O,X,X
ZJSLITO,O,O,X,X
ZJSLIOT,O,O,X,X
ZJSLOTI,O,O,X,X
ZJSLOIT,O,O,X,X
ZJSOTIL,X,O,X,O
ZJSOTLI,X,O,X,X
ZJSOITL,X,O,X,O
ZJSOILT,O,O,X,X
ZJSOLTI,O,O,X,X
ZJSOLIT,O,O,X,X
ZJOTILS,O,X,X,X
ZJOTISL,X,X,X,O
ZJOTLIS,O,X,X,X
ZJOTLSI,O,X,X,X
ZJOTSIL,X,X,X,O
ZJOTSLI,X,X,X,X
ZJOITLS,O,X,X,X
ZJOITSL,X,X,X,O
ZJOILTS,O,X,O,X
ZJOILST,O,O,O,X
ZJOISTL,X,O,X,O
ZJOISLT,O,O,X,X
ZJOLTIS,O,X,O,X
ZJOLTSI,O,X,O,X
ZJOLITS,O,X,O,X
ZJOLIST,O,O,O,X
ZJOLSTI,O,O,O,X
ZJOLSIT,O,O,O,X
ZJOSTIL,X,O,X,O
ZJOSTLI,X,O,X,X
ZJOSITL,X,O,X,O
ZJOSILT,O,O,X,X
ZJOSLTI,O,O,X,X
ZJOSLIT,O,O,X,X
ZSTILJO,X,X,X,X
ZSTILOJ,X,X,X,X
ZSTIJLO,X,O,X,X
ZSTIJOL,X,O,X,X
ZSTIOLJ,X,X,X,O
ZSTIOJL,X,O,X,O
ZSTLIJO,X,X,X,X
ZSTLIOJ,X,X,X,X
ZSTLJIO,X,X,X,X
ZSTLJOI,X,X,X,X
ZSTLOIJ,X,X,X,X
ZSTLOJI,X,X,X,X
ZSTJILO,X,O,X,X
ZSTJIOL,X,O,X,X
ZSTJLIO,X,O,X,X
ZSTJLOI,X,O,X,X
ZSTJOIL,X,O,X,X
ZSTJOLI,X,O,X,X
ZSTOILJ,X,X,X,O
ZSTOIJL,X,O,X,O
ZSTOLIJ,X,X,X,X
ZSTOLJI,X,X,X,X
ZSTOJIL,X,O,X,X
ZSTOJLI,X,O,X,X
ZSITLJO,X,X,X,X
ZSITLOJ,X,X,X,X
ZSITJLO,X,O,X,X
ZSITJOL,X,O,X,X
ZSITOLJ,X,X,X,O
ZSITOJL,X,O,X,O
ZSILTJO,X,X,X,X
ZSILTOJ,O,X,X,X
ZSILJTO,X,X,X,X
ZSILJOT,X,X,X,X
ZSILOTJ,O,X,X,X
ZSILOJT,X,X,X,X
ZSIJTLO,X,O,X,X
ZSIJTOL,X,O,X,X
ZSIJLTO,O,O,X,X
ZSIJLOT,O,O,X,X
ZSIJOTL,X,O,X,X
ZSIJOLT,O,O,X,X
ZSIOTLJ,X,X,X,O
ZSIOTJL,X,O,X,O
ZSIOLTJ,O,X,X,X
ZSIOLJT,X,X,X,X
ZSIOJTL,X,O,X,X
ZSIOJLT,O,O,X,X
ZSLTIJO,X,X,X,X
ZSLTIOJ,O,X,X,X
ZSLTJIO,X,X,X,X
ZSLTJOI,X,X,X,X
ZSLTOIJ,O,X,X,X
ZSLTOJI,X,X,X,X
ZSLITJO,X,X,X,X
ZSLITOJ,O,X,X,X
ZSLIJTO,X,X,X,X
ZSLIJOT,X,X,X,X
ZSLIOTJ,O,X,X,X
ZSLIOJT,X,X,X,X
ZSLJTIO,X,X,X,X
ZSLJTOI,X,X,X,X
ZSLJITO,X,X,X,X
ZSLJIOT,X,X,X,X
ZSLJOTI,X,X,X,X
ZSLJOIT,X,X,X,X
ZSLOTIJ,O,X,X,X
ZSLOTJI,X,X,X,X
ZSLOITJ,O,X,X,X
ZSLOIJT,X,X,X,X
ZSLOJTI,X,X,X,X
ZSLOJIT,X,X,X,X
ZSJTILO,X,O,X,X
ZSJTIOL,X,O,X,X
ZSJTLIO,X,O,X,X
ZSJTLOI,X,O,X,X
ZSJTOIL,X,O,X,X
ZSJTOLI,X,O,X,X
ZSJITLO,X,O,X,X
ZSJITOL,X,O,X,X
ZSJILTO,O,O,X,X
ZSJILOT,O,O,X,X
ZSJIOTL,X,O,X,X
ZSJIOLT,O,O,X,X
ZSJLTIO,O,O,X,X
ZSJLTOI,O,O,X,X
ZSJLITO,O,O,X,X
ZSJLIOT,O,O,X,X
ZSJLOTI,O,O,X,X
ZSJLOIT,O,O,X,X
ZSJOTIL,X,O,X,X
ZSJOTLI,X,O,X,X
ZSJOITL,X,O,X,X
ZSJOILT,O,O,X,X
ZSJOLTI,O,O,X,X
ZSJOLIT,O,O,X,X
ZSOTILJ,X,X,X,O
ZSOTIJL,X,O,X,O
ZSOTLIJ,X,X,X,X
ZSOTLJI,X,X,X,X
ZSOTJIL,X,O,X,X
ZSOTJLI,X,O,X,X
ZSOITLJ,X,X,X,O
ZSOITJL,X,O,X,O
ZSOILTJ,O,X,X,X
ZSOILJT,X,X,X,X
ZSOIJTL,X,O,X,X
ZSOIJLT,O,O,X,X
ZSOLTIJ,O,X,X,X
ZSOLTJI,X,X,X,X
ZSOLITJ,O,X,X,X
ZSOLIJT,X,X,X,X
ZSOLJTI,X,X,X,X
ZSOLJIT,X,X,X,X
ZSOJTIL,X,O,X,X
ZSOJTLI,X,O,X,X
ZSOJITL,X,O,X,X
ZSOJILT,O,O,X,X
ZSOJLTI,O,O,X,X
ZSOJLIT,O,O,X,X
ZOTILJS,O,X,X,X
ZOTILSJ,O,X,X,X
ZOTIJLS,O,X,X,X
ZOTIJSL,X,X,X,O
ZOTISLJ,X,X,X,O
ZOTISJL,X,X,X,O
ZOTLIJS,O,X,X,X
ZOTLISJ,O,X,X,X
ZOTLJIS,O,X,X,X
ZOTLJSI,X,X,X,X
ZOTLSIJ,O,X,X,X
ZOTLSJI,X,X,X,X
ZOTJILS,O,X,X,X
ZOTJISL,X,X,X,O
ZOTJLIS,O,X,X,X
ZOTJLSI,O,X,X,X
ZOTJSIL,X,X,X,O
ZOTJSLI,X,X,X,X
ZOTSILJ,X,X,X,O
ZOTSIJL,X,X,X,O
ZOTSLIJ,X,X,X,X
ZOTSLJI,X,X,X,X
ZOTSJIL,X,X,X,X
ZOTSJLI,X,X,X,X
ZOITLJS,O,X,X,X
ZOITLSJ,O,X,X,X
ZOITJLS,O,X,X,X
ZOITJSL,X,X,X,O
ZOITSLJ,X,X,X,O
ZOITSJL,X,X,X,O
ZOILTJS,O,X,X,X
ZOILTSJ,O,X,O,X
ZOILJTS,O,X,X,X
ZOILJST,O,X,X,X
ZOILSTJ,O,X,O,X
ZOILSJT,X,X,X,X
ZOIJTLS,O,X,X,X
ZOIJTSL,X,X,X,O
ZOIJLTS,O,X,O,X
ZOIJLST,O,O,O,X
ZOIJSTL,X,O,X,O
ZOIJSLT,O,O,X,X
ZOISTLJ,X,X,X,O
ZOISTJL,X,O,X,O
ZOISLTJ,O,X,X,X
ZOISLJT,X,X,X,X
ZOISJTL,X,O,X,X
ZOISJLT,O,O,X,X
ZOLTIJS,O,X,X,X
ZOLTISJ,O,X,O,X
ZOLTJIS,O,X,X,X
ZOLTJSI,X,X,X,X
