sequence,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lB/mBRiBcoBOs?BVwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFxgBliBcoBCmBes?BXrB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhFlgBRiBcoBXmBOs?BSwB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBxiBmmBFoBXr?B0rB,v115@JhA8GeC8DeA8AeD8DeC8JeT/IvhF6lBlhB3iBcoB2r?BRwB
TZLJOSI,O,O,O,X,X
TZLSIJO,O,X,O,O,X
TZLSIOJ,O,X,O,O,X
TZLSJIO,O,X,O,O,X
TZLSJOI,O,X,O,O,X
TZLSOIJ,O,X,O,O,X
TZLSOJI,O,X,O,O,X
TZLOIJS,O,O,O,X,O
TZLOISJ,O,X,O,O,O
TZLOJIS,O,O,O,X,X
TZLOJSI,O,O,O,X,X
TZLOSIJ,O,X,O,O,X
TZLOSJI,O,X,O,O,X
TZJILSO,O,X,O,X,X
TZJILOS,O,O,O,X,X
TZJISLO,O,O,X,X,X
TZJISOL,O,O,O,X,X
TZJIOLS,O,O,O,X,X
TZJIOSL,O,O,O,X,X
TZJLISO,O,X,O,X,X
TZJLIOS,O,O,O,X,X
TZJLSIO,O,O,O,X,X
TZJLSOI,O,O,O,X,X
TZJLOIS,O,O,O,X,X
TZJLOSI,O,O,O,X,X
TZJSILO,O,O,X,X,X
TZJSIOL,O,O,O,X,X
TZJSLIO,O,O,X,X,X
TZJSLOI,O,O,X,X,X
TZJSOIL,O,O,O,X,X
TZJSOLI,O,O,X,X,X
TZJOILS,O,O,O,X,X
TZJOISL,O,O,O,X,X
TZJOLIS,O,O,O,X,X
TZJOLSI,O,O,O,X,X
TZJOSIL,O,O,O,X,X
TZJOSLI,O,O,X,X,X
TZSILJO,O,O,X,O,O
TZSILOJ,O,O,X,O,O
TZSIJLO,O,O,X,O,O
TZSIJOL,O,O,X,O,O
TZSIOLJ,O,O,O,O,O
TZSIOJL,O,O,O,O,O
TZSLIJO,O,O,X,O,O
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,O,O,X
TZSLJOI,O,O,O,O,X
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,O,O,X
TZSJILO,O,O,X,O,O
TZSJIOL,O,O,O,O,O
TZSJLIO,O,O,X,O,X
TZSJLOI,O,O,X,O,X
TZSJOIL,O,O,O,O,O
TZSJOLI,O,O,X,O,X
TZSOILJ,O,O,O,O,O
TZSOIJL,O,O,O,O,O
TZSOLIJ,O,O,O,O,O
TZSOLJI,O,O,O,O,X
TZSOJIL,O,O,O,O,O
TZSOJLI,O,O,X,O,X
TZOILJS,O,O,O,X,O
TZOILSJ,O,X,O,O,O
TZOIJLS,O,O,O,X,O
TZOIJSL,O,O,O,X,O
TZOISLJ,O,O,O,O,O
TZOISJL,O,O,O,O,O
TZOLIJS,O,O,O,X,O
TZOLISJ,O,X,O,O,O
