sequence,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nBXsB0sB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB9mBy?nB0sBXsB,v115@GhA8IeC8BeA8CeD8AeB8DeA8JeT/IvhFZlBulB3hBt?nB8rByxB,v115@GhA8IeC8BeA8CeD8AeB8DeA8Je2EJvhFRgB9mBiiBc?qBXsBzsB
TOZJSLI,O,O,O,O
TOZSILJ,O,O,O,O
TOZSIJL,O,O,O,O
TOZSLIJ,O,O,O,O
TOZSLJI,O,O,O,O
TOZSJIL,O,O,O,O
TOZSJLI,O,O,O,O
ITLJSZO,O,X,X,X
ITLJSOZ,O,O,X,X
ITLJZSO,X,O,O,X
ITLJZOS,O,O,O,X
ITLJOSZ,O,O,X,X
ITLJOZS,O,O,O,X
ITLSJZO,O,X,X,X
ITLSJOZ,O,O,X,X
ITLSZJO,O,X,X,X
ITLSZOJ,O,X,X,X
ITLSOJZ,O,O,X,X
ITLSOZJ,O,X,X,X
ITLZJSO,X,O,O,X
ITLZJOS,O,O,O,X
ITLZSJO,X,O,O,X
ITLZSOJ,X,O,O,X
ITLZOJS,O,O,O,X
ITLZOSJ,X,O,O,X
ITLOJSZ,O,O,X,X
ITLOJZS,O,O,O,X
ITLOSJZ,O,O,X,X
ITLOSZJ,O,X,X,X
ITLOZJS,O,O,O,X
ITLOZSJ,X,O,O,X
ITJLSZO,O,X,X,X
ITJLSOZ,O,O,X,X
ITJLZSO,X,O,O,X
ITJLZOS,O,O,O,X
ITJLOSZ,O,O,X,X
ITJLOZS,O,O,O,X
ITJSLZO,O,X,X,X
ITJSLOZ,O,O,X,X
ITJSZLO,O,O,O,X
ITJSZOL,O,O,O,X
ITJSOLZ,O,O,X,X
ITJSOZL,O,O,O,X
ITJZLSO,X,O,O,X
ITJZLOS,O,O,O,X
ITJZSLO,O,O,O,X
ITJZSOL,O,O,O,X
ITJZOLS,O,O,O,X
ITJZOSL,O,O,O,X
ITJOLSZ,O,O,X,X
ITJOLZS,O,O,O,X
ITJOSLZ,O,O,X,X
ITJOSZL,O,O,O,X
ITJOZLS,O,O,O,X
ITJOZSL,O,O,O,X
ITSLJZO,O,X,X,X
ITSLJOZ,O,O,X,X
ITSLZJO,O,X,X,O
ITSLZOJ,O,X,X,O
ITSLOJZ,O,O,X,X
ITSLOZJ,O,X,X,X
ITSJLZO,O,X,X,X
ITSJLOZ,O,O,X,X
ITSJZLO,O,O,O,X
ITSJZOL,O,O,O,X
ITSJOLZ,O,O,X,X
ITSJOZL,O,O,O,X
ITSZLJO,O,O,O,O
ITSZLOJ,O,O,O,O
ITSZJLO,O,O,O,O
ITSZJOL,O,O,O,O
ITSZOLJ,O,O,O,O
ITSZOJL,O,O,O,O
ITSOLJZ,O,O,X,X
