sequence,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFxiBFlB8qB6?sBToB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhFTiB6oBRlB8?sBlqB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBUlBGmB/?sBToBVwB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qB+?rB/sBTtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeRBJvhFCjBFlB8qBT?oBGsB3rB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JezBJvhFfoB6oBRlBl?qBGsBUrB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeGBJvhF/nBRlBToB0?qBlrBCtB,v115@9gC8GeA8IeB8HeC8CeA8AeB8JeWHJvhFTjBRlBXnBl?qBCtBUrB
TSJLOZI,O,O,O,O,X,O,X,X
TSJZILO,O,O,O,O,O,O,X,X
TSJZIOL,O,O,O,O,O,O,X,X
TSJZLIO,O,O,O,O,O,O,X,X
TSJZLOI,O,O,O,O,X,O,X,X
TSJZOIL,O,O,O,O,O,X,X,X
TSJZOLI,O,O,O,O,O,O,X,X
TSJOILZ,O,X,O,O,O,O,X,X
TSJOIZL,O,X,O,O,X,O,X,X
TSJOLIZ,O,X,O,O,O,O,X,X
TSJOLZI,O,O,O,O,O,O,X,X
TSJOZIL,O,O,O,O,O,X,X,X
TSJOZLI,O,O,O,O,O,O,X,X
TSZILJO,O,O,O,X,X,O,O,X
TSZILOJ,O,O,O,X,X,X,O,X
TSZIJLO,O,O,O,O,O,O,O,X
TSZIJOL,O,O,O,O,O,O,O,X
TSZIOLJ,O,O,O,X,O,X,O,X
TSZIOJL,O,O,O,X,O,X,O,X
TSZLIJO,O,O,O,X,X,O,X,X
TSZLIOJ,O,O,O,X,X,X,X,X
TSZLJIO,O,O,O,O,X,O,X,X
TSZLJOI,O,O,O,O,X,O,X,X
TSZLOIJ,O,O,O,X,X,X,X,X
TSZLOJI,O,O,O,X,X,X,X,X
TSZJILO,O,O,O,O,O,O,X,X
TSZJIOL,O,O,O,O,O,O,X,X
TSZJLIO,O,O,O,O,O,O,X,X
TSZJLOI,O,O,O,O,X,O,X,X
TSZJOIL,O,O,O,O,O,X,X,X
TSZJOLI,O,O,O,O,O,O,X,X
TSZOILJ,O,O,O,X,O,X,O,X
TSZOIJL,O,O,O,X,O,X,O,X
TSZOLIJ,O,O,O,X,O,X,X,X
TSZOLJI,O,O,O,O,O,X,X,X
TSZOJIL,O,O,O,O,O,X,X,X
TSZOJLI,O,O,O,O,O,X,X,X
TSOILJZ,O,O,O,O,O,O,X,X
TSOILZJ,O,O,O,X,O,X,X,X
TSOIJLZ,O,O,O,O,O,O,X,X
TSOIJZL,O,O,O,O,X,O,X,X
TSOIZLJ,O,O,O,X,X,X,X,X
TSOIZJL,O,O,O,X,X,X,X,X
TSOLIJZ,O,O,O,O,O,O,X,X
TSOLIZJ,O,O,O,X,O,X,X,X
TSOLJIZ,O,X,O,O,O,O,X,X
TSOLJZI,O,O,O,O,O,O,X,X
TSOLZIJ,O,O,O,X,O,X,X,X
TSOLZJI,O,O,O,O,O,X,X,X
TSOJILZ,O,X,O,O,O,O,X,X
TSOJIZL,O,X,O,O,X,O,X,X
TSOJLIZ,O,X,O,O,O,O,X,X
