sequence,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nB6tBOtBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mel/IvhF3gBcmB?5nBOtB6tBTqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBunB?coBFlB3qBSyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?FlB8sB+tB3qB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBSoB?FlBUoB3qBWyB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBCjB?1qBGtBUqBXtB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBGjB?1qBqsB/tBUqB,v115@DhA8CeA8EeA8CeB8CeB8CeB8BeC8Mex/IvhFThBFlB?GoB3qBUtBCtB
JTIOZSL,O,O,X,O,X,O,X,X
JTLISZO,X,X,X,X,X,O,O,X
JTLISOZ,X,X,X,X,O,O,O,X
JTLIZSO,O,O,O,O,X,O,X,X
JTLIZOS,X,X,O,O,O,O,X,X
JTLIOSZ,X,X,X,X,O,O,O,X
JTLIOZS,O,O,O,O,O,O,X,X
JTLSIZO,X,X,X,X,O,O,O,X
JTLSIOZ,X,X,X,X,O,O,O,X
JTLSZIO,X,X,X,X,O,O,O,X
JTLSZOI,X,X,X,X,O,O,O,X
JTLSOIZ,X,X,X,X,O,O,O,X
JTLSOZI,X,X,X,X,O,O,O,X
JTLZISO,O,O,O,O,X,O,X,X
JTLZIOS,X,X,O,O,O,O,X,X
JTLZSIO,O,O,O,O,X,O,X,X
JTLZSOI,X,X,O,O,X,O,X,X
JTLZOIS,X,X,O,O,O,O,X,X
JTLZOSI,X,X,O,O,O,O,X,X
JTLOISZ,X,X,X,X,O,O,O,X
JTLOIZS,O,O,O,O,O,O,X,X
JTLOSIZ,X,X,X,X,O,O,O,X
JTLOSZI,X,X,X,X,O,O,O,X
JTLOZIS,O,O,O,O,O,O,X,X
JTLOZSI,O,O,O,O,O,O,X,X
JTSILZO,X,X,X,O,O,O,X,X
JTSILOZ,X,X,X,O,O,O,X,X
JTSIZLO,X,O,X,O,O,O,X,X
JTSIZOL,X,O,X,O,O,O,X,X
JTSIOLZ,X,X,X,O,O,O,X,X
JTSIOZL,X,O,X,O,O,O,X,X
JTSLIZO,X,X,X,O,O,O,X,X
JTSLIOZ,X,X,X,O,O,O,X,X
JTSLZIO,X,X,X,O,O,O,X,X
JTSLZOI,X,X,X,O,O,O,X,X
JTSLOIZ,X,X,X,O,O,O,X,X
JTSLOZI,X,X,X,O,O,O,X,X
JTSZILO,X,O,X,O,O,O,X,X
JTSZIOL,X,O,X,O,O,O,X,X
JTSZLIO,X,O,X,O,O,O,X,X
JTSZLOI,X,X,X,O,O,O,X,X
JTSZOIL,X,O,X,O,O,O,X,X
JTSZOLI,X,X,X,O,O,O,X,X
JTSOILZ,X,X,X,O,O,O,X,X
JTSOIZL,X,O,X,O,O,O,X,X
JTSOLIZ,X,X,X,O,O,O,X,X
JTSOLZI,X,X,X,O,O,O,X,X
JTSOZIL,X,O,X,O,O,O,X,X
JTSOZLI,X,O,X,O,O,O,X,X
JTZILSO,O,O,X,O,X,O,X,X
JTZILOS,X,X,X,O,O,O,X,X
JTZISLO,O,O,X,O,X,O,X,X
JTZISOL,X,O,X,O,X,O,X,X
JTZIOLS,X,O,X,O,O,O,X,X
JTZIOSL,X,O,X,O,X,O,X,O
JTZLISO,O,O,X,O,X,O,X,X
JTZLIOS,X,X,X,O,O,O,X,X
JTZLSIO,O,O,X,O,X,O,X,X
JTZLSOI,X,X,X,O,X,O,X,X
JTZLOIS,X,X,X,O,O,O,X,X
JTZLOSI,X,X,X,O,O,O,X,O
JTZSILO,O,O,X,O,X,O,X,X
JTZSIOL,X,O,X,O,X,O,X,X
JTZSLIO,O,O,X,O,X,O,X,X
JTZSLOI,X,X,X,O,X,O,X,X
JTZSOIL,X,O,X,O,X,O,X,O
JTZSOLI,X,X,X,O,X,O,X,O
JTZOILS,X,O,X,O,O,O,X,X
JTZOISL,X,O,X,O,X,O,X,O
JTZOLIS,X,O,X,O,O,O,X,X
JTZOLSI,X,O,X,O,O,O,X,O
JTZOSIL,X,O,X,O,X,O,X,O
JTZOSLI,X,O,X,O,X,O,X,O
JTOILSZ,X,X,X,X,O,O,O,X
JTOILZS,O,O,O,O,O,O,X,X
JTOISLZ,X,X,X,X,O,O,X,X
JTOISZL,X,O,X,O,X,O,X,X
JTOIZLS,O,O,X,O,O,O,X,X
JTOIZSL,O,O,X,O,X,O,X,X
JTOLISZ,X,X,X,X,O,O,O,X
JTOLIZS,O,O,O,O,O,O,X,X
JTOLSIZ,X,X,X,X,O,O,O,X
JTOLSZI,X,X,X,X,O,O,O,X
JTOLZIS,O,O,O,O,O,O,X,X
JTOLZSI,O,O,O,O,O,O,X,X
JTOSILZ,X,X,X,O,O,O,X,X
JTOSIZL,X,O,X,O,O,O,X,X
JTOSLIZ,X,X,X,O,O,O,X,X
JTOSLZI,X,X,X,O,O,O,X,X
JTOSZIL,X,O,X,O,O,O,X,X
JTOSZLI,X,O,X,O,O,O,X,X
JTOZILS,O,O,X,O,O,O,X,X
JTOZISL,O,O,X,O,X,O,X,O
JTOZLIS,O,O,X,O,O,O,X,X
JTOZLSI,O,O,X,O,O,O,X,O
JTOZSIL,O,O,X,O,X,O,X,O
JTOZSLI,O,O,X,O,X,O,X,O
JITLSZO,X,X,X,X,X,O,O,X
JITLSOZ,X,X,X,X,O,O,O,X
JITLZSO,O,O,O,O,X,X,X,X
JITLZOS,X,X,O,O,O,O,X,X
JITLOSZ,X,X,X,X,O,O,O,X
JITLOZS,O,O,O,O,O,O,X,X
JITSLZO,X,X,X,X,X,O,X,X
JITSLOZ,X,X,X,X,O,O,X,X
JITSZLO,X,O,X,O,X,O,X,X
JITSZOL,X,O,X,O,X,O,X,X
JITSOLZ,X,X,X,X,O,O,X,X
JITSOZL,X,O,X,O,X,O,X,X
JITZLSO,O,O,X,O,X,O,X,X
JITZLOS,X,X,X,O,O,O,X,X
JITZSLO,O,O,X,O,X,O,X,X
JITZSOL,X,O,X,O,X,O,X,X
JITZOLS,X,O,X,O,O,O,X,X
JITZOSL,X,O,X,O,X,O,X,X
JITOLSZ,X,X,X,X,O,O,O,X
JITOLZS,O,O,O,O,O,O,X,X
JITOSLZ,X,X,X,X,O,O,X,X
JITOSZL,X,O,X,O,X,O,X,X
JITOZLS,O,O,X,O,O,O,X,X
JITOZSL,O,O,X,O,X,O,X,X
JILTSZO,X,X,X,X,X,O,O,X
JILTSOZ,X,X,X,X,O,O,O,X
JILTZSO,O,O,O,O,X,O,X,X
JILTZOS,X,X,O,O,O,O,X,X
JILTOSZ,X,X,X,X,O,O,O,X
JILTOZS,O,O,O,O,O,O,X,X
JILSTZO,X,X,X,X,O,X,O,X
JILSTOZ,X,X,X,X,O,O,O,X
JILSZTO,X,X,O,O,X,X,O,X
JILSZOT,X,X,O,O,X,X,O,X
JILSOTZ,X,X,X,X,O,O,O,X
JILSOZT,X,X,O,O,X,X,O,X
JILZTSO,O,O,O,O,X,X,X,X
JILZTOS,X,X,O,O,O,O,X,X
JILZSTO,O,O,O,O,X,X,X,X
JILZSOT,X,X,O,O,X,X,X,X
JILZOTS,O,O,O,O,X,O,X,X
JILZOST,O,O,O,O,X,X,X,X
JILOTSZ,X,X,X,X,O,O,X,X
JILOTZS,O,O,X,X,O,O,X,X
JILOSTZ,X,X,X,X,O,O,O,X
JILOSZT,X,X,X,X,X,X,O,X
JILOZTS,O,O,O,O,X,O,X,X
JILOZST,O,O,O,O,X,X,X,X
JISTLZO,X,X,X,O,O,O,X,X
JISTLOZ,X,X,X,O,O,O,X,X
JISTZLO,X,O,X,O,O,O,X,X
JISTZOL,X,O,X,O,O,O,X,X
JISTOLZ,X,X,X,O,O,O,X,X
JISTOZL,X,O,X,O,O,O,X,X
JISLTZO,X,X,X,X,O,X,X,X
JISLTOZ,X,X,X,X,O,O,X,X
JISLZTO,X,X,O,O,X,X,X,X
JISLZOT,X,X,O,O,X,X,X,X
JISLOTZ,X,X,X,X,O,O,X,X
JISLOZT,X,X,O,O,X,X,X,X
JISZTLO,X,O,X,O,X,X,X,X
JISZTOL,X,O,X,O,X,X,X,X
JISZLTO,X,O,X,O,X,X,X,X
JISZLOT,X,X,X,O,X,X,X,X
JISZOTL,X,O,X,O,X,X,X,X
JISZOLT,X,O,X,O,X,X,X,X
JISOTLZ,X,X,X,O,O,X,X,X
JISOTZL,X,O,X,O,O,X,X,X
JISOLTZ,X,X,X,X,O,O,X,X
JISOLZT,X,X,O,O,X,X,X,X
JISOZTL,X,O,X,O,X,X,X,X
JISOZLT,X,O,X,O,X,X,X,X
JIZTLSO,O,O,X,O,X,X,X,X
JIZTLOS,X,X,X,O,O,X,X,X
JIZTSLO,O,O,X,O,X,O,X,X
JIZTSOL,X,O,X,O,X,O,X,X
JIZTOLS,X,O,X,O,O,X,X,X
JIZTOSL,X,O,X,O,X,O,X,X
JIZLTSO,O,O,X,O,X,X,X,X
JIZLTOS,X,X,X,O,O,O,X,X
JIZLSTO,O,O,X,O,X,X,X,X
JIZLSOT,X,X,X,O,X,X,X,X
JIZLOTS,O,O,X,O,X,O,X,X
JIZLOST,O,O,X,O,X,X,X,X
JIZSTLO,O,O,X,O,X,X,X,X
JIZSTOL,X,O,X,O,X,X,X,X
JIZSLTO,O,O,X,O,X,X,X,X
JIZSLOT,X,X,X,O,X,X,X,X
JIZSOTL,X,O,X,O,X,X,X,X
JIZSOLT,X,O,X,O,X,X,X,X
JIZOTLS,O,O,X,O,X,X,X,X
JIZOTSL,O,O,X,O,X,X,X,X
JIZOLTS,O,O,X,O,X,O,X,X
JIZOLST,O,O,X,O,X,X,X,X
JIZOSTL,O,O,X,O,X,X,X,X
JIZOSLT,O,O,X,O,X,X,X,X
JIOTLSZ,X,X,X,X,O,O,X,X
JIOTLZS,O,O,X,O,O,O,X,X
JIOTSLZ,X,X,X,X,O,O,X,X
JIOTSZL,X,O,X,O,X,O,X,X
JIOTZLS,O,O,X,O,O,O,X,X
JIOTZSL,O,O,X,O,X,O,X,X
JIOLTSZ,X,X,X,X,O,O,X,X
JIOLTZS,O,O,X,X,O,O,X,X
JIOLSTZ,X,X,X,X,O,O,O,X
JIOLSZT,X,X,X,X,X,X,O,X
JIOLZTS,O,O,O,O,X,O,X,X
JIOLZST,O,O,O,O,X,X,X,X
JIOSTLZ,X,X,X,O,O,X,X,X
JIOSTZL,X,O,X,O,O,X,X,X
JIOSLTZ,X,X,X,X,O,O,X,X
JIOSLZT,X,X,X,O,X,X,X,X
JIOSZTL,X,O,X,O,X,X,X,X
JIOSZLT,X,O,X,O,X,X,X,X
JIOZTLS,O,O,X,O,X,X,X,X
JIOZTSL,O,O,X,O,X,X,X,X
JIOZLTS,O,O,X,O,X,O,X,X
JIOZLST,O,O,X,O,X,X,X,X
JIOZSTL,O,O,X,O,X,X,X,X
JIOZSLT,O,O,X,O,X,X,X,X
JLTISZO,X,X,X,X,X,O,O,X
JLTISOZ,X,X,X,X,O,O,O,X
JLTIZSO,O,O,O,O,X,O,X,X
JLTIZOS,X,X,O,O,O,O,X,X
JLTIOSZ,X,X,X,X,O,O,O,X
JLTIOZS,O,O,O,O,O,O,X,X
JLTSIZO,X,X,X,X,O,O,O,X
JLTSIOZ,X,X,X,X,O,O,O,X
JLTSZIO,X,X,X,X,O,O,O,X
JLTSZOI,X,X,X,X,O,O,O,X
JLTSOIZ,X,X,X,X,O,O,O,X
JLTSOZI,X,X,X,X,O,O,O,X
JLTZISO,O,O,O,O,X,O,X,X
JLTZIOS,X,X,O,O,O,O,X,X
JLTZSIO,O,O,O,O,X,O,X,X
JLTZSOI,X,X,O,O,X,O,X,X
JLTZOIS,X,X,O,O,O,O,X,X
JLTZOSI,X,X,O,O,O,O,X,X
JLTOISZ,X,X,X,X,O,O,O,X
JLTOIZS,O,O,O,O,O,O,X,X
JLTOSIZ,X,X,X,X,O,O,O,X
JLTOSZI,X,X,X,X,O,O,O,X
JLTOZIS,O,O,O,O,O,O,X,X
JLTOZSI,O,O,O,O,O,O,X,X
JLITSZO,X,X,X,X,X,O,O,X
JLITSOZ,X,X,X,X,O,O,O,X
JLITZSO,O,O,O,O,X,O,X,X
JLITZOS,X,X,O,O,O,O,X,X
JLITOSZ,X,X,X,X,O,O,O,X
JLITOZS,O,O,O,O,O,O,X,X
JLISTZO,X,X,X,X,O,X,O,X
JLISTOZ,X,X,X,X,O,O,O,X
JLISZTO,X,X,O,O,X,X,O,X
JLISZOT,X,X,O,O,X,X,O,X
JLISOTZ,X,X,X,X,O,O,O,X
JLISOZT,X,X,O,O,X,X,O,X
JLIZTSO,O,O,O,O,X,X,X,X
JLIZTOS,X,X,O,O,O,O,X,X
JLIZSTO,O,O,O,O,X,X,X,X
JLIZSOT,X,X,O,O,X,X,X,X
JLIZOTS,O,O,O,O,X,O,X,X
JLIZOST,O,O,O,O,X,X,X,X
JLIOTSZ,X,X,X,X,O,O,X,X
JLIOTZS,O,O,X,X,O,O,X,X
JLIOSTZ,X,X,X,X,O,O,O,X
JLIOSZT,X,X,X,X,X,X,O,X
JLIOZTS,O,O,O,O,X,O,X,X
JLIOZST,O,O,O,O,X,X,X,X
JLSTIZO,X,X,O,O,O,X,O,X
JLSTIOZ,X,X,O,O,O,O,O,X
JLSTZIO,X,X,O,O,O,O,O,X
JLSTZOI,X,X,O,O,O,O,O,X
JLSTOIZ,X,X,O,O,O,O,O,X
JLSTOZI,X,X,O,O,O,O,O,X
JLSITZO,X,X,X,X,O,X,O,X
JLSITOZ,X,X,X,X,O,O,O,X
JLSIZTO,X,X,O,O,X,X,O,X
JLSIZOT,X,X,O,O,X,X,O,X
JLSIOTZ,X,X,X,X,O,O,O,X
JLSIOZT,X,X,O,O,X,X,O,X
JLSZTIO,X,X,O,O,O,X,O,X
JLSZTOI,X,X,O,O,O,X,O,X
JLSZITO,X,X,O,O,X,X,O,X
JLSZIOT,X,X,O,O,X,X,O,X
JLSZOTI,X,X,O,O,O,X,O,X
JLSZOIT,X,X,O,O,X,X,O,X
JLSOTIZ,X,X,O,O,O,O,O,X
JLSOTZI,X,X,O,O,O,O,O,X
JLSOITZ,X,X,X,X,O,O,O,X
JLSOIZT,X,X,O,O,X,X,O,X
JLSOZTI,X,X,O,O,O,X,O,X
JLSOZIT,X,X,O,O,X,X,O,X
JLZTISO,O,O,O,O,X,O,X,X
JLZTIOS,X,X,O,O,O,O,X,X
JLZTSIO,O,O,O,O,X,O,X,X
JLZTSOI,X,X,O,O,X,O,X,X
JLZTOIS,X,X,O,O,O,O,X,X
JLZTOSI,X,X,O,O,O,O,X,X
JLZITSO,O,O,O,O,X,X,X,X
JLZITOS,X,X,O,O,O,O,X,X
JLZISTO,O,O,O,O,X,X,X,X
JLZISOT,X,X,O,O,X,X,X,X
JLZIOTS,O,O,O,O,X,O,X,X
JLZIOST,O,O,O,O,X,X,X,X
JLZSTIO,O,O,O,O,O,X,X,X
JLZSTOI,X,X,O,O,O,X,X,X
JLZSITO,O,O,O,O,X,X,X,X
JLZSIOT,X,X,O,O,X,X,X,X
JLZSOTI,X,X,O,O,O,X,X,X
JLZSOIT,X,X,O,O,X,X,X,X
JLZOTIS,O,O,O,O,O,O,X,X
JLZOTSI,O,O,O,O,O,O,X,X
JLZOITS,O,O,O,O,X,O,X,X
JLZOIST,O,O,O,O,X,X,X,X
JLZOSTI,O,O,O,O,O,X,X,X
JLZOSIT,O,O,O,O,X,X,X,X
JLOTISZ,X,X,X,X,O,O,O,X
JLOTIZS,O,O,O,O,O,O,X,X
JLOTSIZ,X,X,X,X,O,O,O,X
JLOTSZI,X,X,X,X,O,O,O,X
JLOTZIS,O,O,O,O,O,O,X,X
JLOTZSI,O,O,O,O,O,O,X,X
JLOITSZ,X,X,X,X,O,O,X,X
JLOITZS,O,O,X,X,O,O,X,X
JLOISTZ,X,X,X,X,O,O,O,X
JLOISZT,X,X,X,X,X,X,O,X
JLOIZTS,O,O,O,O,X,O,X,X
JLOIZST,O,O,O,O,X,X,X,X
JLOSTIZ,X,X,O,O,O,O,O,X
JLOSTZI,X,X,O,O,O,O,O,X
JLOSITZ,X,X,X,X,O,O,O,X
JLOSIZT,X,X,O,O,X,X,O,X
JLOSZTI,X,X,O,O,O,X,O,X
JLOSZIT,X,X,O,O,X,X,O,X
JLOZTIS,O,O,O,O,O,O,X,X
JLOZTSI,O,O,O,O,O,O,X,X
JLOZITS,O,O,O,O,X,O,X,X
JLOZIST,O,O,O,O,X,X,X,X
JLOZSTI,O,O,O,O,O,X,X,X
JLOZSIT,O,O,O,O,X,X,X,X
JSTILZO,X,X,O,O,O,O,X,X
JSTILOZ,X,X,O,O,O,O,X,X
JSTIZLO,X,O,X,O,O,O,X,O
JSTIZOL,X,O,X,O,O,O,X,O
JSTIOLZ,X,X,O,O,O,O,X,X
JSTIOZL,X,O,X,O,O,O,X,O
JSTLIZO,X,X,O,O,O,O,X,X
JSTLIOZ,X,X,O,O,O,O,X,X
JSTLZIO,X,X,O,O,O,O,X,X
JSTLZOI,X,X,O,O,O,O,X,X
JSTLOIZ,X,X,O,O,O,O,X,X
JSTLOZI,X,X,O,O,O,O,X,X
JSTZILO,X,O,X,O,O,O,X,O
JSTZIOL,X,O,X,O,O,O,X,O
JSTZLIO,X,O,X,O,O,O,X,O
JSTZLOI,X,X,X,O,O,O,X,O
JSTZOIL,X,O,X,O,O,O,X,O
JSTZOLI,X,X,X,O,O,O,X,O
JSTOILZ,X,X,O,O,O,O,X,X
JSTOIZL,X,O,X,O,O,O,X,O
JSTOLIZ,X,X,O,O,O,O,X,X
JSTOLZI,X,X,O,O,O,O,X,X
JSTOZIL,X,O,X,O,O,O,X,O
JSTOZLI,X,O,X,O,O,O,X,O
JSITLZO,X,X,X,O,O,O,X,X
JSITLOZ,X,X,X,O,O,O,X,X
JSITZLO,X,O,X,O,O,O,X,X
JSITZOL,X,O,X,O,O,O,X,X
JSITOLZ,X,X,X,O,O,O,X,X
JSITOZL,X,O,X,O,O,O,X,X
JSILTZO,X,X,X,X,O,X,X,X
JSILTOZ,X,X,X,X,O,O,X,X
JSILZTO,X,X,O,O,X,X,X,X
JSILZOT,X,X,O,O,X,X,X,X
JSILOTZ,X,X,X,X,O,O,X,X
JSILOZT,X,X,O,O,X,X,X,X
JSIZTLO,X,O,X,O,X,X,X,X
JSIZTOL,X,O,X,O,X,X,X,X
JSIZLTO,X,O,X,O,X,X,X,X
JSIZLOT,X,X,X,O,X,X,X,X
JSIZOTL,X,O,X,O,X,X,X,X
JSIZOLT,X,O,X,O,X,X,X,X
JSIOTLZ,X,X,X,O,O,X,X,X
JSIOTZL,X,O,X,O,O,X,X,X
JSIOLTZ,X,X,X,X,O,O,X,X
JSIOLZT,X,X,O,O,X,X,X,X
JSIOZTL,X,O,X,O,X,X,X,X
JSIOZLT,X,O,X,O,X,X,X,X
JSLTIZO,X,X,O,O,O,X,X,X
JSLTIOZ,X,X,O,O,O,O,X,X
JSLTZIO,X,X,O,O,O,O,X,X
JSLTZOI,X,X,O,O,O,O,X,X
JSLTOIZ,X,X,O,O,O,O,X,X
JSLTOZI,X,X,O,O,O,O,X,X
JSLITZO,X,X,X,X,O,X,X,X
JSLITOZ,X,X,X,X,O,O,X,X
JSLIZTO,X,X,O,O,X,X,X,X
JSLIZOT,X,X,O,O,X,X,X,X
JSLIOTZ,X,X,X,X,O,O,X,X
JSLIOZT,X,X,O,O,X,X,X,X
JSLZTIO,X,X,O,O,O,X,X,X
JSLZTOI,X,X,O,O,O,X,X,X
JSLZITO,X,X,O,O,X,X,X,X
JSLZIOT,X,X,O,O,X,X,X,X
JSLZOTI,X,X,O,O,O,X,X,X
JSLZOIT,X,X,O,O,X,X,X,X
JSLOTIZ,X,X,O,O,O,O,X,X
JSLOTZI,X,X,O,O,O,O,X,X
JSLOITZ,X,X,X,X,O,O,X,X
JSLOIZT,X,X,O,O,X,X,X,X
JSLOZTI,X,X,O,O,O,X,X,X
JSLOZIT,X,X,O,O,X,X,X,X
JSZTILO,X,O,X,O,O,X,X,O
JSZTIOL,X,O,X,O,O,X,X,O
JSZTLIO,X,O,X,O,O,X,X,O
JSZTLOI,X,X,X,O,O,X,X,O
JSZTOIL,X,O,X,O,O,X,X,O
JSZTOLI,X,X,X,O,O,X,X,O
JSZITLO,X,O,X,O,X,X,X,O
JSZITOL,X,O,X,O,X,X,X,O
JSZILTO,X,O,X,O,X,X,X,X
JSZILOT,X,X,X,O,X,X,X,X
JSZIOTL,X,O,X,O,X,X,X,O
JSZIOLT,X,O,X,O,X,X,X,X
JSZLTIO,X,O,X,O,O,X,X,O
JSZLTOI,X,X,X,O,O,X,X,O
JSZLITO,X,O,X,O,X,X,X,X
JSZLIOT,X,X,X,O,X,X,X,X
JSZLOTI,X,X,X,O,O,X,X,O
JSZLOIT,X,X,X,O,X,X,X,X
JSZOTIL,X,O,X,O,O,X,X,O
JSZOTLI,X,O,X,O,O,X,X,O
JSZOITL,X,O,X,O,X,X,X,O
JSZOILT,X,O,X,O,X,X,X,X
JSZOLTI,X,O,X,O,O,X,X,O
JSZOLIT,X,O,X,O,X,X,X,X
JSOTILZ,X,X,O,O,O,O,X,X
JSOTIZL,X,O,X,O,O,O,X,O
JSOTLIZ,X,X,O,O,O,O,X,X
JSOTLZI,X,X,O,O,O,O,X,X
JSOTZIL,X,O,X,O,O,O,X,O
JSOTZLI,X,O,X,O,O,O,X,O
JSOITLZ,X,X,X,O,O,X,X,X
JSOITZL,X,O,X,O,O,X,X,X
JSOILTZ,X,X,X,X,O,O,X,X
JSOILZT,X,X,O,O,X,X,X,X
JSOIZTL,X,O,X,O,X,X,X,X
JSOIZLT,X,O,X,O,X,X,X,X
JSOLTIZ,X,X,O,O,O,O,X,X
JSOLTZI,X,X,O,O,O,O,X,X
JSOLITZ,X,X,X,X,O,O,X,X
JSOLIZT,X,X,O,O,X,X,X,X
JSOLZTI,X,X,O,O,O,X,X,X
JSOLZIT,X,X,O,O,X,X,X,X
JSOZTIL,X,O,X,O,O,X,X,O
JSOZTLI,X,O,X,O,O,X,X,O
JSOZITL,X,O,X,O,X,X,X,O
JSOZILT,X,O,X,O,X,X,X,X
JSOZLTI,X,O,X,O,O,X,X,O
JSOZLIT,X,O,X,O,X,X,X,X
JZTILSO,O,O,X,O,X,O,X,X
JZTILOS,X,X,X,O,O,O,X,X
JZTISLO,O,O,X,O,X,O,X,X
JZTISOL,X,O,X,O,X,O,X,X
JZTIOLS,X,O,X,O,O,O,X,X
JZTIOSL,X,O,X,O,X,O,X,O
JZTLISO,O,O,X,O,X,O,X,X
JZTLIOS,X,X,X,O,O,O,X,X
JZTLSIO,O,O,X,O,X,O,X,X
JZTLSOI,X,X,X,O,X,O,X,X
JZTLOIS,X,X,X,O,O,O,X,X
JZTLOSI,X,X,X,O,O,O,X,O
JZTSILO,O,O,X,O,X,O,X,O
JZTSIOL,X,O,X,O,X,O,X,O
JZTSLIO,O,O,X,O,X,O,X,O
JZTSLOI,X,X,X,O,X,O,X,O
JZTSOIL,X,O,X,O,X,O,X,O
JZTSOLI,X,X,X,O,X,O,X,O
JZTOILS,X,O,X,O,O,O,X,X
JZTOISL,X,O,X,O,X,O,X,O
JZTOLIS,X,O,X,O,O,O,X,X
JZTOLSI,X,O,X,O,O,O,X,O
JZTOSIL,X,O,X,O,X,O,X,O
JZTOSLI,X,O,X,O,X,O,X,O
JZITLSO,O,O,X,O,X,X,X,X
JZITLOS,X,X,X,O,O,X,X,X
JZITSLO,O,O,X,O,X,O,X,X
JZITSOL,X,O,X,O,X,O,X,X
JZITOLS,X,O,X,O,O,X,X,X
JZITOSL,X,O,X,O,X,O,X,O
JZILTSO,O,O,X,O,X,X,X,X
JZILTOS,X,X,X,O,O,O,X,X
JZILSTO,O,O,X,O,X,X,X,X
JZILSOT,X,X,X,O,X,X,X,X
JZILOTS,O,O,X,O,X,O,X,X
JZILOST,O,O,X,O,X,X,X,X
JZISTLO,O,O,X,O,X,X,X,O
JZISTOL,X,O,X,O,X,X,X,O
JZISLTO,O,O,X,O,X,X,X,X
JZISLOT,X,X,X,O,X,X,X,X
JZISOTL,X,O,X,O,X,X,X,O
JZISOLT,X,O,X,O,X,X,X,X
JZIOTLS,O,O,X,O,X,X,X,X
JZIOTSL,O,O,X,O,X,X,X,O
JZIOLTS,O,O,X,O,X,O,X,X
JZIOLST,O,O,X,O,X,X,X,X
JZIOSTL,O,O,X,O,X,X,X,O
JZIOSLT,O,O,X,O,X,X,X,X
JZLTISO,O,O,X,O,X,O,X,X
JZLTIOS,X,X,X,O,O,O,X,X
JZLTSIO,O,O,X,O,X,O,X,X
JZLTSOI,X,X,X,O,X,O,X,X
JZLTOIS,X,X,X,O,O,O,X,X
JZLTOSI,X,X,X,O,O,O,X,O
JZLITSO,O,O,X,O,X,X,X,X
JZLITOS,X,X,X,O,O,O,X,X
JZLISTO,O,O,X,O,X,X,X,X
JZLISOT,X,X,X,O,X,X,X,X
JZLIOTS,O,O,X,O,X,O,X,X
JZLIOST,O,O,X,O,X,X,X,X
JZLSTIO,O,O,X,O,O,X,X,O
JZLSTOI,X,X,X,O,O,X,X,O
JZLSITO,O,O,X,O,X,X,X,X
JZLSIOT,X,X,X,O,X,X,X,X
JZLSOTI,X,X,X,O,O,X,X,O
JZLSOIT,X,X,X,O,X,X,X,X
JZLOTIS,O,O,X,O,O,O,X,X
JZLOTSI,O,O,X,O,O,O,X,O
JZLOITS,O,O,X,O,X,O,X,X
JZLOIST,O,O,X,O,X,X,X,X
JZLOSTI,O,O,X,O,O,X,X,O
JZLOSIT,O,O,X,O,X,X,X,X
JZSTILO,O,O,X,O,O,X,X,O
JZSTIOL,X,O,X,O,O,X,X,O
JZSTLIO,O,O,X,O,O,X,X,O
JZSTLOI,X,X,X,O,O,X,X,O
JZSTOIL,X,O,X,O,O,X,X,O
JZSTOLI,X,X,X,O,O,X,X,O
JZSITLO,O,O,X,O,X,X,X,O
JZSITOL,X,O,X,O,X,X,X,O
JZSILTO,O,O,X,O,X,X,X,X
JZSILOT,X,X,X,O,X,X,X,X
JZSIOTL,X,O,X,O,X,X,X,O
JZSIOLT,X,O,X,O,X,X,X,X
JZSLTIO,O,O,X,O,O,X,X,O
JZSLTOI,X,X,X,O,O,X,X,O
JZSLITO,O,O,X,O,X,X,X,X
JZSLIOT,X,X,X,O,X,X,X,X
JZSLOTI,X,X,X,O,O,X,X,O
JZSLOIT,X,X,X,O,X,X,X,X
JZSOTIL,X,O,X,O,O,X,X,O
JZSOTLI,X,O,X,O,O,X,X,O
JZSOITL,X,O,X,O,X,X,X,O
JZSOILT,X,O,X,O,X,X,X,X
JZSOLTI,X,O,X,O,O,X,X,O
JZSOLIT,X,O,X,O,X,X,X,X
JZOTILS,O,O,X,O,O,O,X,X
JZOTISL,O,O,X,O,X,O,X,O
JZOTLIS,O,O,X,O,O,O,X,X
JZOTLSI,O,O,X,O,O,O,X,O
JZOTSIL,O,O,X,O,X,O,X,O
JZOTSLI,O,O,X,O,X,O,X,O
JZOITLS,O,O,X,O,X,X,X,X
JZOITSL,O,O,X,O,X,X,X,O
JZOILTS,O,O,X,O,X,O,X,X
JZOILST,O,O,X,O,X,X,X,X
JZOISTL,O,O,X,O,X,X,X,O
JZOISLT,O,O,X,O,X,X,X,X
JZOLTIS,O,O,X,O,O,O,X,X
JZOLTSI,O,O,X,O,O,O,X,O
JZOLITS,O,O,X,O,X,O,X,X
JZOLIST,O,O,X,O,X,X,X,X
