sequence,v115@JhA8GeF8DeA8DeA8AeC8Jei/IvhFlhBTjBxsBfrBcs?BWvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhFlhBTjBxsB/pBcs?ByvB,v115@JhA8GeF8DeA8DeA8AeC8JeT/IvhFlgB3hBUjBOsBSt?BRvB,v115@JhA8GeF8DeA8DeA8AeC8JeGAJvhF1mBxiBcsBToB/p?ByvB,v115@JhA8GeF8DeA8DeA8AeC8Je0BJvhFxiBGoBisB/pBzq?BFqB,v115@JhA8GeF8DeA8DeA8AeC8JexBJvhF8nB+oBasB/pBzq?BFqB
TSZJOLI,X,X,O,X,X,X
TSZOILJ,X,X,X,O,X,X
TSZOIJL,X,X,X,O,X,X
TSZOLIJ,X,X,X,O,X,X
TSZOLJI,X,X,X,O,X,X
TSZOJIL,X,X,O,O,X,X
TSZOJLI,X,X,O,O,X,X
TSOILJZ,X,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X
TSOIJLZ,X,X,X,X,X,X
TSOIJZL,X,X,O,X,X,X
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,X
TSOLJIZ,X,X,X,X,X,X
TSOLJZI,X,X,O,X,X,X
TSOLZIJ,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X
TSOJIZL,X,X,O,X,X,X
TSOJLIZ,X,X,X,X,X,X
TSOJLZI,X,X,O,X,X,X
TSOJZIL,X,X,O,X,X,X
TSOJZLI,X,X,O,X,X,X
TSOZILJ,X,X,X,O,X,X
TSOZIJL,X,X,X,O,X,X
TSOZLIJ,X,X,X,O,X,X
TSOZLJI,X,X,X,O,X,X
TSOZJIL,X,X,O,O,X,X
TSOZJLI,X,X,O,O,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X
TZIJSLO,X,X,X,X,X,X
TZIJSOL,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X
TZIJOSL,X,X,X,X,X,X
TZISLJO,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X
TZIOLSJ,X,X,X,O,X,X
TZIOJLS,X,X,X,X,X,X
TZIOJSL,X,X,X,O,X,X
TZIOSLJ,X,X,X,O,X,X
TZIOSJL,X,X,X,O,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X
TZLOISJ,X,X,X,O,X,X
TZLOJIS,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,O,X,X
TZLOSJI,X,X,X,O,X,X
TZJILSO,X,X,X,X,X,X
